barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	15762	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode02	barcode02	test_sample	19060	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode03	barcode03	test_sample	14401	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode04	barcode04	test_sample	15640	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode05	barcode05	test_sample	10420	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode06	barcode06	test_sample	6658	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode07	barcode07	test_sample	12954	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode08	barcode08	test_sample	17519	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode09	barcode09	test_sample	13935	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode10	barcode10	test_sample	12649	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode11	barcode11	test_sample	12569	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode12	barcode12	test_sample	17173	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode13	barcode13	test_sample	16037	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode14	barcode14	test_sample	11783	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode15	barcode15	test_sample	17550	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode16	barcode16	test_sample	16349	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode17	barcode17	test_sample	15658	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode18	barcode18	test_sample	13813	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode19	barcode19	test_sample	13480	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode20	barcode20	test_sample	14673	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode21	barcode21	test_sample	14847	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode22	barcode22	test_sample	15210	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode23	barcode23	test_sample	21855	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
barcode24	barcode24	test_sample	24	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
unclassified	unclassified	na	12998	d21ae67ad29e0f710092edba97c71bf0329b411b	CM014	CM14	AWG208	2025-04-02T17:36:57.888031-05:00
