ref	sample_name	total	primary	secondary	supplementary	unmapped	qcfail	duplicate	duplex	duplex_forming
NR_177432.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177431.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177430.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177429.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177428.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177427.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177426.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177425.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177424.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177423.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177422.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177421.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177420.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177419.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177418.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177417.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177416.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177415.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177414.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177413.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177412.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177411.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177410.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177409.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177408.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177407.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177406.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177405.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177404.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177403.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177402.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177401.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177400.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177399.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177398.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177397.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177396.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177395.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177394.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177393.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177392.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177391.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177390.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177389.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177388.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177387.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177386.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177385.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177384.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177383.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177382.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177381.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177380.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177379.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177378.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177376.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177375.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177374.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177373.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177372.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177371.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177370.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177369.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177368.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177367.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177366.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177365.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177364.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177363.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177362.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177361.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177360.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177359.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177358.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177357.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177356.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177355.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177354.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177353.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177352.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177351.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177350.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177349.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177348.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177347.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177346.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177345.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177344.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177343.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177342.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177341.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177340.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177339.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177338.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177337.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177336.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177335.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177334.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177333.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177332.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177331.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177330.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177329.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177328.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177327.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177326.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177325.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177324.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177323.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177322.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177321.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177320.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177319.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177318.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177317.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177316.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177315.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177314.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177313.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177312.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177311.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177310.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177309.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177308.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177307.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177306.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177305.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177304.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177303.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177302.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177301.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177300.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177299.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177298.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177297.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177296.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177295.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177294.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_177293.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_103941.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_176538.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_176537.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_176520.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_176503.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_176502.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_175433.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_159326.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_146002.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_119199.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_113536.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_113514.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_043433.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_043203.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_028162.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_170466.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_165787.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_165753.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_164995.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_164967.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_164956.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_163622.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_163621.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_159273.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_159208.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_159207.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_159206.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_159116.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_158056.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_158013.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_157619.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_157618.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_156962.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_156961.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_156881.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_156880.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_156879.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_156864.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_156821.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_156820.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_156809.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_156808.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_156034.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_153690.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_152660.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_152034.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_152033.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_151959.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_151877.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_151876.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_149812.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_149771.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_149770.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_149760.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_149276.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_149275.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_149200.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_148758.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_148751.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_148599.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_148336.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_148292.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_148269.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_148250.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_148249.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_148245.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_147775.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_147715.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_147714.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_147710.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_146839.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_146679.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_146356.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_146013.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_145880.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_145669.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_145668.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_145608.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_145607.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
NR_145547.1	KUB-14-MGE-S74	0	0	0	0	0	0	0	0	0
