tax	BUD-52-MGE-S144	CHA-55-MGE-S150	CM-NTC-008	FRA-19-MGE-S160	FRA-53-MGE-S147	GIN-52-MGE-S145	GOO-20-MGE-S161	GOO-22-MGE-S139	GRO-56-MGE-S151	HAM-18-MGE-S157	HAM-23-MGE-S140	HER-24-MGE-S142	HER-53-MGE-S146	IRI-17-MGE-S155	IRI-23-MGE-S141	JOA-24-MGE-S143	JOA-56-MGE-S152	JOA-60-MGE-S154	LAM-17-MGE-S156	LAM-55-MGE-S149	MAR-53-MGE-S148	OPH-19-MGE-S159	WOL-18-MGE-S158	WOL-58-MGE-S153	total
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	1125	294	12	1463	993	1842	1395	1098	171	1157	1006	1085	973	2020	1347	371	2257	1560	1514	962	111	1402	2753	3531	30442
Bacteria;Bacteria_none;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	1034	1244	16	1560	1080	1553	1402	792	620	2175	1665	1920	1767	1972	835	263	1737	2027	0	750	440	2562	1045	764	29223
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	1820	3	6	6	23	0	269	215	6423	1	1	0	1	0	1	879	114	100	1	26	7313	0	4	2	17208
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	237	1852	5	634	712	842	1703	761	56	394	356	498	255	708	618	129	241	228	525	350	53	361	713	425	12656
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella copri	243	831	0	1181	393	740	403	663	13	0	0	1	0	3	3	357	929	367	1	3739	17	1	0	0	9885
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium parvum	104	156	0	272	240	480	641	404	85	171	158	186	190	283	203	79	189	140	0	29	56	138	150	162	4516
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	1	8	3	469	0	1	2	401	0	1	33	0	13	0	0	0	0	92	3407	36	1	6	0	7	4481
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	248	21	1	237	255	408	259	219	36	127	204	210	222	53	38	48	541	342	422	223	20	201	66	80	4481
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	153	654	1	300	374	418	188	125	33	126	92	170	65	141	183	67	178	160	91	68	38	111	136	72	3944
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	3	1	243	0	0	0	642	0	1	15	3	27	0	0	0	0	87	2710	18	0	3	0	80	3833
