task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	bc/0c0e10	2128257	fastcat (6)	COMPLETED	0	2025-03-24 13:05:09.541	915ms	358ms	215.7%	85.1 MB	382.5 MB	41.5 MB	28.5 MB
12	fe/559a3c	2128162	fastcat (8)	COMPLETED	0	2025-03-24 13:05:09.472	958ms	338ms	180.0%	84.7 MB	382.5 MB	32.2 MB	22.2 MB
17	b4/4c79cd	2128220	fastcat (13)	COMPLETED	0	2025-03-24 13:05:09.515	971ms	383ms	187.2%	84.5 MB	382 MB	39.4 MB	27.2 MB
18	3d/78e50b	2128154	fastcat (14)	COMPLETED	0	2025-03-24 13:05:09.457	1s	401ms	181.4%	86.7 MB	511.4 MB	38.3 MB	26.4 MB
26	a2/236a2f	2128239	fastcat (22)	COMPLETED	0	2025-03-24 13:05:09.528	991ms	413ms	209.4%	84.7 MB	382.5 MB	47.9 MB	32.8 MB
11	cb/9e9366	2128184	fastcat (7)	COMPLETED	0	2025-03-24 13:05:09.488	1.1s	444ms	204.2%	82.9 MB	189.6 MB	48.4 MB	33.4 MB
14	76/2d5d59	2128202	fastcat (10)	COMPLETED	0	2025-03-24 13:05:09.502	1.1s	451ms	190.3%	85.1 MB	382.5 MB	43.8 MB	30.4 MB
28	06/835482	2128277	fastcat (24)	COMPLETED	0	2025-03-24 13:05:09.553	1.1s	451ms	194.9%	83 MB	189.1 MB	54.6 MB	36.6 MB
2	13/e54571	2130289	minimap_pipeline:run_common:getParams	COMPLETED	0	2025-03-24 13:05:10.555	388ms	17ms	56.2%	0	0	77.6 KB	3.4 KB
25	f4/480215	2129979	fastcat (21)	COMPLETED	0	2025-03-24 13:05:10.451	638ms	330ms	235.7%	71.3 MB	382 MB	43 MB	29.4 MB
6	4d/e1d427	2130132	fastcat (2)	COMPLETED	0	2025-03-24 13:05:10.499	619ms	323ms	216.2%	79.2 MB	382 MB	35.6 MB	24.6 MB
20	cc/84e888	2130043	fastcat (16)	COMPLETED	0	2025-03-24 13:05:10.471	656ms	370ms	256.2%	75.8 MB	189.1 MB	50 MB	34.6 MB
27	e2/5379c2	2130338	fastcat (23)	COMPLETED	0	2025-03-24 13:05:10.567	648ms	330ms	231.8%	88 MB	510.9 MB	40.6 MB	28.1 MB
22	5a/99b362	2130204	fastcat (18)	COMPLETED	0	2025-03-24 13:05:10.526	692ms	390ms	249.7%	77.1 MB	382 MB	51.1 MB	35.4 MB
7	f5/121bce	2130250	fastcat (3)	COMPLETED	0	2025-03-24 13:05:10.541	700ms	355ms	246.2%	84.7 MB	382 MB	48.3 MB	33.2 MB
19	90/7a331d	2130658	fastcat (15)	COMPLETED	0	2025-03-24 13:05:10.688	616ms	243ms	139.6%	74.3 MB	189.1 MB	16.7 MB	11.5 MB
15	b2/a5777c	2132248	fastcat (11)	COMPLETED	0	2025-03-24 13:05:11.225	492ms	182ms	40.9%	73.1 MB	382 MB	518 KB	257.5 KB
5	20/3f1b5e	2131955	fastcat (1)	COMPLETED	0	2025-03-24 13:05:11.104	681ms	370ms	207.1%	67.5 MB	189.1 MB	49.2 MB	32.9 MB
24	d3/964a93	2132269	fastcat (20)	COMPLETED	0	2025-03-24 13:05:11.233	590ms	305ms	211.6%	71 MB	189.1 MB	35.2 MB	24.2 MB
21	bd/e578ec	2132056	fastcat (17)	COMPLETED	0	2025-03-24 13:05:11.148	720ms	405ms	255.6%	71.8 MB	189.1 MB	54.9 MB	38.1 MB
9	4d/f1cdd1	2132076	fastcat (5)	COMPLETED	0	2025-03-24 13:05:11.159	732ms	428ms	235.1%	72.9 MB	189.1 MB	53.7 MB	37.1 MB
16	f1/6258a0	2132321	fastcat (12)	COMPLETED	0	2025-03-24 13:05:11.257	641ms	311ms	247.8%	71.5 MB	382 MB	48.1 MB	32.4 MB
13	d9/29acf3	2132498	fastcat (9)	COMPLETED	0	2025-03-24 13:05:11.330	631ms	347ms	211.9%	64.5 MB	382 MB	40.3 MB	27.7 MB
23	72/970a18	2133638	fastcat (19)	COMPLETED	0	2025-03-24 13:05:11.726	676ms	359ms	264.8%	88.3 MB	511.4 MB	50.2 MB	34.6 MB
8	6b/680c4f	2133766	fastcat (4)	COMPLETED	0	2025-03-24 13:05:11.797	684ms	372ms	248.1%	75.4 MB	382 MB	47.5 MB	32.9 MB
4	74/7cf9c2	2130444	minimap_pipeline:run_common:getVersions	COMPLETED	0	2025-03-24 13:05:10.599	3.8s	3.2s	144.4%	52.2 MB	4 GB	12.3 MB	3.1 KB
30	07/a69984	2134565	minimap_pipeline:minimap (JOA-60-MGE-S154)	COMPLETED	0	2025-03-24 13:05:14.400	21.7s	21.3s	2076.6%	969.2 MB	30.4 GB	615.2 MB	88.8 MB
