"SampleID","subject","SampleCollectedBy","SampleBox","Bristol","SampleStabilizer","sampledate","studyday","subj_day","sampletime"
"HAM-1-DRS","hamlet","SA",1,1,"DNA/RNA Shield",2023-03-10,"1","hamlet_1",08:00:00
"HAM-1-MGE","hamlet","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-10,"1","hamlet_1",08:00:00
"HER-1-DRS","hera","SA",1,1,"DNA/RNA Shield",2023-03-10,"1","hera_1",08:00:00
"HER-1-MGE","hera","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-10,"1","hera_1",08:00:00
"JAR-1-DRS","jarjarbinks","SA",1,3,"DNA/RNA Shield",2023-03-10,"1","jarjarbinks_1",08:00:00
"JAR-1-MGE","jarjarbinks","SA",1,3,"Molecular Grade (96%) Ethanol",2023-03-10,"1","jarjarbinks_1",08:00:00
"WOL-1-DRS","wolverine","SA",1,1,"DNA/RNA Shield",2023-03-10,"1","wolverine_1",08:00:00
"WOL-1-MGE","wolverine","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-10,"1","wolverine_1",08:00:00
"IRI-1-DRS","iris","SA",1,2,"DNA/RNA Shield",2023-03-10,"1","iris_1",08:00:00
"IRI-1-MGE","iris","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-10,"1","iris_1",08:00:00
"GOO-1-DRS","goose","SA",1,2,"DNA/RNA Shield",2023-03-10,"1","goose_1",07:30:00
"GOO-1-MGE","goose","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-10,"1","goose_1",07:30:00
"LAM-1-DRS","lambchop","SA",1,2,"DNA/RNA Shield",2023-03-10,"1","lambchop_1",07:30:00
"LAM-1-MGE","lambchop","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-10,"1","lambchop_1",07:30:00
"IVY-1-DRS","ivy","SA",1,1,"DNA/RNA Shield",2023-03-10,"1","ivy_1",07:30:00
"IVY-1-MGE","ivy","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-10,"1","ivy_1",07:30:00
"PAD-1-DRS","padme","SA",1,4,"DNA/RNA Shield",2023-03-10,"1","padme_1",07:30:00
"PAD-1-MGE","padme","SA",1,4,"Molecular Grade (96%) Ethanol",2023-03-10,"1","padme_1",07:30:00
"JOA-1-DRS","joans","SA",1,1,"DNA/RNA Shield",2023-03-10,"1","joans_1",07:30:00
"JOA-1-MGE","joans","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-10,"1","joans_1",07:30:00
"GIN-1-DRS","ginger","SA",1,2,"DNA/RNA Shield",2023-03-10,"1","ginger_1",07:30:00
"GIN-1-MGE","ginger","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-10,"1","ginger_1",07:30:00
"HAM-2-DRS","hamlet","SA",1,1,"DNA/RNA Shield",2023-03-11,"2","hamlet_2",08:00:00
"HAM-2-MGE","hamlet","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-11,"2","hamlet_2",08:00:00
"HER-2-DRS","hera","SA",1,2,"DNA/RNA Shield",2023-03-11,"2","hera_2",08:00:00
