tax	BUD-50-MGE-S118	CHA-49-MGE-S116	CHA-51-MGE-S131	FRA-22-MGE-S138	FRA-49-MGE-S125	GIN-47-MGE-S133	GIN-49-MGE-S130	GOO-44-MGE-S121	GRO-45-MGE-S128	HEN-42-MGE-S126	HEN-59-MGE-S135	HER-45-MGE-S127	IVY-46-MGE-S123	JOA-44-MGE-S122	JOA-51-MGE-S119	JOA-62-MGE-S137	KOR-49-MGE-S134	KUB-30-MGE-S132	KUB-48-MGE-S124	LAM-37-MGE-S120	LAM-50-MGE-S117	OPH-49-MGE-S129	WOL-60-MGE-S136	total
Bacteria;Bacteria_none;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	1860	298	1677	1316	1465	292	836	1031	695	1056	1542	1493	656	2060	2075	1002	72	1382	2246	1872	1531	2218	1398	30073
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	352	977	1158	972	522	1433	2099	1004	1473	1232	1122	588	1838	801	536	1144	29	688	1093	564	1238	353	3869	25085
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella copri	269	13	866	1514	818	96	389	124	153	713	571	0	0	1279	3015	1062	36	41	1109	827	1794	0	0	14689
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	253	0	0	583	426	1113	1594	726	1161	926	844	476	942	534	408	896	17	520	438	296	953	148	786	14040
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	135	21	1020	498	730	752	1163	1806	593	593	657	303	981	161	202	438	30	244	221	787	446	161	950	12892
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	1691	0	0	12	335	0	0	208	1747	0	0	0	1	1882	558	44	0	4396	0	1005	76	0	0	11955
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	80	5	226	286	507	450	718	440	291	372	442	131	415	79	110	352	12	116	121	189	107	64	236	5749
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	91	2	120	218	453	461	652	343	260	309	382	91	335	137	182	491	15	92	82	168	82	51	222	5239
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium parvum	125	15	210	382	575	110	236	363	120	236	59	199	111	163	121	90	16	120	126	513	46	188	182	4306
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter sedlakii	0	3641	395	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4037
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium sinus	81	13	177	332	543	77	187	379	87	199	74	293	164	160	114	68	12	108	134	371	53	157	151	3934
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	48	14	315	134	245	289	420	239	184	187	253	85	337	67	70	216	10	69	79	141	81	45	121	3649
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	12	0	0	174	294	91	55	27	71	39	235	432	140	200	639	8	3	41	240	115	39	438	322	3615
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	4	0	0	5	4	0	0	0	2	29	158	1908	4	9	16	3	0	0	5	4	0	1201	4	3356
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	86	9	83	109	125	28	27	3	22	198	91	810	154	23	104	4	0	43	532	20	54	315	282	3122
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	46	79	547	0	0	0	0	34	69	0	396	458	0	138	430	20	3	80	0	174	0	420	0	2894
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	65	12	213	161	235	109	46	58	36	298	196	89	98	154	89	162	3	12	59	194	164	93	268	2814
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	2062	0	0	2	0	3	0	3	0	0	0	0	0	0	0	0	0	0	1	2	0	7	445	2525
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	34	0	117	109	154	178	265	103	102	124	153	47	134	44	42	115	2	42	52	52	28	21	73	1991
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	65	48	57	79	310	73	51	15	70	342	44	135	23	36	122	2	3	48	127	90	19	126	102	1987
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	70	65	83	77	91	70	78	43	63	59	109	68	66	85	86	77	50	114	243	81	51	103	143	1975
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter rarus	15	0	0	164	310	1	0	21	0	0	0	0	0	245	532	109	0	0	0	77	0	0	161	1635
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	18	15	93	46	36	6	6	72	8	17	41	53	46	85	373	79	0	31	185	115	62	103	109	1599
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	34	133	146	54	18	53	119	40	88	69	59	27	124	56	44	67	4	36	107	37	87	16	121	1539
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	185	3	2	58	0	214	1	109	14	0	2	5	0	0	0	17	26	117	0	346	4	223	25	1351
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Wansuia;Wansuia hejianensis	58	17	84	138	230	17	15	96	35	52	3	59	51	39	17	6	5	39	52	148	9	110	60	1340
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	21	0	0	0	1	0	0	185	11	0	0	0	0	73	378	96	0	31	0	346	135	0	0	1277
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Bordigoni et al. 2020)	16	3	79	45	87	105	166	93	108	66	104	28	138	19	20	40	5	13	36	40	17	13	31	1272
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	9	0	0	79	119	26	24	11	26	12	78	131	59	67	226	10	0	18	77	31	3	136	125	1267
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	31	7	21	14	83	46	41	13	220	161	18	74	9	33	77	4	6	28	50	53	2	161	85	1237
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia glucerasea	50	1	21	100	36	38	31	104	143	218	5	40	47	17	28	7	3	26	51	37	96	62	61	1222
