SampleID	SampleSubject	SampleDate	SampleCollectedBy	SampleNotes	SampleBox	Bristol	SampleTime	SampleStabilizer
HAM-1-DRS	hamlet	3/10/23	SA		1	1	800	DNA/RNA Shield
HAM-1-MGE	hamlet	3/10/23	SA		1	1	800	Molecular Grade (96%) Ethanol
HER-1-DRS	hera	3/10/23	SA		1	1	800	DNA/RNA Shield
HER-1-MGE	hera	3/10/23	SA		1	1	800	Molecular Grade (96%) Ethanol
JAR-1-DRS	jarjarbinks	3/10/23	SA		1	3	800	DNA/RNA Shield
JAR-1-MGE	jarjarbinks	3/10/23	SA		1	3	800	Molecular Grade (96%) Ethanol
WOL-1-DRS	wolverine	3/10/23	SA		1	1	800	DNA/RNA Shield
WOL-1-MGE	wolverine	3/10/23	SA		1	1	800	Molecular Grade (96%) Ethanol
IRI-1-DRS	iris	3/10/23	SA		1	2	800	DNA/RNA Shield
IRI-1-MGE	iris	3/10/23	SA		1	2	800	Molecular Grade (96%) Ethanol
GOO-1-DRS	goose	3/10/23	SA		1	2	730	DNA/RNA Shield
GOO-1-MGE	goose	3/10/23	SA		1	2	730	Molecular Grade (96%) Ethanol
LAM-1-DRS	lambchop	3/10/23	SA		1	2	730	DNA/RNA Shield
LAM-1-MGE	lambchop	3/10/23	SA		1	2	730	Molecular Grade (96%) Ethanol
IVY-1-DRS	ivy	3/10/23	SA		1	1	730	DNA/RNA Shield
IVY-1-MGE	ivy	3/10/23	SA		1	1	730	Molecular Grade (96%) Ethanol
PAD-1-DRS	padme	3/10/23	SA		1	4	730	DNA/RNA Shield
PAD-1-MGE	padme	3/10/23	SA		1	4	730	Molecular Grade (96%) Ethanol
JOA-1-DRS	joans	3/10/23	SA		1	1	730	DNA/RNA Shield
JOA-1-MGE	joans	3/10/23	SA		1	1	730	Molecular Grade (96%) Ethanol
GIN-1-DRS	ginger	3/10/23	SA		1	2	730	DNA/RNA Shield
GIN-1-MGE	ginger	3/10/23	SA		1	2	730	Molecular Grade (96%) Ethanol
HAM-2-DRS	hamlet	3/11/23	SA		1	1	800	DNA/RNA Shield
HAM-2-MGE	hamlet	3/11/23	SA		1	1	800	Molecular Grade (96%) Ethanol
HER-2-DRS	hera	3/11/23	SA		1	2	800	DNA/RNA Shield
HER-2-MGE	hera	3/11/23	SA		1	2	800	Molecular Grade (96%) Ethanol
JAR-2-DRS	jarjarbinks	3/11/23	SA		1	3	800	DNA/RNA Shield
JAR-2-MGE	jarjarbinks	3/11/23	SA		1	3	800	Molecular Grade (96%) Ethanol
OPH-2-DRS	ophelia	3/11/23	SA		1	1	800	DNA/RNA Shield
OPH-2-MGE	ophelia	3/11/23	SA		1	1	800	Molecular Grade (96%) Ethanol
WOL-2-DRS	wolverine	3/11/23	SA		1	1	800	DNA/RNA Shield
WOL-2-MGE	wolverine	3/11/23	SA		1	1	800	Molecular Grade (96%) Ethanol
IRI-2-DRS	iris	3/11/23	SA		1	1	800	DNA/RNA Shield
IRI-2-MGE	iris	3/11/23	SA		1	1	800	Molecular Grade (96%) Ethanol
GOO-2-DRS	goose	3/11/23	SA		1	1	730	DNA/RNA Shield
GOO-2-MGE	goose	3/11/23	SA		1	1	730	Molecular Grade (96%) Ethanol
LAM-2-DRS	lambchop	3/11/23	SA		1	2	730	DNA/RNA Shield
LAM-2-MGE	lambchop	3/11/23	SA		1	2	730	Molecular Grade (96%) Ethanol
IVY-2-DRS	ivy	3/11/23	SA		1	2	730	DNA/RNA Shield
IVY-2-MGE	ivy	3/11/23	SA		1	2	730	Molecular Grade (96%) Ethanol
JOA-2-DRS	joans	3/11/23	SA		1	1	730	DNA/RNA Shield
JOA-2-MGE	joans	3/11/23	SA		1	1	730	Molecular Grade (96%) Ethanol
HEN-2-DRS	henry	3/11/23	SA		1	3	730	DNA/RNA Shield
HEN-2-MGE	henry	3/11/23	SA		1	3	730	Molecular Grade (96%) Ethanol
GIN-2-DRS	ginger	3/11/23	SA		1	3	730	DNA/RNA Shield
GIN-2-MGE	ginger	3/11/23	SA		1	3	730	Molecular Grade (96%) Ethanol
