ExtractID	ExtractDate	ExtractedBy	ExtractType	ExtractKit	SampleID	ExtractConcentration	ExtractBox	ExtractNotes
DNA1-HAM-1-DRS	5/16/23	SA/AMR	DNA	Quick-DNA Fecal/Soil Microbe	HAM-1-DRS	0.245	DNA Extracts 1	low
DNA1-HAM-1-MGE	5/16/23	SA/AMR	DNA	Quick-DNA Fecal/Soil Microbe	HAM-1-MGE	0	DNA Extracts 1	
DNA1-FRA-17-DRS	5/16/23	SA/AMR	DNA	Quick-DNA Fecal/Soil Microbe	FRA-17-DRS	0.0669	DNA Extracts 1	low
DNA1-FRA-17-MGE	5/16/23	SA/AMR	DNA	Quick-DNA Fecal/Soil Microbe	FRA-17-MGE	0	DNA Extracts 1	
DNA1-HER-29-DRS	5/16/23	SA/AMR	DNA	Quick-DNA Fecal/Soil Microbe	HER-29-DRS	0.0532	DNA Extracts 1	
DNA1-HER-29-MGE	5/16/23	SA/AMR	DNA	Quick-DNA Fecal/Soil Microbe	HER-29-MGE	0.00197	DNA Extracts 1	
DNA1-IVY-43-DRS	5/16/23	SA/AMR	DNA	Quick-DNA Fecal/Soil Microbe	IVY-43-DRS	0.0512	DNA Extracts 1	
DNA1-IVY-43-MGE	5/16/23	SA/AMR	DNA	Quick-DNA Fecal/Soil Microbe	IVY-43-MGE	0	DNA Extracts 1	
DNA1-JAR-57-DRS	5/16/23	SA/AMR	DNA	Quick-DNA Fecal/Soil Microbe	JAR-57-DRS	0.159	DNA Extracts 1	
DNA1-JAR-57-MGE	5/16/23	SA/AMR	DNA	Quick-DNA Fecal/Soil Microbe	JAR-57-MGE	0.00233	DNA Extracts 1	
DNA2-HAM-1-DRS	5/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-1-DRS	0.257	DNA Extracts 1	
DNA2-HAM-1-MGE	5/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-1-MGE	0.422	DNA Extracts 1	
DNA2-FRA-17-DRS	5/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	FRA-17-DRS	0.189	DNA Extracts 1	
DNA2-FRA-17-MGE	5/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	FRA-17-MGE	0.0965	DNA Extracts 1	
DNA2-HER-29-DRS	5/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HER-29-DRS	0.24	DNA Extracts 1	
DNA2-HER-29-MGE	5/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HER-29-MGE	0.459	DNA Extracts 1	
DNA2-IVY-43-DRS	5/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IVY-43-DRS	0.244	DNA Extracts 1	
DNA2-IVY-43-MGE	5/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IVY-43-MGE	0.167	DNA Extracts 1	
DNA2-JAR-57-DRS	5/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JAR-57-DRS	0.6	DNA Extracts 1	low
DNA2-JAR-57-MGE	5/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JAR-57-MGE	0.187	DNA Extracts 1	
DNA3-HAM-1-DRS	6/2/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-1-DRS	3.45	DNA Extracts 1	
DNA3-HAM-1-MGE	6/2/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-1-MGE	0.0431	DNA Extracts 1	
DNA3-FRA-17-DRS	6/2/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	FRA-17-DRS	2.31	DNA Extracts 1	
DNA3-FRA-17-MGE	6/2/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	FRA-17-MGE	0.0304	DNA Extracts 1	
DNA3-HER-29-DRS	6/2/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HER-29-DRS	1.82	DNA Extracts 1	
