Sequence_ID	Pipeline	Library_Tube	Library_Barcode	Extract_ID	Sample_ID	Final_Lib_Conc_(ng/uL)	Vol_Added_Pool_(uL)	Seq_ID	Run_ID	Library_Tube_ID	F_Primer	R_Primer
PAD-1-MGE-L96	16S_LSK	2	barcode02	DNA1-PAD-1-MGE	PAD-1-MGE	12	1.6	CM001	MIN_16_2023-12-21	L96	27F	1391R
GIN-43-DRS-L130	16S_LSK	3	barcode03	DNA1-GIN-43-DRS	GIN-43-DRS	4.83	4.1	CM001	MIN_16_2023-12-21	L130	27F	1391R
CHA-57-DRS-L131	16S_LSK	4	barcode04	DNA1-CHA-57-DRS	CHA-57-DRS	7.4	2.7	CM001	MIN_16_2023-12-21	L131	27F	1391R
HAM-4-DRS-L132	16S_LSK	5	barcode05	DNA1-HAM-4-DRS	HAM-4-DRS	5	3.9	CM001	MIN_16_2023-12-21	L132	27F	1391R
HAM-4-MGE-L133	16S_LSK	6	barcode06	DNA1-HAM-4-MGE	HAM-4-MGE	11	1.8	CM001	MIN_16_2023-12-21	L133	27F	1391R
IRI-36-MGE-L134	16S_LSK	7	barcode07	DNA1-IRI-36-MGE	IRI-36-MGE	5.1	3.9	CM001	MIN_16_2023-12-21	L134	27F	1391R
HER-44-DRS-L137	16S_LSK	8	barcode08	DNA1-HER-44-DRS	HER-44-DRS	12	1.6	CM001	MIN_16_2023-12-21	L137	27F	1391R
HER-44-MGE-L138	16S_LSK	9	barcode09	DNA1-HER-44-MGE	HER-44-MGE	6.2	3.2	CM001	MIN_16_2023-12-21	L138	27F	1391R
LAM-70-DRS-L143	16S_LSK	10	barcode10	DNA1-LAM-70-DRS	LAM-70-DRS	11	1.8	CM001	MIN_16_2023-12-21	L143	27F	1391R
LAM-70-MGE-L144	16S_LSK	11	barcode11	DNA1-LAM-70-MGE	LAM-70-MGE	9.6	2	CM001	MIN_16_2023-12-21	L144	27F	1391R
HER-2-DRS-L145	16S_LSK	12	barcode12	DNA1-HER-2-DRS	HER-2-DRS	12	1.6	CM001	MIN_16_2023-12-21	L145	27F	1391R
HER-2-MGE-L146	16S_LSK	13	barcode13	DNA1-HER-2-MGE	HER-2-MGE	4.11	4.8	CM001	MIN_16_2023-12-21	L146	27F	1391R
IRI-16-DRS-L147	16S_LSK	14	barcode14	DNA1-IRI-16-DRS	IRI-16-DRS	9.8	2	CM001	MIN_16_2023-12-21	L147	27F	1391R
IRI-16-MGE-L148	16S_LSK	15	barcode15	DNA1-IRI-16-MGE	IRI-16-MGE	8.8	2.2	CM001	MIN_16_2023-12-21	L148	27F	1391R
GIN-66-DRS-L155	16S_LSK	16	barcode16	DNA1-GIN-66-DRS	GIN-66-DRS	7	2.8	CM001	MIN_16_2023-12-21	L155	27F	1391R
WOL-70-DRS-L157	16S_LSK	17	barcode17	DNA1-WOL-70-DRS	WOL-70-DRS	10	2	CM001	MIN_16_2023-12-21	L157	27F	1391R
WOL-70-MGE-L158	16S_LSK	18	barcode18	DNA1-WOL-70-MGE	WOL-70-MGE	11	1.8	CM001	MIN_16_2023-12-21	L158	27F	1391R
JAR-2-DRS-L159	16S_LSK	19	barcode19	DNA1-JAR-2-DRS	JAR-2-DRS	7.7	2.6	CM001	MIN_16_2023-12-21	L159	27F	1391R
JAR-2-MGE-L160	16S_LSK	20	barcode20	DNA1-JAR-2-MGE	JAR-2-MGE	7.9	2.5	CM001	MIN_16_2023-12-21	L160	27F	1391R
BUD-16-DRS-L161	16S_LSK	21	barcode21	DNA1-BUD-16-DRS	BUD-16-DRS	8.9	2.2	CM001	MIN_16_2023-12-21	L161	27F	1391R
HAM-17-MGE-L175	16S_LSK	22	barcode22	DNA1-HAM-17-MGE	HAM-17-MGE	8.2	2.4	CM001	MIN_16_2023-12-21	L175	27F	1391R
CHA-41-DRS-L176	16S_LSK	23	barcode23	DNA1-CHA-41-DRS	CHA-41-DRS	9.4	2.1	CM001	MIN_16_2023-12-21	L176	27F	1391R
WOL-44-DRS-L177	16S_LSK	24	barcode24	DNA1-WOL-44-DRS	WOL-44-DRS	11	1.8	CM001	MIN_16_2023-12-21	L177	27F	1391R
WOL-44-MGE-L178	16S_LSK	25	barcode25	DNA1-WOL-44-MGE	WOL-44-MGE	12	1.6	CM001	MIN_16_2023-12-21	L178	27F	1391R
HER-58-DRS-L179	16S_LSK	26	barcode26	DNA1-HER-58-DRS	HER-58-DRS	15	1.3	CM001	MIN_16_2023-12-21	L179	27F	1391R
HER-58-MGE-L180	16S_LSK	27	barcode27	DNA1-HER-58-MGE	HER-58-MGE	7.2	2.7	CM001	MIN_16_2023-12-21	L180	27F	1391R
HER-17-MGE-L187	16S_LSK	28	barcode28	DNA1-HER-17-MGE	HER-17-MGE	6.4	3.1	CM001	MIN_16_2023-12-21	L187	27F	1391R
IVY-36-MGE-L188	16S_LSK	29	barcode29	DNA1-IVY-36-MGE	IVY-36-MGE	11	1.8	CM001	MIN_16_2023-12-21	L188	27F	1391R
GRO-41-DRS-L189	16S_LSK	30	barcode30	DNA1-GRO-41-DRS	GRO-41-DRS	2.12	9.3	CM001	MIN_16_2023-12-21	L189	27F	1391R
