Sample_ID	Date	Study_Day	Sample_Time	Subject	Sample_Collected_By	Bristol	Sample_Stabilizer	Sample_Box	Sample_Notes	Diet_Trial	Group_Phase	Subj_Day
HAM-1-DRS	2023-03-10	1	08:00:00	Hamlet	SA	1	DNA/RNA Shield	1		run-in	baseline	Hamlet_1
HAM-1-MGE	2023-03-10	1	08:00:00	Hamlet	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Hamlet_1
HER-1-DRS	2023-03-10	1	08:00:00	Hera	SA	1	DNA/RNA Shield	1		run-in	baseline	Hera_1
HER-1-MGE	2023-03-10	1	08:00:00	Hera	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Hera_1
JAR-1-DRS	2023-03-10	1	08:00:00	JarJarBinks	SA	3	DNA/RNA Shield	1		run-in	baseline	JarJarBinks_1
JAR-1-MGE	2023-03-10	1	08:00:00	JarJarBinks	SA	3	Molecular Grade (96%) Ethanol	1		run-in	baseline	JarJarBinks_1
WOL-1-DRS	2023-03-10	1	08:00:00	Wolverine	SA	1	DNA/RNA Shield	1		run-in	baseline	Wolverine_1
WOL-1-MGE	2023-03-10	1	08:00:00	Wolverine	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Wolverine_1
IRI-1-DRS	2023-03-10	1	08:00:00	Iris	SA	2	DNA/RNA Shield	1		run-in	baseline	Iris_1
IRI-1-MGE	2023-03-10	1	08:00:00	Iris	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Iris_1
GOO-1-DRS	2023-03-10	1	07:30:00	Goose	SA	2	DNA/RNA Shield	1		run-in	baseline	Goose_1
GOO-1-MGE	2023-03-10	1	07:30:00	Goose	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Goose_1
LAM-1-DRS	2023-03-10	1	07:30:00	Lambchop	SA	2	DNA/RNA Shield	1		run-in	baseline	Lambchop_1
LAM-1-MGE	2023-03-10	1	07:30:00	Lambchop	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Lambchop_1
IVY-1-DRS	2023-03-10	1	07:30:00	Ivy	SA	1	DNA/RNA Shield	1		run-in	baseline	Ivy_1
IVY-1-MGE	2023-03-10	1	07:30:00	Ivy	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Ivy_1
PAD-1-DRS	2023-03-10	1	07:30:00	Padme	SA	4	DNA/RNA Shield	1		run-in	baseline	Padme_1
PAD-1-MGE	2023-03-10	1	07:30:00	Padme	SA	4	Molecular Grade (96%) Ethanol	1		run-in	baseline	Padme_1
JOA-1-DRS	2023-03-10	1	07:30:00	Joans	SA	1	DNA/RNA Shield	1		run-in	baseline	Joans_1
JOA-1-MGE	2023-03-10	1	07:30:00	Joans	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Joans_1
GIN-1-DRS	2023-03-10	1	07:30:00	Ginger	SA	2	DNA/RNA Shield	1		run-in	baseline	Ginger_1
GIN-1-MGE	2023-03-10	1	07:30:00	Ginger	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Ginger_1
HAM-2-DRS	2023-03-11	2	08:00:00	Hamlet	SA	1	DNA/RNA Shield	1		run-in	baseline	Hamlet_2
HAM-2-MGE	2023-03-11	2	08:00:00	Hamlet	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Hamlet_2
HER-2-DRS	2023-03-11	2	08:00:00	Hera	SA	2	DNA/RNA Shield	1		run-in	baseline	Hera_2
HER-2-MGE	2023-03-11	2	08:00:00	Hera	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Hera_2
JAR-2-DRS	2023-03-11	2	08:00:00	JarJarBinks	SA	3	DNA/RNA Shield	1		run-in	baseline	JarJarBinks_2
JAR-2-MGE	2023-03-11	2	08:00:00	JarJarBinks	SA	3	Molecular Grade (96%) Ethanol	1		run-in	baseline	JarJarBinks_2
OPH-2-DRS	2023-03-11	2	08:00:00	Ophelia	SA	1	DNA/RNA Shield	1		run-in	baseline	Ophelia_2
OPH-2-MGE	2023-03-11	2	08:00:00	Ophelia	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Ophelia_2
WOL-2-DRS	2023-03-11	2	08:00:00	Wolverine	SA	1	DNA/RNA Shield	1		run-in	baseline	Wolverine_2
WOL-2-MGE	2023-03-11	2	08:00:00	Wolverine	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Wolverine_2
IRI-2-DRS	2023-03-11	2	08:00:00	Iris	SA	1	DNA/RNA Shield	1		run-in	baseline	Iris_2
IRI-2-MGE	2023-03-11	2	08:00:00	Iris	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Iris_2
GOO-2-DRS	2023-03-11	2	07:30:00	Goose	SA	1	DNA/RNA Shield	1		run-in	baseline	Goose_2
GOO-2-MGE	2023-03-11	2	07:30:00	Goose	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Goose_2
LAM-2-DRS	2023-03-11	2	07:30:00	Lambchop	SA	2	DNA/RNA Shield	1		run-in	baseline	Lambchop_2
LAM-2-MGE	2023-03-11	2	07:30:00	Lambchop	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Lambchop_2
IVY-2-DRS	2023-03-11	2	07:30:00	Ivy	SA	2	DNA/RNA Shield	1		run-in	baseline	Ivy_2
IVY-2-MGE	2023-03-11	2	07:30:00	Ivy	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Ivy_2
JOA-2-DRS	2023-03-11	2	07:30:00	Joans	SA	1	DNA/RNA Shield	1		run-in	baseline	Joans_2
JOA-2-MGE	2023-03-11	2	07:30:00	Joans	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Joans_2
HEN-2-DRS	2023-03-11	2	07:30:00	Henry	SA	3	DNA/RNA Shield	1		run-in	baseline	Henry_2
HEN-2-MGE	2023-03-11	2	07:30:00	Henry	SA	3	Molecular Grade (96%) Ethanol	1		run-in	baseline	Henry_2
GIN-2-DRS	2023-03-11	2	07:30:00	Ginger	SA	3	DNA/RNA Shield	1		run-in	baseline	Ginger_2
GIN-2-MGE	2023-03-11	2	07:30:00	Ginger	SA	3	Molecular Grade (96%) Ethanol	1		run-in	baseline	Ginger_2
HAM-3-DRS	2023-03-12	3	08:00:00	Hamlet	SA	1	DNA/RNA Shield	1		run-in	baseline	Hamlet_3
HAM-3-MGE	2023-03-12	3	08:00:00	Hamlet	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Hamlet_3
JAR-3-DRS	2023-03-12	3	08:00:00	JarJarBinks	SA	1	DNA/RNA Shield	1		run-in	baseline	JarJarBinks_3
JAR-3-MGE	2023-03-12	3	08:00:00	JarJarBinks	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	JarJarBinks_3
OPH-3-DRS	2023-03-12	3	08:00:00	Ophelia	SA	1	DNA/RNA Shield	1		run-in	baseline	Ophelia_3
