"","Date","Study_Day","Subject","Weight_g","Weight_Collected_By","Weight_Notes"
"1",2023-04-14,36,"Hamlet",460,"SA",""
"2",2023-04-14,36,"Hera",545,"SA",""
"3",2023-04-14,36,"JarJarBinks",475,"SA",""
"4",2023-04-14,36,"Ophelia",430,"SA",""
"5",2023-04-14,36,"Kubo",380,"SA",""
"6",2023-04-14,36,"Korra",505,"SA",""
"7",2023-04-14,36,"Wolverine",445,"SA",""
"8",2023-04-14,36,"Iris",370,"SA",""
"9",2023-04-14,36,"Goose",455,"SA",""
"10",2023-04-14,36,"Lambchop",305,"SA",""
"11",2023-04-14,36,"Franc",440,"SA",""
"12",2023-04-14,36,"Ivy",380,"SA",""
"13",2023-04-14,36,"Charles",380,"SA",""
"14",2023-04-14,36,"Grogu",460,"SA",""
"15",2023-04-14,36,"Marshmallow",395,"SA",""
"16",2023-04-14,36,"Buddy",415,"SA",""
"17",2023-04-14,36,"Joans",505,"SA",""
"18",2023-04-14,36,"Henry",400,"SA",""
"19",2023-04-14,36,"Ginger",405,"SA",""
"20",2023-04-18,40,"Hamlet",465,"SA",""
"21",2023-04-18,40,"Hera",545,"SA",""
"22",2023-04-18,40,"JarJarBinks",480,"SA",""
"23",2023-04-18,40,"Ophelia",420,"SA",""
"24",2023-04-18,40,"Kubo",385,"SA",""
"25",2023-04-18,40,"Korra",520,"SA",""
"26",2023-04-18,40,"Wolverine",440,"SA",""
"27",2023-04-18,40,"Iris",370,"SA",""
"28",2023-04-18,40,"Goose",460,"SA",""
"29",2023-04-18,40,"Lambchop",315,"SA",""
"30",2023-04-18,40,"Franc",440,"SA",""
"31",2023-04-18,40,"Ivy",380,"SA",""
"32",2023-04-18,40,"Charles",355,"SA",""
"33",2023-04-18,40,"Grogu",495,"SA",""
"34",2023-04-18,40,"Marshmallow",395,"SA",""
"35",2023-04-18,40,"Buddy",420,"SA",""
"36",2023-04-18,40,"Joans",510,"SA",""
"37",2023-04-18,40,"Henry",395,"SA",""
"38",2023-04-18,40,"Ginger",395,"SA",""
"39",2023-04-23,45,"Hamlet",455,"SA",""
"40",2023-04-23,45,"Hera",540,"SA",""
"41",2023-04-23,45,"JarJarBinks",465,"SA",""
"42",2023-04-23,45,"Ophelia",420,"SA",""
"43",2023-04-23,45,"Kubo",380,"SA",""
"44",2023-04-23,45,"Korra",540,"SA",""
"45",2023-04-23,45,"Wolverine",440,"SA",""
"46",2023-04-23,45,"Iris",360,"SA",""
"47",2023-04-23,45,"Goose",460,"SA",""
"48",2023-04-23,45,"Lambchop",325,"SA",""
"49",2023-04-23,45,"Franc",445,"SA",""
"50",2023-04-23,45,"Ivy",390,"SA",""
"51",2023-04-23,45,"Charles",355,"SA",""
"52",2023-04-23,45,"Grogu",490,"SA",""
"53",2023-04-23,45,"Marshmallow",385,"SA",""
"54",2023-04-23,45,"Buddy",410,"SA",""
"55",2023-04-23,45,"Joans",510,"SA",""
"56",2023-04-23,45,"Henry",400,"SA",""
"57",2023-04-23,45,"Ginger",400,"SA",""
"58",2023-05-03,55,"Hamlet",465,"SA",""
"59",2023-05-03,55,"Hera",535,"SA",""
"60",2023-05-03,55,"JarJarBinks",475,"SA",""
"61",2023-05-03,55,"Ophelia",410,"SA",""
"62",2023-05-03,55,"Kubo",355,"SA",""
"63",2023-05-03,55,"Korra",445,"SA",""
"64",2023-05-03,55,"Wolverine",440,"SA",""
"65",2023-05-03,55,"Iris",370,"SA",""
"66",2023-05-03,55,"Goose",445,"SA",""
"67",2023-05-03,55,"Lambchop",345,"SA",""
"68",2023-05-03,55,"Franc",455,"SA",""
"69",2023-05-03,55,"Ivy",375,"SA",""
"70",2023-05-03,55,"Charles",380,"SA",""
"71",2023-05-03,55,"Grogu",490,"SA",""
"72",2023-05-03,55,"Marshmallow",385,"SA",""
"73",2023-05-03,55,"Buddy",420,"SA",""
"74",2023-05-03,55,"Joans",530,"SA",""
"75",2023-05-03,55,"Henry",405,"SA",""
"76",2023-05-03,55,"Ginger",395,"SA",""
"77",2023-05-14,66,"Hamlet",460,"SA",""
"78",2023-05-14,66,"Hera",545,"SA",""
"79",2023-05-14,66,"JarJarBinks",465,"SA",""
"80",2023-05-14,66,"Ophelia",410,"SA",""
"81",2023-05-14,66,"Kubo",380,"SA",""
"82",2023-05-14,66,"Korra",450,"SA",""
"83",2023-05-14,66,"Wolverine",440,"SA",""
"84",2023-05-14,66,"Iris",350,"SA",""
"85",2023-05-14,66,"Goose",450,"SA",""
"86",2023-05-14,66,"Lambchop",350,"SA",""
"87",2023-05-14,66,"Franc",460,"SA",""
"88",2023-05-14,66,"Ivy",380,"SA",""
"89",2023-05-14,66,"Charles",385,"SA",""
"90",2023-05-14,66,"Grogu",510,"SA",""
"91",2023-05-14,66,"Marshmallow",385,"SA",""
"92",2023-05-14,66,"Buddy",475,"SA","carrying 2 babies (1 baby =~20g)"
"93",2023-05-14,66,"Joans",465,"SA",""
"94",2023-05-14,66,"Henry",405,"SA",""
"95",2023-05-14,66,"Ginger",400,"SA",""
