"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.367555555555556	0.394	0.219333333333333	0.254888888888889	0.437111111111111	0.174444444444444	0.270444444444444	0.359111111111111	0.581777777777778	0.454444444444444	0.205555555555556	0.148444444444444	0.105555555555556	0.332	0.0433333333333333	0.0195555555555556	0.0651111111111111	0.00333333333333333	0.225777777777778	0	0.0251111111111111	0.130555555555556	0.0168888888888889	0.109777777777778	0.341555555555556	0.166333333333333	0.0251111111111111	0.259777777777778	0.088	0.136	0.158	0.0893333333333333	0.155333333333333
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.000444444444444444	0	0.124444444444444	0.002	0.0433333333333333	0.0666666666666667	0.0508888888888889	0.0557777777777778	0.000444444444444444	0.0353333333333333	0	0.0133333333333333	0.344222222222222	0	0.369111111111111	0.000444444444444444	0.000444444444444444	0.00177777777777778	0.00266666666666667	0.436111111111111	0.321555555555556	0.00122222222222222	0.304666666666667	0.390111111111111	0	0	0.334888888888889	0.259777777777778	0.482666666666667	0.0117777777777778	0.214	0.109333333333333	0.00822222222222222
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.202222222222222	0.151555555555556	0.148	0.0706666666666667	0.0724444444444445	0.172666666666667	0.0935555555555556	0.0748888888888889	0.0708888888888889	0.151111111111111	0.113555555555556	0.208888888888889	0.115555555555556	0.145555555555556	0.0284444444444444	0.0693333333333333	0.0157777777777778	0.0506666666666667	0.184222222222222	0	0.145111111111111	0.239	0.0995555555555555	0.0411111111111111	0.173777777777778	0.193555555555556	0.0642222222222222	0.101333333333333	0.0237777777777778	0.200222222222222	0.0876666666666667	0.102888888888889	0.0953333333333333
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.000888888888888889	0	0.0793333333333333	0.00222222222222222	0.0417777777777778	0.0417777777777778	0.0304444444444444	0.0306666666666667	0.000222222222222222	0.00111111111111111	0	0	0.188	0	0.229777777777778	0	0.000222222222222222	0.00222222222222222	0.00133333333333333	0.234111111111111	0.181111111111111	0.000777777777777778	0.180222222222222	0.225888888888889	0	0	0.213333333333333	0.165777777777778	0.266222222222222	0.0113333333333333	0.119555555555556	0.0595555555555556	0.00444444444444444
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0777777777777778	0.106222222222222	0.118	0.0153333333333333	0.0353333333333333	0.0162222222222222	0.0908888888888889	0.00866666666666667	0.0791111111111111	0.0393333333333333	0.0508888888888889	0.0264444444444444	0.0193333333333333	0.0768888888888889	0.0133333333333333	0.0162222222222222	0.0211111111111111	0.002	0.189333333333333	0	0.0791111111111111	0.0443333333333333	0.0651111111111111	0.0938888888888889	0.176666666666667	0.216666666666667	0.0206666666666667	0.00777777777777778	0.0617777777777778	0.220888888888889	0.0406666666666667	0.0811111111111111	0.105777777777778
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0648888888888889	0.0746666666666667	0.0155555555555556	0.119333333333333	0.0691111111111111	0.0982222222222222	0.00866666666666667	0.0362222222222222	0.0331111111111111	0.110666666666667	0.0577777777777778	0.165555555555556	0.0393333333333333	0.0206666666666667	0.028	0.212666666666667	0.152888888888889	0.197333333333333	0.0275555555555556	0.000111111111111111	0.0168888888888889	0.0626666666666667	0.0286666666666667	0.00344444444444444	0.07	0.0196666666666667	0.0295555555555556	0.00977777777777778	0.00177777777777778	0.127111111111111	0.083	0.124	0.0737777777777778
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella"	0.0824444444444444	0	0.139777777777778	0.00133333333333333	0.00133333333333333	0.006	0.124888888888889	0.0206666666666667	0.0355555555555556	0.00422222222222222	0.00777777777777778	0.00377777777777778	0.00466666666666667	0.00222222222222222	0.00777777777777778	0.246	0.0282222222222222	0.00333333333333333	0.0526666666666667	0.000111111111111111	0.0535555555555556	0.0188888888888889	0.111555555555556	0.0655555555555556	0.0175555555555556	0.0106666666666667	0.048	0.0168888888888889	0.0204444444444444	0.117777777777778	0.0976666666666667	0.0442222222222222	0.154666666666667
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0	0	0.0184444444444444	0	0	0.00622222222222222	0.186888888888889	0	0	0	0	0	0.0166666666666667	0	0.218	0	0.000444444444444444	0.582	0.0186666666666667	0	0	0.191444444444444	0	0.000111111111111111	0	0	0	0.000222222222222222	0	0.0104444444444444	0	0.168666666666667	0
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.00644444444444444	0.026	0.00733333333333333	0.375555555555556	0.0833333333333333	0.197333333333333	0.00666666666666667	0.226666666666667	0.0306666666666667	0.0371111111111111	0.048	0.00333333333333333	0.0455555555555556	0.0137777777777778	0.00666666666666667	0.00355555555555556	0.0133333333333333	0	0	0.000333333333333333	0.00133333333333333	0.0241111111111111	0.00488888888888889	0	0.00644444444444444	0.0175555555555556	0.02	0.0171111111111111	0	0.018	0.137222222222222	0	0.000444444444444444
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium"	0.0528888888888889	0.0442222222222222	0.018	0.0224444444444444	0.0453333333333333	0.0171111111111111	0.0424444444444444	0.00955555555555555	0.0542222222222222	0.0442222222222222	0.0217777777777778	0.0417777777777778	0.0153333333333333	0.0393333333333333	0.00577777777777778	0.0195555555555556	0.00822222222222222	0.00311111111111111	0.148222222222222	0.000111111111111111	0.0222222222222222	0.0473333333333333	0.0153333333333333	0.0243333333333333	0.0735555555555556	0.132666666666667	0.0155555555555556	0.008	0.0244444444444444	0.0357777777777778	0.00322222222222222	0.0522222222222222	0.0911111111111111
