"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales"	0.3675	0.39375	0.21925	0.255	0.437	0.17475	0.27075	0.35925	0.582	0.4545	0.2055	0.14825	0.1055	0.332	0.0435	0.0195	0.06525	0.00325	0.226	0	0.02525	0.1305	0.0175	0.109875	0.34175	0.16625	0.02525	0.26	0.088	0.136	0.157875	0.08925	0.15575	0.299
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.18875	0.1305	0.1845	0.15075	0.08675	0.16225	0.16875	0.09475	0.082	0.14	0.47825	0.28975	0.0795	0.15275	0.04975	0.636	0.4585	0.27	0.1145	0.000625	0.1715	0.1705	0.21325	0.083125	0.126	0.13925	0.178	0.054	0.02575	0.2685	0.19025	0.24925	0.37575	0.16775
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales"	0.00175	0	0.20425	0.004	0.08575	0.1095	0.0815	0.09	0.001	0.037	0	0.014	0.53325	0	0.59975	0.00025	0.00125	0.00425	0.004	0.670375	0.5025	0.001875	0.48575	0.616375	0	0	0.54825	0.426	0.74975	0.0235	0.33375	0.169	0.0125	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales"	0.20225	0.1515	0.14775	0.07075	0.0725	0.17275	0.0935	0.075	0.071	0.15125	0.11375	0.20875	0.11575	0.1455	0.02825	0.0695	0.01575	0.05075	0.18425	0	0.14525	0.239	0.0995	0.04125	0.17375	0.1935	0.06425	0.1015	0.02375	0.20025	0.087625	0.10275	0.09525	0.23025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales"	0.1005	0.10675	0.05525	0.0865	0.15125	0.1095	0.06525	0.09975	0.10925	0.09125	0.06125	0.20925	0.04525	0.21	0.01175	0.02875	0.02475	0.00375	0.212	0	0.0475	0.13175	0.08325	0.03325	0.10925	0.20625	0.12125	0.086	0.03575	0.0725	0.0075	0.0895	0.14625	0.17975
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales"	0.08375	0.10625	0.124	0.01775	0.0385	0.0175	0.09325	0.009	0.07975	0.04175	0.0515	0.02725	0.02075	0.08	0.014	0.0175	0.02125	0.00225	0.20075	0.00225	0.0875	0.048875	0.0705	0.094875	0.1845	0.223875	0.0215	0.00775	0.06625	0.22625	0.041125	0.088	0.11	0.05375
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales"	0.01025	0.019	0.019	0.005	0.0075	0.0165	0.1945	0.0055	0.00875	0.0095	0.00575	0.008	0.03475	0.00575	0.2225	0.00475	0.0025	0.59275	0.0265	0.000125	0.0035	0.20875	0.00075	0.003125	0.01075	0.008125	0.00225	0.00275	0.001	0.01775	0.007875	0.174	0.001	0.01375
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales"	0.0065	0.02575	0.0075	0.37525	0.0835	0.1975	0.00675	0.2265	0.03075	0.03725	0.04775	0.00325	0.04575	0.014	0.00675	0.0035	0.01325	0	0	0.00075	0.00125	0.024125	0.00475	0	0.00625	0.0175	0.01975	0.017	0	0.01775	0.1375	0	5e-04	0.00375
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales"	0.0155	0.01675	0.01975	0.0075	0.00625	0.01025	0.01625	0.00925	0.02825	0.021	0.01575	0.01125	0.0075	0.0045	0.01975	0.1875	0.11575	0.064	0.02175	0.00025	0.008	0.008375	0.008	0.012625	0.0305	0.02175	0.01025	0.0055	0.007	0.01475	0.018375	0.0275	0.05125	0.01075
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales"	0.01425	0.02375	0.014	0.0225	0.02525	0.0265	0.00525	0.0165	0.005	0.01325	0.0155	0.06775	0.01025	0.045	0.0015	0.008	0.006	0.00175	0.00875	0.0025	0.004	0.0255	0.01275	0.000625	0.01525	0.02225	0.00625	0.03125	0.002	0.017	0.001125	0.0055	0.0355	0.03725
