"Taxa"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"k__Bacteria|p__Bacillota|c__Negativicutes"	0.0782222222222222	0.508444444444444	0.386222222222222	0.00111111111111111	0.276222222222222	0.643555555555556	0.320666666666667	0.537333333333333	0.499777777777778	0.612444444444444	0.426	0.531333333333333	0.499111111111111	0.130444444444444	0.509111111111111	0.498666666666667	0.544888888888889	0.459555555555556	0.608666666666667	0.540444444444444	0.521444444444444	0.255555555555556	0.357333333333333	0.479555555555556	0.701333333333333	0.499555555555556	0.0471111111111111	0.574666666666667	0.290444444444444	0.311777777777778	0.155333333333333	0.322666666666667	0.492666666666667	0.373777777777778	0.422888888888889	0.455111111111111	0.491111111111111	0.479555555555556	0.472666666666667	0.577777777777778	0.382	0.481111111111111	0.52	0.705777777777778	0.356	0.464666666666667	0.694888888888889	0.434444444444444	0.589333333333333	0.334444444444444	0.547333333333333	0.653777777777778	0.590888888888889	0.596222222222222	0.619111111111111	0.0864444444444444	0.587333333333333	0.722444444444444	0.617111111111111	0.656	0.298222222222222	0.640888888888889	0.576	0.635777777777778	0.342444444444444	0.377555555555556
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.572	0.156222222222222	0.338666666666667	0.00288888888888889	0.00533333333333333	0.179111111111111	0.383111111111111	0.214666666666667	0.180444444444444	0.260888888888889	0.185333333333333	0.134666666666667	0.266222222222222	0.0446666666666667	0.256	0.205111111111111	0.122444444444444	0.299333333333333	0.298	0.210444444444444	0.149111111111111	0.0544444444444444	0.244666666666667	0.138222222222222	0.0346666666666667	0.297777777777778	0.501777777777778	0.286444444444444	0.531333333333333	0.459333333333333	0.0677777777777778	0.435555555555556	0.168222222222222	0.345333333333333	0.390222222222222	0.356666666666667	0.378	0.304	0.274666666666667	0.239777777777778	0.146	0.218666666666667	0.314888888888889	0.117111111111111	0.415555555555556	0.197777777777778	0.152888888888889	0.168666666666667	0.244888888888889	0.426666666666667	0.186222222222222	0.137777777777778	0.290222222222222	0.212444444444444	0.259111111111111	0.0702222222222222	0.0608888888888889	0.207333333333333	0.167111111111111	0.142888888888889	0.261111111111111	0.0982222222222222	0.18	0.146888888888889	0.567555555555556	0.155333333333333
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria"	0.00511111111111111	0.0844444444444444	0.122	0.983111111111111	0.679777777777778	0.0391111111111111	0.086	0.0866666666666667	0.0684444444444444	0.0164444444444444	0.108	0.243777777777778	0.0208888888888889	0.800666666666667	0.111555555555556	0.140444444444444	0.250666666666667	0.0473333333333333	0.00577777777777778	0.122666666666667	0.0198888888888889	0.604888888888889	0.282444444444444	0.137555555555556	0.08	0.00711111111111111	0.221333333333333	0.0413333333333333	0.00622222222222222	0.0122222222222222	0.649555555555556	0.0975555555555556	0.136	0.0962222222222222	0.0182222222222222	0.0368888888888889	0.0306666666666667	0.006	0.0273333333333333	0.00911111111111111	0.311555555555556	0.149333333333333	0.0211111111111111	0.0977777777777778	0.0557777777777778	0.205555555555556	0.00288888888888889	0.0771111111111111	0.0122222222222222	0.0702222222222222	0.0784444444444444	0.0577777777777778	0.0213333333333333	0.016	0.042	0.798444444444444	0.266666666666667	0.0166666666666667	0.105777777777778	0.0202222222222222	0.306	0.0182222222222222	0.0244444444444444	0.00511111111111111	0.0266666666666667	0.288666666666667
"k__Bacteria|p__Bacillota|c__Clostridia"	0.0113333333333333	0.0602222222222222	0.126222222222222	0.00244444444444444	0.0128888888888889	0.0526666666666667	0.0866666666666667	0.14	0.165555555555556	0.0728888888888889	0.0397777777777778	0.0493333333333333	0.180888888888889	0.0228888888888889	0.088	0.124	0.0664444444444444	0.150222222222222	0.0675555555555555	0.0746666666666667	0.193111111111111	0.0826666666666667	0.0442222222222222	0.214444444444444	0.151555555555556	0.133333333333333	0.0131111111111111	0.0566666666666667	0.0724444444444445	0.118666666666667	0.117555555555556	0.0982222222222222	0.168	0.0966666666666667	0.107333333333333	0.110888888888889	0.0204444444444444	0.191555555555556	0.209111111111111	0.143111111111111	0.128222222222222	0.117333333333333	0.0991111111111111	0.0593333333333333	0.134666666666667	0.0917777777777778	0.122222222222222	0.294444444444444	0.113333333333333	0.144222222222222	0.126	0.115555555555556	0.0746666666666667	0.130666666666667	0.0335555555555556	0.0366666666666667	0.0455555555555556	0.0211111111111111	0.0793333333333333	0.16	0.112444444444444	0.159555555555556	0.169111111111111	0.178444444444444	0.0217777777777778	0.143111111111111
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria"	0.130222222222222	0.0411111111111111	0.0206666666666667	0	0.024	0.0606666666666667	0.0215555555555556	0.0126666666666667	0.016	0.01	0.0228888888888889	0.0286666666666667	0.0277777777777778	0.00111111111111111	0.02	0.00711111111111111	0.014	0.0366666666666667	0.0148888888888889	0.0282222222222222	0.0165555555555556	0.000666666666666667	0.0404444444444444	0.0193333333333333	0.0108888888888889	0.0233333333333333	0.151333333333333	0.0113333333333333	0.0417777777777778	0.0153333333333333	0.00511111111111111	0.0353333333333333	0.0224444444444444	0.06	0.0455555555555556	0.0204444444444444	0.0468888888888889	0.012	0.0122222222222222	0.0166666666666667	0.0293333333333333	0.0204444444444444	0.0153333333333333	0.0184444444444444	0.0142222222222222	0.0237777777777778	0.0191111111111111	0.0231111111111111	0.0293333333333333	0.0191111111111111	0.0426666666666667	0.032	0.022	0.0248888888888889	0.0257777777777778	0.00155555555555556	0.0286666666666667	0.0195555555555556	0.0266666666666667	0.0168888888888889	0.0193333333333333	0.00955555555555555	0.00911111111111111	0.0193333333333333	0.0262222222222222	0.0124444444444444
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia"	0	0.145333333333333	0.000888888888888889	0.000222222222222222	0.000444444444444444	0.00577777777777778	0.0868888888888889	0.00466666666666667	0.0495555555555556	0.014	0.204222222222222	0.00977777777777778	0.00266666666666667	0	0.01	0.0213333333333333	0	0.00444444444444444	0.00355555555555556	0.00866666666666667	0.0745555555555556	0	0.00688888888888889	0.00666666666666667	0.000222222222222222	0.0284444444444444	0	0.0235555555555556	0.00933333333333333	0.0157777777777778	0.00133333333333333	0	0.00511111111111111	0.0142222222222222	0.00111111111111111	0.018	0.0286666666666667	0.00177777777777778	0.000666666666666667	0.012	0.00155555555555556	0	0.0282222222222222	0.000222222222222222	0.00666666666666667	0.00488888888888889	0.004	0.000222222222222222	0.00422222222222222	0.000666666666666667	0.00955555555555555	0	0	0.00355555555555556	0.00555555555555556	0.000666666666666667	0.00688888888888889	0.00288888888888889	0	0	0.000666666666666667	0.00933333333333333	0.0142222222222222	0.012	0.00555555555555556	0.00577777777777778
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia"	0.0133333333333333	0.00311111111111111	0.00488888888888889	0.000222222222222222	0.000222222222222222	0.014	0.006	0.00355555555555556	0.00577777777777778	0.00711111111111111	0.0126666666666667	0.000444444444444444	0.00244444444444444	0.000222222222222222	0.00511111111111111	0.00333333333333333	0.00111111111111111	0.002	0.00111111111111111	0.012	0.0105555555555556	0.00111111111111111	0.0235555555555556	0.00111111111111111	0.0206666666666667	0.00666666666666667	0.00466666666666667	0.00466666666666667	0.0482222222222222	0.0664444444444444	0.00222222222222222	0.01	0.00333333333333333	0.0137777777777778	0.0144444444444444	0.00133333333333333	0.00111111111111111	0.00422222222222222	0.00311111111111111	0.00155555555555556	0.00133333333333333	0.012	0.00133333333333333	0.00133333333333333	0.0153333333333333	0.0113333333333333	0.00333333333333333	0.00177777777777778	0.00466666666666667	0.00444444444444444	0.00977777777777778	0.002	0.000666666666666667	0.0111111111111111	0.00177777777777778	0.002	0.00355555555555556	0.00311111111111111	0.00288888888888889	0.00355555555555556	0.00177777777777778	0.0622222222222222	0.024	0.00155555555555556	0.00822222222222222	0.0162222222222222
"k__Bacteria|p__Actinomycetota|c__Actinomycetes"	0.189777777777778	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0.000222222222222222	0	0.000111111111111111	0	0	0	0.000222222222222222	0.000222222222222222	0.0602222222222222	0	0	0.000222222222222222	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0.000444444444444444	0.000222222222222222	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0	0	0.000222222222222222	0.000222222222222222
"k__Bacteria|p__Bacillota|c__Bacilli"	0	0.000888888888888889	0	0.01	0.00111111111111111	0.00511111111111111	0.00244444444444444	0	0.0106666666666667	0.006	0.00111111111111111	0.002	0	0	0	0	0.000444444444444444	0	0.000222222222222222	0.00288888888888889	0.0131111111111111	0.000666666666666667	0.000444444444444444	0.000444444444444444	0.000444444444444444	0.000222222222222222	0	0.00133333333333333	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.000666666666666667	0.000888888888888889	0	0.000222222222222222	0	0.00288888888888889	0.000666666666666667	0.000222222222222222	0	0	0.000666666666666667	0	0	0	0.000222222222222222	0	0	0.000666666666666667	0.000222222222222222	0	0.00111111111111111	0	0.00466666666666667	0.0126666666666667	0.00133333333333333	0.000222222222222222	0.00622222222222222	0.00111111111111111	0.000222222222222222	0.000444444444444444	0.002	0.000888888888888889	0	0.00133333333333333	0.000444444444444444
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes"	0	0	0.000444444444444444	0	0	0	0.00666666666666667	0	0.00288888888888889	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0.00155555555555556	0	0	0.00266666666666667	0	0.00288888888888889	0.000444444444444444	0	0	0	0.000666666666666667	0	0.00288888888888889	0	0	0.000666666666666667	0	0	0	0	0	0	0	0	0.00177777777777778	0	0.000444444444444444	0	0.00133333333333333	0	0	0	0	0	0	0.00244444444444444	0	0	0	0	0	0	0.00222222222222222	0.000888888888888889	0	0.000222222222222222
