"Taxa"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales"	0.262444444444444	0.378444444444444	0.231555555555556	0.378222222222222	0.212	0.515777777777778	0.195555555555556	0.176444444444444	0.192666666666667	0.155777777777778	0.333777777777778	0.264222222222222	0.418888888888889	0.194222222222222	0.315555555555556	0.18	0.102888888888889	0.098	0.392666666666667	0.114222222222222	0.149555555555556	0.250888888888889	0.122888888888889	0.162444444444444	0.225555555555556	0.18	0.084	0.139777777777778	0.428222222222222	0.264444444444444	0.203777777777778	0.236222222222222	0.173333333333333	0.164	0.268222222222222	0.266666666666667	0.610666666666667	0.105111111111111	0.103111111111111	0.0944444444444444	0.338222222222222	0.209333333333333	0.15	0.136666666666667	0.207111111111111	0.142222222222222	0.308222222222222	0.309777777777778	0.132444444444444	0.138222222222222	0.0291111111111111	0.0864444444444444	0.164444444444444	0.366666666666667	0.177333333333333	0.130888888888889	0.186	0.394222222222222	0.306222222222222	0.0728888888888889	0.094	0.236222222222222	0.109777777777778	0.00888888888888889	0.207111111111111	0.101111111111111	0.143111111111111	0.154444444444444	0.0977777777777778	0.402	0.295555555555556	0.381777777777778	0.137777777777778	0.160888888888889	0.0724444444444445	0.219333333333333	0.310666666666667	0.373111111111111	0.0582222222222222	0.325777777777778	0.145555555555556	0.143333333333333	0.181111111111111	0.0855555555555556	0.215777777777778	0.0731111111111111	0.281333333333333	0.0275555555555556	0.112888888888889	0.184666666666667	0.0162222222222222	0.0393333333333333	0.350111111111111	0.0782222222222222	0.144444444444444	0.178222222222222	0.026	0.336
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.153777777777778	0.0844444444444444	0.231777777777778	0.111777777777778	0	0.193111111111111	0.184222222222222	0.239555555555556	0.325333333333333	0.184666666666667	0.185777777777778	0	0.114666666666667	0.263555555555556	0.294888888888889	0.142888888888889	0.193555555555556	0.223111111111111	0.150222222222222	0.168444444444444	0.175111111111111	0.144666666666667	0.191777777777778	0.157555555555556	0.150888888888889	0.165333333333333	0.0637777777777778	0.189777777777778	0.183777777777778	0.122222222222222	0.199333333333333	0.260444444444444	0.107777777777778	0.302666666666667	0.143333333333333	0.303555555555556	0.117555555555556	0.156888888888889	0.171333333333333	0.252444444444444	0.153777777777778	0.128666666666667	0.261777777777778	0.1	0.259555555555556	0.283111111111111	0.0782222222222222	0.108888888888889	0.299777777777778	0.365777777777778	0.04	0.341111111111111	0.298666666666667	0.0595555555555556	0.255111111111111	0.0628888888888889	0.167111111111111	0.0604444444444444	0.262444444444444	0.0762222222222222	0.0688888888888889	0.227333333333333	0.312444444444444	0.0324444444444444	0.275777777777778	0.172	0.0542222222222222	0.0462222222222222	0.241333333333333	0.0648888888888889	0.150222222222222	0.182222222222222	0.309111111111111	0.0564444444444444	0.0693333333333333	0.117555555555556	0.223777777777778	0.088	0.0246666666666667	0.134	0.446444444444444	0.244444444444444	0.309555555555556	0.516222222222222	0.127555555555556	0.352444444444444	0.148	0.056	0.2	0.298666666666667	0.0211111111111111	0.251333333333333	0.130666666666667	0.310444444444444	0.0553333333333333	0.268444444444444	0.0568888888888889	0.193111111111111
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales"	0.143333333333333	0.124444444444444	0.219111111111111	0.0768888888888889	0	0.0744444444444444	0.331555555555556	0.253777777777778	0.188	0.188	0.191555555555556	0	0.155111111111111	0.307555555555556	0.123777777777778	0.152888888888889	0.263555555555556	0.339111111111111	0.130222222222222	0.181555555555556	0.152666666666667	0.258888888888889	0.162444444444444	0.177555555555556	0.255333333333333	0.108	0.0448888888888889	0.260666666666667	0.116222222222222	0.208888888888889	0.280222222222222	0.142	0.142888888888889	0.241111111111111	0.112222222222222	0.152444444444444	0.0862222222222222	0.133111111111111	0.215777777777778	0.113333333333333	0.08	0.206111111111111	0.223111111111111	0.125111111111111	0.188888888888889	0.137333333333333	0.0784444444444444	0.0846666666666667	0.117777777777778	0.178444444444444	0.0746666666666667	0.134222222222222	0.234666666666667	0.0833333333333333	0.247777777777778	0.0826666666666667	0.116	0.0442222222222222	0.113111111111111	0.0991111111111111	0.101555555555556	0.218888888888889	0.165777777777778	0.0286666666666667	0.202444444444444	0.231555555555556	0.131555555555556	0.0417777777777778	0.149111111111111	0.0886666666666667	0.238888888888889	0.164444444444444	0.250444444444444	0.0973333333333333	0.211777777777778	0.0986666666666667	0.176444444444444	0.164666666666667	0.130222222222222	0.151777777777778	0.197555555555556	0.183777777777778	0.146888888888889	0.179111111111111	0.16	0.298444444444444	0.192666666666667	0.104888888888889	0.179111111111111	0.158444444444444	0.0524444444444444	0.153333333333333	0.157111111111111	0.174666666666667	0.0655555555555556	0.178444444444444	0.0762222222222222	0.206888888888889
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales"	0.0395555555555556	0.0593333333333333	0.146444444444444	0.108666666666667	0.0853333333333333	0.111333333333333	0.120888888888889	0.160888888888889	0.136666666666667	0.0946666666666667	0.106444444444444	0.396222222222222	0.148444444444444	0.0851111111111111	0.113111111111111	0.255555555555556	0.0355555555555556	0.111111111111111	0.156222222222222	0.0635555555555556	0.0322222222222222	0.101333333333333	0.322888888888889	0.152444444444444	0.0997777777777778	0.145777777777778	0.0262222222222222	0.00244444444444444	0.178	0.0817777777777778	0.117333333333333	0.224444444444444	0.126	0.120444444444444	0.139777777777778	0.0388888888888889	0.0695555555555556	0.0428888888888889	0.068	0.0366666666666667	0.352444444444444	0.203	0.0613333333333333	0.142666666666667	0.0662222222222222	0.202888888888889	0.219555555555556	0.422666666666667	0.112222222222222	0.0528888888888889	0.0522222222222222	0.0444444444444444	0.0508888888888889	0.313333333333333	0.0715555555555556	0.128222222222222	0.379333333333333	0.350666666666667	0.114222222222222	0.0737777777777778	0.0417777777777778	0.0235555555555556	0.211111111111111	0.0193333333333333	0.0946666666666667	0.208	0.213333333333333	0.00644444444444444	0.235111111111111	0.365555555555556	0.215555555555556	0.0897777777777778	0.120888888888889	0.137111111111111	0.0495555555555556	0.381777777777778	0.124444444444444	0.273777777777778	0.0664444444444444	0.242666666666667	0.0391111111111111	0.207333333333333	0.175555555555556	0.0568888888888889	0.102666666666667	0.0591111111111111	0.227777777777778	0.0293333333333333	0.103555555555556	0.234	0.0162222222222222	0.349777777777778	0.221111111111111	0.201777777777778	0.0595555555555556	0.113777777777778	0.0142222222222222	0.0868888888888889
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales"	0.00822222222222222	0.0155555555555556	0.00911111111111111	0.0357777777777778	0.000222222222222222	0.00577777777777778	0.0111111111111111	0.00755555555555556	0.006	0.232888888888889	0.0235555555555556	0	0.00644444444444444	0.00866666666666667	0.00644444444444444	0.0646666666666667	0.0255555555555556	0.0155555555555556	0.00577777777777778	0.0162222222222222	0.00644444444444444	0.0157777777777778	0.0773333333333333	0.00244444444444444	0.0553333333333333	0.0548888888888889	0.002	0.298	0.004	0.185555555555556	0.00755555555555556	0.00133333333333333	0.00377777777777778	0.00711111111111111	0.00333333333333333	0.00933333333333333	0.00355555555555556	0.505555555555556	0.334888888888889	0.0246666666666667	0.000444444444444444	0.0358888888888889	0.222	0.412444444444444	0.215111111111111	0.0197777777777778	0.202222222222222	0.00111111111111111	0.0102222222222222	0.190666666666667	0.717777777777778	0.314222222222222	0.176666666666667	0.006	0.160888888888889	0.514444444444444	0.0177777777777778	0.000888888888888889	0.00488888888888889	0.369111111111111	0.626222222222222	0.0186666666666667	0.0242222222222222	0.882222222222222	0.00755555555555556	0.072	0.191111111111111	0.002	0.0373333333333333	0.000666666666666667	0.00488888888888889	0.00622222222222222	0.123555555555556	0.382222222222222	0.199333333333333	0.00466666666666667	0.0211111111111111	0.00111111111111111	0.665777777777778	0.0144444444444444	0.0915555555555556	0.0102222222222222	0.0126666666666667	0.113333333333333	0.293777777777778	0.00688888888888889	0.00266666666666667	0.738666666666667	0.114666666666667	0.00422222222222222	0.872444444444444	0.00955555555555555	0.00555555555555556	0.00555555555555556	0.215777777777778	0.012	0.786222222222222	0.086
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales"	0.290444444444444	0.142222222222222	0.134888888888889	0.166888888888889	0	0.0773333333333333	0.118	0.119111111111111	0.0866666666666667	0.094	0.0891111111111111	0	0.112444444444444	0.0822222222222222	0.0844444444444444	0.160888888888889	0.086	0.176222222222222	0.109111111111111	0.192	0.0893333333333333	0.0984444444444444	0.0786666666666667	0.107555555555556	0.113777777777778	0.155555555555556	0.0528888888888889	0.0706666666666667	0.0606666666666667	0.0606666666666667	0.0924444444444444	0.0997777777777778	0.0968888888888889	0.118222222222222	0.153333333333333	0.170666666666667	0.074	0.032	0.0586666666666667	0.0906666666666667	0.0455555555555556	0.162555555555556	0.0557777777777778	0.0595555555555556	0.0348888888888889	0.128888888888889	0.0584444444444444	0.0528888888888889	0.104444444444444	0.0373333333333333	0.0708888888888889	0.0428888888888889	0.0535555555555556	0.0944444444444444	0.0582222222222222	0.0568888888888889	0.102	0.0437777777777778	0.0406666666666667	0.0862222222222222	0.0297777777777778	0.113555555555556	0.132444444444444	0.0211111111111111	0.154666666666667	0.113111111111111	0.103777777777778	0.0588888888888889	0.191555555555556	0.0662222222222222	0.0711111111111111	0.074	0.0335555555555556	0.103777777777778	0.05	0.0451111111111111	0.111333333333333	0.0811111111111111	0.046	0.103777777777778	0.044	0.086	0.110222222222222	0.0342222222222222	0.0628888888888889	0.136	0.116666666666667	0.0322222222222222	0.088	0.096	0.0168888888888889	0.07	0.106666666666667	0.156888888888889	0.0575555555555556	0.180888888888889	0.0317777777777778	0.062
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales"	0.0233333333333333	0.110444444444444	0.000222222222222222	0.0533333333333333	0.686444444444444	0	0.00177777777777778	0.00111111111111111	0	0.0186666666666667	0.00422222222222222	0.289111111111111	0	0.00133333333333333	0	0.000444444444444444	0.267777777777778	0.00688888888888889	0	0.223777777777778	0.352	0.0904444444444444	0.0246666666666667	0.213333333333333	0.058	0.166	0.701555555555556	0	0	0.0448888888888889	0.0122222222222222	0	0.322	0.000666666666666667	0.158444444444444	0.00377777777777778	0.000444444444444444	0.00133333333333333	0.000222222222222222	0.119333333333333	0	0.0166666666666667	0	0.00622222222222222	0.000222222222222222	0.0331111111111111	0.00355555555555556	0	0.166	0	0	0	0.000666666666666667	0.00111111111111111	0	0.00266666666666667	0.000666666666666667	0.0802222222222222	0	0.196888888888889	0	0.118444444444444	0	0	0.000444444444444444	0.0182222222222222	0.152666666666667	0.510222222222222	0	0.000222222222222222	0.00288888888888889	0.0262222222222222	0.000222222222222222	0.0415555555555556	0.287333333333333	0.0995555555555555	0	0.000444444444444444	0	0	0	0.0442222222222222	0	0	0.000888888888888889	0.00377777777777778	0.000444444444444444	0	0.136222222222222	0	0	0.00244444444444444	0.000111111111111111	0.000222222222222222	0.380666666666667	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales"	0.00711111111111111	0.00755555555555556	0.008	0.0168888888888889	0.00311111111111111	0.00622222222222222	0.0108888888888889	0.0197777777777778	0.01	0.0177777777777778	0.0182222222222222	0.0253333333333333	0.00933333333333333	0.0242222222222222	0.00822222222222222	0.0317777777777778	0.00622222222222222	0.00977777777777778	0.0151111111111111	0.0333333333333333	0.0126666666666667	0.00866666666666667	0.0126666666666667	0.0117777777777778	0.00511111111111111	0.016	0.00466666666666667	0.034	0.006	0.00977777777777778	0.0124444444444444	0.00666666666666667	0.0204444444444444	0.0117777777777778	0.0108888888888889	0.0108888888888889	0.0104444444444444	0.00911111111111111	0.00644444444444444	0.0893333333333333	0.0153333333333333	0.0261111111111111	0.022	0.0113333333333333	0.0242222222222222	0.04	0.008	0.0162222222222222	0.0351111111111111	0.0335555555555556	0.00133333333333333	0.0188888888888889	0.01	0.0155555555555556	0.0246666666666667	0.00955555555555555	0.018	0.0202222222222222	0.0928888888888889	0.0164444444444444	0.0184444444444444	0.00466666666666667	0.0282222222222222	0.00311111111111111	0.0271111111111111	0.0371111111111111	0.00555555555555556	0.002	0.0308888888888889	0.00533333333333333	0.016	0.052	0.0184444444444444	0.00888888888888889	0.0106666666666667	0.0148888888888889	0.0268888888888889	0.0128888888888889	0.002	0.0217777777777778	0.0291111111111111	0.0317777777777778	0.034	0.0108888888888889	0.00911111111111111	0.0422222222222222	0.0268888888888889	0.004	0.0417777777777778	0.0171111111111111	0.000888888888888889	0.00911111111111111	0.015	0.0333333333333333	0.0111111111111111	0.0295555555555556	0.00155555555555556	0.0224444444444444
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales"	0.05	0.028	0.0148888888888889	0.046	0.00955555555555555	0.0126666666666667	0.02	0.0157777777777778	0.0273333333333333	0.00977777777777778	0.03	0.0204444444444444	0.0286666666666667	0.0206666666666667	0.0151111111111111	0.00711111111111111	0.0155555555555556	0.018	0.0151111111111111	0.00466666666666667	0.024	0.0184444444444444	0.00666666666666667	0.006	0.0286666666666667	0.00577777777777778	0.006	0.002	0.00622222222222222	0.0188888888888889	0.0202222222222222	0.0233333333333333	0.00533333333333333	0.00866666666666667	0.00555555555555556	0.0257777777777778	0.0222222222222222	0.0115555555555556	0.0142222222222222	0.0162222222222222	0.000222222222222222	0.00722222222222222	0.00155555555555556	0.00311111111111111	0.00244444444444444	0.00577777777777778	0.00555555555555556	0.000444444444444444	0.0117777777777778	0.00288888888888889	0.0106666666666667	0.00444444444444444	0.00711111111111111	0.0215555555555556	0.00355555555555556	0.00155555555555556	0.00777777777777778	0.000222222222222222	0.01	0.00577777777777778	0.0113333333333333	0.0242222222222222	0.00911111111111111	0.00377777777777778	0.0162222222222222	0.0233333333333333	0.00244444444444444	0.0115555555555556	0.0128888888888889	0.000444444444444444	0.00177777777777778	0.0135555555555556	0.00222222222222222	0.00244444444444444	0.00977777777777778	0.0142222222222222	0.000222222222222222	0.000888888888888889	0.00555555555555556	0.00288888888888889	0.002	0.0288888888888889	0.00488888888888889	0.00266666666666667	0.012	0.0208888888888889	0.000222222222222222	0.00666666666666667	0.00688888888888889	0.00466666666666667	0.00333333333333333	0.00822222222222222	0.00155555555555556	0.0264444444444444	0.00333333333333333	0.0326666666666667	0.004	0.00333333333333333
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales"	0.00933333333333333	0.00266666666666667	0.000666666666666667	0.00488888888888889	0.000222222222222222	0.00311111111111111	0.00266666666666667	0.00466666666666667	0.0202222222222222	0.000666666666666667	0.0117777777777778	0.000666666666666667	0.00311111111111111	0.01	0.00666666666666667	0.002	0.00155555555555556	0.00222222222222222	0.00133333333333333	0.002	0.00155555555555556	0.00977777777777778	0	0.00777777777777778	0.00555555555555556	0	0.012	0.00155555555555556	0.00266666666666667	0.00155555555555556	0.000222222222222222	0.002	0.00133333333333333	0.0222222222222222	0.00333333333333333	0.0117777777777778	0.00488888888888889	0.000666666666666667	0.0117777777777778	0.016	0.014	0.00322222222222222	0.00111111111111111	0.00266666666666667	0.000444444444444444	0.00511111111111111	0.0357777777777778	0.00266666666666667	0.00822222222222222	0.000222222222222222	0.00333333333333333	0.00955555555555555	0.002	0.0324444444444444	0.000666666666666667	0.00488888888888889	0.00444444444444444	0.00288888888888889	0.0115555555555556	0.00266666666666667	0.000444444444444444	0.002	0.00555555555555556	0.000444444444444444	0.000666666666666667	0.00111111111111111	0.002	0.000666666666666667	0.00244444444444444	0.00555555555555556	0.00133333333333333	0.00266666666666667	0.000666666666666667	0.00733333333333333	0.0246666666666667	0.00155555555555556	0.00111111111111111	0.00333333333333333	0.000444444444444444	0.00111111111111111	0.004	0.00933333333333333	0.0206666666666667	0.000666666666666667	0.00977777777777778	0.00111111111111111	0.00288888888888889	0.000666666666666667	0.0117777777777778	0.002	0.000444444444444444	0.0955555555555556	0.0108888888888889	0.00466666666666667	0.00244444444444444	0.00444444444444444	0.00311111111111111	0.000888888888888889
