"Taxa"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"k__Bacteria|p__Bacillota|c__Negativicutes"	0.53375	0.44775	0.351	0.60675	0.43175	0.51	0.41975	0.66675	0.44125	0.16525	0.66775	0.502	0.57175	0.552	0.49875	0.416	0.2455	0.725	0.693	0.67325	0.2765	0.7025	0.26175	0.5245	0.56775	0.0715
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria"	0.196	0.45975	0.509	0.0445	0.229125	0.14525	0.00675	0.0285	0.216	0.64075	0.01125	0.07525	0.0585	0.15375	0.0175	0.36675	0.637	0.0045	0.0085	0.12725	0.529	0.04	0.0245	0.19275	0.17275	0.116
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.11875	0.04475	0.04225	0.19	0.163125	0.18675	0.3295	0.1395	0.16075	0.11625	0.11125	0.147	0.19475	0.146	0.387	0.1225	0.06075	0.13775	0.22425	0.09475	0.11	0.18975	0.4805	0.087	0.11475	0.6665
"k__Bacteria|p__Bacillota|c__Clostridia"	0.1325	0.04	0.06875	0.12775	0.143375	0.128	0.206	0.09975	0.1495	0.0665	0.146	0.23725	0.13425	0.11725	0.03175	0.06075	0.0465	0.119	0.029	0.0865	0.075	0.0325	0.10075	0.1135	0.11575	0.0055
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria"	0.01625	0.00725	0.004	0.02425	0.02475	0.02475	0.01725	0.01325	0.02825	0.004	0.009	0.0235	0.02175	0.02975	0.02425	0.0175	0.00925	0.01275	0.03375	0.017	0.00875	0.03175	0.03025	0.0215	0.02575	0.103
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia"	0	0	0.00325	0.00125	0	0.003	0.00675	0.045	0.00075	0.003	0.0225	0.01225	0.01325	0	0.03725	0.00875	0.00025	0	0.00775	0	0	0.00025	0.03225	0.03225	0.00075	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia"	0.00275	5e-04	0.01975	0.00475	0.007375	0.00225	0.01375	0.00525	0.0035	0.00275	0.03125	0.002375	0.00475	0.00125	0.00325	0.007	0.00075	0.00075	0.00075	5e-04	5e-04	0.0025	0.0625	0.027	0.002	0.002
"k__Bacteria|p__Actinomycetota|c__Actinomycetes"	0	0	0	0	0.00025	0	0.00025	0	0	0	0	0.000125	0.00025	0	0	0	0	0	0.00025	0	0	0	0	0	0	0.0355
"k__Bacteria|p__Bacillota|c__Bacilli"	0	0	0.002	0.00075	0.00025	0	0	0.00125	0	0	0.00075	0.00025	0.00075	0	0.00025	0.00075	0	0.00025	0.00275	0.00075	0.00025	5e-04	0.0075	0	0	0
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes"	0	0	0	0	0	0	0	0.00075	0	0.0015	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0.00025	0
"k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0.00025	0
