"Taxa"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.262666666666667	0.285555555555556	0.132888888888889	0.351555555555556	0.116444444444444	0.138444444444444	0.147555555555556	0.426666666666667	0.0913333333333333	0.0546666666666667	0.374222222222222	0.253222222222222	0.344888888888889	0.151555555555556	0.135777777777778	0.136666666666667	0.123111111111111	0.273777777777778	0.248222222222222	0.274666666666667	0.0704444444444444	0.304	0.0724444444444445	0.259111111111111	0.249777777777778	0.05
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.163111111111111	0.0973333333333333	0.148888888888889	0.141555555555556	0.162666666666667	0.256888888888889	0.202222222222222	0.176	0.191555555555556	0.094	0.207111111111111	0.199111111111111	0.172	0.198	0.263111111111111	0.208222222222222	0.0517777777777778	0.198222222222222	0.192	0.293555555555556	0.121333333333333	0.145333333333333	0.123111111111111	0.105333333333333	0.114222222222222	0.0126666666666667
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.108666666666667	0.0646666666666667	0.0688888888888889	0.113555555555556	0.152222222222222	0.114888888888889	0.0697777777777778	0.0644444444444444	0.158222222222222	0.0168888888888889	0.0862222222222222	0.0497777777777778	0.0542222222222222	0.202222222222222	0.100444444444444	0.0706666666666667	0.0708888888888889	0.253333333333333	0.252888888888889	0.105333333333333	0.0842222222222222	0.253333333333333	0.0657777777777778	0.159555555555556	0.203777777777778	0.00866666666666667
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.0502222222222222	0.0171111111111111	0.0171111111111111	0.0455555555555556	0.085	0.152666666666667	0.046	0.0608888888888889	0.124	0.012	0.0313333333333333	0.0271111111111111	0.0417777777777778	0.118	0.338888888888889	0.084	0.0364444444444444	0.0982222222222222	0.138888888888889	0.0782222222222222	0.0922222222222222	0.183111111111111	0.202666666666667	0.000666666666666667	0.0857777777777778	0.588666666666667
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.0702222222222222	0.457333333333333	0.0284444444444444	0.0257777777777778	0.146444444444444	0.0406666666666667	0.000666666666666667	0.0173333333333333	0.0653333333333333	0.637555555555556	0.00311111111111111	0.043	0.0395555555555556	0.0133333333333333	0.00244444444444444	0.000222222222222222	0.272444444444444	0	0.00377777777777778	0.0711111111111111	0.379777777777778	0.00755555555555556	0.00155555555555556	0.153555555555556	0.0775555555555556	0.115555555555556
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae"	0.126222222222222	0.0375555555555556	0.0542222222222222	0.112888888888889	0.137	0.124444444444444	0.139333333333333	0.0795555555555556	0.144888888888889	0.0537777777777778	0.122444444444444	0.207111111111111	0.110888888888889	0.114666666666667	0.0317777777777778	0.05	0.0431111111111111	0.116888888888889	0.0251111111111111	0.0751111111111111	0.0724444444444445	0.0315555555555556	0.1	0.0928888888888889	0.109111111111111	0.00444444444444444
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.125777777777778	0.00266666666666667	0.480444444444444	0.0155555555555556	0.0823333333333333	0.104444444444444	0.006	0.0113333333333333	0.150888888888889	0.00355555555555556	0.008	0.0322222222222222	0.0193333333333333	0.140666666666667	0.0146666666666667	0.366222222222222	0.364888888888889	0.00466666666666667	0.00511111111111111	0.056	0.146444444444444	0.0322222222222222	0.00444444444444444	0.0117777777777778	0.0944444444444444	0.000444444444444444
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0446666666666667	0.0204444444444444	0.0157777777777778	0.118888888888889	0.0448888888888889	0.0208888888888889	0.257777777777778	0.0724444444444445	0.0206666666666667	0.0877777777777778	0.0566666666666667	0.112111111111111	0.141333333333333	0.0171111111111111	0.0353333333333333	0.0242222222222222	0.0177777777777778	0.0197777777777778	0.076	0.00933333333333333	0.00688888888888889	0.00488888888888889	0.186222222222222	0.0748888888888889	0.0193333333333333	0.0708888888888889
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0162222222222222	0.00733333333333333	0.004	0.0244444444444444	0.0244444444444444	0.0248888888888889	0.0173333333333333	0.0133333333333333	0.0282222222222222	0.00422222222222222	0.00888888888888889	0.0235555555555556	0.0215555555555556	0.0295555555555556	0.0237777777777778	0.0173333333333333	0.00911111111111111	0.0126666666666667	0.0337777777777778	0.0171111111111111	0.00844444444444444	0.0317777777777778	0.0302222222222222	0.0217777777777778	0.0253333333333333	0.103111111111111
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.0213333333333333	0.00755555555555556	0.008	0.0217777777777778	0.0255555555555556	0.0113333333333333	0.0213333333333333	0.00488888888888889	0.0146666666666667	0.0126666666666667	0.0213333333333333	0.00688888888888889	0.00888888888888889	0.01	0.0124444444444444	0.0135555555555556	0.00577777777777778	0.0168888888888889	0.00777777777777778	0.00622222222222222	0.0104444444444444	0.000666666666666667	0.0791111111111111	0.00955555555555555	0.00955555555555555	0.00488888888888889
