"Taxa"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.16325	0.0975	0.149	0.14175	0.16275	0.25675	0.20225	0.176	0.19175	0.094	0.20725	0.199125	0.172	0.198	0.263	0.20825	0.05175	0.19825	0.192	0.2935	0.1215	0.14525	0.123	0.10525	0.11425	0.01275
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.20525	0.2195	0.0735	0.18475	0.06125	0.082	0.10875	0.32675	0.05725	0.036	0.359	0.14575	0.25225	0.0905	0.099	0.10775	0.098	0.15025	0.138	0.22425	0.03925	0.16575	0.05775	0.18525	0.1445	0.035
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella copri"	0.031	0.008	0.00425	0	0.056	0.111	0	0.06075	0.08425	0	0	0	0	0.069	0.33875	0.05025	0.0165	0.09825	0.07075	0.05275	0.0825	0.153	0.1355	0.00025	0.0705	0.559
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0.12225	0	0.4705	0	0.074875	0.0765	0	0	0.10275	0	0	0.000125	0	0.0735	0.0035	0.35025	0.34425	0	0	0.0145	0.14025	0.0065	0	0	0.086	0.00025
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.05425	0.0645	0.0555	0.1565	0.0505	0.053	0.03625	0.062	0.03025	0.0165	0.01375	0.100375	0.089	0.057	0.03475	0.0275	0.0235	0.1125	0.103	0.049	0.0295	0.12875	0.01425	0.0615	0.09925	0.00575
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0485	0.0255	0.026	0.03975	0.05175	0.05875	0.02925	0.0245	0.08	0.0065	0.06125	0.020375	0.02575	0.09975	0.05975	0.02125	0.02475	0.06875	0.081	0.03275	0.0225	0.063	0.028	0.0635	0.0655	0.0045
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.04125	0.177	0.0125	0.00125	0.078	0.01875	0	0.00875	0.035	0.34225	0	0.00425	0.00275	0.00675	0.00075	0	0.0215	0	0.00025	0.0125	0.06075	0.0025	5e-04	0.069	0.03575	0.06925
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.0195	0.1215	0.008	0.00125	0.0375	0.0135	0	0.00525	0.018	0.13025	0	0.02525	0.0205	0.00375	5e-04	0.00025	0.00625	0	0.00025	0.0135	0.18975	0.00275	5e-04	0.04425	0.0215	0.03325
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.056	0.01525	0.01275	0.01675	0.0425	0.0435	0.03125	0.01575	0.05225	0.00725	0.03125	0.056375	0.0285	0.035	0.007	0.01575	0.01275	0.04825	0.00725	0.02	0.0235	0.01275	0.041	0.0135	0.03475	5e-04
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.036	0.011	0.0115	0.01875	0.038125	0.0335	0.04225	0.01675	0.038	0.0065	0.0315	0.05575	0.0315	0.02975	0.01925	0.01175	0.0075	0.033	0.00925	0.02075	0.01975	0.00975	0.02325	0.0155	0.02825	0.00175
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.017	0.0105	0.01	0.02025	0.031875	0.0155	0.0085	0.009	0.017	0.00275	0.00625	0.0085	0.007	0.024	0.00725	0.022	0.02	0.052	0.0465	0.0315	0.0145	0.07025	0.01075	0.02375	0.03475	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.01475	0.00425	0.01275	0.0215	0.031	0.01675	0.01	0.01025	0.02025	0.00275	0.004	0.007375	0.005	0.03125	0.00475	0.0045	0.00325	0.05525	0.0555	0.005	0.023	0.0515	0.00475	0.0255	0.04225	5e-04
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.00025	0	0	0.04975	0.003125	0	0.1365	0.00025	5e-04	0.037	0	0.052625	0.07275	0.00025	0	0.00025	0.00025	0.0025	0.01975	5e-04	0	5e-04	0.066	0.00075	0.00025	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.01625	0.008	0.0085	0.0295	0.019125	0.0175	0.034	0	0.01775	0.0075	0	0.01775	0.0335	0.0165	0	0.023	0.009	0	0.0485	0.0055	0.00625	0.00275	0.059	0	0	0.02675
