"Taxa"	"JarJarBinks_15"	"Kubo_15"	"Buddy_16"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_20"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Kubo_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Ginger_24"	"Henry_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"JarJarBinks_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Henry_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Iris_48"	"Ivy_48"	"JarJarBinks_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Joans_49"	"Kubo_49"	"Marshmallow_49"	"Ophelia_49"	"Wolverine_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Hera_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"
"k__Bacteria|p__Bacillota|c__Negativicutes"	0.445333333333333	0.562222222222222	0.0782222222222222	0.508444444444444	0.596888888888889	0.386444444444444	0.563777777777778	0.297111111111111	0.00111111111111111	0.701555555555556	0.276222222222222	0.643555555555556	0.648	0.591111111111111	0.517333333333333	0.320666666666667	0.438444444444444	0.631777777777778	0.660444444444444	0.722444444444444	0.537333333333333	0.499777777777778	0.586888888888889	0.552666666666667	0.612222222222222	0.588666666666667	0.402	0.548444444444444	0.679111111111111	0.359333333333333	0.334444444444444	0.426222222222222	0.610888888888889	0.608222222222222	0.531333333333333	0.492444444444444	0.580666666666667	0.499111111111111	0.433777777777778	0.130444444444444	0.155555555555556	0.509111111111111	0.402888888888889	0.722444444444444	0.498666666666667	0.555333333333333	0.544888888888889	0.601333333333333	0.602666666666667	0.442	0.459777777777778	0.608666666666667	0.540444444444444	0.525555555555556	0.521444444444444	0.520222222222222	0.255555555555556	0.458	0.766444444444444	0.357333333333333	0.281111111111111	0.479555555555556	0.387111111111111	0.244444444444444	0.770888888888889	0.701333333333333	0.499333333333333	0.618444444444444	0.0471111111111111	0.434444444444444	0.574666666666667	0.404444444444444	0.462222222222222	0.482444444444444	0.606222222222222	0.290444444444444	0.817111111111111	0.312	0.362444444444444	0.155333333333333	0.369555555555556	0.322888888888889	0.156	0.492666666666667	0.264888888888889	0.45	0.373777777777778	0.422888888888889	0.455111111111111	0.763111111111111	0.496666666666667	0.491111111111111	0.341777777777778	0.681333333333333	0.789111111111111	0.533555555555556	0.246	0.237111111111111	0.478666666666667	0.486888888888889	0.0568888888888889	0.479555555555556	0.472666666666667	0.577777777777778	0.504222222222222	0.382	0.540666666666667	0.481111111111111	0.52	0.705777777777778	0.488	0.356	0.464666666666667	0.202666666666667	0.482	0.856	0.75	0.694888888888889	0.636	0.434444444444444	0.509111111111111	0.589111111111111	0.395333333333333	0.334666666666667	0.547333333333333	0.333555555555556	0.7	0.611555555555556	0.811555555555556	0.254888888888889	0.720222222222222	0.653777777777778	0.382222222222222	0.590888888888889	0.596222222222222	0.618888888888889	0.0862222222222222	0.587111111111111	0.534666666666667	0.503777777777778	0.321555555555556	0.722444444444444	0.478444444444444	0.430666666666667	0.701777777777778	0.617111111111111	0.161777777777778	0.656	0.298222222222222	0.395555555555556	0.577111111111111	0.640888888888889	0.576222222222222	0.0848888888888889	0.542666666666667	0.728333333333333	0.635555555555556	0.454666666666667	0.342444444444444	0.377333333333333	0.269333333333333	0.470222222222222	0.116444444444444	0.63
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.153777777777778	0.0844444444444444	0.572222222222222	0.156222222222222	0.232	0.338666666666667	0.112222222222222	0.000222222222222222	0.00288888888888889	0.193333333333333	0.00533333333333333	0.179111111111111	0.184222222222222	0.239555555555556	0.325333333333333	0.383111111111111	0.184666666666667	0.185777777777778	0	0.114666666666667	0.214222222222222	0.180666666666667	0.263555555555556	0.295111111111111	0.260888888888889	0.143333333333333	0.193555555555556	0.223333333333333	0.150666666666667	0.168444444444444	0.175111111111111	0.185111111111111	0.144444444444444	0.191777777777778	0.134444444444444	0.157555555555556	0.150888888888889	0.266888888888889	0.165333333333333	0.0446666666666667	0.0637777777777778	0.255777777777778	0.189777777777778	0.183777777777778	0.204444444444444	0.122	0.122444444444444	0.199333333333333	0.260444444444444	0.106666666666667	0.299333333333333	0.298	0.210444444444444	0.302666666666667	0.149111111111111	0.143333333333333	0.0544444444444444	0.303333333333333	0.117555555555556	0.244666666666667	0.156444444444444	0.138222222222222	0.171111111111111	0.252444444444444	0.153777777777778	0.0344444444444444	0.298	0.128555555555556	0.501777777777778	0.261555555555556	0.286444444444444	0.1	0.259555555555556	0.283111111111111	0.0775555555555556	0.531333333333333	0.108888888888889	0.458444444444444	0.299777777777778	0.0677777777777778	0.365777777777778	0.435333333333333	0.04	0.168222222222222	0.340888888888889	0.298666666666667	0.345333333333333	0.390222222222222	0.356666666666667	0.0597777777777778	0.255111111111111	0.378	0.0628888888888889	0.167111111111111	0.0604444444444444	0.262444444444444	0.0762222222222222	0.0693333333333333	0.227333333333333	0.312666666666667	0.0324444444444444	0.304	0.274666666666667	0.239777777777778	0.276	0.146	0.172444444444444	0.218666666666667	0.314888888888889	0.117111111111111	0.0542222222222222	0.415333333333333	0.198	0.0462222222222222	0.241777777777778	0.0653333333333333	0.149777777777778	0.152888888888889	0.182222222222222	0.168666666666667	0.309111111111111	0.244888888888889	0.0564444444444444	0.426888888888889	0.186444444444444	0.0702222222222222	0.117555555555556	0.223777777777778	0.088	0.0244444444444444	0.134	0.137777777777778	0.446444444444444	0.290222222222222	0.212444444444444	0.259111111111111	0.07	0.0608888888888889	0.243777777777778	0.309333333333333	0.516666666666667	0.207333333333333	0.127555555555556	0.352888888888889	0.148	0.166666666666667	0.056	0.142888888888889	0.261111111111111	0.2	0.298666666666667	0.0982222222222222	0.179555555555556	0.0211111111111111	0.250888888888889	0.130666666666667	0.146444444444444	0.310444444444444	0.567555555555556	0.155777777777778	0.0557777777777778	0.268444444444444	0.0566666666666667	0.193111111111111
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria"	0.0322222222222222	0.126	0.00511111111111111	0.0844444444444444	0.00955555555555555	0.121555555555556	0.0891111111111111	0.686666666666667	0.983111111111111	0.00577777777777778	0.679555555555556	0.0393333333333333	0.0148888888888889	0.01	0.00644444444444444	0.086	0.253555555555556	0.032	0.290666666666667	0.00755555555555556	0.0868888888888889	0.0682222222222222	0.01	0.00644444444444444	0.0166666666666667	0.0653333333333333	0.293555555555556	0.0222222222222222	0.00577777777777778	0.24	0.358888888888889	0.108	0.106666666666667	0.102	0.243777777777778	0.216	0.113333333333333	0.0208888888888889	0.221333333333333	0.800666666666667	0.704666666666667	0.111555555555556	0.298	0.00444444444444444	0.140444444444444	0.230444444444444	0.250666666666667	0.0213333333333333	0.00133333333333333	0.326	0.0473333333333333	0.00577777777777778	0.122666666666667	0.00822222222222222	0.0198888888888889	0.162	0.604888888888889	0.0131111111111111	0.004	0.282222222222222	0.507111111111111	0.137555555555556	0.335111111111111	0.146	0.000444444444444444	0.0797777777777778	0.00688888888888889	0.0526666666666667	0.221111111111111	0.222444444444444	0.0413333333333333	0.418666666666667	0.215333333333333	0.0533333333333333	0.206	0.00622222222222222	0.00133333333333333	0.012	0.177777777777778	0.649777777777778	0.190666666666667	0.0977777777777778	0.717777777777778	0.136	0.314444444444444	0.177333333333333	0.0962222222222222	0.0182222222222222	0.0368888888888889	0.00711111111111111	0.160888888888889	0.0304444444444444	0.517777777777778	0.0184444444444444	0.0817777777777778	0.00555555555555556	0.566222222222222	0.626222222222222	0.137111111111111	0.0244444444444444	0.882222222222222	0.006	0.0273333333333333	0.00911111111111111	0.0155555555555556	0.311555555555556	0.0964444444444444	0.149333333333333	0.0211111111111111	0.0977777777777778	0.343777777777778	0.0557777777777778	0.205555555555556	0.512666666666667	0.0373333333333333	0.00111111111111111	0.00777777777777778	0.00288888888888889	0.0326666666666667	0.0771111111111111	0.123777777777778	0.012	0.424444444444444	0.0704444444444444	0.0784444444444444	0.486666666666667	0.104222222222222	0.0211111111111111	0.00177777777777778	0.665777777777778	0.0144444444444444	0.0577777777777778	0.0915555555555556	0.0213333333333333	0.016	0.042	0.798	0.266444444444444	0.0546666666666667	0.0128888888888889	0.113333333333333	0.0166666666666667	0.294666666666667	0.0106666666666667	0.00311111111111111	0.105777777777778	0.738666666666667	0.0202222222222222	0.306	0.252222222222222	0.00422222222222222	0.0182222222222222	0.0244444444444444	0.872444444444444	0.012	0.00566666666666667	0.00533333333333333	0.00955555555555555	0.0266666666666667	0.288666666666667	0.597111111111111	0.0122222222222222	0.786222222222222	0.0862222222222222
"k__Bacteria|p__Bacillota|c__Clostridia"	0.340444444444444	0.170222222222222	0.0111111111111111	0.0602222222222222	0.149777777777778	0.126888888888889	0.212222222222222	0.00955555555555555	0.00244444444444444	0.09	0.0128888888888889	0.0522222222222222	0.138	0.134888888888889	0.113777777777778	0.0866666666666667	0.103777777777778	0.119111111111111	0.0204444444444444	0.141111111111111	0.140222222222222	0.166	0.103111111111111	0.0995555555555555	0.0728888888888889	0.167555555555556	0.101555555555556	0.194	0.123555555555556	0.196666666666667	0.113333333333333	0.0393333333333333	0.116888888888889	0.0853333333333333	0.0495555555555556	0.113555555555556	0.142444444444444	0.180222222222222	0.161333333333333	0.0228888888888889	0.0584444444444444	0.0882222222222222	0.0726666666666667	0.0666666666666667	0.124	0.0795555555555556	0.0662222222222222	0.112666666666667	0.123111111111111	0.103111111111111	0.150222222222222	0.0675555555555555	0.0746666666666667	0.126444444444444	0.193111111111111	0.158888888888889	0.0826666666666667	0.196444444444444	0.0962222222222222	0.0446666666666667	0.0435555555555556	0.214444444444444	0.0728888888888889	0.106888888888889	0.0455555555555556	0.151555555555556	0.133555555555556	0.17	0.0135555555555556	0.0575555555555556	0.0566666666666667	0.0626666666666667	0.0373333333333333	0.134444444444444	0.0642222222222222	0.0724444444444445	0.0533333333333333	0.119555555555556	0.116222222222222	0.117333333333333	0.0402222222222222	0.0982222222222222	0.0815555555555556	0.168	0.0475555555555556	0.0606666666666667	0.0966666666666667	0.107333333333333	0.110888888888889	0.116444444444444	0.0617777777777778	0.02	0.0584444444444444	0.109777777777778	0.044	0.0506666666666667	0.0922222222222222	0.0411111111111111	0.139111111111111	0.141333333333333	0.0248888888888889	0.191555555555556	0.209111111111111	0.143111111111111	0.170666666666667	0.128222222222222	0.135777777777778	0.117333333333333	0.0993333333333333	0.0593333333333333	0.106222222222222	0.134444444444444	0.0911111111111111	0.0708888888888889	0.203777777777778	0.0664444444444444	0.0731111111111111	0.122222222222222	0.0875555555555556	0.294444444444444	0.0357777777777778	0.113555555555556	0.106222222222222	0.144	0.125777777777778	0.0593333333333333	0.0595555555555556	0.111555555555556	0.082	0.0517777777777778	0.106666666666667	0.115555555555556	0.046	0.0746666666666667	0.130666666666667	0.0337777777777778	0.0375555555555556	0.0455555555555556	0.115555555555556	0.114888888888889	0.0366666666666667	0.0208888888888889	0.0748888888888889	0.156888888888889	0.117111111111111	0.0793333333333333	0.0388888888888889	0.16	0.112444444444444	0.0948888888888889	0.100666666666667	0.159555555555556	0.169555555555556	0.0202222222222222	0.0782222222222222	0.107777777777778	0.178666666666667	0.183777777777778	0.0217777777777778	0.143111111111111	0.0608888888888889	0.214222222222222	0.036	0.0648888888888889
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria"	0.00733333333333333	0.00755555555555556	0.130222222222222	0.0411111111111111	0.008	0.0204444444444444	0.0168888888888889	0.00333333333333333	0	0.00622222222222222	0.0242222222222222	0.0606666666666667	0.0108888888888889	0.0197777777777778	0.0102222222222222	0.0215555555555556	0.0177777777777778	0.0182222222222222	0.0262222222222222	0.00955555555555555	0.0126666666666667	0.016	0.0244444444444444	0.00844444444444444	0.01	0.0317777777777778	0.00622222222222222	0.00977777777777778	0.0151111111111111	0.0335555555555556	0.0126666666666667	0.0231111111111111	0.00844444444444444	0.0126666666666667	0.0286666666666667	0.0117777777777778	0.00511111111111111	0.0277777777777778	0.016	0.00111111111111111	0.00466666666666667	0.02	0.0342222222222222	0.00666666666666667	0.00711111111111111	0.00977777777777778	0.014	0.0124444444444444	0.00666666666666667	0.0204444444444444	0.0366666666666667	0.0148888888888889	0.0282222222222222	0.0117777777777778	0.0165555555555556	0.0113333333333333	0.000666666666666667	0.0108888888888889	0.0104444444444444	0.0404444444444444	0.00911111111111111	0.0193333333333333	0.00644444444444444	0.0902222222222222	0.0153333333333333	0.0108888888888889	0.0233333333333333	0.0261111111111111	0.151333333333333	0.022	0.0113333333333333	0.0113333333333333	0.0242222222222222	0.0402222222222222	0.008	0.0417777777777778	0.0162222222222222	0.0153333333333333	0.0351111111111111	0.00511111111111111	0.0335555555555556	0.0353333333333333	0.00133333333333333	0.0224444444444444	0.0188888888888889	0.01	0.06	0.0455555555555556	0.0204444444444444	0.0155555555555556	0.0246666666666667	0.0466666666666667	0.0102222222222222	0.018	0.0206666666666667	0.0933333333333333	0.0164444444444444	0.0184444444444444	0.00466666666666667	0.0282222222222222	0.00311111111111111	0.012	0.0122222222222222	0.0166666666666667	0.0273333333333333	0.0293333333333333	0.0388888888888889	0.0204444444444444	0.0153333333333333	0.0184444444444444	0.00555555555555556	0.014	0.0237777777777778	0.00222222222222222	0.0308888888888889	0.00533333333333333	0.0162222222222222	0.0191111111111111	0.052	0.0231111111111111	0.0186666666666667	0.0293333333333333	0.00933333333333333	0.0188888888888889	0.0426666666666667	0.0106666666666667	0.0148888888888889	0.0268888888888889	0.0128888888888889	0.002	0.0217777777777778	0.032	0.0291111111111111	0.022	0.0248888888888889	0.0257777777777778	0.00177777777777778	0.0286666666666667	0.032	0.034	0.0108888888888889	0.0195555555555556	0.00911111111111111	0.0422222222222222	0.0268888888888889	0.0266666666666667	0.004	0.0168888888888889	0.0193333333333333	0.0417777777777778	0.0171111111111111	0.00955555555555555	0.00911111111111111	0.000888888888888889	0.00911111111111111	0.015	0.0195555555555556	0.0337777777777778	0.0262222222222222	0.0124444444444444	0.0111111111111111	0.0295555555555556	0.00155555555555556	0.0224444444444444
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia"	0.00666666666666667	0.0462222222222222	0	0.145333333333333	0.00266666666666667	0.000888888888888889	0.000222222222222222	0	0.000222222222222222	0	0.000444444444444444	0.00555555555555556	0.00133333333333333	0	0.00577777777777778	0.0868888888888889	0.000888888888888889	0.000444444444444444	0	0.000888888888888889	0.00466666666666667	0.0493333333333333	0	0.0304444444444444	0.014	0.000444444444444444	0.00111111111111111	0	0.024	0	0	0.204444444444444	0.00222222222222222	0	0.00977777777777778	0	0.000666666666666667	0.00266666666666667	0.00155555555555556	0	0.000666666666666667	0.01	0.000222222222222222	0.0131111111111111	0.0215555555555556	0.000444444444444444	0	0.0508888888888889	0.00377777777777778	0	0.00444444444444444	0.00355555555555556	0.00866666666666667	0.002	0.0745555555555556	0	0	0.000222222222222222	0.000222222222222222	0.00688888888888889	0.00155555555555556	0.00666666666666667	0.0153333333333333	0.109111111111111	0	0.000222222222222222	0.0284444444444444	0.000111111111111111	0	0	0.0235555555555556	0	0	0.000444444444444444	0	0.00933333333333333	0	0.0155555555555556	0.000444444444444444	0.00133333333333333	0	0	0	0.00511111111111111	0.00377777777777778	0.00111111111111111	0.0142222222222222	0.00111111111111111	0.018	0.00533333333333333	0	0.0286666666666667	0	0.000888888888888889	0	0.042	0	0.00733333333333333	0.0106666666666667	0	0	0.00177777777777778	0.000666666666666667	0.012	0.00377777777777778	0.00155555555555556	0.0117777777777778	0	0.0282222222222222	0.000222222222222222	0	0.00666666666666667	0.00511111111111111	0.00333333333333333	0.000222222222222222	0	0.00155555555555556	0.004	0.00555555555555556	0.000222222222222222	0	0.00422222222222222	0	0.000888888888888889	0.00955555555555555	0.00911111111111111	0.00133333333333333	0	0	0	0	0	0	0	0.00355555555555556	0.00555555555555556	0.000666666666666667	0.00688888888888889	0.00577777777777778	0.00133333333333333	0	0.00288888888888889	0.00422222222222222	0.00488888888888889	0	0	0	0	0.000666666666666667	0	0	0.00933333333333333	0.0142222222222222	0	0.00711111111111111	0	0.012	0.000666666666666667	0.00555555555555556	0.00577777777777778	0.00244444444444444	0.000222222222222222	0	0.000444444444444444
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia"	0.00933333333333333	0.00266666666666667	0.0133333333333333	0.00311111111111111	0.000666666666666667	0.00466666666666667	0.00511111111111111	0.000222222222222222	0.000222222222222222	0.00288888888888889	0.000222222222222222	0.014	0.00266666666666667	0.00466666666666667	0.0202222222222222	0.006	0.000666666666666667	0.0117777777777778	0.000666666666666667	0.00311111111111111	0.00355555555555556	0.006	0.01	0.00666666666666667	0.00711111111111111	0.002	0.00155555555555556	0.00222222222222222	0.00155555555555556	0.002	0.00155555555555556	0.0128888888888889	0.00977777777777778	0	0.000444444444444444	0.00777777777777778	0.00555555555555556	0.00222222222222222	0	0.000222222222222222	0.0122222222222222	0.00511111111111111	0.00155555555555556	0.00288888888888889	0.00355555555555556	0.00155555555555556	0.00111111111111111	0.000222222222222222	0.002	0.00133333333333333	0.002	0.00111111111111111	0.012	0.0222222222222222	0.0105555555555556	0.00333333333333333	0.00111111111111111	0.012	0.00488888888888889	0.0233333333333333	0.000888888888888889	0.00111111111111111	0.0117777777777778	0.016	0.014	0.0206666666666667	0.00666666666666667	0.00322222222222222	0.00444444444444444	0.00133333333333333	0.00466666666666667	0.00266666666666667	0.000444444444444444	0.00555555555555556	0.036	0.0482222222222222	0.00266666666666667	0.0666666666666667	0.00822222222222222	0.00222222222222222	0.000222222222222222	0.01	0.00333333333333333	0.00333333333333333	0.00955555555555555	0.002	0.0137777777777778	0.0144444444444444	0.00133333333333333	0.0324444444444444	0.000666666666666667	0.00133333333333333	0.00511111111111111	0.00444444444444444	0.00288888888888889	0.0115555555555556	0.00266666666666667	0.000222222222222222	0.002	0.00555555555555556	0.000444444444444444	0.00422222222222222	0.00311111111111111	0.00155555555555556	0.000888888888888889	0.00133333333333333	0.00111111111111111	0.012	0.00111111111111111	0.00133333333333333	0.002	0.0157777777777778	0.0115555555555556	0.000666666666666667	0.00244444444444444	0.00533333333333333	0.00133333333333333	0.00333333333333333	0.00266666666666667	0.00177777777777778	0.000666666666666667	0.00466666666666667	0.00755555555555556	0.004	0.00977777777777778	0.0242222222222222	0.00155555555555556	0.00111111111111111	0.00333333333333333	0.000444444444444444	0.00111111111111111	0.002	0.004	0.000666666666666667	0.0111111111111111	0.00177777777777778	0.00177777777777778	0.00377777777777778	0.00933333333333333	0.0206666666666667	0.000666666666666667	0.00311111111111111	0.00977777777777778	0.000888888888888889	0.00288888888888889	0.00311111111111111	0.000666666666666667	0.00355555555555556	0.00177777777777778	0.0117777777777778	0.002	0.0622222222222222	0.024	0.000444444444444444	0.0957777777777778	0.0108888888888889	0.00155555555555556	0.00466666666666667	0.00822222222222222	0.016	0.00244444444444444	0.00422222222222222	0.00311111111111111	0.000888888888888889
"k__Bacteria|p__Bacillota|c__Bacilli"	0.00155555555555556	0.000222222222222222	0	0.000888888888888889	0	0	0.000444444444444444	0.00266666666666667	0.01	0.000222222222222222	0.00111111111111111	0.00555555555555556	0	0	0	0.00244444444444444	0	0.000222222222222222	0.00133333333333333	0.000666666666666667	0	0.0104444444444444	0.00177777777777778	0	0.006	0.000666666666666667	0.000222222222222222	0	0	0	0.00133333333333333	0.000888888888888889	0.000444444444444444	0	0.002	0.000888888888888889	0.00111111111111111	0	0.000444444444444444	0	0	0	0.000666666666666667	0	0.000222222222222222	0.000888888888888889	0.000666666666666667	0.00155555555555556	0	0.000444444444444444	0	0.000222222222222222	0.00288888888888889	0.000888888888888889	0.0131111111111111	0.000888888888888889	0.000666666666666667	0.000666666666666667	0.000222222222222222	0.000444444444444444	0	0.000444444444444444	0.000222222222222222	0.0342222222222222	0	0.000888888888888889	0.000222222222222222	0.000555555555555556	0	0.000666666666666667	0.00133333333333333	0.000222222222222222	0.000888888888888889	0	0.00177777777777778	0.000222222222222222	0.000222222222222222	0.000222222222222222	0	0.000222222222222222	0	0.000444444444444444	0	0.000888888888888889	0	0.000222222222222222	0	0.000222222222222222	0	0.000222222222222222	0.000222222222222222	0.00355555555555556	0.00333333333333333	0	0.000888888888888889	0.000888888888888889	0.000222222222222222	0.000222222222222222	0.000222222222222222	0	0	0.000666666666666667	0.000222222222222222	0	0.000444444444444444	0	0.00288888888888889	0.000666666666666667	0	0	0	0.000222222222222222	0.000222222222222222	0.160666666666667	0.00133333333333333	0.000444444444444444	0.000222222222222222	0	0.000444444444444444	0	0.00288888888888889	0.000888888888888889	0.000666666666666667	0	0	0.006	0.000888888888888889	0.00177777777777778	0.000444444444444444	0.000444444444444444	0.000444444444444444	0.00111111111111111	0.000666666666666667	0	0.00466666666666667	0.0124444444444444	0.00133333333333333	0.000666666666666667	0.00422222222222222	0.000666666666666667	0.000222222222222222	0.00644444444444444	0.00111111111111111	0.000888888888888889	0	0.00133333333333333	0	0.000222222222222222	0.000444444444444444	0.00377777777777778	0.000222222222222222	0.002	0.000666666666666667	0	0.00422222222222222	0.00155555555555556	0	0.00222222222222222	0.00133333333333333	0.000444444444444444	0.000666666666666667	0.000666666666666667	0	0.00177777777777778
"k__Bacteria|p__Actinomycetota|c__Actinomycetes"	0	0	0.189777777777778	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0.000222222222222222	0	0	0	0.000222222222222222	0	0.000222222222222222	0	0	0.000222222222222222	0	0	0	0	0	0.000222222222222222	0	0	0	0.000222222222222222	0	0.000222222222222222	0.000111111111111111	0	0	0	0	0	0.000222222222222222	0	0	0.000222222222222222	0	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.0602222222222222	0	0	0	0	0	0.000222222222222222	0	0.000222222222222222	0.000222222222222222	0	0.000222222222222222	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0.000222222222222222	0.000222222222222222	0	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0.000222222222222222	0	0	0	0	0	0.000222222222222222	0	0	0	0	0.000444444444444444	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0.000111111111111111	0	0	0.000222222222222222	0.000222222222222222	0	0	0	0.000222222222222222
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes"	0.00333333333333333	0.000444444444444444	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0.000222222222222222	0.00666666666666667	0	0.000666666666666667	0	0	0	0.00288888888888889	0	0.000444444444444444	0	0	0	0	0.000222222222222222	0	0.00266666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0.00155555555555556	0	0	0.00533333333333333	0	0	0	0.00266666666666667	0	0	0	0	0.00288888888888889	0.000111111111111111	0.000444444444444444	0	0	0	0	0	0	0	0	0	0	0.000666666666666667	0	0	0	0.00288888888888889	0	0	0	0	0.000666666666666667	0	0	0	0	0	0	0	0	0	0	0.000666666666666667	0	0	0	0	0.00111111111111111	0	0	0	0	0	0	0.00177777777777778	0	0	0	0	0	0.000444444444444444	0.000888888888888889	0	0	0.00133333333333333	0	0	0	0	0	0.002	0	0	0.00133333333333333	0	0	0	0	0	0.00244444444444444	0	0	0.00244444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0.00222222222222222	0	0	0	0.000888888888888889	0.000222222222222222	0	0.000222222222222222	0	0.000222222222222222	0	0
