"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"henry_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.127	0.114	0.1495	0.22575	0.18625	0.01525	0.20375	0.1835	0.164	0.2105	0.26825	0.26675	0.18775	0.10525	0.3385	0.27475	0.30975	0.12375	0.161	0.17725	0.39425	0.073	0.23625	0.009	0.1745	0.11825	0.18775	0.21425	0.31075	0.091	0.1595	0.016	0.34825	0.181	0.1445
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.13025	0.1815	0.15275	0.25525	0.15225	0.104	0.28025	0.152	0.241	0.158	0.11225	0.1525	0.09425	0.13325	0.08	0.11575	0.08475	0.07925	0.157	0.24775	0.04425	0.09925	0.219	0.0285	0.19525	0.258	0.25825	0.26125	0.1765	0.14525	0.27825	0.0525	0.1695	0.173	0.0655
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.12425	0.058	0.03125	0.09675	0.154	0.01025	0.107	0.121	0.11825	0.1545	0.13325	0.038	0.07525	0.041	0.35075	0.10475	0.422	0.11	0.09925	0.0685	0.34725	0.07025	0.02375	0.01875	0.2455	0.0915	0.0685	0.10725	0.118	0.05925	0.124	0.0165	0.1435	0.0225	0.05775
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.00225	0	0	0.04375	0.0015	0.797	0.00025	0.00125	0	5e-04	0	0.00025	0	0.4955	0	0	0	0.00125	0	0.13025	0	0.36475	0.00025	0.879	0	0.00025	0	0	0.01775	0	0	0.871	0	0	0.198
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.03675	0.0455	0.0815	0.06425	0.03775	0.033	0.14	0.07425	0.22625	0.1195	0.0335	0.158	0.0835	0.0415	0.0495	0.06775	0.02725	0.052	0.214	0.0375	0.02175	0.0105	0.042	0.0135	0.03475	0.1725	0.12675	0.07875	0.0595	0.02325	0.082	0.01025	0.0445	0.087	0.014
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella"	0.2405	0.06225	0.00425	0.01725	0.1795	0.0055	0.00375	0.1465	0.0055	0	0.07025	0.006	0.06875	0.0195	0.0575	0.012	0.053	0.20725	0.02	0.15725	0.0145	0.03275	0.008	0.0045	0.03375	0.0055	0.128	0.1265	0.03175	0.1495	0.06075	0.00225	0.05375	0.005	0.01275
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.04225	0.13225	0.3445	0.0355	0.00725	0	0.00475	0.01425	5e-04	0.00025	0.0995	0.0035	0.12675	0.00075	0	0	0	0.058	0.001	0	0.0385	0.1205	5e-04	0	0.00075	0.0055	0	0	0	0.19025	0.011	0	0	0.09375	0.357
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium"	0.07025	0.13225	0.02275	0.03675	0.0925	0.009	0.0605	0.04925	0.0645	0.0245	0.089	0.028	0.02175	0.0135	0.03	0.04925	0.044	0.05925	0.0555	0.0395	0.03025	0.056	0.019	0.015	0.05225	0.1005	0.0325	0.03275	0.08375	0.05825	0.05925	0.01225	0.08525	0.03675	0.0205
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.074	0.0905	0.00675	0.021	0.007	0.00025	0.00575	0.02725	0	0.00025	0.05875	0.00025	0.15275	5e-04	0	0	0	0.03775	0.0035	0	0.04175	0.07625	0.00075	0	0.0015	0.0155	0	0	0	0.11025	0	0	0	0.05275	0.02375
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.01075	0.0265	0.02525	0.03225	0.01075	0.002	0.00825	0.024	0.0135	0.0135	0.019	0.04125	0.03575	0.0225	0.038	0.07275	0.0215	0.059	0.01225	0.0075	0.018	0.018	0.02	0.0055	0.02975	0.017	0.02	0.02	0.02975	0.0365	0.01625	0.0025	0.0385	0.015	0.00675
