"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"henry_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.13	0.1815	0.15275	0.25525	0.15225	0.104	0.28025	0.152	0.241	0.158	0.11225	0.1525	0.09425	0.13325	0.08	0.11575	0.08475	0.07925	0.157	0.24775	0.04425	0.09925	0.219	0.0285	0.19525	0.258	0.25825	0.26125	0.1765	0.14525	0.27825	0.0525	0.1695	0.173	0.0655
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.101	0.05675	0.12175	0.16625	0.1125	0.01125	0.1685	0.138	0.136	0.1475	0.1495	0.20925	0.14075	0.069	0.232	0.2225	0.23125	0.0835	0.1225	0.13	0.217	0.049	0.219	0.0065	0.1365	0.08575	0.12525	0.171	0.22025	0.06175	0.11075	0.01325	0.1925	0.1255	0.079
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0.00225	0	0	0.04375	0.0015	0.7935	0.00025	0.00125	0	5e-04	0	0.00025	0	0.48975	0	0	0	0.00125	0	0.12975	0	0.36125	0.00025	0.87625	0	0.00025	0	0	0.01775	0	0	0.8705	0	0	0.19625
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella copri"	0.237	0.05625	0	0.01475	0.176	0.0055	0	0.14525	0.00025	0	0.066	0	0.05875	0.00875	0.0575	0.00025	0.053	0.181	0	0.14975	0.0145	0.031	0.00225	0.004	0.02825	0	0.128	0.1265	0.027	0.144	0.06075	0.002	0.05375	0	0.0075
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.02425	0.0545	0.02525	0.05675	0.0675	0.004	0.0345	0.0425	0.0265	0.0465	0.11025	0.05275	0.04375	0.034	0.0995	0.046	0.074	0.03775	0.036	0.04375	0.16825	0.0225	0.00025	0.0025	0.03775	0.03025	0.04975	0.04025	0.08875	0.02775	0.04475	0.00225	0.144	0.04925	0.059
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0595	0.01725	0.0165	0.04825	0.05725	0.00325	0.05975	0.04275	0.06225	0.05375	0.04375	0.02	0.03025	0.01825	0.1355	0.03525	0.1655	0.041	0.04975	0.0205	0.1135	0.0265	0.0145	0.007	0.1005	0.045	0.025	0.0515	0.04575	0.0235	0.0505	0.0065	0.04225	0.00875	0.01775
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.02225	0.0295	0.028	0.0425	0.02	0.00375	0.013	0.02225	0.05675	0.0265	0.021	0.06875	0.03275	0.02475	0.03525	0.04225	0.019	0.03675	0.06	0.02825	0.01375	0.0035	0	0.0045	0.023	0.023	0.02725	0.02625	0.03975	0.01325	0.018	0.00225	0.0265	0.017	0.00775
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.04175	0.091	0.023	0.02225	0.00675	0	0.0025	0.014	0.00025	0.00025	0.068	0	0.10725	5e-04	0	0	0	0.0475	0.00025	0	0.03225	0.0995	5e-04	0	5e-04	0.00325	0	0	0	0.15175	5e-04	0	0	0.0815	0.03475
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.037	0.0605	0.00925	0.0195	0.04425	0.0045	0.0265	0.02325	0.02325	0.011	0.0415	0.0145	0.01275	0.007	0.0135	0.0245	0.0255	0.03	0.029	0.01775	0.01675	0.02675	0.00925	0.00725	0.02475	0.0375	0.01425	0.01625	0.04	0.02875	0.02625	0.0065	0.0395	0.019	0.01025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0305	0.05525	0.012	0.0155	0.0385	0.0045	0.033	0.0235	0.04	0.01075	0.04025	0.012	0.00775	0.006	0.015	0.02075	0.016	0.0245	0.0245	0.0195	0.0115	0.02525	0.00925	0.007	0.02475	0.0595	0.01525	0.015	0.03925	0.026	0.0295	0.005	0.03875	0.0135	0.0085
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.0235	0.00775	0.00375	0.0185	0.01575	0.0025	0.01525	0.02525	0.0215	0.019	0.016	0.00475	0.01625	0.006	0.07225	0.0115	0.09725	0.0225	0.0155	0.014	0.04375	0.013	0.00625	0.0035	0.05075	0.0125	0.00875	0.02125	0.0265	0.01325	0.02475	0.0045	0.0195	0.00325	0.007
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.00025	0.001	0.0385	0	5e-04	0.02025	0.08925	5e-04	0.15	0.00175	0.00075	0.06025	0.03025	0	0.00075	0.00025	5e-04	0.00075	0.116	0.00025	0	0	0	0.00575	0.00025	0.102	0.00075	5e-04	0.00025	0	0	0.0055	0.00125	0.04875	5e-04
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.073	0.07375	0.0055	0.01425	0.007	0.00025	0.00575	0.027	0	0.00025	0.0435	0.00025	0.10875	5e-04	0	0	0	0.0315	0.0035	0	0.031	0.06475	5e-04	0	0.00075	0.0155	0	0	0	0.0935	0	0	0	0.033	0.023
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.01975	0.0105	0.004	0.011	0.02525	0.00225	0.0135	0.02225	0.0135	0.02575	0.025	0.004	0.01075	0.00525	0.05375	0.01325	0.06625	0.017	0.012	0.01925	0.06925	0.01025	0.00025	0.003	0.03625	0.011	0.0095	0.01475	0.0215	0.00825	0.01725	0.00275	0.02875	0.00275	0.0145
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0	0.01825	0.0315	0.01575	0	0	0.02475	0	0.03125	0	0.0095	0.028	0.043	0.042	0	0	0	0.101	0.116	0.01675	0	0.0105	0.02275	0.005	0.02125	0.027	0	0	0	0.03075	0	0.00225	0	0.015	0.009
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0	0.0015	0.2985	0	0.00025	0	0	0	0	0	0.00025	0.00325	0.002	0	0	0	0	0.00025	0	0	5e-04	0.001	0	0	0	0	0	0	0	0.01075	0.01025	0	0	0.00075	0.28675
