"Taxa"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"Metabolism|Global and overview maps|Metabolic pathways"	0.153747108061155	0.145459743223905	0.153088767861348	0.148774443132819	0.151726728070219	0.149393136160576	0.155037222191547	0.146037941361719	0.149375774648293	0.14369028807794	0.148670981474665	0.144875104775405	0.149071718097416	0.142782784397891	0.149064939760143	0.153488208092452	0.153513647741782	0.145877052426542	0.141325428178692	0.148838407691372	0.141976791715271	0.151251378264847	0.145372215142377	0.144606778359379	0.137776633069093	0.144333227730795	0.148373815180894	0.152766919240188	0.152112975157178	0.146141066983667
"Metabolism|Global and overview maps|Biosynthesis of secondary metabolites"	0.0664339868626832	0.0597496684697261	0.0655460570428113	0.062167853538447	0.0625552016977254	0.0623842055940314	0.0690318494827746	0.0616159766841413	0.061577600690926	0.0584942916091213	0.0616988335995158	0.0599229273706088	0.061204535715766	0.0577338466977421	0.0624029055463199	0.0661075769882408	0.0597596838765992	0.0600196534877585	0.0566037949964665	0.062637651399288	0.0572069734006416	0.0645226664845676	0.0597923065731543	0.0589210282301795	0.056350502296234	0.0581689298036732	0.0620473284550265	0.0606304183958898	0.066795019781706	0.061455699321319
"Metabolism|Global and overview maps|Microbial metabolism in diverse environments"	0.0546777697410419	0.0544594856441024	0.0511619016389886	0.0532193446865003	0.0508597025212975	0.0519628050730551	0.0518501193210181	0.0524154185860046	0.0515501247178501	0.0566215184489509	0.0524739941106348	0.0552665649296574	0.0477006573291237	0.0562969122670966	0.0549841299117658	0.0514700507464245	0.0456500721182269	0.05093594893136	0.0574507216827621	0.056072725923739	0.0568271141731154	0.0553081342214908	0.053333993013022	0.0521223401046007	0.0537838535805282	0.0485502091099596	0.053212594166068	0.0458589090829795	0.0524263799946637	0.0531263774714427
"Metabolism|Global and overview maps|Biosynthesis of antibiotics"	0.0532954420898954	0.0469596747339386	0.0510212200035417	0.0492917278869131	0.0507956914101952	0.0493037136974603	0.0528806059111345	0.0494701316788663	0.0504489494547952	0.045957356286621	0.0499318095195294	0.0470316724560889	0.0504403627528258	0.0452104158147977	0.0505368489214729	0.0521146496770672	0.0493969176313934	0.0486506504548727	0.0437266221709833	0.0498092128164829	0.0447583129121764	0.0517989225528664	0.0474208983284884	0.0489473465828642	0.04416754288175	0.0480375779610388	0.0489660916490284	0.0496658220796044	0.0518049157317813	0.0488203118452826
"Environmental Information Processing|Membrane transport|ABC transporters"	0.0433314344261929	0.0498138664353108	0.045156898870115	0.0449859719700545	0.0442826327242959	0.0503928672159167	0.0448256322117401	0.0560384792477746	0.0469494324716722	0.0522267520308266	0.0537090449084541	0.0543685796785569	0.0377340325225196	0.0515384918518018	0.0485940413198858	0.0406205812916818	0.0317074047788985	0.0466325658440542	0.0527543617767149	0.0472225745902708	0.053922867478475	0.0466590881429803	0.0525201720715371	0.055379960840886	0.0557580368653247	0.0487362905622495	0.0476867724176723	0.0310574713034717	0.0502845356275881	0.0504361307337611
"Environmental Information Processing|Signal transduction|Two-component system"	0.0292315407323006	0.0417876989810556	0.0347584868368632	0.0401979983365037	0.0413416831100399	0.0392320096279661	0.027657882111941	0.0458768341416334	0.0452156365207086	0.0399831193237446	0.0401267659059653	0.0388511214727637	0.0550581361054975	0.0426423255039756	0.0366850727956561	0.0356827941985056	0.0562122086156052	0.0533332725919934	0.0434031636672335	0.0332480069320821	0.0435419577250819	0.0315160280014662	0.0447838585126621	0.0504598684973052	0.0477121970907248	0.0611733955842274	0.0380776553554856	0.0568088650470566	0.0313308371003962	0.041223359953435
"Metabolism|Global and overview maps|Biosynthesis of amino acids"	0.0322275828352595	0.0260963250236276	0.0313660061416516	0.0283345105038197	0.0300319914213612	0.0295609958336391	0.0331685856515895	0.0294640012690202	0.0300550635639168	0.0247512332956555	0.0302855783017452	0.0265714520411068	0.0296400914558875	0.0238789472010564	0.0296270290539686	0.0316121301114258	0.0278312788979272	0.0275692181384018	0.0228584335352272	0.0284910765707609	0.0240684175676456	0.0308292171295392	0.027021177530933	0.028738674690444	0.0235902049050925	0.0278438339117861	0.028525591614113	0.0281408868958677	0.0323057638941352	0.0277474189974641
"Metabolism|Global and overview maps|Carbon metabolism"	0.0273391583073782	0.0252025500654633	0.0261604383964891	0.0260216637784285	0.0265355042586674	0.0259253906218682	0.0262116277118159	0.0268267176485727	0.0270449844797298	0.0251466804767697	0.0264210023222791	0.0252438777966073	0.0262645389905066	0.0248332642140215	0.026818659227816	0.0266431603237211	0.0260363842057972	0.0265972444804498	0.0242401230940892	0.0261059523421636	0.024697015393764	0.0267558851310195	0.025822144237554	0.0268043522112917	0.0236971717207611	0.02656246044374	0.0255407737368839	0.0261679430826742	0.0262409915214161	0.0254435062197054
"Cellular Processes|Cellular community - prokaryotes|Quorum sensing"	0.0195277402368218	0.0210220304084264	0.0220702237300001	0.0198689526912793	0.0193209425677634	0.0223605992162066	0.0216541216045971	0.0265054630107388	0.0210233860821288	0.0215297044991525	0.0232384751916269	0.0225705847346723	0.0179487031620455	0.0212169341227585	0.0209859074764551	0.0193983804000463	0.0161303895297812	0.0228911082134308	0.022499827059326	0.0197927056222377	0.0230374820517916	0.0199307356944529	0.023974141613014	0.0243181959702093	0.0254580257525217	0.022775716655931	0.0218325414349195	0.0169810001312212	0.0235049947446728	0.0229607843376766
"Metabolism|Carbohydrate metabolism|Amino sugar and nucleotide sugar metabolism"	0.0159307478429985	0.0166147647022618	0.018118610837624	0.0170563392142043	0.0175300049488031	0.0180064789864112	0.0170481619242236	0.0149552123222068	0.0163466017251306	0.0159658564059829	0.0165345183864215	0.0166316093644984	0.0183194343406851	0.015865948232636	0.0156980044087571	0.0177168192481396	0.0189824212222441	0.0156305600673117	0.0148620809453818	0.0156624533691741	0.0149215556934406	0.0159456817452117	0.0159526372188631	0.0157616365735134	0.0166500489136425	0.0168821797652676	0.0171060377263075	0.0178828527091414	0.016504083375709	0.0151815751578125
"Environmental Information Processing|Membrane transport|Phosphotransferase system (PTS)"	0.0172257437321075	0.02015722019155	0.0186444630747222	0.0177936216844217	0.0143624770827485	0.0186552013975059	0.0205849019409683	0.0142575716398187	0.0118233217998977	0.0220752613652288	0.0168103406915717	0.0220456106151555	0.00879399912772367	0.0216189722140635	0.01708265842086	0.0165016756210504	0.00642417156369773	0.0104700315616677	0.0216602833855308	0.0198241700085191	0.0204835251086544	0.0181173021359193	0.017389692919967	0.0116007917716882	0.0199395601152202	0.00802592593019246	0.0184414634684516	0.00442723655008885	0.0201261030317693	0.0172131175465315
"Metabolism|Nucleotide metabolism|Purine metabolism"	0.0155067658400643	0.0146773823926191	0.0153346397781997	0.0148418054339365	0.0147720411892016	0.0148882843500872	0.0157901483228693	0.0143839320758496	0.0147289842651356	0.0146246292999381	0.0149033518332505	0.0148358664361869	0.0144685708796986	0.0145369687847003	0.0150447472539376	0.0152810969987402	0.0141253959904457	0.0139955930785972	0.0145198817628654	0.0152326165749624	0.0145309257339296	0.0154542964311808	0.0144264116348817	0.0142975360141015	0.0137944266376512	0.0138256594783973	0.0149509005615457	0.0143941830075722	0.0154644325016899	0.0144362808393326
"Metabolism|Carbohydrate metabolism|Glycolysis / Gluconeogenesis"	0.0121814495125023	0.0124126368686963	0.0128008245377544	0.0122821278962823	0.012354128471913	0.0130512905007384	0.0121489939565987	0.012644023954552	0.0117772344646374	0.0127550203492103	0.0126419092075808	0.0130043315944933	0.0111372183433125	0.0124243486170628	0.0123007059984973	0.0121766674551756	0.0115353999642758	0.0119888110929856	0.012576061900763	0.0123944280283263	0.0126288707347583	0.0123597826568418	0.0127993210326451	0.0124720953776451	0.0135577712926274	0.0118583279244873	0.0128770653921931	0.0109056833433201	0.0124182338467086	0.0117524140893863
"Metabolism|Carbohydrate metabolism|Pyruvate metabolism"	0.0134546659658518	0.0114848839480526	0.0118648531672393	0.0121160042018172	0.0124022885281828	0.0119280189835272	0.0119490218626488	0.0128807453061727	0.0126609351144328	0.0116362975940509	0.0122574887257231	0.0116540434861293	0.0119754423051199	0.0112946103795681	0.0128791130361597	0.0124556919268125	0.0113291085836622	0.0126043762822345	0.0116631891260786	0.0126775198449124	0.0119642065970551	0.0132211243465175	0.012049548688907	0.0130617779952366	0.0107841621226724	0.0121826409990751	0.0121406205433086	0.0115431030362565	0.0121219309405113	0.0117954231076173
