"Taxa"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"goose_4"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"
"Metabolism|Global and overview maps|Metabolic pathways"	0.14797630593153	0.147341822683402	0.142694870485383	0.143158229955722	0.143918067446432	0.146873868757622	0.147035706245398	0.139484104509899	0.14125072339762	0.141816343074429	0.140373639757171	0.143889054640959	0.145534032168058	0.144694038280073	0.141323540471861	0.15087802108133	0.146539135450562	0.15056262343333	0.143958188820282	0.149478631806241	0.147525368596152	0.146620992188786	0.146979060729361	0.148749402144025	0.146884339419168	0.151492959560205	0.150126475476682	0.15195486870325	0.151994787170679	0.141254173590568	0.147102211143286	0.147931755706691	0.142800391267147	0.141204505166763	0.145181424254371	0.151784335830619	0.143863889469441	0.145637371137367	0.144294296681501	0.140649120955024	0.143874301589739	0.151399165754314	0.147303980519471	0.148616199365721	0.149530249887074	0.142742237783836	0.150381482345316	0.14587034943212	0.146807288200759	0.146837490645195	0.149135101580267	0.147354706488032	0.141973709674661	0.152888293904222	0.147201488098277	0.151468563222368	0.145469451433362	0.148672830705559	0.141689509422035	0.149642679067249	0.146718017911393	0.140190136552306	0.145864552341751	0.142333073370031	0.146638867190289	0.147948866390358	0.151516387499108	0.151635429254213	0.137388464431198	0.151816737727279	0.147287697715177	0.15063648231863	0.154007765720587	0.149932099123102	0.148359995512851	0.131654759326109	0.145669479217366	0.140684819275395	0.149553609274096	0.149290454110541	0.148240130173374	0.154051328739158	0.147496841431468	0.14629386239961	0.148294266034772	0.142324872115948	0.144812137262836	0.149526666774946	0.154739268668949	0.140135543390641	0.143361215284582	0.149346515362242	0.147258317960919	0.147492110085453	0.140347134065745	0.146151531037309	0.151464570221919	0.150995814305705	0.147755995766613	0.155064460477258	0.139233009152991	0.143592393485782	0.155171629341194	0.154022725285282	0.150564068354046	0.141792675749694	0.146595657906826	0.145981048184473	0.147418743868354	0.15205632992756	0.139109740472278	0.145826206085889	0.141340392579333	0.148787641824778	0.141969140741275	0.151224204031301	0.145336581413735	0.144648527539132	0.137737814546712	0.146779486541525	0.144345771629549	0.148376887770928	0.152633691775317	0.152146932621424	0.146006831416614	0.151473340097759	0.148509904993328	0.145242814363611
"Metabolism|Global and overview maps|Biosynthesis of secondary metabolites"	0.0624188524226676	0.0602936147082857	0.0522025281756896	0.0581007245078856	0.0561916451474547	0.0611362151267392	0.0590442945929647	0.05746945408747	0.0567183490433947	0.058567245518732	0.0580747264067832	0.0590956752677012	0.0591339313682186	0.0610304554782651	0.0572123066338673	0.0629431780608299	0.0606879119599978	0.0633031127122394	0.0590955116344905	0.0632109733556236	0.0624955929168832	0.0611081935631246	0.0609428382395897	0.0620797409183646	0.0598462356533573	0.0615137781738852	0.0612747905749687	0.0605355695326454	0.0643447268162004	0.0566092560814988	0.0604532550551224	0.0613086481888228	0.0584306449946984	0.0569119105338561	0.0598926117920947	0.0639208575332444	0.0589532857879156	0.0607503370878027	0.0592420236334449	0.0563645407308818	0.0602446299475881	0.0637521164986276	0.0621667448542175	0.0604533794163874	0.0621291573604369	0.0582827020296853	0.0627952142781144	0.0611501268963468	0.0620075357841965	0.0618697218486555	0.0630271971218763	0.0619009888227247	0.0577897840990657	0.0659343880529892	0.0626132135312149	0.0661139950152269	0.0601599200679564	0.0629858363753937	0.0587969361586332	0.0618200095199662	0.0610097347273034	0.0562868095370656	0.0600488597488452	0.0582008271369009	0.0620009730239137	0.0624062709880248	0.0649814351539013	0.0634982190890905	0.0566017289994055	0.0649623639440209	0.0611013529164894	0.0617713686584903	0.0677287699859364	0.0607034585164589	0.0608341650084945	0.0545350889760968	0.0601656274082279	0.059578752323475	0.0622268597410747	0.062316279052452	0.0611531011058177	0.0674365357216678	0.0606496145367546	0.0598806861455938	0.062049734841384	0.0578069344992871	0.0597944124567702	0.0609893483124012	0.0672274829856006	0.0578291607774657	0.0579622337691445	0.0626210230500996	0.061593556574994	0.0606580161519088	0.0571149403356786	0.0604356551303222	0.0641231524284054	0.0646693223121048	0.061539898364407	0.0687117971744046	0.0558589619484347	0.0583624980987957	0.0676149136923179	0.0662890284852278	0.0633245723682058	0.0574151252411851	0.060835056907107	0.0597300921500887	0.0610187737377548	0.0646756396086216	0.0567372551774774	0.0599968458658957	0.0566216812010402	0.0626030162000082	0.0572003141280209	0.0645234547011842	0.059777249864805	0.0589642378870886	0.0563317634130007	0.0606825550560491	0.0581825002519872	0.0620645665419207	0.060604488171063	0.0668122585448623	0.0613927487893204	0.064158955307481	0.0620081429494178	0.0605078846206869
"Metabolism|Global and overview maps|Microbial metabolism in diverse environments"	0.0527945181521274	0.052633338396979	0.0521839692788991	0.0535065725019978	0.0524897508530796	0.0524563168623647	0.0485237855110616	0.052094282668656	0.0562080885402245	0.0510876795205267	0.0530762963177974	0.0535628940170309	0.0528634918275517	0.0529458495093675	0.0569926063556147	0.0518940311499792	0.054253830893167	0.0537785133178483	0.052276725262237	0.0537768639603767	0.0514080866084361	0.0563463558361788	0.0541751929793614	0.053171446557999	0.0510907971997249	0.0499555442221968	0.0465974769735779	0.0476184872920904	0.0569326742563901	0.056786326776187	0.0530731353371887	0.0530033130554877	0.055128474804703	0.0570365157928069	0.055301657435289	0.0567753071282095	0.0561118102666745	0.0532862944183955	0.0565893929593004	0.057758308669774	0.0499776362361924	0.0530988400190159	0.0530609166424222	0.052660585186237	0.0561511187647826	0.0562374140011408	0.0532194156031135	0.0543588128204308	0.0506395083428564	0.0516341809055722	0.0510100979604241	0.0549680411212003	0.0565663464836417	0.0543745923195369	0.0527032981424966	0.0507005185433728	0.0556299967772951	0.0543623336789232	0.0518947867023331	0.0511131261601419	0.0559074582574987	0.057067167186597	0.0530489665266758	0.0535088075587827	0.051411136245801	0.0513327703923161	0.0547592990581912	0.0528177351680749	0.0531165914077711	0.0559004646243136	0.0497982463519987	0.0494930030025288	0.0505375030392649	0.0495198985704068	0.0497877721663385	0.0526124310382892	0.054551840940236	0.0514793716289364	0.0538393771713371	0.0519559144512013	0.0501064222963973	0.0496318705700639	0.0514334218801401	0.0520153536690718	0.0511749340283987	0.0567113112737844	0.0558908222301871	0.0493383393464051	0.0553313660800146	0.0513959598661426	0.055904138260627	0.0550745430769183	0.0546132654286819	0.0518100155993737	0.0525262149168442	0.0533382530759231	0.0564038436924402	0.0533864464030744	0.0515882097091848	0.0508196229634515	0.0569292871453413	0.0569062511537088	0.054668166035946	0.0558669612508086	0.0566013219576586	0.0561183651093752	0.053187453183422	0.0520495597628805	0.0533143684932908	0.0531221254843141	0.0539772536120667	0.0509509170325969	0.0574454747018567	0.0560968769649953	0.0568332310142578	0.0553346513522769	0.0532956017282624	0.0520721322745535	0.0537705475047377	0.0496620215710719	0.0485671520801087	0.0532006735056253	0.0458655535454103	0.0524087432441657	0.0531512338022679	0.0547735789707098	0.0541411429536467	0.0521981665539919
"Environmental Information Processing|Membrane transport|ABC transporters"	0.0562911803437705	0.0499399558145232	0.0631478739498874	0.0601842828853128	0.0558882172409975	0.0545081903250505	0.0439652033277854	0.0659785299360235	0.0545532656312123	0.0672862211036219	0.0649359522594013	0.0573897643311645	0.0568915851332124	0.0585936034571717	0.0542695094027028	0.0449968731487563	0.0571138655672677	0.0491621164824102	0.0557494413740904	0.0487809742018865	0.0558061686409388	0.0493038443462049	0.0512431896155946	0.0536786511954546	0.0483532354739606	0.0421740863010743	0.035732283105729	0.0309069091845861	0.0458686077787966	0.0542038740176804	0.055896840724783	0.0505117594852638	0.0543823918019532	0.053470475890735	0.0528847377614182	0.0434730631344502	0.052475497528516	0.0532619705361507	0.052522756511931	0.0533370388810967	0.0693345003534175	0.041620968405824	0.0509967631118613	0.0506333086135908	0.0486017811943922	0.0537553870356081	0.048630547018457	0.0525517504413361	0.0535574317484351	0.0510148713008525	0.0499683813083565	0.0508123284350583	0.053546904317598	0.0459793744061657	0.0534282205064922	0.0474423898807281	0.0512042662903482	0.0497898323005676	0.0609987481910561	0.0495812044083739	0.0507616837477649	0.0548563155557612	0.0528941979472391	0.058858874867002	0.0553711107394258	0.0518299760586831	0.0471080373290766	0.0423110775344405	0.0622705034951868	0.0464828927833485	0.0481019144402301	0.033826775380738	0.0443673225973696	0.0459556824857917	0.0492892944483011	0.062800069665276	0.0496749281565107	0.0593995196586439	0.0493709941096507	0.049290198376443	0.0417918012273425	0.0432361011395112	0.0522697862760374	0.0544716329852674	0.0481216337275793	0.054163725904887	0.0519835718593219	0.0480208838408355	0.0416266347544912	0.0595110785880381	0.0505693143647154	0.0498283548552684	0.0537929823756923	0.0557619859808289	0.0605770772702842	0.0506419475712364	0.0458043623608836	0.0460278765909581	0.0538707139679495	0.0440999212446512	0.0554742823158208	0.0509854719804799	0.0415503239980048	0.0425686565300089	0.048924181374254	0.0533616641607581	0.059145599121799	0.0578478564032322	0.0526481462647167	0.0418652525230867	0.0575868166967671	0.0467236623721596	0.0527255250395066	0.0473176586128887	0.0539241287880126	0.0467294931494627	0.0526533125424963	0.0552701409322204	0.0559134833338336	0.056999459185645	0.0486805065283885	0.047779181707872	0.0313697327254643	0.0502282609472819	0.050666864819303	0.0485704571436677	0.052455766744228	0.0536191582564482
"Metabolism|Global and overview maps|Biosynthesis of antibiotics"	0.0496560744460724	0.0496663053770353	0.0421217694227517	0.0453210413295512	0.0444706859699735	0.0472739600335732	0.0476495701370934	0.0465417778678673	0.0440268498215444	0.046739981196826	0.0466393050600725	0.0463187019196473	0.0488812003481725	0.0481342693477224	0.0444614369805669	0.0511386286376048	0.0498145495298114	0.0512859500787534	0.0487547302095887	0.0502676452516522	0.0494330905180831	0.0481747022286353	0.0507263797455646	0.0502247158003	0.0487937988256629	0.0499899022740713	0.0502260128833644	0.0492402630533879	0.0533382197829787	0.0437129056522416	0.0491099854657175	0.0499082223831908	0.045467964702047	0.0437603460108651	0.0470494073189689	0.0525366147709464	0.0463955354907863	0.0482302628400568	0.0469302083361941	0.0430982533683152	0.0473465499367312	0.0519077110555238	0.0488332681084932	0.0486818723155645	0.052029529848496	0.0454844473200727	0.0509912477545	0.0474589128123865	0.0490926090539819	0.0500635836899165	0.0500209674799812	0.0486022028442662	0.044671377177508	0.0525251817531163	0.0489464242956332	0.0505822034980406	0.0473443691644444	0.0496198006077715	0.0479329280400071	0.0483995818524876	0.0488284802227904	0.0435681348302417	0.049293663339496	0.0452926223723647	0.0480501132124964	0.0484903969851095	0.0520315742979951	0.0508572376709616	0.0445926886022313	0.0524233179755947	0.0491133021351047	0.0505270778812501	0.0514218280072633	0.0490219686126071	0.0487187431468246	0.0418395642320199	0.0476674208304388	0.0460494144843151	0.0507809601615511	0.0500242628345787	0.0489760930450692	0.0510890672964745	0.0491993691438063	0.0482018723410343	0.0501395691643131	0.0452294807562286	0.0473745714884987	0.0487047246876382	0.0539589109046747	0.0465439709285478	0.0455110777291742	0.0516855435897366	0.0491773021219988	0.0490720427264714	0.0460376666976448	0.0479928326351662	0.0523536513865876	0.0509885575527467	0.0494539934735078	0.0523592887788129	0.0432271622747063	0.0451351933216502	0.0538954853096518	0.053845574982975	0.0522390044428853	0.0448404702696387	0.048532483813013	0.0481485825403183	0.050001570496185	0.0513293762771083	0.0442987274653731	0.0486338063168839	0.043737554767727	0.0497728596887696	0.0447513448959751	0.0518023265379864	0.0474072105000718	0.0489664839264373	0.0441614043459664	0.0478946112939037	0.0480484587947045	0.0489781701254645	0.0496556409273875	0.0518131863179536	0.0487670460424841	0.051944520365174	0.0506850120383771	0.0490880898924565
"Environmental Information Processing|Signal transduction|Two-component system"	0.037202193172895	0.0440913366365103	0.0409902491576771	0.0424754810191189	0.0448937074185805	0.0398745642085232	0.055647078124028	0.0580145054707365	0.0427431428216314	0.0501760114777703	0.0533960236662665	0.044764683183226	0.0455717083219806	0.0446092523996982	0.0411773189498893	0.0414387357021123	0.0409871873372344	0.0363714911539153	0.0519732795415481	0.0369740707800492	0.0417990123296254	0.0351113102188403	0.044508922344902	0.0391111048004135	0.0497285265371707	0.0451435990113462	0.0538028716577895	0.0534692006829183	0.0296319627176111	0.0441543893359426	0.0421760131678619	0.0423484555097593	0.0424230697971309	0.0440952240851982	0.0404033711701605	0.0310412189954522	0.0401880412497166	0.0443241486099632	0.0389056726568272	0.0428900030196296	0.0455084669618134	0.0385372852517592	0.0407205134512553	0.0399621964265719	0.0357016098959802	0.0409070021759192	0.0379655901945359	0.0386622505173052	0.0484695752753236	0.0480683722719638	0.043444729258731	0.0361716453985825	0.041078136322526	0.030322123989655	0.0400893323488946	0.0351128876331683	0.0388228730443569	0.0355713199896134	0.056538594234125	0.038978788097762	0.0373997212795547	0.0439963311949051	0.0464104189607731	0.0387813491238929	0.0423240320668305	0.041025805045299	0.0315577363429396	0.0371169714056705	0.0501283329419621	0.0295125762931701	0.0496791875579153	0.0508188849477087	0.0313740750028369	0.0482608838657834	0.0487994669997033	0.0500051786703736	0.0415945354225599	0.0463656792414874	0.0379749601688183	0.0409568933789692	0.0502187420717246	0.0336147441789329	0.0470473816658246	0.0462718638526568	0.0457546012253608	0.0412792934719337	0.0399227215762399	0.0470860934847612	0.0266548243717713	0.0566548972783659	0.0444691872723325	0.0364563881299265	0.0378209441333585	0.0435468077238277	0.0543604464389037	0.0444859444008453	0.0306013921825995	0.0347788999320688	0.0431382684767375	0.0281617420323233	0.0444418782316221	0.0403476990361358	0.0259702415186515	0.0274326039103251	0.031770400318177	0.0437995642294562	0.0392093255573081	0.0447754338625158	0.0422637824873393	0.0348397776830012	0.0462026250840125	0.0533932241723096	0.0433685959796203	0.0332748614184263	0.0435428235337758	0.0315035745391419	0.0448155735105616	0.0503017311396538	0.0477416766358697	0.0466234955977091	0.0611691915971021	0.0380125540847897	0.0569701528701201	0.0312517622528234	0.0413065899167271	0.0323087650923461	0.0381728063420302	0.0494505220060097
"Metabolism|Global and overview maps|Biosynthesis of amino acids"	0.0300181586985947	0.0287637814711428	0.0248264197053843	0.0261828592933695	0.0251913480991539	0.0281195124933611	0.0278323098834637	0.0270606645596236	0.0230686640500534	0.0288510708272996	0.0271149568433611	0.0267406726287045	0.0290738577975805	0.0287470508193471	0.0229016824392109	0.0306019204295435	0.0298309245467468	0.0307170584222979	0.0284422517135642	0.0296895784671187	0.0303831677704567	0.0267103306562133	0.0295555060303757	0.0304632471987209	0.0288836053006734	0.0293604801719268	0.0299068726428554	0.0273096836729416	0.0318085411140611	0.0231629267875249	0.029151132465742	0.0297915602188608	0.0248118620470437	0.0230509297839274	0.0267442945081778	0.0305289471547885	0.0254203746012448	0.0279543653681449	0.0257959591547708	0.0222347423422357	0.0305130045955004	0.0307985978310643	0.0285618622634073	0.028656399585235	0.0308027702198007	0.0245258305605127	0.0304082468958988	0.0271564160044159	0.0294739524006314	0.0297015157355861	0.0301816217652411	0.0279817837151453	0.0235799568085611	0.0318145180100525	0.0290725968145422	0.0311026468861836	0.0264248159284204	0.0291567016451484	0.0275886528905109	0.0290102311464649	0.0278925865387005	0.0224505672810304	0.0287802687056052	0.0249059348401529	0.0287172304170314	0.0288629638655841	0.0313206902699082	0.0300354871557917	0.0249932794433868	0.0314517351135225	0.0293144449293701	0.0287244063548982	0.0319431311510895	0.0290053229113867	0.0287264309958481	0.0224984177996983	0.026757330408156	0.0269190467795063	0.030424158280966	0.0297822312552333	0.0282681046513428	0.0316862089916915	0.0291338422862563	0.0281855163894589	0.0298961306623081	0.0242422645298662	0.0263327659888096	0.0291483437884357	0.0326454405617589	0.0264700065266358	0.0245876237398082	0.0308910338371537	0.028995400176836	0.0297800437459852	0.0260921855742052	0.0274543440471296	0.0309179122712165	0.0304441283453485	0.0298054979601995	0.0325670962750565	0.0221690975818963	0.0243387970836728	0.0327321856740691	0.0323685742320599	0.0311122494290787	0.0237366921873324	0.029416264625362	0.0289510906909872	0.0299213006315427	0.0302554226420877	0.0241033610835749	0.0275505685552586	0.0228720720898704	0.0284603396868588	0.0240577224283418	0.0308413402985198	0.0270181079986373	0.0287752825461028	0.0235990876699519	0.0291124053068793	0.0278494960149521	0.0285549826049503	0.0281233153372239	0.0323281851909611	0.0277114707336506	0.0313036646219255	0.0304912516373423	0.0288176687368903
"Metabolism|Global and overview maps|Carbon metabolism"	0.0258335177294023	0.0265053401335388	0.0243076199089324	0.0247445543231782	0.0248310507649871	0.0250180525845597	0.0262145528819353	0.0266861808211428	0.0244652809939583	0.0256800407163057	0.0263605517854307	0.0253859086010638	0.0263752952646955	0.0259553282145494	0.0245023797720951	0.0267047614743307	0.0266524659895789	0.0270180324811622	0.0269647353039715	0.0264073674823043	0.025833812444799	0.0255553094768329	0.027477288605352	0.0265041751309372	0.0266695736700401	0.0265384234457797	0.0256526909351345	0.0258575947265857	0.027602420356981	0.0242112457776819	0.0263936293274821	0.0268088424459031	0.0247463696738666	0.0242700423910408	0.0253384807745426	0.0276750466093484	0.0252137867395754	0.0260477823638988	0.0253843163186741	0.0239233159071681	0.0248042919398271	0.0273160228897263	0.0258796918111039	0.0261082415795156	0.0276072386917071	0.024913569514266	0.0268636383947262	0.0252282163665888	0.0263595332613822	0.0268879750220612	0.0264217771115647	0.0257221728469412	0.0245581922869322	0.0271722854866196	0.0258112172853753	0.0255267076716694	0.0254922187358104	0.0259139888488404	0.0272002306861627	0.0254056675013201	0.026036848822323	0.0243772094380287	0.0269367012872886	0.0236347771147128	0.0253157501942288	0.0253829992755912	0.026731761321853	0.0268017935713577	0.0244564956692097	0.0269216994822337	0.026351179950696	0.0266977451037575	0.025786633642018	0.0261945479983334	0.0261318682618009	0.0221217922439235	0.0256066161649797	0.0243292214675928	0.0268761478579436	0.0262567260398542	0.0262322336158192	0.0256507582847666	0.0266622442345118	0.0261338017094148	0.0267365653014009	0.0249175837497833	0.025665417689656	0.0259272631360146	0.0272955407503147	0.0260862067920878	0.0249835118623725	0.0273346714137424	0.0261312618609495	0.0261673375625838	0.0258685077955752	0.0258505867478437	0.0274169623895571	0.0264142201978656	0.0261372334881771	0.0258057059631843	0.0241632357326311	0.0245489297908788	0.0270937858833207	0.0274904777382346	0.0276287538251511	0.0247830196419071	0.02581327385683	0.0259289734182826	0.0268445959425612	0.026416298022059	0.0238905358882342	0.0266040534076021	0.0242333877321141	0.0260948530790678	0.0246919787847367	0.0267588954353297	0.0258057007805233	0.0267917780145116	0.023689569135026	0.025513888914619	0.0265694715145012	0.0255223483025443	0.0261854112873633	0.026224780819178	0.025424386063584	0.0271692611372674	0.0269262265360082	0.0268653521101289
"Cellular Processes|Cellular community - prokaryotes|Quorum sensing"	0.0242990547449571	0.0223807492648766	0.0289419621221965	0.026189523204108	0.0250774261530991	0.0248341317735344	0.0212028671287686	0.0314151647083602	0.0220571377840485	0.0291270691074633	0.0301327899302409	0.025473867945329	0.0223429788959833	0.0267214583683095	0.0215443487199933	0.020318552609969	0.0247470521545306	0.0219802289609814	0.025201383307793	0.022152350158767	0.0251502368561701	0.0202183196113118	0.0231494531316396	0.0235682925685823	0.0222203763526903	0.0200776529285759	0.0172021549679317	0.0155547314944852	0.0188691760051881	0.023061898390432	0.0236339236066493	0.0227174591775973	0.0224080117179918	0.0231823655959427	0.023131589728719	0.0185672041128748	0.0216315222187359	0.0239859657654971	0.0212668973970268	0.0224293400834223	0.0313738544191631	0.0187268654274038	0.0230498330096336	0.0228139974604267	0.0201276257686625	0.0219927138236315	0.0210094213876898	0.0226386993241019	0.0260193371861019	0.0243462012811348	0.0237407745370398	0.0218547262905867	0.021709160123762	0.0210220676708904	0.0245979160432304	0.0230911216416219	0.0214886008318	0.0216052913017922	0.0302064840480721	0.0229789929890333	0.0210968064856078	0.0222837164105995	0.0243471998622502	0.023486057035989	0.0257896591316332	0.024476488200773	0.0204135584940402	0.0200419899904513	0.0294678460906851	0.0196982948000392	0.0224768431923496	0.0163420048790779	0.0221913144668631	0.0221355500391889	0.0238078815123289	0.0315037995096063	0.0211737729186499	0.0290782389222047	0.0215093701465909	0.0225486904076418	0.0198467973438049	0.0218827160523007	0.0243395728552641	0.0241150176635137	0.0224041692847813	0.022141938579148	0.0218870082662814	0.0225827682403067	0.0183461792591139	0.0297160000500874	0.0221791669572778	0.0213724844499937	0.0228559614805735	0.0243354759260067	0.0280282191580458	0.0233733599867456	0.0195087809920421	0.0207318060912399	0.0240922643627983	0.0212276775643502	0.0226956472171931	0.0218890581642529	0.0186339335028223	0.0184409769500927	0.020877628785859	0.0219834545075833	0.0252823073865634	0.0251267969234256	0.0229400845654566	0.018760254746928	0.0252301210152138	0.022960873708844	0.0224892967281462	0.0198195664382533	0.023015444141068	0.0199491266602507	0.0240138635028131	0.0242418348436647	0.0255165015496358	0.0258178119314607	0.0227529101112961	0.0218405760431717	0.0171367816091011	0.0234723122301539	0.0230409049651389	0.0214020351131231	0.0225709742573893	0.0252455952986827
"Environmental Information Processing|Membrane transport|Phosphotransferase system (PTS)"	0.0192599141701525	0.0141803315970368	0.0328927246341401	0.0238144243097822	0.023900917198177	0.0217580224836612	0.0119175044857851	0.0118119496408984	0.0243651988442549	0.01786832216573	0.0144329836038112	0.0205949830619952	0.0152598069960721	0.0178929563552177	0.0242378753119511	0.0135155906857068	0.0153412310789895	0.0155010432981368	0.0115455140737444	0.0174380216423396	0.0180665563712498	0.0216550612419252	0.0113714105795849	0.0162204829173695	0.0133698292357117	0.0122763754817796	0.00934495397364594	0.00865349300740999	0.015693284236877	0.0216310483756815	0.0159177555553892	0.0154052431034379	0.0223962680250947	0.0215475537084177	0.0196538103036489	0.0156242819309557	0.0216343025414866	0.0170855790167308	0.0213511855188051	0.0232388084730302	0.0187667448180194	0.0142173062815833	0.0184872191036554	0.0185383355486165	0.0143485107181493	0.0228776923349099	0.0153729637611046	0.0218618507451746	0.0139156557136779	0.0124800723670737	0.015296667868648	0.0209139546361724	0.0240700803256888	0.0177739865476554	0.0188134594157513	0.0196095776494134	0.0208770289447013	0.019831994885452	0.0100274358953213	0.0209984139632356	0.019346367269859	0.0235473694051603	0.0138392355028031	0.0224243634534965	0.0190998807643784	0.0189137927366365	0.0179869245764315	0.0175028797271486	0.0181738914125102	0.0183106904408492	0.0139559751313442	0.00972152460859916	0.0216561337239909	0.0119921022764656	0.0126250168988032	0.0211190611472275	0.0192354566551458	0.0190323818805243	0.0164751786942187	0.0151841350885319	0.0127208300689338	0.0209176225069127	0.0126399981032707	0.0149477789794841	0.0133033571064607	0.0226184715145288	0.0203098778532635	0.0145771577031949	0.0173927378250388	0.0115896228507068	0.0187491412761462	0.0152129631787291	0.0185017383008199	0.016029015041514	0.0141244223440003	0.0163060206652151	0.0167738640006712	0.0182502201131808	0.0159246606428403	0.0210478125715496	0.023757754370388	0.0217583693847673	0.0180511580165367	0.0167962793437776	0.0160546846315917	0.0220490562532488	0.0197635235505884	0.01699045131471	0.0148731812775595	0.0174941808131292	0.0224256715451687	0.0104444627880942	0.0216623199011784	0.0198818050860481	0.0205034538654162	0.0181241597220585	0.0173668547906044	0.0117099166544863	0.0199305203450136	0.017104071446128	0.00803391802690749	0.0184503472313912	0.00434702707141734	0.0201471329134305	0.0172514233612467	0.0171971019331512	0.0162473237680343	0.0128397380425251
