"Taxa"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"goose_4"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"	"ophelia_9"
"Metabolism|Global and overview maps"	0.384818646242235	0.381491759673583	0.352315033273209	0.365886923715553	0.361610229858732	0.376287324096863	0.37034800733124	0.36537437224026	0.360510461536016	0.367422346560503	0.367585283976161	0.369972465594067	0.377188443321603	0.376960649521913	0.362323294360326	0.389877954181447	0.384388505244576	0.393554508688823	0.375490651425529	0.389097918798349	0.382606432760708	0.380379764335357	0.386787087150033	0.388007381506236	0.376825777245437	0.384733099761346	0.378188795112869	0.377917281211861	0.403638941622598	0.361687383265673	0.381562538802145	0.384322582298679	0.366264332128081	0.362251476898157	0.375589309893723	0.400937174905745	0.371471180114242	0.37761914133092	0.373752408485709	0.359919077454278	0.372688294764011	0.394082646767963	0.363812750672803	0.381374034650652	0.380924948929182	0.394936282612287	0.367448013220777	0.387652756747841	0.391506223934759	0.37658078614004	0.379795363137104	0.382977919872695	0.385369127498966	0.39145662039578	0.382423251207012	0.364205641014498	0.401964845742737	0.381856302213769	0.391077138617774	0.37623785769871	0.386630381049642	0.371771462251243	0.38032168147367	0.382417243231831	0.359025370997787	0.379618433640051	0.362743155707857	0.377653775695972	0.380057568676167	0.398210610131785	0.390789390596491	0.356974845313743	0.400603008474274	0.377206748845328	0.383075519711959	0.39656717995794	0.379849403814004	0.378228413927628	0.34134469354258	0.376014739270102	0.364841410716369	0.389403115940165	0.385450727682426	0.377962209288631	0.394349825096175	0.380557747568034	0.376412726104452	0.383684058263156	0.366638736664065	0.375698270863321	0.378453900430918	0.408276343145802	0.364878219717677	0.368369232270282	0.393517199728435	0.383938131184503	0.38059778738174	0.363640018936026	0.377340840213084	0.400161539381769	0.393046500310603	0.381813656984516	0.401407126724895	0.356728901553328	0.368996037989134	0.408197905356871	0.407572418936926	0.398922507219852	0.363917183196339	0.380132379364365	0.376213290322831	0.384742449477059	0.393671212720203	0.357886277728776	0.375757391006375	0.362281578906903	0.388432895447765	0.365709914223599	0.397111064762163	0.374685964424078	0.375889600541014	0.355243351773858	0.374612118393568	0.368149797462081	0.382693472400577	0.378811251719177	0.397902545783992	0.379412102824498	0.397849120784203	0.38867102897413	0.378806294184583	0.377721713053805
"Metabolism|Carbohydrate metabolism"	0.117816488419096	0.115536450965425	0.140210170649226	0.124669669677995	0.128444802190655	0.122794720303397	0.120498254326534	0.114301203910979	0.124692000811999	0.119946531902018	0.115882923352933	0.122031621153232	0.117792182586062	0.118476661695864	0.123361239725935	0.116660045368816	0.114960939948676	0.11595641367077	0.114823880179991	0.117200291074943	0.118841867686389	0.120079348884971	0.112794684448838	0.116550181813811	0.118439246893093	0.118100012274325	0.118152652271939	0.118155603862763	0.113639695284384	0.121063694728732	0.117545920253189	0.117689393575877	0.122567444498364	0.12058101401969	0.119192805467409	0.114542976594895	0.12115988509238	0.118456366634737	0.1202906207832	0.12190996736196	0.119492034491555	0.116143084842944	0.123121396150042	0.119252968493051	0.121431267136021	0.113935865446496	0.122335080345685	0.118512352293732	0.116524293098664	0.121358648864744	0.116796263332894	0.115246596378649	0.118075033339493	0.120128378074399	0.120218084710515	0.123367249523522	0.116808801319062	0.118765084251815	0.119049861754987	0.120418989808117	0.119049865932696	0.113166214707647	0.123951424071622	0.118561273215021	0.122826337913746	0.116525943674106	0.119924107353596	0.11967205378165	0.119716848072755	0.116507761333415	0.120213930931639	0.114303244322395	0.116008103921628	0.119291180698078	0.117768163014174	0.121870477573571	0.11781542776351	0.117283840422101	0.110152247556593	0.120074477148034	0.11533477452422	0.117622211548415	0.116652960826464	0.118752089214905	0.122169833300536	0.116110316973936	0.117606763200535	0.116631159419059	0.121761365504287	0.119816779766252	0.120571586793644	0.115209200655743	0.112769955243558	0.119217150465972	0.115256505756523	0.117843028605296	0.118620783416896	0.11604571833308	0.11773641283825	0.115088733809191	0.118161217017302	0.118119330945972	0.119702500437586	0.122253837219068	0.120683336517042	0.115974296200402	0.114818392847301	0.114585989689427	0.122040345539464	0.120038030265676	0.119350605727671	0.116614877367946	0.118340134535107	0.119868566921782	0.115101087671163	0.120718265356146	0.118079233813347	0.119782560543949	0.116513305666989	0.118821298632374	0.115395169522819	0.116171951764889	0.120783357544143	0.116475691251215	0.118124722293107	0.115327638077692	0.118590585557404	0.114275946349713	0.116792820324106	0.116784851663398	0.115954211901633	0.11645342562206
"Environmental Information Processing|Membrane transport"	0.0803889833915808	0.0687170073976211	0.0999798812973842	0.0894808671351498	0.0848745892493342	0.0815495042052904	0.059637612777459	0.0823797284876649	0.0862273501547758	0.0892822027959279	0.084449702758495	0.083524818742029	0.0764828727987595	0.0815636482113785	0.0859453109846252	0.0633618930436311	0.0764410835014488	0.0692445971007555	0.0716544584492059	0.0714483346857296	0.078204281073796	0.0773813043076443	0.0670259722307691	0.0736378047580099	0.0655964247127533	0.057814017079733	0.0490872868036069	0.0445563614534015	0.0660618431945773	0.0828289180487415	0.076422924796503	0.070281656412606	0.0835491785287086	0.0823252882024836	0.0784761620916779	0.0641271672426369	0.0806771781599123	0.0758015816961724	0.0805654318355936	0.0841968872215785	0.0913223275224	0.0604408473204973	0.0845213638003998	0.0750371643883975	0.0738860206482536	0.0677579389465496	0.0835499765058429	0.0756240677966502	0.0680833725607666	0.0805462401837546	0.0725587831710905	0.0678536652470027	0.0699414658617395	0.0677066928834539	0.0776267586873736	0.0850114866105449	0.0684064703889696	0.0781920345021249	0.0724173113873993	0.0784666612968379	0.0751481836667381	0.0754569723197215	0.0756377677185366	0.0760136033748253	0.086001132758127	0.0715051146758036	0.0884214289730447	0.0795404605441942	0.0759861046746889	0.0699682128388513	0.064381865076488	0.0866984281845302	0.0696736548482073	0.0664226730676498	0.0488418837483872	0.070831117611282	0.0624831030457889	0.0665290672371456	0.0915073315217927	0.074878007782855	0.0843017597278038	0.0700839232392608	0.0694342705412257	0.0590424484386267	0.0689451692049891	0.0694970644032665	0.074135269707072	0.0656563775035356	0.0837905206636656	0.0785036267037247	0.0670618970313949	0.0639817261919904	0.076054884231676	0.0758478217591562	0.0696308565751312	0.0774311945105741	0.0760699500241593	0.0799655245812221	0.0720541958089412	0.0675098651404375	0.0693998783035913	0.0743968345780062	0.0701346938334722	0.0869103144592326	0.0796943636437633	0.0645289453126437	0.063961928762022	0.0696795436994733	0.0823185694295212	0.0833771647327501	0.0793580164131606	0.0716675201975732	0.0643023901740969	0.0874487256058935	0.0619381015602987	0.0817232574661957	0.0729823677120667	0.0809448046303974	0.0698738031119682	0.0753642494056838	0.0711002910103508	0.0828449340608834	0.0784886422090406	0.0607721895932863	0.0716342727526284	0.0397065667957765	0.0752146973259606	0.0731867827741258	0.0704633813274932	0.0732410157185744	0.0710132184618787	0.0810760604217557
"Metabolism|Amino acid metabolism"	0.0672879607891296	0.0672658770500503	0.0544229514226671	0.0585539062014306	0.0564779800789032	0.0618470617709776	0.0604687348291397	0.0607181056079649	0.0555735104731293	0.0606149804811144	0.0615868892561521	0.0592321639066988	0.0653363778826232	0.062366159524523	0.0565091927884245	0.0665594423954959	0.0676381595364387	0.0692648021358141	0.0643829709670946	0.0669530397610307	0.0642112284433007	0.0636764894210389	0.0685932705927478	0.0669151387222362	0.0636058046005133	0.0633895268854206	0.0598535947004033	0.0587887500842703	0.0747646652926607	0.0591723805442443	0.0656027045904286	0.0669424121356563	0.0577274578490355	0.0593927915059009	0.063330350629555	0.0728450630573852	0.0602502002272259	0.0624357063885943	0.0618899374225238	0.0583685558430088	0.0597750550374392	0.0695885076888516	0.0569990477526157	0.0633009068503633	0.0640412839566778	0.0720108998981146	0.0585607009519587	0.0667764424814512	0.0684783528533129	0.0612009973263685	0.0627712175559473	0.0649469246589344	0.0644397734142532	0.0645854853320892	0.0637496207531973	0.0570597397180533	0.0714895749672285	0.0638197118506122	0.0658987289641869	0.0618557331813648	0.0658715566047759	0.0626999501892942	0.062090408694188	0.0651664790837619	0.0559543239117541	0.0658584595469259	0.0573113970107423	0.0619209719361296	0.0625648433013757	0.0706766298255949	0.0684680708306346	0.0612737814299915	0.0720793053698923	0.0625810706260649	0.0622618232306544	0.0674657878783522	0.0615624100547829	0.0617343174634163	0.0615881642297224	0.0616844094096162	0.0623446077434985	0.068688094210485	0.0653288244885895	0.0620703994579318	0.0660273222695166	0.0639744492079403	0.0625356853899375	0.0652142932924089	0.0587870118844529	0.0622188684690826	0.0613641652912462	0.074385860530749	0.0616359250462217	0.061352045107655	0.0705159446246144	0.0655434543358206	0.0639661685457149	0.0596583676819015	0.0632742018925717	0.0723685692824034	0.0674917310246563	0.0639991369134829	0.0686003932964134	0.0558639114603318	0.0615238751079946	0.0739362034096709	0.0747843815618949	0.0726411957370944	0.0574689931391121	0.0644005807715252	0.0629341654141964	0.0672289230167039	0.0678917594222095	0.0589154729964484	0.0623039406031812	0.0597872077568976	0.0670338150453564	0.0610608574854652	0.0705901838085602	0.0619761274967434	0.0642729494411917	0.0602133866364839	0.0608008472092189	0.0591906729363296	0.0658655003244291	0.0591826831683623	0.0690257832536512	0.066741378171926	0.0710173197810729	0.0688356066866699	0.0637332274885762	0.0636180602311838
"Environmental Information Processing|Signal transduction"	0.0399153569031874	0.0467994527371872	0.0437610810332384	0.0454800354073622	0.0479575515820307	0.042800148151584	0.0587823658950697	0.0611551191961688	0.0457627634860358	0.0527498566750239	0.0563686206834487	0.047612952812517	0.0483819294730202	0.0474294639040517	0.0442202574484999	0.0443820291609018	0.0435837775629965	0.0389834005854351	0.0548671459530224	0.0398572781835579	0.0445671559070007	0.0379667301255443	0.0473374695095298	0.0417055403067222	0.0527752782377994	0.0485857481238021	0.0574721000685232	0.057121775157328	0.0319774555444669	0.0473275390416361	0.0449650086504397	0.0448995256682004	0.0453968722071337	0.0473399076581829	0.0434388335675863	0.03354392729168	0.0430978066342402	0.0471246602513208	0.0417686021659786	0.0460939875416951	0.0469657250205172	0.0414972125708166	0.045210883686289	0.0437303162339199	0.0429115997981991	0.0381411293797728	0.0438506905753976	0.0386341058438476	0.0406399670093016	0.0415911607330484	0.0515199979472053	0.0511034721384643	0.0463967108531305	0.0369087773114452	0.0389426012023369	0.0441141503317514	0.0328197079538505	0.0430144801909089	0.038070151385003	0.0416610250990388	0.0382513850397157	0.059636005811137	0.0418740532638229	0.0400643102308714	0.0470700803160949	0.0493115062995762	0.0419896043097356	0.0452148661912773	0.044022834007239	0.0339385783188556	0.0398715279666549	0.0533155920800113	0.0319367886293742	0.0527447351560325	0.0542623621893311	0.0341362633924759	0.0513414117259122	0.0520179462675669	0.0534610627690707	0.0444995643177793	0.0493186441905749	0.0407148052589627	0.0439335757369206	0.0534356366137163	0.0365511990161663	0.0499487063951649	0.049296839263302	0.0486981849642671	0.0441912262640043	0.042747615868365	0.0500274157886824	0.0293014093040413	0.0598361476898823	0.0476714564484311	0.0390173261371082	0.0405619644373883	0.0462115194863537	0.0575162670745065	0.0475781219071851	0.0330694432464822	0.037573596176744	0.0459730749887014	0.0308620360659435	0.0475464684654976	0.043433311222066	0.0286156188581058	0.0297901112930402	0.0340895393507238	0.0468064558465157	0.0417437182220604	0.0475595001946455	0.0446334110514128	0.0378168394550533	0.0492669711292279	0.0566544165780572	0.0466028182562599	0.0360061963678577	0.0466942523143945	0.0341034740119846	0.0478329208668475	0.0532878420961402	0.0508934072389518	0.0493972682432378	0.0645092123947839	0.0409781073013776	0.0606806493624707	0.033940453655631	0.0442019070919837	0.0347171132036126	0.0406519952703102	0.0522708011867207	0.049911646352258
"Cellular Processes|Cellular community - prokaryotes"	0.0385772248666995	0.0386041261850448	0.0429300289683779	0.0434496308592484	0.0427438741773974	0.0410317516939605	0.0429606725279101	0.0474964768147617	0.0430999889666728	0.0461575099078349	0.0457868048226838	0.042915455310286	0.0390628977735053	0.0433910185046314	0.0424985324318145	0.0373381974278278	0.0395396166265026	0.0357636763315221	0.0420728647083992	0.0377324509661758	0.0418896037411528	0.0373596405974913	0.0382909953681412	0.038164835154678	0.0417069124546764	0.0373060160769911	0.0397978788421834	0.0389242231905836	0.0309892504614915	0.0441669076343707	0.0384075397464462	0.0389398741499894	0.0428046105226995	0.0441730485983415	0.0409585209550724	0.0315754170513556	0.0409440097625002	0.0414470519699839	0.0398376273191927	0.0441083457636313	0.0482179279819162	0.0349594460354771	0.0427323014900478	0.0402345177445775	0.0379797494560635	0.0341876526555503	0.0420277689335898	0.0377264865548982	0.0353939988258121	0.0406644457165024	0.0425739381644427	0.0414184085253147	0.0404745050898101	0.0357241101925996	0.038618997605944	0.04247993286187	0.0335413592327818	0.0407910417260767	0.0386472461216145	0.0395640409626037	0.0375957786297201	0.0452021446164009	0.038912675861926	0.0379374499717135	0.043895421745997	0.0406343799038762	0.042487632483804	0.0422895442371889	0.041103483438364	0.033875516535803	0.0360644354916806	0.0504411864131716	0.0323827284310066	0.0422680846409376	0.0390153635198098	0.0365717849408866	0.0401742004242434	0.0408438193286183	0.058210475533108	0.0403966659652056	0.0490137830798203	0.0368589107466311	0.03842866632145	0.0411519994870584	0.0372559843500668	0.0406427466173571	0.0408309758131907	0.0397856239342656	0.0420551898604121	0.0401731362294313	0.0403910264113649	0.0301430012640407	0.0479060734851784	0.0423356503203726	0.0359076837082793	0.0384190057555331	0.0407076819067472	0.0467829591036189	0.0409763625686706	0.0323689084937987	0.0364813709116764	0.0403439151018577	0.0340862980895497	0.044898643477826	0.0417209774455083	0.0302624976758263	0.0301395903458868	0.0337748359276573	0.0430644683776885	0.0403900557043621	0.0413604528977161	0.038752442347513	0.0347699970324056	0.0470816925474321	0.0422222151586747	0.0435882332009911	0.0354423339108485	0.0429633213060292	0.0336646641645852	0.0410570863332962	0.0422701825262307	0.0490313730329805	0.0421053188178326	0.0455226380961619	0.0389552135475634	0.0392421197993224	0.0362949197444306	0.0411552258567131	0.0340580001460865	0.0373329705088301	0.0428613440206035	0.0434460055949281
"Metabolism|Energy metabolism"	0.0354266397463116	0.0362654758799242	0.0361691892987235	0.0365273322139597	0.0368279515793687	0.0359406791459882	0.036539778022792	0.0362343584958909	0.0379604552709353	0.0358648581603173	0.0363616719673897	0.0370500663545925	0.0359426915329604	0.0362362369476197	0.038124306555924	0.035644145373369	0.036046445316378	0.035886049760116	0.0361044445136305	0.0361738614467624	0.0353395697175393	0.0372582442847331	0.0362685428216829	0.035869875177051	0.0365334097590905	0.0354642686069709	0.0348463793005098	0.0351918292006092	0.0365153653049662	0.0373383667101354	0.03580850267585	0.0366467771921195	0.0373756661919008	0.0374540693825951	0.0366610599751324	0.0366718245914708	0.0374007874604263	0.0364482543835279	0.0374719842039908	0.0377432076605496	0.0350349394887338	0.0364401531399562	0.0377966106711089	0.0362415070084061	0.0360144890247621	0.036677569977439	0.0376121711361183	0.0363664702109913	0.0358597560736898	0.0367936057422836	0.0356157336788781	0.0357450713884546	0.0355131537978067	0.0360457165650873	0.0367730286273987	0.037862184295974	0.0358834507083752	0.0361036311536731	0.0352960349511183	0.037224100469994	0.0365147099445816	0.0359331261633113	0.0359029961850778	0.0369849503153508	0.0380780759488994	0.0366098970671706	0.0366337510544633	0.0358055025158888	0.0357181823996077	0.0361879433619661	0.0370090920077219	0.036126550327001	0.036358825030001	0.0360763178084683	0.0352783744872314	0.0358065440097834	0.0355998762368444	0.0355885475384795	0.0353817449194733	0.0368105682506703	0.0354919105289177	0.0365805798848759	0.0357269130688222	0.0360691836033023	0.0356487764072671	0.0357871284474595	0.0360326306525962	0.0360968589254576	0.0377431579224251	0.0371796034255698	0.0357245392631205	0.0361358157029518	0.035923986661781	0.0371239597009065	0.0363151754149591	0.0366105774025356	0.0356779129703059	0.0363326402937929	0.0364229422565626	0.0364936066942802	0.0359945506069914	0.0355536433581563	0.0352022859695056	0.0379848014789151	0.0373174298343077	0.0358771562334737	0.0361581106028219	0.0364525616042918	0.0376927628909815	0.0358451534755532	0.0358931247942699	0.0364152914656383	0.0362475151665007	0.0364966585155127	0.0358860086252236	0.0375722089527059	0.0368950779281563	0.0372932504950029	0.0364523646438741	0.0364697299710796	0.0360445612949035	0.0363711373137082	0.0355934703111608	0.035601177350448	0.0361847307390951	0.0349517543839955	0.0353828802338901	0.0359704431668268	0.0359915951368998	0.0366058046017362	0.0359099720425371	0.0358284730455269
"Metabolism|Metabolism of cofactors and vitamins"	0.0359478779400689	0.0348061556506781	0.0332235619855065	0.0344084057335757	0.0343802742069303	0.0361960944542941	0.0331772260445002	0.0306871784767233	0.0347156146960058	0.03191575490766	0.0313870209857255	0.0347611982213284	0.033224826411426	0.0346719708602808	0.0348986033386639	0.0367294344956945	0.0346079890564511	0.0365074239653419	0.0323342759015755	0.0370751135147349	0.0357842077935813	0.0368304989337509	0.034481258352965	0.0356332856834791	0.0338335968218007	0.0359065670108216	0.0340102069546591	0.0370763807024666	0.0378035529616204	0.0342268168694637	0.0343509953475605	0.0348851458905765	0.0350672584937896	0.0343630450685924	0.0353032963446884	0.037556950253618	0.0353898025598785	0.0352207590282866	0.0355297078210435	0.0345256425318857	0.0337808596254228	0.0370130835109275	0.0348558004050365	0.0362389999350273	0.0358830460379736	0.0358544357085434	0.0351886211541196	0.0366219467757775	0.0364869689365277	0.0363549629534398	0.0347998358847735	0.0347596609097423	0.0362121508646042	0.0391618847382575	0.0367448807991782	0.0352296698411716	0.0383239221837536	0.0362026245887539	0.0388633607694272	0.035947719601413	0.0372119372614099	0.0316705065587045	0.0369689493963132	0.0361290667786392	0.0343782365661704	0.0338117707924794	0.0333597840143589	0.0359921882116708	0.0365091719332555	0.0382010210902935	0.0376850927724337	0.0331139427304477	0.0381337131387692	0.0345364511573616	0.0360502400068824	0.0400985418822085	0.0355167593532481	0.0350929238461403	0.0338555569313511	0.0356860283439809	0.0349396692510824	0.0362753088096293	0.0361951222976663	0.035515450785038	0.0399110029156096	0.0344491444349281	0.0341965412157388	0.0350322728338734	0.0349176731335152	0.0354838112314109	0.0356167679386853	0.0397746781253226	0.0322025472444946	0.0347041253098186	0.0359787029801356	0.0358031360210082	0.0348242460712193	0.0321323795330194	0.0353353184006497	0.0375725508893984	0.0380908749579748	0.0351787001700455	0.0405893322118503	0.0342723173638084	0.0354482696105272	0.0399071339386013	0.0390523237524213	0.036576120570611	0.0346401817494001	0.0350962284991826	0.0338155937731381	0.0347212536845497	0.038535758389	0.0348164380229407	0.0343588712078445	0.0344251212893654	0.0374360630408244	0.0342545452498391	0.0381119538527441	0.0349132694638863	0.0327899553204778	0.0343261863673246	0.0348115837035864	0.0322069601979212	0.037024853291734	0.0363165172606555	0.0386135638887231	0.0363093549537071	0.0372664881344794	0.0356086230317949	0.0340103380128457	0.0335002621621244
"Metabolism|Nucleotide metabolism"	0.0257326808782624	0.0252913769720766	0.0250008442557405	0.0253590231889969	0.0251721760194893	0.0260920675196198	0.0244911413976282	0.0238684053003357	0.0252319531882226	0.0245515873564095	0.0242469090860919	0.0253125558413899	0.0247806199863683	0.0254883105102666	0.0253501070893925	0.0262235024368402	0.0255970198962221	0.0262550693279814	0.0245150025224059	0.0262984779399005	0.025845356930352	0.0264075055900668	0.0255010999388613	0.0261713275863174	0.0249378600669382	0.0259537243103508	0.0257155902609988	0.025444785724092	0.0270716618941478	0.0252156104220694	0.0253739238267733	0.0257355945761242	0.0254544419624954	0.0252921540031691	0.0257708107719997	0.026720997396731	0.0256540826501789	0.0255334010002785	0.0257516432364777	0.0253068304053654	0.0261019919433453	0.0263073166355628	0.0252879900414887	0.0260210460183563	0.0259240540941732	0.0263149831336959	0.0254750510335358	0.0264217115552578	0.0262335205309276	0.0261153109666157	0.0254127477438633	0.0254814815656651	0.0259295683544839	0.0273048334571996	0.0263068091370309	0.0254535241648412	0.0269628248106443	0.0261336441852922	0.0270154604747787	0.0259136509399527	0.0265553189381361	0.0242003779052121	0.0263560905184676	0.0260896476261185	0.025059084562318	0.0252736854618286	0.0275023516261057	0.0259690957947938	0.0261125878777796	0.0271091610420768	0.0266562589014457	0.0238082314078005	0.0271685720439965	0.0252786166200015	0.0252971503470172	0.0278156203546895	0.0257326043263648	0.0255562038229686	0.02276917901228	0.0256981761238066	0.0247120053347195	0.0262822630869214	0.0260836516131763	0.0254033782288768	0.0276720774684428	0.025409844596179	0.0252530531121966	0.0257462986771023	0.0253992571374349	0.0257040217049825	0.0256394647398804	0.0277227204332469	0.0239377386770091	0.025378086253114	0.02623360075975	0.026075285447865	0.0255878562354122	0.024189601148389	0.0257143869477153	0.0268787578560015	0.026751840438966	0.0260036165630984	0.0284388545475462	0.0248694843434019	0.0257439086893063	0.0279270548164124	0.0274647195004669	0.0265182931406633	0.0251705855662829	0.0258797186002752	0.0252912786878888	0.0257021859900113	0.0270365185680934	0.0241861680349242	0.0247350707544314	0.02530383451418	0.026668532456048	0.0252951888779019	0.0270361608672899	0.0254210746731177	0.024784892687736	0.0239062749534644	0.0255887765532869	0.0240301788033202	0.0263142422752509	0.0255059557965233	0.0272779939582194	0.0251683749672673	0.0266495967503598	0.026169870219188	0.0250673618306551	0.0252260565942905
"Metabolism|Lipid metabolism"	0.0198275568318787	0.0218204109991908	0.0213193026114011	0.0208550567687208	0.0222388056865728	0.0204056202047125	0.0241383805266895	0.0229977906358466	0.0219628644399238	0.0205896224994658	0.0221059781060143	0.0209362303377325	0.0209637181148801	0.0202456969147666	0.0217727306827398	0.0209116725795662	0.0202190838706156	0.020205893278176	0.0223856292816436	0.0201901975999423	0.0198039962409117	0.0202871795863977	0.0212192707980977	0.0201445237805865	0.022258268473697	0.0236152193651228	0.024521774872062	0.025978732817646	0.0182161536477609	0.0220215133022975	0.0211340492258591	0.0204623995452532	0.0213668250815878	0.0220199596321977	0.0208533577118285	0.0195850297199886	0.0211000004118124	0.0211023595068395	0.0206298452002491	0.0219810513476827	0.0192011079746741	0.0204175703948572	0.0217086362760943	0.0205594848094029	0.0212551272894442	0.0192772141368354	0.0212848921328621	0.019202845984339	0.0204118355140417	0.020326697293678	0.0216645228386876	0.0214206971015486	0.0208898001413212	0.0203345460062321	0.0200407482489647	0.0215273271314681	0.0188542524481614	0.0200547115868571	0.0194148137048698	0.0208349441713618	0.0194462403769941	0.0233780723617538	0.0207327727760778	0.0199771545990225	0.0221425756824938	0.0213385024264301	0.0215913225526812	0.0206451563159035	0.020883200739442	0.0184936579623611	0.0199532056980095	0.0218942447932423	0.0182952590484157	0.0217985142027689	0.0239493718973306	0.0182497057982442	0.0234227554403733	0.023214013394195	0.0218788756901652	0.0211852649460844	0.0209041167751598	0.0196209389972031	0.021154586285528	0.0227530756740041	0.0189341518280123	0.0222828646324261	0.0221960386548927	0.0213181185751903	0.0214011064059318	0.0208363378201221	0.0225708528326718	0.0179009185224282	0.0235052080263803	0.0221326989471415	0.0193494360483368	0.0198499504737224	0.0207543682396906	0.0230020408899367	0.021723364919947	0.0190374869781599	0.0194445788763202	0.0207373159425646	0.0180268980064663	0.0222172278301524	0.0213244273408297	0.0179258879746841	0.0181473602446421	0.0189428586518434	0.0219684426247932	0.019638054279147	0.0211375915656624	0.0203075248032487	0.019858850855234	0.02191064228392	0.0238797290471874	0.022019359196285	0.0196714054868649	0.021738647816747	0.0186612509463107	0.0219990509649582	0.0219273601574647	0.0225916323717381	0.0213355845087628	0.0244233550247274	0.0205842236458423	0.0272842255410622	0.0180603393126648	0.0215976488420319	0.0191109406925218	0.0192802454493898	0.0217225022942794	0.0208785462934078
