"Taxa"	"Hera_1"	"Wolverine_1"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_20"	"Hera_20"	"Iris_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"JarJarBinks_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Iris_60"	"Wolverine_60"	"Hamlet_67"	"Hera_67"	"JarJarBinks_68"	"Hera_7"	"Iris_7"	"Korra_9"
"Metabolism|Global and overview maps|Metabolic pathways"	0.147742951618344	0.147464607271503	0.142707809346059	0.143081256510022	0.143933487543196	0.14677328685291	0.146996217922419	0.141252312268632	0.141791239216289	0.140380815764077	0.143871413843332	0.145521427201553	0.144688065083844	0.141321218255295	0.150802221076418	0.146656260807808	0.150582067905668	0.14394609278624	0.149448633626	0.147539838713543	0.146618449401282	0.1470676621397	0.148738395398726	0.146890415284809	0.151486261339644	0.150002233969597	0.152129668002507	0.15199071088985	0.147117219809747	0.148026050315151	0.14119349815838	0.145135902882037	0.151819940618186	0.143895077569774	0.144287036207019	0.140660915871742	0.143981144742451	0.151347021564937	0.14718399467832	0.148596063702189	0.149437691302122	0.14276230613804	0.150396470445474	0.145910432877621	0.146803356270223	0.14685841644557	0.149136636011197	0.147373542672862	0.141973638075597	0.152985503029756	0.147192742420317	0.151424388219777	0.145464363159372	0.148649974484388	0.141749261346197	0.149577649528762	0.146732057162853	0.14019801946902	0.145849624343181	0.142334746214896	0.146652465138518	0.147901216853715	0.151530184760783	0.151626131463096	0.137350820431942	0.151827068382945	0.147193358939292	0.150743786517268	0.154052768597637	0.149923168095527	0.148407243361865	0.13164940230479	0.145730258464045	0.140651908616917	0.14918173528745	0.148295804073401	0.154018457566712	0.14741056527041	0.146262465853234	0.144809293790365	0.149461126860681	0.154744875608667	0.140205387125999	0.143352130982375	0.149312599254794	0.147229796345753	0.147478008969336	0.140359103383914	0.146181701892021	0.151541885239584	0.150935742246073	0.155123610192283	0.139237256920691	0.143588697912193	0.155121652747196	0.154154103288192	0.150611164946265	0.141793185324638	0.145982863124656	0.147464304739211	0.152081391294527	0.139086965890751	0.145865574916253	0.141337045123146	0.148839924066919	0.141975926452685	0.151181867500092	0.145379808245578	0.14464707772108	0.137762640228005	0.146791230680408	0.144347479459643	0.148373878086665	0.152706392037241	0.152157529968861	0.146056200679729	0.151463917036373	0.148504655795259	0.14523808988921
"Metabolism|Global and overview maps|Biosynthesis of secondary metabolites"	0.0622697171561307	0.0603238959516314	0.0522153649177303	0.0580581576179773	0.0562024998644076	0.0610738396386717	0.0590483879316561	0.0567144891439965	0.0585641577620938	0.058066617651115	0.0590855290012945	0.0591066073835874	0.0610214923591167	0.0572132614826482	0.0629008348396765	0.0607513964186346	0.0632961148267245	0.0590738111519206	0.0631703050575501	0.0625114658881092	0.0611060688555879	0.0609812278528684	0.0620818753565444	0.0598485670958643	0.0615828837020486	0.0612249956217288	0.0605770649078473	0.0643408180654346	0.0604595489681709	0.0613468949702973	0.0569051774905087	0.0598467428384355	0.063932068670308	0.0589692641680646	0.0592359503313488	0.0563660763921099	0.0602104566897377	0.0637463250193529	0.0621076797150215	0.060431761167855	0.062081806100957	0.0583016312142405	0.0628375531655557	0.0611745300255044	0.0619943930426065	0.0618674095886881	0.0630263500813475	0.0619122057428283	0.0577908262035137	0.0660055759656493	0.0626292840886824	0.0660895125654263	0.0601664157280314	0.0629735753597027	0.0588239578007344	0.0618011373351206	0.0610268505814969	0.0562864684919889	0.0600308436193437	0.0582023611651401	0.0620116461231985	0.0623685436445647	0.0649824300631423	0.063484103881271	0.0565920877330197	0.0649601160698354	0.0610610775808875	0.0617918941536251	0.067766772209774	0.0606727070255513	0.0608666088092187	0.0545301859410848	0.0601907029139372	0.0595624707044463	0.0622561719433228	0.0611808155936209	0.0674334548978084	0.0606053455932442	0.0598525143273612	0.0597825264231755	0.0609700499395023	0.0672315955524964	0.0578873786791229	0.0579592664344469	0.0626123255618218	0.0615835684432344	0.060638080807947	0.0571271527742166	0.0604470760337948	0.0641627092276968	0.0646587589570932	0.0687687138799621	0.0558608214321518	0.0583632153968508	0.0675863826669921	0.0663782244098285	0.063358009735386	0.0574253379528888	0.0597384719132342	0.0610645857987739	0.0646988374004569	0.0567319409351728	0.0600473519270071	0.0566175128454599	0.0626427318640904	0.05719545969733	0.0644809869127851	0.0597932093592246	0.0589528817104409	0.0563424970001463	0.0606998735903114	0.0581715426454307	0.0620686478332651	0.0606040494660874	0.0668151073067805	0.0614082854872743	0.0641546671471744	0.0620028060367897	0.0605153034090665
"Metabolism|Global and overview maps|Microbial metabolism in diverse environments"	0.0527512029359083	0.0525788984693671	0.0521774040964988	0.0535112322083359	0.0524873043101966	0.052474015424955	0.0485461099498757	0.0562126898377557	0.0511141200712373	0.053064677989871	0.053546195922659	0.0528328935580596	0.0529338534501522	0.0569924445982164	0.0519266888873221	0.0542743840029479	0.053758292614639	0.052288650829037	0.0536939243427587	0.0513892197201772	0.0563542643286775	0.0541663393126662	0.0531582839033121	0.0510186466342176	0.0499373396608488	0.0466383161673263	0.0477189693409756	0.0568865565431129	0.0531166988909203	0.0530198942640701	0.0570398012050643	0.0553117325176694	0.0567870172886351	0.056117797992487	0.0566114559289735	0.0577790811491071	0.049989366111957	0.0531498872578069	0.0531090080894369	0.0526327097567206	0.0561338786555982	0.0562339913900559	0.0532416134330028	0.0543614761507808	0.0506144368787193	0.0516659608705747	0.0509156887707385	0.0549547121175573	0.0565655786235978	0.0543904910105166	0.0527045095189221	0.0506920111026097	0.0556361654928124	0.0544382473123892	0.0518547868044423	0.0510485117610272	0.0558708851532247	0.0570520873118859	0.053013556313482	0.053511918957655	0.0513995045658078	0.0513693480799664	0.0547524496587286	0.0528255935406044	0.0531295291949138	0.0559083223243346	0.0498092561697188	0.0494747504611434	0.0505337778844516	0.0494657695406264	0.0497751447459453	0.0526116259439358	0.0545492952865746	0.051512953199225	0.0520119576676392	0.0500768082067437	0.049586996041909	0.0514630155745504	0.0519810530942842	0.0559100007903183	0.0493471384734765	0.0553286173171655	0.0513405434507385	0.0559100332405347	0.055142639281722	0.0546437335125401	0.0518348458031616	0.0525200536587732	0.0533062555807479	0.0564290795847704	0.0533801166877992	0.0508295341161493	0.056930564482498	0.0568996482291008	0.0546855817442389	0.0558616966223031	0.0565583318571618	0.0561224600966243	0.0520774369123455	0.0533698767119943	0.0531561296574972	0.0539839780188539	0.0509442243174545	0.0574549517377101	0.0561077288264202	0.0568207298528233	0.0553274678648218	0.0532908499394842	0.0520820004432281	0.0537702628114674	0.0496851148818578	0.048572949504732	0.0531960342709476	0.0458661579961113	0.052425538296428	0.0531449807105138	0.0547959808186776	0.0541104381866539	0.0522079392833198
"Environmental Information Processing|Membrane transport|ABC transporters"	0.0568271587675574	0.0497198768933228	0.0631697922151031	0.060382477476739	0.0558539201680712	0.0548097134964953	0.0440873128189953	0.0545421762734195	0.0673609034504643	0.0649369368429143	0.0574619383057358	0.0568972172322397	0.0586134048596242	0.0542787420253814	0.0451757563407035	0.0567769561581896	0.0491202160041821	0.0558074340018426	0.0488670134248369	0.0557053150882559	0.0493012554460724	0.0510228308605444	0.0536795068467896	0.048297796575107	0.0419682991523884	0.036082631116248	0.0305218068459477	0.0459282659658715	0.055891430879441	0.0502497397719105	0.0534991567811137	0.0529176463924009	0.0434523270021732	0.0523365988897067	0.0525307307306333	0.0532805281819309	0.0688647357957845	0.0416844501439487	0.051273580679274	0.050656860174497	0.0488234559718852	0.0537389231255589	0.0485841446440809	0.0524239659793013	0.0536133971088424	0.0510220642346243	0.0499224488678991	0.050828597248063	0.0535592308581121	0.0458434212049874	0.0535365514905056	0.0475433949972524	0.0512000134985143	0.0497477623075969	0.0608110327206193	0.0497059850808363	0.0507233196919638	0.0548550986471966	0.0530027679445296	0.0588502988280903	0.0553827277447027	0.0519354492201985	0.0471229313035473	0.042330412101714	0.0623451648558083	0.0464099374292646	0.0483277251675848	0.0332531121157452	0.0442669588751921	0.0459653583727356	0.0491487535980855	0.0628074394565441	0.0495357773573917	0.0593947244819997	0.0495179814250964	0.0416252700467841	0.0433459645568916	0.0525132045816325	0.0544802529743276	0.0519705465849034	0.0482604776005081	0.0416132586045689	0.0594579038666044	0.050569003153884	0.0498997321640962	0.0537854483348333	0.0557919355731402	0.0605741212127095	0.0506391251427388	0.0456035993733183	0.0460566425933578	0.0440093993809574	0.0554617253008024	0.0510069134250363	0.0416103470110361	0.0422637530378825	0.0487888914762596	0.0533265584112878	0.0578054663749098	0.052476213797721	0.0416828847986172	0.0576366445267382	0.0466322811279247	0.0527221886448889	0.047198451860909	0.0538962238281438	0.0467959553817151	0.0525358627036418	0.0553236537995573	0.0558247731250475	0.0569648489800363	0.048622147292509	0.0477012103913589	0.0312816912282318	0.0502395940205855	0.0506342834919739	0.048617614296477	0.0525226810820663	0.0537183092383568
"Metabolism|Global and overview maps|Biosynthesis of antibiotics"	0.0495647523172775	0.0496713931099388	0.0421353751359951	0.0453067666095203	0.0444842037992546	0.0472353464892302	0.0476592609558187	0.0440264092606375	0.0467336237237065	0.0466341978864583	0.0463158308316039	0.0488663708579339	0.0481278947312513	0.0444619694224467	0.0511117084521245	0.0498758426390983	0.0512701319568572	0.0487414897468092	0.0502431974545102	0.0494510132469816	0.0481730381537365	0.0507476244354173	0.0502306482879791	0.0487864253352482	0.050055189776231	0.0501807658881894	0.0493039039022066	0.0533303490245199	0.0491180206762813	0.0499423796492925	0.0437622703523787	0.0470248119166858	0.0525464536035295	0.0464000236807241	0.0469316931028154	0.0430965953154153	0.047313179255566	0.0519025739828999	0.0487952568637587	0.0486616771971181	0.0519974342718969	0.0454937666316513	0.0510268073341878	0.0474752322444124	0.0490788681372915	0.050070956993696	0.049993084482801	0.048607422454784	0.044670525192331	0.0525747829168998	0.0489663391552557	0.0505657701691409	0.0473456155360088	0.0496164443921633	0.0479478324424237	0.0483969595060753	0.048839161965704	0.0435657978899648	0.0492779882997237	0.0452940397792307	0.0480567168255071	0.0484630831032335	0.0520224183554765	0.0508449538051717	0.0445801132222849	0.0524145552191539	0.0490855641208464	0.0505295022637233	0.0514418808080342	0.0489989349580162	0.0487360953968075	0.0418367889454454	0.0476735912777853	0.0460412065413917	0.0499898965030438	0.0489938938554855	0.0510865125812048	0.0491728619925437	0.0481771947285127	0.0473685711755956	0.0486850408629571	0.0539585044856458	0.0465702885726399	0.0455122611199786	0.0516922351670233	0.0491923941684622	0.0490710053600168	0.0460428738571892	0.0480074840748196	0.0523831829851836	0.0509816863317373	0.0523800324705576	0.0432272614433702	0.0451331076547119	0.0538788563473855	0.0539045344727282	0.0522442236990148	0.0448458665713543	0.0481541110647418	0.0500374929095776	0.0513452122043632	0.0443009414956063	0.0486852669812196	0.043733620408523	0.0498095038348416	0.0447462934601335	0.0517712941282813	0.0474202237888059	0.0489615656221436	0.044171476119028	0.047901791527902	0.0480405655557146	0.0489668959265291	0.0496547439034987	0.0518169607219756	0.04878180462695	0.0519380797880061	0.0506655337404366	0.0490888477216719
"Environmental Information Processing|Signal transduction|Two-component system"	0.0374158656438842	0.0439951945503621	0.0409600468957426	0.0426194863042969	0.0449405192272465	0.0399861382620599	0.0556019926889811	0.0427515777347829	0.050157185925981	0.0534043582709472	0.0447529391091394	0.0456669950236429	0.0446362880657423	0.0411742083398894	0.0414791169974939	0.0409466813308575	0.0363529105957998	0.0519608656435504	0.0371895194757438	0.0418254996067537	0.0351127882933022	0.0445156806906271	0.0392099025585235	0.0498416292301851	0.0452221938837464	0.0537323029030383	0.0535103735928332	0.0296043392402712	0.0421534496886302	0.0423405704824464	0.0441246737292067	0.0405528225811135	0.0309635623450782	0.040169021435504	0.0389212505526046	0.0428679950104534	0.0457474554761592	0.0385350210017583	0.0408716172947397	0.0400901409116869	0.0358056408330415	0.0408875536745334	0.0379380111279486	0.0386298624184754	0.0484072189293122	0.047987818398166	0.0434720134789347	0.0360658536515976	0.0410709012038655	0.0301227473390867	0.0400637134387452	0.0351845636122269	0.0388437167362859	0.0355907837429168	0.0565182669782534	0.0390482058063572	0.0372391368026565	0.0439600354633112	0.046358298057581	0.0387834917485538	0.0422981227968016	0.0410269028157191	0.0315014345186849	0.0371159546662755	0.0501386029380502	0.0294641145672266	0.0497389605487459	0.0510288183631046	0.0313577568363729	0.0483564694565684	0.0488325742526541	0.050001946603319	0.0415493901755948	0.0463627257731006	0.0410245246225605	0.0501950017597855	0.0336870740334554	0.0471251241954611	0.0463384969293423	0.0398981962916891	0.0469553996430966	0.026643031210481	0.056501618692535	0.0445001342677536	0.0363980852631099	0.037941394007097	0.043553036314053	0.0543300176242112	0.044555921102877	0.0305520152070817	0.0349213959625035	0.0280820152047027	0.0444420178828429	0.0403419915090434	0.0260104051873727	0.0272857651881966	0.0317876204856632	0.0438073742418129	0.0447113075012492	0.0422183593901125	0.0348767024873804	0.0462471680693266	0.0534287659800785	0.0433412897036001	0.0331724298418245	0.0435727608579187	0.0315995908472408	0.0447921202038533	0.0503337753623463	0.0477332845309197	0.046522184671925	0.0611409981696768	0.0379776629207534	0.0568824264299519	0.0311990920359912	0.0412122336322533	0.0322747858673254	0.038189254445875	0.0494205318176515
"Metabolism|Global and overview maps|Biosynthesis of amino acids"	0.0299801842179556	0.028751976158601	0.0248498961815525	0.0261839833807414	0.0252016774791271	0.02810135862794	0.0278355608192927	0.0230664045778902	0.0288422710341566	0.027128241669038	0.0267471466089031	0.0290612651138908	0.0287475667500551	0.0229047575261971	0.0305972265088851	0.0298349730195823	0.0307016128907283	0.0284376981143671	0.0296955518565412	0.0303992647515763	0.0267082704556674	0.0295497294912948	0.030459515907382	0.0288653376231567	0.0293904105010903	0.0298950376153953	0.0272926366657373	0.0317963108710589	0.0291461207880997	0.0297890141055959	0.0230540455351199	0.0267190890901511	0.0305404037283105	0.0254075436590396	0.0257969313076706	0.0222230696083122	0.0304230494147615	0.0308195246144447	0.0285248654689662	0.0286493434163622	0.0307848223953067	0.0245423142374068	0.0304344023738947	0.0271573197390412	0.029485703655944	0.0297121560540068	0.0301943468049651	0.0279920374306893	0.0235819956614757	0.0318544495441151	0.0291190195394217	0.0311073774743014	0.0264204944136162	0.0291295457128301	0.0275903617692154	0.0290224776393566	0.027894004596612	0.0224574785706574	0.0287895262908547	0.0249065115104542	0.0287220792368678	0.0288506789700888	0.0313183595988379	0.0300184898593671	0.024982713139078	0.0314249057040724	0.0292984718578803	0.0286560968221808	0.0319619092641186	0.0290037404340378	0.0287438051444618	0.0224957987318749	0.0267488533327119	0.0269090701977947	0.0297565992103125	0.0282669693507663	0.0316915574904002	0.0291206161814395	0.028163913415454	0.0263274372244214	0.0291776747258727	0.032647516974559	0.0264918403980683	0.0245810114198251	0.0308891405112035	0.0290036993726004	0.0297812505502816	0.026088894662194	0.0274771469741736	0.0309203957807729	0.0304209265452774	0.0325984722416939	0.0221671877709795	0.0243355682812343	0.0327298283154029	0.032387594542149	0.0311115742275379	0.0237318183039404	0.0289274183544657	0.0299328612868552	0.0302485573034538	0.0241115959797299	0.0275995455830977	0.0228683084339922	0.028484773819825	0.0240486655690619	0.0308189470414777	0.0270217065512789	0.0287719863897476	0.0236005762746692	0.0291166035075607	0.0278269432556329	0.0285363585861312	0.0281456452702163	0.0323319843120751	0.0277263832760808	0.0313086620993166	0.0304957447024297	0.0288419573416242
"Metabolism|Global and overview maps|Carbon metabolism"	0.0257775864300852	0.0265000728720162	0.0243021665251185	0.0247510024402187	0.0248435540606765	0.025017336215988	0.0262169808381537	0.0244681532782	0.0256852717367497	0.0263532214178147	0.02537141727142	0.0263602928824447	0.0259600536754277	0.0245001157092546	0.0266933151996423	0.0266970510644261	0.0270124187354351	0.0269629618742407	0.0264004656665377	0.0258363623579196	0.0255543582448573	0.0275027956063593	0.0265135524528304	0.0266628225511672	0.0265638517627697	0.0256424041435348	0.0259486611407546	0.0275851970758541	0.0264122370999761	0.0268225368726222	0.0242729396428751	0.025352768790991	0.0276752002718428	0.0252161912225073	0.0253901226088359	0.0239251764699861	0.0248621541466011	0.0273158814182677	0.0258967646198845	0.0261026301375599	0.0275938242376507	0.0249119025618026	0.0268709640440291	0.0252342358204425	0.026344450588247	0.0268894584602003	0.0263679788811839	0.0257146575889939	0.0245565957578776	0.027166032365894	0.0258037040531119	0.0255288794162389	0.0254947250881588	0.0259308506904668	0.0272013917961849	0.0253821735600784	0.0260077328795133	0.0243663238577629	0.0269004445091297	0.0236355146557926	0.0253121618864125	0.0253719597630152	0.026718868356477	0.0268067885933958	0.0244515356983929	0.0269207694698166	0.0263345331528712	0.0267442485310862	0.0258007408924666	0.026188639604555	0.0261310931357998	0.022119216106594	0.0256118053615432	0.0243352353534364	0.0262558437431723	0.0262300863367201	0.0256396141297574	0.0266672424013697	0.0261269051298869	0.0256614067351679	0.0259003416956953	0.0272953778972318	0.0260678310604834	0.0249925012806176	0.02734658700403	0.026157384845601	0.026167993203297	0.025862507989389	0.0258698470625952	0.0274359473142102	0.0264263172781588	0.0258123407577342	0.0241654249947264	0.0245489947891353	0.0270763404758217	0.0275083059600411	0.0276328252142828	0.0247879987391388	0.025937771674587	0.0268749853216396	0.0264380992942429	0.023904453251769	0.0266182612032848	0.0242349822943757	0.0261037567372128	0.0246937474277339	0.0267535439034687	0.0258110656712125	0.0267927634401728	0.0236990680776539	0.025499827820025	0.0265608126784948	0.0255152295778017	0.026181748632464	0.0262269248312851	0.0254288043666201	0.0271695763160633	0.0268989702792707	0.0268556941353567
"Cellular Processes|Cellular community - prokaryotes|Quorum sensing"	0.0244682793316475	0.0222912155357682	0.0289708227193423	0.0262765247999673	0.0250902903788048	0.0249397375060737	0.0212620391907792	0.0220510732895599	0.0291409885740076	0.0301247866201718	0.0254818561255631	0.0223436408678686	0.0267174482964256	0.0215482091784622	0.0203833373988807	0.0246422156360187	0.0219423209796614	0.0252178915109211	0.0221773481988935	0.0251511319804568	0.0202159579986669	0.0231221933741549	0.0236283600485262	0.022251120047438	0.0201516883361943	0.0172907415057648	0.0154015366448483	0.0188535371958812	0.0236366482952392	0.0226243327768246	0.0231974760676515	0.0231707613960766	0.0185397130779711	0.0215754302769546	0.0212880297704366	0.0224122806001697	0.0312731331064337	0.0187368406917591	0.0231674255788856	0.0228230867367911	0.0202420238023199	0.0219970141917883	0.021015174081467	0.0226113838723615	0.0259721152153352	0.0243142226509805	0.0237170034698464	0.0218341832211168	0.0217127172346934	0.020956078406304	0.0245775120074565	0.0231216201544469	0.0214958374877481	0.021601868130553	0.0301557735900187	0.0229956532501843	0.0210315064917827	0.022272325060432	0.0243472457778428	0.0234850577745995	0.0257835092825963	0.0244828895844306	0.0203912833439195	0.0200538240439742	0.0294961413626537	0.0196681994155957	0.0225132287746343	0.0161348336913972	0.0221645252310421	0.0221376946146024	0.0237609951281288	0.031502403222218	0.0211187221912077	0.0290893281411722	0.0226229769635741	0.0197885422659895	0.0219349519564016	0.0244204165044675	0.0241359310179142	0.0218649059618307	0.0226248893344047	0.0183461394141241	0.0296780419968009	0.022198131237203	0.0214090855007615	0.0228856036578325	0.0243150815268579	0.0280424598616609	0.023383248912379	0.0194468278916512	0.0207977864770435	0.021209622445504	0.0226924698321945	0.0218922082446991	0.0186469511393045	0.0183298302324879	0.0208126742332347	0.0219849537777586	0.0251245801230362	0.0228884504997443	0.0187167825794463	0.0252703613503182	0.0229570541016745	0.0224751497745584	0.019773264811539	0.0230238434221542	0.0199770896097833	0.0239747518767068	0.0242522497517398	0.0254836947058036	0.0257956999204759	0.0227139362320941	0.0218056876013904	0.0170430070654859	0.0234624745734667	0.023020307804161	0.0214145947868515	0.0225470193621961	0.0252707739447845
"Environmental Information Processing|Membrane transport|Phosphotransferase system (PTS)"	0.0192649255453835	0.0141567017041191	0.0328828221286453	0.0237446940162435	0.0238460240061979	0.0217814265406278	0.0119302817571115	0.0243648284117102	0.0179048802040886	0.0144396045718932	0.0206119335204628	0.0152313600755685	0.0179224025252233	0.0242377182931192	0.0135830555843895	0.0152499891194232	0.0155339494063811	0.0115895083305719	0.0173982965348788	0.01803322415659	0.0216632080475528	0.0112724766919743	0.0161340396304499	0.0132417353515945	0.0120181843370585	0.00948233822579303	0.00842407072555439	0.0157126498798084	0.0159206254504454	0.0153441937463692	0.0215383347340587	0.0195969848831253	0.0156633842255877	0.0216363060301481	0.0213367703205275	0.0232479574148085	0.0187737073293515	0.0142915135740893	0.0184768029316182	0.0185072968283583	0.0143608734870078	0.0228563682024615	0.0153287004498872	0.0218254365568294	0.0140209968643321	0.0125196372884677	0.0152028708938044	0.0209882674830867	0.0240732037697455	0.0178020325616477	0.0188448550019288	0.0196180328489421	0.0208492119618284	0.0198545215409943	0.00997712347111162	0.0209650688175231	0.0194315396440054	0.0235810420209097	0.013902398205167	0.0224225873325134	0.019119641251837	0.0190047377766805	0.0180189681047383	0.0175264388411174	0.0181857243909799	0.0183477136922148	0.0139795924288797	0.00948913980407526	0.0216371825982121	0.0119517085386886	0.0125558414975414	0.021125581157749	0.0192234481859357	0.0190654109964657	0.0152147182378045	0.0126840744620423	0.0208381285292198	0.0126639923367849	0.0149226134437887	0.0203533072398891	0.0147752769883081	0.017400711249245	0.0115590122032739	0.0187210352899308	0.0152255285138149	0.0184403630316796	0.0160811487455756	0.0140918373595208	0.0162149905510915	0.0167188705113517	0.0181804851941843	0.0210311626929167	0.0237528212618387	0.0217477379465683	0.0181132202390378	0.0167382603081455	0.0160087489677004	0.0220271435542319	0.0169810187038313	0.0148707250126976	0.0174676996514089	0.0224069513734477	0.0103184732271829	0.0216885259150031	0.0198857316510989	0.020461097047542	0.018130885758634	0.0173747965194819	0.0116714520112302	0.0199329557909128	0.0171626961995683	0.00806081612351824	0.0185104637890138	0.00443846703991636	0.0201914424709264	0.0173223477098255	0.0172333311118766	0.016283263491116	0.0128561151937628
