"Taxa"	"buddy_11"	"joans_11"	"padme_11"	"ginger_14"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_2"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"franc_37"	"grogu_37"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"padme_6"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"ginger_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"
"Metabolism|Global and overview maps"	0.367437861863426	0.379197241186361	0.355672578184719	0.395635459263746	0.401940777369174	0.373316871071446	0.374850542091702	0.340978253281965	0.356423591766549	0.392420075390647	0.366275431499422	0.378985319403974	0.371772495757325	0.358665974401457	0.393305155849959	0.367345879918348	0.373313769605339	0.39172678961178	0.391976245002493	0.374506806049085	0.374976594457993	0.405119920308796	0.381172656194217	0.396151979998847	0.37792036296991	0.373339628091042	0.380048687660617	0.36685315693595	0.404623664109331	0.37332488715408	0.394402711878425	0.383403445762183	0.389067992636428	0.383809615645165	0.382126632964054	0.38388111600367	0.38686200309825	0.374067204148861	0.37902639554112	0.366025366911344	0.389735427754617	0.397115678576012	0.377167354941316	0.383428095882907	0.368374349739517	0.406386665336984	0.393408889692326	0.397968978791741	0.401255603832022	0.400858809036195	0.388724340854927	0.402077022478962	0.408424465696587	0.381269016824556	0.396064823024785	0.395114611157646	0.388811538112907	0.390458547440168	0.39472364315737	0.396178270363401	0.402981325299744	0.402618896732165	0.395781571277428	0.384259023887266	0.367086154214335	0.390494090506616	0.358306495035634	0.391221835956222	0.389481640842089	0.379847470556592	0.385747510462666	0.379445785269831	0.363962134922819	0.39238896465274	0.407042339690525	0.400079635385187	0.384733273597659	0.400530446904494	0.38869702658763	0.36126247754114	0.364092326839002	0.389289328443069	0.399476778643422	0.405368588060847	0.402109822407498	0.40144756811855	0.392875771882984	0.380881129516137	0.389902457006701	0.394332450149435	0.390832832923486	0.366906606178226	0.400848515757841	0.391828564412262	0.371031273817864	0.395691814357868	0.398756705230158	0.397076428138883	0.401283871999483	0.384666928745564	0.36519760933372	0.3765792065889	0.379429104097549	0.400552976418082	0.389866832705874	0.365496941128227	0.40401249178243	0.403165794753252	0.361265085583481	0.381484384382297	0.362987493712518	0.406078000904934	0.375400691200404	0.37129233893922	0.3873866317367	0.362877408651182	0.359672925470923	0.366152059555832	0.357614820758669	0.360828492206184	0.390054559703965	0.35969654031659	0.369012863025552
"Metabolism|Carbohydrate metabolism"	0.121508036947729	0.121413960641035	0.128582673568045	0.122661386692378	0.11246053678099	0.125148395166189	0.119980178545985	0.118829052174698	0.122311847843956	0.112308772823034	0.11409429425821	0.118968731681769	0.11623253997369	0.123413331986827	0.119050456338288	0.130489587212216	0.122648089061022	0.117975869496215	0.117904947140547	0.119904620420801	0.12101379530659	0.116619202200511	0.118539147750001	0.116985067841023	0.11971074880789	0.120190597440159	0.120756672774821	0.121742608333013	0.116062823545344	0.120757526510799	0.119963324973766	0.119525099837459	0.118465935012807	0.120578322805618	0.115814756132819	0.115870820493553	0.118582819240199	0.121339828993084	0.117204490227798	0.121260189908351	0.117501857598284	0.118044801410455	0.118685178186452	0.118845123580217	0.11673461017888	0.115923218616502	0.117857547022014	0.119193311231782	0.117570559219572	0.118459040616518	0.117317717673489	0.118533122454299	0.114638887832611	0.107171394465862	0.118200828322001	0.116632368585429	0.118445996552906	0.118693656911611	0.118763370129229	0.118334286979154	0.116128496331383	0.114277857069308	0.118456938946997	0.119593768145101	0.12189423155672	0.120187927614076	0.119829238581981	0.115829657646979	0.115616744275698	0.118883981260997	0.118818179600378	0.12002443839747	0.117470361813586	0.115364474409967	0.117135581464235	0.117010966512782	0.119952793013078	0.116440376629403	0.118712809507125	0.122636332784281	0.121377233450355	0.113311538142392	0.118286855473253	0.116272761677445	0.116038433838786	0.116772669417556	0.11938964499508	0.114130328501258	0.117166933743382	0.118028078551001	0.117139401654487	0.118328560515853	0.115180532588955	0.117278901010725	0.119945193533512	0.115519281259233	0.114969668616276	0.11444978827121	0.118226631575428	0.115684284013145	0.121724181109816	0.11812181938083	0.119183386757281	0.118709171339877	0.118371745137105	0.120950585464517	0.117247071017876	0.117406851974685	0.122369521314428	0.120235211922969	0.120725709228447	0.117566406115222	0.115442421481788	0.118638496415119	0.119602401627267	0.122814083994817	0.123240459481315	0.122206482256819	0.123489314901872	0.123116058664297	0.117116403085225	0.125043425032474	0.121259818725436
"Environmental Information Processing|Membrane transport"	0.0831068550091937	0.0799718168265652	0.0851232350468879	0.0750563256595605	0.0581081279960217	0.0770868779165408	0.077628906918793	0.0959029116996754	0.0888103073758366	0.0692822895378793	0.0594501456274926	0.0751043907568969	0.0714177088496458	0.0868064079598065	0.0691547667130079	0.0808221963145065	0.0885477227548563	0.0713652477515503	0.0647739569455288	0.076349962913179	0.0770751985693959	0.066847229744009	0.0689351715775057	0.0666902283252595	0.0762523983814533	0.0772829581109428	0.0845562610939961	0.0810567526611084	0.0654828768835497	0.0761003346289209	0.0681199333922762	0.0682378673585892	0.0610198189960972	0.0738558758228884	0.0747445315309846	0.0657926474507052	0.0733732862609079	0.0826493478411438	0.0502992562111746	0.0800941994245517	0.0711781369353828	0.0621015103144132	0.0422749671912035	0.0669329232848332	0.0720624953115291	0.061824848692224	0.0730387232395818	0.0720589580181666	0.0642111700923633	0.0694578479839721	0.0680836488842089	0.0700206640548492	0.0619620788952286	0.0648493748899176	0.071017047940647	0.0688707772837189	0.0621228522573366	0.0765158565083092	0.0750302109467476	0.0719330011151102	0.0677524544101678	0.0608881800569025	0.0701592528103647	0.0564124282974627	0.0815383694072214	0.0756181056725818	0.0893232669773392	0.0610813195153076	0.0620879257819533	0.060135369812231	0.0778118023119724	0.0775143054397539	0.0928075700605989	0.0652913392812216	0.0664684828721892	0.0644216965690093	0.0632236019619056	0.0657974288435411	0.0734591849183269	0.0836313211691014	0.0815607208482654	0.0715702878346609	0.0616888368479951	0.0657933535197959	0.0636066417935493	0.0647118711106045	0.0700019441648249	0.0744777389940297	0.0628289988298499	0.0650261936222168	0.0694709525676098	0.0837825992954074	0.0671751255909092	0.0671674736928792	0.0783095836340623	0.0543442290391858	0.0559950593027477	0.0615672676142834	0.0678405251744587	0.0628287020283252	0.0825340545979645	0.0756249628892689	0.0685309566876832	0.0717722532421371	0.0713010291185233	0.0819097633577624	0.0674183026307003	0.0651770268443592	0.08187583321718	0.0786948369512636	0.0842065288219602	0.0679642941572979	0.0560491501926933	0.0779146818939785	0.0752274377118698	0.0847994041173044	0.0822632207926803	0.0716220753431707	0.0873552963371523	0.0859973000136641	0.0611933385912852	0.0845200941041355	0.0751198784480508
"Metabolism|Amino acid metabolism"	0.0594164007526927	0.0626856266749566	0.0578013737098229	0.065952751869872	0.0732117878967954	0.0628315336706115	0.0617553812869873	0.0595240702274525	0.0552933503566345	0.0722243357138822	0.0630883010413114	0.0636752927692725	0.0643379903688082	0.0555903294421492	0.0686134890408133	0.0618234872620033	0.0604132832247964	0.0673665123904808	0.0673394462356625	0.062337083592671	0.0614088457631098	0.0724136581426961	0.0632613998384787	0.0696917338083554	0.0633696541680801	0.0635393375990965	0.0640435473613912	0.0585387300637094	0.0727955522313534	0.060744577833077	0.0670100390361218	0.0641257478014831	0.0655637299860499	0.0647060659933112	0.0654825553938028	0.0651521843990479	0.0660625445784187	0.0617445970338152	0.0604165688620233	0.058651712790923	0.0677012579580609	0.0681902327323169	0.0581456798114297	0.0643395867264743	0.0605568008735672	0.0730790520865715	0.0680419985708616	0.0679017864915213	0.0699275008791726	0.0692215352451848	0.0668013431470329	0.0696047655725328	0.0750629156538536	0.0629098334051891	0.0681254857160984	0.070070352817009	0.0646727838253949	0.0659714146765488	0.0689828763025889	0.0683690528579505	0.0721778611264669	0.0732756034269394	0.0683347963781947	0.0627798556195331	0.0585984505595416	0.0664345110339412	0.056168020165711	0.0675419481304164	0.0674197586920999	0.0610344852092872	0.0675424838949723	0.063317137157867	0.055974778818341	0.0686688599384239	0.07234763437405	0.0703542618292518	0.0623340221569305	0.07098770402951	0.0666223280859088	0.0565274690419093	0.0596618981768456	0.0686318290321617	0.0681566856758135	0.0726209927805592	0.071928630261286	0.0709603843538435	0.0659966581949632	0.0661559222843783	0.0667505578337845	0.0668918254642372	0.0677828231690661	0.0612661656950328	0.0722455013259502	0.06789874414679	0.0610394109444264	0.0695019723378878	0.0705370675885562	0.0716763830575702	0.0694429989333479	0.0652583215223215	0.059651243936977	0.0621439925032013	0.0620408033789553	0.0695905933051224	0.0675850521827277	0.0604680107773678	0.0714167619475077	0.0712886909566713	0.0564377279090516	0.0645070341039534	0.0583602631240352	0.0717452403987737	0.0641373084033185	0.0624339625866205	0.0654917530506083	0.0569843759624474	0.0556789140435509	0.0560630881575512	0.0555634196427629	0.05629206925341	0.0667160175321653	0.0569717431650794	0.0586321665293124
"Environmental Information Processing|Signal transduction"	0.0441249554294578	0.0391333358931476	0.0516732518236891	0.0342843414196614	0.0353739081999092	0.0424288660197288	0.0426549741571886	0.0497054726098644	0.0485574860781616	0.0375380615364228	0.0591032218909959	0.0421309120925774	0.0514025059941476	0.0460730730371378	0.0367232838820274	0.0449019472874226	0.0446063298877534	0.0387170864182992	0.0419393046916645	0.0435456446728193	0.0438276108774684	0.0310996125491377	0.0458718229573218	0.0380162857286708	0.0413854354323955	0.0494813497053542	0.0426674946923917	0.0448335164560015	0.0318926391375669	0.0448234061710505	0.0372735795162582	0.0432763975757869	0.0447019060815317	0.0419843870709148	0.0487113141872463	0.0493734569630877	0.042180156599375	0.0416098965340783	0.0588882597053324	0.045727420501651	0.0392731488813509	0.0386416328405082	0.0597666254872269	0.0462570732750427	0.0493859071942996	0.0321186388670755	0.0364258912828047	0.0344761750137677	0.0347282647083717	0.0335538796705166	0.0405958753927676	0.031984359841061	0.0302607719312998	0.0448406305984212	0.0367108810418123	0.0375919336665637	0.0458584326991814	0.0401979750181737	0.0349067600277181	0.0359584077755263	0.0312475678719605	0.0350083354996053	0.0337697661996597	0.0482284677720858	0.0444992621817253	0.0383266350937726	0.0526937721967249	0.0450403765921315	0.0459863212170828	0.0512109084695944	0.0374483507217758	0.0396901450649568	0.0433114014292829	0.0425951368421271	0.0296451297933102	0.0359884630127449	0.0448931668644728	0.0347452493879955	0.0373466724511226	0.0462134818065154	0.0454324846374694	0.0374474201901543	0.0374641286068723	0.0313219133581678	0.0348058366396646	0.0347945180223783	0.0393895582771616	0.0454991376567778	0.0450475397727842	0.0399196093005691	0.0410767137219064	0.0537054573427808	0.0343996446021652	0.0412706387874118	0.0438312359402061	0.0444323541484229	0.0403154578031282	0.0370144273592487	0.0338981615007297	0.0478082501153373	0.0442289258370123	0.0505836670055253	0.0495686008542101	0.0323244702659686	0.0400664390586735	0.0442448948462285	0.0319426809373122	0.0321543238648489	0.0472321834897546	0.0384551852653289	0.0448790896272624	0.0291043441600021	0.054951575786974	0.0457487258318795	0.0371644335138394	0.0447206961816746	0.0480602126911236	0.0486041222382313	0.0476016136652054	0.0452300944040074	0.0418629589895092	0.0467214429670387	0.0463335979144388
"Cellular Processes|Cellular community - prokaryotes"	0.0413293338236182	0.0392381780873273	0.0457591294769144	0.0378128499314532	0.0327857395099506	0.0390616402844112	0.0397879517663052	0.0538721004019183	0.0457927031863171	0.0369786650340174	0.0435872244337362	0.0389747754663466	0.0408303293910479	0.0436441936979488	0.034573451623279	0.0423451889636606	0.0461572492314384	0.0369174237139145	0.0351104845332092	0.0399782190289294	0.0407013776120163	0.0327455540558382	0.0390955077411093	0.0356343939078248	0.0391176795597704	0.040796173465132	0.0377702937157563	0.0420818947291972	0.0323551796960512	0.0406094684958144	0.0365777817518309	0.0382787014773974	0.0354785334187463	0.0386573014105623	0.0411790902655985	0.0405715401765345	0.0380553705096434	0.0402657977788959	0.040690699141767	0.0420740375165396	0.0367442639423977	0.0351487591315693	0.0374527771825478	0.0391319470663774	0.0404419883912485	0.0316068620035347	0.0364149779754574	0.0364062857287261	0.0338461604295791	0.035385732084172	0.0362700116042017	0.0346661320467646	0.0302227904140274	0.0379119112068815	0.0369181619186261	0.0341793180274861	0.0386088980352664	0.039559348973604	0.0347466540743815	0.0363980150451726	0.0323466115473166	0.0315680947534055	0.0347963617518584	0.0372705744621235	0.0417789259031962	0.0384714362393008	0.0441114840347856	0.0371583278587211	0.0384551456428009	0.0375222162202402	0.0355226804505711	0.0385533292926117	0.0433975306492106	0.0366911752295445	0.0322055677589765	0.0346243293988332	0.0371344450001062	0.033763239282736	0.0367721634732199	0.0428183256967732	0.0431881891022833	0.0347218822637077	0.0351493948904352	0.0324507419081922	0.0330468973774583	0.0337244892048591	0.0380801885492984	0.0379442333440985	0.037964525415764	0.0365340470439152	0.0377433800424644	0.0425958602518613	0.0339948779538376	0.0368520449401295	0.0414574419714191	0.0351015481683292	0.033839857325609	0.0310296967860502	0.0350349009971896	0.0360898043800383	0.0429769034338871	0.0413262162942786	0.039941218637231	0.0348551746437722	0.0373864078466919	0.0426926245969576	0.0336220551781138	0.0329716672221106	0.0429959408510775	0.0382559280766034	0.0433031406852703	0.0323300081296532	0.0415400550055574	0.0415449677222372	0.0373645581053304	0.0426484598482443	0.04340918123936	0.0411405102118414	0.0442042124243682	0.0431263892344425	0.0353425842736448	0.0435699217949702	0.0406696097476572
"Metabolism|Metabolism of cofactors and vitamins"	0.0347498978982001	0.0367141485273817	0.0327352947169985	0.0402098093470602	0.0368755962703104	0.0351593448638103	0.0355429778396521	0.0349726332061652	0.03360330242122	0.0377413348181825	0.0340979105666665	0.0356294735936079	0.0338279260715359	0.034484641409775	0.0372606147135878	0.0346293416686027	0.0355841521836055	0.0373581538974376	0.0373950387080339	0.0354229220985941	0.0360111253559272	0.0391543480453021	0.03589452481912	0.0374297418129034	0.0359211446397993	0.0336948251208117	0.0350647684464578	0.0353740417637864	0.0388094933196251	0.0357380668728342	0.0388726014759032	0.0367379365069555	0.0371855689789299	0.0366261710620502	0.0342675311462953	0.0347644274290643	0.0358917495512267	0.0356883837038583	0.0341411937175109	0.0350900281151751	0.0364117006749855	0.0388400843221866	0.0362566075445111	0.0359504833461038	0.0353733114068817	0.0389896397755992	0.0377732119118878	0.0393475735461291	0.0393010254111859	0.0396517317925489	0.0366366295593786	0.0397312835699288	0.0385220322229314	0.0382417987970076	0.0383828988071375	0.0365836339924842	0.0376513430442568	0.0374097384066314	0.0376751641239415	0.0383543549758754	0.0384746760339213	0.0376653064987317	0.0389146581375023	0.0373818102261946	0.0351988108328349	0.037895151001248	0.0322534981300053	0.0365093452611099	0.0355427578117854	0.036156274417338	0.036226800107161	0.0364913720782953	0.0341190060670056	0.036353955844691	0.0400594406269573	0.0382831458490931	0.0377150677322245	0.0382970137116373	0.0370827475562014	0.0345751920629865	0.034913803485015	0.036136169168205	0.0396181295769696	0.0391263674487206	0.03819554831784	0.0386667160383155	0.038185427984106	0.0340433981382166	0.0365083767938605	0.0383678801235695	0.0366438481788686	0.0314874173500233	0.0377084481597539	0.0366263560165314	0.0358106559919513	0.0373210561188453	0.0375897248420266	0.0366459873184393	0.039605225215996	0.0351085119278885	0.0353026005608714	0.034266547457333	0.0354104880776616	0.039406526646396	0.036926894861177	0.0350088820733958	0.0393754230892281	0.0395546052307594	0.0345968378717272	0.0366763217792654	0.0350563649673791	0.0403630930416189	0.0353505477451005	0.0352335645697985	0.0377022709940896	0.0350156287265692	0.0343426577244716	0.035762294920862	0.0339608737898928	0.0348032496245113	0.0370026559104291	0.0342988304874857	0.0355482307318148
"Metabolism|Energy metabolism"	0.0377061548640543	0.0368895067027231	0.0383616447398093	0.0352324209590864	0.0355626080669894	0.03744218113356	0.0373947203050525	0.035644295244167	0.0379714523937995	0.034972735295666	0.0354307303945939	0.0371476112754297	0.0356418888093898	0.0382628108826961	0.0358958766793926	0.0382746779171312	0.0360854446140338	0.0359949753159761	0.0353158306151671	0.0373085899266055	0.036677867631311	0.0357679850620302	0.0363962338853899	0.0359129092545806	0.0370915788211191	0.0364295100606788	0.0351742375203571	0.0375891615966078	0.0358992310558122	0.0368681973851435	0.0358539688905376	0.036280549911061	0.0351308614382294	0.0360895375029065	0.0359434045049666	0.0359051278139366	0.0355103314314419	0.0373195091813335	0.0348551458650248	0.0376900027898542	0.0363251591429729	0.0357336143005285	0.0349870143282452	0.0359995311116933	0.0380469194658934	0.0358285384970386	0.0359760911033914	0.0352070453030758	0.0356253972875035	0.0353553659064242	0.0363499708571187	0.0353032519182018	0.036146477795713	0.0389156003922802	0.0354638110179097	0.0358706507973553	0.0353364205348345	0.0353414494982396	0.0356204669097967	0.0354572552373474	0.0357821977523415	0.0362398203832405	0.0361852394197511	0.0358965290881417	0.0376996742264365	0.0355960999631795	0.037338867634123	0.0358089003812193	0.0358962460158247	0.0352089020846666	0.0363135899039061	0.0371489564707469	0.0384685216327921	0.0359320563859545	0.0355988815927323	0.0357100694666204	0.0356477376642112	0.0356402909460698	0.0364897855381036	0.0380904100404815	0.0374369619417766	0.0378893246293442	0.0351743890710947	0.0358259225982557	0.0358573928056058	0.035660102451431	0.0351235361891952	0.0369277217056251	0.035604336658758	0.0353855957331857	0.0357365866091983	0.0358541208131285	0.0360782302168997	0.0356515836047483	0.0367390875835078	0.0357333573811302	0.0359084435708475	0.036303790886603	0.0353036235373288	0.0358223251208723	0.0374468687755675	0.0354259593791226	0.0352750341702216	0.0353321798819186	0.0359076375514437	0.0375000528868123	0.0355491354261311	0.0357249739031806	0.0380284437699829	0.0366454250433746	0.0378156034207895	0.0356454441333809	0.0354372223581767	0.036756348267224	0.0364684065473315	0.0380120968209734	0.0380370300200791	0.0374297635289695	0.0380109531005496	0.0381349935187816	0.0364504609816198	0.0384975283067876	0.0373004472304324
"Metabolism|Nucleotide metabolism"	0.0253395021230368	0.0262693854611261	0.0245459152540581	0.0277563492594327	0.02627282135511	0.0257097188553462	0.0256896467324327	0.0217803710097932	0.0248684201870951	0.0258814863845332	0.0234758168907582	0.0258329249263552	0.024502183760369	0.0250828239784884	0.0267959488705889	0.0256258953909388	0.0266660266947001	0.0266163073566359	0.026194117827555	0.0255560218023205	0.0259104007552403	0.0273939293991569	0.0257750528955675	0.0265234673932481	0.0258614174538347	0.0251561965030366	0.025698381407604	0.0254503438252853	0.0272314299111297	0.0256494839289301	0.0272525169471775	0.0260511004439487	0.0259536757187432	0.0261905940637637	0.0253767045569129	0.0253603033997743	0.025952817747021	0.0259228755026605	0.0253924969200584	0.0253097948859225	0.026134923836068	0.0270476060283849	0.0250163985947824	0.0259979488644211	0.0256751369373335	0.0271608710793528	0.0268679963550105	0.0275326100819604	0.0272843139606229	0.0275247293695182	0.0262760414984765	0.0277420249611858	0.0270621145180096	0.0266511057704335	0.0269668201120765	0.0262856323133515	0.0264288706058174	0.026801225222598	0.0268440116628722	0.0270536926309667	0.0274441975427711	0.0267383251699738	0.0271738911052209	0.0262024277099504	0.0253779508969069	0.026989787642914	0.0221872073335917	0.0260551663872701	0.0255335253668702	0.0256456573343801	0.0264980679791442	0.0261141496712931	0.0225118423428311	0.0261856852792838	0.0277715094234805	0.0267892321721562	0.0264117114072088	0.0272232681622881	0.0264199828411219	0.0251580128178718	0.0255378317379935	0.0246350886502287	0.027367754906964	0.0273652533362833	0.0268420123372884	0.0270820635389493	0.0269075207106783	0.0245124676293543	0.0259767827267008	0.0270080832833689	0.0264072964919792	0.0239931752701578	0.0268282327386839	0.0261660177661531	0.0254426910225192	0.0260598029913024	0.026324072012318	0.0265833646779152	0.0275252324134701	0.0256793995123926	0.0256401276777105	0.0252798779446577	0.0255228737710409	0.0276121430249463	0.0265589075393457	0.0255694324065333	0.0274185026413551	0.027486545476083	0.0250904836219177	0.0263032348244306	0.0252341757680203	0.0279418821094548	0.0246971910803177	0.0250897705554736	0.0266522803030645	0.0253260511516472	0.0249848670411904	0.0255098140093604	0.0249803754999207	0.0252277023992018	0.0263234009728436	0.0251333854564017	0.0254529317453704
"Metabolism|Lipid metabolism"	0.0214682859916463	0.0200556084249526	0.0219728100606894	0.0180386741079753	0.0214114198220356	0.0212623367849272	0.0211481965564304	0.0213188050442963	0.0221016670588409	0.020492510838317	0.026150984887124	0.0208175839478769	0.0233830080669499	0.0220723453761477	0.0198968119792092	0.020749385991983	0.0190490946943233	0.0195263477182316	0.0209453868581973	0.0212123080236173	0.021361345683742	0.0182790621523896	0.0217308485036034	0.019534023364276	0.0208072863678197	0.0216233458050493	0.019583078853541	0.0216943114887787	0.018488193309693	0.0214407282193991	0.0195805132493108	0.0210300720667337	0.0220829088555703	0.0202403598806941	0.0211658732874284	0.0213767604438861	0.0203604763792827	0.0202049861112781	0.0240708637708856	0.0219323501191776	0.019901092724308	0.019904364022188	0.0276177900006968	0.021603456692279	0.0246354161443952	0.0189791364801828	0.0189446252691439	0.0183596109285324	0.0190527898774088	0.0183643760194906	0.0204396907537973	0.0180538509764283	0.018834048691198	0.0241805226415723	0.0189627884952221	0.0197481542514942	0.0210105628084487	0.018985283791328	0.0186916154749497	0.0187993645808268	0.0185067343117634	0.0195616913185485	0.0190822124059133	0.0235176844101455	0.0216464372337031	0.0189330225322497	0.023246103517429	0.0208087843609462	0.0213600956864237	0.0242634815534878	0.0193573168392671	0.0203462538979453	0.0224277825015813	0.02025437991128	0.0179894542280325	0.01945215145916	0.0224385113750297	0.0189202891554575	0.0197159338028485	0.0222055480290949	0.021746723686256	0.0207175003902416	0.0195887690366845	0.0183730340566572	0.0192206857209775	0.0189777352841523	0.0195465874973455	0.0217924620079479	0.0207897217874413	0.0199668088446707	0.0197316443434762	0.0224999632872962	0.0187224053446089	0.0202853777394747	0.0213985294159087	0.0207656720891893	0.020956401476201	0.0205529089205237	0.0184437422850015	0.0230736261240714	0.0214193128155885	0.0219428485883062	0.0221380541654278	0.0180840890651418	0.0196049713051862	0.0214748635311641	0.0183291463683679	0.0187700722640351	0.0224668605048314	0.0198842302887046	0.0217433999277269	0.0178713754319563	0.0243805790270697	0.0219287682962889	0.0195544919371047	0.0217312663212636	0.022665502631719	0.0237509247732565	0.0221806041575295	0.0218548941196263	0.0219109721961511	0.0219679172286333	0.0225105386842959
