"Taxa"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"
"Metabolism|Global and overview maps"	0.36777784120472	0.369924229967615	0.377549060945396	0.376976211222973	0.362295137273895	0.39007765116076	0.384301845918247	0.393517201694472	0.375621211269867	0.389285067006066	0.382525852167183	0.380390180650563	0.386802420490133	0.387687893187802	0.377031612515317	0.403268029631349	0.361654176879613	0.381695400890691	0.384279819285374	0.366331203087421	0.362290702966523	0.3756305705815	0.400834379537838	0.371425927044148	0.377638224802388	0.37389748865851	0.359885504241448	0.370815324622119	0.394356324167936	0.381609226328519	0.381072395032926	0.39523444482806	0.36741892030517	0.391242745108596	0.376592885460606	0.380176150280302	0.383020767971582	0.385584937851747	0.383526046120677	0.368389000022853	0.406309467624127	0.393329897635763	0.397467967957683	0.401255603832022	0.400858809036195	0.388724340854927	0.402151371697995	0.408424465696587	0.381121783516786	0.396064823024785	0.395114611157646	0.388624589654059	0.390718768466981	0.394706527551795	0.396178270363401	0.402999514076699	0.402797440566302	0.395805261934469	0.384259023887266	0.367195602802022	0.390689023874493	0.358306495035634	0.391373875700695	0.389481640842089	0.379750790462808	0.385787175964322	0.379445785269831	0.363962134922819	0.392328227276104	0.407029194364304	0.40006581386941	0.384733273597659	0.400530446904494	0.38869702658763	0.364158522954671	0.389248154449131	0.399476778643422	0.405368588060847	0.402109822407498	0.40144756811855	0.392875771882984	0.38099207471858	0.389842796686225	0.394372454053105	0.390832832923486	0.366897804353573	0.400875886401239	0.391828564412262	0.371045923535183	0.395691814357868	0.398756705230158	0.396970586523717	0.401322509297053	0.384756473661048	0.365173249290449	0.3765792065889	0.37970848022514	0.40011221235961
"Metabolism|Carbohydrate metabolism"	0.115751036133838	0.122046862489346	0.117632391251857	0.118467662915485	0.123405261226665	0.116589454911911	0.115127031511233	0.115963472419685	0.114795623481786	0.117346524143194	0.118893535484772	0.120073119925829	0.112732943837798	0.116717459255802	0.118481597922008	0.113648248093611	0.121064456944547	0.117559830349513	0.117595608439222	0.122538403064119	0.120579596355909	0.119195840642266	0.114583267672383	0.121160040433413	0.118413389807849	0.120260810828436	0.121819150738023	0.119398205930288	0.116130008635031	0.119323611023147	0.121406641681802	0.113872765275602	0.122351720550928	0.116759992931601	0.121404912241149	0.116696175850411	0.115263854532468	0.118059350615317	0.118868703577619	0.116736694008975	0.1159464114768	0.117865975423196	0.119231553506276	0.117570559219572	0.118459040616518	0.117317717673489	0.11851730141761	0.114638887832611	0.107063479571696	0.118200828322001	0.116632368585429	0.118521038511021	0.118751812620995	0.118731830422039	0.118334286979154	0.116051488061609	0.114272249612302	0.118453670620098	0.119593768145101	0.121905850198106	0.120254887497853	0.119829238581981	0.115824079621569	0.115616744275698	0.118808716378405	0.118805373622892	0.12002443839747	0.117470361813586	0.115410439603339	0.117130429660028	0.11698987248451	0.119952793013078	0.116440376629403	0.118712809507125	0.121351666063653	0.11335557844658	0.118286855473253	0.116272761677445	0.116038433838786	0.116772669417556	0.11938964499508	0.114153299547866	0.117176475058909	0.117976868372017	0.117139401654487	0.118328002394434	0.115218595696527	0.117278901010725	0.119934649506011	0.115519281259233	0.114969668616276	0.11445534595752	0.118196866504795	0.115670672193608	0.121745993169082	0.11812181938083	0.118876826288016	0.11883561476598
"Environmental Information Processing|Membrane transport"	0.0841610345184655	0.0835961654755441	0.0760923050385007	0.0815872085524606	0.0859861192878154	0.0630054132184561	0.0768916673835524	0.0692948216178529	0.0713822536057191	0.0714237629624271	0.0783575826482364	0.0773766831364838	0.0670276081916917	0.074175787667533	0.0656786794566381	0.0663227426931344	0.0828962236222416	0.0763997885646123	0.0702804171613398	0.083505603382299	0.0822344408483639	0.0784835484650002	0.0642594852938093	0.0807740853560263	0.0757274253512903	0.0803298631811259	0.0841680690943556	0.0918964687593556	0.060311124205514	0.0749437078563289	0.073802797464587	0.0673879072706987	0.0835683597070652	0.0684155625916006	0.0805873711507019	0.07183611480064	0.0678784047054859	0.0693997794355843	0.0668390283169404	0.072142249147622	0.0618915123290307	0.0730510924278439	0.0726398917280677	0.0642111700923633	0.0694578479839721	0.0680836488842089	0.0699573002011549	0.0619620788952286	0.0648358381853157	0.071017047940647	0.0688707772837189	0.0623256771144911	0.0763854365908202	0.074984257658278	0.0719330011151102	0.067737002397556	0.0607401247866484	0.07017129265816	0.0564124282974627	0.0815068062704388	0.0752151108343758	0.0893232669773392	0.0609959699388654	0.0620879257819533	0.0602621168007179	0.0778191247517054	0.0775143054397539	0.0928075700605989	0.0654534901755789	0.066511879541385	0.0644171427289696	0.0632236019619057	0.0657974288435411	0.0734591849183269	0.0815895786252721	0.0716016949082095	0.0616888368479951	0.0657933535197959	0.0636066417935493	0.0647118711106045	0.0700019441648249	0.0743837603528931	0.0628751050358346	0.06490387544205	0.0694709525676098	0.0839024237688815	0.0671933022354952	0.0671674736928792	0.0781989356885499	0.0543442290391858	0.0559950593027477	0.0616758875973563	0.0677897258629085	0.0628043962974694	0.0825792906010184	0.0756249628892689	0.067920697904573	0.0721195054141338
"Metabolism|Amino acid metabolism"	0.0616190601172984	0.0592221937530656	0.0653968493177283	0.0623559409336347	0.0564948065663262	0.0666285588515497	0.067528155255498	0.0692698756783696	0.0644431389188531	0.0669263577656604	0.064214871068123	0.0636804003630867	0.0686223052462267	0.0667641083806834	0.0636637164574644	0.0746304409097053	0.0591711079961248	0.0656706763880117	0.0669198235568242	0.0577428394900786	0.0593952762820876	0.0633601313830773	0.0728230644433215	0.0602429095676436	0.0624467678976104	0.0619122821789101	0.0584308189530631	0.0594460570083866	0.069707110638759	0.0633163162877513	0.0640921426524943	0.0721452029793425	0.0585443296471651	0.0684185422793157	0.0611948239541507	0.0628351152515029	0.0649524200757815	0.0644627578454089	0.0643343541408899	0.0605857886067017	0.0730528281356471	0.0680176613313978	0.067693207871956	0.0699275008791726	0.0692215352451848	0.0668013431470329	0.0696254783496499	0.0750629156538536	0.0630106264173978	0.0681254857160984	0.070070352817009	0.0646204778249784	0.0660222905829403	0.0689812570441199	0.0683690528579505	0.0721838692594869	0.0733195327318222	0.0683329875596247	0.0627798556195331	0.058624441709726	0.06648447275421	0.0561680201657109	0.0675886923295504	0.0674197586920999	0.0610165400083217	0.0675156551304129	0.063317137157867	0.055974778818341	0.0686786811534056	0.0723369833218831	0.0703406257635724	0.0623340221569306	0.07098770402951	0.0666223280859088	0.0596775893429971	0.0686163215448065	0.0681566856758135	0.0726209927805592	0.071928630261286	0.0709603843538435	0.0659966581949632	0.0661520589548237	0.0667254198536055	0.0669008694639276	0.0677828231690661	0.0612783751999803	0.0722541436264988	0.06789874414679	0.0610285242790609	0.0695019723378878	0.0705370675885562	0.0716440192611233	0.0694517048016659	0.0652954434590893	0.0596375590643168	0.0621439925032013	0.0621404670326332	0.0694458923163922
"Environmental Information Processing|Signal transduction"	0.0562926056904403	0.0476015800205684	0.0482654887909423	0.0473996632170804	0.04421234507485	0.0443143613798364	0.0435342959108996	0.0389850177707519	0.0549243223967022	0.039640710090005	0.0445176763098445	0.0379554177832316	0.0472717681744393	0.0416673068382428	0.0525692819505992	0.0320558144809101	0.0473324767892607	0.0448491124301721	0.0449395380187821	0.0454014543681791	0.0473159592408746	0.0433605665817881	0.0335627214071861	0.0431030793111257	0.0471714388162315	0.0417531940685406	0.0461445277876047	0.0481730921229304	0.0413206146327202	0.0434387063388839	0.0428229316376228	0.0380997294448469	0.0438743425042072	0.0406776481833858	0.0415275656041379	0.0514254909772244	0.0510673288245643	0.0464174253149294	0.0463152296086084	0.0493467233677969	0.0321369465354857	0.0364715662691772	0.0345933157102183	0.0347282647083717	0.0335538796705166	0.0405958753927676	0.0319712495035289	0.0302607719312998	0.0449289880964231	0.0367108810418123	0.0375919336665637	0.0459407406308956	0.0401254798394245	0.0349915388545689	0.0359584077755263	0.0312279077364923	0.0349558039084513	0.0337607256023105	0.0482284677720858	0.0443575253019451	0.0385079810206136	0.0526937721967249	0.0449500134053595	0.0459863212170828	0.0513078045262943	0.0375026831767471	0.0396901450649567	0.0433114014292829	0.0426101754041214	0.029639268194149	0.0360232763243076	0.0448931668644728	0.0347452493879955	0.0373466724511226	0.04543427086794	0.0374563026342545	0.0374641286068723	0.0313219133581678	0.0348058366396646	0.0347945180223783	0.0393895582771616	0.0454922767373404	0.0450349732084582	0.0399302431759621	0.0410767137219064	0.0536620780173699	0.034411251580018	0.0412706387874118	0.0438703247405584	0.0444323541484229	0.0403154578031282	0.0370665905934445	0.0338947272332799	0.0478099348564703	0.0442157843488448	0.0505836670055253	0.0498601808585254	0.0325554846801393
"Cellular Processes|Cellular community - prokaryotes"	0.0457101301337493	0.0429314266140665	0.0389551272480298	0.0434109713528702	0.0424907262031006	0.0372457351727277	0.0394778562676983	0.0357941195298218	0.0420320913650105	0.0376527368017996	0.0418610237251434	0.0373521446980844	0.0382906992622372	0.0381946862167188	0.0415780941381756	0.0311028665501259	0.0441862418446602	0.038345229047775	0.0390103766124534	0.0428051230699963	0.0441617276915618	0.0409406852577671	0.0315820646272627	0.0409825222664464	0.0414786002171589	0.0397933458850665	0.0441531584824273	0.0487094238875996	0.0348159473165883	0.0401418529070124	0.0379101235497553	0.0341565036020635	0.0420516443042847	0.0354030958573184	0.0406559519491246	0.0424706747556953	0.0413969450320548	0.0403611837406177	0.039109656950911	0.0404463442492407	0.0316170697631005	0.0364339820625899	0.0365150205486188	0.0338461604295791	0.035385732084172	0.0362700116042017	0.034644701300167	0.0302227904140274	0.0380135382565416	0.0369181619186261	0.0341793180274861	0.038650385394714	0.0394665042466194	0.0347700767752123	0.0363980150451726	0.0323428779620447	0.0315147914435253	0.0348009603880705	0.0372705744621235	0.0416920378381977	0.0383966347163273	0.0441114840347856	0.0370797781078343	0.0384551456428009	0.0375776727300054	0.0355215440731717	0.0385533292926117	0.0433975306492106	0.036730672075421	0.0322132016926982	0.0346411165477302	0.0371344450001062	0.033763239282736	0.0367721634732199	0.04317234024181	0.0347248831616881	0.0351493948904352	0.0324507419081922	0.0330468973774583	0.0337244892048591	0.0380801885492984	0.0379129936288318	0.0379527782388472	0.0364353595792613	0.0377433800424644	0.0425968502617088	0.0339883926062385	0.0368520449401295	0.0414398284830683	0.0351015481683292	0.033839857325609	0.0310942708444139	0.0350424701171972	0.0360934291940638	0.0429793458113966	0.0413262162942786	0.0400081125190787	0.034938007777921
"Metabolism|Metabolism of cofactors and vitamins"	0.0314478440950124	0.0347609017311284	0.0332978902285226	0.0346752659006722	0.0348868503429923	0.0368100535232588	0.0345034681520165	0.0365264823820365	0.0323680192828817	0.0371338354917986	0.0357740165742565	0.0368315221030777	0.0344950393575065	0.0355693618081284	0.0338486437680568	0.0377684486129242	0.0342211519892624	0.0343824868525604	0.0348725181501709	0.0350767815992413	0.0343857087731835	0.0353056051606267	0.0375395917758165	0.035369623841661	0.03521563744974	0.0355732677114333	0.0345151542307756	0.033455395613439	0.0370843202039108	0.0363171170859155	0.0359158098140571	0.0359410645378938	0.0351712776267913	0.0364348371179694	0.0363720667244482	0.0349624807351986	0.0347637067421544	0.0362778630869924	0.0359619537382891	0.0353447954142309	0.0389821192253943	0.0377385531966093	0.0392132667127644	0.0393010254111859	0.0396517317925489	0.0366366295593786	0.0397452323286539	0.0385220322229314	0.0382152680541391	0.0383828988071376	0.0365836339924842	0.0375819117706336	0.0374780549292908	0.0376689339570996	0.0383543549758754	0.0384795620427139	0.037695446875679	0.0389057646433683	0.0373818102261946	0.0352270219729715	0.0379554733862108	0.0322534981300053	0.036541219298448	0.0355427578117854	0.0361293755229392	0.0362287563749082	0.0364913720782953	0.0341190060670056	0.0363474212293454	0.0400414162597878	0.0382810554213653	0.0377150677322245	0.0382970137116373	0.0370827475562014	0.034884776217413	0.0361241672228347	0.0396181295769696	0.0391263674487206	0.03819554831784	0.0386667160383155	0.038185427984106	0.0340578119337816	0.0365005573385333	0.03838116423928	0.0366438481788686	0.0314912086374871	0.037703018204381	0.0366263560165314	0.0358111497360085	0.0373210561188453	0.0375897248420266	0.03662458780553	0.0396134122084394	0.0351218181015776	0.0352850484311102	0.034266547457333	0.035506164514332	0.0392662311825006
"Metabolism|Energy metabolism"	0.036362248483445	0.0370489348002267	0.0359696550532954	0.0362438605852943	0.0381162428689038	0.0356399329347061	0.0360423820208551	0.0358829177399495	0.0360994941219058	0.0361920898887753	0.035324760309224	0.0372573035773833	0.0362813236736134	0.0358964993974415	0.0365388895687634	0.0364937037843553	0.0373422960417978	0.035812525112988	0.036659286231497	0.037380395864064	0.037456893717209	0.0366504412475169	0.0366687351022769	0.0373982567781964	0.0364554704497698	0.037486587495311	0.0377336976515135	0.0351475706414929	0.0364672862570698	0.0362438000038648	0.036013451749205	0.0366774591019862	0.0376088197284866	0.0358188532527609	0.0367985745736307	0.0356160861116786	0.0357327736777001	0.035504693490596	0.0360210201247708	0.0380217130573592	0.0358253298593261	0.0359668364202872	0.035202543976216	0.0356253972875035	0.0353553659064242	0.0363499708571187	0.0353073003403325	0.036146477795713	0.0388883778374363	0.0354638110179097	0.0358706507973553	0.0353375521545294	0.0353513866712641	0.0356325878540092	0.0354572552373474	0.0358031109422433	0.0362485371607879	0.036181339188598	0.0358965290881417	0.037706978477504	0.0356265792057151	0.037338867634123	0.0358085869058873	0.0358962460158247	0.0352216044728699	0.0363159172939332	0.0371489564707469	0.0384685216327921	0.0359379952642215	0.0355933702371338	0.0357055220493101	0.0356477376642112	0.0356402909460698	0.0364897855381036	0.0374260284947156	0.0378836458647475	0.0351743890710947	0.0358259225982557	0.0358573928056058	0.035660102451431	0.0351235361891952	0.0369278084599481	0.0356072402401201	0.0353984864957897	0.0357365866091983	0.0358533121430585	0.0360742095677195	0.0356515836047483	0.0367342342687684	0.0357333573811302	0.0359084435708475	0.0363043160931263	0.0353052464637289	0.0358302590196426	0.0374400085078228	0.0354259593791226	0.0353396825997311	0.0352996046386951
"Metabolism|Nucleotide metabolism"	0.0242937466270052	0.0253161601860635	0.024825282276153	0.0254895269626729	0.0253537972917132	0.0262546503363918	0.0255978321259821	0.0262463117369647	0.0245104020580982	0.0263416334550574	0.0258275565299487	0.0264115378680057	0.0255109738107971	0.0261553209249829	0.0249426245224582	0.0270860529531375	0.0252100825685989	0.025370650920513	0.0257413468760403	0.0254510976081385	0.0252959286236423	0.0257901323297026	0.0267129836566913	0.0256495012287496	0.0255316644227703	0.025757693632297	0.0252874687191257	0.0259474714210229	0.0263206246423231	0.0260546212811427	0.0259357989309843	0.0263147551833144	0.0254765333235912	0.0261822080140071	0.0261102835342014	0.0254767787513792	0.0254825437340752	0.0259364025144395	0.0259836220567372	0.0256765800455964	0.0271603883410537	0.0268626486922545	0.0275462520044655	0.0272843139606229	0.0275247293695182	0.0262760414984765	0.027743214986527	0.0270621145180096	0.0266051195214803	0.0269668201120765	0.0262856323133515	0.0264023105806798	0.026797972561468	0.0268280643141351	0.0270536926309667	0.027447513205324	0.0267406107183977	0.0271717826838635	0.0262024277099504	0.0253953021283401	0.0269403842952224	0.0221872073335917	0.0260688613814082	0.0255335253668702	0.0256342846799424	0.0264940316853945	0.0261141496712931	0.0225118423428311	0.0261727883675667	0.0277733534220217	0.0267814888756159	0.0264117114072088	0.0272232681622881	0.0264199828411219	0.0255387725922759	0.0246322216448676	0.027367754906964	0.0273652533362833	0.0268420123372884	0.0270820635389493	0.0269075207106783	0.0245020754430632	0.0259908280229898	0.0270309804101878	0.0264072964919793	0.0239964740691377	0.0268210078213682	0.0261660177661531	0.0254676945569678	0.0260598029913024	0.026324072012318	0.0265754959246152	0.027525297002995	0.0256668429896833	0.0256436345342746	0.0252798779446577	0.0255108364280996	0.0275921041496441
"Metabolism|Lipid metabolism"	0.0221291451265586	0.0209291293650129	0.0209813374778794	0.0202263753459096	0.0217744486859006	0.0209194043209489	0.0201970868303455	0.0201969542001413	0.0223997499135653	0.0201339517188605	0.0198031947748314	0.0202868810935846	0.0212192654428417	0.0201050651997587	0.0222371028237203	0.0182261152532407	0.0220158122142769	0.0211225646481526	0.0204788071425489	0.0213658481870877	0.0220255957690977	0.0208337758580435	0.0195814706354865	0.0210912388928364	0.0211095925650744	0.020643572320778	0.0219887747827431	0.0192725381930371	0.0203827243892529	0.0205346223076176	0.021247191231519	0.0192592496181128	0.0212844508026741	0.0204123372998776	0.0203247363804133	0.0216812079205443	0.021416604810268	0.0209388500797097	0.0216059846237608	0.0246310271597679	0.0189785602981569	0.0189637444189649	0.0183631760417485	0.0190527898774088	0.0183643760194906	0.0204396907537973	0.018053427674559	0.018834048691198	0.024195485729033	0.0189627884952221	0.0197481542514942	0.0210274462699734	0.0189834427441876	0.0187096535780657	0.0187993645808268	0.0185077348391172	0.0195633826827597	0.0190818797325902	0.0235176844101455	0.0216487180322107	0.0189548767271108	0.023246103517429	0.0207985858955368	0.0213600956864237	0.0242489178988985	0.0193603906426623	0.0203462538979453	0.0224277825015813	0.0202187713731035	0.0179878627987826	0.019458317297087	0.0224385113750297	0.0189202891554575	0.0197159338028485	0.0217391011418781	0.0207207159286019	0.0195887690366845	0.0183730340566572	0.0192206857209775	0.0189777352841523	0.0195465874973455	0.0218089519674064	0.0207872752269157	0.0199642655360863	0.0197316443434762	0.0224834800466878	0.0187127012535453	0.0202853777394747	0.021396086629436	0.0207656720891893	0.020956401476201	0.0205499807352921	0.0184484605313186	0.0230653197861844	0.0214198099508626	0.0219428485883062	0.0220910121499191	0.0180911521469958
