"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"Metabolism|Global and overview maps"	0.374730027045229	0.366310058231895	0.362290702966523	0.377572536331773	0.391784710164059	0.391976245002493	0.381133783801861	0.381140038079195	0.391233803671044	0.377433073396481	0.376579547285776	0.380160561055297	0.36679465265752	0.38558159964197	0.406314494071621	0.377503445794963	0.408424465696587	0.375888927555215	0.385706702085652	0.396269809506381	0.395817315314169	0.367186578941254	0.358297983313123	0.389481640842089	0.376494778700334	0.378505313266576	0.380473918707965	0.399390692546471	0.363816059678031	0.376238750016457	0.39820132704012	0.396469571480076	0.357889592020443	0.365174491672783
"Metabolism|Carbohydrate metabolism"	0.120020046001384	0.122547327249549	0.120579596355909	0.118363025042705	0.117990688338389	0.117904947140547	0.121409416616921	0.11855857626909	0.11670721730552	0.121166140008619	0.121392591197378	0.116747950386848	0.121756996753367	0.118010656884472	0.115914264024837	0.119245885510778	0.114638887832611	0.120003300372132	0.116666166489622	0.118274659996668	0.118436241398052	0.121897384632115	0.119824265838131	0.115616744275698	0.117663340059637	0.120506272763079	0.118581323652812	0.118295951996168	0.122051632255698	0.119413205390852	0.115005527312583	0.118943453590609	0.119912197406934	0.121718992201709
"Environmental Information Processing|Membrane transport"	0.0777745574929219	0.0835346254176156	0.0822344408483639	0.0757330408226685	0.0713361831987396	0.0647739569455288	0.073742525235481	0.0691419140249207	0.0683724364064496	0.0698584542577862	0.0806080905405202	0.0720966374301847	0.081154990702604	0.0698546755215584	0.0618018565864205	0.0661318633023909	0.0619620788952286	0.0749635995825861	0.0692497602644958	0.0718545288730081	0.0701559259124331	0.0815527266354527	0.0893142058545611	0.0620879257819533	0.0741525264592259	0.0667888009819393	0.0760692467762254	0.0617359307507095	0.0823954449885574	0.0794241547906159	0.0552871761333705	0.0695711219499096	0.0875736225185798	0.0825211358883061
"Metabolism|Amino acid metabolism"	0.0617304403568982	0.057741499648348	0.0593952762820876	0.0624511335314558	0.0673914207411147	0.0673394462356626	0.0641005249740669	0.0632306967082077	0.0683993640084312	0.0642198025427371	0.0611988118305509	0.0628208855876684	0.0585249436808783	0.0644981637204934	0.0730432971952398	0.0626845271616683	0.0750629156538536	0.0616376499801837	0.0654084237331667	0.0683977009871952	0.0683409488059746	0.0586312376955883	0.0561680714917287	0.0674197586920999	0.0625530469613629	0.0613589182763661	0.0639438779441621	0.0681133012158968	0.0574335800265674	0.0629234034126133	0.0702781554722695	0.0671236924638511	0.0589045144291197	0.0596449954255048
"Environmental Information Processing|Signal transduction"	0.0426946178758427	0.0454067521152875	0.0473159592408746	0.0472064935330882	0.0386451273137754	0.0419393046916645	0.042820772351508	0.0458006700124576	0.0407461754687786	0.0485413209604968	0.041526342170399	0.0513351143574071	0.0448549867121779	0.0461902651395658	0.0321875577113895	0.0527188576493498	0.0302607719312998	0.0446023045275616	0.0438000561194479	0.0359610349593166	0.0337608364377748	0.0443597280328325	0.0527051014337533	0.0459863212170828	0.0491998719536588	0.0501144321265603	0.0462827552568326	0.0374676446524918	0.0468775383629816	0.0474652391383801	0.0409919948568338	0.037265346202035	0.0491191838457792	0.0442298988444962
"Cellular Processes|Cellular community - prokaryotes"	0.0397883413729483	0.0428045236242546	0.0441617276915618	0.0414818917076459	0.0368863787643642	0.0351104845332092	0.0379073880043097	0.039078838081497	0.0354325791928824	0.0398616467232753	0.0406501791312687	0.0424387602654404	0.0421100250384464	0.0403912034968987	0.0316367531294666	0.0422293348082594	0.0302227904140274	0.0404433256333359	0.0383367241189056	0.03640310616847	0.0347958284711224	0.0416960328878806	0.0441149900288391	0.0384551456428009	0.0408057591136746	0.0404747089391965	0.0407616571745902	0.0351438771175724	0.0431093826305141	0.041335736487467	0.0340290689778172	0.0374134470038553	0.0470620861353568	0.0429857080914999
"Metabolism|Energy metabolism"	0.0373887618533544	0.0373768788936036	0.037456893717209	0.0364445233229563	0.035986618028569	0.0353158306151671	0.0360266811388861	0.0363939294426348	0.0358390008813836	0.0367995088291311	0.0368018385962362	0.0356112893582781	0.0375857310057633	0.0354879357115653	0.0358380314432773	0.0360882704813951	0.036146477795713	0.036822132139673	0.0357286688229989	0.0354667457347522	0.0361894457848776	0.0377108765728576	0.0373421297290705	0.0358962460158247	0.0360359357585899	0.0357476926443995	0.0356622289309643	0.035161530276772	0.0376930131588792	0.0358779727040283	0.0358860092365809	0.0351158319522422	0.0364845266517819	0.0374452355215924
"Metabolism|Metabolism of cofactors and vitamins"	0.0355234972455179	0.0350708712242501	0.0343857087731835	0.035201788842372	0.0373744292413554	0.0373950387080339	0.0359296176707113	0.0358443956246703	0.0364361234069301	0.0350823175521534	0.0363689465068647	0.0349305333024791	0.0353546820034053	0.0362522083977161	0.0389828154815332	0.0346110424354405	0.0385220322229314	0.0356360892454048	0.0362791566078156	0.0383780953879153	0.0389073694589302	0.0352293141852912	0.0322528957167529	0.0355427578117854	0.034247860881574	0.035639496791864	0.0348027341396867	0.0396080765110282	0.0346188590890718	0.0338162641173166	0.0375014614266498	0.039070419546127	0.0348213972441014	0.0353004166406128
"Metabolism|Nucleotide metabolism"	0.0256816212760656	0.0254506638925709	0.0252959286236423	0.0255386043380757	0.0266254828718728	0.026194117827555	0.0259301941748206	0.0257941547808379	0.0261770113841944	0.025358712556672	0.0261106886324681	0.0254805724284542	0.0254461089660486	0.0259598384760063	0.0271625213080242	0.0252817775349585	0.0270621145180096	0.025688799691179	0.0261007652707487	0.0270479459716892	0.0271701002688458	0.0253963854024239	0.0221837410213505	0.0255335253668702	0.0252583190836742	0.0256323435724478	0.0255908729572973	0.0273905765911959	0.0251628701988444	0.0253083759737552	0.0262502513628703	0.0272962626958183	0.024203945283907	0.0256446562052604
"Metabolism|Lipid metabolism"	0.0211423205437044	0.0213634682135896	0.0220255957690977	0.0211193494140274	0.0195255313567598	0.0209453868581973	0.0212485486027066	0.0217054379067225	0.0204234070114582	0.0218861195133728	0.0203214823904577	0.0216507220406224	0.0216906748864094	0.0208684765933805	0.0189851501881654	0.0217889802866046	0.018834048691198	0.0211920709727375	0.0211396773369322	0.0187920018356293	0.0190821237711463	0.0216324141441044	0.0232480161952147	0.0213600956864237	0.0221714790714622	0.0225980235652762	0.0207742382361833	0.0196060159822126	0.0219737917528305	0.0211209636180371	0.0211647191178509	0.0187853390725302	0.0218820231681749	0.0214251040986794
