"Taxa"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_4"	"Buddy_16"	"Marshmallow_41"	"JarJarBinks_44"	"Hamlet_67"	"Grogu_70"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.636	0.458	0.27	0.001	0.571	0.778333333333333	0.502	0.7715	0.666333333333333
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria"	0.005	0.004	0.597	0.6625	0.00516666666666667	5e-04	0.220833333333333	0.0101666666666667	0.115833333333333
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria"	0.187333333333333	0.1155	0.0645	0.005	0.130333333333333	0.0701666666666667	0.151333333333333	0.0863333333333333	0.103
"k__Bacteria|p__Actinomycetota|c__Actinomycetes"	0.02	0.157666666666667	0.0055	0.212166666666667	0.19	0.104	0.0601666666666667	0.011	0.0358333333333333
"k__Bacteria|p__Bacillota|c__Negativicutes"	0.107	0.102333333333333	0.0561666666666667	0.00266666666666667	0.0785	0.0253333333333333	0.0468333333333333	0.0673333333333333	0.0715
"k__Bacteria|p__Bacillota|c__Clostridia"	0.036	0.0311666666666667	0.0055	0.0015	0.0118333333333333	0.014	0.0136666666666667	0.0381666666666667	0.00566666666666667
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia"	0.005	0.111166666666667	0.00133333333333333	0	0.0131666666666667	0.00716666666666667	0.00466666666666667	0.00966666666666667	0.00183333333333333
"k__Bacteria|p__Bacillota|c__Bacilli"	0.000166666666666667	0	0	0.114	0	0	0	0	0
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia"	0.0035	0.0131666666666667	0	0.00116666666666667	0	0	0	0.0045	0
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes"	0	0.007	0	0	0	5e-04	5e-04	0.00133333333333333	0
