"Taxa"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"Acetate -- Production"	0.0446775039328789	0.0463836850841831	0.0617699063740978	0.0128565160157964	0.050921878339259	0.0503058905785702	0.0504309630366319	0.0548710860027646	0.0503886665746746	0.0489710478212159	0.0474912011551304	0.0497884411962689	0.0512551791372167	0.0501180792442928	0.0520439711439368	0.0514176018901358	0.0506812930531862	0.050126787706664	0.0495812872156193	0.053132523374951	0.0487978544134052	0.0490546079598043	0.0567118547262679	0.0503590912229818	0.052018252018252	0.0443243991966203	0.0401215036071383	0.0509950537584469	0.0477028921712478	0.0483321020628516	0.0503915864846722	0.0489819610644758	0.0506483158275987	0.0466666666666667	0.0501615925694576	0.0423013599180679	0.0506216696269982	0.0500515564473428	0.0529422180251431	0.0459380765682657	0.0531943474289399	0.0515680125441004	0.0480673316708229	0.052051757679953	0.0470807892213756	0.0439215486110225	0.0495358269490762	0.0489774130050379	0.0491560675145988	0.04795331296281	0.0473653227875806	0.0500449609185862	0.0498138247088028	0.0472245428385779	0.0516029935618811	0.0517603562725821	0.0460249175931616	0.051489092340708	0.0509350561033662	0.0485114492795472	0.0537321147475507	0.0489021750335017	0.0474588100401306	0.0477949742053586	0.0481433669982535	0.0501178888821716
"Lactose -- Consumption"	0.0437336130047195	0.040882143704055	0.0402620365807705	0.145019745502413	0.0470361951390103	0.0500786575773466	0.0340419360185646	0.0430714986878218	0.042362356837312	0.0483813904121705	0.0462277772764191	0.0494879315318781	0.0488666829149403	0.0467069010758331	0.0400206114737204	0.0457028942705257	0.0504437582327409	0.0424180951414951	0.0492017175527246	0.0428867364649236	0.0446680749056559	0.0466746000264445	0.0380150850845806	0.047182515019681	0.0496314496314496	0.0423044070457326	0.039235539805088	0.0504377307665513	0.0428445661743128	0.0400068193442064	0.047527411053927	0.0414359707090552	0.0488518652662079	0.0462091503267974	0.0481247114418403	0.0396178228346967	0.0498304537380914	0.0448959117130675	0.0434102579236263	0.0435885608856089	0.0359464832625866	0.0418463347706782	0.0449293433083957	0.051033796317242	0.0396629156784579	0.0435770158357472	0.0477872915727805	0.0451739899242652	0.0478161747060235	0.0374377185013902	0.0463540172978521	0.047347305803417	0.0479043345426771	0.0455072867353569	0.0506225693650119	0.0113996022743187	0.0451868819487122	0.050933288045576	0.050413691488156	0.0475585458115561	0.030707421939243	0.0477064220183486	0.0460878885316184	0.0463804293559661	0.045460298175007	0.0440521532353949
"D-Glucose (Glucose) -- Consumption"	0.0467750393287887	0.0427317998577188	0.0409577089190991	0.00513383062746819	0.0483767558430961	0.0508827128124454	0.0352022211171888	0.0438728288959673	0.043098293546755	0.0498850168052362	0.0466790000902446	0.0493797480526974	0.0495247379965879	0.0461821044345316	0.0431982136722776	0.0462049616066155	0.0506381049040143	0.0438989755553302	0.0495812872156193	0.0459100834219809	0.045451308950229	0.0470712680153378	0.042147524735843	0.0475277950417789	0.051971451971452	0.0438626867049888	0.0396785217061131	0.0507860576364861	0.0479311356744596	0.0470818889583452	0.0478406802416648	0.044360600107162	0.0491416153567548	0.0470588235294118	0.049808533174004	0.0410957128226402	0.0501211044727919	0.0454532787113675	0.044089004308564	0.0452317804428044	0.0395196389232174	0.0450607604860839	0.0457190357439734	0.0518934081346424	0.0424635414038452	0.0445723327420981	0.0496620099143758	0.0463750708971408	0.0483561315094792	0.0384562446665015	0.0473653227875806	0.0485232067510548	0.0485487874737445	0.0473637798199202	0.0510310794470408	0.0206145141864829	0.0456561819096039	0.0513192632505288	0.0509803921568627	0.0483093182408824	0.0373798839367526	0.0511905989073291	0.0488048057030335	0.0474288567149276	0.046751208646569	0.0449992946819015
"D-Mannose (Mannose) -- Consumption"	0.0462506554798112	0.0424709509129713	0.040464941012783	0.0023036419482229	0.0483378990110936	0.0504632057332634	0.0350157467263385	0.04361239657832	0.0427763212363737	0.0492363936552863	0.0465887555274795	0.0493797480526974	0.0489885449670973	0.0453949094725794	0.0426256727356006	0.0461311281748376	0.0504005700835691	0.0434121107617405	0.0492491637605864	0.044864975831887	0.0448104810955783	0.0464101547005157	0.0416771657511465	0.0474760030384642	0.0508248508248508	0.0434586882748113	0.039235539805088	0.0504841743492093	0.0477681046007369	0.0466840938796386	0.0477064220183486	0.0438247901410966	0.0490402028250634	0.0466666666666667	0.0496184242687597	0.040836433877387	0.0497497174228968	0.0457040938606025	0.0443546007200614	0.0445831411439114	0.0393584439310085	0.044453155625245	0.045573566084788	0.051033796317242	0.0421860019175455	0.0442533209131395	0.0478954484001803	0.045774530410703	0.0481761459083273	0.0384562446665015	0.0469577817693318	0.0475202324133638	0.0483339698300554	0.0463891209505245	0.0502630804928266	0.0202503991261239	0.0454103581205654	0.0509024100291797	0.0503683554346594	0.0477318009875545	0.0371214435072716	0.0510462838882589	0.0475834392681772	0.0470960226327176	0.0453843622649151	0.0448985349535498
"Sucrose -- Consumption"	0.0437336130047195	0.0603035333175243	0.0400591321487579	0.00458534444931988	0.0470361951390103	0.0502359727320398	0.0387452345433449	0.0429713324118036	0.0440182144335587	0.0484403561530751	0.0615919140871762	0.0494879315318781	0.0484523519376066	0.0453949094725794	0.0400778655673881	0.0484937979917307	0.0502925997106394	0.0423775230753626	0.0491068251370009	0.0426814474740123	0.0443832625258111	0.0452201507338358	0.037931092408742	0.0474069470340446	0.0491166491166491	0.0421428076736616	0.0384128591317555	0.0502287346445905	0.0453226384948971	0.0418821390009661	0.0469456254195569	0.0412796928022861	0.0487794277435712	0.0457516339869281	0.04817902827191	0.0395659670456461	0.0495720975294688	0.0450909901624725	0.0433512364988491	0.0433723477859779	0.0359464832625866	0.0417483339866719	0.0470490440565254	0.0508754467719314	0.0395619922288944	0.0433218063725803	0.047589004055881	0.0443732692756814	0.0480361571074314	0.0370523302226994	0.0461577938446212	0.0470706232275022	0.0479043345426771	0.0452984312633435	0.0502303996862643	0.0113996022743187	0.0451086652885636	0.0507325809390005	0.0502776833276663	0.0474141664982241	0.0304959706787585	0.0493145036594166	0.0459632593035719	0.0464636378765186	0.0452324904447313	0.0416742236462931
"Cellobiose -- Consumption"	0.0462506554798112	0.0412615603509604	0.0405229137076437	0.00322509872751207	0.0470361951390103	0.0505855619646915	0.0332131609481187	0.04361239657832	0.0418564003495699	0.0492363936552863	0.046633877808862	0.0493557072795461	0.0489885449670973	0.0453949094725794	0.0407649146914004	0.0458357944477259	0.0504437582327409	0.0433512526625418	0.0492491637605864	0.0439131814194801	0.0449054185555266	0.0461457093745868	0.0393253708276638	0.0473206270285201	0.0504036504036504	0.0429161760971443	0.0394253891912416	0.0505770615145252	0.0476376797417588	0.0467693356822186	0.0472141418661893	0.0417931773530988	0.0490112278160087	0.0466666666666667	0.0495641074386899	0.0400585970416272	0.0498304537380914	0.0452303319120475	0.043941450746621	0.0437471171586716	0.0361882757509	0.0420227361818895	0.0452618453865337	0.051033796317242	0.0422364636423273	0.0440619138157643	0.0480216313654799	0.044806992960331	0.0481761459083273	0.0381534395903873	0.0469275935457578	0.047347305803417	0.0479520717968302	0.046690801076766	0.0504755057354816	0.0117076996330841	0.0454327057377507	0.050933288045576	0.0503683554346594	0.0476162975368889	0.0309188731997275	0.0510875167508504	0.0484059921732845	0.0462306540189715	0.0455109221150682	0.0433871390282732
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0439433665443104	0.0424235238321081	0.0403200092756312	0.00669153137340939	0.0483378990110936	0.0498339451144905	0.0342698491629372	0.0434721637918945	0.0422243687042914	0.0476738015213161	0.0462277772764191	0.0494158092124243	0.0487204484523519	0.0453949094725794	0.041795488377419	0.0459686946249262	0.0503573819343972	0.0433106805964094	0.0491542713448628	0.0437452176996435	0.0436237628462251	0.0454845960597646	0.0403668800080633	0.0472860990263103	0.0498420498420498	0.04314703234296	0.0389824072902164	0.0504377307665513	0.0428445661743128	0.0396658521338865	0.0473036473484001	0.043311305590284	0.0487504527345165	0.0457516339869281	0.047934602536596	0.0406290107211844	0.0498304537380914	0.0448959117130675	0.0436758543351237	0.0443236854243542	0.0393584439310085	0.0443355546844375	0.0454488778054863	0.0508754467719314	0.0393349144673765	0.0434366506310054	0.0477872915727805	0.0455409868881994	0.0477361811055116	0.0374377185013902	0.0460823232856863	0.0474510617693851	0.0482862325759022	0.0454144620811287	0.0502957612993889	0.0199423017673585	0.0451310129057489	0.0508406539963873	0.0502776833276663	0.0476162975368889	0.0369569814157837	0.0476033398618699	0.0451905580896832	0.0468963221833916	0.0452831143847926	0.0430244040062068
"D-Xylose (Xylose) -- Consumption"	0.0439433665443104	0.0424235238321081	0.0403200092756312	0.00513383062746819	0.0482990421790911	0.0497989861912253	0.0342698491629372	0.0434721637918945	0.0420633825491008	0.0475263871690548	0.0461826549950365	0.0493076257332436	0.0487204484523519	0.0453949094725794	0.041795488377419	0.0459686946249262	0.0503573819343972	0.0433106805964094	0.0491542713448628	0.043670567157494	0.0435288253862768	0.0452201507338358	0.0403668800080633	0.0472860990263103	0.0498420498420498	0.04314703234296	0.0389824072902164	0.0503680653925644	0.0428445661743128	0.0396658521338865	0.0473036473484001	0.0432666547597785	0.0487504527345165	0.0457516339869281	0.047934602536596	0.0406290107211844	0.0496851283707412	0.0448401750132375	0.0436758543351237	0.0443236854243542	0.0393584439310085	0.0442767542140337	0.0454488778054863	0.0508754467719314	0.0393349144673765	0.0434111296846887	0.0477872915727805	0.0455409868881994	0.0476761859051276	0.0374377185013902	0.0460823232856863	0.0474510617693851	0.0482862325759022	0.0453680497540147	0.0500506552501716	0.0199423017673585	0.0451310129057489	0.0507634589553967	0.0502323472741698	0.0476162975368889	0.0369569814157837	0.0475621069992784	0.0451407063984646	0.0468963221833916	0.0452831143847926	0.0430244040062068
"Raffinose -- Consumption"	0.0439433665443104	0.0427317998577188	0.0402620365807705	0.00478279947345327	0.0470361951390103	0.0498863834993882	0.0350157467263385	0.0434721637918945	0.0426383331033531	0.0479391473553865	0.0473332731702915	0.0494398499855755	0.0487204484523519	0.0472316977171346	0.0401351196610558	0.045939161252215	0.0504005700835691	0.0435338269601379	0.0492017175527246	0.0427560980161618	0.0440035126860181	0.0466746000264445	0.0378303011977356	0.0476659070506181	0.0491166491166491	0.0436664588960454	0.0391089735476522	0.0504377307665513	0.0436271153281816	0.0404330283571063	0.0472141418661893	0.0412796928022861	0.048982252806954	0.0457516339869281	0.0483419787621194	0.0411994244007415	0.0500080736315195	0.0460942507594125	0.0446792185563359	0.0445831411439114	0.0359464832625866	0.0418463347706782	0.0456774729842062	0.0509433108627788	0.0413533834586466	0.0435132134699555	0.0477872915727805	0.044806992960331	0.0479961603071754	0.0390067993503455	0.0462936408507041	0.0472089645154596	0.0479043345426771	0.0457625545344844	0.0505572077518873	0.0115116376775061	0.0451868819487122	0.0508406539963873	0.0502776833276663	0.0474719182235569	0.0311068298757136	0.0478919699000103	0.0455145940826043	0.0470128141121651	0.0453843622649151	0.0417749833746448
"Maltose -- Consumption"	0.0437336130047195	0.040882143704055	0.0403779819704919	0.00175515577007459	0.0469973383070078	0.0500436986540815	0.0338969003812365	0.0430714986878218	0.0422243687042914	0.0480570788371956	0.0461826549950365	0.0494638907587268	0.0488179380940775	0.0467069010758331	0.0400778655673881	0.0457028942705257	0.0504437582327409	0.0424586672076275	0.0492017175527246	0.0430547001847601	0.0442408563358887	0.0466746000264445	0.0381662719010902	0.047182515019681	0.0495144495144495	0.0422697786088603	0.039235539805088	0.0504841743492093	0.0428445661743128	0.0399215775416264	0.0472141418661893	0.0414359707090552	0.0488228902571532	0.0462091503267974	0.0480432361967356	0.0396178228346967	0.0497981592120136	0.0448959117130675	0.0434102579236263	0.0435885608856089	0.0359464832625866	0.0418855350842807	0.0449293433083957	0.0510790390444736	0.0396629156784579	0.0435770158357472	0.0477872915727805	0.0451739899242652	0.0478161747060235	0.0374377185013902	0.0463540172978521	0.047347305803417	0.0479043345426771	0.0455072867353569	0.0505898885584496	0.0116516819314904	0.0451868819487122	0.0507943369717929	0.0503683554346594	0.0475585458115561	0.0308014002772361	0.0477064220183486	0.0460878885316184	0.0463804293559661	0.0466246487964158	0.0418152872659855
