"Taxa"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"franc_37"	"grogu_37"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"Acetate -- Production"	0.0500747814081914	0.0507764761989925	0.0505166014645401	0.0490312965722802	0.0459645313065509	0.0494830805665619	0.0475543762144544	0.0454545454545455	0.0494595479855879	0.0575294324371815	0.0389188390813086	0.0595149427427614	0.0496887505558026	0.047899001863381	0.035318020692239	0.0457429048414023	0.0398444803893926	0.0516688852733817	0.0464863045565686	0.0516640746500778	0.0501918649270913	0.0443932285236096	0.0480441140628808	0.036739925684823	0.0476497993449882	0.0448739065187951	0.0514403767139098	0.0492246407739366
"D-Glucose (Glucose) -- Consumption"	0.0500747814081914	0.0466779933828132	0.0500752332229913	0.0459678754760722	0.0448787549764748	0.0481623172564558	0.0491632017717975	0.0413752913752914	0.048149361283983	0.0462133192760499	0.0402481352928144	0.0375197840052137	0.0481325033348155	0.0484479047797888	0.0268451540390213	0.0445242070116861	0.0395180079243771	0.0466153922003648	0.0466347914748711	0.049642301710731	0.0464313123561013	0.0433506187066151	0.0384170119424811	0.0332690036581502	0.048906776142811	0.0357234361846199	0.0526291491620885	0.0480153649167734
"D-Mannose (Mannose) -- Consumption"	0.0498590658076392	0.0463799219052729	0.0500752332229913	0.0454876635204504	0.0448787549764748	0.0478435123195336	0.0485572804579929	0.0402097902097902	0.048149361283983	0.0435072922157793	0.0401004357137582	0.037100828600689	0.0469097376611827	0.0479712259313294	0.0268163347646906	0.044440734557596	0.0393547716918694	0.0452102746142089	0.0464863045565686	0.0490824261275272	0.0464696853415196	0.0427470024967761	0.038142822325128	0.032952156004263	0.0483417131786522	0.0356502324219465	0.0523636951202622	0.0474462939251672
"Cellobiose -- Consumption"	0.0498590658076392	0.0457539718024382	0.0500150466445983	0.0451564828614009	0.0448787549764748	0.0475930227262376	0.0488080065188776	0.0402097902097902	0.048149361283983	0.0409418379898085	0.0402481352928144	0.0340052136672563	0.0464650955980436	0.0481012292536365	0.02678751549036	0.0442904841402337	0.0393844510068708	0.0429423655277819	0.0465259010681159	0.0487402799377916	0.0462586339217191	0.0421982604878316	0.0357665123080673	0.0319872108765158	0.0487222657871673	0.0355770286592731	0.0523983195605004	0.0472328923033148
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0498159226875288	0.0449789859608334	0.0499347978734076	0.0451233647954959	0.0441549040897575	0.0474563920389853	0.0468857733854286	0.0402097902097902	0.048149361283983	0.0434721490072043	0.0387711395022524	0.0364723954939019	0.0466874166296132	0.0472923196926144	0.0264993227470532	0.0427378964941569	0.0391470164868595	0.0450377163141547	0.0461497342084162	0.0490824261275272	0.0449731389102072	0.04260981699454	0.0361016329514989	0.032692917014719	0.0463582268554823	0.0342593609311519	0.0510595078712894	0.0464978422724902
"D-Xylose (Xylose) -- Consumption"	0.0498159226875288	0.0449491788130794	0.0499347978734076	0.045090246729591	0.0441549040897575	0.0474563920389853	0.0468857733854286	0.0402097902097902	0.048149361283983	0.0434721490072043	0.0387711395022524	0.0364723954939019	0.0466874166296132	0.0472923196926144	0.0264993227470532	0.0427378964941569	0.0391470164868595	0.0449884139427107	0.0461497342084162	0.0490824261275272	0.0449731389102072	0.04260981699454	0.0361016329514989	0.032692917014719	0.0463351630610268	0.0342593609311519	0.0510595078712894	0.0464978422724902
"Raffinose -- Consumption"	0.0498159226875288	0.0442189036931056	0.0503761661149564	0.0446431528398742	0.0459645313065509	0.0475930227262376	0.0469902425774639	0.0402097902097902	0.0488044546347855	0.0409418379898085	0.0389188390813086	0.0334698817614747	0.046242774566474	0.0474512126421009	0.0266001902072106	0.0431886477462437	0.0392508940893644	0.0427944584134497	0.0462388263593977	0.0486780715396579	0.0453184957789716	0.0432957445057206	0.0341213746039483	0.0343635682806694	0.0465658010055814	0.0362358625233337	0.0510595078712894	0.0460710390287855
"Lactose -- Consumption"	0.0498159226875288	0.0443828430057528	0.0498946734878122	0.0449080973671138	0.0441549040897575	0.0473880766953591	0.046655941162951	0.0413752913752914	0.048149361283983	0.041222983658408	0.0389188390813086	0.033423331160972	0.046242774566474	0.0474801022692802	0.0207354678809188	0.0425876460767947	0.0391915354593616	0.0432135285707243	0.0462586246151714	0.0487402799377916	0.0448196469685341	0.0421982604878316	0.0345478917864977	0.0306478094305384	0.0469578855113243	0.0351744079645694	0.0511402982318453	0.0463318632332717
"Maltose -- Consumption"	0.0498159226875288	0.0444275537273838	0.0498946734878122	0.0449080973671138	0.0441549040897575	0.0473880766953591	0.046655941162951	0.0413752913752914	0.048149361283983	0.041222983658408	0.0389188390813086	0.0335862582627316	0.046242774566474	0.0474801022692802	0.0207066486065881	0.0425876460767947	0.0391915354593616	0.0441009712567175	0.0462388263593977	0.0488335925349922	0.0448196469685341	0.0421982604878316	0.0340604435778699	0.0306478094305384	0.0468540984362747	0.0345155741005088	0.051105673791607	0.0464504196898563
"Sucrose -- Consumption"	0.0497871606074551	0.0443232287102447	0.0505166014645401	0.0445272396092068	0.0441549040897575	0.0480484583504122	0.0464678966172876	0.0402097902097902	0.048149361283983	0.0406958355297839	0.0386234399231962	0.033423331160972	0.0459092930191196	0.0472345404382557	0.0213406726418629	0.0427378964941569	0.039221214774363	0.0427944584134497	0.0461695324641899	0.0486780715396579	0.0479662317728319	0.0421982604878316	0.033572995369242	0.0305181899357663	0.0465196734166705	0.0349913985578859	0.0510825908314482	0.045905059989567
