"Taxa"	"Hera_1"	"Wolverine_1"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"JarJarBinks_3"	"Goose_4"	"Korra_6"	"Hera_7"	"Iris_7"	"Korra_9"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"JarJarBinks_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Kubo_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"JarJarBinks_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Iris_48"	"JarJarBinks_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Hera_53"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Iris_60"	"Wolverine_60"	"Hamlet_67"	"Hera_67"	"JarJarBinks_68"
"Acetate -- Production"	0.0504865606955866	0.0484021527433649	0.0498614958448753	0.0355503920999129	0.0425902864259029	0.0511216973410841	0.0500008710953152	0.0494001795380974	0.0506660152601555	0.0490445702420092	0.0458763298936085	0.0451673105886975	0.0512944254981447	0.0494233608683507	0.0497778632150028	0.0458403185247276	0.0478980235627374	0.0596871868601054	0.0480897704682968	0.049088043233506	0.0512680665394055	0.0466273250168074	0.0503745740778117	0.072387327191665	0.049082139260411	0.0501307759372275	0.0504089685629916	0.0446294881588999	0.0503048356114808	0.0487752525252525	0.0596367757920818	0.0489336633770389	0.0488384541269671	0.0454054297420197	0.0500234607163339	0.0378357125574643	0.0484775156281508	0.0478520456969444	0.055758522512535	0.0391432643475119	0.047366654299394	0.0502727359724393	0.0535073409461664	0.04950108305813	0.0534516384834651	0.0312038844194792	0.0502000212411937	0.0483929253611143	0.0501359591961513	0.0505043845190216	0.0493491466589529	0.0554707280774657	0.0488768663643355	0.0530695878319805	0.0481113549728543	0.0489747651665588	0.0485918785742546	0.0512221755564889	0.0555094945172506	0.0492844786916182	0.0510046163410537	0.0519180446523022	0.0517443655449213	0.0478829064296916	0.0497620030863527	0.0508058448501168	0.0524419247123261	0.0473551871856957	0.0542241895397565	0.0525808596984133	0.0512413524602438	0.0482542297699766	0.0503165266589619	0.0520142069352276	0.0442988991694678	0.0401723482448359	0.0510068984739739	0.0476174998374829	0.0483321020628516	0.0504096342391548	0.0489611925643257	0.050654186649666	0.046654069199192	0.0501534200450756	0.0422874927056993	0.0506106228999742	0.0500515564473428	0.0529422180251431	0.0459394009283017	0.0531943474289399	0.0516160723057275	0.0480673316708229	0.052051757679953	0.0470644583932038	0.0439152087855957	0.0495358269490762	0.048971563823049	0.0490779179307041	0.0480022044640397	0.0473546011529291	0.0500553480005535	0.0498233384262796	0.0472566987588447	0.0516006670808672	0.051735741125007	0.0460656673644617	0.0514820592823713	0.0509457469702118	0.0485434092875685	0.0537321147475507	0.0489021750335017	0.0475098459544344	0.047808301183983	0.0481433669982535	0.0500080269706213	0.0457429048414023	0.0398444803893926	0.0516332462925555	0.0465238468172851	0.0516201256297033	0.0501812740979456	0.0443834864901934	0.048077508987874	0.036738570462362	0.0476355327840476	0.0448689796515883	0.0514403767139098	0.0492223065250379
"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"	0.0445105455132778	0.0453251587475367	0.0310731061062267	0.0225384838803369	0.0338729763387298	0.0350254978909152	0.0767609191797766	0.0264954707434509	0.0433233227479775	0.0375250290460534	0.0378369730421566	0.0398467683845197	0.0453531518778285	0.0418013488167924	0.0463069759494212	0.0202308605755798	0.0348719929612223	0.0903803424388969	0.0319475976840436	0.0441502879016952	0.0448180600182592	0.0379323224023306	0.0400218452077076	0.0550739720195367	0.0455838442375307	0.044463818657367	0.037682598583636	0.0337356760886173	0.0407282648033184	0.0366161616161616	0.0368364173124572	0.0469879908769578	0.0421582271705385	0.0378416100130566	0.0421771544757833	0.109787079603194	0.0391611211937891	0.0420354712085061	0.0552042127541636	0.0994238914426802	0.0552463737389799	0.0424574946569269	0.05868406742795	0.0422037569688576	0.056837909085064	0.173061360498881	0.0466598222820122	0.0445830278876235	0.0417370597415971	0.0400870310542625	0.0471121396200945	0.0640136067569918	0.0403903784443207	0.043722909606746	0.0376718262677602	0.0459329004811947	0.0340610725461281	0.0464846703065939	0.0690291521797272	0.0324893851234471	0.0298673297972249	0.0532542731473749	0.0373880827415869	0.0349189754312598	0.0413940750722685	0.0471627133409892	0.113435991063492	0.0448174706649283	0.030876403679045	0.0369993349349186	0.034081039801144	0.0361193840694506	0.0448657133493178	0.0327367043648939	0.0349886220558848	0.0376378152325434	0.0288946182612129	0.0326659299226419	0.0228732170256294	0.0379639163719389	0.0454352725893196	0.0354550328180014	0.0321887013748615	0.037608276536237	0.0357388316151203	0.0308865339881106	0.0331354680489368	0.0329929764504515	0.0354167267275925	0.0726183439901134	0.0510855683269476	0.0332086450540316	0.0314210740623445	0.0233683732889662	0.0658536585365854	0.042000901306895	0.0383038303830383	0.0388392144339773	0.0280793607054285	0.0474300546283162	0.035976200359762	0.0385313216195569	0.0309940842129683	0.0297733887054053	0.144187089899613	0.0692944060719363	0.0363911586166417	0.0384641522256201	0.0401211421978656	0.0686041867349576	0.0399958767137409	0.0353706565631387	0.0416056937608088	0.0377907712557268	0.0486233745384492	0.0381803005008347	0.0998412156647425	0.0413854264176972	0.0647646049983643	0.0361340879407923	0.0400337611018396	0.0390344260046633	0.0525562122966303	0.0233987135024679	0.0432966373560433	0.0233494363929147	0.0306195466506625	0.0378177162367223
"D-Glucose (Glucose) -- Consumption"	0.0502846682907789	0.0492434282553329	0.041310369745875	0.0434359570142318	0.0361145703611457	0.0507859226459046	0.0207146465966306	0.0461086477516934	0.0503786300346299	0.0484265691048872	0.0463562914966803	0.0435957042760788	0.0482916157261437	0.0392274232810567	0.0492972788243838	0.0289885442861134	0.0449365866220305	0.0259007537141114	0.0420826227228782	0.0475439894489658	0.0468692569450208	0.0425786210502727	0.0487836730817177	0.0268806395534479	0.0490379688687079	0.0494284607187833	0.0502783076802467	0.0425668449197861	0.0490799253918321	0.0492171717171717	0.0365991881490854	0.0487390961270308	0.0494379616743389	0.0436495430192247	0.0499452583285543	0.0358395838374062	0.0480338777979431	0.0472143116320494	0.037088362014664	0.0371359174578959	0.0478613452059151	0.0481355067147277	0.0413268080478521	0.0470153758744363	0.0448788015173921	0.0239920026657781	0.0501292172620101	0.0483516256595046	0.0478190214155846	0.0474275290652953	0.0491370166811301	0.0382303484798701	0.049168589386586	0.0461817322089999	0.0480391590620307	0.0490119517764044	0.0471531849081034	0.0481142377152457	0.0392885798341803	0.0511086648844158	0.050515204825333	0.0432882356216246	0.0487804878048781	0.0486147412441192	0.0484796452867917	0.0461331326971053	0.028250894851899	0.0499161855094059	0.0487636739654953	0.0490112246698427	0.0502530622023899	0.0480958114187948	0.0474703741396857	0.0518973735863165	0.0438368506774786	0.0396020783170701	0.050797853808097	0.0478450237274914	0.0470818889583452	0.0478130456193759	0.0443417910780835	0.0491473115319414	0.0471101844008601	0.0498004181714503	0.0411074369448227	0.0501098475058155	0.0454532787113675	0.044089004308564	0.0452330844408568	0.0395196389232174	0.0450928381962865	0.0457190357439734	0.0518934081346424	0.0424764929794046	0.0445664666070744	0.0496620099143758	0.0463713037970464	0.0482795784767683	0.0385505648939102	0.0473546011529291	0.0485332779853328	0.0485580595874713	0.0474190929126551	0.0510611163794513	0.0206382143458023	0.0456850518868453	0.0513121514959608	0.0509457469702118	0.0482838188635708	0.0373798839367526	0.0511905989073291	0.0487810957674859	0.0474092058001862	0.046751208646569	0.0449109006261037	0.0445242070116861	0.0395180079243771	0.0466571414494753	0.0466824621058162	0.0496299521114497	0.0464406974736721	0.0433411054725003	0.0383888855036256	0.0332848858125513	0.0489164301045489	0.0357195139803835	0.0526291491620885	0.0480605083459788
"D-Mannose (Mannose) -- Consumption"	0.0502173708225097	0.0490705634241066	0.0407081777670721	0.0422596572756317	0.0361145703611457	0.0505550775429687	0.0109409571595324	0.0458366203313294	0.0500912448091044	0.0469433663757941	0.0461763058955284	0.0435957042760788	0.0482487184436866	0.0391875174587972	0.0492759195181341	0.0288924979044426	0.0447863688061976	0.0257482682002353	0.0418979545281728	0.04747965387461	0.046821830426483	0.0423844027788153	0.0486886939177718	0.0251895126479736	0.0490026325553455	0.0494284607187833	0.0500692502678548	0.0412987012987013	0.0489407310486902	0.0489141414141414	0.0348990458115873	0.0486850496686952	0.0492666738036613	0.0435032191256585	0.0497367186278088	0.0358395838374062	0.0478725549505949	0.0469504216741619	0.0368112071354783	0.0370756970512074	0.0477200049469091	0.0475613257201187	0.0409352909189777	0.0466247647455701	0.0446859126856555	0.0239920026657781	0.0500230112932347	0.0480109031212249	0.0477385721870927	0.0474275290652953	0.0486549030951692	0.0377664817642397	0.049168589386586	0.0458192134920009	0.0479236456047129	0.0489078292688369	0.0470812502247959	0.0480470390592188	0.0392217170366408	0.0497562509828589	0.0503697041044431	0.0428149880296197	0.0482865081815375	0.0484056455828542	0.0483818383359777	0.0455787431196294	0.0279866432844068	0.0491362451108214	0.0486911089744753	0.0490519429401306	0.0495942020304872	0.0473354033331221	0.0474358753212702	0.0508225067763342	0.0434787630961869	0.0393486250158408	0.0504726732167329	0.0476825066631996	0.0466840938796386	0.0477235080807629	0.0438062082970699	0.0490458872451715	0.046654069199192	0.0496103402394982	0.0408091810931725	0.0497544585164125	0.0457040938606025	0.0443546007200614	0.0445844264421829	0.0393584439310085	0.0445230376264859	0.045573566084788	0.051033796317242	0.0421991983664826	0.0442472225769378	0.0478954484001803	0.0457045704570457	0.0480999520996328	0.0384403416919262	0.0469622430809163	0.047530095475301	0.0483432009167303	0.0463751304953022	0.050292665380465	0.0202736806684987	0.0454387712836817	0.0509105512735361	0.0503341261751048	0.047706951254687	0.0371214435072716	0.0510462838882589	0.0475596988882796	0.047076626313689	0.0453843622649151	0.0448306309198908	0.044440734557596	0.0393547716918694	0.0452283588707691	0.0465238468172851	0.0490702158094409	0.0464790623621262	0.0427376217254149	0.0381146791785997	0.0329395173475702	0.0483509889450483	0.0356463182550139	0.0523636951202622	0.047491464339909
"Sucrose -- Consumption"	0.0507557505686636	0.0480909960471575	0.0417921233289173	0.0332123148417078	0.0343711083437111	0.0504081761138276	0.00442516420146692	0.0490465438916243	0.050795338611642	0.0463995253751267	0.0447164226861851	0.0968829808133063	0.0534392896210025	0.0726285965122311	0.0517429193899782	0.0277050153674211	0.0431768922079873	0.0338300004356729	0.0407790825249574	0.0468041303438736	0.0507700880947582	0.0416224695600209	0.0483443944484679	0.0251658605234215	0.04892312585028	0.0493800251864768	0.0494682102072282	0.0393735676088617	0.0486901812310348	0.048270202020202	0.0348990458115873	0.0484688638353529	0.0477250829675624	0.0422200711359236	0.0497367186278088	0.0360210500846843	0.0475902399677354	0.0463566692689149	0.0363828768676459	0.0369151093000381	0.0469603010547517	0.0474337299435389	0.0403697661772703	0.0461453783601435	0.041578259285454	0.0218260579806731	0.049952207314051	0.0475462814781163	0.0475294041930138	0.0567679831212501	0.0485391958345386	0.0376698428651501	0.0484525419683348	0.0455512648750887	0.046884024488853	0.0487293335415784	0.0472610869330648	0.0478286434271315	0.039194971917625	0.0454159459034439	0.050277112736604	0.0400033405712377	0.0467119481321396	0.0479351803450078	0.0515442630789628	0.0427671959767156	0.0190020899896702	0.0470874464518532	0.0496888776010014	0.0501649089946659	0.0490551346171124	0.0469868829605221	0.0473668776844393	0.0490933732124498	0.0421388224694182	0.0384615384615385	0.050217174180661	0.0451797438731067	0.0418821390009661	0.0469176702332453	0.0412175581888376	0.0487850819363345	0.0458069981103799	0.048171178754718	0.0395772547494002	0.0496413802016025	0.0450909901624725	0.0433512364988491	0.0433735981779918	0.0359464832625866	0.041831221141566	0.0470490440565254	0.0508754467719314	0.0395775038443117	0.0433405695313498	0.047589004055881	0.0443044304430443	0.0479402842088456	0.0370901074676219	0.0461473455467359	0.047045800470458	0.0479134835752483	0.0452847697482891	0.0502599653379549	0.0113566261006113	0.0451701015347759	0.0507251973247247	0.0502435156869408	0.047389674069801	0.0304959706787585	0.0493145036594166	0.045939478538312	0.0464447252893442	0.0452324904447313	0.0415596403917162	0.0427378964941569	0.039221214774363	0.0428142089964034	0.0462363566068224	0.0486348653523229	0.0479752930118356	0.0421890001371554	0.0336359758698434	0.0305363284454102	0.0465277296960465	0.0349143610013175	0.0510825908314482	0.0459503034901366
"Cellobiose -- Consumption"	0.0502173708225097	0.0487594067278992	0.0407081777670721	0.0408655242521057	0.0353673723536737	0.0505550775429687	0.00329274029164271	0.0458638230733658	0.0500625062865518	0.0467456060119151	0.0461363090952724	0.0435629624778993	0.0477875726572722	0.039127658725408	0.0492759195181341	0.0277224783459067	0.0448292881821498	0.0256611336208774	0.0411701445843336	0.0475118216617879	0.0468455436857519	0.0420557257040412	0.0487124387087583	0.0251658605234215	0.0489849643986643	0.0493800251864768	0.0499385893851099	0.0417876241405653	0.0488850533114334	0.0491666666666667	0.0348990458115873	0.0486850496686952	0.0493094957713307	0.0429291792355139	0.0497367186278088	0.0358395838374062	0.0478725549505949	0.0464556280031227	0.0368112071354783	0.0370355501134151	0.0477200049469091	0.0474337299435389	0.0408917890157694	0.0469443556691879	0.041578259285454	0.0235159708668539	0.0501292172620101	0.0479179787926032	0.0477385721870927	0.0474275290652953	0.0485777649214155	0.0377664817642397	0.049168589386586	0.0457561667586098	0.0479814023333718	0.0489078292688369	0.0471531849081034	0.0478958420831583	0.0392217170366408	0.0501336688158516	0.0503300220896549	0.0410611881298369	0.0468663167644335	0.0484056455828542	0.0482079593123085	0.0432027877875896	0.0193864559060225	0.0497066492829205	0.04841899025815	0.0488890698589791	0.0491749273756401	0.0473987706735948	0.0472806306384006	0.0503551733806898	0.0429127536935001	0.0393486250158408	0.0505888091422201	0.0475524930117662	0.0467693356822186	0.047231051618391	0.0418200888174778	0.0490169088775229	0.046654069199192	0.0495560322589405	0.0400700252869092	0.0498675368312225	0.0452303319120475	0.043941450746621	0.0437483783550033	0.0361882757509	0.04204735239218	0.0452618453865337	0.051033796317242	0.0422496155688321	0.0440556761588558	0.0480216313654799	0.0447711437810448	0.0480999520996328	0.0381923394874621	0.0469320616907615	0.0473571329735713	0.0479612299465241	0.046676719638093	0.0505052156567804	0.0117211597779149	0.0454611604294238	0.050941443598338	0.0503341261751048	0.0475627343524661	0.0309188731997275	0.0510875167508504	0.0483822722967247	0.0462285486231209	0.0455109221150682	0.0433055065018462	0.0442904841402337	0.0393844510068708	0.0429866482731438	0.0465734140949511	0.048728154735991	0.0462680554756287	0.0421890001371554	0.0357382243617086	0.0320041444215798	0.0487317962565487	0.0355731225296443	0.0523983195605004	0.0472780728376328
"Raffinose -- Consumption"	0.0501231543669327	0.0479642285042582	0.0426351920992412	0.0350711588730758	0.038107098381071	0.0505131057060712	0.0107318942838725	0.0462990669459481	0.0501199833316569	0.046968086421279	0.044856411487081	0.0438903804596948	0.0476910537717436	0.041003232371603	0.0493720363962578	0.0439193908913104	0.044700530054293	0.0262928593212216	0.0466558762505839	0.0472223115771866	0.0471419594266134	0.045865391798013	0.0485224803808664	0.0251658605234215	0.0489849643986643	0.0493800251864768	0.0498863250320119	0.0434835752482811	0.0487736978369199	0.0483459595959596	0.0348990458115873	0.0486418125020267	0.0479177818220747	0.0446512989059475	0.0496585162400292	0.0360210500846843	0.0480338777979431	0.0472582932916974	0.0366600317468316	0.0372563582712729	0.0467659581986184	0.0474337299435389	0.0404132680804785	0.0461808884627677	0.041578259285454	0.0217784548007807	0.0500230112932347	0.0479179787926032	0.0475937635758073	0.0477791696885783	0.0487898948992383	0.0376698428651501	0.0484525419683348	0.0455827882417842	0.047504909321936	0.048773957473393	0.0478005970578715	0.0478286434271315	0.039194971917625	0.0454159459034439	0.0502109760452904	0.0402817215077112	0.0468663167644335	0.0464715107161526	0.0484253080918951	0.0430443907654536	0.0192182958176184	0.0470408828459676	0.0483464252671299	0.0488890698589791	0.049234823754904	0.0471136176414676	0.0475911200041399	0.0490933732124498	0.0436866849175821	0.0391585350399189	0.050426218846538	0.0434895664044725	0.0404330283571063	0.047231051618391	0.0412621900872554	0.0489879305098744	0.0458069981103799	0.0483612566866701	0.0411852428191662	0.0499967691910054	0.0460942507594125	0.0446792185563359	0.0445844264421829	0.0359464832625866	0.0418705177325867	0.0456774729842062	0.0509433108627788	0.0413673145277169	0.0435065764270208	0.0477872915727805	0.0448378171150448	0.0478804087498004	0.0389914577018462	0.0462831618024326	0.0472187629721876	0.0479134835752483	0.0457487530448904	0.0505869657630555	0.0115248724132129	0.0452372689720024	0.0508333204615313	0.0502435156869408	0.0474473608306894	0.0311068298757136	0.0478919699000103	0.0455157286006281	0.0469934814420647	0.0453843622649151	0.0415997752448226	0.0431886477462437	0.0392508940893644	0.0428142089964034	0.0462859238844884	0.0486348653523229	0.0453281157085036	0.0432862433136744	0.0341234537810005	0.0343497719129096	0.0465738881580466	0.036231884057971	0.0510595078712894	0.0460688543247344
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0500693163923173	0.0478605096055225	0.0402264241840299	0.0336770258495498	0.0353673723536737	0.0505131057060712	0.00843220265161414	0.0453741737167106	0.0499906599801704	0.0467950461028848	0.0447164226861851	0.0434647370833606	0.0480342320314008	0.0390079412586296	0.0492332009056346	0.0288139145012573	0.0433485697117964	0.0256175663311985	0.0416263836536059	0.0466111236208061	0.0467151207597728	0.0423097034436394	0.04849873558988	0.0251658605234215	0.04892312585028	0.049113629758791	0.0495466067368751	0.0403208556149733	0.0488293755741767	0.0482954545454545	0.0349385840054826	0.0484688638353529	0.0476822609998929	0.0430980144973211	0.0496585162400292	0.0356883619646746	0.0476709013914096	0.0468184766952181	0.0365340522562927	0.0369151093000381	0.0467306231338669	0.0475613257201187	0.0404132680804785	0.0461098682575193	0.0446859126856555	0.0221354786499738	0.0500230112932347	0.0478457043147863	0.0475615838844105	0.0474275290652953	0.0485391958345386	0.0376698428651501	0.0482138594955844	0.0455512648750887	0.046884024488853	0.0487442081855166	0.0470812502247959	0.0479798404031919	0.039194971917625	0.0457933637364365	0.0501316120157141	0.0420911975947887	0.0482247607286199	0.0463669628855201	0.0482079593123085	0.0454203460974934	0.0274100944098782	0.0469826783386105	0.04845527275366	0.0487397695345902	0.0494444610823276	0.0471136176414676	0.0472116330015697	0.0498411066454809	0.0431668803640942	0.0390318083893043	0.050426218846538	0.0427744913215888	0.0396658521338865	0.0473205891570041	0.0432929414652652	0.048756103568686	0.0458069981103799	0.0479267928422082	0.0406406016987616	0.049819074696304	0.0448959117130675	0.0436758543351237	0.0443249632427134	0.0393584439310085	0.044365851262403	0.0454488778054863	0.0508754467719314	0.039275000630215	0.043429957859788	0.0477872915727805	0.0455045504550455	0.0476608653999681	0.03744833287407	0.0460869827664262	0.0474263179742632	0.0482954545454545	0.0454007655724394	0.0503253654229751	0.0199371880432954	0.0451701015347759	0.0508333204615313	0.0502435156869408	0.0475627343524661	0.0369569814157837	0.0476033398618699	0.0451667580637121	0.0468937075961155	0.0452831143847926	0.0429041579707818	0.0427378964941569	0.0391470164868595	0.0450559195940287	0.046216529695756	0.0490702158094409	0.0449828317124168	0.042627897407763	0.0360733654256292	0.0326804909988344	0.0463777146945464	0.0342555994729908	0.0510595078712894	0.0465430576631259
"D-Xylose (Xylose) -- Consumption"	0.0500693163923173	0.0478605096055225	0.0402264241840299	0.0336770258495498	0.0353673723536737	0.0505131057060712	0.00698618442830014	0.0453741737167106	0.0499619214576179	0.0467950461028848	0.0446764258859291	0.0434647370833606	0.0480342320314008	0.0390079412586296	0.0492332009056346	0.0288139145012573	0.0433056503358441	0.0256175663311985	0.0416263836536059	0.0466111236208061	0.0467151207597728	0.0423097034436394	0.04849873558988	0.0251658605234215	0.0489054576935988	0.049113629758791	0.0495466067368751	0.0403208556149733	0.0488293755741767	0.0482954545454545	0.0348726870156571	0.0484688638353529	0.0476822609998929	0.0430980144973211	0.0496063813148428	0.0356883619646746	0.0476709013914096	0.0468184766952181	0.0365340522562927	0.0369151093000381	0.0467306231338669	0.0475613257201187	0.0403697661772703	0.0461098682575193	0.0446859126856555	0.0221354786499738	0.049952207314051	0.0478457043147863	0.0475615838844105	0.0474275290652953	0.0485391958345386	0.0376698428651501	0.0482138594955844	0.0455039798250453	0.046884024488853	0.0487442081855166	0.0470812502247959	0.0479798404031919	0.039194971917625	0.0457933637364365	0.0501316120157141	0.0420633595011414	0.0482247607286199	0.0463669628855201	0.0482079593123085	0.0454203460974934	0.0274100944098782	0.0469826783386105	0.048437131505905	0.0487397695345902	0.0494444610823276	0.0471136176414676	0.0472116330015697	0.0498411066454809	0.0431668803640942	0.0390318083893043	0.0503797644763431	0.0427744913215888	0.0396658521338865	0.0473205891570041	0.0432483095668474	0.048756103568686	0.0458069981103799	0.0479267928422082	0.0406406016987616	0.0496736882915482	0.0448401750132375	0.0436758543351237	0.0443249632427134	0.0393584439310085	0.0443069063758719	0.0454488778054863	0.0508754467719314	0.039275000630215	0.0434044183373771	0.0477872915727805	0.0455045504550455	0.0476209484272713	0.03744833287407	0.0460869827664262	0.0474263179742632	0.0482954545454545	0.0453543672427793	0.0500801151041496	0.0199371880432954	0.0451701015347759	0.0507715358119275	0.0501982104428588	0.0475627343524661	0.0369569814157837	0.0475621069992784	0.0451169051298669	0.0468937075961155	0.0452831143847926	0.0429041579707818	0.0427378964941569	0.0391470164868595	0.0450066512292457	0.046216529695756	0.0490702158094409	0.0449828317124168	0.042627897407763	0.0360733654256292	0.0326804909988344	0.0463430958480463	0.0342555994729908	0.0510595078712894	0.0465430576631259
"Lactose -- Consumption"	0.0500693163923173	0.0479181312159312	0.0402264241840299	0.034650014522219	0.0353673723536737	0.0505131057060712	0.0146518232024948	0.046081445009657	0.0500912448091044	0.0467950461028848	0.0447964162866971	0.0434156243860913	0.047669605130515	0.0390079412586296	0.0492972788243838	0.0271462000558815	0.0434987875276293	0.0256611336208774	0.0408008081949227	0.0466915430887509	0.0467625472783107	0.0416224695600209	0.0485224803808664	0.0251658605234215	0.0489407940069613	0.0491620652910975	0.0495466067368751	0.040427807486631	0.0486901812310348	0.0485984848484848	0.0349649428014128	0.0485229102936885	0.0478321378867359	0.0420512358741164	0.0497367186278088	0.0356883619646746	0.0476709013914096	0.0461367609706752	0.0368112071354783	0.0369151093000381	0.0468012932633699	0.0474975278318288	0.0404567699836868	0.0464649692837612	0.041578259285454	0.0217308516208883	0.0502000212411937	0.0475979061051284	0.0475937635758073	0.0474714841432057	0.0485777649214155	0.0376698428651501	0.0482669000450845	0.0457246433919143	0.0470428554926649	0.0487590828294548	0.0471531849081034	0.0478286434271315	0.039194971917625	0.0468941657493317	0.0502506580600786	0.0403652357886532	0.0468663167644335	0.0464715107161526	0.0480884174835358	0.0432027877875896	0.0190020899896702	0.0476811324268951	0.0483645665148849	0.0486854785075397	0.0493845647030637	0.0470502503009949	0.047125385955531	0.0495607066080942	0.0422658858047152	0.0391585350399189	0.050426218846538	0.0427094844958721	0.0400068193442064	0.0474996642342302	0.0414630336301355	0.0488575278554559	0.0461979539975239	0.0481168707741603	0.0396291253322959	0.049819074696304	0.0448959117130675	0.0434102579236263	0.043589817510883	0.0359464832625866	0.0419098143236074	0.0449293433083957	0.051033796317242	0.0396783382490106	0.0435704252330481	0.0477872915727805	0.0452045204520452	0.0477007823726649	0.03744833287407	0.0463586152778197	0.0473571329735713	0.0479134835752483	0.0454935622317597	0.0506523658480756	0.0114127082048118	0.0452372689720024	0.050941443598338	0.0504473892853098	0.0475627343524661	0.030707421939243	0.0477064220183486	0.0460641108729249	0.0463782093920447	0.045460298175007	0.043927596724996	0.0425876460767947	0.0391915354593616	0.0431837217322757	0.0463255777066212	0.048728154735991	0.0448101897143734	0.0421890001371554	0.0345195295838157	0.0306658416197781	0.0469431558540469	0.0351705460401113	0.0511402982318453	0.0463770864946889
