"Taxa"	"Ginger_2"	"Padme_5"	"Padme_6"	"Ginger_7"	"Padme_7"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_16"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ginger_24"	"Henry_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Henry_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Joans_49"	"Marshmallow_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Ivy_67"	"Franc_68"	"Grogu_70"
"Acetate -- Production"	0.0666774733884476	0.0546691504009071	0.0520311563810665	0.0589436713813969	0.0519931329824363	0.0522004054167516	0.0596823421917222	0.0517952489049461	0.0527848635185892	0.0500680792107589	0.0531708818364502	0.0522919793661474	0.0467625508819539	0.0515359950351676	0.0446213470200063	0.0463753676819433	0.0618413030223848	0.0128359582064705	0.0509334889148191	0.0503366856143419	0.0504393236074271	0.0548879571488756	0.050207193388127	0.0489953450002946	0.0474230051067468	0.0497819112504957	0.0512402327109856	0.0501180792442928	0.052000800892423	0.0514006985071987	0.0506588896089868	0.050216432621375	0.0495693234938187	0.053132523374951	0.0488157957188286	0.0490546079598043	0.0566471852747548	0.0500747814081914	0.0507885871023523	0.0505093038177735	0.0490312965722802	0.0459645313065509	0.049468194137609	0.0475276444815356	0.0442678774120318	0.0494595479855879	0.0575698962546158	0.0389408099688474	0.0595515027449521	0.0496887505558026	0.0478994385995295	0.0353054810714183	0.0472935930704287	0.0361947276346745	0.0498509180310718	0.0517842651284188	0.0509194673430564	0.0504277492611604	0.05063173325267	0.0508091446185461	0.0496941458952664	0.0504616124860915	0.0426120036125783	0.0505043526323062	0.0485278080697928	0.0462381004888448	0.0507495804056553	0.0511066343982802	0.0506668109394866	0.051165826594626	0.0483085428458602	0.0533124822291726	0.048868617462386	0.0561596115274992	0.0496050857252938	0.0465444707071608	0.0450020214271276	0.0443820224719101	0.046760343481655	0.0524325896381237	0.0543907865462636	0.0439632545931759	0.0466675138191753	0.0518536015316144	0.0498938428874735	0.0504384645920294	0.0501781850579101	0.0515615631983431	0.0345572354211663	0.0496037140048934	0.0496310522591732	0.0507423828427076	0.0495049504950495	0.0499616964969705	0.049717999019127	0.0481815880516412	0.0455244021290951	0.0492293320878094	0.0486213216781808	0.0475382723378992	0.0499285807038047	0.0479641586506786	0.05047362044278	0.0447101554087717	0.0471380471380471	0.0301657053922915	0.0505475768902879	0.0494577201746096	0.041640437387797	0.0497673990143245	0.04675597583399	0.0508089612554017	0.0487006737247353	0.0394679268399405	0.0515818194377288	0.0521146245059289	0.0505401629008622	0.0849612690183008	0.0527557727962245	0.0393878392471684	0.0517824697700645	0.0528397696539289	0.0540863946392246
"D-Glucose (Glucose) -- Consumption"	0.0286648295239639	0.027321076644799	0.0278729778310366	0.0358090438832579	0.0255815269681363	0.0382267215218721	0.0335348665409514	0.0480225085526105	0.0400104444935425	0.0373360724267253	0.0443905353295798	0.0489450166485517	0.043842605156038	0.0514756585298579	0.0467162459411333	0.0427459910807477	0.0409952675434776	0.0051256215363722	0.0483858420847919	0.0508963707914298	0.0351873342175066	0.0438742552209762	0.042995489823485	0.0499086677272995	0.0465681312006479	0.0493853862513969	0.0494145712129695	0.0461821044345316	0.0431623809387603	0.046154526297175	0.0506588896089868	0.0439165159428537	0.0495693234938187	0.0459100834219809	0.0454459158004651	0.0470712680153378	0.0421704957678355	0.0500747814081914	0.0466742196118184	0.0500080205325634	0.0459678754760722	0.0448787549764748	0.0481472202610062	0.0491550177341957	0.0414301929625426	0.048149361283983	0.0462458238086865	0.0402759234534935	0.0375220991904718	0.0481325033348155	0.0484189865927754	0.0268575382752357	0.0478052702752092	0.038094950835495	0.05051786368154	0.0500296098085232	0.0507609384908053	0.0499922227407062	0.0505153919538358	0.0460056511687644	0.0520523667962497	0.0505367936727513	0.0419278031692165	0.0505043526323062	0.049618320610687	0.0471569816591318	0.0507495804056553	0.0517691278071468	0.0506668109394866	0.0509482539797658	0.04874731253565	0.0502795943512463	0.0494313469968013	0.0398325064217601	0.0484010787902138	0.0418171817627733	0.0450525571053164	0.0449438202247191	0.0461163153786105	0.0501890398437825	0.0452558565632771	0.0218635170603675	0.0463815998475125	0.0520400805589398	0.0496284501061571	0.0481408860713813	0.050114547537228	0.0488908268381752	0.0352539538772382	0.0482025972939627	0.0497032533826226	0.0509228231169769	0.0495049504950495	0.0500174106831952	0.0497793035801864	0.045565775040081	0.0476047679736112	0.0491359177954227	0.0491449978851538	0.0395233450659429	0.0499935073367095	0.0474370799841876	0.0445809009802842	0.0449351525963068	0.0481000481000481	0.0625286093564039	0.0509148140861696	0.0460825345393997	0.0362546921265534	0.0488001473907236	0.0475439978986078	0.0508089612554017	0.0489894128970164	0.0376593448265803	0.0515127443531118	0.0519367588932806	0.0482227447772893	0.0306453106193871	0.0523512556885218	0.0458635492711795	0.0458617881085145	0.0487921549868453	0.036436520282398
"D-Mannose (Mannose) -- Consumption"	0.0285297455017021	0.0267811344186172	0.0276572798082684	0.0352745805417168	0.025619257833871	0.0375790142855429	0.0331460564940998	0.046679668766186	0.039769417719485	0.0367388863674366	0.0442819124861958	0.0487897451822715	0.0429199457259159	0.0514067025237898	0.0462972661569079	0.0424613340924186	0.0404726649827251	0.00229995838170547	0.0483858420847919	0.0504591167468299	0.0350008289124668	0.0435933957911208	0.042697863962087	0.0492310411879088	0.0464781444736901	0.0493853862513969	0.0489277281468319	0.0453949094725794	0.042590314922342	0.046080844103214	0.0504212572909916	0.0434694250817973	0.0492608499632205	0.044864975831887	0.0448051639850017	0.0464101547005157	0.041683460970039	0.0498590658076392	0.0463760770400405	0.0500080205325634	0.0454876635204504	0.0448787549764748	0.0478511399093539	0.0485499687043605	0.0402951191827469	0.048149361283983	0.0435730613680324	0.0401275775107551	0.0370568530752768	0.0469097376611827	0.0478994385995295	0.0268142894213303	0.0474763349292789	0.0377631658321771	0.0496809122770309	0.0493058144890663	0.0503487634749525	0.0490900606626225	0.0504223189147684	0.0453120986385821	0.0507517722387377	0.0499052717048086	0.0416267549741372	0.0503661738289346	0.0481188658669575	0.0467159186973941	0.0506926862572184	0.0514446412395387	0.0503151459409744	0.0501504877252783	0.0474310034662806	0.04961615012795	0.0490611301978439	0.0392695027974243	0.0480639568483914	0.0416536591892254	0.0437133616333131	0.0438202247191011	0.0459406713505074	0.0470729984627529	0.044418269859966	0.0218110236220472	0.0450155664273461	0.0515428031527388	0.0490386883698986	0.0479845063814943	0.0487463408425608	0.0483457786014062	0.0349404305720058	0.047784353499655	0.0494144488888247	0.050484611022323	0.0489838457529964	0.0494881259140609	0.04944212849436	0.0454251399319326	0.0464052777569533	0.0485754320411023	0.0490644323148502	0.0396929731563547	0.0495227892481496	0.0471735406509422	0.0437823548848992	0.0445012294489176	0.0481000481000481	0.0617046598919711	0.0503901895206243	0.0452724899869493	0.0360448578955958	0.0483395513794851	0.0470186498555293	0.0504844918366444	0.048893166506256	0.0376010034713106	0.0506147682530911	0.0509683794466403	0.048069386224994	0.030151529179397	0.0515590763526041	0.0441900511750867	0.0450942923375728	0.048166614538296	0.036316860117267
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"	0.0656778516237099	0.0505925865932345	0.0443379269023367	0.0562904426501747	0.0456166166732696	0.0502212999724125	0.0591185676237874	0.0476708124180708	0.0524032377929982	0.0397725915486229	0.0524105219327625	0.0516708935010265	0.0436472184531886	0.0505016549441456	0.0219964386718341	0.0440032261125344	0.0586766541822722	0.00972553829978315	0.0509334889148191	0.0489374726716222	0.0272504973474801	0.0516781350933858	0.0388974106550058	0.0443403452949149	0.0461856876110774	0.0497819112504957	0.0482704900075461	0.0419837313041197	0.0418466291009983	0.0491018140556153	0.0478289047310434	0.044058772125917	0.0456778112616567	0.046824552563313	0.0433100764155869	0.0432368107893693	0.051726454386672	0.0461487574781408	0.0463760770400405	0.049346326596086	0.0397085610200364	0.0361925443358668	0.0435921379278931	0.0454829960358857	0.0227014755959137	0.0422535211267606	0.0546509583260067	0.00608218365227711	0.050642039638969	0.0410182303245887	0.0393413285996738	0.0217541735144019	0.0414458535872227	0.0358026180852989	0.044933828529581	0.0489329502335885	0.0483195941661382	0.0439259604915228	0.0483979803150522	0.0426920113023375	0.0470214955408187	0.0467626981024269	0.0391362653603	0.0478098659665607	0.0426663031624864	0.0341456242878671	0.0477057434642847	0.0508632694725741	0.0484486163334866	0.0487000036262102	0.0418366899214602	0.0505639275898019	0.0467361687003909	0.0495091312150322	0.0468117896359083	0.0376399232930473	0.0291590863149383	0.0280898876404494	0.0424668227946917	0.0459512235655823	0.0505431226279283	0.0418372703412073	0.0328801067412161	0.0504114970536314	0.0439225053078556	0.0485979959341281	0.0449280896016291	0.0489453316618521	0.0348010868807915	0.0466760074447395	0.0451401423806154	0.0483966592772078	0.044368346609097	0.0459363465422383	0.045150809220206	0.0435406294827441	0.0366969038158782	0.0404950957496497	0.0447138915184596	0.0370637377549722	0.0458868978054798	0.0390038213203321	0.0416345412490362	0.0300049820805811	0.0411255411255411	0.0565320882541426	0.0467702800183619	0.0384321137662571	0.0398451889673824	0.0433651144581088	0.0379563961124245	0.0499240446587909	0.0449149823548284	0.03771768618185	0.047851764868412	0.0493478260869565	0.0492792148042122	0.0811344628583773	0.0519298837013315	0.0259270936916398	0.0509053317461312	0.0505399885930859	0.0506760799329903
"Lactose -- Consumption"	0.0128059653104231	0.0118787289759996	0.0127022168963451	0.0234972990513276	0.0137906314260381	0.0328651449544806	0.0177686191411186	0.045528663234965	0.0326189567557796	0.0330363327998471	0.0407697738834477	0.0474095543708918	0.0421058344640434	0.0514067025237898	0.0436786425054991	0.0408957206566088	0.0402694306535435	0.144963091144065	0.0470439517697394	0.050074333187582	0.0340475795755968	0.0430717997071037	0.042171295130383	0.0484061045312592	0.046118197565859	0.0494935294329692	0.0487573330736837	0.0467069010758331	0.0399874145476388	0.0456534873782402	0.0504860661049903	0.0424736318003536	0.0492133924969746	0.0428867364649236	0.0446627746926764	0.0466746000264445	0.0380223028348784	0.0498159226875288	0.044393428937718	0.0498877125441129	0.0449080973671138	0.0441549040897575	0.0473956316760425	0.046651366576257	0.0414301929625426	0.048149361283983	0.0412871461227361	0.0389408099688474	0.0334279333767563	0.046242774566474	0.0474809138271926	0.0207306173053081	0.0455027228536969	0.0341135307956808	0.0494193649631218	0.0492838812975676	0.0504121750158529	0.0489034064395707	0.0504688554343021	0.0450295402003596	0.0499228218614224	0.0499954891288004	0.0405320342647582	0.0503661738289346	0.0478462377317339	0.0453559745653692	0.0504366625892527	0.0505117423576653	0.0503151459409744	0.0503680603401385	0.0466631565091483	0.048988247559473	0.0481429925364293	0.0326190224849572	0.0480639568483914	0.040494135485885	0.0433596118859915	0.0438202247191011	0.0447111631537861	0.0465744318417882	0.0415128909828556	0.0426771653543307	0.045110871084567	0.0513811879957234	0.0489649681528662	0.0475033381049187	0.0495418098510882	0.0475009538344143	0.0299240576882882	0.0477425291202242	0.0493422477653752	0.0504072794762077	0.0491327328221544	0.0494045546347239	0.0493808239333006	0.044862599499339	0.0451495614363895	0.0483886034563288	0.0482184938266632	0.0385903905686782	0.0494903259316972	0.0469100013176967	0.0414417887432537	0.04438873085515	0.0471380471380471	0.0284262565229333	0.0501541084661289	0.0444624454344989	0.0357417640064349	0.0478328957671227	0.0458366167586026	0.0506762237659101	0.048251523901187	0.0376010034713106	0.0507011121088623	0.0510079051383399	0.0480353065467062	0.0255531895194889	0.0515253665936289	0.0400911935194393	0.0428544577407431	0.0481298180413225	0.0336245064018188
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0284757118927973	0.0265921546394536	0.0272977831036549	0.0352173166122659	0.0249966985492482	0.0375550251286419	0.0331460564940998	0.0459762764971065	0.0391869363488461	0.0366433365979505	0.0441551858355812	0.0487034832565602	0.0432890094979647	0.0513463660184802	0.0438881323976118	0.0424138912610305	0.0403565310803356	0.0066808314897159	0.0483469467133411	0.04984696108439	0.0342755305039788	0.04347302746404	0.0421255065363218	0.0476695539449649	0.046118197565859	0.0493853862513969	0.0486599644604562	0.0453949094725794	0.0417608191985355	0.0458892703989154	0.0503780514149924	0.0433881358343325	0.0491659350307287	0.0437452176996435	0.0436185865489582	0.0454845960597646	0.0403735053069999	0.0498159226875288	0.0449897140812737	0.0499278152069297	0.0451233647954959	0.0441549040897575	0.0474411824993737	0.0468808679324014	0.0402951191827469	0.048149361283983	0.0435027255143309	0.0387924640261089	0.0364752954312831	0.0466874166296132	0.0472644354966735	0.0264971311593576	0.0456854647125471	0.0327562285093805	0.0492101271119946	0.0489768166165859	0.0503487634749525	0.0489656245139213	0.0504223189147684	0.0449267916773696	0.0490652869883375	0.0499052717048086	0.0405867703002272	0.0503661738289346	0.0468920392584515	0.0452457088249348	0.050322874292379	0.0504711815367143	0.050261043633511	0.0500417014178482	0.0469483568075117	0.0495924556914037	0.0481133751925127	0.0390231887117773	0.0480639568483914	0.0416090621237123	0.0434354154032747	0.0429775280898876	0.0458040593286495	0.0467821679338568	0.0443135715220521	0.0428871391076115	0.0448249571129043	0.0513563241254134	0.0490092002830856	0.0478762435192648	0.0489054346442663	0.0478552351883142	0.0296105343830558	0.0477007047407934	0.0493422477653752	0.0503428365211115	0.0488349586838383	0.0493627689950554	0.0493195193722413	0.0445532022614125	0.0446810105705075	0.0483886034563288	0.0482587766118149	0.0393113099529282	0.0494578626152448	0.0469100013176967	0.0433417777288248	0.0443565883997879	0.0471380471380471	0.0272818822667765	0.0500360679388812	0.0443724404842266	0.0357417640064349	0.0475795679609415	0.0455739427370633	0.0504844918366444	0.0481873596406801	0.0376010034713106	0.0505456931684741	0.0509683794466403	0.048069386224994	0.030151529179397	0.0514916568346536	0.0384904562101332	0.0426821627717562	0.048093021544349	0.0361373698695704
"D-Xylose (Xylose) -- Consumption"	0.0284757118927973	0.0265921546394536	0.0272977831036549	0.0352173166122659	0.0249966985492482	0.0374710630794881	0.0331460564940998	0.0459762764971065	0.0391869363488461	0.0366433365979505	0.0441189782211199	0.0486689784862757	0.0427571234735414	0.0513463660184802	0.0438881323976118	0.0424138912610305	0.0403565310803356	0.0051256215363722	0.0483469467133411	0.049794490599038	0.0342755305039788	0.04347302746404	0.0419652464571075	0.0475517058511579	0.0460732042023802	0.0492772430698244	0.0486599644604562	0.0453949094725794	0.0417608191985355	0.0458892703989154	0.0503780514149924	0.0433881358343325	0.0491659350307287	0.043670567157494	0.0435236603540747	0.0452201507338358	0.0403735053069999	0.0498159226875288	0.0449598998240959	0.0498877125441129	0.045090246729591	0.0441549040897575	0.0474411824993737	0.0468808679324014	0.0402951191827469	0.048149361283983	0.0435027255143309	0.0387924640261089	0.0364752954312831	0.0466874166296132	0.0472355717192709	0.0264971311593576	0.0456854647125471	0.0327562285093805	0.0492101271119946	0.0489768166165859	0.050285351934052	0.0489656245139213	0.0503525141354678	0.0449267916773696	0.0490652869883375	0.0498601629928127	0.0405867703002272	0.0503661738289346	0.0468920392584515	0.0452457088249348	0.0502375330697238	0.0504441409894136	0.050261043633511	0.0499691772128948	0.0469483568075117	0.0495924556914037	0.0480837578485961	0.0390231887117773	0.0480639568483914	0.0415793307467035	0.0434354154032747	0.0429775280898876	0.0458040593286495	0.0466990734970294	0.0443135715220521	0.0217847769028871	0.0448249571129043	0.0513563241254134	0.0490092002830856	0.0478762435192648	0.0486827033218786	0.0478007303646373	0.0296105343830558	0.0477007047407934	0.0493422477653752	0.0503428365211115	0.0488349586838383	0.0493627689950554	0.0493195193722413	0.0443000590667454	0.0446810105705075	0.0483886034563288	0.0482587766118149	0.0392264959077223	0.0494578626152448	0.0469100013176967	0.0433417777288248	0.0443565883997879	0.0471380471380471	0.0270072324452989	0.050009836710604	0.0443724404842266	0.0357417640064349	0.0475335083598176	0.0455739427370633	0.0504549946167574	0.0481873596406801	0.0376010034713106	0.0505456931684741	0.0509288537549407	0.048069386224994	0.030151529179397	0.0514410921961908	0.0384176954233465	0.0426821627717562	0.048093021544349	0.0361373698695704
"Cellobiose -- Consumption"	0.0128599989193278	0.0129586134283632	0.0141641701617735	0.0234972990513276	0.0160544833701209	0.0329970853174365	0.0177102976340909	0.0463919173833808	0.0331210958683994	0.0332274323388195	0.040968915762985	0.0474440591411763	0.0419538670284939	0.0514067025237898	0.0462972661569079	0.0412515418920201	0.0405307319339198	0.00321994173438766	0.0470439517697394	0.0505815478793179	0.0331979442970822	0.0435933957911208	0.041759197783832	0.0492310411879088	0.046523137837169	0.0493613544332696	0.0489277281468319	0.0453949094725794	0.0407597036698035	0.04578611532737	0.0504860661049903	0.0434287804580649	0.0492608499632205	0.0439131814194801	0.0449000901798851	0.0461457093745868	0.0393322584979175	0.0498590658076392	0.0457499776393071	0.0499679178697466	0.0451564828614009	0.0448787549764748	0.0476006103810326	0.0487794700605049	0.0402951191827469	0.048149361283983	0.0410058027079304	0.0402759234534935	0.0339862287149902	0.0464650955980436	0.0480581893752435	0.0267854568520601	0.0473666898139688	0.0380346262894372	0.0498770727624627	0.049327747680565	0.0505072923272036	0.0489656245139213	0.0504223189147684	0.0453120986385821	0.0515664303681683	0.0499654166541365	0.0417088590273407	0.0503661738289346	0.0490730643402399	0.0467159186973941	0.0504935567376895	0.0514446412395387	0.0503151459409744	0.0502230119302317	0.0474748804352595	0.0489645531229267	0.0491944082454685	0.0326190224849572	0.0480639568483914	0.0416090621237123	0.0437638973115019	0.0443820224719101	0.0459016393442623	0.0464082429681333	0.0415128909828556	0.0218110236220472	0.0450155664273461	0.0515800989582038	0.0490092002830856	0.048008564795323	0.0488417971235841	0.0478007303646373	0.0348010868807915	0.0478470900688011	0.0494144488888247	0.0505490539774192	0.0491327328221544	0.0494881259140609	0.04944212849436	0.0452282507805249	0.046986280830647	0.0484820177487156	0.0490644323148502	0.0393113099529282	0.049555252564602	0.0471735406509422	0.0417446855380548	0.0445655143596419	0.0481000481000481	0.0621166346241875	0.0504557675913175	0.045182485036677	0.0358350236646383	0.0482474321772373	0.0472813238770686	0.0504549946167574	0.048893166506256	0.0376010034713106	0.0506147682530911	0.0508695652173913	0.048069386224994	0.0254297441594914	0.0515253665936289	0.0455967597196284	0.0452979136645574	0.048166614538296	0.0340433169797774
"Trehalose -- Consumption"	0.0284757118927973	0.0252692961853082	0.024469742360695	0.0351982286357823	0.0220159601562058	0.0370992311475213	0.0331460564940998	0.0461041660005755	0.0390262518328078	0.0304326015813487	0.0437025906548147	0.0487034832565602	0.0426051560379919	0.0513463660184802	0.0438881323976118	0.0378831008634595	0.0404145980315304	0.00381135960396907	0.0483469467133411	0.049951902055094	0.0315401193633952	0.04347302746404	0.040293962773873	0.0474633197808025	0.0451733369328024	0.0493613544332696	0.048489569387308	0.0448701128312779	0.0417036125968937	0.0455208594291104	0.0504212572909916	0.0433881358343325	0.049047291365114	0.0438758561484053	0.0414115525179173	0.0440301467671559	0.0405582426440951	0.0497871606074551	0.0450493425956292	0.0497473532242541	0.0451564828614009	0.0376402461093015	0.0467351447377411	0.0471103692885458	0.036322360953462	0.0471667212577792	0.0432917179532267	0.0386441180833704	0.0361030985391272	0.0469097376611827	0.0470623890548556	0.0254735749502638	0.0439676912393553	0.0344453157989986	0.0493801328660355	0.0489768166165859	0.0503487634749525	0.0490900606626225	0.0503525141354678	0.0447469817621372	0.0498513606219986	0.0499954891288004	0.0405867703002272	0.0503661738289346	0.0478462377317339	0.0450986878376888	0.0501806389212869	0.0504711815367143	0.050261043633511	0.0502230119302317	0.0469922337764907	0.0495687612548574	0.0481429925364293	0.0390231887117773	0.0478713157387786	0.040494135485885	0.0433596118859915	0.0424157303370786	0.0454918032786885	0.0465744318417882	0.0442612223530951	0.0427690288713911	0.0448249571129043	0.0513811879957234	0.0490092002830856	0.047852185105436	0.0489054346442663	0.0480460020711833	0.029680206228663	0.0475124950333549	0.0493422477653752	0.05036861370315	0.0486860716146803	0.0494045546347239	0.0493195193722413	0.0439344077855596	0.0452807556788365	0.0483886034563288	0.0482184938266632	0.0351978287604427	0.0494903259316972	0.0450652259849783	0.0436446745236259	0.0444208733105122	0.0459355459355459	0.0264579328023437	0.0500622991671585	0.0436524008820485	0.0356951341773332	0.0469577633457694	0.0434725505647491	0.0504844918366444	0.0481873596406801	0.0376010034713106	0.0505111556261656	0.0508695652173913	0.048069386224994	0.0300898064993982	0.0514916568346536	0.0392423176735951	0.0427918050247478	0.0480562250473755	0.0356587292090463
"Sucrose -- Consumption"	0.0130491165504944	0.0118247347533814	0.0125584182144997	0.0234400351218767	0.0152998660554266	0.0330690527881398	0.0177102976340909	0.0469674201489913	0.0376202623174724	0.0323913718558154	0.0412223690642142	0.047633835377741	0.0469579375848033	0.0513463660184802	0.0436786425054991	0.0602998386943733	0.0400952297999594	0.00459991676341095	0.0470828471411902	0.050231744643638	0.0387516578249337	0.0429714927678697	0.0438654731106481	0.0484650285781627	0.0614609345121595	0.0494935294329692	0.0483922007740805	0.0453949094725794	0.0400446211492806	0.0484386743099662	0.0503348455389933	0.0424329871766212	0.0490947488313599	0.0426814474740123	0.0444017276567469	0.0452201507338358	0.0379383313180169	0.0497871606074551	0.0443188932947736	0.0505093038177735	0.0445272396092068	0.0441549040897575	0.048056118614344	0.0464635927394116	0.0402951191827469	0.048149361283983	0.0407947951468261	0.0386441180833704	0.0334279333767563	0.0459092930191196	0.0471634122757645	0.0213361012599833	0.046562625635028	0.0356518067201544	0.0491839723806037	0.0489548834250872	0.0501268230818009	0.0486856431793436	0.0503525141354678	0.0447469817621372	0.0489938257489138	0.0499052717048086	0.04017625003421	0.0503661738289346	0.0468920392584515	0.0454294850589922	0.0502375330697238	0.0504441409894136	0.0502069413260475	0.0500417014178482	0.0465973410556799	0.048905317031561	0.0485132093353868	0.0324782715788733	0.048208437680601	0.040286015846824	0.0430311299777643	0.0429775280898876	0.0445940671350507	0.0465744318417882	0.0412773197225494	0.0426771653543307	0.0446025795793888	0.0513563241254134	0.0489649681528662	0.0475033381049187	0.0486827033218786	0.0472556821278683	0.0303769246847349	0.0475543194127857	0.0493422477653752	0.0503170593390731	0.0486860716146803	0.0493627689950554	0.0491662579695929	0.0448063454560797	0.0445310742934253	0.0482951891639421	0.0484400491449979	0.0393113099529282	0.0494578626152448	0.0469100013176967	0.0407533869368873	0.0443244459444257	0.0471380471380471	0.0284262565229333	0.0500229523247426	0.0439674182080014	0.0355319297754774	0.0472110911519506	0.0451799317047544	0.0504254973968703	0.048893166506256	0.0376010034713106	0.0505111556261656	0.0508695652173913	0.0480353065467062	0.0254297441594914	0.0515253665936289	0.0392908248647862	0.0427134891297538	0.0480010303019153	0.0329663754935982
