"Taxa"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"Acetate -- Production"	0.0512127570289551	0.0554998730438734	0.0493991144845035	0.0510508124428906	0.0519014789280552	0.0517156257714145	0.0478632925967603	0.0497505407667475	0.0508313914451598	0.0524171320374853	0.0473326664029965	0.0542330442355844	0.0525665399239544	0.051233680680321	0.0482542297699766	0.0486304661220567	0.0394679268399405	0.0515713273785871	0.0521303653463199	0.0505343173180168	0.0850182402770049	0.0527628452503328	0.0394192377495463	0.0518038128358162	0.05282914711565	0.0540912079373618
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"	0.0476374318086446	0.0544708602279865	0.0508222643896268	0.0475414829234701	0.0449516290448126	0.0477968402863491	0.0429173317980792	0.0484461787628126	0.044788498755875	0.0481988351748436	0.0472279738501268	0.0518742969118554	0.0505431830526888	0.0475206611570248	0.0440086179583043	0.0448502322601314	0.03771768618185	0.0478395328346089	0.0493700585579369	0.0492901334515024	0.0811846905336054	0.0519371092499284	0.0259649122807018	0.0509265786299481	0.0505474284662802	0.0506245890861276
"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"	0.0464792278640369	0.0690106776784402	0.0325743200506009	0.0299153788089468	0.0532358501056377	0.037367316711923	0.0350142621620914	0.0414134936249307	0.0470792685335124	0.113127052225391	0.0447735151106251	0.0308814457306673	0.0370179250407387	0.0340759372379926	0.0361193840694506	0.0393720967483582	0.108310726058166	0.0308218586410048	0.0304028076263333	0.0493583079099415	0.0451678723798924	0.0304679732394129	0.0340955837870538	0.0469633598070085	0.0382739902474929	0.0747116131731516
"D-Glucose (Glucose) -- Consumption"	0.0481242131766681	0.0392895802429539	0.0512333965844402	0.0505475878325586	0.0432836650728344	0.0487533942236485	0.048674534844163	0.0485005271796433	0.0460918677672894	0.0282817630563478	0.0498918176953679	0.0487353485502776	0.0490222705051602	0.0502455383878309	0.0480958114187948	0.0489828608041006	0.0376593448265803	0.0515367737254021	0.0518740511445415	0.0482334293456956	0.0306683979471959	0.0523584031276857	0.0458076225045372	0.0458824819462067	0.0487809366087037	0.0363994979379595
"D-Mannose (Mannose) -- Consumption"	0.048040285354595	0.039236125031739	0.0499051233396584	0.0504019175506204	0.0428110752807739	0.0482905455443101	0.0484651820061236	0.0484027000293481	0.0455784193688534	0.0279701843108118	0.0491124398017821	0.04868091591973	0.0490222705051602	0.0495867768595041	0.0473354033331221	0.048918789043729	0.0376010034713106	0.0506383787425926	0.0509473767227272	0.0480800368142076	0.0301737463674025	0.0515663706375019	0.0440895341802783	0.0450679073264721	0.0481737050326617	0.0362799593568824
"Cellobiose -- Consumption"	0.0478892152748636	0.039236125031739	0.0503162555344719	0.0504019175506204	0.0410597131101968	0.0468402863490496	0.0484651820061236	0.0482287850954902	0.0432086575299182	0.0193897850106656	0.0496824325896285	0.0484087527669921	0.0489136338946225	0.0491975086836747	0.0473987706735948	0.048918789043729	0.0376010034713106	0.0506383787425926	0.0508290778603679	0.0480800368142076	0.0254436406356273	0.0515326671272813	0.0455414398064126	0.0452872158779391	0.0481737050326617	0.0340087263164186
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0479731430969366	0.0391693060177204	0.0458886780518659	0.0502032762570683	0.0420604914933837	0.0482288323870649	0.0464239918352393	0.0482287850954902	0.045301947154311	0.0273709944155502	0.0469720587208897	0.0484631853975396	0.0487506789788159	0.049437058330339	0.0471136176414676	0.0481819637994554	0.0376010034713106	0.0505692714362226	0.0509079437686074	0.0480800368142076	0.0301737463674025	0.0514821118619504	0.0384513006654567	0.0426711781568683	0.0480817002484129	0.0361604207758054
"D-Xylose (Xylose) -- Consumption"	0.0479731430969366	0.0391693060177204	0.0458886780518659	0.0502032762570683	0.0420326920938508	0.0482288323870649	0.0464239918352393	0.0482287850954902	0.045301947154311	0.0273709944155502	0.0469720587208897	0.0484450411873571	0.0487506789788159	0.049437058330339	0.0471136176414676	0.0481819637994554	0.0376010034713106	0.0505692714362226	0.0508685108144877	0.0480800368142076	0.0301737463674025	0.0514484083517298	0.0383303085299456	0.0426711781568683	0.0480817002484129	0.0361604207758054
"Trehalose -- Consumption"	0.0479395719681074	0.0391693060177204	0.0469639468690702	0.0497795081641572	0.0419492938952519	0.0481362626511972	0.044775338235679	0.047511385993326	0.0451439630317153	0.0248783644512619	0.0470767512737594	0.0481547338244366	0.0483025529603476	0.0493771709186729	0.0471769849819403	0.0481819637994554	0.0376010034713106	0.0505347177830376	0.0507896449062482	0.0480800368142076	0.0301119149199283	0.0514821118619504	0.0392014519056261	0.0427808324326018	0.0480448983347134	0.0356224971609587
"Sucrose -- Consumption"	0.047788501888376	0.0391960336233279	0.0454775458570525	0.0503092182802961	0.040003335927944	0.0467168600345594	0.047941799911025	0.0515657778888901	0.0427742011927801	0.0189583682860772	0.0470767512737594	0.0496969916899517	0.0501765344921239	0.0490477901545095	0.0469868829605221	0.048918789043729	0.0376010034713106	0.0505347177830376	0.0508685108144877	0.0480289059703782	0.0254436406356273	0.0515326671272813	0.0392014519056261	0.042702507949935	0.0480080964210139	0.0329926483772638
