"Taxa"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"hamlet_22"	"hera_22"	"iris_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"hera_37"	"kubo_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"ophelia_43"	"iris_44"	"jarjarbinks_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"hamlet_46"	"iris_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"wolverine_58"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.318444444444444	0.376888888888889	0.23	0.347111111111111	0.126888888888889	0.371555555555556	0.188888888888889	0.120666666666667	0.0577777777777778	0.262444444444444	0.235111111111111	0.294666666666667	0.224888888888889	0.270222222222222	0.476444444444444	0.175111111111111	0.130666666666667	0.180444444444444	0.114	0.235777777777778	0.407333333333333	0.167777777777778	0.296222222222222	0.0113333333333333	0.0531111111111111	0.0864444444444444	0.074	0.362	0.0568888888888889	0.121777777777778	0.205555555555556	0.0897777777777778	0.117777777777778	0.166222222222222	0.0551111111111111	0.124444444444444	0.4	0.201111111111111	0.168444444444444	0.228888888888889	0.113111111111111	0.136	0.149555555555556	0.209111111111111	0.570444444444444	0.0688888888888889	0.205111111111111	0.219555555555556	0.148	0.0733333333333333	0.184666666666667	0.0611111111111111	0.108666666666667	0.326666666666667	0.036	0.358888888888889	0.145666666666667	0.252222222222222	0.227555555555556	0.222444444444444	0.00511111111111111	0.0795555555555556	0.0551111111111111	0.0671111111111111	0.0833333333333333	0.206222222222222	0.122666666666667	0.139333333333333	0.0928888888888889	0.0857777777777778	0.195111111111111	0.0788888888888889	0.126	0.125111111111111	0.0573333333333333	0.276444444444444	0.205333333333333	0.0484444444444444	0.170888888888889	0.0377777777777778	0.211333333333333	0.0537777777777778	0.122666666666667	0.0904444444444444	0.0191111111111111	0.345111111111111	0.09	0.0617777777777778	0.180888888888889	0.110666666666667	0.231333333333333	0.125555555555556	0.136888888888889	0.242222222222222	0.441333333333333	0.162	0.0951111111111111	0.0348888888888889	0.065	0.0357777777777778	0.309777777777778	0.0133333333333333	0.245555555555556	0.09	0.286222222222222	0.129555555555556	0.111333333333333
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.202222222222222	0.151555555555556	0.0706666666666667	0.0724444444444445	0.172666666666667	0.151111111111111	0.113555555555556	0.208888888888889	0.115555555555556	0.145555555555556	0.143333333333333	0.124444444444444	0.219111111111111	0.0768888888888889	0.0744444444444444	0.331555555555556	0.253777777777778	0.188	0.188	0.191555555555556	0.155111111111111	0.307555555555556	0.123777777777778	0.0693333333333333	0.0157777777777778	0.263555555555556	0.339111111111111	0.130222222222222	0.181555555555556	0.152666666666667	0.258888888888889	0.162444444444444	0.177555555555556	0.255333333333333	0.0448888888888889	0.260666666666667	0.116222222222222	0.208888888888889	0.280222222222222	0.142	0.142888888888889	0.241111111111111	0.112222222222222	0.152444444444444	0.0862222222222222	0.133111111111111	0.163111111111111	0.0973333333333333	0.184222222222222	0.148888888888889	0.141555555555556	0.162666666666667	0.202222222222222	0.176	0.094	0.207111111111111	0.199111111111111	0.172	0.186222222222222	0.115777777777778	0.0202222222222222	0.132444444444444	0.139777777777778	0.0471111111111111	0.0793333333333333	0.142666666666667	0.157111111111111	0.163555555555556	0.246666666666667	0.258	0.166888888888889	0.165777777777778	0.126444444444444	0.258444444444444	0.230888888888889	0.0817777777777778	0.152222222222222	0.173111111111111	0.261333333333333	0.238888888888889	0.179555555555556	0.19	0.302222222222222	0.289333333333333	0.0553333333333333	0.0951111111111111	0.279777777777778	0.145111111111111	0.327333333333333	0.278222222222222	0.197555555555556	0.172888888888889	0.108666666666667	0.0575555555555556	0.0955555555555556	0.163333333333333	0.238444444444444	0.128222222222222	0.239	0.178222222222222	0.112	0.0391111111111111	0.137333333333333	0.151555555555556	0.173777777777778	0.193555555555556	0.0953333333333333
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0386666666666667	0.0722222222222222	0.00911111111111111	0.0137777777777778	0.00955555555555555	0.0168888888888889	0.0251111111111111	0.0144444444444444	0.00866666666666667	0.0286666666666667	0.0206666666666667	0.0308888888888889	0.0782222222222222	0.0488888888888889	0.0722222222222222	0.0597777777777778	0.0715555555555556	0.0706666666666667	0.0444444444444444	0.0475555555555556	0.105333333333333	0.0431111111111111	0.0553333333333333	0.00955555555555555	0.0155555555555556	0.0162222222222222	0.0468888888888889	0.0782222222222222	0.0173333333333333	0.0164444444444444	0.0406666666666667	0.143111111111111	0.0548888888888889	0.0482222222222222	0.0108888888888889	0.000666666666666667	0.0768888888888889	0.038	0.0597777777777778	0.104666666666667	0.0424444444444444	0.0624444444444444	0.0437777777777778	0.02	0.0453333333333333	0.0182222222222222	0.0486666666666667	0.0255555555555556	0.0766666666666667	0.026	0.0397777777777778	0.0517777777777778	0.0293333333333333	0.0244444444444444	0.00666666666666667	0.0613333333333333	0.0204444444444444	0.0257777777777778	0.0211111111111111	0.0351111111111111	0.00777777777777778	0.0273333333333333	0.0284444444444444	0.00466666666666667	0.0411111111111111	0.0146666666666667	0.0497777777777778	0.0333333333333333	0.0444444444444444	0.0448888888888889	0.0582222222222222	0.0466666666666667	0.0713333333333333	0.0248888888888889	0.0122222222222222	0.0564444444444444	0.110888888888889	0.0486666666666667	0.0515555555555556	0.0173333333333333	0.0533333333333333	0.110888888888889	0.0388888888888889	0.0506666666666667	0.00488888888888889	0.0604444444444444	0.0991111111111111	0.0233333333333333	0.0473333333333333	0.0504444444444444	0.0731111111111111	0.00888888888888889	0.0286666666666667	0.0477777777777778	0.0526666666666667	0.0415555555555556	0.0662222222222222	0.0268888888888889	0.0155555555555556	0.028	0.0757777777777778	0.00666666666666667	0.0804444444444444	0.0466666666666667	0.0835555555555555	0.0885555555555556	0.0397777777777778
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0406666666666667	0.0144444444444444	0.0184444444444444	0.0615555555555556	0.0457777777777778	0.0604444444444444	0.0153333333333333	0.0266666666666667	0.0433333333333333	0.0584444444444444	0.0266666666666667	0.0797777777777778	0.006	0.103111111111111	0.0348888888888889	0.0191111111111111	0.0424444444444444	0.0108888888888889	0.0408888888888889	0.0937777777777778	0.0102222222222222	0.0242222222222222	0.0182222222222222	0.00555555555555556	0.008	0.0148888888888889	0.0226666666666667	0.0268888888888889	0.0544444444444444	0.0253333333333333	0.0386666666666667	0.032	0.0431111111111111	0.0566666666666667	0.0246666666666667	0.00844444444444444	0.0253333333333333	0.0613333333333333	0.0344444444444444	0.00644444444444444	0.0577777777777778	0.0264444444444444	0.110222222222222	0.0526666666666667	0.0353333333333333	0.034	0.0544444444444444	0.0644444444444444	0.0746666666666667	0.0555555555555556	0.156444444444444	0.0505555555555556	0.0362222222222222	0.062	0.0164444444444444	0.0137777777777778	0.100333333333333	0.0888888888888889	0.0222222222222222	0.046	0.00511111111111111	0.0237777777777778	0.0444444444444444	0.0244444444444444	0.0377777777777778	0.0911111111111111	0.036	0.0397777777777778	0.0311111111111111	0.0304444444444444	0.0411111111111111	0.0302222222222222	0.0448888888888889	0.0497777777777778	0.0242222222222222	0.0171111111111111	0.0288888888888889	0.0415555555555556	0.0404444444444444	0.016	0.0486666666666667	0.0444444444444444	0.0497777777777778	0.0604444444444444	0.00422222222222222	0.0395555555555556	0.0282222222222222	0.0275555555555556	0.0411111111111111	0.0448888888888889	0.0208888888888889	0.0493333333333333	0.0177777777777778	0.00866666666666667	0.0102222222222222	0.0395555555555556	0.00488888888888889	0.0148888888888889	0.0614444444444444	0.00711111111111111	0.0626666666666667	0.00288888888888889	0.175777777777778	0.0711111111111111	0.0444444444444444	0.0317777777777778	0.0411111111111111
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.0444444444444444	0	0.088	0.0473333333333333	0	0.0815555555555556	0	0.0855555555555556	0.000222222222222222	0	0.0451111111111111	0	0	0.000222222222222222	0.000222222222222222	0.0855555555555556	0.0886666666666667	0	0.00422222222222222	0	0.000222222222222222	0.0664444444444444	0	0.18	0.00111111111111111	0.0884444444444445	0.0851111111111111	0.000222222222222222	0.000888888888888889	0.0384444444444444	0.0391111111111111	0.00155555555555556	0	0	0.0126666666666667	0.000222222222222222	0	0	0.0893333333333333	0	0	0.149777777777778	0.000888888888888889	0.0604444444444444	0	0	0.000222222222222222	0	0.00711111111111111	0	0.0497777777777778	0.00311111111111111	0.136444444444444	0.000222222222222222	0.0371111111111111	0	0.0526666666666667	0.0726666666666667	0.0377777777777778	0	0.000666666666666667	0.201333333333333	0.178666666666667	0.0217777777777778	0.000666666666666667	0.0495555555555556	0.116	0.000222222222222222	0.106666666666667	0.102	0	0.000222222222222222	0.000222222222222222	0.000666666666666667	0.126222222222222	0	0	0.000888888888888889	0.000444444444444444	0.128666666666667	0.000444444444444444	0.000888888888888889	0.000222222222222222	0.000666666666666667	0.0213333333333333	0	0.000888888888888889	0	0.0393333333333333	0	0	0.0488888888888889	0.0811111111111111	0	0	0.0837777777777778	0	0.0202222222222222	0.000222222222222222	0.000444444444444444	0.000444444444444444	0.372888888888889	0.0122222222222222	0.00244444444444444	0.0457777777777778	0.000222222222222222	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.0117777777777778	0.0346666666666667	0.00777777777777778	0.00444444444444444	0.0188888888888889	0.0102222222222222	0.0242222222222222	0.0393333333333333	0.0115555555555556	0.00777777777777778	0.0193333333333333	0.0126666666666667	0.0337777777777778	0.03	0.0966666666666667	0.0275555555555556	0.0633333333333333	0.0602222222222222	0.0344444444444444	0.0413333333333333	0.046	0.0566666666666667	0.0388888888888889	0.0137777777777778	0.0302222222222222	0.0413333333333333	0.0493333333333333	0.0208888888888889	0.0295555555555556	0.028	0.0251111111111111	0.0442222222222222	0.0286666666666667	0.0424444444444444	0.00977777777777778	0.0126666666666667	0.048	0.0184444444444444	0.0131111111111111	0.0248888888888889	0.0206666666666667	0.0566666666666667	0.0208888888888889	0.0686666666666667	0.0375555555555556	0.0246666666666667	0.0295555555555556	0.0135555555555556	0.0128888888888889	0.00444444444444444	0.0248888888888889	0.017	0.0433333333333333	0.00644444444444444	0.0122222222222222	0.0128888888888889	0.0112222222222222	0.0126666666666667	0.0237777777777778	0.0422222222222222	0.00822222222222222	0.0566666666666667	0.0406666666666667	0.00711111111111111	0.0368888888888889	0.0235555555555556	0.06	0.0457777777777778	0.0271111111111111	0.0231111111111111	0.0257777777777778	0.0184444444444444	0.0148888888888889	0.0271111111111111	0.0446666666666667	0.0357777777777778	0.0202222222222222	0.0231111111111111	0.0262222222222222	0.0466666666666667	0.0306666666666667	0.0162222222222222	0.00822222222222222	0.0191111111111111	0.00688888888888889	0.0128888888888889	0.0177777777777778	0.0133333333333333	0.0146666666666667	0.018	0.0191111111111111	0.0171111111111111	0.0831111111111111	0.0133333333333333	0.00933333333333333	0.032	0.0444444444444444	0.0391111111111111	0.0147777777777778	0.0464444444444444	0.0257777777777778	0.0188888888888889	0.00422222222222222	0.0206666666666667	0.0133333333333333	0.0121111111111111	0.0513333333333333
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.000444444444444444	0	0.00133333333333333	0.0328888888888889	0.0424444444444444	0.00155555555555556	0	0.000666666666666667	0.234444444444444	0	0.002	0.0433333333333333	0	0.0215555555555556	0	0.000222222222222222	0.000222222222222222	0	0.0106666666666667	0.002	0	0.000444444444444444	0	0	0	0.0155555555555556	0.000444444444444444	0	0.0908888888888889	0.0231111111111111	0.00688888888888889	0.0137777777777778	0.0804444444444444	0.0222222222222222	0.0664444444444444	0	0	0.0184444444444444	0.00244444444444444	0	0.124	0.000444444444444444	0.068	0	0	0.000666666666666667	0.0413333333333333	0.177111111111111	0.00222222222222222	0.0124444444444444	0.00111111111111111	0.078	0	0.00888888888888889	0.342444444444444	0	0.00422222222222222	0.00288888888888889	0.016	0	0.00333333333333333	0	0.000444444444444444	0.006	0.0475555555555556	0.00666666666666667	0.000222222222222222	0.00177777777777778	0.000222222222222222	0.00311111111111111	0	0.152444444444444	0.0795555555555556	0	0.00244444444444444	0.0115555555555556	0	0.0242222222222222	0	0.024	0.00444444444444444	0.0128888888888889	0.00911111111111111	0.000222222222222222	0.416888888888889	0.0157777777777778	0.00377777777777778	0.151777777777778	0.00488888888888889	0.000444444444444444	0	0.0815555555555556	0.00777777777777778	0.0253333333333333	0.01	0.0168888888888889	0	0.0737777777777778	0.000777777777777778	0	0.002	0.00155555555555556	0	0.0315555555555556	0	0	0.00555555555555556
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella copri"	0.0784444444444444	0	0	0	0.00466666666666667	0	0.000222222222222222	0	0.00111111111111111	0	0	0.00177777777777778	0.000222222222222222	0.00511111111111111	0	0	0	0.000444444444444444	0.0748888888888889	0.0233333333333333	0	0.000222222222222222	0.000666666666666667	0.239555555555556	0.000666666666666667	0	0	0.000222222222222222	0.0562222222222222	0	0	0.068	0.0686666666666667	0.0146666666666667	0	0.136222222222222	0	0.0115555555555556	0	0.000444444444444444	0.0313333333333333	0.000222222222222222	0.066	0	0	0.00888888888888889	0.0311111111111111	0.008	0.0484444444444444	0.00444444444444444	0	0.056	0	0.0606666666666667	0	0	0	0	0	0.000222222222222222	0.255777777777778	0	0	0	0.181111111111111	0	0	0.000444444444444444	0.000222222222222222	0	0	0.0564444444444444	0.0935555555555556	0.127777777777778	0	0	0.000666666666666667	0.0637777777777778	0.126444444444444	0	0	0.0471111111111111	0.184222222222222	0.0835555555555555	0	0.000222222222222222	0.0566666666666667	0.144	0	0.0606666666666667	0.000222222222222222	0	0	0	0	0	0.000222222222222222	0	0.00877777777777778	0.000444444444444444	0	0.000666666666666667	0	0.0697777777777778	0.0108888888888889	0.000333333333333333	0.143555555555556
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0246666666666667	0.0186666666666667	0.012	0.0228888888888889	0.00822222222222222	0.0202222222222222	0.012	0.0213333333333333	0.008	0.0164444444444444	0.0251111111111111	0.0142222222222222	0.0313333333333333	0.0233333333333333	0.0148888888888889	0.026	0.0277777777777778	0.0202222222222222	0.0348888888888889	0.0133333333333333	0.0222222222222222	0.0164444444444444	0.0171111111111111	0.00488888888888889	0.00266666666666667	0.0133333333333333	0.0331111111111111	0.032	0.0604444444444444	0.00933333333333333	0.0135555555555556	0.0297777777777778	0.0362222222222222	0.0195555555555556	0.00644444444444444	0.0211111111111111	0.016	0.0142222222222222	0.0264444444444444	0.0342222222222222	0.0284444444444444	0.0231111111111111	0.0415555555555556	0.0144444444444444	0.016	0.00688888888888889	0.056	0.0151111111111111	0.0635555555555556	0.0126666666666667	0.0166666666666667	0.0425555555555556	0.0313333333333333	0.0157777777777778	0.00711111111111111	0.0311111111111111	0.0563333333333333	0.0284444444444444	0.0224444444444444	0.0244444444444444	0.00288888888888889	0.014	0.0186666666666667	0.00644444444444444	0.03	0.0155555555555556	0.0291111111111111	0.0288888888888889	0.0353333333333333	0.0373333333333333	0.032	0.0444444444444444	0.02	0.0142222222222222	0.0171111111111111	0.022	0.03	0.0884444444444445	0.0162222222222222	0.0202222222222222	0.0284444444444444	0.0364444444444444	0.0275555555555556	0.0246666666666667	0.00333333333333333	0.00977777777777778	0.0546666666666667	0.0288888888888889	0.0353333333333333	0.0262222222222222	0.036	0.0191111111111111	0.0208888888888889	0.0228888888888889	0.0202222222222222	0.0291111111111111	0.0577777777777778	0.0186666666666667	0.025	0.0253333333333333	0.0146666666666667	0.006	0.014	0.0397777777777778	0.0368888888888889	0.0665555555555556	0.0495555555555556
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0	0	0	0	0.00622222222222222	0	0	0	0.0164444444444444	0	0	0.00822222222222222	0	0.0317777777777778	0	0.000222222222222222	0	0	0.226888888888889	0.018	0.000666666666666667	0	0	0	0.000444444444444444	0.000222222222222222	0.000222222222222222	0	0	0	0	0.0757777777777778	0	0.0437777777777778	0	0.286222222222222	0	0.173555555555556	0.000222222222222222	0.000222222222222222	0	0	0	0.000222222222222222	0	0.489777777777778	0.122222222222222	0	0.0186666666666667	0.470444444444444	0	0.0748888888888889	0	0	0	0	0.000111111111111111	0	0	0.000222222222222222	0.202888888888889	0	0	0	0.00111111111111111	0	0	0	0.000222222222222222	0.000222222222222222	0	0.0411111111111111	0.000444444444444444	0	0	0	0	0.0288888888888889	0	0	0	0.036	0.000222222222222222	0	0	0	0.00955555555555555	0	0.000222222222222222	0	0	0	0	0.000222222222222222	0.000222222222222222	0.000222222222222222	0	0	0.189666666666667	0	0	0	0.000222222222222222	0.0615555555555556	0	0	0
