"Taxa"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"k__Bacteria|p__Bacillota|c__Negativicutes"	0.0785	0.5085	0.38625	0.001	0.27625	0.64325	0.3205	0.538	0.50025	0.6125	0.427	0.53125	0.49875	0.1305	0.509	0.49875	0.54475	0.45975	0.6085	0.384	0.541	0.5215	0.25575	0.3575	0.479	0.7005	0.4995	0.04675	0.57525	0.28975	0.312	0.1555	0.32275	0.493	0.374	0.422	0.45525	0.4915	0.47925	0.4725	0.578	0.38225	0.48125	0.5195	0.70475	0.35675	0.4645	0.69475	0.43475	0.58925	0.33425	0.54725	0.65375	0.5905	0.596	0.619	0.086	0.58725	0.7225	0.61725	0.656	0.29875	0.641	0.5765	0.636	0.34225	0.37725
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.57175	0.156	0.33925	0.00275	0.0055	0.17975	0.3835	0.214	0.181	0.26075	0.18525	0.13425	0.26625	0.0445	0.2555	0.2055	0.12275	0.2995	0.29825	0.17775	0.21	0.149375	0.054	0.2445	0.138	0.035	0.29875	0.502	0.28625	0.5315	0.45825	0.068	0.43525	0.16725	0.34475	0.39025	0.35625	0.378	0.30475	0.275	0.2395	0.14525	0.2185	0.31425	0.11675	0.415	0.197	0.1525	0.16925	0.2455	0.4275	0.1865	0.138	0.29025	0.21225	0.25925	0.07	0.061	0.20725	0.16675	0.143	0.261	0.0985	0.18025	0.1465	0.568	0.15575
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria"	0.00475	0.085	0.1215	0.98325	0.6795	0.039	0.08625	0.0865	0.0685	0.0165	0.1075	0.244	0.02125	0.8005	0.1115	0.1405	0.25075	0.0475	0.00575	0.33	0.1225	0.02	0.6045	0.283	0.13775	0.08	0.00725	0.221	0.041	0.00625	0.0125	0.6495	0.09825	0.1365	0.096	0.01875	0.03675	0.03	0.00575	0.02725	0.009	0.31175	0.14925	0.02125	0.098	0.0555	0.2055	0.003	0.0765	0.012	0.06975	0.0785	0.05775	0.02125	0.016	0.04225	0.79825	0.266	0.01675	0.10575	0.02025	0.30575	0.01825	0.02425	0.0055	0.0265	0.2885
"k__Bacteria|p__Bacillota|c__Clostridia"	0.01125	0.06	0.126	0.00275	0.0135	0.0525	0.0865	0.14025	0.16575	0.07325	0.0395	0.04975	0.18075	0.02325	0.08875	0.124	0.06625	0.15	0.0675	0.092	0.07475	0.192625	0.083	0.0445	0.2145	0.151	0.134	0.01325	0.05625	0.073	0.1195	0.117	0.0985	0.1675	0.097	0.1075	0.1115	0.0205	0.19175	0.20975	0.143	0.1285	0.117	0.09975	0.06025	0.1345	0.0925	0.12275	0.29425	0.11325	0.1435	0.1255	0.1155	0.07525	0.131	0.03375	0.03725	0.04625	0.021	0.07925	0.16	0.112	0.15875	0.1695	0.178	0.02125	0.1435
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria"	0.1305	0.041	0.02075	0	0.02425	0.0605	0.0215	0.01275	0.01625	0.01025	0.023	0.0285	0.02775	0.00125	0.01975	0.00725	0.01375	0.037	0.015	0.015	0.028	0.016375	0.00075	0.04025	0.0195	0.011	0.023	0.1515	0.0115	0.04175	0.01525	0.005	0.0355	0.0225	0.06	0.0455	0.0205	0.04675	0.012	0.012	0.017	0.02925	0.0205	0.0155	0.01875	0.01425	0.02375	0.019	0.023	0.02925	0.01925	0.043	0.032	0.02175	0.025	0.02575	0.002	0.0285	0.01975	0.02675	0.01675	0.0195	0.00975	0.009	0.01975	0.02625	0.0125
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia"	0	0.14525	0.001	0	5e-04	0.00575	0.08675	0.00475	0.0495	0.014	0.2045	0.00975	0.00275	0	0.01	0.021	0	0.0045	0.0035	0	0.0085	0.074625	0	0.007	0.00675	0.00025	0.0285	0	0.0235	0.00925	0.0155	0.00125	0	0.00525	0.01425	0.001	0.01775	0.02875	0.00175	5e-04	0.012	0.00175	0	0.028	0.00025	0.00675	0.00525	0.004	0.00025	0.00425	0.00075	0.00925	0	0	0.0035	0.00525	5e-04	0.007	0.003	0	0	5e-04	0.00925	0.01425	0.012	0.0055	0.00625
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia"	0.01325	0.003	0.00475	0	0.00025	0.014	0.00575	0.0035	0.00575	0.007	0.01275	5e-04	0.0025	0	0.00525	0.003	0.00125	0.00125	0.001	0.001	0.01225	0.01075	0.00125	0.02275	0.00125	0.02125	0.00575	0.00475	0.00475	0.04825	0.0665	0.0025	0.00925	0.0035	0.014	0.01475	0.0015	0.00125	0.004	0.00275	0.0015	0.00125	0.012	0.0015	0.00125	0.01525	0.01125	0.00325	0.00175	0.00475	0.00475	0.00975	0.00175	0.00075	0.011	0.00175	0.002	0.00375	0.00275	0.003	0.0035	0.002	0.0625	0.02375	0.00125	0.0085	0.0155
"k__Bacteria|p__Actinomycetota|c__Actinomycetes"	0.19	0.00025	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0.00025	0	0	0.000125	0	0	0	0.00025	0	0.06025	0	0	0.00025	0.00025	0	0.00025	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0.00025	0	0.00025	0	0	0	5e-04	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0.00025
"k__Bacteria|p__Bacillota|c__Bacilli"	0	0.001	0	0.01025	0.00025	0.00525	0.00275	0	0.01	0.0055	5e-04	0.002	0	0	0	0	5e-04	0	0.00025	0.00025	0.003	0.013125	0.00075	5e-04	5e-04	5e-04	0	0	0.0015	0.00025	0.00025	0.00025	5e-04	0.001	0	0.00025	0	0.003	5e-04	0.00025	0	0	0.001	0.00025	0	0.00025	0.00025	0	0	5e-04	0	0	0.00125	0	0.00475	0.013	0.00125	0.00025	0.0065	0.00125	0.00025	5e-04	0.002	0.00025	0	0.0015	0.00025
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes"	0	0	0.00025	0	0	0	0.0065	0	0.00275	0	0	0	0	0	0	0	0	0.00025	0	0	0	0.0015	0	0	0.00275	0	0.003	5e-04	0	0	0	0.00075	0	0.003	0	0	5e-04	0	0	0	0	0	0	0	0	0.00175	0	5e-04	0	0.00125	0	0.00025	0	0	0	0	0.0025	0	0	0	0	0	0	0.00225	0.001	0	0.00025
