"Taxa"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.0185	0.15025	0.12725	0.00025	0.2415	0.27475	0.11025	0.19925	0.15475	0.14025	0.1985	0.4095	0.18625	0.01525	0.10275	0.29325	0.22025	0.1835	0.191	0.145	0.18975	0.157875	0.02825	0.18775	0.2525	0.2045	0.27475	0.01075	0.20975	0.1045	0.1025	0.0945	0.12375	0.30975	0.0495	0.161	0.1845	0.29425	0.12525	0.11825	0.24125	0.10975	0.17225	0.18775	0.21775	0.0855	0.296	0.23725	0.09325	0.21425	0.0555	0.26825	0.10125	0.17475	0.1565	0.30225	0.02375	0.39275	0.32475	0.21225	0.11975	0.091	0.22325	0.1595	0.25425	0.16625	0.181
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.016	0.195	0.13025	5e-04	0.0345	0.23675	0.15925	0.182	0.22925	0.3685	0.15975	0.1215	0.15225	0.104	0.287	0.12275	0.17875	0.152	0.30425	0.1145	0.189	0.2165	0.201	0.09425	0.18625	0.11925	0.11575	0.02025	0.3035	0.13225	0.13975	0.04725	0.07925	0.14275	0.22825	0.157	0.1635	0.14375	0.24675	0.258	0.16675	0.16575	0.1265	0.25825	0.1695	0.231	0.08175	0.15225	0.17325	0.26125	0.239	0.17975	0.19	0.30225	0.28925	0.204	0.05525	0.095	0.1245	0.1605	0.27975	0.14525	0.32725	0.27825	0.1975	0.10375	0.173
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.4885	0.08475	0.28225	5e-04	0.00025	0.133	0.0015	0.166	5e-04	0.159	0.13675	0.11875	0.20525	0.00575	0.12675	0.024	0.10175	0.17875	0.2515	0.15125	0.12025	0.00025	0.003	0.11275	0.01725	0.02575	0.1065	0.402	0.2655	0.1425	0.06125	0.00875	0.311	0.02475	0.24675	0.13725	0.1115	0.326	0.052	0.033	0.10875	0.085	0.15325	0.12825	0.096	0.057	0.0565	0.09	0.08175	0.127	0.06575	0.042	0.0715	0.245	0.084	0.23825	0.006	0.0065	0.19425	0.13425	0.07225	0.18125	0.01375	0.06125	0.0775	0.5195	0.0205
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.044	0.16325	0.12875	0.00025	0.00025	0.13175	0.051	0.15675	0.11625	0.10375	0.06875	0.00025	0.16025	0.01125	0.11925	0.08275	0.14575	0.12425	0.11325	0.1245	0.16225	0.147125	0.0265	0.0755	0.04025	0.37675	0.109	0.01575	0.062	0.053	0.06975	0.01375	0.11975	0.0405	0.09625	0.104	0.10725	0.0535	0.10725	0.09625	0.17	0.10675	0.1825	0.0735	0.3175	0.04025	0.08675	0.30525	0.16825	0.11375	0.03975	0.09925	0.3625	0.1135	0.15025	0.11275	0.007	0.0995	0.27325	0.2445	0.2565	0.0625	0.0905	0.13875	0.18425	0.07225	0.02325
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae"	0.01075	0.053	0.1135	0.00175	0.012	0.037	0.068	0.12375	0.14	0.0685	0.03475	0.04375	0.16375	0.0225	0.0865	0.106	0.0615	0.12825	0.06725	0.0855	0.07225	0.158	0.07875	0.042	0.17875	0.14775	0.1205	0.012	0.0555	0.0555	0.096	0.09775	0.09225	0.14125	0.09425	0.087	0.101	0.019	0.15775	0.17375	0.12425	0.11525	0.107	0.08225	0.05925	0.0925	0.0735	0.1065	0.28225	0.0805	0.105	0.103	0.10975	0.07125	0.11075	0.0325	0.024	0.038	0.0205	0.07775	0.14875	0.0995	0.13525	0.13875	0.15175	0.02075	0.117
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.05525	0.0695	0.0435	0.002	0.00525	0.037	0.34775	0.02975	0.16325	0.08	0.0465	0.0155	0.047	0.03525	0.08775	0.16725	0.00725	0.09025	0.0295	0.00875	0.0505	0.136375	0.04575	0.09325	0.10825	0.00575	0.11075	0.038	0.01575	0.36825	0.37425	0.05125	0.062	0.12225	0.0785	0.23875	0.1295	0.04	0.2245	0.22025	0.07325	0.034	0.02425	0.1585	0.01325	0.3235	0.10325	0.03525	0.04725	0.094	0.323	0.11175	0.0325	0.0145	0.09	0.018	0.0535	0.0455	0.01	0.02475	0.0275	0.03425	0.078	0.09875	0.049	0.037	0.1135
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0	0.046	0.1165	0.973	0.07025	0	0.00025	0.0835	0	0.00125	0	0.00025	0.01425	0.00025	0.10375	0.13675	0	0.0415	0	0.117	0.1145	0.000375	0	0.2805	0.12475	0.025	0.00025	0.00625	0.00125	0.00225	0.0075	0.6435	0.09675	0.12125	0.00025	0.012	0.0295	0.0025	0.0015	0.02125	0	0.26625	0.1485	0	0.00225	0.04575	0.20225	0.00025	0.0405	0	0.0585	0.0675	0.021	0.0175	0.005	0.004	0.7945	0.262	0.00025	0.00025	0.0065	0.3005	0.01225	0.011	0	0.0125	0.27475
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.0025	0.03575	0.00475	0.00025	0.608	0.01475	0.02125	0.00275	0.02025	0.01475	0.1075	0.24275	0.007	0.80025	0.00725	0.0035	0.25075	0.00575	0.00575	0.213	0.008	0.019625	0.6045	0.0025	0.0125	0.055	0.0065	0.21475	0.0395	0.004	0.005	0.00375	0.00125	0.01325	0.09575	0.0065	0.00725	0.027	0.004	0.006	0.009	0.0455	0.00075	0.02125	0.09575	0.00925	0.00325	0.00275	0.036	0.012	0.011	0.011	0.03675	0.00375	0.011	0.0365	0.0015	0.004	0.01625	0.1055	0.0135	0.005	0.006	0.01325	0.005	0.014	0.011
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.1305	0.04	0.0205	0	0.02375	0.0605	0.0215	0.01275	0.01575	0.01	0.0225	0.028	0.02775	0.00125	0.01975	0.007	0.01375	0.037	0.015	0.015	0.028	0.016375	0.00075	0.04025	0.0195	0.011	0.023	0.1515	0.0115	0.0415	0.01525	0.005	0.0355	0.0225	0.06	0.0455	0.0205	0.04575	0.012	0.01175	0.01675	0.02925	0.0205	0.01525	0.01875	0.014	0.0235	0.019	0.023	0.02925	0.0185	0.043	0.032	0.02175	0.025	0.024	0.002	0.0285	0.01925	0.02675	0.01675	0.0195	0.00975	0.009	0.0195	0.02625	0.0125
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.02425	0.0015	0.01075	0.00025	0	0.00975	0.02875	0.015	0.01325	0.01825	0.0015	0	0.01075	0.002	0.0355	0.012	0.01175	0.024	0.01525	0.01425	0.037	0.009625	0.0025	0.03575	0.01025	0.00325	0.07275	0.04925	0.005	0.01875	0.0195	0.0065	0.059	0.017	0.01825	0.01225	0.1015	0.012	0.02225	0.017	0.04375	0.023	0.0395	0.02	0.007	0.0265	0.03625	0.02425	0.03425	0.02	0.031	0.031	0.03275	0.02525	0.032	0.003	0.01	0.00875	0.003	0.00775	0.0425	0.0365	0.0055	0.01625	0.016	0.0115	0.015
