"Taxa"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0	0	0.275	0	0.85375	0	0.37	0.01825	0.8805	0	0.85275	0.0575	0	0	0.62125	0	0	0	0	0.09675	0.00025	0.1025	0.00025	0	0	0	0	0.00025	0	0.0615
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.18925	0.15775	0.23675	0.13625	0.0585	0.2905	0.11075	0.17775	0.03925	0.237	0.06575	0.215625	0.01375	0.109	0.0915	0.1255	0.112	0.10875	0.0575	0.181	0.0955	0.227	0.1635	0.2385	0.12825	0.17825	0.112	0.039	0.13725	0.1515
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.24675	0.22	0.19625	0.14925	0.005	0.1135	0.12475	0.15425	0.001	0.1025	0.008	0.06675	0.003	0.08075	0.023	0.146	0.08475	0.13675	0.24225	0.106	0.4415	0.092	0.162	0.09525	0.03475	0.036	0.30975	0.01325	0.2455	0.09
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella copri"	0.08575	0.06825	0.048	0.1175	5e-04	0.029	0.05175	0.1585	0.0025	0.02625	0.00175	0.049625	0.3745	0.0755	0.07925	0.08475	0	0	0	0.0455	0	0.07625	0	0.00025	0	5e-04	0	5e-04	0	0.06975
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0975	0.03225	0.0185	0.05175	0.003	0.03725	0.02825	0.0385	0.00325	0.058	0.00475	0.0475	0.0035	0.038	0.01925	0.0705	0.0255	0.0285	0.04775	0.1265	0.05275	0.10975	0.0415	0.06625	0.02675	0.028	0.07575	0.00675	0.0805	0.04675
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.071	0.03525	0.044	0.05775	0.00275	0.05925	0.08925	0.04725	0.0015	0.0305	0.0045	0.04325	0.00225	0.01975	0.01	0.10925	0.009	0.01775	0.0085	0.05625	0.01025	0.051	0.0395	0.005	0.01475	0.007	0.0625	0.00275	0.17575	0.071
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0	0.0475	0.0025	0	0.00575	0.0295	0.00775	0	0.00375	0.01475	0.00275	0.004625	0.2835	0.0495	0.00825	0	0	0.08975	0	0.01	0	0.01075	0.0455	0	0.07625	0	0	0.13075	0.0045	0.01975
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.052	0.03025	0.022	0.04825	0.0055	0.043	0.01825	0.05375	0.0075	0.02675	0.006	0.058375	0.0025	0.0235	0.0255	0.028	0.01125	0.021	0.023	0.0115	0.02025	0.0395	0.029	0.05775	0.01875	0.02525	0.0145	0.006	0.014	0.03975
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.00225	0.02775	0.001	0.0075	0.021	0.048	0	0.00025	0.00775	0.02325	0.0075	0.001375	0.00075	0.03425	0	0.0035	5e-04	0.081	0	0	0	0.00075	0.084	0	0.02025	5e-04	0.00025	0.373	0.012	0.00225
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0235	0.015	0.0155	0.0485	0.00575	0.02875	0.01125	0.051	0.007	0.02275	0.00525	0.039875	0.00525	0.01425	0.019	0.0235	0.0145	0.01525	0.01675	0.01	0.01875	0.0285	0.039	0.04025	0.01425	0.01925	0.012	0.0115	0.01725	0.03125
