"Taxa"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales"	0.26275	0.3785	0.23125	0.3785	0.212	0.5155	0.19575	0.17625	0.19225	0.1555	0.33375	0.2645	0.41875	0.19425	0.316	0.18025	0.103	0.09825	0.39225	0.114	0.1495	0.251	0.12275	0.16225	0.22575	0.18025	0.084	0.14	0.42825	0.15425	0.26425	0.20375	0.236	0.17325	0.193	0.164	0.26825	0.26675	0.6105	0.10525	0.3455	0.10275	0.094	0.3385	0.20925	0.15	0.13675	0.207	0.142	0.30825	0.30975	0.1325	0.13825	0.02925	0.0865	0.1645	0.36675	0.17725	0.131	0.18575	0.39425	0.30625	0.073	0.09375	0.23625	0.10975	0.009	0.1745	0.207	0.10125	0.143	0.1545	0.098	0.402	0.29575	0.38175	0.13775	0.16075	0.07225	0.21925	0.31075	0.37275	0.05825	0.326	0.14575	0.14325	0.18125	0.08575	0.2155	0.07325	0.2815	0.02775	0.113	0.18475	0.016	0.03925	0.35	0.078	0.1445	0.178	0.02575	0.33625
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.15425	0.08425	0.232	0.11225	0.00025	0.19275	0.184	0.24	0.3255	0.18475	0.18575	0	0.115	0.264	0.2955	0.1435	0.19375	0.22325	0.151	0.16875	0.17475	0.14425	0.19225	0.15825	0.15125	0.16525	0.06425	0.1895	0.184	0.131	0.12125	0.1995	0.2605	0.108	0.18025	0.30225	0.1435	0.3035	0.1175	0.15675	0.22125	0.17125	0.25275	0.15375	0.12825	0.2615	0.1	0.25925	0.283	0.07775	0.109	0.29975	0.366	0.04075	0.34175	0.29825	0.06	0.25475	0.063	0.16775	0.06075	0.26275	0.07625	0.06925	0.22725	0.31175	0.03225	0.12725	0.2755	0.1725	0.05375	0.04625	0.2415	0.065	0.15	0.18225	0.309	0.056	0.06825	0.118	0.223	0.08825	0.02475	0.1345	0.446	0.24525	0.30975	0.51675	0.1275	0.35225	0.1475	0.056	0.2005	0.29875	0.021	0.2505	0.131	0.31125	0.05525	0.26825	0.05725	0.1935
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales"	0.1435	0.12425	0.21925	0.077	0	0.0745	0.3315	0.25375	0.188	0.188	0.19175	0	0.15525	0.3075	0.12375	0.15275	0.2635	0.33925	0.13025	0.1815	0.15275	0.259	0.1625	0.1775	0.25525	0.108	0.045	0.26075	0.11625	0.12975	0.209	0.28025	0.142	0.14275	0.2405	0.241	0.11225	0.1525	0.08625	0.13325	0.25575	0.21575	0.1135	0.08	0.206125	0.22325	0.125	0.189	0.13725	0.0785	0.08475	0.11775	0.17825	0.0745	0.13425	0.23475	0.08325	0.24775	0.0825	0.116	0.04425	0.11325	0.09925	0.1015	0.219	0.16575	0.0285	0.19525	0.2025	0.2315	0.1315	0.04175	0.149	0.0885	0.23875	0.1645	0.25025	0.09725	0.21175	0.0985	0.1765	0.16475	0.13025	0.15175	0.1975	0.18375	0.147	0.17925	0.16	0.2985	0.19275	0.105	0.17925	0.15825	0.0525	0.15325	0.157125	0.17475	0.0655	0.17825	0.07625	0.207
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales"	0.03975	0.0595	0.14675	0.10875	0.08475	0.111	0.12075	0.161	0.13625	0.0945	0.106	0.39675	0.148	0.085	0.11275	0.25575	0.03575	0.11075	0.156	0.0635	0.03225	0.10125	0.32325	0.15225	0.0995	0.146	0.02625	0.00275	0.17825	0.06775	0.08225	0.117	0.22425	0.126	0.1035	0.12025	0.14	0.03875	0.06975	0.043	0.114	0.0685	0.0365	0.35225	0.203	0.062	0.14225	0.06625	0.20225	0.21875	0.423	0.112	0.053	0.0525	0.044	0.051	0.3135	0.07125	0.12825	0.37975	0.3505	0.11375	0.074	0.04175	0.02375	0.211	0.01975	0.2465	0.0945	0.208	0.213	0.0065	0.235	0.36575	0.21575	0.08975	0.12125	0.13725	0.0495	0.38225	0.1245	0.27375	0.0665	0.2425	0.03925	0.20725	0.17525	0.05725	0.10275	0.05925	0.2275	0.02925	0.1035	0.2335	0.01675	0.35025	0.22125	0.20175	0.06	0.11375	0.01425	0.08675
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales"	0.00825	0.01575	0.00925	0.036	0	0.006	0.01125	0.0075	0.006	0.233	0.0235	0	0.00625	0.00875	0.0065	0.06475	0.0255	0.0155	0.00575	0.01625	0.0065	0.01575	0.0775	0.0025	0.0555	0.05475	0.002	0.298	0.004	0.01075	0.1855	0.0075	0.00125	0.00375	0.08575	0.00725	0.0035	0.00925	0.0035	0.5055	5e-04	0.335	0.0245	5e-04	0.035625	0.22225	0.4125	0.215	0.02	0.20225	0.00125	0.01025	0.1905	0.71775	0.31425	0.177	0.006	0.16125	0.51425	0.01775	0.001	0.005	0.36925	0.62625	0.01875	0.0245	0.8825	0.0045	0.00775	0.07225	0.191	0.002	0.0375	0.00075	0.005	0.00625	0.1235	0.38225	0.1995	0.00475	0.021	0.001	0.666	0.01425	0.09125	0.01025	0.01275	0.1135	0.29375	0.007	0.0025	0.73875	0.1145	0.004	0.87225	0.00925	0.0055	0.0055	0.21575	0.012	0.78625	0.086
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales"	0.2905	0.1415	0.136	0.1655	0	0.07825	0.11825	0.11925	0.08675	0.09425	0.08925	0	0.113	0.08175	0.084	0.1605	0.08575	0.17575	0.109	0.192	0.0895	0.0985	0.078	0.1075	0.114	0.1565	0.053	0.0705	0.061	0.09825	0.061	0.09275	0.09975	0.09575	0.1375	0.11775	0.15325	0.171	0.074	0.03175	0.00075	0.05875	0.09025	0.045	0.1635	0.056	0.06	0.035	0.13	0.05875	0.05275	0.105	0.037	0.07075	0.04275	0.05375	0.095	0.0585	0.05675	0.101	0.044	0.04025	0.08675	0.03025	0.1135	0.1335	0.02125	0.18275	0.1535	0.1125	0.105	0.05825	0.1925	0.0655	0.071	0.07425	0.03325	0.104	0.0505	0.045	0.1115	0.081	0.04625	0.10325	0.04425	0.0855	0.10975	0.03325	0.06325	0.13675	0.11675	0.03275	0.0875	0.0965	0.01675	0.0705	0.106125	0.157	0.05775	0.18175	0.03175	0.0615
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales"	0.023	0.11075	0	0.05325	0.68625	0	0.00175	0.001	0	0.0185	0.00425	0.28925	0	0.00125	0	0.00025	0.26775	0.00675	0	0.22375	0.3515	0.09075	0.0245	0.21325	0.05775	0.16575	0.70175	0	0	0.38225	0.04475	0.0125	0	0.322	0.0225	0.00075	0.15825	0.00375	5e-04	0.00125	0.04175	0.00025	0.12	0	0.016625	0	0.006	0.00025	0.03325	0.00375	0	0.16625	0	0	0	5e-04	0.00075	0	0.0025	0.00075	0.0805	0	0.197	0	0.1185	0	0	0.00225	0.00025	0.01825	0.1525	0.5105	0	0.00025	0.003	0.02625	0.00025	0.04125	0.2875	0.09975	0	5e-04	0	0	0	0.04425	0	0	0.00075	0.00375	0.001	0	0.136	0	0.00025	0.00225	0	0.00025	0.38075	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales"	0.0075	0.0075	0.0075	0.01675	0.00325	0.00625	0.01075	0.01975	0.01	0.01775	0.01825	0.0255	0.00925	0.02425	0.0085	0.03175	0.006	0.01	0.01525	0.0335	0.01275	0.00875	0.01275	0.01175	0.005	0.016	0.00475	0.03425	0.0055	0.0185	0.00975	0.01225	0.00675	0.02025	0.02125	0.01175	0.0105	0.011	0.0105	0.009	0.013	0.0065	0.08925	0.01575	0.026	0.022	0.011	0.02425	0.04	0.008	0.016	0.035	0.03375	0.0015	0.01875	0.01	0.016	0.0245	0.00975	0.018	0.02025	0.09325	0.01625	0.01825	0.0045	0.028	0.003	0.00825	0.027	0.037	0.0055	0.00225	0.031	0.0055	0.016	0.052	0.0185	0.009	0.0105	0.015	0.02725	0.013	0.002	0.022	0.02925	0.03175	0.034	0.011	0.009	0.042	0.02675	0.004	0.0415	0.01725	0.001	0.0095	0.01525	0.03325	0.01125	0.0295	0.0015	0.02225
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales"	0.04975	0.02825	0.01475	0.04625	0.0095	0.01275	0.02	0.01575	0.0275	0.01	0.0305	0.0205	0.02875	0.021	0.01525	0.007	0.01575	0.018	0.01475	0.00475	0.02425	0.01825	0.0065	0.006	0.0285	0.0055	0.0055	0.002	0.0065	0.006	0.01925	0.02075	0.0235	0.0055	0.01075	0.009	0.0055	0.0255	0.022	0.0115	0.00025	0.014	0.01625	0.00025	0.007375	0.0015	0.00325	0.0025	0.0055	0.0055	5e-04	0.01175	0.003	0.01	0.0045	0.007	0.021	0.00375	0.00175	0.00775	0.00025	0.0105	0.00525	0.011	0.02425	0.00925	0.00375	0.00275	0.01675	0.02325	0.0025	0.01175	0.012	0.00075	0.002	0.01325	0.00225	0.00225	0.01025	0.01425	0.00025	0.001	0.00575	0.003	0.002	0.02925	0.005	0.00225	0.01225	0.021	0.00025	0.0065	0.007	0.00475	0.00325	0.0085	0.001375	0.02625	0.003	0.03275	0.004	0.00325
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales"	0.00925	0.00275	5e-04	0.005	0.00025	0.003	0.0025	0.0045	0.02025	0.00075	0.01175	0.00075	0.00325	0.01	0.00675	0.00225	0.00125	0.0025	0.0015	0.00175	0.0015	0.00975	0	0.0075	0.00575	0	0.01175	0.00175	0.0025	0.0015	0.0015	0.00025	0.00225	0.002	0.00125	0.02225	0.00325	0.01175	0.005	0.00075	0.00525	0.01175	0.01625	0.01375	0.003125	0.00125	0.003	5e-04	0.00525	0.03625	0.00225	0.008	0.00025	0.003	0.0095	0.002	0.0325	0.00075	0.005	0.0045	0.00275	0.01125	0.0025	5e-04	0.002	0.0055	0	0.04925	0.001	0.00125	0.002	0.00075	0.0025	0.0055	0.00125	0.00275	0.00075	0.00775	0.02475	0.0015	0.001	0.00325	0	0.001	0.004	0.009	0.02075	0.00075	0.00975	0.00075	0.00275	0	0.01175	0.002	0.00025	0.09575	0.011	0.00475	0.00225	0.0045	0.003	0.00075
