"Taxa"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"Metabolism|Global and overview maps"	0.404820818359355	0.373271333552664	0.393851965191691	0.383459146445653	0.388599014220904	0.383827194942631	0.404388514131222	0.382121934431716	0.38592490380769	0.370172820307549	0.385473704670621	0.374127753080689	0.379163455558604	0.366043832179805	0.389893112991729	0.397369055542178	0.377168228196031	0.375757391006375	0.362306591478071	0.388398415643319	0.365683879090554	0.397134082260076	0.374704992264748	0.375889600541014	0.355217630733654	0.368211069713892	0.38266631756814	0.378736027252015	0.397940358697888	0.379449264872403
"Metabolism|Carbohydrate metabolism"	0.116117247264599	0.120795568829215	0.120001828295338	0.119516767544468	0.118702001598537	0.120563879207513	0.118779520460156	0.115786036129505	0.116007943824339	0.121226454189444	0.118838859563355	0.121291345635941	0.116995280991386	0.1212533584125	0.117362242064143	0.117960444395086	0.118665762327124	0.115101087671163	0.120707755442108	0.118074311689086	0.119814469063007	0.116524023113452	0.118818593174083	0.115395169522819	0.116163834515859	0.11647337944334	0.118163098565648	0.115405279921132	0.118562005370657	0.11430534704362
"Environmental Information Processing|Membrane transport"	0.0653604477501505	0.0761002850152627	0.0684459540227068	0.0682492009791864	0.0630591135184591	0.0737952428782629	0.0703206339222739	0.0747592026490431	0.0630575562406512	0.0810020162236689	0.0749073957053626	0.0825251248178864	0.0507298889643401	0.0800775331960895	0.0707627490860435	0.0618626506839575	0.0421670375233562	0.0619381015602987	0.0816715773722607	0.0730093610697751	0.0811205867401469	0.069863870832996	0.0753541680355205	0.0711002910103508	0.0827696170218237	0.0606548639742316	0.0716505032784189	0.0398545556606418	0.0751905790756492	0.0732597661732174
"Metabolism|Amino acid metabolism"	0.0728408569792591	0.060708679466667	0.0668703480835394	0.0641275201724813	0.0656752243117905	0.0647015071350362	0.0701637921697986	0.0654793206474203	0.0658130748089866	0.0606001413944212	0.0657221295649267	0.0617621327065474	0.0606305820016231	0.0586501459839863	0.0678332258662987	0.0682455746170741	0.0581413575564899	0.0623039406031812	0.0597928145666499	0.0670296546795928	0.0610539648707049	0.0705994954791147	0.0619794324899454	0.0642729494411917	0.0601897629050133	0.0592029056098661	0.0658560741606455	0.0591818724529083	0.0690667254692179	0.0667191573701268
"Environmental Information Processing|Signal transduction"	0.0317767543476994	0.0448514202396491	0.0375236514507688	0.0432280984668527	0.0442836708286426	0.0420002398305343	0.0303302261027551	0.0487195624673543	0.0480238434749275	0.0429251850455504	0.0427269781117444	0.0416314079425325	0.0587208978704806	0.0457407200605671	0.0393219909294104	0.0386001308676553	0.0598034172209968	0.0566544165780572	0.0466014044128566	0.0360045003527388	0.0466388784765012	0.0340925668959581	0.0478345373000698	0.0532878420961402	0.0509658014459797	0.0645026613476563	0.0409912027749919	0.0605857163190903	0.033933613382802	0.0441604999258857
"Cellular Processes|Cellular community - prokaryotes"	0.0322268607786937	0.0405901576750494	0.0367872835854239	0.0382738759806368	0.035645508734574	0.038674059524279	0.0342929958286951	0.0411997125929888	0.0392178019053512	0.0407614211997515	0.038654889975011	0.0402921484531353	0.0408359028096724	0.0420552265737133	0.0367667210547322	0.0351382511501993	0.0374762340455556	0.0422222151586747	0.043587832833743	0.035434940440101	0.0429448745346213	0.033659877083767	0.0410527554805947	0.0422701825262307	0.0490556468687585	0.0454796200179051	0.0389665753571233	0.039214882138389	0.0362892541550159	0.0411070580368919
"Metabolism|Energy metabolism"	0.0359012895612849	0.0368811303592764	0.0358428473399597	0.0362775923438639	0.0351396005593274	0.0360923731887952	0.0352443586197735	0.0359370133110157	0.0357275263931007	0.037679316809518	0.0355138863284125	0.0373263216470505	0.034774210218635	0.0376875078401132	0.0363431339327191	0.0357445763688108	0.0349913925018685	0.0358860086252236	0.0375744014101944	0.0368895410483795	0.037285176163374	0.0364497289049522	0.036468281452479	0.0360445612949035	0.0363733094672874	0.0355993619148085	0.0361781836401151	0.0349380366515373	0.035386873527287	0.0359594174713728
"Metabolism|Metabolism of cofactors and vitamins"	0.0388448420739504	0.0357484739161542	0.0387501211961099	0.0367258547534606	0.0369238623687965	0.036634414589811	0.0405668350382461	0.0342657677233447	0.0351881605476328	0.0353165477468854	0.0354952215361808	0.0356956877924605	0.0341233606819581	0.0350780965219813	0.0365010478549983	0.0388889726973349	0.0362579681876963	0.0343588712078445	0.0344320647264939	0.0374317371234464	0.0342391920702915	0.0381142834593711	0.0349139221454995	0.0327899553204778	0.0343268619124096	0.0322218660918254	0.0370169287048774	0.0363138520280857	0.0386408797583477	0.0362824170551255
"Metabolism|Nucleotide metabolism"	0.0272401552789201	0.0256396476950727	0.0272254099185958	0.0260679635499834	0.025877921052947	0.026190374045703	0.0280344264404794	0.0253731489724639	0.02554978650402	0.025511068630982	0.0258082940907323	0.0259298107873866	0.0253612572279043	0.0253086129444225	0.026134033180568	0.0270502604096852	0.0250157469889245	0.0247350707544314	0.0253065219053682	0.0266788284998447	0.0253003149079873	0.0270351838200268	0.0254212412267086	0.024784892687736	0.0238954283258725	0.0240340148606153	0.0263107066075621	0.0255144719636214	0.0272718671224968	0.0251830343440937
"Metabolism|Lipid metabolism"	0.0184887514234369	0.0214508819757594	0.0195995148648953	0.0210193492426487	0.0218662945717388	0.0202501392049161	0.0176140763828076	0.0211640318342378	0.0216549265981174	0.0212541421364351	0.020343953173521	0.0202091753450355	0.0240365284599788	0.0219324469936861	0.0199240877354293	0.0199020651636166	0.0276301168159135	0.0238797290471874	0.022021612849375	0.0196703833009628	0.0217196698619358	0.0186630238126864	0.021998970568494	0.0219273601574647	0.0226064810123081	0.0244333929679298	0.0205823974339205	0.0272729287424082	0.0180554812083329	0.0215907863480053
