"Taxa"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"
"Metabolism|Global and overview maps"	0.367674193583345	0.369972465594067	0.377307669470878	0.376960649521913	0.362296248710244	0.389877954181447	0.384501531040722	0.393653523352968	0.375490651425529	0.389183996746037	0.382606432760708	0.380384075887813	0.386837014358846	0.38781767183055	0.376915148810945	0.403565474354807	0.361671857891645	0.381533564784934	0.384244345484921	0.366264419632749	0.362259669910494	0.375591489001891	0.400817621529213	0.371471180114242	0.377634939326878	0.373787177830154	0.359905407600494	0.37185790024221	0.394243824247776	0.363812750672803	0.381512783392122	0.380977629936434	0.394954083557067	0.367449316261379	0.387652756747841	0.391725632918576	0.376599082633487	0.379846570548511	0.383127716588657	0.385369127498966	0.391464005808553	0.383905167847938	0.368359256310093	0.406351820696052	0.393304438269627	0.397413846756382	0.401060945426328	0.400631049436465	0.38859031173763	0.401968142816124	0.408403583497306	0.381098756061223	0.395858410157355	0.396196717804197	0.388916233861087	0.390313021129548	0.394644176102544	0.39602200198203	0.402899440129502	0.402885024546316	0.395802364269624	0.384361317419428	0.367099094933626	0.390739524992946	0.358366612922035	0.391115775009036	0.389820513339116	0.398898918944116	0.379828119700239	0.38579321522037	0.379362578293882	0.363944843498918	0.392011148056725	0.406941745512897	0.400144138478981	0.384693167221276	0.400671876008624	0.38879577638843	0.364082498753595	0.389288158970266	0.399446058420418	0.405466496801331	0.401464182795667	0.401652100443529	0.392928269910215	0.380889278524251	0.390064231188042	0.395165658146347	0.390986829447375	0.366770821947193	0.400812244595227	0.391545662046737	0.371266031019295	0.395655250483167	0.399357584185301	0.397337167420152	0.401380343538964	0.384770395132813	0.36522729250937	0.376460969987405	0.379839060886075	0.401321840023536
"Metabolism|Carbohydrate metabolism"	0.115861038237885	0.122031621153232	0.117788056003348	0.118476661695864	0.123411966046895	0.116660045368816	0.115078194265753	0.115922785672259	0.114823880179991	0.117288613599442	0.118841867686389	0.120075785190914	0.112728928078371	0.116561871075497	0.11841134384269	0.113660559955718	0.121048251379827	0.117574849920675	0.117710492325522	0.122575857328005	0.120573418143722	0.11921784945892	0.114577713905496	0.12115988509238	0.118482439241374	0.120306440567885	0.121834990816733	0.11953543355645	0.116076464742328	0.123121396150042	0.119324762769425	0.121399416722773	0.113932403685708	0.122358251716306	0.118512352293732	0.11651955304683	0.121369791143012	0.116803238469063	0.115279950046259	0.118075033339493	0.120134415147182	0.118765945140963	0.116727390598776	0.115915580079443	0.117880031400876	0.119215389273343	0.117589448330706	0.118483132134811	0.117245946429751	0.118610211621314	0.114650348175312	0.107091701079235	0.118250075320818	0.116350922613743	0.118239339175972	0.118677699603731	0.118762939071712	0.118338640354922	0.116163779618874	0.114228479483651	0.118441961842334	0.119567527430237	0.12193935788279	0.120101497334156	0.119820711891727	0.115811033877926	0.115766870929044	0.115549274758217	0.118824817504266	0.118983467104199	0.120013953861466	0.117480479929604	0.115423639728389	0.117134127131614	0.117009340854362	0.120014475751335	0.116365999163828	0.118697759747637	0.121384823775275	0.113321208542703	0.118332939446982	0.116230885721992	0.116113941897971	0.116793654477902	0.11930031684264	0.114217737358824	0.117136644263537	0.118049580161088	0.117200966171448	0.118358503695762	0.115214043610414	0.117409075208972	0.11988414230771	0.115570591826856	0.114972044252604	0.114447781858648	0.11820340684858	0.115664327223235	0.121718718073594	0.118152943662827	0.118816678656932	0.118716907285152
"Environmental Information Processing|Membrane transport"	0.084353030219622	0.083524818742029	0.0763794329596973	0.0815636482113785	0.0859939654868927	0.0633618930436311	0.0765374372229496	0.0691471169018364	0.0716544584492059	0.0714651890711642	0.078204281073796	0.0773794364061432	0.067063808310977	0.0737576122979231	0.0654438147319504	0.0661384976090779	0.0828383296506888	0.0764103280304668	0.070389343407947	0.0835484813704781	0.0823277572543813	0.0785629173909006	0.0642783229611451	0.0806771781599123	0.0757722541372413	0.080525762592392	0.0841481545163713	0.0915289968598131	0.060142230064335	0.0845213638003998	0.0750373987069418	0.0737650176443292	0.0676752992547982	0.0836324572193069	0.0756240677966502	0.0678612470165697	0.0805384662052377	0.0724325844957188	0.067720441511026	0.0699414658617395	0.0676504501749257	0.0663525956031611	0.0721757855509028	0.061770805100609	0.0731229799385021	0.0728127857471396	0.0644384635997919	0.0698229948510477	0.0682177477836012	0.070115271895848	0.0619795667916144	0.0649342872435799	0.0711202775774722	0.0673891509669567	0.0617046670749909	0.0767727228360133	0.07516891198033	0.0719754987981412	0.0678923488417755	0.0604701036181287	0.0700879225846161	0.0561709129275827	0.0815927746911393	0.0755000600485454	0.089189642443601	0.0612720795777547	0.0620079575095281	0.0652954636466375	0.0601504136867847	0.0778654309807707	0.0775787525168478	0.0927953659394977	0.0659405538146728	0.0666257527005519	0.0643672892950214	0.0633142791393752	0.0657177109845741	0.0733731889131541	0.0816578337117028	0.071588281427613	0.0616958395273076	0.0656392294129175	0.0640958095086921	0.0646080576399673	0.0698152432995137	0.07473945499556	0.0626248332393229	0.0641860823377272	0.0695290602895476	0.0838623477079261	0.0671776026999903	0.0672941167234807	0.0779085291035609	0.0545046876140687	0.0540108335908267	0.0616297357087363	0.067743028072158	0.0627275196838415	0.0825170184058691	0.0758087089853593	0.0674476183366007	0.0710813017504968
"Metabolism|Amino acid metabolism"	0.0615964812064748	0.0592321639066988	0.0653826573011911	0.062366159524523	0.0564932859328657	0.0665594423954959	0.0676221685258768	0.0692873681132651	0.0643829709670946	0.0669135837297413	0.0642112284433007	0.0636820108660769	0.0686410820526398	0.066869160055249	0.0636160748992592	0.0747345008265678	0.0591766748152493	0.0656005891638833	0.0669039486370306	0.0577310015347244	0.0593927558317352	0.0633413515794664	0.0728115017885346	0.0602502002272259	0.0624121333112841	0.0619149980344566	0.0584219524595156	0.0597192466901138	0.0696693698534328	0.0569990477526157	0.0633185547770251	0.0640543564306398	0.0720195966213136	0.0585555593898642	0.0667764424814512	0.068539754736261	0.0612091753447503	0.0627855708909798	0.0649720013458031	0.0644397734142532	0.0645813362142665	0.0644515778190906	0.0605812620300994	0.0730859108834117	0.0680122028488535	0.0677260162904456	0.0698426748795126	0.0691763469912931	0.0667704590796875	0.0695613272262147	0.0750510349935851	0.0629927983894518	0.0680651768403138	0.070366401813593	0.0647374588533872	0.0659683829383882	0.068970535724863	0.0683282460538794	0.0721602774117013	0.0733417936339543	0.0683400580103715	0.0628000355262023	0.0585991731554622	0.0665504868038306	0.0561769320751211	0.0675150709464213	0.0675622263259019	0.0717630369213145	0.061042401776387	0.0675192067979995	0.0632892369881926	0.0559773458704532	0.0685914494443619	0.0723139429508205	0.0703540690495355	0.0623117623525318	0.0710578498189628	0.0666688869549652	0.059671264984335	0.0686232613590307	0.0681217859003255	0.0726627046279825	0.0717236221986412	0.0710167389791215	0.0659683212859014	0.0661218285171636	0.066793187343029	0.0671771466163051	0.0678278132153729	0.0612554866988485	0.0722432702936857	0.0677835351189782	0.0610559644877155	0.0694864143368868	0.0706965360508782	0.0717905303598807	0.0694703244981075	0.065290934575349	0.0596685426457021	0.0621102675717473	0.0621395464144138	0.0697574940624225
"Environmental Information Processing|Signal transduction"	0.056387098397667	0.0476129528125169	0.0483427849804226	0.0474294639040517	0.044207862144855	0.0443820291609017	0.0435043648254318	0.0389592624547523	0.0548671459530224	0.039801099759429	0.0445671559070007	0.0379686924091155	0.0472336214770128	0.0417133930229434	0.0527276123870412	0.0319616802786993	0.0473429137490164	0.0449661759738931	0.0448981044691598	0.0453908416010388	0.0473312111562162	0.0433502837336285	0.0335674240768847	0.0430978066342402	0.0471522074269567	0.0417528567126595	0.046128588121818	0.0480690025245973	0.0415084624468459	0.045210883686289	0.0435753051770471	0.0429428969475441	0.0381708354771677	0.0438278747063713	0.0386341058438476	0.0405351827391775	0.041554236696808	0.0514341668247569	0.0510871057806195	0.0463967108531305	0.0369272999531333	0.0462272470988038	0.0493840625190597	0.0321497108342992	0.0364658722381761	0.0347331052091825	0.0348160265078704	0.033588497789541	0.0407220513834927	0.0320281175561468	0.0302598611241263	0.0449030213159067	0.0368179994545538	0.0373724891232197	0.0460449861188638	0.0402759278393068	0.0349610948301572	0.0360680241820946	0.0312388191402699	0.0349888283847072	0.0337801452845744	0.048224218924431	0.0444466034177169	0.0384813455146452	0.0526522862360686	0.045063262913639	0.0458190651278643	0.0360173048136277	0.0513038355231236	0.0375099310515366	0.0397496036960473	0.0433477652601114	0.0427480187611324	0.0296722125249776	0.035985439512635	0.0448479964173963	0.0347229828890798	0.0373151569542554	0.0454306994349108	0.0374472773354011	0.0374863074975064	0.0312952810775512	0.0351368811517243	0.0346937574583578	0.0394720292447043	0.0455007739896565	0.0449904917401235	0.0395880571737038	0.0409615344463661	0.0538290848717259	0.0344506549126475	0.0413512349688715	0.0438462985155435	0.0444227949614363	0.0402386242781466	0.0368478979498411	0.0338836096244014	0.0478386505498913	0.0441921095486474	0.0506138627571055	0.0499715284199256	0.0320212693401917
"Cellular Processes|Cellular community - prokaryotes"	0.0457999346554737	0.042915455310286	0.038961655673553	0.0433910185046314	0.0424879628522807	0.0373381974278278	0.0394453785641665	0.0357534903092301	0.0420728647083992	0.0376888902638349	0.0418896037411528	0.0373594602419226	0.038242770386677	0.0381757690185695	0.0416854742258148	0.0309961979861251	0.0441953479335906	0.0384153999956913	0.0389941723463003	0.0428056966643434	0.0441725091417379	0.0409352576963866	0.0315948704745775	0.0409440097625002	0.0414588065830576	0.0398314381071977	0.0441359056803088	0.0484557161388205	0.0349362330692883	0.0427323014900478	0.0401879548586879	0.0379745918668017	0.0341940388751567	0.0420098248000573	0.0377264865548983	0.0352638127594867	0.0406507476430619	0.0425561944003767	0.0413665796624781	0.0404745050898101	0.0357305328716224	0.0388930507889489	0.0404597089387171	0.0316365891210301	0.0364201413908423	0.0366346295976	0.0339204285800234	0.0354803131574603	0.0363597915203659	0.0346511005343711	0.0302122248467817	0.0380163159786791	0.0369428323755025	0.0338789671953834	0.0386749760702148	0.0395896313692724	0.0347840546461556	0.0364582583416819	0.032344131551877	0.03148814429328	0.0348138099549095	0.0372307144953806	0.041738898083796	0.0384528621066023	0.044062288718221	0.0371639597079061	0.0382720311141017	0.033559214054804	0.0375620655487532	0.0354919673852647	0.0385947884638863	0.0434097406716782	0.036872067648648	0.0322535134780876	0.0346409252509111	0.0370905755018262	0.0337201303542263	0.0367384619044403	0.0431808891939552	0.0347312689248502	0.035149283954944	0.0324211675181035	0.0333183736406336	0.0336230343729706	0.0382268382137831	0.0379666124398655	0.0379441139564158	0.0360741258320309	0.0376894384560699	0.042701769561804	0.0339975140462046	0.0368063881951141	0.0414022211307963	0.035097481220127	0.0331447813405471	0.0309563767529508	0.0350162310980743	0.0360946087891603	0.0429751320086415	0.0413499563818676	0.0399408676132557	0.0345176037772254
"Metabolism|Metabolism of cofactors and vitamins"	0.0313989774801276	0.0347611982213284	0.0332384057819863	0.0346719708602808	0.0348845633660316	0.0367294344956945	0.0345906784883167	0.0365248253506866	0.0323342759015755	0.0370847680966878	0.0357842077935813	0.0368338411883212	0.034501400646912	0.0356150801221929	0.0338564191613131	0.0378093055918775	0.0342265091140479	0.0343548002332367	0.0348725639922073	0.0350675276772148	0.0343642808153592	0.0353069561090833	0.0375354600378547	0.0353898025598785	0.0352150004120676	0.0355251953286725	0.0345215700317198	0.0336185696158835	0.0370930390400256	0.0348558004050365	0.036282168299461	0.0359018508576754	0.0358790691948355	0.035157923212318	0.0366219467757775	0.0365350103741779	0.0363629998612338	0.0348615487719823	0.0347860998651912	0.0362121508646042	0.0391831102589112	0.0359844785056441	0.0353622131196003	0.0390143129842629	0.0377291333473086	0.0391850478000814	0.0392568697758695	0.0395952695219631	0.0366379597521839	0.0397176979115316	0.0385170416709167	0.0381991026348406	0.0383292616141897	0.0368311034770833	0.037605884540544	0.0373388895543651	0.0376617056639853	0.0383116276960845	0.0383999826365371	0.0377139262801955	0.0389188879340806	0.0374295515751603	0.0351986865458487	0.0379009352833055	0.0322749486357592	0.0365024985712404	0.035592996385761	0.0368766135680747	0.0361332017636876	0.0362084450633065	0.0364807714875421	0.0341082942291943	0.0362637902245366	0.0400158281751537	0.0382905911713693	0.0377102347034233	0.0383187556646594	0.0371107477572412	0.0348864373225823	0.0361321424382084	0.0396118662522018	0.039158343409068	0.0380665771123034	0.0387065914410302	0.038174718674749	0.0340275547167194	0.036533352590842	0.038545527059051	0.0366612171347623	0.0315093776030186	0.0377109117582791	0.0365640456662824	0.0358242823302317	0.0373049897844662	0.0377194466156114	0.0367022576510829	0.039611870779464	0.0351050535371215	0.0353078281463603	0.0342218034882997	0.0354819048353729	0.0396050032678348
"Metabolism|Energy metabolism"	0.036369603606263	0.0370500663545925	0.0359300496302975	0.0362362369476197	0.038114581951335	0.035644145373369	0.0360451973254989	0.0358925037445686	0.0361044445136305	0.0361870912470826	0.0353395697175393	0.0372574338328045	0.0362770858719289	0.0358743645405152	0.0365442161901421	0.0365065067723719	0.0373394200896444	0.0358027611158696	0.0366637399420054	0.0373731091709757	0.0374533642756231	0.0366537199777408	0.0366679471778916	0.0374007874604263	0.0364545524769757	0.0374695634620132	0.0377342495075366	0.0352458624799983	0.0364560327762134	0.0377966106711089	0.0362419968372263	0.036022743144413	0.0366688477499898	0.0375995533561698	0.0363664702109913	0.0358568724875626	0.036789731219136	0.0356179164073962	0.0357521149805138	0.0355131537978067	0.0360389316517377	0.0360225889393767	0.0380428331319995	0.0358442495364875	0.0359711887173446	0.0352385976623773	0.0356244392007522	0.0353619012152143	0.0363569463339481	0.0352978190565132	0.0361405885121673	0.0388887011561259	0.0354608613407482	0.035882792360986	0.0353644572192529	0.0353361719582028	0.0356290625344587	0.0354579211162368	0.0357516242571006	0.0362512485882263	0.0361852763820658	0.035904860601538	0.0377008516735694	0.0356526005432856	0.0373319742725711	0.0358331313001012	0.0358682734881534	0.0359848922098357	0.035221519034108	0.0362935149359863	0.0371502158068303	0.0384670672640303	0.0359359992527894	0.0355941127096827	0.0357125659795676	0.0356372301960741	0.0356421653868478	0.0364987348571794	0.0374298929177485	0.0378856697021898	0.0351699553737736	0.0358291227943258	0.0358503632482574	0.0356640334769184	0.035121457445567	0.0369227746487759	0.0356062557328993	0.0353320044056628	0.0357383662075269	0.0358545366108412	0.0361060200129616	0.0356298276828206	0.0367374169615363	0.0357364148173646	0.0359483580141608	0.0363023451130774	0.0352999683542202	0.035819961653468	0.037438014111211	0.0354268287119425	0.0353507918139963	0.0353157495776933
"Metabolism|Nucleotide metabolism"	0.0242349491471578	0.0253125558413899	0.0247882814420776	0.0254883105102666	0.025354571648362	0.0262235024368402	0.0255914937386642	0.0262575086649669	0.0245150025224059	0.0263228598147632	0.025845356930352	0.0264038115296179	0.0255242110715223	0.0261863149296704	0.0249478921802225	0.0270782354314223	0.0252141963889512	0.0253694058351149	0.0257434575660606	0.0254511203213406	0.0252944561239711	0.0257838667057687	0.0267123642128683	0.0256540826501789	0.0255298497983324	0.0257450249728188	0.0252898656044943	0.0258486250181154	0.0263076344336008	0.0252879900414887	0.0260264390219819	0.0259133836972555	0.0263092797090246	0.0254807784708853	0.0264217115552578	0.0262500769701498	0.0261198993991881	0.0254412801549676	0.025478380393106	0.0259295683544839	0.0273022977633014	0.026005011057955	0.0256534478761972	0.0271613850211471	0.0268681537459694	0.0274675476035616	0.0272836345096914	0.0275137374548029	0.0262542959292894	0.0277295391405444	0.0270622833345053	0.0266113190512851	0.0269416147364052	0.0263439191998285	0.0264275251930978	0.0267895747789798	0.0268308989368536	0.0270445419685655	0.0274503687499364	0.0267495734518158	0.0271731609327573	0.0262051326552778	0.0253788489721221	0.0269373755963285	0.0221899198086477	0.0260660366513668	0.0254972153703354	0.0265046214276308	0.0256379691108615	0.0264621093124785	0.0261101403268097	0.0225089669212105	0.0261298864197219	0.0277643325848733	0.0267860503133986	0.0264134938117425	0.027202565489057	0.0264267626686906	0.025530731962572	0.0246385336414243	0.0273721000466173	0.0273732626529196	0.0267928596007494	0.0270914841153262	0.0269259876075764	0.024481370396416	0.025990061456373	0.0270245932459993	0.0263928473167523	0.0239597459212176	0.0268081657795475	0.0261394946860139	0.0254953898395936	0.0260504995177293	0.0262947037401407	0.0265779945484613	0.0275239670072171	0.0256707995800606	0.0256435225400675	0.0252711816752555	0.0255054363591809	0.0276918668683619
"Metabolism|Lipid metabolism"	0.022118253780993	0.0209362303377325	0.0209626416484121	0.0202456969147666	0.0217740818841613	0.0209116725795662	0.020208620630024	0.0202100134570013	0.0223856292816436	0.0201594160396526	0.0198039962409117	0.0202875754082263	0.0211987977168654	0.0201417297990579	0.0222701603924954	0.0182149945553942	0.0220156019636005	0.021133791328769	0.0204567090361043	0.0213673497806456	0.0220180697879417	0.0208368194724262	0.0195833667144346	0.0211000004118124	0.0211013381030558	0.020630158087066	0.0219922193447599	0.01917049681629	0.0204324940415602	0.0217086362760943	0.0205307985209089	0.0212678663647461	0.0192816713695948	0.0212781123549458	0.019202845984339	0.0204179552066418	0.0203269618671438	0.0216472665005355	0.0214260204583713	0.0208898001413212	0.0203390083194874	0.0216532113133599	0.0246185187400545	0.0189802931250689	0.0189480525746433	0.0183520989668549	0.0190419025691832	0.0183355997699585	0.0204438117073708	0.0180604706910375	0.0188377627905154	0.0241840165712855	0.0189883584109239	0.0197936364125414	0.0210505534796049	0.0190008021756357	0.0186676726429551	0.0188063109496043	0.0185123378074573	0.0195829263569857	0.0190894699282919	0.0235377738158093	0.0216458793036834	0.0189192376037302	0.0232709442286823	0.0207844471944509	0.0213483147377068	0.0195970675391728	0.0242594197394106	0.0193730152729558	0.0203472675189136	0.0224293381540149	0.0202069137307147	0.0179834622865898	0.0194516469023366	0.0224317024147527	0.0189196911150253	0.0197060819321929	0.02174603372616	0.0207114914108998	0.0195934759164868	0.0183782677018211	0.0192415221672693	0.0189700966065762	0.0195575650448069	0.0217719078352425	0.0207965864041077	0.0199884387295171	0.0197126130113091	0.0224803308572339	0.0187328542086782	0.0203594464301183	0.0214084070550043	0.0207567185511081	0.0212270752850579	0.0205012163531144	0.0184457909751065	0.0230773260240653	0.0214187857395205	0.0219379489427884	0.0221601632419232	0.0180623764511797
