"Taxa"	"wolverine_1"	"hamlet_11"	"joans_11"	"ginger_14"	"kubo_14"	"wolverine_14"	"kubo_15"	"ivy_17"	"kubo_17"	"wolverine_17"	"ginger_18"	"hamlet_18"	"ivy_18"	"kubo_18"	"wolverine_18"	"ivy_19"	"ophelia_19"	"wolverine_19"	"ginger_2"	"ginger_20"	"hamlet_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"joans_21"	"korra_21"	"kubo_21"	"hamlet_22"	"henry_22"	"joans_22"	"kubo_22"	"marshmallow_22"	"hamlet_23"	"korra_23"	"ginger_24"	"henry_24"	"ivy_24"	"kubo_24"	"marshmallow_24"	"ophelia_24"	"wolverine_24"	"henry_25"	"kubo_25"	"ginger_29"	"henry_29"	"joans_29"	"korra_29"	"kubo_30"	"hamlet_31"	"ginger_36"	"henry_36"	"kubo_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"henry_42"	"ivy_42"	"ophelia_43"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"hamlet_45"	"henry_45"	"ivy_45"	"joans_45"	"korra_45"	"marshmallow_45"	"ophelia_45"	"charles_46"	"hamlet_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"ginger_47"	"ivy_47"	"marshmallow_47"	"charles_48"	"hamlet_48"	"ivy_48"	"joans_48"	"korra_48"	"kubo_48"	"marshmallow_48"	"ophelia_48"	"wolverine_48"	"charles_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"kubo_49"	"marshmallow_49"	"ophelia_49"	"wolverine_49"	"charles_50"	"ginger_50"	"ivy_50"	"joans_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"charles_51"	"joans_51"	"charles_52"	"ginger_52"	"kubo_52"	"marshmallow_52"	"kubo_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"ophelia_55"	"joans_56"	"joans_57"	"ophelia_57"	"wolverine_57"	"ginger_58"	"wolverine_58"	"hamlet_59"	"henry_59"	"ophelia_59"	"korra_6"	"joans_60"	"marshmallow_60"	"wolverine_60"	"joans_62"	"henry_66"	"hamlet_67"	"ivy_67"	"ginger_7"	"charles_9"	"henry_9"	"ivy_9"	"korra_9"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales"	0.394	0.254888888888889	0.270444444444444	0.581777777777778	0.105555555555556	0.332222222222222	0.378444444444444	0.126888888888889	0.378222222222222	0.515777777777778	0.274666666666667	0.195555555555556	0.11	0.333777777777778	0.418888888888889	0.154444444444444	0.194222222222222	0.315555555555556	0.0433333333333333	0.140444444444444	0.102888888888889	0.114222222222222	0.149555555555556	0.250888888888889	0.409555555555556	0.162444444444444	0.225555555555556	0.084	0.102666666666667	0.293555555555556	0.264444444444444	0.220222222222222	0.203777777777778	0.173333333333333	0.191111111111111	0.189555555555556	0.157888888888889	0.268222222222222	0.0282222222222222	0.266666666666667	0.610666666666667	0.187777777777778	0.105111111111111	0.320222222222222	0.256	0.243777777777778	0.285555555555556	0.132888888888889	0.351555555555556	0.209333333333333	0.178	0.426666666666667	0.0546666666666667	0.374222222222222	0.253222222222222	0.112888888888889	0.00577777777777778	0.101777777777778	0.263555555555556	0.0991111111111111	0.252666666666667	0.338222222222222	0.209333333333333	0.15	0.136666666666667	0.104444444444444	0.309777777777778	0.132444444444444	0.138222222222222	0.123555555555556	0.0291111111111111	0.309555555555556	0.164444444444444	0.161333333333333	0.366666666666667	0.177333333333333	0.130888888888889	0.394222222222222	0.306222222222222	0.0728888888888889	0.236222222222222	0.125555555555556	0.207111111111111	0.101111111111111	0.172222222222222	0.187555555555556	0.143111111111111	0.0851111111111111	0.296	0.154444444444444	0.402	0.295555555555556	0.381777777777778	0.137777777777778	0.214222222222222	0.160888888888889	0.0555555555555556	0.268222222222222	0.219333333333333	0.373111111111111	0.325777777777778	0.145555555555556	0.174666666666667	0.156444444444444	0.0235555555555556	0.393111111111111	0.143333333333333	0.0855555555555556	0.0731111111111111	0.281333333333333	0.0908888888888889	0.112888888888889	0.159333333333333	0.0162222222222222	0.0393333333333333	0.350111111111111	0.0782222222222222	0.181111111111111	0.336	0.123111111111111	0.157111111111111	0.251777777777778	0.273777777777778	0.452888888888889	0.204222222222222	0.248222222222222	0.052	0.130555555555556	0.274666666666667	0.0704444444444444	0.382222222222222	0.304	0.0724444444444445	0.0175555555555556	0.259111111111111	0.109777777777778	0.259777777777778	0.158	0.0893333333333333	0.155333333333333
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.130444444444444	0.151333333333333	0.167777777777778	0.082	0.0793333333333333	0.152888888888889	0.0844444444444444	0.338666666666667	0.111777777777778	0.193111111111111	0.179111111111111	0.184222222222222	0.383111111111111	0.185777777777778	0.114666666666667	0.181111111111111	0.263333333333333	0.294888888888889	0.0497777777777778	0.260444444444444	0.193555555555556	0.168444444444444	0.175111111111111	0.144888888888889	0.134666666666667	0.157555555555556	0.150888888888889	0.0637777777777778	0.255777777777778	0.204888888888889	0.122	0.122444444444444	0.199333333333333	0.106666666666667	0.298	0.210444444444444	0.149111111111111	0.143333333333333	0.0544444444444444	0.303555555555556	0.117555555555556	0.244666666666667	0.156888888888889	0.131111111111111	0.243555555555556	0.0882222222222222	0.0451111111111111	0.0431111111111111	0.19	0.230222222222222	0.205111111111111	0.139333333333333	0.115333333333333	0.111777777777778	0.147111111111111	0.08	0.778444444444444	0.285333333333333	0.216222222222222	0.580888888888889	0.138222222222222	0.153777777777778	0.128333333333333	0.261333333333333	0.1	0.531111111111111	0.108888888888889	0.299777777777778	0.365777777777778	0.435555555555556	0.04	0.168222222222222	0.298888888888889	0.390444444444444	0.0597777777777778	0.255111111111111	0.0628888888888889	0.0604444444444444	0.262444444444444	0.076	0.227333333333333	0.304	0.275555555555556	0.172	0.218444444444444	0.314888888888889	0.0542222222222222	0.415111111111111	0.198	0.0462222222222222	0.0648888888888889	0.150222222222222	0.182	0.309111111111111	0.245111111111111	0.0564444444444444	0.427333333333333	0.186222222222222	0.117555555555556	0.088	0.134	0.446444444444444	0.290222222222222	0.212444444444444	0.0702222222222222	0.0606666666666667	0.244444444444444	0.516888888888889	0.352444444444444	0.147777777777778	0.261111111111111	0.2	0.179555555555556	0.0213333333333333	0.251333333333333	0.130666666666667	0.310666666666667	0.156	0.193333333333333	0.0604444444444444	0.472222222222222	0.0755555555555556	0.137111111111111	0.0575555555555556	0.259111111111111	0.224	0.295111111111111	0.170222222222222	0.0942222222222222	0.110666666666667	0.124	0.188666666666667	0.480222222222222	0.771333333333333	0.0866666666666667	0.083	0.0542222222222222	0.190111111111111	0.248222222222222	0.375777777777778
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales"	0.151555555555556	0.0706666666666667	0.0935555555555556	0.0708888888888889	0.115555555555556	0.145555555555556	0.124444444444444	0.13	0.0768888888888889	0.0744444444444444	0.236666666666667	0.331555555555556	0.159333333333333	0.191555555555556	0.155111111111111	0.229111111111111	0.307555555555556	0.123777777777778	0.0284444444444444	0.368444444444444	0.263555555555556	0.181555555555556	0.152666666666667	0.258888888888889	0.121555555555556	0.177555555555556	0.255333333333333	0.0448888888888889	0.287111111111111	0.122666666666667	0.208888888888889	0.178666666666667	0.280222222222222	0.142888888888889	0.304222222222222	0.189111111111111	0.216555555555556	0.112222222222222	0.201111111111111	0.152444444444444	0.0862222222222222	0.0942222222222222	0.133111111111111	0.189333333333333	0.157777777777778	0.236888888888889	0.0973333333333333	0.148888888888889	0.141555555555556	0.136444444444444	0.290666666666667	0.176	0.094	0.207111111111111	0.199111111111111	0.215555555555556	0.0137777777777778	0.109111111111111	0.125555555555556	0.112	0.186222222222222	0.08	0.206111111111111	0.223111111111111	0.125111111111111	0.132444444444444	0.0846666666666667	0.117777777777778	0.178444444444444	0.0793333333333333	0.0746666666666667	0.142666666666667	0.234666666666667	0.157111111111111	0.0833333333333333	0.247777777777778	0.0826666666666667	0.0442222222222222	0.113111111111111	0.0991111111111111	0.218888888888889	0.246666666666667	0.202444444444444	0.231555555555556	0.126444444444444	0.258444444444444	0.131555555555556	0.230888888888889	0.0817777777777778	0.0417777777777778	0.0886666666666667	0.238888888888889	0.164444444444444	0.250444444444444	0.261333333333333	0.0973333333333333	0.238888888888889	0.179555555555556	0.0986666666666667	0.164666666666667	0.151777777777778	0.197555555555556	0.302222222222222	0.289333333333333	0.0553333333333333	0.0951111111111111	0.183777777777778	0.179111111111111	0.298444444444444	0.192666666666667	0.145111111111111	0.179111111111111	0.278222222222222	0.0524444444444444	0.153333333333333	0.157111111111111	0.174666666666667	0.172888888888889	0.206888888888889	0.0517777777777778	0.108666666666667	0.0575555555555556	0.198222222222222	0.0955555555555556	0.163333333333333	0.192	0.128222222222222	0.239	0.293555555555556	0.121333333333333	0.112	0.145333333333333	0.123111111111111	0.0391111111111111	0.105333333333333	0.0411111111111111	0.101333333333333	0.0876666666666667	0.102888888888889	0.0953333333333333
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales"	0.106222222222222	0.0175555555555556	0.0935555555555556	0.0797777777777778	0.0204444444444444	0.0797777777777778	0.0593333333333333	0.129555555555556	0.108666666666667	0.111333333333333	0.132222222222222	0.120888888888889	0.0513333333333333	0.106444444444444	0.148444444444444	0.116222222222222	0.0848888888888889	0.113111111111111	0.014	0.103555555555556	0.0355555555555556	0.0635555555555556	0.0322222222222222	0.101555555555556	0.000222222222222222	0.152444444444444	0.0997777777777778	0.0264444444444444	0.119333333333333	0.0824444444444444	0.082	0.146	0.117333333333333	0.126	0.113333333333333	0.161777777777778	0.147	0.139777777777778	0.0262222222222222	0.0388888888888889	0.0695555555555556	0.0753333333333333	0.0428888888888889	0.227777777777778	0.0711111111111111	0.0535555555555556	0.0646666666666667	0.0691111111111111	0.113555555555556	0.134	0.112222222222222	0.0644444444444444	0.0168888888888889	0.0864444444444444	0.0497777777777778	0.19	0.00577777777777778	0.0922222222222222	0.201333333333333	0.0513333333333333	0.0406666666666667	0.352444444444444	0.203	0.0613333333333333	0.142666666666667	0.0535555555555556	0.422666666666667	0.112222222222222	0.0528888888888889	0.119777777777778	0.0522222222222222	0.0404444444444444	0.0508888888888889	0.104444444444444	0.313333333333333	0.0715555555555556	0.128222222222222	0.350666666666667	0.114222222222222	0.074	0.0235555555555556	0.107333333333333	0.0946666666666667	0.208	0.182444444444444	0.074	0.213333333333333	0.04	0.0866666666666667	0.00644444444444444	0.365555555555556	0.215555555555556	0.0897777777777778	0.120888888888889	0.113555555555556	0.137111111111111	0.0397777777777778	0.0995555555555555	0.381777777777778	0.273777777777778	0.242666666666667	0.0391111111111111	0.114	0.150444444444444	0.00711111111111111	0.0991111111111111	0.207333333333333	0.0568888888888889	0.0591111111111111	0.227555555555556	0.0622222222222222	0.103555555555556	0.138444444444444	0.0162222222222222	0.349777777777778	0.221111111111111	0.201777777777778	0.0235555555555556	0.0871111111111111	0.0708888888888889	0.0524444444444444	0.0611111111111111	0.253333333333333	0.0713333333333333	0.0766666666666667	0.252888888888889	0.0684444444444444	0.0487777777777778	0.105333333333333	0.0842222222222222	0.135111111111111	0.253333333333333	0.0657777777777778	0.0106666666666667	0.159555555555556	0.0953333333333333	0.00777777777777778	0.0413333333333333	0.088	0.11
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales"	0	0.00422222222222222	0.0817777777777778	0.00111111111111111	0.533111111111111	0	0.110444444444444	0.116444444444444	0.0535555555555556	0	0	0.00177777777777778	0.000222222222222222	0.00422222222222222	0	0.000444444444444444	0.00133333333333333	0	0.599777777777778	0.00155555555555556	0.267777777777778	0.223777777777778	0.352	0.0904444444444444	0.000444444444444444	0.213333333333333	0.058	0.701333333333333	0.103777777777778	0.137333333333333	0.0448888888888889	0	0.0122222222222222	0.322444444444444	0	0.114666666666667	0.000333333333333333	0.158444444444444	0	0.00377777777777778	0.000444444444444444	0.28	0.00177777777777778	0.000444444444444444	0.100888888888889	0	0.457333333333333	0.0288888888888889	0.0288888888888889	0.0608888888888889	0.0153333333333333	0.0173333333333333	0.637333333333333	0.00311111111111111	0.0428888888888889	0.0976666666666667	0.000222222222222222	0.272444444444444	0.00577777777777778	0.000222222222222222	0.125111111111111	0	0.0166666666666667	0	0.00622222222222222	0.00222222222222222	0	0.166	0	0.0966666666666667	0	0.122444444444444	0.000666666666666667	0.0113333333333333	0.000666666666666667	0	0.00266666666666667	0.0802222222222222	0	0.197111111111111	0.118444444444444	0.002	0.000444444444444444	0.0182222222222222	0.148666666666667	0	0.152666666666667	0.0464444444444444	0.202222222222222	0.510222222222222	0.000444444444444444	0.00311111111111111	0.0262222222222222	0.000222222222222222	0.000222222222222222	0.0415555555555556	0.0588888888888889	0.0675555555555555	0.0995555555555555	0.000444444444444444	0	0	0.0175555555555556	0.00511111111111111	0.796444444444444	0.262222222222222	0.0442222222222222	0	0.00377777777777778	0.000222222222222222	0.300888888888889	0.136222222222222	0.0111111111111111	0	0.00244444444444444	0.000111111111111111	0.000222222222222222	0.277777777777778	0	0.272444444444444	0.0231111111111111	0.424888888888889	0	0.201111111111111	0.0624444444444444	0.004	0.338666666666667	0.002	0.0711111111111111	0.382888888888889	0.0631111111111111	0.00777777777777778	0.00155555555555556	0.00377777777777778	0.154	0.616222222222222	0.426	0.333888888888889	0.168888888888889	0.0126666666666667
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales"	0.107111111111111	0.0864444444444444	0.0648888888888889	0.109777777777778	0.0462222222222222	0.21	0.142222222222222	0.114	0.166222222222222	0.0773333333333333	0.0366666666666667	0.118	0.068	0.0891111111111111	0.112444444444444	0.141111111111111	0.0826666666666667	0.0846666666666667	0.0117777777777778	0.0684444444444444	0.086	0.192	0.0893333333333333	0.098	0.0431111111111111	0.107555555555556	0.113777777777778	0.0533333333333333	0.0862222222222222	0.105333333333333	0.0606666666666667	0.0615555555555556	0.0924444444444444	0.0966666666666667	0.0673333333333333	0.0722222222222222	0.158333333333333	0.153333333333333	0.0786666666666667	0.17	0.074	0.0417777777777778	0.0317777777777778	0.104444444444444	0.09	0.0613333333333333	0.0375555555555556	0.0542222222222222	0.112666666666667	0.147333333333333	0.135555555555556	0.0795555555555556	0.0542222222222222	0.122222222222222	0.207111111111111	0.171555555555556	0.0124444444444444	0.0671111111111111	0.100888888888889	0.0711111111111111	0.178888888888889	0.0455555555555556	0.162888888888889	0.056	0.0595555555555556	0.0551111111111111	0.0528888888888889	0.104444444444444	0.0373333333333333	0.092	0.0708888888888889	0.141555555555556	0.0537777777777778	0.0868888888888889	0.0953333333333333	0.0582222222222222	0.0568888888888889	0.0437777777777778	0.0406666666666667	0.0866666666666667	0.113555555555556	0.157555555555556	0.154222222222222	0.112888888888889	0.107111111111111	0.0822222222222222	0.103777777777778	0.0922222222222222	0.0728888888888889	0.0588888888888889	0.0666666666666667	0.0708888888888889	0.0742222222222222	0.0335555555555556	0.08	0.103777777777778	0.105333333333333	0.103111111111111	0.0457777777777778	0.0811111111111111	0.103777777777778	0.044	0.0708888888888889	0.110222222222222	0.0237777777777778	0.0375555555555556	0.0864444444444444	0.0337777777777778	0.136444444444444	0.117111111111111	0.1	0.088	0.139111111111111	0.0168888888888889	0.0695555555555556	0.106444444444444	0.157111111111111	0.116444444444444	0.0613333333333333	0.0431111111111111	0.108444444444444	0.0835555555555555	0.116666666666667	0.0806666666666667	0.156	0.0248888888888889	0.0686666666666667	0.131444444444444	0.0753333333333333	0.0715555555555556	0.0524444444444444	0.0313333333333333	0.100444444444444	0.0286666666666667	0.0928888888888889	0.0334444444444444	0.0853333333333333	0.00733333333333333	0.09	0.146
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales"	0.0188888888888889	0.00466666666666667	0.194666666666667	0.00866666666666667	0.0346666666666667	0.00577777777777778	0.0155555555555556	0.00511111111111111	0.0357777777777778	0.00577777777777778	0.0146666666666667	0.0111111111111111	0.0213333333333333	0.0235555555555556	0.00644444444444444	0.0202222222222222	0.00866666666666667	0.00644444444444444	0.222444444444444	0.0146666666666667	0.0255555555555556	0.0162222222222222	0.00644444444444444	0.0157777777777778	0.242666666666667	0.00244444444444444	0.0553333333333333	0.002	0.00733333333333333	0.00333333333333333	0.185555555555556	0.250666666666667	0.00755555555555556	0.00377777777777778	0.00577777777777778	0.008	0.0195555555555556	0.00333333333333333	0.604888888888889	0.00933333333333333	0.00355555555555556	0.00244444444444444	0.505555555555556	0.00866666666666667	0.00444444444444444	0.282444444444444	0.00266666666666667	0.480444444444444	0.0155555555555556	0.00244444444444444	0.0115555555555556	0.0113333333333333	0.00355555555555556	0.008	0.0322222222222222	0.0604444444444444	0	0.006	0.002	0.00911111111111111	0.0124444444444444	0.000444444444444444	0.0358888888888889	0.222	0.412444444444444	0.004	0.00111111111111111	0.0102222222222222	0.190666666666667	0.00111111111111111	0.717777777777778	0.0131111111111111	0.176666666666667	0.00644444444444444	0.00577777777777778	0.160888888888889	0.514444444444444	0.000888888888888889	0.00488888888888889	0.369111111111111	0.0186666666666667	0.004	0.00755555555555556	0.072	0.000666666666666667	0.0211111111111111	0.191111111111111	0.00933333333333333	0.00333333333333333	0.002	0.000666666666666667	0.00488888888888889	0.00622222222222222	0.123555555555556	0.012	0.382222222222222	0.0108888888888889	0.0108888888888889	0.00466666666666667	0.00111111111111111	0.0144444444444444	0.0915555555555556	0.00377777777777778	0.0108888888888889	0.00155555555555556	0.004	0.0102222222222222	0.113333333333333	0.00688888888888889	0.00266666666666667	0.00511111111111111	0.114666666666667	0.0133333333333333	0.872444444444444	0.00955555555555555	0.00555555555555556	0.00555555555555556	0.0108888888888889	0.086	0.364888888888889	0.00955555555555555	0.0137777777777778	0.00466666666666667	0.00622222222222222	0.00555555555555556	0.00511111111111111	0.00533333333333333	0.209	0.056	0.146444444444444	0.00866666666666667	0.0322222222222222	0.00444444444444444	0.00377777777777778	0.0117777777777778	0.00311111111111111	0.00266666666666667	0.00788888888888889	0.174	0.000888888888888889
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales"	0.0166666666666667	0.00755555555555556	0.0164444444444444	0.0284444444444444	0.00733333333333333	0.00466666666666667	0.00755555555555556	0.0202222222222222	0.0168888888888889	0.00622222222222222	0.0606666666666667	0.0108888888888889	0.0215555555555556	0.0182222222222222	0.00933333333333333	0.0157777777777778	0.0242222222222222	0.00822222222222222	0.0197777777777778	0.0102222222222222	0.00622222222222222	0.0333333333333333	0.0126666666666667	0.00866666666666667	0.0282222222222222	0.0117777777777778	0.00511111111111111	0.00466666666666667	0.02	0.00688888888888889	0.00977777777777778	0.014	0.0124444444444444	0.0204444444444444	0.0148888888888889	0.0282222222222222	0.0165555555555556	0.0108888888888889	0.000666666666666667	0.0108888888888889	0.0104444444444444	0.0404444444444444	0.00911111111111111	0.0164444444444444	0.0326666666666667	0.0126666666666667	0.00733333333333333	0.004	0.0244444444444444	0.0488888888888889	0.0182222222222222	0.0133333333333333	0.00422222222222222	0.00888888888888889	0.0235555555555556	0.0451111111111111	0.07	0.0482222222222222	0.0497777777777778	0.0337777777777778	0.0193333333333333	0.0153333333333333	0.0261111111111111	0.022	0.0113333333333333	0.0415555555555556	0.0162222222222222	0.0351111111111111	0.0335555555555556	0.0353333333333333	0.00133333333333333	0.0224444444444444	0.01	0.0455555555555556	0.0155555555555556	0.0246666666666667	0.00955555555555555	0.0202222222222222	0.0928888888888889	0.0164444444444444	0.00466666666666667	0.012	0.0271111111111111	0.0371111111111111	0.0204444444444444	0.0153333333333333	0.00555555555555556	0.014	0.0233333333333333	0.002	0.00533333333333333	0.016	0.052	0.0184444444444444	0.0293333333333333	0.00888888888888889	0.0188888888888889	0.0426666666666667	0.0148888888888889	0.0128888888888889	0.0217777777777778	0.0291111111111111	0.022	0.0248888888888889	0.00177777777777778	0.0286666666666667	0.0317777777777778	0.0108888888888889	0.0422222222222222	0.0268888888888889	0.0193333333333333	0.0417777777777778	0.00888888888888889	0.000666666666666667	0.00911111111111111	0.015	0.0333333333333333	0.0124444444444444	0.0224444444444444	0.00911111111111111	0.0228888888888889	0.00911111111111111	0.0126666666666667	0.00688888888888889	0.0104444444444444	0.0337777777777778	0.0151111111111111	0.00844444444444444	0.0171111111111111	0.00844444444444444	0.0502222222222222	0.0317777777777778	0.0302222222222222	0.0862222222222222	0.0217777777777778	0.0127777777777778	0.00533333333333333	0.0184444444444444	0.0275555555555556	0.0513333333333333
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales"	0.0235555555555556	0.0226666666666667	0.00533333333333333	0.00466666666666667	0.0106666666666667	0.0444444444444444	0.028	0.0128888888888889	0.0457777777777778	0.0128888888888889	0.0157777777777778	0.02	0.0186666666666667	0.03	0.0286666666666667	0.0251111111111111	0.0204444444444444	0.0151111111111111	0.00177777777777778	0.00444444444444444	0.0155555555555556	0.00466666666666667	0.024	0.0191111111111111	0.00622222222222222	0.006	0.0286666666666667	0.00555555555555556	0.002	0.0186666666666667	0.0188888888888889	0.00488888888888889	0.0202222222222222	0.00555555555555556	0.000222222222222222	0.00244444444444444	0.0347777777777778	0.00555555555555556	0.004	0.0262222222222222	0.0222222222222222	0.00244444444444444	0.0113333333333333	0.000444444444444444	0.002	0.00755555555555556	0.00177777777777778	0.0137777777777778	0.0146666666666667	0.00177777777777778	0.00577777777777778	0.0195555555555556	0.0124444444444444	0.0233333333333333	0.0303333333333333	0.0116666666666667	0.00155555555555556	0.000666666666666667	0.000888888888888889	0.0124444444444444	0.0355555555555556	0.000444444444444444	0.00744444444444444	0.00155555555555556	0.00311111111111111	0.0175555555555556	0.000444444444444444	0.0117777777777778	0.00288888888888889	0.00622222222222222	0.0106666666666667	0.0264444444444444	0.00688888888888889	0.0204444444444444	0.0215555555555556	0.00355555555555556	0.00155555555555556	0.000222222222222222	0.01	0.00555555555555556	0.0242222222222222	0.034	0.0164444444444444	0.0233333333333333	0.0102222222222222	0.0171111111111111	0.00244444444444444	0.0422222222222222	0.0188888888888889	0.0115555555555556	0.000222222222222222	0.00177777777777778	0.0135555555555556	0.00222222222222222	0.0328888888888889	0.00244444444444444	0.0384444444444444	0.0228888888888889	0.0142222222222222	0.000888888888888889	0.00288888888888889	0.002	0.00377777777777778	0.0204444444444444	0.0135555555555556	0.008	0.0286666666666667	0.00244444444444444	0.0208888888888889	0.000444444444444444	0.0124444444444444	0.00688888888888889	0.0308888888888889	0.00311111111111111	0.00888888888888889	0.00166666666666667	0.0264444444444444	0.0264444444444444	0.00333333333333333	0.00311111111111111	0.0237777777777778	0.0122222222222222	0.002	0.0162222222222222	0.0251111111111111	0.00333333333333333	0.0171111111111111	0.0256666666666667	0.0115555555555556	0.00333333333333333	0.0131111111111111	0.00133333333333333	0.000888888888888889	0.00955555555555555	0.0204444444444444	0.000555555555555556	0.0313333333333333	0.00144444444444444	0.00577777777777778	0.0355555555555556
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales"	0.026	0.375555555555556	0.00666666666666667	0.0306666666666667	0.0455555555555556	0.0137777777777778	0.0462222222222222	0.000888888888888889	0.000222222222222222	0	0.00555555555555556	0.00133333333333333	0.0868888888888889	0.000444444444444444	0.000888888888888889	0.0495555555555556	0	0.0304444444444444	0.00666666666666667	0.014	0.00111111111111111	0	0	0.00222222222222222	0.00977777777777778	0	0.000666666666666667	0.000666666666666667	0.01	0.0213333333333333	0.000444444444444444	0	0.0508888888888889	0	0.00355555555555556	0.00866666666666667	0.0745555555555556	0	0	0.000222222222222222	0.000222222222222222	0.00688888888888889	0.00155555555555556	0.000222222222222222	0.00466666666666667	0.012	0	0.00311111111111111	0.00177777777777778	0.00755555555555556	0.024	0.0451111111111111	0.00333333333333333	0.0224444444444444	0.0122222222222222	0.0141111111111111	0	0.00644444444444444	0.0135555555555556	0.0226666666666667	0.00666666666666667	0	0.000111111111111111	0	0	0.00933333333333333	0	0.000444444444444444	0	0	0	0.00511111111111111	0.00111111111111111	0.00111111111111111	0.00511111111111111	0	0	0	0.042	0	0.0106666666666667	0.00177777777777778	0.00355555555555556	0.0117777777777778	0	0.0282222222222222	0	0.00666666666666667	0.00511111111111111	0.00333333333333333	0	0.00155555555555556	0.00555555555555556	0	0.00422222222222222	0	0.000888888888888889	0.00955555555555555	0.00111111111111111	0	0	0	0	0.00355555555555556	0.000666666666666667	0.00688888888888889	0.00577777777777778	0	0.00511111111111111	0	0.000666666666666667	0	0.0142222222222222	0	0.00711111111111111	0	0.000666666666666667	0.00577777777777778	0.000666666666666667	0.000444444444444444	0.002	0.00733333333333333	0	0.00466666666666667	0.02	0.00777777777777778	0	0.0241111111111111	0	0	0.0195555555555556	0.000444444444444444	0.0326666666666667	0.00444444444444444	0.0322222222222222	0	0.0171111111111111	0.137222222222222	0	0.000444444444444444
