"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"	0.044556989305245	0.0453591364118651	0.0606203861958617	0.0398182921429391	0.0453095564308957	0.0416807861741782	0.0462036542733644	0.0478119231186882	0.0299052855653133	0.0462982718156603	0.0202388852023889	0.0348919703321509	0.0906449992355241	0.031896626673622	0.110055700562387	0.030990990990991	0.02253065742332	0.0330477356181151	0.0350148865685411	0.0767120894479385	0.0961356956017582	0.0264129431565232	0.0821084279851102	0.0889024436735161	0.0432904161104652	0.0375064986507563	0.0731140102098695	0.063430374128852	0.10408091946882	0.038577090258246	0.0737869134912049	0.0475152262009148	0.0379200224949286	0.0407848124261968
"Acetate -- Production"	0.0505104927130196	0.0484384370530977	0.0533473944507073	0.0451973694999754	0.051228806302449	0.0494548208982	0.0521965248239164	0.0467586057118037	0.0515370627321538	0.0497333048858545	0.0458474487479482	0.0479200257981296	0.059738330821484	0.0481220657276995	0.066571590022334	0.0496096096096096	0.0356383443534998	0.0423500611995104	0.051117540990481	0.0499825296995108	0.0544723997519079	0.049351213420924	0.052066431230314	0.0588425908276467	0.0506394522671489	0.0490679078058079	0.0520703346568349	0.0521669245624768	0.0596606352411276	0.0519368447967272	0.0527106623392235	0.0498850629191649	0.0458936712928559	0.0503678808247797
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"	0.049837019476846	0.0471698113207547	0.0525655478381032	0.0430162192302016	0.0505865730433293	0.0426774572926426	0.0515421309132239	0.043631230318167	0.0505028741823447	0.0490719010027736	0.0241242622149268	0.0390841663979362	0.0566804272328157	0.0391018953225526	0.0654952506525307	0.0264264264264264	0.0270892196557048	0.015422276621787	0.0481192602843125	0.0497204751921733	0.0505083191759027	0.0393343829741028	0.044311348668512	0.0562121154359346	0.0494911653676671	0.0430272571980294	0.0456797126110796	0.050223709621313	0.059136444824105	0.04771797494247	0.0522899386945546	0.0395762731947769	0.0338428166864167	0.0471886638205105
"Succinate -- Production"	0.043843107674901	0.0461087788900678	0.0492927015527837	0.0410482640995785	0.0414240452132214	0.0394283094464489	0.0415023506518108	0.0387121294385927	0.028397093930175	0.0406656710049072	0.0442758355743373	0.0416639793614963	0.0488827730817116	0.0399169709615719	0.0643381858299922	0.0384384384384384	0.0337304477003291	0.0391676866585067	0.0343439426342936	0.046785464709993	0.0528004746110077	0.0299419078125848	0.0495609430180395	0.0489115931531394	0.042242604314688	0.0377293095338301	0.0513140480242012	0.0488442669161659	0.0518560223654578	0.0389925850166198	0.0468205313138598	0.042420077256677	0.0367551065496395	0.0436158294728555
"D-Glucose (Glucose) -- Consumption"	0.0502815118127206	0.0492457443373161	0.0445288919597076	0.0435902061432999	0.0482531255351944	0.0391891083780174	0.0489073343780675	0.0437941144532523	0.0514939715425784	0.0492532536803926	0.0289526071316313	0.0449102440073095	0.025882969661228	0.0421122413493306	0.0286844442052579	0.0412012012012012	0.0433427514491276	0.0362301101591187	0.0508030360213025	0.0207023060796646	0.0272901329450152	0.04603941582062	0.0279421590149852	0.0357973390263429	0.0503523805422785	0.0484489886861585	0.0256759311779164	0.0382765362793431	0.0334899433097771	0.0481015085655843	0.039928677324999	0.0372538332108918	0.0464359597501456	0.0487328549368698
"D-Mannose (Mannose) -- Consumption"	0.0502006950243797	0.0491073488028786	0.0443834321248045	0.0435902061432999	0.0481781983216304	0.0391293081109096	0.048786788131361	0.0428928222391139	0.0514077891634276	0.0492532536803926	0.028865295288653	0.0448027518004945	0.0257737588187755	0.0418731524952182	0.0285499017840325	0.0406006006006006	0.0421630596254114	0.0362301101591187	0.0505304650480144	0.0109014675052411	0.0267777687889329	0.0457951028828927	0.0277035410900067	0.0352826807975296	0.050065308817408	0.0469635827989998	0.025732652675364	0.0376407931195797	0.0330628251922032	0.0467271797494247	0.0396481948952198	0.0366613740313292	0.0462351121733716	0.0487025766796863
"Sucrose -- Consumption"	0.0507394736133186	0.0481270471006135	0.0413833230299284	0.0969873886875379	0.0533695838328481	0.0725975242689417	0.0476157674490692	0.046975784558584	0.0513474614980221	0.0517388521442287	0.0276865854084448	0.0432333655809954	0.033855361160256	0.0407863849765258	0.0131313403116002	0.0414414414414414	0.0331915761265329	0.0342717258261934	0.0503627290644525	0.00440251572327044	0.0118113421244236	0.0489983169553179	0.0125990264388661	0.0234264801189432	0.0507542809570971	0.0463694204441364	0.0153715258082813	0.0330826346156153	0.0176671584996505	0.0469828688315009	0.0375045077533357	0.0322771761025665	0.0447890096205989	0.0487328549368698
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.050066000377145	0.0478848549153481	0.0442925197279901	0.0434754087606803	0.0479641205685905	0.0389299738872167	0.048735125454201	0.0433054620479965	0.0513474614980221	0.0491785790484318	0.0287954458142702	0.0433408577878104	0.0255990214708516	0.0416014606155451	0.0284691763312973	0.04	0.0336284990242055	0.0354957160342717	0.050488531052124	0.00842068483577918	0.0265620365126878	0.0453607687713774	0.0272978906175432	0.0352064351340017	0.0499648337137034	0.046790285445498	0.0251087162034411	0.0376168028116641	0.0330628251922032	0.0460240347737152	0.0390471611171214	0.0365665805625992	0.0447890096205989	0.04847548975081
"D-Xylose (Xylose) -- Consumption"	0.050066000377145	0.0478848549153481	0.0442561547692643	0.0434754087606803	0.0479641205685905	0.0389299738872167	0.0487006836694278	0.0427625149310457	0.0513474614980221	0.0491785790484318	0.0287954458142702	0.0432978609050844	0.0255990214708516	0.0416014606155451	0.0284691763312973	0.04	0.0336284990242055	0.0354957160342717	0.050488531052124	0.00698812019566737	0.0265620365126878	0.0453607687713774	0.0272978906175432	0.0352064351340017	0.0499217729549728	0.046790285445498	0.0251087162034411	0.0375568270418751	0.0330628251922032	0.0460240347737152	0.0390471611171214	0.0365665805625992	0.0447890096205989	0.04847548975081
"Formate -- Production"	0.000377145012257213	0.00196060340453015	0.0350558202116441	0.00122997195663939	0.00827410515499229	0.0216476966930452	0.0135356214159018	0.00989249647084374	0.000275783613282428	0.00432046084915724	0.018125938602312	0.00580457916801032	0.108948736430553	0.00717266562336985	0.153109275354519	0.0042042042042042	0.0144184556231977	0.0122399020807834	0.00109028389315218	0.125803633822502	0.128549470107596	0.00274173407894023	0.110050587000095	0.109698448400747	0.000330132483601028	0.00158443294630258	0.100548307808659	0.0485683783751365	0.135687660169294	0.0082459728969573	0.0635292703449934	0.042846647865962	0.00391652774709273	0.000650982529445605
