"Taxa"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"goose_4"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"	"ophelia_9"
"Acetate -- Production"	0.0505104927130196	0.0484384370530977	0.0451629837426383	0.0512452620082661	0.0494572253759586	0.0497424718428758	0.0458444221456306	0.0479200257981296	0.059738330821484	0.0481134739448704	0.0490668465516688	0.0512720202954217	0.046484229363955	0.0503776542682058	0.0724142011834319	0.0490901695874374	0.0501293113866531	0.0504124656278643	0.0446785380716878	0.0502393676241372	0.0487574113788318	0.0596463933972339	0.0488994915748227	0.0488348661221515	0.0454484108239422	0.0496977025392987	0.0355856379270277	0.0423500611995104	0.0500549479302946	0.0379304106615208	0.0484227446252763	0.0477949259112694	0.0555917753259779	0.0391319172834306	0.0473114092534249	0.0501962536298944	0.0535034893580016	0.0494709041600936	0.0533895403577848	0.0311752892799082	0.0502539333025535	0.0483466856382814	0.0573360776242282	0.0500730700669675	0.0504868848144574	0.0493336676245395	0.055602979978271	0.0504739711771227	0.0489300695587533	0.0530326887951124	0.0480966261652573	0.0489555213469275	0.0486180724616927	0.0482479923567537	0.0511885149446929	0.0555206229012536	0.051117540990481	0.0493792147223798	0.0509427720807145	0.0519711765851487	0.0516002211438049	0.0480069142527893	0.0497461597834477	0.0506609673078445	0.0525114155251142	0.0473178402935523	0.0499773779278182	0.0541921919744807	0.0525275498876344	0.0512590197311297	0.0481454499382345	0.0502961134036639	0.0519259466517441	0.0442432053022806	0.0399696912293995	0.0508627887559143	0.0475849731663685	0.048298355076574	0.0504212919620169	0.0489683815648446	0.0506591337099812	0.0467265391123259	0.050097857997173	0.0422589967213965	0.0506603300842184	0.0501230012300123	0.0529639137234074	0.0459795005052692	0.0531565928156593	0.0516132826282981	0.0481410967215516	0.0519764091482082	0.0469259723964868	0.0438803796578991	0.049511377159136	0.0489152136297085	0.0491132332878581	0.0479564930784443	0.0472618492852096	0.04999827592152	0.0498363475643262	0.0471894517696044	0.0516171292884631	0.0518922259994943	0.0460680948223759	0.0514688855612332	0.0509230943481708	0.0484108002190012	0.0536707909750428	0.0488396472692142	0.0474213992792345	0.0477977977977978	0.0480235958455178	0.0499029553594654	0.0457136171421886	0.0398046869202571	0.0517889840154402	0.0464181792988776	0.0515339324449954	0.0501836220654118	0.0444377515538154	0.0479420661838849	0.0493639643060566	0.0367686256429467	0.0476394155183575	0.0449090909090909	0.0514139410435023	0.0492893933613125	0.0506394522671489	0.0490882549422273	0.0459339161119577	0.0503678808247797
"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"	0.044556989305245	0.0453591364118651	0.039831356530013	0.0453241107565796	0.0416492381236929	0.0463230108354171	0.0202608961214607	0.0348919703321509	0.0906449992355241	0.0319091165801421	0.0440878866724487	0.0448467174052209	0.037789873984043	0.0400574794546577	0.0551242603550296	0.0456241489681515	0.0444251081623281	0.0377111431190258	0.0337921636477776	0.0406368292139835	0.0365459820865397	0.0368900549791027	0.0469024924707737	0.0420820202799751	0.037823064984142	0.0308343409915357	0.0225859865210318	0.0330477356181151	0.0423884033701397	0.109479587529398	0.0391802290536468	0.0420459042342699	0.0549147442326981	0.0993040094670758	0.0553470919324578	0.0424418419121167	0.0586125182077092	0.0421504156548558	0.0567063254301121	0.173807019221574	0.0468089640231559	0.044500809386825	0.0715083798882682	0.0416900865599255	0.0400693043249408	0.047019343889221	0.0642945832686637	0.0412886586276329	0.0403015982583763	0.0436637903886125	0.0376345637680741	0.0459288014337877	0.0339395675211227	0.0360730239884318	0.0465319570991494	0.0690061139577508	0.0350148865685411	0.032520325203252	0.0298379093615614	0.0533066243774866	0.037318017077216	0.0349903095699544	0.0414188961483688	0.0470988680440117	0.113554434030281	0.044848273050265	0.0767236278843142	0.030829738645014	0.0368911271762381	0.0340728764334262	0.0361090874536758	0.0449090940483796	0.0327364297705652	0.0348767633995351	0.0375702468901939	0.0287596251971426	0.0327207676044885	0.0228304027226319	0.0377156613615086	0.0453956770275098	0.0354338693321744	0.0318885851880776	0.0376753289116016	0.0356499539958791	0.0308423451820959	0.033210332103321	0.0330471216547166	0.0354699003897791	0.0728113572811357	0.0509664013800133	0.0335376697282256	0.0314244552494147	0.023237139272271	0.065916378176058	0.0419927157332949	0.038267003859976	0.0390217478533023	0.0280432871896287	0.0473069464696421	0.0358608323850902	0.0385359676995485	0.0309275965764515	0.0298206828788995	0.14463518107493	0.0692140666621897	0.0363554965497013	0.0384641522256201	0.0401406218482552	0.0685793440236659	0.0399802668091842	0.0353672175966199	0.0417083750417084	0.0376878088131491	0.0484622926546211	0.0381921810493239	0.0998085456893097	0.0415697530558717	0.0646588412280528	0.0359466997211032	0.0400892153281163	0.0389343701229362	0.0526782167629175	0.0264178578209336	0.0234414396242454	0.0433274761860723	0.0232363636363636	0.0306430779166859	0.0378672262495231	0.0432904161104652	0.0375089689981938	0.0378538776164889	0.0407848124261968
"D-Glucose (Glucose) -- Consumption"	0.0502815118127206	0.0492457443373161	0.0436045080958709	0.0482472107415894	0.0391992829399462	0.0492616101387019	0.0289690676672048	0.0449102440073095	0.025882969661228	0.0421074353237613	0.0475089139442999	0.046850179007516	0.0424875102527776	0.0487862809367726	0.0268757396449704	0.0490724858087676	0.0494042008072898	0.0502815241587011	0.0425655708839246	0.0490703629481185	0.049198940330516	0.0366263662372935	0.0486835997797904	0.049370806268356	0.0436151787120139	0.0412333736396614	0.0434580525214966	0.0362301101591187	0.0500549479302946	0.0357293613941989	0.0480208961221619	0.047190344281757	0.0370110330992979	0.0370860661491867	0.0478778009841056	0.0481220282732872	0.0413070417635933	0.0470248329404258	0.0448942908499529	0.024003060151095	0.0501473878609227	0.0483157536577067	0.0350093109869646	0.0477444635372336	0.0474164400385999	0.0491022352510077	0.0381809715970821	0.0489355444446958	0.0492486592683056	0.0461516659318511	0.0479956131490086	0.0489927046382438	0.047078619504511	0.0470472796756785	0.048078539488283	0.0393059253214176	0.0508030360213025	0.0510493477027794	0.0505061197485941	0.0432907659349526	0.0486823514957921	0.0487402440940757	0.0485177253307533	0.0461093960262804	0.0282624369142033	0.0499155454598404	0.0207078968433509	0.0487367238191902	0.0489805864673869	0.0503009072127908	0.0479870767476482	0.0474990071999586	0.0518093639246409	0.0437829378869123	0.0394645450527246	0.0507004360330272	0.0478451780777362	0.0470221213840045	0.0476572600419063	0.0443238656663094	0.0490945965522237	0.0470519328387349	0.049771664673263	0.0410538183420374	0.0501430580476214	0.045510455104551	0.044052993420082	0.0452143785188393	0.0395246289524629	0.0450268553730349	0.0458396970521162	0.0517513056005763	0.0424090338770389	0.0445574277283121	0.0496916807904511	0.0464195394649275	0.0484110424524516	0.0386178861788618	0.047231784495588	0.0484466052894728	0.0485701316386745	0.0473745084432107	0.0510439695406534	0.0205939370100863	0.0456539744364605	0.0512836346234003	0.0509683995922528	0.0482667204564447	0.0373300777123001	0.0512035190856955	0.0486640984217721	0.0474641307974641	0.0466875063023092	0.0448006082798087	0.0444934730649016	0.0394484928538565	0.0467659721878557	0.0466359191591282	0.0494267121165169	0.0464919533157723	0.0433151712619445	0.0382864301646958	0.0460549513141121	0.0333107611624188	0.0489110330158143	0.0356	0.0526249019698298	0.0481447920640977	0.0503523805422785	0.0484697033426528	0.0463750100248617	0.0487328549368698
"D-Mannose (Mannose) -- Consumption"	0.0502006950243797	0.0491073488028786	0.0436045080958709	0.0481936741118273	0.0391395279354646	0.0492616101387019	0.0288818114392915	0.0448027518004945	0.0257737588187755	0.0418902187371028	0.0475089139442999	0.0468027597979942	0.0422638132875997	0.0486675217329343	0.0251834319526627	0.0490282763620931	0.0494042008072898	0.0500720178080398	0.0413406623692793	0.0489311957247829	0.0488835625078844	0.0349123894155339	0.0486296268310323	0.0492207430274187	0.0434464763704254	0.0406287787182588	0.0422960725075529	0.0362301101591187	0.0498456224815532	0.0357293613941989	0.0478199718706048	0.0469155344501605	0.0367101303911735	0.037025894057003	0.0477893022761868	0.0475476274053036	0.0409374524425506	0.0466348795575802	0.0446803047162544	0.024003060151095	0.0500763575665021	0.0479755018713848	0.0348720964422229	0.0476641667603462	0.0474164400385999	0.0486200844728163	0.0377541517926432	0.0486640573742676	0.0491955609833802	0.0457895068337847	0.0478801697018673	0.0488811547642951	0.0470070170413862	0.0446974978697033	0.0480449181319974	0.0392256545413194	0.0505304650480144	0.049631310266591	0.0503870327489249	0.0428177948418329	0.0482216352355796	0.0484783405793306	0.0484090143172405	0.0456344494577693	0.0280221100696948	0.0491234201176539	0.0108933978352417	0.048646101424584	0.0489805864673869	0.0496422048564328	0.0472902347090685	0.047447208936927	0.0507134862898713	0.0434147239546176	0.0391488286923028	0.0503525373411263	0.0477476012359733	0.046596710153148	0.0475235165619009	0.0438326187924259	0.0490221642764016	0.0465313028764805	0.0496357507883005	0.0407687223813288	0.0497712687713173	0.0457061388795706	0.0443480570062849	0.0446080554352534	0.0393901914390191	0.0444387815109578	0.0457350879762328	0.050895912119575	0.0422082810539523	0.0441997419552637	0.0478886444772998	0.0457540263543192	0.0482104164994784	0.0384805537244562	0.0468860394149392	0.0474121582014413	0.0483312229734573	0.0463798288225769	0.0503070498648981	0.0202567920658556	0.0453965482506212	0.0508513824351236	0.0503567787971458	0.0476904014062185	0.0371657314582208	0.0510390758288968	0.0474213992792345	0.0470970970970971	0.0453262075224362	0.044700562258639	0.0444266158551873	0.039300078659523	0.045330825951403	0.0464973574298779	0.0488999070343973	0.046530408198581	0.0427675711195685	0.0381336511137593	0.0458108437983129	0.0329937902517037	0.0483330250624249	0.0355272727272727	0.0523711768233612	0.0475486455551316	0.050065308817408	0.0469604374396912	0.0461745127917235	0.0487025766796863
"Sucrose -- Consumption"	0.0507394736133186	0.0481270471006135	0.0970192102629722	0.0533867271987494	0.0725226571058659	0.0517407193691094	0.0277038523624624	0.0432333655809954	0.033855361160256	0.04080413580381	0.0467701005428672	0.0507978282002039	0.0414734173439714	0.0483706237233386	0.0251597633136095	0.0489398574687439	0.0493316897493534	0.0494958753437214	0.039426742815146	0.0486528612781118	0.0482275766368109	0.0349123894155339	0.048413735036	0.0477629858297425	0.0421868322198979	0.0418379685610641	0.0332762026493144	0.0342717258261934	0.0497932911193678	0.0360308749924622	0.0476190476190476	0.0463439300004397	0.036258776328987	0.0368854925085745	0.0470813126128359	0.0473880716086415	0.040328717090245	0.0461385752521403	0.0415561071642558	0.0218274839820216	0.0499698121248713	0.0474909008423809	0.0346760756640204	0.0474714544958165	0.0566935696113694	0.0484657962237951	0.0376959490920379	0.0482115789235538	0.0484521849944247	0.0455218240221704	0.0468411786775953	0.048695238307714	0.0471860231991981	0.0446587652025719	0.0478263793161416	0.03919889761462	0.0503627290644525	0.0453771979580261	0.0502547138604036	0.040035611941129	0.0466244855335094	0.0479545335498402	0.0515725048104623	0.0427451911659938	0.0190098534006248	0.0470848622517328	0.00440260327846031	0.0496791967230942	0.0501313188747191	0.0491032665648672	0.0468784644135441	0.0474126767615726	0.0488947957470621	0.0420799484500495	0.0382016796110374	0.0500510251414788	0.0452431289640592	0.0418321043675553	0.0467656368418706	0.0411977491961415	0.0488483268144285	0.0457503579330991	0.0481406980537132	0.0394987494654451	0.049690445015599	0.0451470423795147	0.0433743471718155	0.0434098455319763	0.0359754785975479	0.0417532442074725	0.0473042241144842	0.050783360345759	0.039573400250941	0.0433055275226428	0.047582128304064	0.0443564488220418	0.0481101035229917	0.0369698967259943	0.0459840957262902	0.0468949346574256	0.0479250782425879	0.0452694887809392	0.0502742978793089	0.0114629281038406	0.0451167371790567	0.0506970066535962	0.0502435156869408	0.0473446099760828	0.0304744911135633	0.0492918662254106	0.0458058903939356	0.0465131798465132	0.0451245336291217	0.0414990895812074	0.0427050427050427	0.0391813473040562	0.042980155391696	0.0461410558403769	0.048497056089247	0.0479724663039089	0.0422473509843113	0.0336113912060378	0.0489842415037023	0.0305876928840031	0.0465412004069176	0.0348727272727273	0.0510679522074088	0.0459986646318199	0.0507542809570971	0.0463666279040998	0.0447710321597562	0.0487328549368698
"Cellobiose -- Consumption"	0.0502006950243797	0.0487844258891913	0.0435716980822547	0.0477332590958734	0.0391395279354646	0.0492616101387019	0.027721303608045	0.0448027518004945	0.0256645479763231	0.0411516823424637	0.0475089139442999	0.0468264694027551	0.0419655506673626	0.048691273573702	0.0251597633136095	0.0490282763620931	0.0493316897493534	0.0499672646327092	0.0418000030622713	0.0488476953907816	0.0491358647659897	0.0349519427268053	0.0486296268310323	0.0492636182391151	0.0428616415862519	0.0406287787182588	0.0409016964908204	0.0354957160342717	0.0498456224815532	0.0357293613941989	0.0478199718706048	0.0464538539330783	0.0367101303911735	0.0369857793288806	0.0477539027930192	0.0473880716086415	0.0408722307976607	0.0469362071715972	0.0415561071642558	0.0234531892512193	0.0501473878609227	0.0479033272500438	0.0348720964422229	0.0476641667603462	0.0474164400385999	0.0485236543171781	0.0377541517926432	0.0483246985362322	0.0491159135559921	0.0457107765950746	0.0479523218563306	0.0488811547642951	0.047078619504511	0.0446974978697033	0.0479104327068554	0.0392256545413194	0.0505304650480144	0.05016701329804	0.0503870327489249	0.0410371977853824	0.0467473432028994	0.0484783405793306	0.0482459477969713	0.0432597166152141	0.0194184090362894	0.0497058652222028	0.00330630285734173	0.0483923587196868	0.0488722822408145	0.0491631485972634	0.047353583985303	0.0473263463231866	0.0502471553814587	0.0428624030561756	0.0391488286923028	0.0504685035717599	0.0475849731663685	0.0466534316505956	0.0470777049618831	0.0417559842801	0.0490221642764016	0.0465313028764805	0.049554202457323	0.0400171057576425	0.0499005867804665	0.0452309068545231	0.0439054616269806	0.0437418796015591	0.0361636911163691	0.0419884737523033	0.0454212607485825	0.050895912119575	0.0422082810539523	0.0440464480525287	0.0480328873823519	0.044855583654998	0.0482706042853704	0.0382058888156449	0.0468108774408851	0.0472397503534361	0.0479728599756313	0.0466805459171871	0.0505199377712274	0.0117438822240328	0.0454301255792089	0.0508976951695818	0.0503567787971458	0.0475463216436619	0.0309440518395041	0.0511007420501963	0.0482912886790108	0.0462629295962629	0.0454270444690935	0.0431998719410929	0.0442594728309014	0.0393297614983897	0.0431038748948384	0.046536946495378	0.048590021691974	0.0462996789017285	0.0421652109629548	0.0355975188682128	0.0458108437983129	0.0320284697508897	0.0487029501525941	0.0354181818181818	0.0523942427457674	0.0474294162533384	0.050036601644921	0.0467625009278274	0.0461745127917235	0.0487328549368698
"Raffinose -- Consumption"	0.0501468171654858	0.0480001845273792	0.0439326082320324	0.0476261858363492	0.040991933074395	0.04933641084824	0.0439247851315388	0.0447382564764055	0.0263198130310377	0.0466472619849252	0.0472198130480871	0.0471228394622662	0.0456938334203266	0.0485131347679445	0.0251597633136095	0.0490017506940883	0.0494042008072898	0.0498886997512112	0.0435301863392078	0.048708528167446	0.0483158824271477	0.0349123894155339	0.0485972430617774	0.047934486676528	0.0446273927615449	0.0424425634824667	0.0351063211712759	0.0379436964504284	0.0497932911193678	0.0360308749924622	0.0479405264215391	0.0472233214615486	0.0365847542627884	0.0372264676976152	0.0468158164890793	0.0473880716086415	0.0403939387351349	0.0461917507134374	0.0415561071642558	0.0217796691211629	0.0500763575665021	0.047851773949086	0.0347152798196609	0.0475517512727039	0.0477454162645846	0.0487550866907099	0.0376959490920379	0.0482568267686251	0.0484521849944247	0.0455533161176545	0.0474905480677653	0.04875473157382	0.0477230416726335	0.0446587652025719	0.0478263793161416	0.03919889761462	0.050488531052124	0.0453771979580261	0.0502150181938472	0.0403138302311994	0.0467473432028994	0.0465664449216909	0.0484416276212943	0.0430618222116679	0.0192501802451334	0.0470382666433689	0.0107193818953816	0.0483017363250806	0.0488452061841713	0.0492529716458577	0.0470368376041304	0.0476198698136989	0.048964745383324	0.0436103376061492	0.0390225421481341	0.0502829576027461	0.0436168482680111	0.0402722631877482	0.0470777049618831	0.0412647374062165	0.0489931913660727	0.0457503579330991	0.0482766119386757	0.0411574896004769	0.0500622342919031	0.0461254612546125	0.0447906523855891	0.0446080554352534	0.0359754785975479	0.0418512565178186	0.0458396970521162	0.0508508914100486	0.041405269761606	0.0434588214253778	0.0477624319353792	0.044855583654998	0.0480097905465051	0.0389474840694353	0.0462095816484524	0.0470673425054308	0.0479250782425879	0.0457321304649549	0.0506018177352002	0.0116034051639367	0.0452062767219573	0.0508205072788181	0.0502435156869408	0.0474022418811054	0.0311083980935835	0.047852987728422	0.0454330806511744	0.0470136803470137	0.0453262075224362	0.0414990895812074	0.0431229002657574	0.0392110301429229	0.042980155391696	0.0462202339713771	0.048497056089247	0.0453383068315099	0.0433151712619445	0.0341613957894094	0.0462719357726003	0.0344057515812526	0.0465643207250532	0.0360727272727273	0.0510448862850025	0.0461655856543304	0.0501083695761386	0.0469851795036742	0.0448712807763253	0.0487328549368698
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.050066000377145	0.0478848549153481	0.0434896730482143	0.047979527592779	0.0389403445871925	0.0492081810604603	0.0288120064569609	0.0433408577878104	0.0255990214708516	0.0416186980037796	0.0466094889338601	0.0467079213789506	0.0422190738945642	0.0484893829271769	0.0251834319526627	0.0489398574687439	0.049089986222899	0.0495482519313867	0.04034542420113	0.0487920285014473	0.0482528068626214	0.0349519427268053	0.0484461188052548	0.0477629858297425	0.0430528375733855	0.0399032648125756	0.0337264699047176	0.0354957160342717	0.0497932911193678	0.0356690586745462	0.0476190476190476	0.0468056105175219	0.0364593781344032	0.0368854925085745	0.0467627172643279	0.0475476274053036	0.0403939387351349	0.0461031249446089	0.0446803047162544	0.0221860954384623	0.0500763575665021	0.0478002206481281	0.0347740860531216	0.0475035732065715	0.0474164400385999	0.0484657962237951	0.0376959490920379	0.0485961856066605	0.0482663409971858	0.0455218240221704	0.0469133308320586	0.0487175482825038	0.0470070170413862	0.0446587652025719	0.0479440540631409	0.03919889761462	0.050488531052124	0.045755341274343	0.0501223949718822	0.0420666054586428	0.0481602064008846	0.0463831124613692	0.0482242055942688	0.0453969761735138	0.0274212929584235	0.046980022132914	0.00842237148922841	0.0484286076775293	0.0487098259009558	0.0494625587592443	0.0470368376041304	0.0471882176217691	0.0497108748367842	0.0430925367638598	0.038833112331881	0.0502829576027461	0.042803707919987	0.0396483267158253	0.0470777049618831	0.043319042515184	0.0487324351731131	0.0457503579330991	0.0479232358377732	0.0405743387717548	0.0498520925270355	0.0449513586044951	0.0436694107580184	0.0443193301573553	0.0393901914390191	0.0443015642764731	0.0456304789003494	0.050783360345759	0.0393726474278544	0.0434077234577995	0.0477624319353792	0.0455210967656063	0.0478091645935318	0.0374368270709734	0.0459840957262902	0.0473431950622392	0.0482834412404138	0.0453851492019431	0.0503070498648981	0.0199758379456635	0.0451167371790567	0.0508205072788181	0.0502435156869408	0.0475463216436619	0.0369779071678445	0.0476063228432239	0.0450602709084131	0.0469302635969303	0.0451749521024503	0.0427596694479461	0.0427050427050427	0.0391071402068894	0.0452071064482605	0.046170747639502	0.0488999070343973	0.0449922128862312	0.0426306710839745	0.0360558560210224	0.0453768748813366	0.032748858184333	0.0463909183390364	0.0341454545454545	0.0510448862850025	0.046594811140786	0.0499648337137034	0.0467872429918104	0.0447309327131286	0.04847548975081
"D-Xylose (Xylose) -- Consumption"	0.050066000377145	0.0478848549153481	0.0434896730482143	0.047979527592779	0.0389403445871925	0.0492081810604603	0.0288120064569609	0.0432978609050844	0.0255990214708516	0.0416186980037796	0.0466094889338601	0.0467079213789506	0.0422190738945642	0.0484893829271769	0.0251834319526627	0.0489398574687439	0.049089986222899	0.0495482519313867	0.04034542420113	0.0487920285014473	0.0482528068626214	0.0349123894155339	0.0484461188052548	0.0477629858297425	0.0430528375733855	0.0399032648125756	0.0337264699047176	0.0354957160342717	0.0497932911193678	0.0356690586745462	0.0476190476190476	0.0468056105175219	0.0364593781344032	0.0368854925085745	0.0467627172643279	0.0475476274053036	0.040328717090245	0.0461031249446089	0.0446803047162544	0.0221860954384623	0.0499698121248713	0.0478002206481281	0.0347740860531216	0.0475035732065715	0.0474164400385999	0.0484657962237951	0.0376959490920379	0.0485961856066605	0.0481866935697977	0.0454745858789444	0.0469133308320586	0.0487175482825038	0.0470070170413862	0.0446587652025719	0.0479440540631409	0.03919889761462	0.050488531052124	0.045755341274343	0.0501223949718822	0.0420387836296358	0.0481602064008846	0.0463831124613692	0.0482242055942688	0.0453969761735138	0.0274212929584235	0.046980022132914	0.00697803918838966	0.048410483198608	0.0487098259009558	0.0494625587592443	0.0470368376041304	0.0471882176217691	0.0497108748367842	0.0430925367638598	0.038833112331881	0.0502365711104926	0.042803707919987	0.0396483267158253	0.0470777049618831	0.0432743837084673	0.0487324351731131	0.0457503579330991	0.0479232358377732	0.0405743387717548	0.049690445015599	0.0448674941294867	0.0436694107580184	0.0443193301573553	0.0393901914390191	0.0442427568902654	0.0456304789003494	0.050783360345759	0.0393726474278544	0.0433693999821157	0.0477624319353792	0.0455210967656063	0.0478091645935318	0.0374368270709734	0.0459840957262902	0.0473431950622392	0.0482834412404138	0.0453388850335415	0.0500614099729796	0.0199758379456635	0.0451167371790567	0.0507433193880544	0.0501755578208178	0.0475463216436619	0.0369779071678445	0.0475446566219244	0.0450602709084131	0.0469302635969303	0.0451749521024503	0.0427596694479461	0.0427050427050427	0.0391071402068894	0.0451576186470035	0.046170747639502	0.0488999070343973	0.0449922128862312	0.0426306710839745	0.0359947444006478	0.0453768748813366	0.032748858184333	0.0463677980209008	0.0341454545454545	0.0510448862850025	0.046594811140786	0.0499217729549728	0.0467872429918104	0.0447309327131286	0.04847548975081
"Lactose -- Consumption"	0.050066000377145	0.0479540526825668	0.0434404580277901	0.0476047711844444	0.0390000995916741	0.0492829817699985	0.0271541381266088	0.0435128453187144	0.0256645479763231	0.0408258574624758	0.0466576724165623	0.0467671953908528	0.0414734173439714	0.0485131347679445	0.0251597633136095	0.0489398574687439	0.0491624972808353	0.0495482519313867	0.0404679150525945	0.0486528612781118	0.0485681846852529	0.0349519427268053	0.048467707984758	0.0478701738589834	0.0420181298783094	0.0399032648125756	0.0347141529165698	0.0354957160342717	0.0497932911193678	0.0356690586745462	0.0476190476190476	0.0461240821351625	0.0367101303911735	0.0368854925085745	0.0467273177811604	0.0474838050866388	0.0404374198317282	0.0464576280199231	0.0415561071642558	0.0217079468298747	0.0502539333025535	0.0475424541433388	0.0347152798196609	0.0475517512727039	0.0474822352837968	0.0485236543171781	0.0376959490920379	0.0482568267686251	0.0483194392821112	0.0456792844995906	0.0470143438483073	0.0487324215990303	0.047078619504511	0.0446587652025719	0.0478263793161416	0.03919889761462	0.050488531052124	0.0469527951093464	0.0502547138604036	0.0403972957182205	0.0467473432028994	0.0465664449216909	0.048115494580756	0.0432597166152141	0.0190098534006248	0.0476207117479178	0.0146695437302057	0.0483379852829231	0.0486692118159911	0.0494026767268481	0.0469734883278959	0.0471882176217691	0.0494310762917366	0.0422295353600442	0.0390225421481341	0.0502829576027461	0.042803707919987	0.039931934203063	0.0474343542418974	0.0414210432297249	0.0488772997247574	0.0462059091500716	0.0480591497227357	0.0395635440019698	0.0499005867804665	0.0450072682545007	0.0434628662476764	0.0435975169626101	0.0359754785975479	0.0418904614419571	0.0451074335209323	0.0509634431838646	0.0396235884567127	0.0435610173605345	0.0477984926616422	0.045254891521363	0.0478091645935318	0.0374368270709734	0.0461795168588308	0.0472397503534361	0.0479250782425879	0.045500809622947	0.0506345697207893	0.0115191189278791	0.0452062767219573	0.0509285703258873	0.0504020840412278	0.0474886897386393	0.0307092714765337	0.0477090998787231	0.0459301603081894	0.0464297630964298	0.0453766259957648	0.0437601296596434	0.0425378996807568	0.0391516644651895	0.0434255456030089	0.0462499257705022	0.048590021691974	0.0447999384721875	0.0421652109629548	0.0344669538912824	0.0460007051994901	0.0307173628020228	0.0469458059742902	0.0350545454545455	0.0511256170134244	0.0464040442579168	0.050065308817408	0.0467625009278274	0.0448311813296976	0.0485057680079935
