"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"Acetate -- Production"	0.0617866867504779	0.0557839255541825	0.0391432643475119	0.0495042480356161	0.0512526808344707	0.0501180792442928	0.0504815091684623	0.050193128684692	0.0488735754041877	0.048562146996936	0.0530804641190566	0.0481421601177931	0.0566805021089247	0.0486123577352529	0.0498482708104432	0.0443141013058689	0.0504675426200427	0.0489714872160992	0.0501534200450756	0.0506329113924051	0.0533123289942791	0.0561710808624389	0.0465116279069767	0.0443820224719101	0.052912865030856	0.0480673316708229	0.0490893113915961	0.0496366814498071	0.0537321147475507	0.0475016190903203	0.0471380471380471	0.0497870781050583	0.0500150647785478	0.0416783151616811
"D-Glucose (Glucose) -- Consumption"	0.0409883552517235	0.0370968148689885	0.0371359174578959	0.0470210539385232	0.0494492103723923	0.0461821044345316	0.0474473418055494	0.043911364098394	0.0492446329181023	0.0462180220753812	0.0461754319586329	0.0480122412449115	0.0421616898284293	0.0471762467238718	0.0505153560403914	0.0438522555392627	0.0505276767190836	0.0443532194011869	0.0498004181714503	0.0506329113924051	0.0502801236571239	0.0398156941366818	0.0418664205103773	0.0449438202247191	0.0441137390380016	0.0457190357439734	0.0482904617351015	0.0496944657122633	0.0373798839367526	0.0487719822647337	0.0481000481000481	0.0503430759316123	0.0449131264437079	0.0362501164849501
"D-Mannose (Mannose) -- Consumption"	0.040466948612479	0.0368698459132979	0.0370756970512074	0.0466131006225722	0.0489617859231819	0.0453949094725794	0.0474473418055494	0.0434641187233177	0.0491916247018288	0.0458119531913323	0.0458286038592508	0.0478823223720299	0.0416743685829034	0.0470685383980182	0.0496782294773191	0.0434712327818125	0.0498962686791545	0.0438177680603275	0.0496103402394982	0.0503353889429839	0.0496168287396212	0.0392881010164961	0.0416728702021856	0.0438202247191011	0.0443794844538932	0.045573566084788	0.0481107205623902	0.0494055443999827	0.0371214435072716	0.0475514372540228	0.0481000481000481	0.0499260775616968	0.0448327809581199	0.0360404435746901
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0403221134349111	0.0365924394118982	0.0369151093000381	0.0461164618031537	0.0486937024761162	0.0453949094725794	0.0474473418055494	0.0433828013823948	0.0482374768089054	0.0443353390675182	0.0455448354143019	0.0468574068192973	0.0403636424742476	0.0470685383980182	0.049207345785591	0.0431594868893533	0.0498962686791545	0.0433046271920039	0.0479267928422082	0.05028129395218	0.0495931396354247	0.0390418908937427	0.0416728702021856	0.0429775280898876	0.043700357279948	0.0454488778054863	0.0476713532513181	0.0493477601375265	0.0369569814157837	0.0451850744781547	0.0471380471380471	0.049357443420903	0.0429044893040072	0.0357142857142857
"D-Xylose (Xylose) -- Consumption"	0.0403221134349111	0.0365924394118982	0.0369151093000381	0.0460277762996861	0.0486937024761162	0.0453949094725794	0.0474473418055494	0.0433828013823948	0.0481844685926319	0.0443353390675182	0.0455133055870854	0.0468574068192973	0.0403636424742476	0.0470685383980182	0.049207345785591	0.0431594868893533	0.0498662016296341	0.0432600062469323	0.0479267928422082	0.05028129395218	0.0495931396354247	0.0390418908937427	0.0416728702021856	0.0429775280898876	0.043700357279948	0.0454488778054863	0.0476314107684934	0.0493477601375265	0.0369569814157837	0.045110347232601	0.0471380471380471	0.0493321707924233	0.0429044893040072	0.0357142857142857
"Cellobiose -- Consumption"	0.0405248826835062	0.0368698459132979	0.0370355501134151	0.0469323684350556	0.0489617859231819	0.0453949094725794	0.0474473418055494	0.0434234600528563	0.0491121123774185	0.0458119531913323	0.0457497792912095	0.0479400640933106	0.039321783259675	0.0470685383980182	0.0498744310155392	0.0429285640060502	0.0499714363029556	0.0418321360046406	0.0495560322589405	0.0503353889429839	0.0489535338221185	0.032605254827477	0.0416728702021856	0.0443820224719101	0.0439661026958396	0.0452618453865337	0.0481107205623902	0.0494055443999827	0.0309188731997275	0.0483983460369651	0.0481000481000481	0.0499766228186563	0.0433062167319474	0.0358307706644302
"Raffinose -- Consumption"	0.0402641793638839	0.0366428769576072	0.0372563582712729	0.0461164618031537	0.0486937024761162	0.0472316977171346	0.0477991293258872	0.0436064240699329	0.0484760137821362	0.0445383735095426	0.0455763652415185	0.0474636948927448	0.0378262111613369	0.0477865939037088	0.049207345785591	0.0436790633767853	0.0499263357286749	0.0412743741912454	0.0483612566866701	0.0502001514659743	0.048929844717922	0.032605254827477	0.0435934847988566	0.0438202247191011	0.0447042844066495	0.0456774729842062	0.0478910369068541	0.0493477601375265	0.0311068298757136	0.0455088925422209	0.0471380471380471	0.0493827160493827	0.0416189615345988	0.0356210977541702
"Sucrose -- Consumption"	0.0400614101152888	0.0364159080019166	0.0369151093000381	0.0461519360045407	0.0484256190290505	0.0453949094725794	0.05679169781452	0.0424273226265501	0.0484760137821362	0.0452397652183543	0.0455448354143019	0.0468574068192973	0.0379438404274984	0.0472480522744408	0.049181185580495	0.0421549723469847	0.0498962686791545	0.0412297532461737	0.048171178754718	0.0502001514659743	0.0489061556137255	0.0324645633287609	0.0403477950153351	0.0429775280898876	0.0433755573271917	0.0470490440565254	0.0479509506310912	0.0493477601375265	0.0304959706787585	0.0459572560155433	0.0471380471380471	0.0493321707924233	0.0416189615345988	0.0355279097940546
"Lactose -- Consumption"	0.0402641793638839	0.0368194083675888	0.0369151093000381	0.0464712038170241	0.0488155585884188	0.0467069010758331	0.0474473418055494	0.0424679812970116	0.0482904850251789	0.0444830004798996	0.0457182494639929	0.0470161965528192	0.0380110571510192	0.0471762467238718	0.049416627426359	0.0422819799328014	0.050001503352476	0.041430547498996	0.0481168707741603	0.05028129395218	0.0489890674784133	0.032605254827477	0.0405413453235268	0.0438202247191011	0.0434346118640565	0.0449293433083957	0.0477112957341428	0.0493477601375265	0.030707421939243	0.0460568923429482	0.0471380471380471	0.0494964428775415	0.0438887215024606	0.0357142857142857
"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"	0.0453044435432478	0.0552795500970923	0.0994238914426802	0.0421965625498856	0.0335348021056736	0.034374180005248	0.0401257640385207	0.0365114860744054	0.0403392525841505	0.0330761563734357	0.0437161054357422	0.0376476022750238	0.0516056394831034	0.0340717337450185	0.036218803955423	0.0349848168204228	0.0386962927327941	0.0454464325554415	0.037608276536237	0.0381369685167154	0.0335200824380826	0.0665119060180789	0.0399458059137063	0.0342696629213483	0.0330114861074202	0.0332086450540316	0.0388041220642275	0.0363463010848995	0.0686041867349576	0.035370896228765	0.0401635401635402	0.0307315162313456	0.0486692778949483	0.104952940080142
