"Taxa"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"goose_24"	"grogu_24"	"hera_24"	"lambchop_25"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"Acetate -- Production"	0.0505104927130196	0.0533529925731761	0.0512631128238065	0.0494297336098261	0.0467718825981244	0.0497340823170081	0.0458474487479482	0.0478770289154036	0.0490668465516688	0.0445714285714286	0.0463571445517307	0.0465057330728973	0.0724702820982908	0.0128098267163852	0.0509550419595397	0.0503676182003715	0.0446707503828484	0.0502393676241372	0.0596466263488675	0.0546168254094767	0.0501822600243013	0.0356178306955133	0.0423500611995104	0.0499713407326351	0.0484227446252763	0.0477949259112694	0.0474772763154927	0.0503102411565279	0.0512053321657058	0.053388090349076	0.0496602195504443	0.0502539333025535	0.0483466856382814	0.0493434372649968	0.0502474692954763	0.0504739711771227	0.0532017332691382	0.0489348687534906	0.0482513872757775	0.0511885149446929	0.051117540990481	0.051967190323926	0.0462449130595634	0.0476270158338388	0.0516002211438049	0.0448332422088573	0.0479353161998267	0.0506609673078445	0.0499808302255062	0.0488745980707396	0.052527576639372	0.0512590197311297	0.0496798410245087	0.0481454499382345	0.047102639938657	0.0362260070289267	0.0518794367508437	0.044229527849502	0.0399469897765998	0.050871823409386	0.0505851967331363	0.0507040086173732	0.0497183058312123	0.0482901378097885	0.0505149583128985	0.0461386717323007	0.0465464487989063	0.0422589967213965	0.0506738196037876	0.0482017380644879	0.0494716618635927	0.0451040376204081	0.0448933782267116	0.0529746630091732	0.0459775092748979	0.0531565928156593	0.0519861129897651	0.0466434452184927	0.0495213715274648	0.0489291543150251	0.0544010767160162	0.0344251453235407	0.0496226714572241	0.0496416840848014	0.0501227991282992	0.0515418430212606	0.0454435220595094	0.0514675198219502	0.0486119505217777	0.0509230943481708	0.0481339839113807	0.0484108002190012	0.0447022527878652	0.0488396472692142	0.0478232575214003	0.048080563337624	0.041656024334177	0.0497591555463366	0.0467525567804489	0.0487718507549174	0.0516791412251329	0.0515205059053288	0.0444377515538154	0.0520149841330438	0.0367686256429467	0.0514238861814906	0.0527735966812291	0.0493379458427771	0.0506392687511659	0.0490562303639017	0.0520602863032091	0.0539428980151398	0.0596852535457548	0.0519368447967272
"D-Glucose (Glucose) -- Consumption"	0.0502815118127206	0.0445245376438037	0.0482551916077928	0.0391609507098421	0.0437869051754081	0.049253508191119	0.0289526071316313	0.0448672471245835	0.0475089139442999	0.0466493506493506	0.042727337429717	0.0424799081515499	0.026979714944704	0.00506690063610441	0.0483654276757725	0.0502367932180329	0.042572741194487	0.0490703629481185	0.036615412993926	0.0436974455027298	0.0414337788578372	0.0434441701756933	0.0362301101591187	0.0498931790943671	0.0480208961221619	0.047190344281757	0.0466878679206983	0.0481673383227787	0.0495025420224282	0.0448750855578371	0.045739675901725	0.0501473878609227	0.0483157536577067	0.0490927672046432	0.0439741735747602	0.0489355444446958	0.0471299416894025	0.049280604239249	0.0470512324170861	0.048078539488283	0.0508030360213025	0.0433198943417211	0.0443951165371809	0.0491957581208559	0.0486823514957921	0.0410060142154183	0.0487753655527262	0.0461093960262804	0.0207033564532432	0.0482315112540193	0.0489815253434391	0.0503009072127908	0.0483550452638552	0.0479870767476482	0.0475773177054807	0.0381184103811841	0.0518328872337949	0.043768443378827	0.0395052379149312	0.0506863290669635	0.0504688554343021	0.0459080300582186	0.0520204764492236	0.0470141212499291	0.0477060947879977	0.0469788850734273	0.047067248226027	0.0410538183420374	0.0501405810684161	0.0486614276645579	0.048030739673391	0.0451040376204081	0.0440516273849607	0.0440374008199864	0.0452557273396561	0.0395246289524629	0.0517606745119257	0.0463267891070298	0.0497016459050675	0.046331146121307	0.0272678331090175	0.0351213059974242	0.0496948184061296	0.0492684383398029	0.0485661904597184	0.0509698821760659	0.047495569443149	0.0513129627053678	0.0491155969217132	0.0509683995922528	0.0474746142687591	0.0482667204564447	0.0449111418195841	0.0512035190856955	0.0474561564518013	0.0466924105903435	0.036245849490329	0.0488372629007352	0.0475494753619339	0.0491903550848276	0.0465580066968682	0.049443566136582	0.0433151712619445	0.0280355992460213	0.0333107611624188	0.0526710857565189	0.0486802011821286	0.0481927710843374	0.0503522794128198	0.0484377705761571	0.0256803010533084	0.0363593014245693	0.0335340975325432	0.0481015085655843
"D-Mannose (Mannose) -- Consumption"	0.0502006950243797	0.0443971166448231	0.0481802611860415	0.0391609507098421	0.0429076936436263	0.049253508191119	0.028865295288653	0.0448242502418575	0.0475089139442999	0.0461298701298701	0.0424900951341605	0.0422860721368184	0.0251463717546869	0.00219346347883308	0.0483654276757725	0.0500536382427588	0.0413476263399694	0.0489311957247829	0.0349025653187873	0.0433985573665963	0.0408262454434994	0.0422825613474662	0.0362301101591187	0.0496326403001407	0.0478199718706048	0.0469155344501605	0.0466427588695672	0.0475916330838611	0.0489430538324941	0.0446611909650924	0.045739675901725	0.0500763575665021	0.0479755018713848	0.0486107093962708	0.0435260810232804	0.0486640573742676	0.0463275022735783	0.0492008191271509	0.0446896373725642	0.0480449181319974	0.0505304650480144	0.0428194077575421	0.0443951165371809	0.0486310108975298	0.0482216352355796	0.0393657736468015	0.0485128501299451	0.0456344494577693	0.0108919173259907	0.0482315112540193	0.0489815253434391	0.0496422048564328	0.0469198498564805	0.0472902347090685	0.0472852083105123	0.0377279144513532	0.0506691493075759	0.0434226300258207	0.0391897008708822	0.0503385271749212	0.0503990506550015	0.0451899156215537	0.0507335487745589	0.0465887823966427	0.04757233938205	0.0466135749251114	0.0465464487989063	0.0407687223813288	0.0497850887115018	0.0473261388262592	0.047790585975024	0.043764063408591	0.0434904601571268	0.0443323599681444	0.0446349948753483	0.0393901914390191	0.050904008296136	0.0449968334388854	0.0478989021290404	0.0457649135662659	0.0267294751009421	0.034877649761565	0.0494062306105075	0.0488951925948044	0.0475284513473313	0.0502345039465298	0.0463203059416099	0.050880202778937	0.0490148676417261	0.0503567787971458	0.0472108664117104	0.0476904014062185	0.0444772953690908	0.0510390758288968	0.0470723689699478	0.045304257843063	0.0360136531450995	0.0483763165779345	0.0467525567804489	0.0490937771625406	0.0450807563521765	0.0489165814191388	0.0427675711195685	0.0277969984013743	0.0329937902517037	0.0524054784396148	0.0480010279378832	0.04759632589765	0.0500652900744737	0.0469534670855701	0.0257181218206917	0.0362400906002265	0.0330872352826889	0.0467271797494247
"Lactose -- Consumption"	0.050066000377145	0.0409385466724916	0.0476129308499251	0.0389615568671239	0.0420936088919764	0.0492855464661783	0.027136520797681	0.0434698484359884	0.0466576724165623	0.0435324675324675	0.0409005717539323	0.0414659966898773	0.0252883080016559	0.145097609124808	0.0470608851418447	0.0495303383134043	0.0404594180704441	0.0486528612781118	0.0349684440755234	0.0427609293428446	0.0404617253948967	0.0347030637432844	0.0354957160342717	0.0495544786618728	0.0476190476190476	0.0461240821351625	0.0462367774093872	0.0475276658350924	0.0487727748181663	0.0415597193702943	0.0470465237846315	0.0502539333025535	0.0475424541433388	0.0485142978345963	0.0425076888608265	0.0482568267686251	0.0431712405713369	0.048349777931438	0.0446638275906569	0.0478263793161416	0.050488531052124	0.0404281940775754	0.0443951165371809	0.0467485201531092	0.0467473432028994	0.0410060142154183	0.0466227390859213	0.0432597166152141	0.0146561639538531	0.0482315112540193	0.0486702307640252	0.0494026767268481	0.0461470523294325	0.0469734883278959	0.0453864972432176	0.0341834129344267	0.0494355871057838	0.0422122832902988	0.0390003786444529	0.0502921535893155	0.0503990506550015	0.0449334461798877	0.0499041953842194	0.0399251403618216	0.0471264880288912	0.0452253963615109	0.0462209491569559	0.0395635440019698	0.0498981999159745	0.0465162095308977	0.048030739673391	0.043587085682502	0.0434904601571268	0.0434474825236705	0.0435956288886002	0.0359754785975479	0.0509716398394878	0.045060164661178	0.047808764940239	0.0451653732138694	0.0118438761776581	0.0297260607748268	0.0493340836616019	0.0491191400418035	0.0473554948286001	0.0505613387152125	0.0450704225352113	0.0509574813372282	0.048148595833837	0.0504020840412278	0.0472108664117104	0.0474886897386393	0.044380885046759	0.0477090998787231	0.0464382853042767	0.045379975265642	0.0356653586272552	0.0478462283067137	0.0458228184353832	0.0483855390657696	0.0431110892259208	0.0486065904088781	0.0421652109629548	0.0129083056954022	0.0307173628020228	0.05113518257616	0.0480010279378832	0.0464511511392103	0.0500652900744737	0.0467802983450016	0.0138613112460052	0.0334982416403409	0.0176802020594521	0.0456405011506009
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.050066000377145	0.0443061016455512	0.0479661742667523	0.0389615568671239	0.0433201632511289	0.0492001110660202	0.0287954458142702	0.0433623562291734	0.0466094889338601	0.0437402597402597	0.0424426466750492	0.0422115198234601	0.0251700277958484	0.00664619434086422	0.0483654276757725	0.0495303383134043	0.0403369065849923	0.0487920285014473	0.0349289168214817	0.0432590762364006	0.040097205346294	0.0337156962392914	0.0354957160342717	0.0495544786618728	0.0476190476190476	0.0468056105175219	0.0462367774093872	0.0475916330838611	0.048626821377314	0.0446611909650924	0.045739675901725	0.0500763575665021	0.0478002206481281	0.0484757332099265	0.0434242418070351	0.0485961856066605	0.0462472583319959	0.0482699928193399	0.0446638275906569	0.0479440540631409	0.050488531052124	0.0420964826915056	0.0443951165371809	0.0469576857913782	0.0481602064008846	0.0393657736468015	0.0464127267476964	0.0453969761735138	0.00841727370952563	0.0482315112540193	0.0487108344048183	0.0494625587592443	0.0465886509163171	0.0470368376041304	0.0455690656150728	0.0327415818088973	0.0496683346910276	0.0431113980081151	0.0388741638268333	0.0502921535893155	0.0503990506550015	0.0448052114590547	0.0490462436011096	0.0396415811262973	0.0471264880288912	0.0451523343318477	0.0457652496582254	0.0405743387717548	0.0498658824289823	0.0468445592452335	0.047790585975024	0.0434606730210098	0.0434904601571268	0.0436834498421969	0.0443462821012516	0.0393901914390191	0.0507912890572163	0.044743508549715	0.0477546826269582	0.045498451187423	0.026514131897712	0.0295520206063559	0.0493340836616019	0.0488951925948044	0.0474246774360926	0.0502345039465298	0.0446413580822684	0.0508492913556205	0.0482090334018292	0.0502435156869408	0.0472108664117104	0.0475463216436619	0.0443487482726484	0.0476063228432239	0.0469555640841663	0.0451780621387648	0.0357350175308241	0.0475696605130333	0.0454243591446407	0.0483855390657696	0.0449576521567855	0.0489165814191388	0.0426306710839745	0.0273913769654745	0.032748858184333	0.0510774418550939	0.0479092477697419	0.0466420135989503	0.0499648438060526	0.0468050367365114	0.0251129895425578	0.0360612743637122	0.0330872352826889	0.0460240347737152
"D-Xylose (Xylose) -- Consumption"	0.050066000377145	0.0442514926459881	0.0479661742667523	0.0389615568671239	0.0427774400833623	0.0492001110660202	0.0287954458142702	0.0433193593464474	0.0466094889338601	0.0437402597402597	0.0424426466750492	0.0422115198234601	0.0251463717546869	0.00506690063610441	0.0483654276757725	0.0495303383134043	0.0403369065849923	0.0487920285014473	0.0349025653187873	0.0432590762364006	0.040097205346294	0.0337156962392914	0.0354957160342717	0.0495544786618728	0.0476190476190476	0.0468056105175219	0.0462367774093872	0.0475916330838611	0.048626821377314	0.0446611909650924	0.045739675901725	0.0499698121248713	0.0478002206481281	0.0484757332099265	0.0434242418070351	0.0485961856066605	0.0462472583319959	0.0482168027446079	0.0446638275906569	0.0479440540631409	0.050488531052124	0.0420408730710413	0.0443951165371809	0.0469576857913782	0.0481602064008846	0.0393657736468015	0.0464127267476964	0.0453969761735138	0.00698825415635565	0.0482315112540193	0.0487108344048183	0.0494625587592443	0.0465886509163171	0.0470368376041304	0.0455690656150728	0.0327415818088973	0.0496683346910276	0.0431113980081151	0.0388741638268333	0.0502225932109071	0.0503525141354678	0.0448052114590547	0.0490033460119541	0.0396415811262973	0.0471264880288912	0.0451523343318477	0.0457652496582254	0.0405743387717548	0.0497042949940213	0.0468445592452335	0.047790585975024	0.0434606730210098	0.0434904601571268	0.0436834498421969	0.0443462821012516	0.0393901914390191	0.0507912890572163	0.044743508549715	0.0477546826269582	0.045498451187423	0.026514131897712	0.0294475965052734	0.0493340836616019	0.0488951925948044	0.0474246774360926	0.0499893778700178	0.0446413580822684	0.0507720127973293	0.0482090334018292	0.0501755578208178	0.0472108664117104	0.0475463216436619	0.0443487482726484	0.0475446566219244	0.0469555640841663	0.0451780621387648	0.0357350175308241	0.0475005185646132	0.0454243591446407	0.0483855390657696	0.0448837896395509	0.0489165814191388	0.0426306710839745	0.0273913769654745	0.032748858184333	0.0510774418550939	0.0479092477697419	0.0466420135989503	0.0499217954053007	0.0468050367365114	0.0251129895425578	0.0360612743637122	0.0330872352826889	0.0460240347737152
"Sucrose -- Consumption"	0.0507394736133186	0.041393621668851	0.0533718689788054	0.0725793587494018	0.046988971865231	0.0517418142207224	0.0276865854084448	0.0432548640223584	0.0467701005428672	0.0435324675324675	0.0603069915304501	0.041436175764534	0.0251463717546869	0.0045624040359728	0.0470998267100216	0.0494518433240011	0.0394180704441041	0.0486528612781118	0.0349025653187873	0.0427011517156179	0.042041312272175	0.0332655728183534	0.0342717258261934	0.0495544786618728	0.0476190476190476	0.0463439300004397	0.0616415183706611	0.0474317149619395	0.04838356564256	0.0415597193702943	0.045739675901725	0.0499698121248713	0.0474909008423809	0.0484757332099265	0.0425076888608265	0.0482115789235538	0.0429037607660622	0.0484827531182681	0.0446638275906569	0.0478263793161416	0.0503627290644525	0.040038926734325	0.0443951165371809	0.0465393545148403	0.0466244855335094	0.0393657736468015	0.0480665739112173	0.0427451911659938	0.00439162106583946	0.0482315112540193	0.0501319618325776	0.0491032665648672	0.0458158533892692	0.0468784644135441	0.046372366451236	0.0356252440599561	0.0489235424182474	0.04209701217263	0.0382430897387353	0.0500602856612873	0.0503525141354678	0.0446256828498884	0.0489747476191838	0.0418533431633868	0.04681439208168	0.0452253963615109	0.0457652496582254	0.0394987494654451	0.0496235012765407	0.0464724295689863	0.0479346781940442	0.0432078476980254	0.0434904601571268	0.0433884906940389	0.0434079655854373	0.0359754785975479	0.0507912890572163	0.0445218492716909	0.0475744082493555	0.0443326782799853	0.0117900403768506	0.0302481812802395	0.0493340836616019	0.048745894296805	0.0470095817911377	0.0502018204696616	0.0444548083201194	0.0507256456623545	0.0483702002498086	0.0502435156869408	0.0472108664117104	0.0473446099760828	0.0443166114985378	0.0492918662254106	0.0465217173655492	0.0451275838570455	0.0354331622820257	0.0472700454032128	0.0451587196174791	0.0490937771625406	0.0427417766397479	0.0485135931057999	0.0422473509843113	0.0126697048507552	0.0305876928840031	0.0511120862877336	0.0478174676016006	0.0460455684122629	0.0507540644865043	0.0463597456893353	0.01537414194134	0.0329617929307981	0.0176802020594521	0.0469828688315009
"Raffinose -- Consumption"	0.0501468171654858	0.0412115916703073	0.0476129308499251	0.0409554952943053	0.0432658909343522	0.0493389435912771	0.0439091258338281	0.0447167580350425	0.0472198130480871	0.0437402597402597	0.042727337429717	0.0457303890139711	0.0251463717546869	0.00473788111427945	0.0470608851418447	0.049844318271017	0.0435222052067381	0.048708528167446	0.0349025653187873	0.0432590762364006	0.0428918590522479	0.0350951067228111	0.0379436964504284	0.0495544786618728	0.0479405264215391	0.0472233214615486	0.0473193946365338	0.0474317149619395	0.048626821377314	0.0415597193702943	0.0470465237846315	0.0500763575665021	0.047851773949086	0.04876496789495	0.0437297594557712	0.0482568267686251	0.0431177446102819	0.0484827531182681	0.0446638275906569	0.0478263793161416	0.050488531052124	0.0403169748366467	0.0462449130595634	0.0470622686105127	0.0467473432028994	0.0393657736468015	0.0466227390859213	0.0430618222116679	0.0107176466487749	0.0482315112540193	0.0488461798741287	0.0492529716458577	0.0461470523294325	0.0470368376041304	0.0462993391024939	0.0331020395902797	0.0489235424182474	0.0436301180376245	0.0390003786444529	0.0502921535893155	0.0503990506550015	0.0448052114590547	0.0490462436011096	0.0402937673680032	0.0471264880288912	0.0453349894060057	0.0457652496582254	0.0411574896004769	0.0500597873509356	0.046800779283322	0.0479346781940442	0.043587085682502	0.0440516273849607	0.0447747986903814	0.0446349948753483	0.0359754785975479	0.0508589206005681	0.0448385053831539	0.0477546826269582	0.0448322952403158	0.0128667563930013	0.0299001009432977	0.0493340836616019	0.0488951925948044	0.0471825383098689	0.0505286552383443	0.0447905978919877	0.0508492913556205	0.0482090334018292	0.0502435156869408	0.0477383621258077	0.0474022418811054	0.0443166114985378	0.047852987728422	0.0470389961454388	0.045304257843063	0.0355492604546404	0.0475696605130333	0.0458228184353832	0.0484499243472942	0.0427910183179043	0.0485135931057999	0.0433151712619445	0.0146500918613252	0.0344057515812526	0.0510774418550939	0.0479459598369984	0.0461648574496004	0.0501083384752256	0.0469782054770799	0.0158469015336321	0.0338558741133695	0.0176802020594521	0.0461838404500128
"Cellobiose -- Consumption"	0.0502006950243797	0.0410659676714723	0.0477199743095697	0.0391609507098421	0.0419307919416464	0.049253508191119	0.0277040477770405	0.0448242502418575	0.0475089139442999	0.0461298701298701	0.041256435197267	0.041958041958042	0.0251108876929446	0.0031366527747313	0.0470608851418447	0.0499228132604202	0.0418070444104135	0.0488476953907816	0.0349289168214817	0.0433985573665963	0.0408262454434994	0.0408886307535937	0.0354957160342717	0.0496326403001407	0.0478199718706048	0.0464538539330783	0.0466427588695672	0.0474317149619395	0.0489430538324941	0.0415597193702943	0.045739675901725	0.0501473878609227	0.0479033272500438	0.0485142978345963	0.0434649774935332	0.0483246985362322	0.0431712405713369	0.0491476290524188	0.0446896373725642	0.0479104327068554	0.0505304650480144	0.0410398999026832	0.0443951165371809	0.0488401765357987	0.0467473432028994	0.0393657736468015	0.0485128501299451	0.0432597166152141	0.00331114286710118	0.0482315112540193	0.0488732489679908	0.0491631485972634	0.0463678516228748	0.047353583985303	0.0472121809617702	0.0380282959358385	0.0501338298615152	0.0428462744374769	0.0391897008708822	0.0504544611389353	0.0503990506550015	0.0451899156215537	0.0515057053793577	0.0466738501672999	0.0471264880288912	0.0466135749251114	0.0465464487989063	0.0400171057576425	0.0498658824289823	0.0473918087691264	0.047790585975024	0.0438399110054863	0.0434904601571268	0.0438899212459074	0.0437688565530582	0.0361636911163691	0.0509716398394878	0.0449968334388854	0.0480250941933623	0.0448322952403158	0.0130013458950202	0.0347732256604824	0.0494062306105075	0.0488951925948044	0.0473554948286001	0.0504469465461736	0.0468799552280571	0.0509265699139117	0.0490148676417261	0.0503567787971458	0.0472108664117104	0.0475463216436619	0.0445576373043674	0.0511007420501963	0.0462380483572227	0.0454304535473612	0.03578145679987	0.0482610799972343	0.0471510160711914	0.0490937771625406	0.0428648808351389	0.0486065904088781	0.0421652109629548	0.0143399107632841	0.0320284697508897	0.0524401228722544	0.0480010279378832	0.0474770368603125	0.0500365911406391	0.0467802983450016	0.0161305572890074	0.0339750849377123	0.0176802020594521	0.046439529532089
"Trehalose -- Consumption"	0.0499717141240807	0.0438874326489005	0.047773496039392	0.0375059818152815	0.042636332059743	0.0490399196907239	0.0245608214298187	0.0380952380952381	0.0448909447174842	0.0437402597402597	0.0378638703708097	0.0399749504227116	0.0251700277958484	0.00375082254880456	0.0483654276757725	0.048797718412308	0.0382388973966309	0.0487920285014473	0.0349289168214817	0.0432590762364006	0.0382746051032807	0.0280673733120372	0.0325581395348837	0.0495544786618728	0.0462125778581475	0.0462340060678011	0.0452894873356339	0.0475916330838611	0.048505193509937	0.0446611909650924	0.0452169367485625	0.0500763575665021	0.0476971140462124	0.0485142978345963	0.0434242418070351	0.0485509377615891	0.046193762370941	0.0474721416983591	0.0446638275906569	0.0479440540631409	0.0504256300582883	0.0419574586403448	0.0377358490566038	0.0471668514296471	0.0480680631488421	0.0371787862219792	0.0448376342110099	0.0452386606506768	0.0108744902582691	0.047588424437299	0.0482371252622318	0.0494625587592443	0.0469198498564805	0.0471318615184822	0.0438164092452624	0.0343936799735664	0.0499709065518445	0.0420739579490963	0.0383693045563549	0.0502921535893155	0.0503525141354678	0.0446256828498884	0.0498326994022936	0.036323938070663	0.0457889339694146	0.0449696792576898	0.0458954495150055	0.0392136535047365	0.0497850887115018	0.0468883392071449	0.0475504322766571	0.0433848254241145	0.0420875420875421	0.041028817508775	0.0433069161145035	0.0393901914390191	0.0507912890572163	0.044743508549715	0.0478448198157596	0.0452652966059354	0.0252489905787349	0.0296216366737443	0.0493340836616019	0.048745894296805	0.0472517209173614	0.0502018204696616	0.0452010073687156	0.0508492913556205	0.048148595833837	0.0502888209310228	0.0454965053408941	0.0474886897386393	0.0444290902079249	0.047339102550926	0.0466552086635852	0.0451275838570455	0.0356653586272552	0.0469243356611123	0.0435648824545092	0.0483855390657696	0.0448345479613945	0.0489165814191388	0.0416723708348164	0.0246236071675694	0.0279798867549383	0.0510197011340278	0.0478725357024854	0.0465704401765478	0.0499217954053007	0.0465329144299038	0.0221251489192716	0.0355844310663408	0.0330872352826889	0.0461838404500128
