"Taxa"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"goose_24"	"grogu_24"	"hera_24"	"lambchop_25"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.3675	0.21925	0.437	0.17475	0.35925	0.4545	0.2055	0.14825	0.26275	0.0185	0.15025	0.231	0.212	0	0.2415	0.17625	0.19225	0.1555	0.2645	0.19925	0.0195	0.06525	0.00325	0.18025	0.09825	0.39225	0.1985	0.12275	0.18625	0.18025	0.01525	0.14	0.428	0.236	0.1835	0.193	0.145	0.164	0.3455	0.2625	0.226	0.1165	0.00775	0.2035	0.1385	0.00275	0.1475	0.09125	0	0.0125	0.345	0.15175	0.0335	0.1355	0.10275	0.094	0.2045	0.27475	0.01075	0.20975	0.207	0.14175	0.30825	0.1025	0.0945	0.0865	0.0495	0.1845	0.29425	0.18575	0.09375	0.10975	0.009	0.11825	0.24125	0.10975	0.21775	0.098	0.237	0.09325	0.02525	0.07225	0.31075	0.05825	0.10125	0.30225	0.18125	0.32475	0.2155	0.21225	0.02775	0.11975	0.18475	0.22325	0.25425	0.16625	0.1445	0.178	0.02575	0.13675	0.1685	0.146	0.101	0.01725	0.04425	0.43675	0.24975	0.16525	0.34175	0.16625	0.02525	0.05	0.088	0.136
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.20225	0.14775	0.0725	0.17275	0.075	0.15125	0.11375	0.20875	0.1435	0.016	0.195	0.21925	0	5e-04	0.0345	0.25375	0.188	0.188	0	0.182	0.0695	0.01575	0.05075	0.15275	0.33925	0.13025	0.15975	0.1625	0.15225	0.108	0.104	0.26075	0.11625	0.142	0.152	0.2405	0.1145	0.241	0.25575	0.16325	0.18425	0.16275	0.0585	0.17775	0.25675	0.03925	0.20225	0.19175	0	0.06575	0.172	0.198	0.0915	0.263	0.21575	0.1135	0.11925	0.11575	0.02025	0.3035	0.189	0.13725	0.0785	0.13975	0.04725	0.13425	0.22825	0.1635	0.14375	0.116	0.1015	0.16575	0.0285	0.258	0.16675	0.16575	0.1695	0.149	0.15225	0.17325	0.14525	0.21175	0.1765	0.13025	0.19	0.204	0.147	0.1245	0.16	0.1605	0.105	0.27975	0.15825	0.32725	0.1975	0.10375	0.0655	0.17825	0.07625	0.20825	0.181	0.227	0.2385	0.0995	0.17825	0.13725	0.11425	0.1515	0.17375	0.1935	0.06425	0.01275	0.02375	0.20025
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0	0.01825	0	0.00625	0	0	0	0	0	0.00225	0.02675	0	0	0.00025	0.60375	0	0	0.228	0	0.00075	0	5e-04	0.58225	0.0295	0.00025	0	0.102	0.07575	0.0015	0.02925	0.797	0.28925	0	0.00025	0.00125	0.02975	0.2105	0	5e-04	0.1225	0.01875	0.07575	0.85575	0.0185	0.0775	0.8865	0	0.10375	0	0.85425	0	0.0755	0.62375	0.0035	0.32775	0	0.02525	0	0.20875	0.009	0.18775	0.014	0.2	0	0	0.30275	0.0525	0	0.00975	0.01275	0.6095	0.02125	0.879	0.00025	0	0.0415	0.063	0.03375	0	0.02925	0	0.195	0.01775	0.663	0.03625	0.01025	0.00975	0.006	0.28275	0.085	0.73575	0.00975	0.00325	0.00025	0	0.0035	0.198	0	0.78475	0.351	0.0985	0.10325	0	0	0	0.00025	0.0865	0.062	0	0	0	0.00025	0	0.0105
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0775	0.11775	0.035	0.0165	0.0085	0.0385	0.0505	0.0265	0.039	0.04225	0.159	0.1445	0.07775	0.00025	0	0.15825	0.135	0.0915	0.377	0.151	0.016	0.021	0.00225	0.24575	0.1065	0.15425	0.0655	0.3185	0.1535	0.14025	0.01	0.00175	0.17425	0.22	0.121	0.102	0.1225	0.11825	0.08075	0.104	0.1895	0.14825	0.008	0.09625	0.1105	0.009	0.0685	0.14325	0	0.01275	0.05275	0.18225	0.04675	0.08525	0.06675	0.03525	0.35275	0.10475	0.015	0.055	0.06175	0.19275	0.17825	0.06525	0.0135	0.04325	0.09125	0.10375	0.04975	0.36875	0.04025	0.20475	0.01875	0.0915	0.166	0.1015	0.2995	0.22525	0.29725	0.15675	0.079	0.04725	0.118	0.06275	0.3285	0.10275	0.15925	0.255	0.09625	0.217	0.02725	0.24025	0.226	0.08525	0.17975	0.067	0.058	0.11175	0.01325	0.06725	0.23	0.1825	0.1475	0.0655	0.0795	0.22775	0.18875	0.1385	0.17675	0.21625	0.0205	0.008	0.06175	0.2205
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella"	0.0825	0.13975	0.00125	0.00625	0.02075	0.00425	0.00775	0.004	0.002	0.34575	0.082	0.00825	0	5e-04	0	0.00425	0.014	0.0785	0	0.13875	0.246	0.028	0.00325	0.05	0.00275	0.009	0.1265	0.071	0.1795	0.09375	0.0055	0.14075	0.009	0.02475	0.1465	0.0965	0.13275	0.0055	0.1835	0.034	0.0525	0.064125	0.00175	0.16	0.12	0.0035	0.0105	0.0915	0.000125	0.00225	0.00675	0.08	0.0805	0.339	0.05125	0	0.017	0.012	0.25875	0.2655	0.15125	0.12425	0.0195	0.014	0.003	0.15875	0.17725	0.01575	0.326	0.06625	0.0445	0.115	0.0045	0.0055	0.01175	0.0605	0.0675	0.08775	0.0105	0.068	0.0535	0.03275	0.03175	0.006	0.0535	0.238	0.087	0.19425	0.04175	0.09825	0.01175	0.05875	0.0635	0.00225	0.008	0.51925	0.01275	0	0.00225	0.05425	0.05	0.0825	0.01375	0.11175	0.01725	0.001	0.0725	0.076	0.01775	0.010625	0.048	0.5615	0.0205	0.11775
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.065	0.01575	0.06925	0.0985	0.0365	0.1105	0.05775	0.1655	0.0855	0.03375	0.04025	0.04625	0	0.00025	0.00525	0.177	0.08025	0.05275	0	0.02325	0.2125	0.15275	0.19725	0.033	0.165	0.03175	0.03475	0.06125	0.03775	0.02875	0.033	0.0165	0.05825	0.0285	0.074	0.0295	0.006	0.22625	0.0375	0.038	0.0275	0.034875	0.0275	0.044	0.0165	0.01075	0.23125	0.0165	0.00025	0.01225	0.12375	0.014	0.0075	0.0315	0.05575	0.2035	0.00425	0.068	0.0215	0.013	0.02275	0.066	0.01275	0.3125	0.0405	0.05475	0.06475	0.08275	0.033	0.0415	0.00875	0.06475	0.0135	0.1725	0.0415	0.02775	0.011	0.05025	0.02675	0.036	0.017	0.01275	0.0595	0.00775	0.025	0.0165	0.0615	0.0085	0.0235	0.02025	0.024	0.02325	0.032	0.0675	0.0315	0.032	0.01375	0.17025	0.03575	0.02025	0.01225	0.016	0.07175	0.02875	0.10675	0.01775	0.01475	0.04125	0.0695	0.01975	0.02975	0.061	0.002	0.127
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium"	0.053	0.018	0.04525	0.01725	0.00975	0.04425	0.022	0.0415	0.0475	0.009	0.025	0.0565	0	5e-04	0.00175	0.064	0.038	0.065	0	0.063	0.01975	0.00825	0.003	0.115	0.10675	0.0555	0.02025	0.0535	0.0925	0.0935	0.00925	0.03875	0.03225	0.064	0.04925	0.07425	0.04975	0.0645	0.00025	0.0945	0.14825	0.089	0.01225	0.11	0.0855	0.0165	0.078	0.1	0	0.012	0.0635	0.0735	0.04725	0.02675	0.02875	0.03125	0.0925	0.04925	0.008	0.0445	0.0245	0.08125	0.02625	0.05025	0.015	0.0225	0.06425	0.0575	0.01075	0.05675	0.01475	0.07625	0.015	0.1005	0.06675	0.08275	0.042	0.1245	0.0685	0.1865	0.02225	0.026	0.08375	0.0295	0.07	0.01375	0.06925	0.01225	0.02775	0.06225	0.0205	0.10175	0.07	0.07225	0.07175	0.0105	0.0205	0.07225	0.01825	0.0285	0.0245	0.07375	0.101	0.01525	0.0515	0.03475	0.06825	0.07875	0.07325	0.132875	0.01525	0.00225	0.02425	0.0355
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	5e-04	0.12475	0.0435	0.066	0.05575	0.0355	0	0.01325	0.02275	0	0.0305	0	0.2985	0.06175	0.04475	0.001	0	0.013	0.12275	0.02875	5e-04	5e-04	0.0015	0	0.00675	0	0	0.01675	0.00725	0.10175	0	0	0	0	0.01425	0.01375	0.07325	5e-04	0.01425	0.047	0.00275	0.099	0	0.00025	0.02425	0	0.00075	0.04225	0.436	0	0.00675	0.0085	0.0045	0.00075	0	0	0.016	0	0.0045	5e-04	0.00025	0.01375	0.00175	0.00125	0.008	0	0.00025	0.02825	0.001	0.00075	0	0	0	0.0055	0	0.16775	0.001	0	0.00025	0.0275	0.32125	0.27675	0	0	0.01325	0.00075	0	0	5e-04	0.00025	0	0.00425	0	0.00675	0	0.0025	0.357	0	0	0.00025	0.05125	0.011	0	0.305	0	0	0.04775	0.03775	0	0	0.335	0.07525	0.4825	0.012
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.001	0.07925	0.04175	0.04175	0.0305	0.00125	0	0	0.00025	0	0.0155	0	0.388	0.0385	0.025	0	0	0.0055	0.1665	0.05475	0	0.00025	0.00225	5e-04	0	0	0	0.008	0.007	0.064	0.00025	0	0	0	0.02725	0.00875	0.0435	0	0.0275	0.023	0.00125	0.0475	0	0.00025	0.01675	0	0	0.02275	0.234125	0	0.0205	0.00475	0.0025	0.00175	0	0	0.00875	0	0.0015	0.00075	0	0.0195	0.00175	0.0035	0.004	0	0	0.00125	0.0015	0	0	0	0	0.0155	0	0.09825	0.00125	0	0	0.01325	0.181	0.01075	0	0	0.0075	0.00325	0	0.00025	0.00025	0	0	0.00225	0	0.00525	0	0.01	0.02375	0	0	0.00025	0.0385	0.009	0	0.18025	0	0.00025	0.03	0.015	0	0	0.21325	0.04	0.2665	0.0115
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.003	0.0025	0.00325	0.01225	0.01225	0.00375	0.03825	0.02625	0.015	0.02425	0.0015	0.02625	0	0.00025	0	0.00925	0.03825	0.018	0	0.015	0.011	0.09725	0.00975	0.01	0.0145	0.015	0.0015	0.02525	0.01075	0.013	0.002	0	0.0285	0.014	0.02375	0.0185	0.01425	0.0135	0.00025	0.0215	0.01275	0.025625	0.0025	0.01625	0.0115	0.00325	0.02125	0.01475	0	0.002	0.00925	0.01	0.00725	0.0125	0.01575	0.00725	0.00325	0.07275	0.04925	0.005	0.009	0.03	0.033	0.0195	0.0065	0.03425	0.01825	0.1015	0.01175	0.026	0.00475	0.05925	0.0055	0.017	0.04375	0.023	0.007	0.04	0.02425	0.03425	0.01	0.01075	0.02975	0.0065	0.03275	0.00275	0.055	0.003	0.02175	0.00775	0.006	0.0425	0.0905	0.0055	0.016	0.0115	0.007	0.02125	0.00675	0.0135	0.004	0.01	0.046	0.021	0.123	0.00375	0.0095	0.026	0.004	0.016125	0.02275	0.005	0.002	0.0045
