"Taxa"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"hera_24"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.188444444444444	0.184444444444444	0.086	0.162222222222222	0.0944444444444444	0.140666666666667	0.478222222222222	0.289333333333333	0.154	0.572	0.156222222222222	0.232	0.000444444444444444	0.00288888888888889	0.00533333333333333	0.239555555555556	0.325333333333333	0.184666666666667	0	0.214222222222222	0.636222222222222	0.458222222222222	0.269777777777778	0.143111111111111	0.223333333333333	0.151333333333333	0.185777777777778	0.191777777777778	0.266	0.165333333333333	0.0446666666666667	0.189777777777778	0.183777777777778	0.260444444444444	0.298888888888889	0.302888888888889	0.118	0.114666666666667	0.163777777777778	0.0435555555555556	0.246222222222222	0.186222222222222	0.0233333333333333	0.328444444444444	0.160222222222222	0.000666666666666667	0.0211111111111111	0.193777777777778	0.145777777777778	0.106666666666667	0.386666666666667	0.171111111111111	0.252444444444444	0.0348888888888889	0.298	0.501777777777778	0.286444444444444	0.259555555555556	0.283111111111111	0.078	0.459111111111111	0.0675555555555555	0.341111111111111	0.345333333333333	0.356444444444444	0.378	0.167333333333333	0.0691111111111111	0.312222222222222	0.0324444444444444	0.274666666666667	0.239777777777778	0.146	0.117111111111111	0.241333333333333	0.152888888888889	0.168666666666667	0.171777777777778	0.07	0.223777777777778	0.0244444444444444	0.137777777777778	0.258888888888889	0.309333333333333	0.207333333333333	0.127555555555556	0.166888888888889	0.056	0.142888888888889	0.298666666666667	0.0982222222222222	0.146444444444444	0.567555555555556	0.0551111111111111	0.268666666666667	0.0566666666666667	0.122666666666667	0.0884444444444445	0.136666666666667	0.278444444444444	0.213111111111111	0.497111111111111	0.0331111111111111	0.115555555555556	0.182	0.125555555555556	0.139666666666667	0.178	0.666444444444444	0.0255555555555556	0.268222222222222
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales"	0.367555555555556	0.219333333333333	0.437111111111111	0.174444444444444	0.359111111111111	0.454444444444444	0.205555555555556	0.148444444444444	0.262444444444444	0.0184444444444444	0.150222222222222	0.231333333333333	0.212	0.000222222222222222	0.241555555555556	0.176444444444444	0.192666666666667	0.155777777777778	0.264222222222222	0.199333333333333	0.0195555555555556	0.0651111111111111	0.00333333333333333	0.18	0.098	0.392444444444444	0.198444444444444	0.122888888888889	0.186222222222222	0.18	0.0151111111111111	0.139777777777778	0.428222222222222	0.236222222222222	0.183333333333333	0.164	0.262666666666667	0.225777777777778	0.116444444444444	0.00777777777777778	0.203555555555556	0.138444444444444	0.00266666666666667	0.147555555555556	0.0913333333333333	0	0.0124444444444444	0.344888888888889	0.151555555555556	0.0335555555555556	0.135777777777778	0.103111111111111	0.0944444444444444	0.204444444444444	0.274666666666667	0.0111111111111111	0.209777777777778	0.207111111111111	0.142222222222222	0.308222222222222	0.102444444444444	0.0944444444444444	0.0864444444444444	0.0493333333333333	0.184666666666667	0.294222222222222	0.186	0.094	0.109777777777778	0.00888888888888889	0.118444444444444	0.241333333333333	0.109777777777778	0.217555555555556	0.0977777777777778	0.237555555555556	0.0931111111111111	0.0251111111111111	0.0724444444444445	0.310666666666667	0.0582222222222222	0.101333333333333	0.302222222222222	0.181111111111111	0.324666666666667	0.215777777777778	0.212444444444444	0.0275555555555556	0.12	0.184666666666667	0.222888888888889	0.254444444444444	0.166222222222222	0.144444444444444	0.178222222222222	0.026	0.136666666666667	0.168666666666667	0.146222222222222	0.100888888888889	0.0168888888888889	0.0442222222222222	0.436666666666667	0.249777777777778	0.165555555555556	0.341555555555556	0.166333333333333	0.0251111111111111	0.05	0.088	0.136
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales"	0.202222222222222	0.148	0.0724444444444445	0.172666666666667	0.0748888888888889	0.151111111111111	0.113555555555556	0.208888888888889	0.143333333333333	0.016	0.195111111111111	0.219111111111111	0	0.000444444444444444	0.0344444444444444	0.253777777777778	0.188	0.188	0	0.182	0.0693333333333333	0.0157777777777778	0.0506666666666667	0.152888888888889	0.339111111111111	0.130222222222222	0.159777777777778	0.162444444444444	0.152444444444444	0.108	0.104	0.260666666666667	0.116222222222222	0.142	0.152	0.241111111111111	0.163111111111111	0.184222222222222	0.162666666666667	0.0584444444444444	0.177777777777778	0.256888888888889	0.0393333333333333	0.202222222222222	0.191555555555556	0	0.0657777777777778	0.172	0.198	0.0915555555555556	0.263111111111111	0.215777777777778	0.113333333333333	0.119333333333333	0.115777777777778	0.0202222222222222	0.303333333333333	0.188888888888889	0.137333333333333	0.0784444444444444	0.139777777777778	0.0471111111111111	0.134222222222222	0.228222222222222	0.163555555555556	0.143777777777778	0.116	0.101555555555556	0.165777777777778	0.0286666666666667	0.258	0.166888888888889	0.165777777777778	0.169555555555556	0.149111111111111	0.152222222222222	0.173111111111111	0.145111111111111	0.211777777777778	0.176444444444444	0.130222222222222	0.19	0.204	0.146888888888889	0.124444444444444	0.16	0.160444444444444	0.104888888888889	0.279777777777778	0.158444444444444	0.327333333333333	0.197555555555556	0.103777777777778	0.0655555555555556	0.178444444444444	0.0762222222222222	0.208222222222222	0.180888888888889	0.226888888888889	0.238444444444444	0.0995555555555555	0.178222222222222	0.137333333333333	0.114222222222222	0.151555555555556	0.173777777777778	0.193555555555556	0.0642222222222222	0.0126666666666667	0.0237777777777778	0.200222222222222
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales"	0.0102222222222222	0.0191111111111111	0.00755555555555556	0.0164444444444444	0.00555555555555556	0.00955555555555555	0.00555555555555556	0.008	0.00822222222222222	0.00266666666666667	0.0353333333333333	0.00911111111111111	0	0.000222222222222222	0.608	0.00755555555555556	0.006	0.232888888888889	0	0.00266666666666667	0.00466666666666667	0.00244444444444444	0.592444444444444	0.0646666666666667	0.0155555555555556	0.00577777777777778	0.107555555555556	0.0773333333333333	0.00666666666666667	0.0548888888888889	0.800444444444444	0.298	0.004	0.00133333333333333	0.00577777777777778	0.00711111111111111	0.125777777777778	0.0262222222222222	0.0823333333333333	0.858888888888889	0.0235555555555556	0.104444444444444	0.894666666666667	0.006	0.150888888888889	0.000111111111111111	0.857333333333333	0.0193333333333333	0.140666666666667	0.626888888888889	0.0146666666666667	0.334888888888889	0.0246666666666667	0.0551111111111111	0.00644444444444444	0.214888888888889	0.0395555555555556	0.215111111111111	0.0197777777777778	0.202222222222222	0.00488888888888889	0.00377777777777778	0.314222222222222	0.0957777777777778	0.00711111111111111	0.0271111111111111	0.0177777777777778	0.626222222222222	0.0242222222222222	0.882222222222222	0.006	0.00911111111111111	0.0455555555555556	0.0957777777777778	0.0373333333333333	0.00266666666666667	0.0362222222222222	0.00333333333333333	0.199333333333333	0.0211111111111111	0.665777777777778	0.0366666666666667	0.0364444444444444	0.0126666666666667	0.0162222222222222	0.293777777777778	0.105555555555556	0.738666666666667	0.0133333333333333	0.00422222222222222	0.006	0.00488888888888889	0.0142222222222222	0.215777777777778	0.012	0.786222222222222	0.366222222222222	0.135333333333333	0.136888888888889	0.00733333333333333	0.000666666666666667	0.00644444444444444	0.00355555555555556	0.0944444444444444	0.068	0.0108888888888889	0.00811111111111111	0.00222222222222222	0.000444444444444444	0.00111111111111111	0.0177777777777778
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales"	0.0842222222222222	0.124222222222222	0.0386666666666667	0.0171111111111111	0.00933333333333333	0.0422222222222222	0.0517777777777778	0.0271111111111111	0.0395555555555556	0.0437777777777778	0.163111111111111	0.146444444444444	0.0851111111111111	0.000444444444444444	0.000222222222222222	0.160888888888889	0.136666666666667	0.0946666666666667	0.396222222222222	0.156	0.0175555555555556	0.0213333333333333	0.002	0.255777777777778	0.111111111111111	0.156	0.068	0.322888888888889	0.160222222222222	0.145777777777778	0.0113333333333333	0.00244444444444444	0.178	0.224444444444444	0.124666666666667	0.120444444444444	0.108666666666667	0.200666666666667	0.152444444444444	0.00844444444444444	0.100444444444444	0.114888888888889	0.00955555555555555	0.0702222222222222	0.158222222222222	0.00233333333333333	0.0137777777777778	0.0544444444444444	0.202222222222222	0.0553333333333333	0.100444444444444	0.0682222222222222	0.0366666666666667	0.377555555555556	0.109111111111111	0.0157777777777778	0.0615555555555556	0.0662222222222222	0.202888888888889	0.219555555555556	0.0697777777777778	0.0137777777777778	0.0444444444444444	0.0962222222222222	0.106888888888889	0.0531111111111111	0.379111111111111	0.0415555555555556	0.211333333333333	0.0193333333333333	0.0962222222222222	0.169555555555556	0.106444444444444	0.318666666666667	0.235111111111111	0.305111111111111	0.168222222222222	0.0875555555555556	0.0495555555555556	0.124444444444444	0.0664444444444444	0.362444444444444	0.112888888888889	0.175555555555556	0.273333333333333	0.102666666666667	0.244222222222222	0.0293333333333333	0.256222222222222	0.234	0.0906666666666667	0.183555555555556	0.0724444444444445	0.0595555555555556	0.113555555555556	0.0142222222222222	0.0706666666666667	0.259555555555556	0.199333333333333	0.149555555555556	0.0702222222222222	0.0831111111111111	0.243111111111111	0.203777777777778	0.148666666666667	0.184222222222222	0.224333333333333	0.0215555555555556	0.00866666666666667	0.0662222222222222	0.226444444444444
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales"	0.100444444444444	0.0544444444444444	0.152444444444444	0.109555555555556	0.0988888888888889	0.0902222222222222	0.0613333333333333	0.209555555555556	0.290444444444444	0.0108888888888889	0.0528888888888889	0.135111111111111	0	0.00155555555555556	0.0115555555555556	0.119111111111111	0.0864444444444444	0.094	0	0.123555555555556	0.0277777777777778	0.0244444444444444	0.00377777777777778	0.160666666666667	0.176	0.108444444444444	0.0344444444444444	0.0786666666666667	0.163777777777778	0.155555555555556	0.0222222222222222	0.0706666666666667	0.0604444444444444	0.0997777777777778	0.128444444444444	0.118	0.126222222222222	0.212222222222222	0.137	0.0184444444444444	0.182444444444444	0.124	0.0246666666666667	0.139555555555556	0.145111111111111	0.000111111111111111	0.0217777777777778	0.111111111111111	0.114666666666667	0.0646666666666667	0.0317777777777778	0.0586666666666667	0.0904444444444444	0.148222222222222	0.119333333333333	0.012	0.056	0.0348888888888889	0.128666666666667	0.0588888888888889	0.0955555555555556	0.0982222222222222	0.0426666666666667	0.0937777777777778	0.100666666666667	0.0182222222222222	0.102	0.0295555555555556	0.132888888888889	0.0211111111111111	0.173555555555556	0.124222222222222	0.114888888888889	0.0584444444444444	0.191777777777778	0.106	0.282444444444444	0.0475555555555556	0.0497777777777778	0.111333333333333	0.0462222222222222	0.109555555555556	0.0324444444444444	0.11	0.0202222222222222	0.0628888888888889	0.078	0.0322222222222222	0.148666666666667	0.096	0.135555555555556	0.152666666666667	0.0211111111111111	0.058	0.181333333333333	0.032	0.0502222222222222	0.034	0.102444444444444	0.157333333333333	0.0844444444444444	0.128666666666667	0.0973333333333333	0.109111111111111	0.13	0.109777777777778	0.205444444444444	0.120888888888889	0.00444444444444444	0.036	0.0728888888888889
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales"	0.00155555555555556	0.204	0.0855555555555556	0.11	0.0902222222222222	0.0368888888888889	0	0.014	0.0233333333333333	0	0.046	0.000222222222222222	0.686222222222222	0.977555555555556	0.0702222222222222	0.00111111111111111	0	0.0186666666666667	0.289111111111111	0.084	0.000222222222222222	0.00133333333333333	0.00444444444444444	0.000222222222222222	0.00666666666666667	0	0	0.0246666666666667	0.0142222222222222	0.166	0.000222222222222222	0	0	0	0.0413333333333333	0.000888888888888889	0.0702222222222222	0.004	0.146444444444444	0	0.000444444444444444	0.0406666666666667	0	0.000666666666666667	0.0653333333333333	0.670444444444444	0	0.0395555555555556	0.0133333333333333	0.00711111111111111	0.00244444444444444	0.000222222222222222	0.119333333333333	0.0248888888888889	0.000444444444444444	0.00644444444444444	0.00155555555555556	0.000222222222222222	0.0331111111111111	0.00355555555555556	0.00733333333333333	0.646	0	0.000444444444444444	0.0297777777777778	0.00266666666666667	0.000666666666666667	0	0	0	0.0213333333333333	0	0.266	0.002	0	0.000222222222222222	0.0408888888888889	0.502888888888889	0.287555555555556	0	0	0.0211111111111111	0.004	0	0.000222222222222222	0.000888888888888889	0.000222222222222222	0	0.00666666666666667	0	0.0122222222222222	0	0.0122222222222222	0.380666666666667	0	0	0.000444444444444444	0.0917777777777778	0.0197777777777778	0	0.485333333333333	0.00155555555555556	0.000222222222222222	0.0775555555555556	0.0537777777777778	0	0	0.548222222222222	0.115555555555556	0.749777777777778	0.0233333333333333
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales"	0.0157777777777778	0.02	0.00577777777777778	0.0102222222222222	0.00955555555555555	0.0208888888888889	0.0157777777777778	0.0111111111111111	0.00711111111111111	0.130222222222222	0.0404444444444444	0.008	0.00311111111111111	0	0.0235555555555556	0.0197777777777778	0.01	0.0177777777777778	0.0253333333333333	0.0126666666666667	0.187333333333333	0.115555555555556	0.0644444444444444	0.0317777777777778	0.00977777777777778	0.0151111111111111	0.0226666666666667	0.0126666666666667	0.0277777777777778	0.016	0.00111111111111111	0.034	0.006	0.00666666666666667	0.0366666666666667	0.0117777777777778	0.0162222222222222	0.0217777777777778	0.0245555555555556	0.00244444444444444	0.0124444444444444	0.0248888888888889	0.00244444444444444	0.0173333333333333	0.0282222222222222	0.000222222222222222	0.00311111111111111	0.0215555555555556	0.0295555555555556	0.00777777777777778	0.0237777777777778	0.00644444444444444	0.0893333333333333	0.0108888888888889	0.0231111111111111	0.151333333333333	0.0113333333333333	0.0242222222222222	0.04	0.008	0.0153333333333333	0.00511111111111111	0.0188888888888889	0.06	0.0204444444444444	0.0457777777777778	0.018	0.0184444444444444	0.0282222222222222	0.00311111111111111	0.0122222222222222	0.0164444444444444	0.0293333333333333	0.0184444444444444	0.0308888888888889	0.0191111111111111	0.0231111111111111	0.00777777777777778	0.0106666666666667	0.0268888888888889	0.002	0.032	0.0242222222222222	0.034	0.0193333333333333	0.00911111111111111	0.0266666666666667	0.004	0.0168888888888889	0.0171111111111111	0.00955555555555555	0.0193333333333333	0.0262222222222222	0.0111111111111111	0.0295555555555556	0.00155555555555556	0.0173333333333333	0.03	0.0253333333333333	0.0304444444444444	0.00822222222222222	0.0226666666666667	0.00377777777777778	0.0253333333333333	0.0284444444444444	0.0304444444444444	0.0215555555555556	0.0102222222222222	0.103111111111111	0.00711111111111111	0.0151111111111111
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales"	0.00644444444444444	0.00733333333333333	0.0833333333333333	0.197333333333333	0.226666666666667	0.0371111111111111	0.048	0.00333333333333333	0.00666666666666667	0	0.145333333333333	0.00266666666666667	0	0.000222222222222222	0.000444444444444444	0	0.00577777777777778	0.000888888888888889	0	0.00466666666666667	0.00355555555555556	0.0133333333333333	0	0.000444444444444444	0	0.024	0.204444444444444	0	0.00266666666666667	0.00155555555555556	0	0.000222222222222222	0.0131111111111111	0.00377777777777778	0.00444444444444444	0.002	0	0	0	0	0.00622222222222222	0.00288888888888889	0	0.00688888888888889	0.000666666666666667	0.000777777777777778	0	0.0135555555555556	0	0	0.0371111111111111	0.0153333333333333	0.109111111111111	0.000222222222222222	0.0284444444444444	0	0.0235555555555556	0	0.000444444444444444	0	0.0155555555555556	0.00133333333333333	0.00377777777777778	0.0142222222222222	0.018	0.0288888888888889	0.000888888888888889	0.00755555555555556	0	0	0.000666666666666667	0.0117777777777778	0.00155555555555556	0.000222222222222222	0	0.004	0.000222222222222222	0.00133333333333333	0.00911111111111111	0	0	0	0.00555555555555556	0.00133333333333333	0.00288888888888889	0.00422222222222222	0	0	0	0	0.00933333333333333	0.0117777777777778	0.00555555555555556	0.00244444444444444	0.000444444444444444	0	0.00866666666666667	0.000222222222222222	0.00177777777777778	0.00488888888888889	0.00488888888888889	0.00266666666666667	0.000666666666666667	0.000888888888888889	0.0135555555555556	0.00644444444444444	0.0175555555555556	0.02	0	0	0.018
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales"	0.0142222222222222	0.0142222222222222	0.0253333333333333	0.0264444444444444	0.0164444444444444	0.0135555555555556	0.0153333333333333	0.0675555555555555	0.05	0.000444444444444444	0.00733333333333333	0.0146666666666667	0.00955555555555555	0.000888888888888889	0.00133333333333333	0.0157777777777778	0.0273333333333333	0.00977777777777778	0.0204444444444444	0.0166666666666667	0.008	0.00622222222222222	0.002	0.00711111111111111	0.018	0.0148888888888889	0.00488888888888889	0.00666666666666667	0.0175555555555556	0.00577777777777778	0.000666666666666667	0.002	0.00622222222222222	0.0233333333333333	0.0215555555555556	0.00866666666666667	0.00644444444444444	0.00866666666666667	0.00666666666666667	0.00177777777777778	0.0333333333333333	0.00444444444444444	0.00311111111111111	0.0671111111111111	0.00511111111111111	0.00233333333333333	0.00466666666666667	0.024	0.00311111111111111	0.00466666666666667	0.000444444444444444	0.0142222222222222	0.0162222222222222	0.00311111111111111	0.014	0.00133333333333333	0.000666666666666667	0.00244444444444444	0.00577777777777778	0.00533333333333333	0.0231111111111111	0.0193333333333333	0.00466666666666667	0.00288888888888889	0.0104444444444444	0.00111111111111111	0.00777777777777778	0.0113333333333333	0.00911111111111111	0.00377777777777778	0.0355555555555556	0.0191111111111111	0.0133333333333333	0.000888888888888889	0.0126666666666667	0.0162222222222222	0.012	0.00377777777777778	0.01	0.000222222222222222	0.00555555555555556	0.006	0.00111111111111111	0.00511111111111111	0.000666666666666667	0.012	0.00155555555555556	0.00666666666666667	0.0113333333333333	0.00466666666666667	0.024	0.0262222222222222	0.000666666666666667	0.00333333333333333	0.0324444444444444	0.004	0.0113333333333333	0.00266666666666667	0.00333333333333333	0.0275555555555556	0.0124444444444444	0.0315555555555556	0.0213333333333333	0.00666666666666667	0.00733333333333333	0.0155555555555556	0.0223333333333333	0.00666666666666667	0.00111111111111111	0.00177777777777778	0.0166666666666667
