"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage","PD"
"jarjarbinks_15",97,106.1,6.48409355841428,105.170005633803,4.9939039346056,3.06732636113637,0.898510699192678,9.85325538795958,17.9224129460311,0.670496207421578,0.996499124781195,9.16309303
"kubo_15",107,138.071428571429,15.1072297739489,149.934284105836,6.59070907384249,2.9976691484164,0.88105125,8.4069819985498,20.2170441119628,0.641510582692163,0.9925,9.343590427
"iris_17",97,172.6,42.8392002288284,123.574902576203,5.77670916727677,2.89972750582377,0.884015827662842,8.62186606887249,17.9224129460311,0.633860263402347,0.992998249562391,8.901845246
"kubo_17",106,143.8,19.4411677820235,134.941201766724,5.88359045013788,3.1087056858509,0.898275956836171,9.83051763278298,19.985818652263,0.666612262563023,0.992998249562391,9.478217387
"lambchop_17",26,31.25,5.36182979494874,35.3962305500767,3.05874170889401,1.6360256489836,0.737998836010651,3.81677693630648,3.72591090494994,0.502141551022639,0.998247371056585,4.259633011
"wolverine_17",64,68.0909090909091,3.59480988631594,69.4473485300553,3.96827216437545,2.20169657157071,0.747937,3.96726215271579,10.8191679877358,0.529396120891216,0.9975,6.293245291
"hamlet_18",91,122.909090909091,16.5111718544573,119.130319148936,5.50340991207151,2.61928945834333,0.84271813245292,6.35801199207317,16.5765003701473,0.580663054249249,0.993246623311656,8.486611241
"hera_18",91,120.545454545455,15.5334410784328,120.518963675214,5.64652984057601,2.89707528569435,0.893863139673889,9.42179745026797,16.5765003701473,0.642244627993609,0.993496748374187,8.389284079
"iris_18",113,261.75,83.033443615364,157.134058012439,6.45330023314557,3.14928192603997,0.910150964486813,11.1297800169845,21.6280085436448,0.666178034637696,0.991243432574431,10.324460372
"jarjarbinks_18",85,130.111111111111,23.1639453801719,128.711253200402,6.19129354072463,2.76686179531627,0.885529548567587,8.73587888827737,15.254979451741,0.622795181430038,0.992742742742743,8.04035679
"kubo_18",114,200.666666666667,39.9787272136704,161.968479723237,6.35423933294998,2.96524980733846,0.889210531853174,9.02612871716952,21.8660016889252,0.626082255557437,0.98998998998999,10.354026977
"lambchop_18",37,49,10.7532624380336,46.8655911765916,3.33536802100671,2.35274083367497,0.872174081037517,7.82313953317639,5.63515406653412,0.651563090214944,0.997748874437219,3.632169906
"wolverine_18",84,109,13.0130231294622,116.248169378889,5.69151467847395,2.36702569995451,0.792806375,4.82640332201341,15.0335120506555,0.534218815043861,0.9935,8.387487748
"ophelia_19",92,115.1,13.1422552834629,111.965469745183,5.38261355207987,2.75313364236712,0.861067980173338,7.19776478631525,16.7984229797348,0.608859435919014,0.994498624656164,8.70759351
"wolverine_19",101,116.3,9.5625481436247,113.318457320826,5.23431415863074,2.99195898127947,0.878323436210156,8.21850953752418,18.8374722915934,0.648294875585885,0.99549436795995,9.256516027
"goose_20",72,81.5454545454545,6.56584199387946,85.1291015391958,4.73402446592463,2.85345157417842,0.90432625,10.4521877735534,12.4700630129873,0.667214015489927,0.99625,7.596339744
"hamlet_20",86,101.4,8.67893148241928,110.688583665442,5.4488490689957,2.63649745960566,0.856949796338807,6.99055278780622,15.4713259073398,0.591893106723669,0.994498624656164,8.451692983
"hera_20",96,111.8125,8.71322757555783,120.204519982264,5.78749280652063,2.82465531301073,0.858174658693431,7.0509260953471,17.6963200937584,0.618851847957365,0.994248562140535,8.570702559
"iris_20",101,159.666666666667,28.7833726493875,144.78847206728,6.02322573266837,2.72420109424617,0.836900816591387,6.13123854516609,18.8342495818386,0.590277346887292,0.991745872936468,9.377502563
"korra_20",115,145,13.177930284643,153.788429790968,6.17842505189421,3.23502383398236,0.931235356561831,14.5423570893545,22.1111765280767,0.681785059610172,0.990977443609023,8.854409672
"ophelia_20",104,160.1,26.843623693149,147.817607590681,6.34486652138199,2.79808694471182,0.864661583505427,7.38888503280295,19.5262535802859,0.60246585730523,0.991491491491492,9.855775824
"hamlet_21",99,128.25,15.0392282187839,129.385650989599,5.99526741875377,2.85064963980226,0.875180152940575,8.01154642918215,18.378605338374,0.620364589558804,0.993244933700275,9.275622095
"jarjarbinks_21",73,103,17.8881589170947,99.9035493827161,5.19705303677952,2.95824219507976,0.921069977421837,12.6694503224007,12.6804306668383,0.689493103397792,0.994748687171793,6.683049112
"korra_21",84,102.4,9.91627506229588,117.175243140506,6.00997903986002,3.06027063894642,0.925753772333891,13.4686977565658,15.0351437106354,0.690678666684057,0.99399699849925,8.008792431
"kubo_21",103,125.555555555556,11.0416042851303,144.715941077125,6.45447027565231,3.02383044759659,0.892356138644581,9.28989342641843,19.2989956407772,0.652428751557192,0.992737290257951,9.245318229
"goose_22",83,91,5.24858136765221,98.1574863849029,5.00184518018191,3.05902242416693,0.927495314688887,13.7922121268311,14.8168502742936,0.692268107333311,0.995748937234309,7.429590322
"hamlet_22",86,120.363636363636,17.5155567025321,120.033091161578,5.606828350731,2.14227503579125,0.695829371196262,3.28762840755817,15.4713259073398,0.480940279980658,0.992998249562391,8.079121981
"hera_22",76,109.833333333333,16.8732240399801,124.572761858206,6.74946004816314,2.17358794732175,0.813563981142823,5.36377040300387,13.3139229891602,0.50189835682149,0.992748187046762,7.432004161
"iris_22",96,123,13.5394987798989,126.408030037298,5.80531826772343,2.52031525168343,0.809481403325247,5.24883143931176,17.6993058006976,0.55217418697256,0.992992992992993,8.821060456
"korra_22",85,103.4,9.91629462212988,112.226463104326,5.45088978834494,2.97343583573086,0.920036662473087,12.505731137891,15.2541484756492,0.66929310091287,0.993995496622467,7.993088173
"kubo_22",106,145.375,17.5314689428668,153.992637856144,6.54931035789056,2.78581612485028,0.876852828804781,8.12036517196768,19.989283009641,0.597373755426028,0.990990990990991,10.054332846
"hamlet_23",90,133.5,21.7858016075928,142.905859198819,6.74454518676135,2.77957602150956,0.873110424512154,7.88086803943786,16.3552073648591,0.617709686664493,0.992494370778084,9.141775334
"iris_23",94,149.111111111111,27.3251938295732,142.466181061394,6.70781168502897,2.7509330156743,0.885236732152567,8.71358945032313,17.2479995469713,0.605492962158142,0.991993995496622,8.573170912
"korra_23",91,196.857142857143,51.5374505559981,187.83098849167,8.07125261697646,3.04433704317869,0.926500192189833,13.6054777528503,16.5755817076905,0.674890680762841,0.990247561890473,8.399492578
"goose_24",97,124,13.8158904690282,127.223836734694,6.02467391767405,2.92145468367707,0.895969450192473,9.61256094339748,17.924434100567,0.638609673355326,0.993244933700275,8.730738351
"hera_24",97,179,36.8656419808365,181.534016836213,7.72480555863343,2.81427588458019,0.887630384715459,8.89920284471749,17.9224129460311,0.615181133366568,0.989747436859215,9.431884219
"kubo_24",124,234.5,44.7261959327187,211.358024691358,8.53941759344358,3.19480825451971,0.931897390451639,14.6837251411031,24.2616229777265,0.662784572029186,0.986996749187297,10.173207831
"ophelia_24",115,174.5,28.1845743133786,156.537892665717,6.11995054215373,3.15021510925704,0.910928459891211,11.2269306085718,22.1072483511537,0.66391152160562,0.991234660656148,10.256808277
"wolverine_24",79,108.545454545455,15.5329994589401,110.008863399374,5.28882587863874,2.00583473945466,0.659392227379322,2.93592830341445,13.9545814986008,0.459059086452343,0.993496748374187,8.17683612
