"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage","PD"
"hera_1",90,132.272727272727,20.690028606156,133.795755789474,6.14275572819317,2.60449245459207,0.84283125,6.36258798266195,16.3524962432093,0.578800581670138,0.99225,8.479694692
"wolverine_1",89,101.214285714286,7.43390795525992,109.165488383823,5.65568476752386,2.64036610240912,0.82344,5.66379700951518,16.1309912789083,0.588233459991032,0.99525,8.454706568
"buddy_11",104,137.055555555556,14.7954663791098,154.672249326839,7.07806686568154,2.87184216404245,0.899219744940004,9.92257857855869,19.5240089121589,0.618346350771935,0.991245622811406,9.234044932
"hamlet_11",92,407,190.775748887631,147.995902261074,6.60089036103956,2.44609784763549,0.822626671014347,5.63782619246484,16.7993566926467,0.540958031530044,0.990995497748874,8.507717543
"hera_11",118,170.928571428571,23.0980272557965,166.155069446648,6.59873155116091,2.9206409939466,0.857905327750173,7.03756153673253,22.8188880043669,0.612205841268269,0.99024024024024,9.019230505
"jarjarbinks_11",96,106.5,7.20621797233394,105.09038745862,4.96410665147002,3.10861386242305,0.912356371163308,11.4098424868204,17.6963200937584,0.681064137094975,0.996249062265566,8.812188035
"joans_11",94,123,14.3136986359611,126.446653843822,5.58570981576042,2.7731378629223,0.888567703834169,8.97405899732894,17.2508950812757,0.610380350785148,0.992739108662995,8.726048955
"padme_11",103,141.153846153846,18.1459917047731,139.534023183881,5.94711581657617,2.74624488404659,0.863771078052823,7.34058513938581,19.2967808612701,0.592536239124437,0.991989987484355,8.743953483
"ginger_14",78,108,16.1522523082581,112.53074213597,5.85547938473527,2.46753338787885,0.826742069363302,5.77174156660619,13.7398252531869,0.56637555687966,0.993748437109277,6.84245947
"hera_14",102,176.375,36.463246913385,145.980252396785,6.36283401023551,2.60268063211488,0.823962756766077,5.68061611071228,19.0635412206355,0.562745066228112,0.991245622811406,8.939118246
"iris_14",106,135.545454545455,15.5338831296368,130.685684148299,5.69110171204315,3.10029181622313,0.90694596923274,10.746444745646,19.9869730025589,0.664808042660506,0.993496748374187,9.428798904
"jarjarbinks_14",117,250.2,70.2851995863659,160.044424778761,6.34358273397926,3.27046232074037,0.921048818556352,12.6660549179211,22.5770869926593,0.686758267446454,0.990745372686343,9.911226643
"kubo_14",112,145.157894736842,14.6151932255211,155.133736043221,6.46978628085664,2.8126314683752,0.8881265,8.93866733408716,21.3881457252983,0.596086074214364,0.991,9.972200133
"wolverine_14",143,176.913043478261,14.1311471233668,189.668763901566,7.541230409086,3.22788861471041,0.89661974973633,9.67302746365498,28.9947959099875,0.650410974993865,0.989977449260837,11.185730562
"jarjarbinks_15",98,108.5,7.20625688196361,107.105771028037,5.04231305596429,3.06888301070351,0.898561375,9.8581777897719,18.148122025701,0.669335829529884,0.99625,9.167314159
