"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage","PD"
"wolverine_1",88,93.6875,4.18843117287874,96.6720964836714,4.70245651439687,2.63914418516994,0.823316345679012,5.65983312855452,15.5099088986363,0.589445086337,0.996888888888889,8.330686373
"hamlet_11",88,105.5,10.1058868708826,107.66103413966,5.28113126748095,2.44840712883898,0.822894320987654,5.64634632597124,15.5099088986363,0.546844526174947,0.995333333333333,8.462119195
"joans_11",99,139.071428571429,18.4696982060165,144.073261502753,6.16943326226834,2.77132290853113,0.888418862515352,8.96208823948928,17.9067921906556,0.603101333352592,0.992429303050546,9.224333812
"ginger_14",77,85,5.39010955786166,90.8493497942387,4.83457004190866,2.46903837068668,0.826788191619575,5.77327844648847,13.1979112116059,0.568404458971608,0.996442863494887,6.82534119
"kubo_14",112,136.473684210526,11.5840112716511,145.44608446281,6.26836373299096,2.81358169593069,0.888178074074074,8.94278999149441,20.8148212910284,0.596287457658847,0.993111111111111,9.972200133
"wolverine_14",152,203.130434782609,19.4341095535878,214.177851945438,7.71238797149422,3.23024390094522,0.896514600622021,9.66319892478272,30.3854922084598,0.642977850994172,0.989086859688196,11.56004307
"kubo_15",107,132.071428571429,12.7845131362433,141.818463636364,6.32465136815568,2.99889646606083,0.881102419753086,8.41060009735529,19.6817701932591,0.641773232510487,0.994,9.343590427
"ivy_17",106,132.105263157895,12.1656737198153,144.040690391859,6.319170055641,2.92572370168194,0.899507684538933,9.95100964100505,19.4597788669004,0.62737469979524,0.992884144985546,9.349724389
"kubo_17",117,222.857142857143,51.5392944544788,169.450723536892,6.93018108719043,3.11763966135875,0.898357572487629,9.83841122722388,21.9642232022301,0.654667322958911,0.991329479768786,9.908375323
"wolverine_17",76,84.5,5.54969730370242,88.9395140272333,4.67573058672444,2.21051459147713,0.747827451991409,3.96553870711547,12.9915129480402,0.51042500606398,0.996220542463317,7.318863272
"ginger_18",80,105,13.2988766084816,117.368151681423,5.86459316959041,2.70872792985553,0.87657583728043,8.10214124986272,13.8223624035749,0.618145017289956,0.994439501779359,7.511727563
"hamlet_18",95,188,51.2625132622021,129.412449908047,5.77163695735985,2.62131204102945,0.842737377869241,6.35879007008119,17.0233210881243,0.575622069596208,0.993108048021343,8.926871495
"ivy_18",121,204.25,40.1334685984438,163.170163026148,6.41842692457327,3.42092905346574,0.942135926890438,17.2818805566376,22.9098119230213,0.71331911202975,0.991746598260094,9.950108102
"kubo_18",115,217.5,47.9720689209015,168.030032949819,6.65767175658877,2.9622390691832,0.889293576440578,9.03289951791504,21.5047164035232,0.624295351133929,0.990882810762731,10.428128372
"wolverine_18",88,150.142857142857,32.665051049165,127.827796550016,5.90697235073518,2.36999455689582,0.792785086419753,4.82590747317391,15.5099088986363,0.529331309012101,0.993333333333333,8.638311704
"ivy_19",130,165.769230769231,17.2383478958449,157.780951146501,6.33875851704988,3.34295489118485,0.91562306017798,11.8515793783153,25.0366464857369,0.686786077265866,0.993078812234874,10.226015819
"ophelia_19",96,119.1,13.1423843696095,113.629724111867,5.3209953651489,2.7554036175322,0.860982332743707,7.19333031359529,17.2417564227936,0.603679540198727,0.995108937305469,8.892176132
"wolverine_19",106,121.3,9.56265757350412,117.978501566602,5.33655832301285,2.99834107362984,0.8784517674892,8.22718668419261,19.4597788669004,0.642946334908815,0.99599733155437,9.658771013
"ginger_2",67,122.2,32.7323726602162,103.329408201128,5.36742663405437,2.17125774766338,0.810781868172822,5.28490578753492,11.1645895305442,0.516389173765069,0.99466429524233,6.80162986
"ginger_20",100,123.882352941176,11.7014810738237,133.091351033124,6.10235122449987,2.61731129414783,0.830790873025924,5.90984669611355,18.1232699310239,0.568341926235732,0.993549822064057,8.785035959
"hamlet_20",86,99.9090909090909,8.68401926368574,102.631596701316,5.17938390778473,2.63695891740598,0.856865231121722,6.98642271082576,15.0842715769575,0.591996703899556,0.995999110913536,8.451692983
"korra_20",117,171.076923076923,24.0360980870531,158.0160864165,6.236837542601,3.23748442661477,0.93133662377124,14.5638046790531,21.9709608690169,0.679833301122855,0.991540516473731,8.989050453
"ophelia_20",104,216.2,60.4118037304983,145.778128078818,6.28311675297994,2.79570547275486,0.864589302788718,7.38494092855676,19.0125857450468,0.601953094273721,0.992437722419929,9.855775824
"hamlet_21",110,168.583333333333,26.2982191977752,163.780460506643,6.90464458239303,2.86035087362261,0.875469943408431,8.0301898784145,20.3609150573188,0.608523097860106,0.991553678595243,9.85874216
"joans_21",84,122.75,18.8028812491363,127.882270287032,6.35440240466521,2.20383852435965,0.803217713875501,5.08175821967699,14.6611157949917,0.497388771509347,0.993108048021343,8.411943666
"korra_21",85,118.333333333333,18.1139692841751,115.595567491319,5.49052866188611,3.05986605494488,0.925770815386057,13.4717901752644,14.8720326230203,0.688747749550381,0.994443209602134,8.082893826
"kubo_21",105,113.555555555556,5.01113548950315,128.944404350583,5.83308288440951,3.02661842131027,0.892419779802333,9.29538904235939,19.2382863233695,0.650331802076447,0.995104583889631,9.295323598
"hamlet_22",96,159.909090909091,29.0299407424456,158.440437498295,6.72951729862849,2.14656774818631,0.695604548120888,3.28520020199626,17.2417564227936,0.470290095790435,0.991551800800356,8.726563483
"henry_22",86,133.25,24.9370404671955,132.128943758573,6.4271125871962,2.95062289810404,0.890025251221518,9.09299644788699,15.0842715769575,0.662414199401507,0.99377639475439,8.543599969
"joans_22",110,245.142857142857,63.7856452438717,193.320710189983,7.53544754401343,3.08235617365122,0.914859570705791,11.745301360232,20.3639834703717,0.655753440878715,0.990213523131673,9.59031572
"kubo_22",108,178.3,32.3885141483533,159.506250721408,6.76793695997049,2.7864950481066,0.876949114877597,8.12671927556851,19.9092282111746,0.595133906534712,0.991551800800356,10.067826201
"marshmallow_22",72,135,34.6586855722589,118.847112672437,5.8350290453791,2.48405799405375,0.865481801023576,7.4339383637991,12.1721101843299,0.580839823573896,0.99377639475439,7.7216124
"hamlet_23",97,163.6,30.9562632491727,173.555285360851,7.49070906792214,2.7820386226712,0.873136831418114,7.88250846308109,17.4616424267183,0.60813429214305,0.991772292639537,9.416253046
"korra_23",85,110,13.2990355511559,119.99911000356,6.08711290609467,3.03944064680704,0.92637974892856,13.5832190932032,14.8734295321787,0.684150177749534,0.994440738269958,7.646775848
"ginger_24",59,87.5,17.9300315600958,88.0911364545818,4.9309041310548,2.23164169041002,0.814162896390351,5.38105674580736,9.58856335568451,0.547301335943691,0.995776839297622,6.557150819
"henry_24",88,111,12.4649408241576,115.734910002217,5.81181727245593,3.06891615576195,0.918865975308642,12.3252852770968,15.5099088986363,0.685433391081525,0.994666666666667,8.434609498
"ivy_24",155,170.789473684211,8.35319680595248,173.929949304999,6.57191123113673,3.39106951128819,0.923970792847412,13.1528400393949,26.6094264021375,0.672374315603918,0.997217584863662,11.189019863
"kubo_24",124,256.6,55.6168870125476,208.492307692308,8.13941420467516,3.19160817154415,0.931876047039373,14.679124691692,23.5924767635406,0.662120693180615,0.988441875972438,10.173207831
