"","Shannon","Simpson","InvSimpson","Pielou","Coverage"
"jarjarbinks_29",3.22708896363785,0.956558696980941,23.0195673357509,0.816727388508558,1
"korra_29",3.26161407172089,0.958514800480184,24.1049822966945,0.851898554592192,1
"kubo_30",3.38073850269337,0.959790143149137,24.869524000271,0.765073647763714,1
"hamlet_31",3.25280179251673,0.956127829390869,22.7934926883212,0.746619047063639,1
"jarjarbinks_32",3.47394240744367,0.963842599558729,27.6568555204695,0.706088592581066,1
"goose_37",3.34251773998777,0.958977940158925,24.3771279129849,0.725818505070209,1
"hera_37",3.38254902145462,0.960239304050584,25.1504652049405,0.769732201329054,1
"kubo_37",3.28158642641088,0.956167589541624,22.8141685465741,0.692873506498296,1
"lambchop_37",3.41997781845823,0.962246413671423,26.4875498527952,0.799683146470427,1
"ophelia_37",3.31323402268197,0.943828862200059,17.802737120291,0.700859364566463,0.997603240418954
"wolverine_37",3.26402850948921,0.956001293188896,22.7279407163764,0.697124525382854,1
"hamlet_41",3.29310087263831,0.957086720734864,23.3028101586359,0.7150877686688,0.998185578981747
"hera_41",3.22514599439035,0.955444484390642,22.4439103963589,0.718513537014988,1
"goose_42",3.27910910665745,0.956879128682561,23.1906260112045,0.759494646059752,0.99101688825009
"lambchop_42",3.3793465576719,0.959238999398976,24.5332544651732,0.733815781217828,1
"buddy_57",3.29220038109227,0.957112374124276,23.3167488192916,0.728074814864695,1
"joans_57",3.18249104324652,0.951185068500773,20.4855352509474,0.856989170017884,1
"ginger_58",3.21357890213586,0.95529991319849,22.371321211086,0.751421507479106,1
"henry_59",3.18530371140086,0.954389906154876,21.9249713319083,0.72690195130179,1
"joans_60",3.19669186880455,0.955245483127751,22.3441133965201,0.733740076734375,1
"marshmallow_60",3.2895637148609,0.951946214676912,20.8100151377574,0.705394377084116,1
"joans_62",3.12551687313183,0.952940793292477,21.249826972543,0.68168790458642,1
"henry_66",3.60340318669452,0.968666718928242,31.9149468486834,0.804809496360051,1
"ivy_67",3.43843924217752,0.96134690964276,25.8711526234458,0.707525096872367,1
"franc_68",3.28127299562136,0.957358824609381,23.4515111471341,0.700807567419833,1
"grogu_70",3.48392220688039,0.961406646514438,25.9111973872421,0.726454204735682,1
