"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage","PD"
"hera_1",90,117,13.815720993256,123.250386518119,5.91183599164821,2.60405379816629,0.842869827160494,6.36415006697286,15.938759669697,0.578703098341304,0.994,8.479694692
"buddy_11",104,146.5,19.3577262196177,155.558550724638,7.11155137421785,2.86751941271063,0.899159272605917,9.91662819023532,19.0107040636758,0.617415604108767,0.992218763895064,9.234044932
"hera_11",117,139.894736842105,11.0146309913688,146.363859390779,6.07186762683266,2.92140998343547,0.85784016599831,7.03433573218797,21.9675903437178,0.613461419812576,0.993325917686318,9.00730832
"jarjarbinks_11",112,141.076923076923,14.6399502473734,138.108210278168,5.73895191631113,3.11789279273755,0.912284444092497,11.4004863750109,20.8200751678352,0.660780658803416,0.99377085650723,9.819650998
"padme_11",109,179.3,32.3885526562685,158.511499136537,6.63489496502635,2.74706581567759,0.863646581753334,7.33388288213632,20.1413560519966,0.585560031922487,0.991540516473731,8.959631494
"hera_14",111,229.25,54.2883844189779,178.548781873713,6.82153247718505,2.60745681459607,0.824024748116894,5.68261723906647,20.58914634173,0.553655397277097,0.990217874610938,9.634361492
"iris_14",107,146,20.5687259835041,133.575948602726,5.83548914273413,3.10165354295609,0.907092292520513,10.7633696614545,19.6827509502626,0.663763568672051,0.993998666370305,9.838201607
"jarjarbinks_14",115,129.882352941176,8.21070740488409,134.161655203774,5.72748517434597,3.26738865059961,0.920913785761325,12.6444287367466,21.5058100586432,0.688605982595305,0.994884341637011,9.806141022
"jarjarbinks_15",113,140,13.8162141965618,137.404974927294,5.81143864885239,3.07645644360857,0.898518217541218,9.85398537324822,21.0463266765269,0.650773019177966,0.993995997331554,10.130610218
"buddy_16",88,103.4,8.67896552321712,113.101753219776,5.68840223616375,2.65647326943362,0.846278080509764,6.50525314357344,15.5180014626117,0.593315486305045,0.995099131209624,7.714514953
"buddy_17",103,275.2,88.3436985552371,173.285435482197,6.98232580075032,3.03042420335888,0.916150017136826,11.9260608750725,18.7903052666719,0.65385143577002,0.990656284760845,9.383029176
"iris_17",106,142.25,17.827047780291,140.783961305981,6.27913823800784,2.90654421445471,0.883963311295564,8.61796394886072,19.4597788669004,0.623261965214563,0.993328885923949,9.581084948
"lambchop_17",29,40.25,9.53816983556656,48.0379535990482,3.89581327175433,1.63738778063126,0.738018023337636,3.81705647365496,4.14990997066558,0.486261933403648,0.997774315602048,4.430814781
"padme_17",53,95.1666666666667,24.7328082964959,97.8647059785453,5.41503747045199,1.44559225918136,0.553403802343747,2.23915923433299,8.44357284089198,0.364102260150445,0.994871794871795,5.443453784
"buddy_18",46,77.6666666666667,19.5338278712591,83.8352229780801,4.853754140521,1.34984008275527,0.579851494898707,2.38011081286344,7.13416112131851,0.352563727695439,0.995552590615966,5.739397154
"hera_18",92,142.142857142857,27.2835045346751,122.666509525977,5.6571679068237,2.8989569469717,0.893953120203887,9.42979182341445,16.3708727735009,0.641108467938052,0.993998666370305,8.429250384
"iris_18",113,142.25,15.0395520121244,140.641662669782,6.05098943390336,3.1470187414218,0.910039055018964,11.1159348116096,21.0463266765269,0.665699295700895,0.993995997331554,10.519486805
"jarjarbinks_18",88,158.857142857143,36.5057775485769,139.569107569108,6.37693624384958,2.76857154904557,0.88572052340692,8.75047759940963,15.510643386956,0.618352307133325,0.992887308290731,8.381342178
"lambchop_18",42,72.3333333333333,22.7191876933669,65.7822222222222,4.35512103852506,2.35502227977608,0.872143665068831,7.82127847273543,6.40741607715541,0.630077700890452,0.996886120996441,3.877525862
"franc_19",83,85.8125,2.60741212243652,88.4356858966639,4.55235558376708,2.89455342208502,0.903000296296296,10.3093098413435,14.4487911780925,0.655048162854726,0.997777777777778,8.479678656
"hera_2",111,150.176470588235,17.1649671850191,153.516212410282,6.59325867898218,2.63296297361847,0.870980498437389,7.75076626315068,20.5943335585824,0.559071257868733,0.991764967727576,10.093554117
"jarjarbinks_2",138,169.166666666667,14.137106899161,172.083992605281,6.7214246005157,3.69198181091989,0.959732218560913,24.8337495700549,26.981110183792,0.749298097242601,0.992383512544803,10.955187012
"lambchop_2",65,78.9090909090909,8.6833540158817,81.5014913802817,4.42141691368974,1.68770425085049,0.633230796118862,2.72651026699635,10.7663071159299,0.404299874863475,0.995998221431747,6.703729036
"goose_20",81,106.090909090909,13.658336743454,109.821428571429,5.59484199442929,2.85646661963893,0.904287885762172,10.4479982284705,14.0294691178776,0.65001699168638,0.994665481218048,8.206145479
"hera_20",101,126.2,12.6004204112915,135.382722250126,6.44272429351379,2.82441948974432,0.858267358024691,7.05553770862615,18.3411150909351,0.611992575153259,0.993777777777778,8.905062411
"iris_20",104,150.5,23.0048817583922,141.755892218585,6.19710646457051,2.72782134067334,0.836935777592768,6.13255308391703,19.0107040636758,0.587336725075755,0.993108048021343,9.400876147
"buddy_21",91,202,56.4730095218543,158.991262235444,6.63705111515265,2.77144939193901,0.900671712839257,10.0676255333155,16.1595221031627,0.614394970168123,0.991764967727576,9.153615824
"jarjarbinks_21",80,134,29.0258479238811,127.736909410688,5.78066329955861,2.96248608660328,0.92115207148105,12.6826413678028,13.8204440587633,0.676053874972339,0.99377639475439,7.016688816
"franc_22",122,140,8.98293743076293,145.544520334723,5.97521369802791,3.13863381579507,0.917107713776421,12.0638487072582,23.1277894546634,0.653334734916704,0.993772241992883,10.051793173
"goose_22",99,130.058823529412,14.318336707183,147.009234134828,6.59339798087276,3.06933543575301,0.927554521636553,13.8034839798168,17.8997918941598,0.66795546924921,0.992665036674817,8.636464723
"grogu_22",57,99.1666666666667,24.7334937953207,95.2811991074605,5.66997400825614,0.974066501736546,0.358681185185185,1.55928685842276,9.20174474667394,0.240923608732336,0.994888888888889,6.193463082
"hera_22",88,156.333333333333,29.8612138227354,181.317294244036,8.98312265197857,2.18265287667202,0.813763358024691,5.36951262326015,15.5099088986363,0.487489096110448,0.990888888888889,8.509817919
"iris_22",101,149,22.9401536988698,142.292585100446,6.3544463573511,2.5223621852823,0.809467248865072,5.24844150962707,18.3456182804456,0.546543080744658,0.99265850945495,9.301097384
"iris_23",94,149.111111111111,27.3251938295732,142.238155315078,6.69855708872707,2.74525945428025,0.885070960508399,8.7010211207158,16.8063007111972,0.604244185297748,0.992884144985546,8.573170912
"franc_24",124,155.058823529412,14.3186755048111,154.27297720055,6.31770763745005,3.24256521095326,0.924817116994466,13.3008998860337,23.5961512937882,0.67269207551909,0.992660142348754,10.521683328
