"","hera_1","wolverine_1","buddy_11","hamlet_11","hera_11","jarjarbinks_11","joans_11","padme_11","ginger_14","hera_14","iris_14","jarjarbinks_14","kubo_14","wolverine_14","ginger_2","hera_2","jarjarbinks_2","lambchop_2","jarjarbinks_3","goose_4","padme_5","korra_6","padme_6","ginger_7","hera_7","iris_7","padme_7","charles_9","franc_9","grogu_9","henry_9","ivy_9","korra_9"
"hera_1",0,0.0998404958199149,0.175817827909719,0.263784269685304,0.188763276262104,0.248297787330644,0.194222042215256,0.250161915274359,0.146742486992749,0.0988863070756258,0.283983160255327,0.208681460999762,0.419893715937247,0.139868981757159,0.539822826721163,0.437179785054117,0.43460579701901,0.451453713861704,0.147927753608302,0.651720196178158,0.34507369087279,0.207706966396944,0.351007842807705,0.434814469054357,0.0869245054189644,0.159932560012505,0.400596197910839,0.351587029955419,0.513603624324,0.148981272773498,0.306607059933244,0.293114057432137,0.23803336112613
"wolverine_1",0.0998404958199149,0,0.233289223680645,0.258512124670892,0.150441642332799,0.232993431617787,0.241674190547196,0.216703194667174,0.120836822150108,0.0780586673961316,0.311865496079858,0.244065106007092,0.394166963187671,0.12045102741944,0.535192213490585,0.499201865254657,0.457529851427308,0.494403102535927,0.14894629977106,0.640564614579539,0.387221021804216,0.219318694675167,0.412909548062208,0.443689879047415,0.0831019272161647,0.159361736142043,0.431174282579366,0.333740440213213,0.511920492533531,0.196424802668011,0.353005293685634,0.331236344175756,0.287333936908543
"buddy_11",0.175817827909719,0.233289223680645,0,0.299412472299934,0.24738938971054,0.200690098218204,0.084758582345553,0.244887681505164,0.288365520506844,0.214120238328523,0.29258942862421,0.268826025263248,0.276189209205082,0.248236576035239,0.390757098200864,0.388111208728335,0.412088579926006,0.373374126344884,0.231335421526508,0.49614133964452,0.205361983714836,0.170639252911338,0.210539314783302,0.289959764266056,0.226823722359686,0.24714402589631,0.26989389672749,0.216235510448232,0.366230165517459,0.170524684267784,0.174361196843585,0.182543172889206,0.232225823383236
"hamlet_11",0.263784269685304,0.258512124670892,0.299412472299934,0,0.250116536353843,0.153325469252511,0.291098565089382,0.175366580160651,0.309583503146251,0.230725042395345,0.302192687061049,0.28526560801601,0.390059351651282,0.263126840719081,0.525917999440006,0.46666988436939,0.441637642834403,0.459974909990455,0.321796629411494,0.62665592504589,0.390081893247492,0.281421035226249,0.40472399439589,0.455320196570625,0.276657319642316,0.318887934349287,0.412476869173873,0.349239358705428,0.511294728849399,0.299433895583934,0.286206399342902,0.34271372516483,0.329478390522092
"hera_11",0.188763276262104,0.150441642332799,0.24738938971054,0.250116536353843,0,0.20878264178729,0.242388627341559,0.1328633959283,0.154532375454499,0.114808141427583,0.358053609058282,0.284864399376868,0.344355766406721,0.177735808543466,0.489721056233327,0.522043810993948,0.49861316964454,0.506011910400586,0.210236474964329,0.594691222843571,0.394783954717044,0.243898883561343,0.410917714847223,0.407999398438444,0.177892608620337,0.242893620561623,0.416310839734951,0.282440306685606,0.466603211835761,0.265113193907698,0.316408647023441,0.343787821272993,0.332228365610627
"jarjarbinks_11",0.248297787330644,0.232993431617787,0.200690098218204,0.153325469252511,0.20878264178729,0,0.21548309950575,0.132555081008424,0.311910214633434,0.212927608626666,0.285280367236293,0.23329568897288,0.30027254675853,0.249782674064453,0.452127998931589,0.445623866367094,0.403998357074898,0.419203621106709,0.28498777602357,0.554998322710751,0.295538792189323,0.179107957682422,0.313448132196492,0.379349788785313,0.266797256032115,0.284295435940991,0.319737569936673,0.269712583514225,0.438090727122021,0.234075134982232,0.207865004488507,0.24424059932952,0.286767026314239
"joans_11",0.194222042215256,0.241674190547196,0.084758582345553,0.291098565089382,0.242388627341559,0.21548309950575,0,0.240302005727601,0.27958588616553,0.218360556269672,0.302976478511321,0.290021720592634,0.288413204102946,0.249926680817203,0.369309432620429,0.402399938026038,0.421856247396997,0.33570886906857,0.248829140825278,0.505530095194791,0.228077661508975,0.13918520078229,0.236956419425681,0.295967884354688,0.239604205844765,0.266320681101561,0.289273059738136,0.222093307661467,0.373036657164048,0.206068096038479,0.198770653272002,0.165230866656985,0.246152773235944
"padme_11",0.250161915274359,0.216703194667174,0.244887681505164,0.175366580160651,0.1328633959283,0.132555081008424,0.240302005727601,0,0.230585657234641,0.197166804636673,0.343343915762943,0.32291401941301,0.330837498374141,0.255790733878153,0.469883097254627,0.503877392321051,0.470326540300369,0.486559962942103,0.280028422096753,0.569685566079273,0.370560293223689,0.253252262858118,0.379761572474658,0.392601038490337,0.242706414989568,0.30621329968449,0.386072158494437,0.252785544865241,0.453236217068809,0.294960731869113,0.270828197865047,0.334083176669564,0.349290548591606
"ginger_14",0.146742486992749,0.120836822150108,0.288365520506844,0.309583503146251,0.154532375454499,0.311910214633434,0.27958588616553,0.230585657234641,0,0.127548019791208,0.36323414152135,0.332176612470311,0.412645059442037,0.185970798882373,0.536368988088155,0.531552607570222,0.50979896174686,0.536091572738901,0.178416445530359,0.650393138788503,0.433993935262279,0.290206925267529,0.456183523069306,0.434443244561666,0.119199515078669,0.209202028295943,0.470830688403571,0.342724584282485,0.508041163739036,0.268190582125761,0.393905988071553,0.377446679215784,0.342797932753379
"hera_14",0.0988863070756258,0.0780586673961316,0.214120238328523,0.230725042395345,0.114808141427583,0.212927608626666,0.218360556269672,0.197166804636673,0.127548019791208,0,0.307367896742596,0.24085358526329,0.368227877369677,0.144321944231364,0.507219055608874,0.472149443726413,0.454362735175488,0.45901560220559,0.171581003993736,0.619242892946832,0.362378199673603,0.212303120937318,0.387620277760908,0.431356010655944,0.102362700144086,0.187958279401141,0.404848955004152,0.312701198010619,0.490733318734136,0.196649353759256,0.317065109745816,0.31458264748076,0.298858059672571
