"","buddy_16","buddy_17","ivy_17","padme_17","buddy_18","ginger_18","ivy_18","franc_19","ivy_19","ginger_20","buddy_21","joans_21","franc_22","grogu_22","henry_22","joans_22","marshmallow_22","franc_24","ginger_24","henry_24","ivy_24","marshmallow_24","henry_25","ophelia_43","goose_44","iris_44","jarjarbinks_44","lambchop_44","hamlet_45","hera_45","jarjarbinks_45","korra_45","ophelia_45","goose_46","hamlet_46","iris_46","lambchop_46","hamlet_48","hera_48","iris_48","jarjarbinks_48","korra_48","kubo_48","lambchop_48","ophelia_48","wolverine_48","iris_49","jarjarbinks_49","kubo_49","ophelia_49","wolverine_49","jarjarbinks_50","korra_50","kubo_50","lambchop_50","ophelia_50","wolverine_50","lambchop_51","goose_52","jarjarbinks_52","kubo_52","hera_53","kubo_53","iris_55","lambchop_55","ophelia_55"
"buddy_16",0,23.9923924792738,23.5244607052391,30.4665789317505,25.0244216101034,20.0360286775307,28.4754485070635,24.1223240426174,28.5563013011735,21.1650777229624,21.8393979247619,24.4701576818089,24.3890670377947,21.4475242403743,21.6364576025459,25.229944787447,19.7245311417182,24.9877922162336,20.0933958494186,21.7896457283195,31.5524233300121,23.5105553454577,22.0361691153752,27.2644275491832,24.2193399229154,27.2814704291533,13.1951831184762,22.1472357203185,22.3558949831218,24.8945585407653,27.7924693307173,21.2233683972641,26.6054365735514,21.5247689875465,22.0296766034854,27.6931002623168,21.4821603348333,23.9056501789622,24.8347655441912,28.4132687390941,22.6476493747407,21.9976136777619,24.7749965680805,21.6619318397547,26.3248957119438,26.0535005456871,25.448862096346,23.4018806862913,23.0364290163021,26.1894317786408,26.4467040702442,21.5805481370599,19.9376223836422,24.147265766983,22.9224520677197,27.7738156541861,24.3993218243777,21.399635188797,20.6162697122769,20.7477345403613,23.581413360576,23.4838257189972,25.6849615908007,26.7384960325385,20.7568301055142,27.6290543317066
"buddy_17",23.9923924792738,0,15.5637473056077,28.2248662516907,19.1660598684553,17.6723431972443,21.8259769080769,15.1985006168629,21.428569515639,17.1840034963856,11.8641140881568,20.5003496861223,17.0688988539482,18.6266919376391,16.0028632406255,17.0686180534817,16.6073749019995,16.2781614850689,16.3098190808013,16.3994547583295,22.9318811361689,19.2314728894009,17.2434207432161,19.8097723567296,17.3673355764188,21.1314002018387,21.5823519086874,15.8891182736298,19.8699644859633,20.6580275676271,23.262073336868,17.6884868128827,20.757499936176,18.7080895435128,19.4833963997022,20.8347967625774,15.6154704623706,19.0254327131881,18.807581616249,21.7886053441627,15.4620862382489,16.8167486143871,17.442253519779,17.4451430119876,21.9754106364694,19.8525319839479,20.3232696474199,17.8107842031442,16.8424673748056,21.6773295319417,20.1494677098852,17.2433887956757,16.3917737087763,18.2808411352681,16.7201526121616,22.0038794226303,17.9028541816149,15.9688430297067,17.9983457902681,15.8888413601608,16.717767536288,16.8667977435774,17.7768671326901,19.1451202405333,15.09758086886,20.9859764773498
"ivy_17",23.5244607052391,15.5637473056077,0,28.2430353865804,20.8440021936743,18.768166849052,24.6194297854526,7.62215268552624,23.4625730384926,17.6739120411738,17.8207291996209,19.1553354443638,9.36078614855907,18.2216860189293,15.4974798627759,18.28502704394,15.789579350806,9.56001053826191,14.6904262486166,15.8239486766334,24.3706834383215,18.7767752254496,16.713348719649,20.0221931515836,15.3651981739047,17.1234631813991,21.366333377849,15.6617716491252,20.2996527273777,20.9924907249345,22.6190702743534,14.4638978954896,20.6993839025603,15.6130469027954,18.6103249233886,17.175958427194,15.8529643859527,18.83064200437,18.197398194449,18.1244332731092,14.3337477255389,13.4216139360402,17.8145251153075,14.9337117889288,22.1995671935826,15.5913605335303,15.2395507290942,15.5634574603885,15.6532083544148,20.914396225304,16.6454317930089,15.4393455322096,13.8566162305836,16.4835162569667,16.9576213830747,21.7104002075999,15.3709438620806,15.8726262845288,15.3109458604314,14.0344009268501,14.2072874095823,17.1518689660297,16.8524682092573,15.7088717065027,14.263169754177,20.871412814889
"padme_17",30.4665789317505,28.2248662516907,28.2430353865804,0,21.9056349376804,29.8049765121649,32.0339558650606,28.4283936719055,31.8147600002316,29.2145101293123,29.4947882885851,27.5943911084216,30.2173131238828,24.2442024958467,28.2066090616119,28.795605561716,28.5304604232406,29.916614689214,27.888953763149,28.5184344117955,35.9774878328534,26.9365997200149,28.3672164543124,29.110368572481,29.3838266255953,32.1536597951474,28.328325622468,27.3849357748548,30.7337020650273,31.2661045538191,26.2871496879926,29.1472893534427,28.9856683439643,31.2617961347073,30.3085497964785,31.896457651172,27.3235387758101,30.7687647492468,30.3031842064068,32.3008207198771,28.1211971124691,28.3122303124662,31.1009060624395,29.5901558719816,30.7231244368701,29.7868948535531,30.8016073589725,30.220878030063,30.244015225478,29.6189500280458,30.9747979781766,29.6625767677761,27.7035753764866,31.1146379166149,27.8155805117098,23.5845244294238,27.7092449550739,27.727754702597,30.0581191584556,29.1234242487288,27.8893057558932,29.1786949237522,31.310299885912,31.1411674053873,26.1597257923572,25.0452946768941
"buddy_18",25.0244216101034,19.1660598684553,20.8440021936743,21.9056349376804,0,22.4248903008628,25.6214109492858,21.6595070181375,25.3332338808181,22.5988986421023,20.2846371746181,16.4958681549633,22.7360004630753,15.7371565728923,21.5479519204146,22.3189901032412,19.4855386651421,22.743870807029,21.2147317413092,21.6348260087084,28.7690544360136,18.7282135189915,21.4295363150279,23.4240360967285,20.9324282051345,25.4904873442293,20.6607726837014,19.1329417360935,24.621487339444,25.6821013103008,23.3905443083365,22.4509412108376,23.8927706819463,22.9085289212184,24.0342021836842,25.2489689745948,18.7112053657976,24.4822778732756,23.8197300893624,26.0596994669563,19.1676240549638,21.6520002926555,24.6416152593567,21.1170041079239,25.6032754730168,22.7555798520225,24.286322561599,21.6912832182003,23.5509706684215,24.1985407636392,23.5263668330984,21.7041067698632,20.9210130091284,24.5277789127064,19.3437141568206,20.0625890584529,19.9995386857134,20.0609138632075,21.2173481362847,21.0557768187957,21.2601070003388,21.90158107178,24.6854698336701,24.3470866335944,18.4080379372853,23.0812158479261
"ginger_18",20.0360286775307,17.6723431972443,18.768166849052,29.8049765121649,22.4248903008628,0,20.3189304845713,18.9813038764914,19.1445096455018,10.8208661656442,15.6412392889888,21.431374916906,18.8576815685207,18.6935682157983,14.7728067736758,19.475596281395,15.0300287520777,19.4915426321873,12.2586203806648,13.7002793088894,23.0236795438137,19.6350938910623,16.0990330436262,21.7546690487087,18.4426288130948,21.4187018186242,21.3098481868135,16.1858218016169,16.9913171841787,19.1867917425842,23.4641201209362,17.3021760918622,20.8339422310471,16.7434119532297,16.543852972623,22.3927742247045,16.1946772223835,18.4087903625732,19.5145132583811,22.6607168451096,19.2821156164924,16.8971897643646,18.6124139168193,16.6253332325858,20.9583488141744,20.8665561468898,19.0186001521369,19.2881555231799,16.4161188337621,21.8555888482878,20.3497504036103,17.9230127506625,14.8524579081836,17.7277926823025,16.3844550876546,24.7869278420071,18.3820225795639,14.8573037667483,15.8156261490199,15.4612646730289,19.450229764862,16.4440927298489,18.6264231108873,20.4290312874231,15.504229178314,22.516885794681
"ivy_18",28.4754485070635,21.8259769080769,24.6194297854526,32.0339558650606,25.6214109492858,20.3189304845713,0,23.8684489246107,9.7654538089555,20.5620811138782,22.2223216148554,26.1702534390966,24.2459215253917,22.0153416801056,22.5797897035112,22.0306802266002,24.2113144391688,22.676967791149,20.4335150184571,23.4684159597761,17.8689793057403,21.9698651903624,24.040697581687,22.593868023697,26.8973958170814,21.5525252595773,27.0644971189088,22.5068821412283,20.2712104904656,20.3492455639455,25.6138470160409,26.3859311923367,22.7271876663092,25.2151136989863,21.7384117996447,22.0367741058926,21.6247505221423,20.0516787459472,20.3705125876687,22.7047753330696,26.4392617257705,25.9127824527155,17.1905094570189,26.0731371604072,20.8117126623421,20.6199682090018,22.7362242933605,26.0141730005644,17.7156367585811,22.6756937101203,20.6937622722345,26.5223395659755,24.3632561585246,19.896502382536,23.6259399930049,25.8842862670103,20.5488787747827,22.9822520902092,25.6548236361903,24.3460687413695,24.9285168562022,20.9491170390026,18.9391166364785,20.7573621733188,21.8223071099932,24.2987925406132
"franc_19",24.1223240426174,15.1985006168629,7.62215268552624,28.4283936719055,21.6595070181375,18.9813038764914,23.8684489246107,0,22.6114382811618,17.9207888735238,17.9583868298142,20.3010421256622,9.91225872357236,18.7333908975896,16.3037108376203,18.4738790662229,16.205506712759,8.63367430790658,14.4295189130415,16.655207724253,23.8048322953708,19.3840110313854,17.8817893109821,19.4401178255687,16.8663507725256,17.5378046479708,22.339075763746,16.0682559283729,20.4768696860442,21.4018393898292,22.2396625149772,15.5763557662621,20.2743879840781,17.0337266690738,18.7664331741629,17.7293117004637,16.1830682596992,18.3379021640529,17.6840352136844,18.3690103464521,15.5905470273253,14.5186310399254,16.9834445588312,16.5437531760401,22.2132742146613,15.91201088553,15.7995698231152,16.9963035680142,14.8588384396369,21.121964513316,17.2983009220935,16.887483033723,14.1521089413935,16.001252803641,17.3364345562547,22.3183146568971,15.5990410478713,15.9565961427138,16.7858458659383,14.830309364167,14.744756180478,16.8229783935598,16.2157214841597,15.0793493995884,14.733989021769,20.8383964090173
"ivy_19",28.5563013011735,21.428569515639,23.4625730384926,31.8147600002316,25.3332338808181,19.1445096455018,9.7654538089555,22.6114382811618,0,19.3017188692579,21.5645350250158,25.4985894979614,22.4979495155575,21.7111968028527,22.1520956938773,21.7033299042982,22.600167190174,21.5619437868792,19.0247359680261,22.0725840739794,15.8487435157525,20.9128320167656,23.7341893569898,22.201734339565,25.0045307595755,21.381147537697,27.6080174995602,21.2289592545744,20.493832812106,20.4468492477612,25.1363035066908,25.211255711144,22.1510504086615,24.1839718736554,21.0969681389903,22.3671029283596,20.7717387090328,19.3751902874167,19.6343403917551,22.3057918847342,25.2924374172481,24.3049870740593,17.3972070106174,24.6332367655728,21.2414210142197,20.4762961318799,21.6286292962342,24.3430112548814,16.8054069674674,22.7127822016204,20.0931573866129,24.8284440708293,22.9360289852708,19.1153853040985,21.5882772461774,26.1397605027335,19.9705367582291,21.0756707354491,24.2539582125082,22.5250356189383,24.4136796306227,19.6261786066206,17.9523469934966,19.9219181128785,21.0681419910606,24.149601027698
"ginger_20",21.1650777229624,17.1840034963856,17.6739120411738,29.2145101293123,22.5988986421023,10.8208661656442,20.5620811138782,17.9207888735238,19.3017188692579,0,15.2282835772632,21.4464487032961,17.3135259172187,17.2056111515215,11.1369659114603,17.1909738927731,14.6438669517514,17.9558752261113,11.1303904868864,10.9752751744518,20.8083304213838,17.2612616681715,13.914952497686,19.308168523511,17.7757421157609,20.3789800434584,20.6406764081604,15.6042082025984,15.9581903453651,17.1373339224879,21.8027459117737,15.401690909727,18.4754550567715,16.069732955076,15.0872599841555,20.5391178820435,15.688773479639,15.2721205229022,16.4984517366157,21.151926883693,17.4240722569275,15.3224270406239,16.154249522646,16.1267752939527,18.5215006342266,19.5934133483437,18.3817432502738,16.7536177305361,14.9350059344795,18.7775669886814,19.2028902381708,16.5565668161803,12.8796066737279,16.02879544495,16.5513023864494,22.5323352028764,17.6243620320682,15.3450660603673,15.929815381752,14.0558671077639,16.7014948642076,14.792903898316,16.5709918967789,19.4421953917846,15.2597630205242,19.909657054969
