"","ginger_29","henry_29","joans_29","ginger_36","grogu_36","henry_36","joans_36","franc_37","grogu_37","ginger_41","grogu_41","joans_41","marshmallow_41","ginger_42","grogu_42","henry_42","ivy_42","ophelia_57","wolverine_57","goose_58","wolverine_58","goose_59","hamlet_59","iris_59","ophelia_59","iris_60","wolverine_60","hamlet_67","hera_67","jarjarbinks_68"
"ginger_29",0,14.1990341426188,13.9182443630227,10.9167116063507,16.5743002410233,12.9051311881631,13.4644333475517,13.2149609133939,16.8398745952457,13.1796746463225,15.0753343130478,18.7438298983687,20.1781629094774,14.8972875933357,13.5561194596478,10.4678190458987,18.4925253499986,18.9282376739747,16.857198641652,16.5156559067533,15.4891627847194,13.6955760249778,18.3518445329737,16.3177968912175,20.8782313510971,19.9186282815678,16.6788282041441,20.1704044379136,14.5122341728832,15.6475868806723
"henry_29",14.1990341426188,0,17.6790722617171,10.2730728472155,18.5158818632921,10.4369500969092,19.1213368603691,17.4487260176635,19.8206033859534,9.62112340977755,18.2639749969166,19.8985256951542,19.8092472158262,6.75591645421427,15.8436520236482,14.9597818934438,19.6859576454209,15.2559194932991,18.1730401035286,17.3970535973356,17.7185915510363,16.3093944761102,14.2952224342692,20.5435886793041,18.2941335063269,23.2684183567167,18.8135230570596,17.3767680818762,18.091040362794,14.7503858753736
"joans_29",13.9182443630227,17.6790722617171,0,17.2154170971464,12.8189477994278,16.6011752139738,10.9825929565648,12.5480544422376,13.5049606629419,17.4360702011135,11.5731473005918,18.4728322174589,21.0412250353074,18.4819808709648,10.7531877569238,16.3141355445697,19.9911379486618,19.8365655532517,17.487395894789,15.9352236011353,16.4349868173571,12.878481932179,18.2734993571125,17.318857814761,23.4369360925339,20.6113700261131,18.6039074045864,20.3391202848496,16.2853943682198,15.6772701924399
"ginger_36",10.9167116063507,10.2730728472155,17.2154170971464,0,19.4700065775853,12.9401127300844,18.2708498976103,15.1762693454568,19.8924808496422,11.3553750756734,18.4475450770434,18.5187969913942,21.7788381530648,11.0648306423762,15.6439195199827,10.6714994585454,19.2313690282173,18.6951936828506,17.2113623232163,16.7080304184586,16.2337000044571,15.5415847644769,17.3328657565133,18.7917613411195,20.6601162417284,22.269681185461,17.1071308334755,20.2188238282495,17.75221886774,14.932530250869
"grogu_36",16.5743002410233,18.5158818632921,12.8189477994278,19.4700065775853,0,17.6314120661814,13.8748665415979,17.2964113234922,5.86114478167807,18.6245031116455,4.34855950015755,21.1991654131938,19.4200849792592,19.045154490045,10.9365842672062,19.4315009980827,19.8134843524992,19.3318068797285,18.8704769090592,17.2796383623749,17.739064941637,15.3408595983208,18.5968760567268,20.009176454739,21.1249403694172,21.5398609567578,20.5081619256527,16.8079437623472,17.9011256364679,17.934146080663
"henry_36",12.9051311881631,10.4369500969092,16.6011752139738,12.9401127300844,17.6314120661814,0,17.7050997800707,16.2800880773726,18.6901136361822,10.2085558051674,17.3101498920312,17.9363386045262,21.1969494445887,11.0206191379148,16.1469740037483,14.2942635053325,18.4710762521022,16.0800739828681,18.1708329505585,18.3591734284946,17.7705850945386,15.2963348121149,14.9729243130127,18.9689741169595,18.545083499855,20.9317371196839,18.6601981858128,17.695553782339,15.9740357961938,14.8449910840248
"joans_36",13.4644333475517,19.1213368603691,10.9825929565648,18.2708498976103,13.8748665415979,17.7050997800707,0,15.3782029500177,13.2728365883555,18.2747063066669,12.2671750827554,17.0450739433762,21.8042125322703,19.4207158472487,10.3726705206034,17.3699182781498,22.8136764021832,22.5583922718451,20.3136556490235,12.3079643327065,19.0379070842182,9.36744871147137,21.5569687510323,18.6543822745132,23.8698562077264,21.7448197818561,19.4092603788587,23.1459488170548,16.8347940573107,16.0554434582838
"franc_37",13.2149609133939,17.4487260176635,12.5480544422376,15.1762693454568,17.2964113234922,16.2800880773726,15.3782029500177,0,17.4263732534328,18.1278292331713,15.7444742686415,19.524636130112,22.2111848545253,18.8428374382376,13.8095129985023,14.6770191191956,17.3504371322258,19.2850314273614,16.0611995713959,18.7563260525727,14.8395292993693,15.5307548029511,17.8159492986569,14.1222161220068,23.1453702051808,17.6340712117908,17.3660701345016,21.0973145303255,15.3458126481194,15.6101219482988
"grogu_37",16.8398745952457,19.8206033859534,13.5049606629419,19.8924808496422,5.86114478167807,18.6901136361822,13.2728365883555,17.4263732534328,0,19.5953767103159,5.55807153708729,21.0856471434397,19.8516209141426,20.0752387265496,10.5752618318929,19.6378578589522,21.261186767748,21.2167511121655,20.1646831716183,16.7991246628234,19.0158122957279,14.8819638837037,20.5063165990346,20.9189736645955,21.9872165109116,22.4854268549766,21.3365402453807,18.835074128353,18.6117259182396,18.0231772857864
"ginger_41",13.1796746463225,9.62112340977755,17.4360702011135,11.3553750756734,18.6245031116455,10.2085558051674,18.2747063066669,18.1278292331713,19.5953767103159,0,18.0134477065139,16.9076407545808,22.1829288311527,8.53009337679932,15.7897681972466,16.5519785553651,20.5584887615253,18.2490984718778,17.3618525543658,15.9414544873695,17.5294199763792,14.8422896727749,16.1482811266022,20.4099688724852,18.9214514930597,23.5007754173528,18.9611061780357,19.733927130788,18.4721252746906,15.1349792921579
