"","ginger_29","henry_29","joans_29","ginger_36","grogu_36","henry_36","franc_37","grogu_37","grogu_41","joans_41","marshmallow_41","ginger_42","grogu_42","henry_42","ivy_42","ophelia_57","wolverine_57","goose_58","wolverine_58","goose_59","hamlet_59","iris_59","ophelia_59","iris_60","wolverine_60","hamlet_67","hera_67","jarjarbinks_68"
"ginger_29",0,3.71067821686753,1.22424193125393,2.78270603621882,2.07123119926348,1.33142281717762,0.881043966004395,2.16713854300468,2.24278401535614,3.50599938307038,2.8873826709297,5.48589332289083,1.59391207427472,1.24285229472064,2.57942041379145,2.94556914004007,6.13557712654972,3.30991077578631,4.89915454830311,1.54759836027758,3.00413961634885,2.51754906878176,5.88039364621922,3.69376307523176,2.98110193738662,2.78144646804847,0.946105623489066,2.98291986842101
"henry_29",3.71067821686753,0,4.48997362280724,1.10101684493358,4.9656194420236,2.55883506587822,3.65860905554979,5.03871182921551,5.19025100608598,1.05943413364669,3.43404387648805,1.82211302940795,4.04224071225274,3.50877439424322,3.58757063047349,1.79547069283751,3.62853229477185,1.32055029177319,2.86929838116563,2.8910668153414,1.11128339480213,4.30623892530722,2.60236286131189,4.01631878633798,2.01279530054852,2.92744801890016,4.11472740622538,1.18419635182646
"joans_29",1.22424193125393,4.48997362280724,0,3.56738540906319,1.13741541056629,2.04034353584071,1.51110354071987,1.19811468568031,1.22636004902795,4.07500801334261,3.7190969851985,6.22559419249772,1.04862099560547,2.10689174764538,3.22222797840647,3.88746141935464,6.48853959022117,3.86654509167154,5.29735864237166,1.74914676930103,3.80905452719126,2.55239115788137,6.61054511204008,4.20236966884931,3.60949098097043,3.76594676796748,1.33252565855766,3.66675444797333
"ginger_36",2.78270603621882,1.10101684493358,3.56738540906319,0,4.1377724528701,1.75216686206081,2.83322585806007,4.21634937840334,4.33589450158755,1.04300988457327,2.97197827522434,2.79534535185812,3.213123791127,2.56107070485304,3.04244102280358,1.7262049741765,4.18835781504255,1.21996975354274,3.22233882354587,2.02237287187983,1.25531608240452,3.62255269039181,3.54359278399532,3.76235472649607,1.57872913089734,2.43064790102975,3.28277486570655,0.58476369669667
"grogu_36",2.07123119926348,4.9656194420236,1.13741541056629,4.1377724528701,0,2.61548536107407,2.40745102195943,0.146850403019562,0.35024833993972,4.52691014966851,4.42098008359567,6.62722880427564,0.976766961110671,2.95377881408707,4.06471104457659,4.47744581364387,6.67240392779295,4.31939588734512,5.56109475861191,2.35617217886266,4.25045220622995,3.36804803248269,6.93264033161233,4.86560662882316,4.28953407743302,4.55783564318157,2.05411791060773,4.23030468692516
"henry_36",1.33142281717762,2.55883506587822,2.04034353584071,1.75216686206081,2.61548536107407,0,1.38929720032274,2.68901220666735,2.86135404156441,2.37839686917326,2.46273930910208,4.33749496579655,1.77878757868549,1.6069496375033,2.39228070483276,1.99445225899767,5.0296728597587,2.24034886820289,3.87211268682761,0.932475226475322,1.86730249691782,2.57625827870726,4.77608756551139,3.28867718107895,2.09963194533106,2.30688248652097,1.83619405762341,1.91631653674752
"franc_37",0.881043966004395,3.65860905554979,1.51110354071987,2.83322585806007,2.40745102195943,1.38929720032274,0,2.49061497043699,2.60789226836903,3.50293765733077,2.85637477645871,5.40275430042285,1.96187395925781,1.54899961795519,1.88593935021303,2.6988487173803,6.05461118235463,3.29709218157532,4.8304240296864,1.61749839900513,2.87306809512581,1.77782859911529,5.71401982189957,2.9577880571269,2.80621108510148,2.68992612476501,1.30358869887886,3.01313363960593
"grogu_37",2.16713854300468,5.03871182921551,1.19811468568031,4.21634937840334,0.146850403019562,2.68901220666735,2.49061497043699,0,0.342671425632818,4.58735166012314,4.46149549877802,6.69888971420909,1.03314072513235,3.03435957844869,4.13851617122419,4.55850614898226,6.69966252250277,4.38012622712039,5.5946692549524,2.40745216810559,4.32937594853394,3.4087063749347,7.00806690449201,4.93014627036414,4.3496578291701,4.62347507267754,2.12593980637412,4.29563469630287
"grogu_41",2.24278401535614,5.19025100608598,1.22636004902795,4.33589450158755,0.35024833993972,2.86135404156441,2.60789226836903,0.342671425632818,0,4.71129698415114,4.6624461217546,6.84717225923005,1.17853395737176,3.10806708071469,4.29073964283989,4.75132628949295,6.85096402779146,4.50611973338523,5.73923642583242,2.53269222501181,4.50600051751609,3.53858699364513,7.17600820941654,5.12134203056603,4.47450234593317,4.7918063762269,2.18147264457593,4.42174406682879
"joans_41",3.50599938307038,1.05943413364669,4.07500801334261,1.04300988457327,4.52691014966851,2.37839686917326,3.50293765733077,4.58735166012314,4.71129698415114,0,3.67301425247288,2.36423237112188,3.56968159171243,3.38203360456084,3.69659461466808,2.36672512216154,3.35040712451936,0.914654708976481,2.55173363702011,2.37609548210104,1.59152177005019,4.08233278718591,3.16927679290691,4.22541909137157,1.7281968011756,3.24801624820906,3.89836000553628,0.799758960863815
"marshmallow_41",2.8873826709297,3.43404387648805,3.7190969851985,2.97197827522434,4.42098008359567,2.46273930910208,2.85637477645871,4.46149549877802,4.6624461217546,3.67301425247288,0,4.95248063315545,3.8038369935035,2.46794839255733,2.75983736780478,2.33749509399033,5.97053374890058,3.59226971054325,4.91969800438933,3.03379318304315,3.05527346882019,3.45497401712143,5.44072263425546,3.54089152076758,3.0570932454793,1.01860876009339,3.2664027282478,3.01039137619644
"ginger_42",5.48589332289083,1.82211302940795,6.22559419249772,2.79534535185812,6.62722880427564,4.33749496579655,5.40275430042285,6.69888971420909,6.84717225923005,2.36423237112188,4.95248063315545,0,5.71334105493639,5.24595312072971,5.04141003291018,3.25577577735584,3.55042250512828,2.67042784044303,3.44633675356999,4.59658168693583,2.73566038181412,5.82733356723327,1.58951582541092,5.16550913586742,3.45858626774233,4.40609958432374,5.90404680574591,2.75214758650155
"grogu_42",1.59391207427472,4.04224071225274,1.04862099560547,3.213123791127,0.976766961110671,1.77878757868549,1.96187395925781,1.03314072513235,1.17853395737176,3.56968159171243,3.8038369935035,5.71334105493639,0,2.39386820597723,3.58049149969289,3.7054522462605,5.81367747132394,3.38743658248633,4.69720818172319,1.44954022741498,3.39292213219954,3.05842966889567,6.09529716678265,4.4287136852255,3.41947560516397,3.87463284440307,1.72851071405838,3.2834951958298
"henry_42",1.24285229472064,3.50877439424322,2.10689174764538,2.56107070485304,2.95377881408707,1.6069496375033,1.54899961795519,3.03435957844869,3.10806708071469,3.38203360456084,2.46794839255733,5.24595312072971,2.39386820597723,0,2.51318801751523,2.76914984536956,6.0735634972852,3.2803975502892,4.86510998029349,1.89952725393083,2.96199984254317,2.74324602554546,5.80642546131084,3.68295890148152,2.78053804915745,2.25270581102375,1.81717728478518,2.79568754572074
"ivy_42",2.57942041379145,3.58757063047349,3.22222797840647,3.04244102280358,4.06471104457659,2.39228070483276,1.88593935021303,4.13851617122419,4.29073964283989,3.69659461466808,2.75983736780478,5.04141003291018,3.58049149969289,2.51318801751523,0,2.26182543248837,6.17398227982206,3.58258376382022,5.11621933871924,2.75928614632832,2.96704448206092,1.48338895844673,5.27493211312503,1.31262695591207,2.80877807483125,2.2645426970476,3.11737462184423,3.19790857234799
