"","hera_1","wolverine_1","hamlet_11","hera_11","jarjarbinks_11","hera_14","iris_14","jarjarbinks_14","kubo_14","wolverine_14","jarjarbinks_15","kubo_15","iris_17","kubo_17","lambchop_17","wolverine_17","hamlet_18","hera_18","iris_18","jarjarbinks_18","kubo_18","lambchop_18","wolverine_18","ophelia_19","wolverine_19","hera_2","jarjarbinks_2","lambchop_2","goose_20","hamlet_20","hera_20","iris_20","korra_20","ophelia_20","hamlet_21","jarjarbinks_21","korra_21","kubo_21","goose_22","hamlet_22","hera_22","iris_22","kubo_22","hamlet_23","iris_23","korra_23","hera_24","kubo_24","ophelia_24","wolverine_24","kubo_25","jarjarbinks_29","korra_29","jarjarbinks_3","kubo_30","hamlet_31","jarjarbinks_32","goose_37","hera_37","kubo_37","lambchop_37","ophelia_37","wolverine_37","goose_4","hamlet_41","hera_41","goose_42","lambchop_42","ophelia_43","goose_44","iris_44","jarjarbinks_44","lambchop_44","hamlet_45","hera_45","jarjarbinks_45","korra_45","ophelia_45","goose_46","hamlet_46","iris_46","lambchop_46","hamlet_48","hera_48","iris_48","jarjarbinks_48","korra_48","kubo_48","lambchop_48","ophelia_48","wolverine_48","iris_49","jarjarbinks_49","kubo_49","ophelia_49","wolverine_49","jarjarbinks_50","korra_50","kubo_50","lambchop_50","ophelia_50","wolverine_50","lambchop_51","goose_52","jarjarbinks_52","kubo_52","hera_53","kubo_53","iris_55","lambchop_55","ophelia_55","ophelia_57","wolverine_57","goose_58","wolverine_58","goose_59","hamlet_59","iris_59","ophelia_59","korra_6","iris_60","wolverine_60","hamlet_67","hera_67","jarjarbinks_68","hera_7","iris_7","korra_9"
"hera_1",0,1.25660643393799,1.35482552666382,3.66375139552957,4.24882133929234,2.25274982417823,5.36648166670446,2.78304930302246,7.12651933574227,3.48360419645754,2.63304105158609,4.19230960750352,3.14880579116975,2.96788560541522,7.41503857835958,1.23323281666731,0.796446028808953,0.692077129365339,3.67428460234737,1.90133873420814,1.37592153749322,5.73334135774984,1.38740426020247,1.70560389875421,3.43841716542494,2.37052575644143,3.53567076611133,1.44405829098305,1.34596064797593,5.32119321554474,1.45381301183846,2.37533943075899,5.21752801053941,5.83034277387401,3.60418548780297,2.33268573288108,5.23955414640196,3.23175086466636,4.75217245269055,7.11701017890926,1.99387090808951,2.22159263744104,2.82680871681514,1.39273946318499,2.90586281838136,5.94631811717923,0.77106432928203,4.70466141942843,2.45249921662052,1.62437138665936,1.69594995760453,3.50500934697406,6.81602853174405,0.901193040349422,2.40221366531546,2.16086020964549,4.6639469879199,2.3725880246059,2.2454319852852,1.82236728598759,3.08310096482822,7.58476642093016,1.84673457040222,7.79497498178237,2.53446509134206,2.50221011791231,1.42787456135366,1.26499450926819,4.37062444660013,1.82016953005221,3.01981920165749,2.45334567332313,1.2750318574664,1.7246172123961,2.03497617724627,7.29916968948627,4.15077432012187,4.32851650739999,1.45036922088961,1.51120335821899,3.60661645857489,1.13052285710908,1.84598710847043,2.29067136756827,2.76782921189452,5.77553244467294,4.79885075344261,1.24015533637356,0.919032460366447,3.86425337748238,4.98467935131349,2.10768405473307,2.94175132055979,1.07080800445748,3.96177842522565,3.43211528879285,2.27598664433851,1.63674325691875,1.47101864484063,1.00368942816562,8.01996739244064,5.13988122178375,1.21489624986154,1.04526437541739,2.14875755777157,5.9924713214557,1.36877306475983,1.52336644093376,2.14506513432594,1.62791418804481,5.62656402499149,3.25036974863968,6.06722843158441,3.40729497742878,4.83263284039715,1.62125470012427,3.30040202516699,2.83196277341525,6.19823973496676,1.7050004394108,4.14236727617881,3.09678220145894,2.80902310008239,1.04938659281647,3.09151066648165,0.348889863587236,1.99072339934196,2.14475989103835
"wolverine_1",1.25660643393799,0,1.01115378475004,3.389454516535,3.88853438491542,2.43553599982475,4.45231783017061,2.12073636113191,6.79601085239915,2.61052200140716,2.23981718499558,3.91945150420536,2.40466520269264,2.74419621142573,7.03447991282841,1.07388165249594,1.15100750895994,0.811700083816327,2.88999472153314,1.66756798941394,0.857551729517241,5.36488087247327,0.548900628971606,1.13879494831778,2.72748848973809,2.61161812402601,2.61655724234528,1.84357217188364,1.71668579465065,5.36460797252816,1.17199028094841,1.81796444081994,4.88634287852283,5.71122397791091,3.73435372616893,1.98323330078472,4.93232237480568,2.9511485082283,4.47496244763774,7.02061323243689,2.44800305770125,1.9699981016863,2.5442660858222,1.25864431342068,2.95935720841403,5.61268434825217,1.05672521360462,4.43518027104753,1.68717614336282,0.968268827757254,1.53801350648225,3.2541309738523,6.48831420929141,0.778642744071027,2.3060242039929,1.78122180323259,4.36924062322808,2.26747988437871,1.420051661182,1.44710813970928,2.93597125691918,7.25175665585411,1.31446834596513,7.47049239356001,2.03544793370013,2.04480766342036,1.6141022832494,1.70951973696729,3.78655291889448,1.97550031009565,2.27503606375946,2.266681406886,1.75018265863535,1.56577845854219,1.35236750414178,6.62212375410773,3.8627943621986,3.68361108651554,1.59317855123417,1.59937162603124,3.01799621615051,1.52653707080907,1.20892025582053,1.72041697601144,2.13399880535593,5.44329133409319,4.50323136939488,0.482396826313688,1.57291260183161,3.10604799097803,4.81851874511984,1.9751383422547,2.50392115449981,0.407596873652742,3.38963634678649,3.12492335719901,1.75466495331597,1.67253899431382,0.669804232010531,1.52639700080685,7.66788758538297,5.17214102887413,1.78689240667132,1.62978657983503,1.34476467377931,5.67156044642588,1.39035071361432,1.31027132548996,1.80971271872126,1.82852790527145,5.19933205070984,2.61462855050677,6.1014361640204,3.19899016718083,4.88987138113847,1.63771414209294,2.85860100072006,2.29584743482535,5.69627066317273,1.23408921324733,3.31301061463998,2.76645064904644,2.33472148621982,1.32149453183862,2.79737786787824,1.29738153736549,1.91671992870983,1.6965676577451
"hamlet_11",1.35482552666382,1.01115378475004,0,3.14117102334265,3.56785069740636,2.26307103238683,4.68051646132625,2.09334818892857,6.48102800307676,2.80902926542546,2.11578079418018,3.64321284790394,2.53404522965187,2.60513661544864,6.79902100340191,1.22615733692873,0.766095415343069,0.813234194274879,3.07228243162589,1.26734797171218,1.09958080613583,5.21570115965125,0.770161597830373,1.34297016787457,2.92120769550238,3.25837417373155,3.15114954108372,1.84160579940626,1.76120083303567,4.92625403686111,0.474549465549163,2.10772026328259,4.6869286898604,5.370683435034,3.29904505852437,1.62474652701026,4.63622805241058,2.52152157948576,4.20632628941115,6.60501624782288,2.4069878337315,2.07794601455082,2.13234576730469,0.735914237726097,2.91384305207675,5.37470833487314,0.762091879181053,4.16504615172258,1.8709501890244,1.44408373270077,0.968333442578065,2.93466351806003,6.18807428807542,0.684055173816601,1.52739571430585,1.93038276529031,4.12485789684695,1.96616577829482,1.69040385783906,1.35410600329474,2.65333215828409,6.92702097170274,1.27208887141818,7.13994351711338,1.9606918879619,2.03977414448383,1.44976878061955,1.67278871483673,3.74630760844617,1.42164119174077,2.63765973231628,2.74058354582079,1.47832232963082,1.97932363699693,1.47566904774055,6.52962336450182,3.78157781452061,3.75674027245818,1.9041577959694,1.90137054238585,3.0377510830601,1.92108782138572,1.17724891464846,1.47734717842246,2.39851591239004,5.22348474748372,4.3003389008715,0.788849417715613,1.37649206667197,3.14557238017097,4.6162502087723,2.14140388472878,2.32057345580734,1.0073934630024,3.2820154673613,3.09057679275206,1.74191766520469,1.4191688892542,0.865732684928508,1.60244545480096,7.33254133646419,4.90377674579209,1.78754554951038,1.60398421178862,1.27053720431874,5.43135981046887,0.6258365193993,0.747411932853017,2.03392937802021,2.09368415205001,4.99322833191091,2.73471033083072,5.71566700423185,2.99656465963241,4.52448238828961,1.30974310500819,2.64440165317797,2.55793095058609,5.51531082294701,0.821358525834538,3.57238972711981,2.84483581390148,2.94339197192704,1.16571879664844,2.7915745405411,1.47746269852908,2.03208462570886,2.01753047213002
"hera_11",3.66375139552957,3.389454516535,3.14117102334265,0,1.10624370601606,2.21574469203008,4.72669978987764,2.06357589824324,3.68589330969738,3.33988919607778,1.5633818820356,0.691328974618788,3.77021021752163,0.847200918773353,4.08979788606109,3.36174986414062,3.4635022781938,3.52230937471086,3.99288310082233,2.25849651766405,2.77687095139323,2.55638360025457,3.19914987239497,3.10028310930707,3.93190998060476,4.34470807769556,4.01265693071532,4.05243057962068,4.26042061748463,2.93967434585838,2.91734580904696,3.79050417796778,2.05196209528004,2.95573251618487,2.06851988529753,1.67734840705187,1.85973499471751,0.944849750164886,1.56947307571418,4.08081987028226,4.94031981622889,3.92074159145667,1.29632132600729,2.68610255406592,4.79388853410932,2.57513173062905,3.41560641976495,1.25963034907387,2.58556357281318,3.0895973339621,3.46357849370575,1.01212256917122,3.33680674318882,3.19729654825951,2.31481238789401,2.19704100779938,1.57167045588068,2.00177906587405,2.96678150627071,1.99467302922852,1.66463821481234,4.13332572984397,3.27522114612139,4.40365049371505,1.75625222475922,1.73521139571757,3.16596223230709,4.15659179494697,1.94527476297477,2.4994359350556,3.75277871789258,3.59062496895219,4.09607344278049,3.27769071193037,2.64720242792297,4.96492863750019,1.31448326738922,2.45149601729029,4.06193948476876,3.22130277367158,2.74785564986724,3.87919147322502,2.9999374430682,2.17097361214652,3.79437726226805,2.54412998335566,1.49604595697178,3.41906914928272,3.97483795918335,2.6738269041187,2.67647270816187,4.19964593374404,1.40901035313424,3.56516945963043,1.55115039991794,2.12938989812643,1.98279258166069,2.27240459660382,3.00866588407335,3.72474673280882,4.56231195726203,2.87334585771988,4.2302820724957,4.13372523253513,2.66163843803258,2.61455497397898,2.88385613266812,2.72358618267837,4.04581070587165,3.24175568277288,2.45402779402677,2.08001109613744,3.5405595048772,1.45115069836732,2.57075512509989,2.74933772989695,1.05258450241978,4.27397351220805,3.00071533169402,3.0512765333339,4.17840195047304,2.15511962032336,3.3101452210136,3.60296428457139,1.70357098023164,3.88791731466683,4.20767634884168,2.44031222742998
"jarjarbinks_11",4.24882133929234,3.88853438491542,3.56785069740636,1.10624370601606,0,2.77777543761604,4.66531334122491,2.39198936491043,2.94028382876457,3.67136914638041,2.18004962358265,0.654878461314152,4.0681913397948,1.52386621335771,3.51992795703641,4.0810549276403,3.91224621572742,3.99231974838782,4.21209779710592,2.51546463625676,3.25388355618141,2.121598264946,3.73460228364609,3.43782138892135,4.25407047200263,4.81400915355284,4.03323226405246,4.29585488119377,4.66736376860573,2.62282824418561,3.29560752558728,4.26188877673501,1.3016242064277,2.43157865847097,2.19669932207253,1.98847359278067,1.08846001504998,1.12547288381192,1.00996377464734,3.45954941675054,5.35261844271607,4.48377958100367,1.47771292501032,3.09417457676258,5.24620810933632,1.83468737854033,3.89944560922066,0.797556994288338,3.03290244436661,3.78523707588763,3.700528702648,0.865104144774849,2.63409017944505,3.64522409645682,2.48191565226438,2.7398178350244,0.809325055203617,2.2515898949968,3.32877664575476,2.63369067666159,1.69398758670686,3.41053825425855,3.74076214077866,3.63539354128805,2.08711756271842,2.16466212286155,3.55333399283191,4.68591454934563,1.68809629245761,2.9377911019144,4.0854092203155,3.79036792434593,4.62662576222998,3.70379413617854,3.04936800204537,4.41992860505141,1.14047887327307,2.35972624173714,4.41550114684532,3.63977879636162,2.85381884981755,4.50801990962824,3.35995961942384,2.47244337266937,4.15904481781706,1.76240586032469,0.948486187018074,3.9274246933139,4.44436049824651,2.61651412061973,2.47179135599594,4.67698280740144,1.531066053599,4.04920292911618,1.21547024999276,2.21279711041242,2.24818655860285,2.67312545823817,3.41121480492763,4.33776282477916,3.84580083921695,2.65462020488479,4.82423914387717,4.58421159762691,2.90320182420452,1.90152063714955,3.28068673375041,3.18436863396987,4.49836568610866,4.00694744187929,1.99322224583272,2.28156562780006,3.18389956687325,1.49449115309533,2.52736770903893,3.08792068366241,1.2545680689229,4.57062286590689,2.26217517271477,3.37398844518866,4.27524004377596,2.3908080783134,3.68415636011533,4.2796172505646,1.7638339965282,4.42194655937296,4.63127345485527,2.80011027568324
"hera_14",2.25274982417823,2.43553599982475,2.26307103238683,2.21574469203008,2.77777543761604,0,5.33161120742736,2.23995087627534,5.47777519951393,3.63248968991713,1.58947688402952,2.61431532645765,3.59639309908898,1.56755136316439,5.89887276102219,2.40310175041652,2.24135308748113,2.28143302309582,4.00039654460867,1.65170615500367,1.97761083944036,4.242992633543,2.41879398976822,2.43340230285138,3.815481366727,3.15353727343179,3.8152450078927,2.64776148984302,2.88285985060978,3.27490158165147,1.93811582017593,3.14193079524448,3.60539022628501,3.79261294366933,1.60041583555681,1.68078910896208,3.61393665890339,1.97012477315134,3.1828072918642,5.14109644375668,3.43794488590845,3.11583680404194,1.77425403968516,1.75446235843009,3.84862055253714,4.29517399570874,2.26939055430581,3.06585876800459,2.52266703151965,2.41924776955524,2.65835897566123,2.1447351912197,5.14822878662592,2.05494054924395,1.93502780063225,1.54301805526711,3.10756488309155,1.49794630404633,2.68800261224884,1.51402325933626,1.82446345585071,5.96319234482154,2.50868054490524,6.17246282049514,1.65202547279605,1.61688395254988,1.91725926752138,2.7224818572399,3.11744079086082,1.5147195156509,3.46940482858101,2.78275960080079,2.71788488101651,2.43281009234766,2.27355264274339,6.12731593595503,2.70665630732665,3.24862210863883,2.76909340276369,2.16650721761691,2.86168522223104,2.40027933607924,2.49534303118693,2.039468672448,3.36080841946269,4.20736928556077,3.24404511221189,2.45173714747766,2.55998044634328,3.23680871270009,3.06440026512149,3.15539736805601,1.96412350863441,2.43282285927404,2.8686287319179,1.86852485934925,1.82701612273882,1.39979799079315,2.05959980451753,2.25163497624882,6.42213316205013,3.01500053158083,2.73636301031759,2.68878077948951,2.39227790623574,4.36661226800675,1.88082806633619,1.62619324556007,3.13908381646818,2.1100241555871,4.15784625530504,2.66620718666379,4.00302750919954,2.03947240352862,2.71866625835557,1.68217609675584,2.20443977680535,3.58590272346501,4.71217601646915,2.37356252097622,4.31188847830868,1.58942593776036,2.95715459122661,2.47431312748191,1.92337272242355,2.42122051107447,3.12269892687152,1.96548886997998
"iris_14",5.36648166670446,4.45231783017061,4.68051646132625,4.72669978987764,4.66531334122491,5.33161120742736,0,3.43213129654083,6.40443736792572,2.15310401425266,4.10181004650864,4.89005463580816,2.7292479938753,4.64461116571073,6.57604322050033,5.013394481251,4.97674025241945,4.96848240134688,2.1820573212648,4.56153034153447,4.21157648826591,5.57386747658807,4.38680919541266,3.88477933018341,2.62350158049196,5.33196291673978,2.71238767044128,5.37308520738325,5.20703874625742,6.35284614076767,4.58145339599605,3.70377884919675,5.22581415411551,6.12324261244483,5.6291285955749,4.32300557045237,5.2981294334631,4.5490000394937,5.02102524068449,7.13152881330065,6.11777990608986,4.34467917348358,4.40436512093004,4.58030572529402,5.00278523454866,5.63099010107697,4.86030831467497,5.13416160416748,3.31255311225244,4.24302189669861,4.46760493534546,4.79539349399737,6.19410365539483,4.79938959347963,4.89572561387814,4.22150712172608,5.0711383127784,4.67289254455795,3.3957269851664,4.47846049572056,4.78281813814525,6.733755543657,4.0241971454847,6.9569682615858,4.04781275832635,4.03803975007494,4.91990256683818,6.02526912446857,3.99335700322908,5.2209359840309,2.70863039084276,4.44806709204756,5.9432433225539,4.10887166504411,3.53789023873912,4.95258227899847,4.69642411552019,3.72942536928922,4.75613862394964,4.46638050976675,3.01450673676172,5.80789800482967,3.71913615707472,3.7859888912616,3.10196423806078,5.56121013709859,5.07739384031852,4.50222349008628,5.47250464049455,2.97626044975692,5.17864988274361,4.62659844276664,4.13213637513785,4.80616669403273,3.69134501626322,4.29993303629138,4.09534325297622,4.69230440923353,4.28078815309893,5.82019466913527,6.99266875720882,6.24284175952268,6.11937956660591,5.37424396210272,3.68333668123846,5.66521704997315,4.95907961422493,4.75684698533943,4.23642858323924,5.67713448721106,5.14116307743118,3.13769873326257,6.72893568258764,4.88675899822854,6.02560072452648,4.87415742934668,3.9312386544232,3.67127726049598,4.99186000697957,4.06531322636701,1.58591873772558,4.36772332158628,3.76272163605215,5.35134238156804,4.65141061981028,5.42811509107112,4.59621284931718,4.01973105341482
"jarjarbinks_14",2.78304930302246,2.12073636113191,2.09334818892857,2.06357589824324,2.39198936491043,2.23995087627534,3.43213129654083,0,5.14005897996763,1.82289669564763,0.87628236301676,2.44924856815543,2.43884213705006,1.71122432620597,5.40878259265084,2.44922267815461,2.43551448913406,2.44321409339089,2.6505867159278,1.69183227207419,1.50437204673212,3.8782806612814,1.92107619997091,1.54412778337957,2.68585087846909,3.40710003933602,2.44633152645385,3.08098960411708,3.29020630065437,4.07231772275931,1.8616873029996,2.62071098465986,3.43759023288689,4.15735814179825,2.80608310082695,1.33019060197903,3.36840677659623,1.71839832200562,3.13561255696303,5.44908876540412,4.17775883772349,2.97068941200079,1.52667724632001,1.75109286853891,3.99061313574125,4.02805206578858,2.33810008358264,2.9726742292738,0.780736041991293,1.91185369213048,2.20993048449663,2.14743268936301,4.8155953436915,2.18977967247432,2.1436593886431,1.147607388734,3.0051792956133,2.0696450847425,1.1707728063954,1.50153970576684,2.31871432006393,5.59157525489039,2.14788011292981,5.83442961245338,1.0057919468531,0.854613983260137,2.57725398133363,3.49489507227248,2.06330311116626,2.39707304586763,2.38178551102659,2.49902429717554,3.42490362746228,1.91316101630045,0.986277611910009,4.81037007627158,2.45730563902127,2.03370753452471,2.94762064683411,2.04137351215982,2.03899266068566,3.24079181794396,1.4011036709462,0.928544506912721,2.49229424121114,3.96734367817038,3.02942544094549,2.22503356590833,3.15087395876019,1.46371199352457,3.52693119079419,3.24344259327845,1.52934305070873,2.42384186094667,1.66556911256888,2.17147020764981,1.28940455470574,1.74344419644908,1.77056545650926,3.13930737568347,5.96602956250907,3.9813631161388,3.5714038219819,3.227453580166,1.17650091675182,4.11760578097138,2.19180413874995,1.90075741467214,2.97248603435042,2.91561851281785,3.55171315111416,0.961055536766094,4.77246088380169,2.37559458659174,3.67286039322125,2.30405160454493,1.20614337119345,3.08993943852143,3.9078050702796,1.68433159963175,2.81063583426378,1.9544411548037,2.04785091377491,2.79078943375735,2.10181691987613,2.95874255273803,3.18745195901712,1.37211820451677
"kubo_14",7.12651933574227,6.79601085239915,6.48102800307676,3.68589330969738,2.94028382876457,5.47777519951393,6.40443736792572,5.14005897996763,0,6.11711571511196,4.97890677230842,3.04094449102783,6.6355040012333,4.28501230072304,1.77196005853725,6.96652644301788,6.8062334927253,6.90489387165114,6.61936107007,5.40516868720118,6.14315288160416,2.25716641543706,6.64290412796856,6.26837800211379,6.73213584101157,7.36628475815002,6.43635465459175,7.07106220373943,7.50410611617012,3.50286858523342,6.2112507748532,6.99723461511096,2.1318247460152,2.64839450450394,4.4167586611758,4.90605098332936,1.9210263530677,4.00683694757055,2.56335667574904,2.29815225094681,8.15727106652725,7.24026339449596,4.38659198621129,6.00732663200199,7.88644782200461,1.3041657899041,6.79596896427465,2.49963568496273,5.7790078137709,6.63860426510256,6.52509002443159,3.65877554805438,0.42726380893683,6.5587716972797,5.26649275553425,5.53826023159032,2.54703428486995,5.03299654181605,6.09869698258106,5.53418360833114,4.32578689876362,0.523377107276304,6.58804304194847,0.799641154921384,4.96003492812273,5.00351329764052,6.36995146855389,7.54118431211249,3.65148091861076,5.75341850345719,6.65932417024989,6.33312918750458,7.4923824714173,6.44345566887212,5.87708778576457,4.4498065281263,3.22883258706156,4.29692833973817,7.21505868486914,6.39841880800507,5.21903735484351,7.34414978671672,6.20349909701317,5.34953783719573,6.79885054341147,1.57053741122231,2.42183140164591,6.8440874992639,7.30949003134202,4.86975195217202,3.75463183634988,7.45092350921116,4.37498275460735,6.96331946330142,3.62920207205283,4.63754123167539,5.11130702338366,5.53302244833094,6.32826950119717,7.18841973200205,1.04829044853293,3.67463263606609,7.69138904364717,7.43972712297355,5.74838281492766,1.26117684119175,6.17113652588461,6.10276188115887,7.27187099410156,6.74506197213075,2.40601816503838,4.80134303728679,3.39648610336542,3.99102756397701,3.86066250730632,5.92526338429673,4.05654048708252,7.21880376239108,1.89393437395662,6.24185656843685,6.50477462444101,4.93935535879618,6.16982053989595,7.16796612600314,4.35872133051648,7.29874588464378,7.41356964279015,5.55491028461239
"wolverine_14",3.48360419645754,2.61052200140716,2.80902926542546,3.33988919607778,3.67136914638041,3.63248968991713,2.15310401425266,1.82289669564763,6.11711571511196,0,2.37555856271509,3.74645873023615,1.38233998557661,3.13569192016239,6.32797832584836,2.94647607619987,3.14365869178136,3.13547874786271,1.32004315310298,2.93000467826871,2.39171096333605,4.97654384996495,2.42686565368254,2.22344560449939,1.47110814254576,4.00186437339427,2.26401925280273,3.88397957566232,3.59090639792847,5.41271549597658,2.7593589175913,2.08885283431849,4.58813208917357,5.44601139473862,4.25986396839047,2.69987289178494,4.56424398503281,3.12096945189934,4.19225664801616,6.63498504315305,4.49886180652106,2.61121100581532,2.92814689567547,2.78364324104177,3.59345899052577,5.13153274681258,2.9954003707465,4.18734968008362,1.4546700343766,2.19745400973866,2.83277885197263,3.53926889857384,5.82624198229154,2.97903356674594,3.27698808346853,2.49755339308055,4.23380933300286,3.17583338665714,1.65312610573943,2.60712186410596,3.49445517451252,6.51081212731365,2.20294981457971,6.77949479506173,2.50831996727214,2.45208556595568,3.26359364577837,4.16600346533902,3.17182496294816,3.44704847118967,1.43476684878345,3.31791269011868,4.04462251299879,2.54231596925578,1.72868157808722,5.24572354678605,3.74330429000269,2.93346957642162,3.274265274655,2.88975356618328,2.10926806411114,3.95666673266631,1.93321469633223,2.13265095955889,1.69468329616892,5.05692249667796,4.24241749261301,2.60543307577634,3.68543315861514,2.0746022537755,4.47270185176213,3.04413712039842,2.76514311960335,2.9937398983832,2.79866903933546,3.21715314885345,2.56354341302759,3.00207555984238,2.50291025303032,3.91862651284561,6.84550709404065,5.32818492648934,4.20728453306731,3.65944072542225,2.02474174006084,5.17518844305378,3.1422879498686,2.88633801901569,2.67150759455226,3.75959832668945,4.54312945022319,1.92024743375037,5.97845778980534,3.65295932763277,4.95449172205553,3.22179766791329,2.60575318080286,2.50935869388969,4.77813147491463,2.2922951943138,1.5142552751412,3.12081108599854,2.58203157443408,3.31024724478986,3.42528590232966,3.61100015256728,3.05132159817522,2.52173199994622
