"","Hera_1","Wolverine_1","Hera_2","JarJarBinks_2","Lambchop_2","JarJarBinks_3","Goose_4","Korra_6","Hera_7","Iris_7","Korra_9","Hamlet_11","Hera_11","JarJarBinks_11","Hera_14","Iris_14","JarJarBinks_14","Kubo_14","Wolverine_14","JarJarBinks_15","Kubo_15","Iris_17","Kubo_17","Lambchop_17","Wolverine_17","Hamlet_18","Hera_18","Iris_18","JarJarBinks_18","Kubo_18","Lambchop_18","Wolverine_18","Ophelia_19","Wolverine_19","Goose_20","Hamlet_20","Hera_20","Iris_20","Korra_20","Ophelia_20","Hamlet_21","JarJarBinks_21","Korra_21","Kubo_21","Goose_22","Hamlet_22","Hera_22","Iris_22","Kubo_22","Hamlet_23","Iris_23","Korra_23","Hera_24","Kubo_24","Ophelia_24","Wolverine_24","Kubo_25","JarJarBinks_29","Korra_29","Kubo_30","Hamlet_31","JarJarBinks_32","Goose_37","Hera_37","Kubo_37","Lambchop_37","Ophelia_37","Wolverine_37","Hamlet_41","Hera_41","Goose_42","Lambchop_42","Ophelia_43","Goose_44","Iris_44","JarJarBinks_44","Lambchop_44","Hamlet_45","Hera_45","JarJarBinks_45","Korra_45","Ophelia_45","Goose_46","Hamlet_46","Iris_46","Lambchop_46","Hamlet_48","Hera_48","Iris_48","JarJarBinks_48","Korra_48","Kubo_48","Lambchop_48","Ophelia_48","Wolverine_48","Iris_49","JarJarBinks_49","Kubo_49","Ophelia_49","Wolverine_49","JarJarBinks_50","Korra_50","Kubo_50","Lambchop_50","Ophelia_50","Wolverine_50","Lambchop_51","Goose_52","JarJarBinks_52","Kubo_52","Hera_53","Kubo_53","Iris_55","Lambchop_55","Ophelia_55","Ophelia_57","Wolverine_57","Goose_58","Wolverine_58","Goose_59","Hamlet_59","Iris_59","Ophelia_59","Iris_60","Wolverine_60","Hamlet_67","Hera_67","JarJarBinks_68"
"Hera_1",0,0.0913440626359286,0.285292878213232,0.395364806866953,0.363578928367279,0.175791608173452,0.725176185968234,0.308043391983067,0.0593386952636282,0.252391412173174,0.143689556104075,0.23221765076541,0.172602960751886,0.388002104893878,0.0804670242978858,0.498615487443904,0.188733266269442,0.648414888604698,0.197762777242044,0.137763947543899,0.259566620562471,0.294523559855224,0.128762964836833,0.69603924680759,0.171549021727381,0.191427029527407,0.150572303724005,0.337034804403693,0.302403909655264,0.102371558270756,0.509745301165728,0.0811218602999912,0.202036967182195,0.262737333380476,0.260088427258053,0.486342028128772,0.26210374131669,0.15004048582996,0.481961916882863,0.533934040569932,0.290077113836328,0.259714134462679,0.449006413626327,0.291476770287736,0.416821291090864,0.676760147830678,0.331134782178544,0.0953425138145777,0.3065066790414,0.226724678293573,0.268275422829241,0.527228054500782,0.151983180366312,0.347974864679898,0.101986183074266,0.192532088681447,0.380860705506027,0.328012769353552,0.589509512660594,0.405479530325972,0.101126539166885,0.426892667605329,0.318215493638267,0.158702253476107,0.0626617870213336,0.366065544305314,0.684540484879689,0.191819628235477,0.212195666741121,0.135221282334192,0.267978830122107,0.147416666666667,0.320146661520648,0.250876314471708,0.225451746508815,0.247054636056238,0.171479996727481,0.0940793419587011,0.167649269971907,0.683039175445797,0.284075915964681,0.289424238357267,0.262324250776262,0.112183657195618,0.340468018720749,0.110763011622031,0.219898794463462,0.260280736404035,0.234109204822788,0.524310472722368,0.365973512314976,0.130825049284845,0.211836827366987,0.332761469055788,0.418720294513586,0.191161077728242,0.316185736905031,0.122029462665147,0.357888013625719,0.296779982055628,0.248535208266752,0.196368884837435,0.202975718439636,0.0397655922980327,0.727085492397906,0.418802010381478,0.0401288672004548,0.21613144137416,0.290257377711899,0.523238245574473,0.262559174733272,0.203922169449977,0.199189788274861,0.221340716681753,0.517155735442921,0.222985129429044,0.554751054133481,0.372028843585863,0.353555383423703,0.300158709165454,0.262442801830341,0.336599459832925,0.573559816759233,0.403492932313856,0.217613132209406,0.258482636584826,0.0848355229656788,0.292296375551692
"Wolverine_1",0.0913440626359286,0,0.314946696016229,0.325335944725532,0.318592907477675,0.115675990675991,0.686340987311861,0.23589615576635,0.0384424603174603,0.197350023303815,0.0887087653157398,0.16064047792713,0.200691651317521,0.320728524626576,0.141237757866222,0.436756360973824,0.114108033841926,0.600947093403005,0.13761401737751,0.17102069362735,0.187310473524609,0.220525896414343,0.160673717195456,0.654259881603555,0.221620557251157,0.14376306118037,0.0972806490384615,0.26482853799766,0.231929212362911,0.0262774297758342,0.449522919863882,0.0233303212026616,0.126121036649954,0.187240405382954,0.215308479049819,0.432458560279173,0.193927944052236,0.0721937235968618,0.418748535270682,0.476296138254747,0.233831482607443,0.186983779480545,0.385688478522682,0.219773178701865,0.350755518050684,0.632140160096662,0.279166018360044,0.0586657999512472,0.234733122791658,0.15902256938444,0.217929108199774,0.469537589626895,0.102505179883217,0.278108251369339,0.129184686849271,0.216781186489887,0.319409697821504,0.258472402450433,0.536655331598245,0.342387613744398,0.133608481022902,0.360158992360107,0.246370636394071,0.0821907600596125,0.0842348666281278,0.295277604137069,0.640937965187402,0.112795040063812,0.136220966729441,0.0897538332762622,0.211549103219296,0.0984813265147993,0.25072939460248,0.192139737991266,0.148994672624162,0.172300799144013,0.123847970142433,0.102568180011131,0.0916743585010153,0.639548473954404,0.210226004908992,0.217168522267207,0.208662838392125,0.0778111470806193,0.270450652648987,0.181742431256365,0.144729503625209,0.186501359146059,0.158380317785751,0.46448087431694,0.298584664355141,0.0498577164464195,0.165450810963949,0.261836097092045,0.351914370207532,0.127685007425653,0.244238224610031,0.0449751009685135,0.288633939638523,0.222629681868046,0.172922296733727,0.129353233830846,0.123670165765384,0.0860893063955733,0.68849707205187,0.359286293592863,0.0839041843012348,0.170747062115277,0.218440436880874,0.465043222046493,0.202802310910419,0.132163323782235,0.126813925226964,0.265769921818094,0.45818615330272,0.147794953007195,0.504326430182489,0.301568528061727,0.295273858069059,0.237147491889194,0.189464628416385,0.263029654721578,0.51894576310953,0.33565964300094,0.140609840609841,0.278289716181349,0.156456876456876,0.218095838587642
"Hera_2",0.285292878213232,0.314946696016229,0,0.438640439522901,0.485427015380932,0.379313015528792,0.765121007411294,0.460266315962518,0.300944190788599,0.435451505016722,0.272617708500723,0.426540982399293,0.346575891069283,0.477911880180311,0.298273857436723,0.57063060065128,0.337483189241114,0.699364168637912,0.344468280723261,0.310134956337655,0.369678601635185,0.448389482886154,0.310959534669624,0.739940130101894,0.30292810877362,0.392289728570882,0.36257052538914,0.462615937914064,0.458687588221777,0.304084210526316,0.575286189069424,0.313344780522168,0.35748810371314,0.418733750263509,0.448198905045856,0.561283044779048,0.443478870278226,0.358414727280035,0.550162048882716,0.601344032539735,0.403970826580227,0.419513221575366,0.529602595296026,0.42956627564991,0.500992063492063,0.723709679916998,0.505343911874631,0.323789217179409,0.44174245419797,0.407619047619048,0.461059737702612,0.594963180493448,0.357899807321773,0.443155452436195,0.299370152962852,0.301844165396942,0.515762182546697,0.448324022346369,0.64960984982159,0.545563072025468,0.286945972878125,0.507477567298106,0.460927491673072,0.326218907446344,0.308833296435687,0.482315783200739,0.73045789537272,0.39417296130723,0.373765763100477,0.305963488843813,0.438600110011001,0.378634352123744,0.419909820600556,0.437822084799374,0.380161677954992,0.26596873452642,0.400284263959391,0.20947238637813,0.331997485462832,0.729442086112796,0.378841885802677,0.391721975786279,0.397891963109354,0.227276514204782,0.448074715318502,0.265862086233662,0.381482165958233,0.413941751655977,0.398668210770122,0.58881475842923,0.458468691324174,0.3488759367194,0.422740086449916,0.429916284947086,0.501503636065394,0.392007392007392,0.445672428195078,0.335819019689987,0.450480972835622,0.404598308668076,0.398659139026111,0.36130078847097,0.397074268567142,0.300092250922509,0.767092451052246,0.498660836294069,0.314197124870807,0.419711413628102,0.445735525566755,0.591995328362231,0.447639108302615,0.40327918743105,0.397532738660087,0.287658227848101,0.587201978792112,0.334719486393813,0.61923754163396,0.47210579136903,0.448450114007518,0.4654044637281,0.373115533946623,0.488023484588239,0.6346818007392,0.488125315816069,0.348661255371506,0.184339887640449,0.315436241610738,0.394622262106558
"JarJarBinks_2",0.395364806866953,0.325335944725532,0.438640439522901,0,0.142541107400396,0.240460726608484,0.485616956850871,0.122704962734048,0.348307147599026,0.180246678413258,0.279459529686891,0.198547274913499,0.342219225682649,0.126141148026179,0.395633430677235,0.189027019258408,0.245141097480943,0.368579234972678,0.234249439504245,0.370171230043842,0.280230646429507,0.150940348448137,0.353374233128834,0.441843109404528,0.509946086633203,0.227879337261419,0.26399543852374,0.11320129827118,0.124432540403123,0.309000348124146,0.271305844942991,0.342092216162618,0.210267613326051,0.204042325526097,0.153773361722262,0.24529620569789,0.162944150388075,0.290808899979206,0.165916163280249,0.283324834268231,0.217338980305029,0.181941244923647,0.184730585147445,0.178440728216056,0.166937310799703,0.43935013432263,0.145118494160336,0.356810849237163,0.14653740242598,0.201036852273005,0.224437360232193,0.231936045915753,0.266329048175562,0.250098000784006,0.322538719809379,0.493348862870104,0.159061743978121,0.148723861897687,0.307481539961919,0.182080984110712,0.356383268800785,0.141369517197854,0.124350134993418,0.256701030927835,0.366078832439604,0.121686389277686,0.421769474620657,0.238916567613363,0.227691096126397,0.29927045472374,0.155408729879806,0.296621836280843,0.224188659058488,0.194871794871795,0.214370965777615,0.214655934268039,0.278036527290805,0.324998652799483,0.252452298629786,0.419933880557616,0.274837875885625,0.259179364787957,0.149428537763638,0.306311338067502,0.114399196892322,0.45903104701746,0.200403463885062,0.170536011014575,0.210139478471801,0.208671621552035,0.241420268951767,0.295934916119427,0.214339021841883,0.14908946251768,0.245978752665883,0.257209290570425,0.13146537266039,0.300643301390705,0.137167477653212,0.176154109198678,0.183554718241003,0.233216957605985,0.215959058952128,0.393813965355938,0.487872356973811,0.309248151764542,0.397402448464692,0.202653383310318,0.12739322533137,0.231550148837689,0.167450924473597,0.233400200601805,0.242726225649757,0.530918809326329,0.242594662568115,0.240519911234667,0.320764037543224,0.116597501632576,0.322431428757574,0.132315521628499,0.204257740268361,0.128074713903626,0.275631477197097,0.079183175861018,0.24875061244488,0.376419165956511,0.458305896438192,0.170879120879121
"Lambchop_2",0.363578928367279,0.318592907477675,0.485427015380932,0.142541107400396,0,0.215700835432966,0.498553060135956,0.106177743102348,0.316570366714091,0.160523245712016,0.322238538097569,0.177049180327869,0.422229458374037,0.216677113277282,0.38494334773975,0.282227123607584,0.325559922969373,0.382030801941557,0.373295424630127,0.416599143419377,0.376471757166277,0.197674418604651,0.400542217501887,0.454932035493941,0.49402872754638,0.195379312159566,0.235700919371898,0.20325837540156,0.115078521667257,0.304220925011226,0.373446839340699,0.337476513947102,0.224287677270488,0.265714852270474,0.126753618185853,0.259134067603494,0.145076694705591,0.301923233861973,0.251044048451407,0.324918153329015,0.258855848474625,0.194870779285078,0.286578185809799,0.223355762969394,0.256342121652481,0.423377234857898,0.0796998867497169,0.350256719157846,0.177598863367274,0.182481751824817,0.200307516801825,0.317238830919745,0.23743001576344,0.346347863460538,0.383265665370092,0.503024421801714,0.0429469273743017,0.204904808002581,0.3746660730187,0.0688849226585075,0.387180733918714,0.227114077521278,0.125365378369601,0.303459246676912,0.370760437519947,0.120128512642211,0.435119977464212,0.238012159661644,0.265215939161935,0.344684112558853,0.132487185745668,0.260808075205901,0.353694992236924,0.172543042055024,0.274705164701098,0.269299731048909,0.242939710192566,0.355534841680084,0.287030588739487,0.433853189794712,0.377751081210956,0.395007763047892,0.127295943424025,0.32294917521177,0.211489197705788,0.426768390317415,0.214577394252254,0.197278238277867,0.239611277015741,0.265615052698592,0.346406954990646,0.284942343044956,0.181489853716839,0.276247789236741,0.312298803136608,0.240437447168216,0.18359375,0.283228910270754,0.259145527369826,0.245528300991602,0.208592312664711,0.226392977154914,0.211353847750506,0.359692509385615,0.500826820704497,0.355297903944545,0.365774240231549,0.173450735048016,0.146580428793868,0.327482891890934,0.1404860405777,0.217008567161833,0.234467784550187,0.51163997146748,0.344027365199388,0.363955618892508,0.34034802351785,0.175480769230769,0.371932515337423,0.104833943978253,0.297373427886635,0.113272441518803,0.325612834921411,0.186131694173122,0.302769183563886,0.469393642185427,0.429508817312849,0.220519907550811
"JarJarBinks_3",0.175791608173452,0.115675990675991,0.379313015528792,0.240460726608484,0.215700835432966,0,0.629914805891558,0.140510633392888,0.128361767116144,0.0900526122598801,0.167757633914802,0.0583558594371124,0.274635130054346,0.228227141083988,0.216631018049458,0.357435609819233,0.159474795460544,0.533446019970576,0.219834819518937,0.254552872667928,0.234118115298656,0.128684357459814,0.241271643485666,0.593824131433761,0.310954371299199,0.0311760063141279,0.0289637270305349,0.174934000277894,0.135482014388489,0.116453258194529,0.368770345479366,0.133851851851852,0.0396435950413223,0.101468747137317,0.110787525785706,0.339443026739154,0.0911195734958111,0.105670986765412,0.335672050127968,0.395969630886035,0.125505117541221,0.0888692417914087,0.297153610915079,0.122062123538443,0.260924214417745,0.568192379182156,0.180143148696427,0.152339738888074,0.13838602569655,0.0539145851141292,0.113725250549988,0.388699325696645,0.0390766807082435,0.212662515022397,0.216969521465286,0.321183533447684,0.223364461534437,0.162973931994077,0.461667842222343,0.246497251007119,0.222303420052616,0.272766800328518,0.152318999746557,0.127144503966909,0.176615064007145,0.204449376453181,0.578145610825071,0.030395237307756,0.0895045965270685,0.174758959118084,0.103220973782772,0.0655518864610413,0.217672535013218,0.0825314581791265,0.105168666729661,0.163784896041276,0.043234643054787,0.197569044879171,0.10743468173106,0.576636724699987,0.248258633357825,0.262737087831923,0.103323372272028,0.161347329728201,0.176415817723738,0.267397757255937,0.0497734669134069,0.0887263863497867,0.0663241329615589,0.385083651665884,0.217336152219873,0.0761295792560144,0.0580732875825456,0.167492070558121,0.263966719686774,0.0390932222993292,0.149747267952447,0.0787370813652023,0.195340741732494,0.129141468213779,0.0771446961105832,0.038384100798857,0.0294374252754709,0.17533792890977,0.63207137988723,0.263987083200822,0.177413678489031,0.0638161684695641,0.121288433382138,0.384442031509291,0.0924569754668619,0.0279976450578923,0.029381039435884,0.344775669978922,0.376350364963504,0.21396801362733,0.419959551960174,0.211686099829687,0.24645491412863,0.133736675309709,0.136695461735004,0.175718849840256,0.442862453531599,0.248841113533288,0.155676842038459,0.355546525802519,0.249170262197146,0.124047245010764
"Goose_4",0.725176185968234,0.686340987311861,0.765121007411294,0.485616956850871,0.498553060135956,0.629914805891558,0,0.540122659022018,0.701001837997359,0.593232576049288,0.656368182332173,0.599741011764419,0.644378616525876,0.47029769655606,0.702599239563463,0.390844269918363,0.623730241316089,0.145959092261124,0.628132618838409,0.693045377586497,0.576190189587722,0.568598192821023,0.668303730469744,0.114758058671477,0.784682474788771,0.6212571145756,0.646555402183461,0.539636792944199,0.540311406495855,0.672755548190544,0.349975006885858,0.692166589159303,0.612817614390328,0.601832589795697,0.580718672039916,0.371785875132231,0.574035585136418,0.663273769132172,0.374634411297735,0.311659462055716,0.553246753246753,0.574513597634985,0.409956737909214,0.553701945894637,0.443349049864266,0.133689929239746,0.548150843299961,0.701879505664264,0.540136630333815,0.598190221831974,0.61219629540534,0.317377167630058,0.645852960018088,0.505814487957345,0.679028165765397,0.777681332392991,0.477239652079737,0.520735937264364,0.238673667281586,0.457237903450118,0.691514528156338,0.43045419888901,0.530602981739464,0.641678972793032,0.69634076911133,0.491049172898255,0.0833395360377125,0.630066834476174,0.606875458771715,0.653757451259625,0.572177068041582,0.664824158827556,0.525927649179947,0.583610990390651,0.615340611725758,0.612355826594193,0.651883414855529,0.683047813858348,0.636660802734838,0.250118101426334,0.557468882125135,0.55076639663683,0.584419626291282,0.673337145035258,0.526481685993006,0.764638131461938,0.603444479780806,0.574851018838908,0.6108148813934,0.322437477985206,0.486765172460681,0.666687839022345,0.614828298730689,0.518586284364361,0.447549766096607,0.642730529421244,0.531605010195165,0.672160775878527,0.495242544754265,0.555401254545669,0.58323197533689,0.615718050390365,0.614941186592756,0.720551460479975,0.05577886764246,0.439691529099892,0.725945910377048,0.61123221239805,0.550980345781793,0.322657045241527,0.574365262550491,0.617835181389376,0.633877893489956,0.789136425962883,0.343059311522743,0.60025818079963,0.287442554695786,0.490161102769342,0.503861026011727,0.544371607809967,0.573768129862645,0.539621771217712,0.273097148121138,0.478526588501013,0.613431633425286,0.711033387968974,0.757367545225187,0.557993064892789
"Korra_6",0.308043391983067,0.23589615576635,0.460266315962518,0.122704962734048,0.106177743102348,0.140510633392888,0.540122659022018,0,0.263311915516254,0.089368093552194,0.247875396049865,0.0911008130532508,0.332210700463825,0.132997411242604,0.316859255465574,0.23450441609421,0.230861792344717,0.428700756358964,0.27993596889918,0.319620955218204,0.292229230975708,0.100644726962015,0.310776177690993,0.500580631165218,0.425761973875181,0.124571428571429,0.1674047829938,0.111713532296621,0.0248589293884398,0.213521713812866,0.321546918995537,0.244492276525703,0.131466486729645,0.17083099006454,0.066673767174353,0.224238274563506,0.0540663334847796,0.204751466319095,0.214039586505329,0.276886687855717,0.185296791791142,0.0979060251918808,0.214767950405503,0.129693187727509,0.179932251422499,0.469151600958397,0.0798608466011528,0.27037037037037,0.081805898998139,0.0953315459244313,0.134083601286174,0.272088875678086,0.16462963510994,0.267595379089409,0.28574089018561,0.409501289767842,0.102823381051353,0.117450412302206,0.348351006095016,0.128980277342775,0.297496871088861,0.156773211567732,0.0407201456250156,0.208003285806489,0.273709636409865,0.0764844486333647,0.479778946667554,0.14101128434835,0.173496659242762,0.254496107846938,0.0629757420918166,0.20146409341158,0.278455790784558,0.0892046682515669,0.184832558267522,0.205716900384895,0.175023877745941,0.282222222222222,0.18808074335149,0.478854607891607,0.308957195017738,0.320570222839792,0.0763765541740675,0.261547818154174,0.125668969543641,0.391846921797005,0.113374519953248,0.0984710787982465,0.143655336747829,0.269138108133346,0.275122549019608,0.198942217088665,0.115037763499042,0.191197513198796,0.243724838858702,0.169655409864287,0.0941632295963004,0.211945402913066,0.178768152228342,0.16998288677173,0.120932856874177,0.143616119369242,0.117082641604997,0.306390915933113,0.542556309871375,0.302733730673646,0.309133101276314,0.110887884368547,0.0502297248464199,0.270490421886411,0.0592013703029654,0.126542683273617,0.154553713377243,0.460397284385215,0.282098131018994,0.281459234563139,0.310161382462154,0.100264284210772,0.308591198316115,0.034349396977253,0.206362762891,0.056039119804401,0.328606658446363,0.121368059144738,0.230377222622279,0.412753055616966,0.36931976582102,0.15254324282708
"Hera_7",0.0593386952636282,0.0384424603174603,0.300944190788599,0.348307147599026,0.316570366714091,0.128361767116144,0.701001837997359,0.263311915516254,0,0.204974853880658,0.098823075438935,0.185124729427629,0.214865540722502,0.3463059195662,0.131836647423562,0.460296096904442,0.143078970718722,0.618835559953818,0.162679249456261,0.185804110224923,0.214939283649104,0.248756704046806,0.174478330658106,0.670046945693335,0.223000406008932,0.145446507515473,0.103252095025755,0.292197671220317,0.25865464015753,0.0557461752714649,0.469369349056391,0.0457532861476239,0.154517898383372,0.216008139732067,0.206734006734007,0.447955790531327,0.216535299888366,0.102077059686511,0.439324774132192,0.498270644185041,0.245536734227618,0.215018451433795,0.409417520256841,0.247353287152006,0.37594811181689,0.64890243902439,0.276764472640761,0.0647392101316447,0.262312326671129,0.181442643787734,0.220268802606571,0.491255546854607,0.106149990360517,0.305025788652993,0.143420080453165,0.241822895891504,0.339053339053339,0.28496326129062,0.556670318476234,0.36378953183262,0.147859276468636,0.384958304924739,0.272552485502527,0.111170415554708,0.0971704506946797,0.319685403654869,0.657371465964693,0.143524526343109,0.164766248574686,0.101468468819382,0.217561688419515,0.0949131021347512,0.277450919675481,0.205006858710562,0.178023521151483,0.196573027955081,0.120945102932003,0.111799217731421,0.121359773371105,0.655972410910231,0.233509963915347,0.244855834354641,0.210513979574753,0.0777098565663829,0.297004691447131,0.155106707317073,0.173587862383361,0.214778725131953,0.18750654336067,0.484733743351792,0.324386857936141,0.0811005071277403,0.162805849138555,0.289246587918477,0.377303795111832,0.141830573767456,0.271205947307848,0.0658418029164826,0.314984888941052,0.247036267774405,0.197016653611688,0.151035234289866,0.152909727991908,0.0614456239263533,0.703090493471607,0.374577938478718,0.0584965708906719,0.163176327639197,0.245677653305705,0.487430566228292,0.216348108987393,0.155400952032223,0.150029231218942,0.261872591702947,0.480732220382223,0.176495410908324,0.519767441860465,0.324947709234692,0.310571437106073,0.253895567003753,0.217749560988788,0.287071783077109,0.5396548994776,0.360840496657116,0.165663716814159,0.291972949132608,0.138483685220729,0.242108646737384
"Iris_7",0.252391412173174,0.197350023303815,0.435451505016722,0.180246678413258,0.160523245712016,0.0900526122598801,0.593232576049288,0.089368093552194,0.204974853880658,0,0.246560246843613,0.0517530196608576,0.344388956939602,0.179473505599457,0.294516095925558,0.28324478953821,0.235058065300663,0.491275046633371,0.269826828010797,0.33134752733304,0.300496524329692,0.0653628690830624,0.316713254891764,0.555118986811258,0.384422700587084,0.0757199151257957,0.108851224105461,0.0930069748748931,0.0880210007500268,0.202586629217153,0.325895969878678,0.216144953011967,0.120328982656893,0.138150632588945,0.0423676363022562,0.290868260331186,0.042901121247211,0.149174751165428,0.285934955955413,0.348635473841784,0.170727696313554,0.0933499138004127,0.248514148851237,0.128724279835391,0.20763723150358,0.527755227724435,0.108827700623478,0.194237855946399,0.0906306257892899,0.0690977201556967,0.054488813367318,0.341657339148559,0.117963563135207,0.273205082410573,0.293564618644068,0.393560342830669,0.171448874078067,0.116097255883043,0.416501079913607,0.19749827590307,0.299632721202003,0.223647112323783,0.0990470690153047,0.203329592218481,0.260202349426224,0.150630719762553,0.538263665594855,0.101014717981534,0.167679150693011,0.253719978425711,0.0444697833523375,0.146869363566091,0.280125852123755,0.0487345026566874,0.145029273834144,0.202060154227015,0.124087127706865,0.272458045409674,0.186535070078277,0.536640623927282,0.31100609173109,0.323347443829371,0.0442720730307188,0.241781376518219,0.0992378126758402,0.343393695506372,0.107298667609952,0.0942319642958025,0.104489724935509,0.337809255845542,0.276285191232497,0.156528213927288,0.0565812272211268,0.191153566607829,0.223467673257072,0.0814481015741558,0.0989340702724043,0.162432089527961,0.175495278883963,0.152203764034356,0.112442841318981,0.12356184084372,0.0871186137373617,0.255455532593086,0.59539848937882,0.292252467843255,0.25377375244184,0.0464703795672224,0.073723184144615,0.336680092619618,0.0436725688748091,0.0920497044275546,0.0765942072619979,0.419025126795462,0.328504709886804,0.281626462094916,0.370847683590712,0.160478072005301,0.300104264679704,0.0814115628016733,0.209261661684246,0.0943687323219337,0.396438579688553,0.170224282789297,0.22084702017832,0.421778572151216,0.321966574233681,0.146823249269401
