"","wolverine_1","hamlet_11","joans_11","ginger_14","kubo_14","wolverine_14","kubo_15","ivy_17","kubo_17","wolverine_17","ginger_18","hamlet_18","ivy_18","kubo_18","wolverine_18","ivy_19","ophelia_19","wolverine_19","ginger_2","ginger_20","hamlet_20","korra_20","ophelia_20","hamlet_21","joans_21","korra_21","kubo_21","hamlet_22","henry_22","joans_22","korra_22","kubo_22","marshmallow_22","hamlet_23","korra_23","ginger_24","henry_24","ivy_24","kubo_24","marshmallow_24","ophelia_24","wolverine_24","henry_25","kubo_25","ginger_29","henry_29","joans_29","korra_29","kubo_30","hamlet_31","ginger_36","henry_36","joans_36","kubo_37","ophelia_37","wolverine_37","ginger_41","hamlet_41","joans_41","marshmallow_41","ginger_42","henry_42","ivy_42","ophelia_43","ginger_44","ivy_44","joans_44","marshmallow_44","hamlet_45","henry_45","ivy_45","joans_45","korra_45","marshmallow_45","ophelia_45","charles_46","hamlet_46","ivy_46","joans_46","marshmallow_46","ginger_47","ivy_47","marshmallow_47","charles_48","hamlet_48","henry_48","ivy_48","joans_48","korra_48","kubo_48","marshmallow_48","ophelia_48","wolverine_48","charles_49","ginger_49","henry_49","ivy_49","joans_49","kubo_49","marshmallow_49","ophelia_49","wolverine_49","charles_50","ginger_50","ivy_50","joans_50","korra_50","kubo_50","ophelia_50","wolverine_50","charles_51","joans_51","charles_52","ginger_52","kubo_52","marshmallow_52","kubo_53","marshmallow_53","charles_55","ginger_55","ivy_55","ophelia_55","joans_56","joans_57","ophelia_57","wolverine_57","ginger_58","wolverine_58","hamlet_59","henry_59","ophelia_59","korra_6","joans_60","marshmallow_60","wolverine_60","joans_62","henry_66","hamlet_67","ivy_67","ginger_7","charles_9","henry_9","ivy_9","korra_9","ophelia_9"
"wolverine_1",0,1.01687376783692,3.28870289234765,1.55014656916501,6.79756934826807,2.6168392208243,3.91924658173628,3.73917537298015,2.74478804037928,1.0800796873142,1.54893538196084,1.15893760796597,1.75734526751894,0.852344088746786,0.580246634188129,1.10225391252306,1.12774937984566,2.73618060280483,7.01783772755377,1.11498423650311,5.35881841888525,4.8683245813632,5.70170147758401,3.71869836450463,2.04602290684812,4.92369998187577,2.94160349017717,7.00392910925101,3.60353805829885,4.16886840739518,6.01849015390968,2.53673150219337,1.20982106072835,1.28509586141024,5.61830470040152,1.52504864833802,3.68801556823588,0.729326571275031,4.42422213262347,2.36710712919048,1.67245656805021,0.967072019212439,5.34292657274467,1.53848673421846,0.540140097220901,3.49473848622886,1.62460731030707,6.48030853492747,2.31556589740903,1.76476308814269,2.57041191083169,1.27565385448573,1.92912779467366,1.42920336662378,7.2540269120931,1.31972402006362,4.7851103307389,2.01919137772019,3.38018831785272,2.53903357822036,5.26157196644526,1.02960507279267,2.1229902459967,3.77131955564535,0.470284617207163,1.54190925107806,2.07742159739004,1.57323229372191,1.55596511361302,0.712766391626684,5.78737634623038,2.21641713051165,3.85317818004047,2.53253872978231,3.67110634805099,1.31521460369493,1.60023366703632,1.48088751259513,1.83814462095036,1.87441130331502,3.15942250748253,1.5363296647319,4.83839788421839,3.3227735900233,1.18351582160557,1.02233336921899,0.62861370563015,1.58033659897782,4.4916345361203,0.500717035295537,4.44325359816044,3.08515700349181,4.8137614007025,5.57416734464704,1.68327934156802,0.768446961582917,1.62185405065448,2.30956072336748,0.434287126913227,2.50096070872565,3.3765457811219,3.12393370044484,2.65480376568842,1.08426274615648,2.04827336592078,1.68131676119378,1.67359428967007,0.66167547043894,7.65784641495221,5.17067489883974,2.07213643040029,2.20646563273967,1.52026061453656,0.74448843357964,5.66633053612482,3.95251814535119,1.31660236200323,2.79291044633037,1.20906979747435,0.898812800978529,0.493790251088242,5.17809604611317,1.89028199189729,5.44039524055702,2.59544213785327,6.09573023748566,1.09078000477798,4.88969742336051,2.84547324222568,1.44074380083811,5.6971440189205,1.23650960916377,3.07745154393736,5.69252064070833,2.76484943682869,1.81921844829963,1.35884978408371,2.33017030922704,4.20164446675611,7.04731325331622,6.46757632959214,5.80349146258528,4.69255855260966,1.67375952343154,0.780504023063748
"hamlet_11",1.01687376783692,0,3.02877983773193,1.95520707336175,6.51211902349078,2.82821063448476,3.67157077767927,3.6566343899735,2.62911772878621,1.22368627137344,2.00609001720049,0.767975764702623,2.38009666598844,1.11142984263878,0.772881286816056,1.44872326649322,1.35617963781656,2.9430922324632,6.77261051695735,0.599579167519743,4.94793371320392,4.70124106235126,5.39247656874904,3.31406059174741,2.11097482939149,4.65796741395457,2.53752170077344,6.62347351168236,3.39201317590535,3.89801049437802,5.79479546403285,2.15412091193158,0.813325491697398,0.770248999634616,5.41016115748307,1.38739758414476,3.58498898274518,0.932876713902903,4.18117621651165,1.63183093173001,1.87898063723371,1.44886770804111,5.25446906064453,0.968259394504427,0.700430578183363,3.43255591895017,1.28678042557151,6.20901729066003,1.54959944299454,1.94036414515852,2.59870316915151,1.02601872513585,1.90586148909502,1.35667558778435,6.95667913961073,1.28682132500033,4.65218117352293,1.97380219657208,3.237757665803,3.04600531274094,5.18963882309066,1.60646914234452,2.61656611644957,3.76274013234153,0.970655297239318,1.49010864856912,2.00896579241813,0.871415950330577,1.98219068012683,0.969277077708432,5.72701978031433,2.34467983996601,3.80431924180837,1.8316439492324,3.77446475235121,1.0723943339118,1.9095481921263,1.55083353790263,1.85060536078391,1.2608542740932,3.09537034828508,2.16959760829521,4.52667939171509,3.87168942851716,1.16205689623692,0.468325387771085,1.10579276582507,1.52465382274963,4.32023919201304,0.767586505480578,4.06739736203311,3.15114225676087,4.6436936059173,6.13130602547152,1.55926124451681,0.71506968917901,1.91676167662489,2.31365072517015,1.00953314425675,1.92269653824934,3.30114453372726,3.12316918204019,3.255370058945,1.03694974472186,2.16396401982582,1.93435575991853,1.43972044665957,0.884187850205938,7.35177620319493,4.93060249274446,2.59009781108064,2.20146299209796,1.91132383810376,0.987017965843207,5.45653319446456,3.8287961989496,0.786443210409732,2.12391713651752,0.729765089546973,1.03537873223748,1.05372769619519,4.99984124147564,1.99370084156731,5.01952830479285,2.74389955870181,5.73853558275394,1.00963671167341,4.55089628409328,2.66120103107277,1.60901710422722,5.54652367490295,0.838463215650975,2.78473444848813,5.46534375096326,2.87449772088876,2.00062210209532,1.85350350610246,2.96261550585744,4.13937148486806,6.80347593081629,6.20616305278112,5.57387114694001,4.5381595880177,2.02252369170238,0.984574144793024
"joans_11",3.28870289234765,3.02877983773193,0,3.75540136677633,3.88861061984523,3.59817542251455,1.2543194747961,1.35125185516058,1.04314662582478,3.42057942764572,3.75162195000822,3.22328293728665,3.36323534743824,2.71649966730027,3.20382297780448,2.84992769157506,3.06983196942192,3.82904692176543,4.1474277267345,3.09024944538149,2.71124694912331,2.02897986120247,2.90664211680449,1.70474095256486,3.85804711780172,2.07552275038057,1.07946341590577,4.03282012394649,1.28170468615514,1.42899599978503,3.15276716780282,1.15088151895177,3.52755850048925,2.47310830722202,2.76114807970628,3.86757151717816,1.52533732213449,3.07924413245902,1.50797117969261,4.10250278847021,2.87166970583574,3.19308031431082,2.76729939412639,3.25848155324493,3.31560230335808,1.38420773565505,3.82683432655311,3.5879261605755,1.97831234456032,2.31383613969522,1.42684207201294,2.24155145018375,4.06786011606479,1.99646273365225,4.35459280532362,3.04422309559857,2.20753704651661,1.78810209590491,0.899479590891776,3.71437073531785,2.73686945270099,3.37836833731882,3.54314382466649,2.38046971154706,3.29242807473419,2.54676320941533,3.88731253506329,3.15754978192379,3.18912845462402,3.42451224774456,5.82889561622084,3.98635914827667,1.47704666372005,4.26199725953136,2.85525505662279,3.53933410838321,3.02219490269989,3.79992201587631,3.85015543346344,3.6395396059157,1.12698580731091,3.93798547466846,1.97460458440647,4.19810698100711,2.99876355514786,3.10839037054254,3.2086532574705,2.14972346829057,1.70802718731763,3.30107794296644,1.51741399907723,2.99418378839162,2.26872909977595,6.08213197493084,3.78609875521531,2.98311869331662,2.14324406113625,3.95211616461523,3.40544927220643,1.45872699264287,1.87269974132358,1.64824405717793,3.82309146687639,3.52812651710885,4.04489768486387,3.6403104730831,1.98271076880623,2.83988875321547,4.81441107216109,2.55616479565886,3.40527574167141,3.73170171790718,3.25227396097741,3.48276993711932,2.74335279600068,1.49258381481882,2.52655785106409,4.4814095347913,3.10220752771216,3.51205902168488,3.17263161382458,2.90073467492213,3.82016881332637,2.77191396711389,2.37630767923128,3.27316541313473,3.56710962543705,2.35515906566114,1.46882692148481,3.32398784760248,3.35497937436074,2.93620006125333,1.10429853469831,3.35130033278599,1.84162604733275,3.28226487482248,3.09810454708629,3.39757709597662,1.54200888498581,4.14880658115884,3.60667095237792,2.87261892094098,1.9433501955359,2.36965291756935,3.10029349188179
"ginger_14",1.55014656916501,1.95520707336175,3.75540136677633,0,7.48034150920378,3.82661843207196,4.49179089601534,4.36173153635367,3.24038874557923,1.19056597368169,1.53240357986177,1.76892932735729,2.95636877153888,1.98018265987684,1.76052949299627,2.21070922272166,2.45875465114268,3.73868529530448,7.71470316123451,2.02800595788175,5.74573506886,5.51436563641542,6.21385562026529,4.03904184890436,1.74347490769835,5.57880072975379,3.65120479487733,7.5169493701952,4.39175488062937,4.69635238980623,6.69615321520339,3.31845732204665,1.78395065705017,2.14651676106056,6.27654384218412,1.27429647254992,4.45627208636882,2.0321029814556,4.98826921512825,2.69492748924161,2.874881160293,1.66531627320139,6.04468801956858,2.65555561582605,1.39791126513706,4.21551339621502,1.84375622579131,7.14238451489052,3.00800341734167,2.46067776183951,3.27007351676677,2.25497606530539,1.8169570013669,2.0272613896948,7.93958620519843,2.19298596381769,5.50725289584159,2.9015571060807,3.93435820059022,3.18960178868789,5.98726749268487,1.65699297176574,3.26626679726747,4.66743273799299,1.30719308514217,1.80891153726665,2.18758313875835,2.04538609799001,2.43925208433092,1.06273806724935,5.79474351148528,2.2572111818522,4.47873733988895,2.73737560610636,4.60576914671619,1.68642686989413,2.32157104918008,0.769144236372598,1.87976098891623,2.13348991115789,3.62249293826983,1.20703473926417,5.52529979104203,4.58465193726797,2.52598298686045,1.80297868608644,1.37232275509224,2.19882275578995,5.10573742139114,1.52031288106509,5.06522790582646,4.27973386519481,5.27595373508533,6.74076969072878,1.05352082458242,1.74586032411309,1.99802253404204,2.34577836873894,1.34930976973017,3.07889050226437,4.36661625853404,3.72384721098575,3.87816504851818,1.07145484539166,1.77109404655414,1.86010653620665,2.31840390959064,1.88053442798129,8.36661967807022,5.46776425994829,3.35479966489653,2.47372713952399,2.83176932867434,1.2969971205809,6.30741543767316,4.65250927141954,1.98051866922148,2.90857090552085,2.27818192212902,1.02397803454734,1.80068638467431,5.90346758625838,1.60002080981094,5.77774986533885,3.68303133680793,6.45143152087878,1.1477459302703,5.17183436848183,3.72192977879673,1.50789994087827,6.55292144528827,2.47002272565102,3.4286630454462,6.58693052129467,3.31045618320067,1.19304923788952,2.63292302233206,3.17922404360746,4.75210764594794,7.70510834765352,7.11814838665597,6.41566077068573,5.40998492951103,2.59280099049087,2.01247903554631
"kubo_14",6.79756934826807,6.51211902349078,3.88861061984523,7.48034150920378,0,6.12879809898675,3.04727014386872,3.72995734266589,4.2882721858169,6.97600088071111,7.38230744037053,6.81937532913262,6.4597016810469,6.14369776673442,6.6320342267555,6.25910415347846,6.29889206939855,6.75644337307101,0.638205007099091,6.57369282306862,3.48502868619572,2.1488043898994,2.65340016558642,4.39386469678755,7.69757133828109,1.93208662829343,4.0245695506884,2.2974299124253,3.23411608179458,3.02050195402551,0.91107745009841,4.39771731981738,7.11341556601375,5.9818569720841,1.30066078832462,7.5570258385132,3.24011439532997,6.54006839185797,2.51796091178255,7.54904907085411,5.78918493191537,6.64312229954706,1.88795202466478,6.53681324231834,6.8870663043674,3.46983391777093,7.49539882678104,0.430385699665671,5.27984241320908,5.55017461374902,4.45590465285721,5.73969423349626,7.81673185041524,5.57418852257686,0.530984898341691,6.59618790425192,2.24799444411425,4.96925038935765,3.7932349191292,6.59249603993551,2.02607867103982,6.84076510207238,6.55034687247013,3.66427349171156,6.82820548805804,6.35978898504202,7.63246869321113,6.74186947573457,6.44796716330793,7.04962248893913,7.91449656478216,7.73924480319188,3.2400832513786,7.72303725002404,4.29747712349254,7.23722025389263,6.36934984635583,7.52826713804352,7.6270656969148,7.21712560038039,3.93546886576055,7.58981339527232,2.09507564874037,6.29259093457316,6.21816434771992,6.64679215543092,6.85919059858192,5.79809250424515,2.43522488904972,6.88214700515962,2.54022328667758,4.8748339694584,3.76216768910279,7.01365504500042,7.48691876730466,6.525324301142,5.72723459381002,7.70312444290121,6.99125532932127,4.86828716009819,3.63782729752378,4.62799709320736,6.18961894792974,7.19849596021749,7.86127761332765,7.38281526343605,5.54719293273427,6.34621705047487,1.03856127203386,3.69258683530384,6.11117368180737,7.37935066357682,6.3363869549632,7.09848245116734,1.26628022778994,3.03588365506252,6.09733190667707,7.92848621763834,6.52077917936112,7.18194446535334,6.63693230736941,2.42229049111629,7.6426422724577,3.81232784010656,4.80937252441442,3.3931459291059,7.23740063524044,3.87767275415824,4.06781867585631,6.98612900111976,1.88702293323843,6.2479554294836,4.64546824121047,1.82923363954305,4.94580974518016,7.14955368834256,6.24555728304379,6.17396498036478,2.95440541801253,0.477612095851876,0.965348165433292,1.16998695792731,2.24623309865597,5.56835869806224,6.45801981148905
"wolverine_14",2.6168392208243,2.82821063448476,3.59817542251455,3.82661843207196,6.12879809898675,0,3.7606843225001,3.29422900925005,3.17038534794337,2.96856816555316,3.8815826103327,3.1621639964115,2.06964977795152,2.39586822584979,2.41374911498383,2.47994072643907,2.22050657151044,1.48094001302534,6.42611416796969,2.85765508111285,5.41038737761094,4.59414765919546,5.45682701267021,4.23915558934311,3.9172303921271,4.57168548178927,3.12995068196536,6.65215979734449,3.49183908691314,3.98785331767381,5.47168705052845,2.93392156451217,3.36451574794375,2.8138823857895,5.15849504497128,3.92011771485737,3.51130150841549,2.1878399105862,4.19794794613906,4.09689390392846,1.49287047849938,2.21639586476944,4.86949050069396,2.82487589568458,2.95152278895519,3.45206265478834,3.7342494389528,5.83142650657697,3.32365180368214,2.51965416207204,3.20313770224192,2.60481124239705,4.17481655452299,2.64387963192703,6.51954824427767,2.22744211749817,4.51236031845865,2.52906153247338,3.83071275820779,3.04536213650491,4.79892702544802,3.05490253663208,1.40091566511715,3.176511826961,2.75231518618082,3.13654666138613,3.71932390994002,3.53520223240787,2.5755077218548,3.1250953854438,6.36766660511118,3.72916387609396,3.75976800202957,4.36679871059092,2.95470803971138,3.22321745651781,2.91042887618601,3.85777194226081,3.66973332265948,3.94984165301024,3.41627403229577,3.97961887859856,4.64781342689089,2.33420289964181,1.96832672904462,2.90048611159519,2.87724501259239,3.11751694465456,4.2500989660993,2.68807780267627,4.27038819372893,2.09916160064032,4.50358436315785,4.65067051563283,3.78902597490593,2.69326831071829,3.1184374941272,3.6553275231248,3.02442775607757,3.48169327580994,2.81478878329039,3.23585918059186,2.42155255866453,3.43878738865452,3.80660936236973,3.21347913319102,3.02670669255257,2.52402141428766,6.84443297692172,5.3534364902987,2.2128131193842,3.13194998583801,2.23581224452639,3.29382361504458,5.18469113651097,3.97520470601927,2.88939575686445,4.65766280803053,2.69712502181987,3.25926682390727,2.69801600209768,4.53855416092347,3.71300244184474,5.59155521121212,1.9306108631556,5.98774196596736,3.42682952727553,4.97746663420297,2.64465922785683,3.50542634283175,4.797994131359,2.30056581850763,3.64237270139387,4.7799412845047,3.15708103575837,3.77381507470218,2.20043627295706,2.59547519853539,4.2238889688591,6.40975742712915,5.74428448801572,5.41014248592269,4.26864043560601,2.5528535702176,2.14805181566118
"kubo_15",3.91924658173628,3.67157077767927,1.2543194747961,4.49179089601534,3.04727014386872,3.7606843225001,0,1.67121020207782,1.29716995981286,3.98129630913302,4.56005443675483,3.95969211223865,3.94728431724741,3.26781552455382,3.7356177406453,3.50370197775945,3.56089331816848,4.38058197961619,3.37692197482435,3.73674937591465,2.54768335662887,1.45833639127378,2.41522139087747,2.04727141317978,4.87359368081216,1.18443586678556,1.20643172017026,3.4683463591016,0.911891011291317,0.670896193668211,2.32774419504766,1.60872234963821,4.2843784744751,3.1265806196219,1.93661697805469,4.66535976136511,1.03074235629851,3.72650388191386,0.605674743969044,4.88470532044016,3.05587199339826,3.6932100731819,1.96499670515568,3.87192317841732,3.98654019979705,1.07673780124035,4.69332108886688,2.68786803950511,2.65416976861948,2.6633080402228,1.81558470409911,2.90673483200912,5.02773654737077,2.59943558046298,3.50559539667057,3.80332937684529,1.55273042487901,2.16452572724468,1.45698366296239,4.0385545843264,2.00227071458525,3.9854687384301,4.07440511397023,1.80439285496352,3.88447426200404,3.54153307102092,4.87730978872714,3.97330784651145,3.70076760359211,4.10138425857236,6.01889069194562,4.99482845400778,1.0474760978492,5.05939641907474,2.42853545584831,4.38050693582428,3.60089534736026,4.57158406180714,4.82293672277563,4.47092773665793,1.0467066156814,4.74505874969371,1.40777889811332,4.37155274625743,3.46367209950357,3.7628876239573,3.96966431967856,3.01346245425967,0.895333149503673,3.99383759059587,0.946853160834416,2.79380977661558,2.45447229579585,5.91745201095822,4.52155096295638,3.63577229943402,2.8787662877137,4.96100617211846,4.11111927765365,2.20021266138033,1.47774414969366,2.26496327962697,3.98623018073103,4.26370137267098,5.02730849438749,4.56088912897683,2.69878869951877,3.51109671332875,3.93407408096633,2.54763539351722,3.69705210878972,4.63335685875193,3.73775746158994,4.21944124717372,1.97469104116065,1.1802527235233,3.21125890212279,5.29831628511503,3.74509622406909,4.24040696400376,3.82145192181771,1.98243616765467,4.76972667390366,2.89696092907723,2.34475891946591,3.10212524280472,4.31193132070791,2.35602794308179,1.32071324463845,4.09827307389309,2.4530594754814,3.50092365838497,2.06914443718886,2.42065219668873,2.39761046811249,4.25048432054611,3.58433160696515,3.65722335755279,1.21845698288178,3.31213328609912,2.73065887841393,2.08905771818668,1.37842062200915,2.82844882706796,3.58186159744986
"ivy_17",3.73917537298015,3.6566343899735,1.35125185516058,4.36173153635367,3.72995734266589,3.29422900925005,1.67121020207782,0,1.80240203649075,3.97785767050232,4.38485827329462,3.92373862683421,3.30575749290885,3.2218389905706,3.67983151008572,3.25897567105638,3.47483073769132,3.46874488548675,3.98256978274284,3.74453513402932,3.29889590226806,2.0018646924925,3.1665179633194,2.67549522772698,4.35308111038366,2.19269230690432,1.8784892903238,4.24835777093632,1.58162507991472,1.80994801605768,3.00684488624737,1.94298283618395,4.22078205976416,3.16479888364565,2.6732504528998,4.58233282196941,1.60387808436667,3.41250604464269,1.75930524147881,4.83814344495704,3.0372682125096,3.51298504737542,2.53275175923467,3.86086366118362,3.89605156818811,1.57094465858422,4.4766008986979,3.4491043301114,2.88292774538088,2.77080247890637,1.92406803775636,2.86307684250503,4.72394796170035,2.60652138612896,4.18240580038888,3.29819189626766,2.14868406590128,2.15521911017647,1.61574572040429,3.98389765244784,2.47674925097508,3.83973676221472,3.26682720761127,2.36191387917909,3.81307972634365,3.04939153647281,4.38499851205711,3.94510453543472,3.57976499335953,4.01876166124685,6.18768468858616,4.38383233526893,1.68755589951982,5.04296601927552,2.80203256311663,4.10942950871829,3.53215861581469,4.48722730135821,4.36259033098351,4.44726163463197,1.63801692852088,4.48918563450499,2.22273221252973,3.77163353511749,3.37690922543579,3.76996887410939,3.71431933346894,2.85996342384435,1.84922708160299,3.78453331116186,1.94125790681982,2.9597465861165,2.14187267393743,5.62616952733146,4.46702743688564,3.57302004974467,2.63837557649186,4.31880837273231,3.94464706212543,2.52031620397831,1.85401866873708,1.68018281721406,3.71188832883931,4.1918691030169,4.47462179015439,4.02362286894234,2.80476986921696,3.30732515539152,4.6185852147283,3.07108631038888,3.44921063520831,4.04156484058727,3.52291601582656,4.09513846806369,2.61946531104946,1.80261205000419,3.21668940336926,5.26043446822647,3.68963592354382,4.11468048571578,3.66720660189263,2.79285381435985,4.33887697170775,3.38286007260863,2.31623278922653,3.64713250300508,4.22331392273103,2.91880469618274,1.78157634130698,4.02398470366896,3.05135845526828,3.43041232414949,1.92444156989454,2.95393888596763,2.03477638662131,3.85213160271312,3.35456906054375,3.47648886412921,1.70896500987962,3.97425476119566,3.38723400875363,2.85624500588105,1.74661069972067,2.75693095204892,3.53237004381246
"kubo_17",2.74478804037928,2.62911772878621,1.04314662582478,3.24038874557923,4.2882721858169,3.17038534794337,1.29716995981286,1.80240203649075,0,2.82703871342933,3.30746214241357,2.8363519799029,2.98402213268588,2.10490383344453,2.63129683416695,2.39974059975605,2.50758541359186,3.68441496675258,4.552452486993,2.66007493714929,3.1242465036787,2.40052182367354,3.26754568794813,1.85977898960522,3.72694762236269,2.38296267822016,0.954069632653289,4.50669441309286,1.33841160915535,1.57015193524812,3.50630433590589,0.969966932620137,3.17800981356364,2.05610789158812,3.0881615604053,3.51613357640121,1.40545831947675,2.65595114657497,1.79848693855464,3.97079597140743,2.16567138785292,2.55760059733189,2.92514808532181,2.93438746047093,2.82846874486418,1.18124693904573,3.61070056719624,3.93803005305347,1.97458137078984,1.56175780989751,0.991870000801751,1.81732516409205,3.87327154606491,1.42718155251895,4.75710417469391,2.8000750737666,2.42119506508597,1.20000982787288,1.25066820703045,3.03493789648969,2.89914401230477,2.79235502879495,3.22897897385644,2.03426763103438,2.70167707048154,2.43596116751145,3.78301547895154,2.94388785284148,2.57799540689932,2.9087094827526,5.57192348257985,3.88028285105862,1.37941613566037,4.13239720746451,2.39797029597761,3.27191526164517,2.44629667539677,3.37653508996401,3.68935757708318,3.4442475789446,0.572268362078817,3.48700984158209,2.43847194948335,3.78817348318121,2.47502376677082,2.66311082045611,2.77380060974736,1.8700273857233,1.91348086413734,2.85308338708861,2.00846977645949,2.51718620431865,2.78363346664279,5.62958643004665,3.38299391576526,2.48216436979525,1.65659846359805,3.89568478399912,2.91827874414857,1.51756956230549,1.60599959142847,1.76043948392645,3.22951371067612,3.09607524682699,3.89623507623142,3.40482702798927,1.56743396962467,2.38497512011772,5.19239567525671,2.92157696162913,2.82020789076589,3.6026974431466,2.73392933662536,3.03576117893309,3.12970352285931,1.63688168774419,2.15717340615296,4.38933279698409,2.71574005350751,3.0553531825717,2.67155818799871,2.92448033647063,3.5980189087088,3.34979051886971,1.7773269892526,3.78383806577357,3.15110769059447,2.70650375070714,0.978719407166279,2.86996795581756,3.48273816321724,2.53206329883855,1.51952454039327,3.49695202910769,1.63868202159714,3.04984821994559,2.53108970649147,2.68754331783806,1.73561505472993,4.52287684457761,3.95846233013679,3.24935999624433,2.31382140007388,1.71048735648465,2.49090065019854
"wolverine_17",1.0800796873142,1.22368627137344,3.42057942764572,1.19056597368169,6.97600088071111,2.96856816555316,3.98129630913302,3.97785767050232,2.82703871342933,0,2.02495246431288,1.36137511893195,2.66054104547954,1.40456379453233,0.861963470120534,1.85880866720979,1.84610558806394,3.13068637101292,7.26278542156573,1.39815523655323,5.41337331687479,5.14278873179629,5.84410769945328,3.73065612592123,2.1320309245019,5.09335171433113,3.03796190277489,7.12070963607196,3.89332375599054,4.22610548544063,6.23987993884497,2.74311088491086,1.44892988428783,1.56495607834228,5.83611184366553,1.38628042046291,3.99233236646132,1.39288875411528,4.53186971555085,2.33555812505386,2.03438038267205,0.864890388407423,5.63313054175439,1.99620228885229,0.88708053707747,3.80166126313219,1.74193093845979,6.63567255686513,2.43706611132778,1.98847992929647,2.97843017014555,1.71898746064737,2.17965893098935,1.48092795117928,7.41477093188372,1.60544144724176,5.10440153260595,2.39940820027019,3.70647775559692,2.99009740474543,5.58945800377625,1.56982906167114,2.77867078588964,4.07576643446972,0.628954430951346,1.78616553712057,2.29359296936392,1.7361280354411,2.11827551344331,0.664995383271792,5.72350906060652,2.48203013500763,4.11167936470751,2.47126061702509,4.00820324991051,1.40091297855663,2.11662045256961,1.11612640294416,2.04453491609843,1.96049036239439,3.24533404299594,1.94872436156217,5.07291443518066,4.15501006704709,1.7243129657902,1.12960546128264,1.18020790857761,2.05465047061318,4.68029252644994,0.950094640847124,4.55903802528537,3.52705515153706,5.01815260892348,6.3856388266075,1.02092150122754,1.17441462992996,1.98700899048698,2.44947140398041,1.12897374878532,2.63146542742824,3.74822782011483,3.50001168099083,3.48331322253642,0.87300340617914,2.07268284317434,1.95208165099976,1.95862280904326,1.41268284812109,7.81090588853089,5.2952043636329,2.92324063548585,2.30679821497724,2.3687323809042,1.17888568891304,5.87467939360204,4.28835896299142,1.40931350384428,2.71955962191712,1.63018037731301,0.795091292537524,1.43236262726116,5.32475045310113,1.8894283662039,5.52439555050888,3.02966903616758,6.16955795312856,0.935368806912111,4.88650119013224,3.07147955068487,1.63444026311695,5.97339350034849,1.69957939548166,3.20086487103754,5.96462952713327,3.13673988012819,1.75129806698983,2.20507717662727,2.92897725184098,4.47089524976141,7.23667917196473,6.59606841177676,5.99207225664482,4.98193590262382,2.26803086566854,1.14273951225228
