"","Hera_1","Wolverine_1","JarJarBinks_3","Goose_4","Korra_6","Hera_7","Iris_7","Korra_9","Hamlet_11","Hera_11","JarJarBinks_11","Hera_14","Iris_14","JarJarBinks_14","Kubo_14","Wolverine_14","JarJarBinks_15","Kubo_15","Iris_17","Kubo_17","Lambchop_17","Wolverine_17","Hamlet_18","Hera_18","Iris_18","JarJarBinks_18","Kubo_18","Lambchop_18","Wolverine_18","Ophelia_19","Wolverine_19","Goose_20","Hamlet_20","Hera_20","Iris_20","Korra_20","Ophelia_20","Hamlet_21","JarJarBinks_21","Korra_21","Kubo_21","Goose_22","Hamlet_22","Hera_22","Iris_22","Kubo_22","Hamlet_23","Iris_23","Korra_23","Hera_24","Kubo_24","Ophelia_24","Wolverine_24","Kubo_25","JarJarBinks_29","Korra_29","Kubo_30","Hamlet_31","JarJarBinks_32","Goose_37","Hera_37","Kubo_37","Lambchop_37","Ophelia_37","Wolverine_37","Hamlet_41","Hera_41","Goose_42","Lambchop_42","Ophelia_43","Goose_44","Iris_44","Lambchop_44","Hamlet_45","Hera_45","JarJarBinks_45","Korra_45","Ophelia_45","Goose_46","Hamlet_46","Iris_46","Lambchop_46","Hamlet_48","Hera_48","Iris_48","JarJarBinks_48","Korra_48","Kubo_48","Lambchop_48","Ophelia_48","Wolverine_48","Iris_49","JarJarBinks_49","Kubo_49","Ophelia_49","Wolverine_49","JarJarBinks_50","Korra_50","Kubo_50","Lambchop_50","Ophelia_50","Wolverine_50","Lambchop_51","Goose_52","JarJarBinks_52","Kubo_52","Hera_53","Kubo_53","Iris_55","Lambchop_55","Ophelia_55","Ophelia_57","Wolverine_57","Goose_58","Wolverine_58","Goose_59","Hamlet_59","Iris_59","Ophelia_59","Iris_60","Wolverine_60","Hera_67","JarJarBinks_68"
"Hera_1",0,0.0913440626359286,0.175791608173452,0.723906878586032,0.307878106078152,0.0593386952636282,0.252505932773705,0.143689556104075,0.23221765076541,0.172494454527122,0.38801999590727,0.0808226592098142,0.498615487443904,0.188701876571871,0.648379388105416,0.19766993287555,0.138010657193606,0.259566620562471,0.294881330718778,0.128825562768738,0.695947116217308,0.171206225680934,0.191427029527407,0.150572303724005,0.336950314106225,0.302489928010039,0.102371558270756,0.509699849345231,0.0811218602999912,0.202367934844086,0.262633049259168,0.260093303868954,0.486342028128772,0.261843451268122,0.15004048582996,0.481961916882863,0.533934040569932,0.289715179117667,0.259714134462679,0.448977445980758,0.291476770287736,0.41672437193585,0.676679817340251,0.331134782178544,0.0953425138145777,0.3065066790414,0.226724678293573,0.268275422829241,0.527435960426112,0.152586241760019,0.347974864679898,0.102781971102006,0.192532088681447,0.381373738569442,0.328012769353552,0.589525664482874,0.406085864352592,0.101087288764683,0.426970246636164,0.318807929969104,0.157726309052362,0.0626617870213336,0.36597057854211,0.684635996185113,0.191548858163741,0.212576744186047,0.135503901303158,0.267978830122107,0.147416666666667,0.320037314633126,0.24991041353114,0.225110923691834,0.171479996727481,0.0934190782422294,0.168241666996165,0.683106300170275,0.283591184535699,0.289495756030463,0.262478635459904,0.112630563362557,0.340468018720749,0.111414693381906,0.219898794463462,0.260280736404035,0.234332325843924,0.524310472722368,0.36622038517986,0.130897957471795,0.211926293087139,0.332782666709026,0.419133395573617,0.191208961587658,0.316296200568622,0.121251850285473,0.357833891086097,0.297083637813061,0.248535208266752,0.19621623675113,0.203336730457102,0.0399367706541448,0.727128447947954,0.418993493122478,0.0401288672004548,0.21613144137416,0.290113889076083,0.523324239623024,0.26248100908031,0.203465858988613,0.1993583868011,0.221600894711615,0.517377712394263,0.222985129429044,0.554580315296123,0.371693239511891,0.353555383423703,0.301544350580781,0.26236491005738,0.336599459832925,0.573646238651103,0.40325813828736,0.217613132209406,0.0848355229656788,0.292745681157483
"Wolverine_1",0.0913440626359286,0,0.115675990675991,0.684980741236941,0.235710941158108,0.0384424603174603,0.19733732734232,0.0887087653157398,0.16064047792713,0.200586311872815,0.320636330825398,0.141927951967979,0.436756360973824,0.11407600245869,0.600907992291864,0.137881300930266,0.171214861088279,0.187310473524609,0.220898375278751,0.160570220098692,0.654157758523686,0.221303406182319,0.14376306118037,0.0972806490384615,0.264746474647465,0.232005982426622,0.0262774297758342,0.449473941766577,0.0233303212026616,0.126601489429287,0.187265295271011,0.215725075030507,0.432458560279173,0.194124863233978,0.0721937235968618,0.418748535270682,0.476296138254747,0.234039828392137,0.186983779480545,0.385657650424048,0.219773178701865,0.350652775946195,0.632051243315104,0.279166018360044,0.0586657999512472,0.234733122791658,0.15902256938444,0.217929108199774,0.469746077400245,0.102452993707374,0.278108251369339,0.12965555866704,0.216781186489887,0.319607898210825,0.258472402450433,0.536672935544538,0.342579524481598,0.133573422894833,0.360241554620764,0.246989417345822,0.081570996978852,0.0842348666281278,0.295177470232175,0.640896432833842,0.111973875181422,0.13661240283055,0.0900308090220988,0.211549103219296,0.0984813265147993,0.250615520228578,0.191264553469278,0.148643537461747,0.123847970142433,0.102518200262561,0.0922776076449101,0.639610581760076,0.209722177920959,0.217242797052405,0.208818608313376,0.0776188062843554,0.270450652648987,0.182610307749351,0.144729503625209,0.186501359146059,0.158610323506303,0.46448087431694,0.298843717151055,0.0499317871759891,0.165539463900004,0.261858271501096,0.352341093382161,0.127811379522654,0.244353558784031,0.0451349334171348,0.288564673317571,0.222946299893477,0.172922296733727,0.129198507197441,0.124041688747571,0.0862312936838043,0.688493715808489,0.359487380672159,0.0839041843012348,0.170747062115277,0.218291521117815,0.465135925484674,0.202722895566993,0.131672342713748,0.127803971995999,0.266015833697606,0.458425280254215,0.147794953007195,0.504143419757138,0.301214323951202,0.295273858069059,0.237949931498319,0.189384162282008,0.263029654721578,0.519039799827977,0.335231393193844,0.140609840609841,0.156456876456876,0.218563911906487
"JarJarBinks_3",0.175791608173452,0.115675990675991,0,0.628430139136284,0.140303842716711,0.128361767116144,0.0900639163277164,0.167757633914802,0.0583558594371124,0.274529236868186,0.228143666123652,0.217283579848337,0.357435609819233,0.159645013361486,0.533402203856749,0.220086876398578,0.254650559549396,0.234118115298656,0.129068264598755,0.241308358166596,0.593708474576271,0.310840226382238,0.0311760063141279,0.0289637270305349,0.17485549132948,0.135547369632785,0.116453258194529,0.368717313225935,0.133851851851852,0.0394036208732694,0.101481142159108,0.110962850644428,0.339443026739154,0.0908426024683833,0.105670986765412,0.335672050127968,0.395969630886035,0.125649197355996,0.0888692417914087,0.297120542015621,0.122062123538443,0.26081490793463,0.568092028817104,0.180143148696427,0.152339738888074,0.13838602569655,0.0539145851141292,0.113725250549988,0.388826838332352,0.0387421642174494,0.212662515022397,0.21731582944559,0.321183533447684,0.223828319000444,0.162973931994077,0.461687313500317,0.247404931895286,0.222275002740527,0.272902929739391,0.152850469919523,0.127914474800611,0.176615064007145,0.204344264461063,0.578038370460701,0.0303170715562322,0.0896908203311956,0.174987044394541,0.103220973782772,0.0655518864610413,0.217393750175794,0.0815519584826393,0.10546050351325,0.0432346430547869,0.197581950991328,0.107369694525658,0.576692007630762,0.248522276135862,0.262684912321653,0.103485740153916,0.161702879349938,0.176415817723738,0.268427569129179,0.0497734669134069,0.0887263863497867,0.0664327998245999,0.385083651665884,0.217076585739571,0.0760535518739624,0.0581647515779252,0.167515232451381,0.264406613834263,0.0389558896415001,0.149867299113445,0.079648536160222,0.195253910434969,0.129468934397779,0.0771446961105832,0.0384228133424275,0.0298136244710746,0.17543792107796,0.63207652372161,0.264203086404657,0.177413678489031,0.0638161684695641,0.121134020618557,0.384542903377783,0.0923738899569715,0.0274640741104455,0.0290375203915171,0.3450070989115,0.37661038148843,0.21396801362733,0.41975644866358,0.211314126930034,0.24645491412863,0.134656312913431,0.13692087731573,0.175718849840256,0.442965991451403,0.248689983703147,0.155676842038459,0.249170262197146,0.124647457331434
"Goose_4",0.723906878586032,0.684980741236941,0.628430139136284,0,0.538911147772802,0.699676694755703,0.591553034873899,0.654946439823566,0.598559106057636,0.643216839560882,0.4686191526721,0.70157143043133,0.370821203990511,0.622176387266718,0.143951814411839,0.627080773097978,0.691538032842127,0.574957143202067,0.567084248649291,0.666866601156217,0.098425609864349,0.783924201200421,0.619752044577371,0.645105665269544,0.53806511519935,0.538642706579211,0.671363543371522,0.347794072528686,0.690816498425574,0.611030335888021,0.600656085677071,0.578981550525582,0.370196144315175,0.572723109922156,0.661872770586234,0.372742028378449,0.309694568433723,0.552171688932773,0.572916164489225,0.408129133892252,0.552422089744047,0.441635441921975,0.134020618556701,0.546516007532956,0.700951716835186,0.538641133882037,0.59663886102889,0.611068891060206,0.315005934777798,0.644372763469583,0.50409642441492,0.677160700059109,0.776571280837109,0.475324557832361,0.519043298201531,0.236910473517532,0.45515172467631,0.690113234801001,0.428527748050757,0.528567595001692,0.64063991159777,0.695001492672923,0.489399413729634,0.0812136477372529,0.629483112520993,0.605088821277849,0.652156327417969,0.570583869963852,0.663033940765797,0.524333908823667,0.582932532134766,0.614030375543293,0.650443205240064,0.681998922552013,0.634821339205285,0.235946284869574,0.556215548374834,0.549073942494434,0.582743139749838,0.671746776084408,0.524819177039233,0.763632209244499,0.601903990774478,0.573254931257606,0.609150040195863,0.320487470239296,0.484799600109061,0.665239551478084,0.613253398465448,0.516872982325754,0.44541211355774,0.641205430404297,0.529846125086168,0.671699752178023,0.493663364073731,0.553591447081175,0.581656561752699,0.614303359683794,0.613188709478615,0.718645759462086,0.0495728846712205,0.437755326158577,0.724677862272919,0.609712959209993,0.549451461780229,0.320537428023033,0.573040752351097,0.617195242814668,0.63212531396543,0.787642683956739,0.340561029539132,0.598715067422318,0.285960404422261,0.488326275504427,0.502485272459499,0.541634781789713,0.572178604113482,0.537991882422322,0.257633606139583,0.477191969441237,0.611923853828732,0.756580276001346,0.555792062816328
"Korra_6",0.307878106078152,0.235710941158108,0.140303842716711,0.538911147772802,0,0.263134447096261,0.0889532700252159,0.247941228745779,0.0907728181212525,0.33209219858156,0.132941829279571,0.317423198898036,0.234505369377859,0.231069074233305,0.428688273182701,0.280006863614265,0.319119277680976,0.292196981902153,0.100018123915801,0.31076998199408,0.500695783170984,0.425387491378997,0.124360476748507,0.16720323714446,0.111900007395903,0.0246904162534645,0.213453519744911,0.321939068787124,0.244307926153456,0.131136478659394,0.170667666916729,0.0665708047078873,0.224236564338087,0.0542332994598064,0.204563639057638,0.214115383844659,0.276971702123727,0.185379676085996,0.0979133226324238,0.214602756599486,0.129606991442765,0.179852928147426,0.469078132022281,0.0797094086567771,0.270072534304644,0.0818075177232621,0.0952275617983742,0.133781863993352,0.272193526810598,0.16415965888902,0.267655555825302,0.285944771951598,0.409369511452023,0.102904099355682,0.11746346296755,0.348398303103183,0.129205708192481,0.297439429036499,0.156974468270193,0.0406062267866491,0.208964868993068,0.273663794473944,0.0764226109094338,0.47990732603659,0.141493978673871,0.173663697104677,0.254742870779143,0.0628655741160352,0.201634135270086,0.278281670487392,0.0904170387810885,0.185042405551272,0.174823086799439,0.282730923694779,0.188024231127679,0.478943077478248,0.309299191374663,0.320601256048595,0.0759929999469693,0.261282082471719,0.125684389828446,0.392689784442362,0.113276356448874,0.0984785689456937,0.143318906481126,0.26922214750056,0.274934012066365,0.198674288494284,0.114731916333089,0.190809930408173,0.243604689527748,0.169326139364022,0.0940820561542116,0.21345977363108,0.178480257664321,0.170136139562208,0.120948234155781,0.14368921058584,0.116663852777309,0.306539241997774,0.542762000797317,0.302322512536289,0.308967895993632,0.110676901605024,0.049970301887767,0.270571931533016,0.0591731819642283,0.126907310407652,0.153878906582645,0.461073970239379,0.28211764258121,0.281532524807056,0.30995802447084,0.100454056078266,0.308567279767667,0.0336730285394801,0.206611128911674,0.0558857338518355,0.328743427700423,0.121131702051098,0.23043249383537,0.369033922532511,0.152365801087961
"Hera_7",0.0593386952636282,0.0384424603174603,0.128361767116144,0.699676694755703,0.263134447096261,0,0.205163920502803,0.098823075438935,0.185124729427629,0.21475554871716,0.346211415176932,0.132198168905622,0.460296096904442,0.143047288054128,0.618797835840591,0.162734110013272,0.185987690751201,0.214939283649104,0.249122807017544,0.174530572941743,0.669948642283574,0.222673297472851,0.145446507515473,0.103252095025755,0.292114914425428,0.258734595350019,0.0557461752714649,0.469321487361039,0.0457532861476239,0.154997655376402,0.216037447847766,0.207027700178385,0.447955790531327,0.216270176982166,0.102077059686511,0.439324774132192,0.498270644185041,0.245363113897597,0.215018451433795,0.409387422281113,0.247353287152006,0.375847741589599,0.648816784581605,0.276764472640761,0.0647392101316447,0.262312326671129,0.181442643787734,0.220268802606571,0.491376497966463,0.10594315245478,0.305025788652993,0.143888137122237,0.241822895891504,0.339582202154717,0.28496326129062,0.556687359458784,0.364519512060496,0.147823922333319,0.385091376281497,0.273037119662887,0.110186634097935,0.0971704506946797,0.319587032592036,0.657324670304346,0.143079777365492,0.165152972183638,0.10174837428449,0.217561688419515,0.0949131021347512,0.277339031868438,0.203586642847327,0.177677097601236,0.120945102932003,0.111754393117789,0.121956743290681,0.656036310430291,0.233011287856608,0.244928891612113,0.210672558668943,0.0781518309971646,0.297004691447131,0.155776018315368,0.173587862383361,0.214778725131953,0.187733314726302,0.484733743351792,0.324640781751424,0.0811738870033939,0.16289674640802,0.289268337464427,0.37772461456672,0.141883633939484,0.271319275984325,0.0648368012234878,0.314803944587931,0.247348920403731,0.197016653611688,0.150881017257039,0.153276764758982,0.0616881687288098,0.703084849502215,0.374777408637874,0.0584965708906719,0.163176327639197,0.245531088082902,0.487520579519262,0.216268429079817,0.154920285871358,0.150514861608121,0.262125231493068,0.480964523777569,0.176495410908324,0.51958788583773,0.324599375053751,0.310571437106073,0.255316447660763,0.217670302948428,0.287071783077109,0.53974597396431,0.36042161601267,0.165663716814159,0.138483685220729,0.242699733367599
"Iris_7",0.252505932773705,0.19733732734232,0.0900639163277164,0.591553034873899,0.0889532700252159,0.205163920502803,0,0.246474439687736,0.0517717576541106,0.344175824175824,0.179196354999758,0.295172272214049,0.283061270353648,0.235136778115502,0.491072100124855,0.269976043909391,0.331259509721048,0.300408487461704,0.0648868506537821,0.316502583097768,0.554854006471135,0.383935208732736,0.0758553807921932,0.10898421564628,0.0927332590153735,0.0878752979618073,0.202507673218834,0.325896414342629,0.216127614992058,0.12020490826781,0.138110601686761,0.0426836126419975,0.290678641876862,0.0425940571686815,0.14911037631869,0.285747083255067,0.348454320419089,0.170929626888176,0.0933031929923708,0.248287025744506,0.128672134295197,0.207331201631215,0.527499755028907,0.108834073519182,0.194225809692869,0.0904792606920266,0.0690543071161049,0.0546762182518334,0.341603642537429,0.11767667233025,0.273130787479911,0.293584656084656,0.393492608745996,0.171816089702786,0.115945805106826,0.416349941261834,0.198184712619098,0.299372412872213,0.22358610656483,0.0992210244708474,0.204342671741436,0.260106581582431,0.150326474079937,0.538023853813327,0.100874919976831,0.167757147067492,0.253821272277542,0.0443777110443777,0.147061664788279,0.2797965497352,0.0496267269242871,0.145254326166754,0.12409129868893,0.272547728768927,0.186359982687195,0.536543504826241,0.311198557140515,0.323205469046715,0.0441719852200202,0.24185926069787,0.0990410433448408,0.34442000074574,0.107247060210427,0.0941850941850942,0.104183567041372,0.337627565868612,0.275950744275753,0.156450255679979,0.0566837892724884,0.190646735181148,0.223242012283486,0.0813295184756803,0.0988502118030889,0.163061889250814,0.175253600500939,0.152175668039073,0.112392094502499,0.123554437054347,0.0869202336950042,0.255846520095225,0.59527468305801,0.291549749298496,0.253959235849727,0.0466676518398109,0.073367271935317,0.336601307189542,0.0434413711182759,0.0921600579395256,0.0757242997683444,0.419170021678538,0.328586404003244,0.281539807524059,0.37046022779887,0.159907698350353,0.300025425883549,0.0826842260231805,0.20940725283402,0.0941717870272771,0.396265891239206,0.169562555916561,0.220772366067501,0.322144382422358,0.146557784868314
"Korra_9",0.143689556104075,0.0887087653157398,0.167757633914802,0.654946439823566,0.247941228745779,0.098823075438935,0.246474439687736,0,0.214065674772236,0.137663254500529,0.274018335011393,0.139378379429727,0.405859951130385,0.0734513274336283,0.565354130597074,0.114302203211461,0.12085971982345,0.146035547712089,0.214024703288739,0.108265766592068,0.622159051895796,0.28172784609102,0.192590833531228,0.158923342858151,0.239551536245115,0.235650708223675,0.0689884158488895,0.403384747215081,0.0964747401127776,0.127229172211871,0.177720500408625,0.260142304331544,0.402320206643404,0.230460419018944,0.119249158845405,0.371567589484829,0.4347333978145,0.203932396759414,0.168434264198306,0.340404550592876,0.179888878768558,0.305161713507241,0.598244916589366,0.321932778073129,0.129437673235372,0.198077379539521,0.18678235908142,0.270560115734189,0.427802616327207,0.154978416247966,0.231131414478294,0.0915419161676647,0.265264192237259,0.335690939291647,0.210900745840505,0.497535133544257,0.346695361319263,0.092827961870177,0.315329116426171,0.240384893229693,0.0671479638326207,0.0969507729077522,0.265387949718249,0.607684791355328,0.165659256223748,0.110753041762578,0.0481187977439851,0.234311428923684,0.164481568912293,0.203281150713419,0.221971311345059,0.135038628838538,0.188377827811729,0.0802680565897245,0.0728508984944148,0.606296258891085,0.155953316804741,0.172155239637694,0.221525276363185,0.0534083436837876,0.225684979626247,0.217047941971758,0.144980434711124,0.161529053905736,0.156536327268035,0.42109866311274,0.252099019554737,0.124041200964278,0.222867440929115,0.221809665257626,0.310089354992116,0.191450194313766,0.205845680981239,0.116777041942605,0.241862381540997,0.166552718409084,0.142794043412418,0.132962690066314,0.164712934594379,0.137517968375659,0.658493782591255,0.328244656889734,0.146335524713903,0.223882566386277,0.204167043025321,0.423655195456064,0.239022551667818,0.175298804780877,0.1879269154413,0.294729293653639,0.41618656859202,0.106077348066298,0.475898959881129,0.249408856405847,0.265512426696453,0.260439138272408,0.141506480495899,0.280097238318682,0.479528735414815,0.302253940545259,0.0913252460517281,0.219004876364735,0.159285159285159
"Hamlet_11",0.23221765076541,0.16064047792713,0.0583558594371124,0.598559106057636,0.0907728181212525,0.185124729427629,0.0517717576541106,0.214065674772236,0,0.306641391031507,0.180663867226555,0.268794909376899,0.315832512108695,0.196928521772104,0.4975392116278,0.252655801784194,0.289996822146111,0.263897876345667,0.0773622770570112,0.282186769637232,0.563641206632483,0.349105122402798,0.0457108653876445,0.0833306111782576,0.125539269540985,0.0915389518609872,0.166144627536429,0.330609242839047,0.170707605434974,0.0868758121403378,0.133450704225352,0.070824832410376,0.297155172413793,0.0406442166910688,0.149601652404839,0.297456010630318,0.3554729743015,0.138063197342645,0.0524373095851887,0.252514654562872,0.0872936965599522,0.217735777014127,0.533875724890643,0.136529730926808,0.189945110652729,0.0887962190714485,0.0256971022416621,0.0620908316942137,0.351892127011744,0.0885089098532494,0.242680580810077,0.25515766231974,0.35437031028189,0.174479692867246,0.117276302321823,0.421543351580434,0.19907917615654,0.268413350985994,0.233001076325518,0.111002630651154,0.171558441558442,0.220618995284858,0.163305937005462,0.544574020985833,0.0702082474880345,0.136430407638634,0.220871862615588,0.0653414001728609,0.117412167376934,0.252114508783344,0.0361645948912689,0.149612965650701,0.0890336231692399,0.243493785621095,0.150714010034736,0.542841974377244,0.285455574419921,0.298977757807234,0.065158108500145,0.208839406207827,0.133972682359779,0.318990807744964,0.0692536034519693,0.0548382374469331,0.104082737057303,0.34815462933503,0.250535878330101,0.117595466198894,0.0292894818492088,0.159826170931917,0.225846182998176,0.0880379746835443,0.108100019046064,0.128778102288936,0.152439812779602,0.135544601331217,0.0790883929097226,0.0872867637903125,0.052579426518858,0.227462467960454,0.601594305355793,0.273730579765062,0.226995689014419,0.0346520978484393,0.0760731700442515,0.346413047812737,0.0445695519587145,0.0471082674695772,0.0738158511802407,0.394010904060542,0.335158706013589,0.25475239133067,0.380747426101136,0.169849551694443,0.276342052736632,0.0959700872455339,0.172649672591207,0.132959647211965,0.40556714117327,0.207472100921883,0.19912326098207,0.288965761232753,0.125223914017017
"Hera_11",0.172494454527122,0.200586311872815,0.274529236868186,0.643216839560882,0.33209219858156,0.21475554871716,0.344175824175824,0.137663254500529,0.306641391031507,0,0.250793147208122,0.115747023924929,0.443187061899844,0.131355644559093,0.550024587953489,0.14100003385355,0.0890308757699813,0.109825862827686,0.278144298840187,0.0519770291524928,0.611253617920193,0.284842457393427,0.292059947900809,0.268000984909775,0.287775722214316,0.31761998879023,0.176695601000441,0.393952354475856,0.182822836602807,0.232463998938218,0.241597692500627,0.36251011641661,0.399583861045775,0.320402928111118,0.22484726489388,0.361528948847667,0.4287416538264,0.207482066648506,0.241049073610416,0.320194915864519,0.191738090190496,0.285548841893253,0.586288033647554,0.420978196817914,0.206631590900488,0.238974723258154,0.28219142429566,0.358574610244989,0.413315700293425,0.258044030482642,0.206218717669099,0.0843220655174987,0.271683503181879,0.411943969204448,0.203079388701276,0.479998530654226,0.402727108075241,0.101440530960103,0.29999506830399,0.299374441465594,0.154808498741963,0.127233601045229,0.280099475590636,0.592990211556678,0.263204495147284,0.17407844680572,0.105851366742597,0.333702268954068,0.278849983705688,0.21985938220378,0.297275005551502,0.213416213416213,0.291166304386559,0.148318610348155,0.170748581707486,0.616877783061692,0.145192423694052,0.203745811393011,0.336182865638357,0.172494172494173,0.255109765329296,0.254180745049399,0.241137310202342,0.239060398486128,0.248535941823798,0.410444037917845,0.233001837639174,0.232556445739257,0.323903348199428,0.24910241066849,0.317796927688273,0.295621430514006,0.227573837831583,0.236959870882547,0.24789651108614,0.19390327076476,0.226823588646233,0.229859719438878,0.270142809697775,0.193584334951843,0.645545843872874,0.336363636363636,0.205225691635658,0.329604895219923,0.284457125694549,0.408171774025433,0.328947368421053,0.26989898989899,0.290762054964599,0.316156113244619,0.397423653997156,0.153831194087904,0.470577763712246,0.246769263767494,0.26579739217653,0.344712714837416,0.155071196602548,0.372627541667842,0.464133985385472,0.349318577723127,0.143062122941464,0.221758761556655,0.191092296684951
