"","hera_1","buddy_11","hera_11","jarjarbinks_11","padme_11","hera_14","iris_14","jarjarbinks_14","jarjarbinks_15","buddy_16","buddy_17","iris_17","lambchop_17","padme_17","buddy_18","hera_18","iris_18","jarjarbinks_18","lambchop_18","franc_19","hera_2","jarjarbinks_2","lambchop_2","goose_20","hera_20","iris_20","buddy_21","jarjarbinks_21","franc_22","goose_22","grogu_22","hera_22","iris_22","iris_23","franc_24","hera_24","jarjarbinks_29","jarjarbinks_3","jarjarbinks_32","grogu_36","franc_37","goose_37","grogu_37","hera_37","lambchop_37","goose_4","grogu_41","hera_41","goose_42","grogu_42","lambchop_42","buddy_44","franc_44","goose_44","iris_44","jarjarbinks_44","lambchop_44","buddy_45","franc_45","grogu_45","hera_45","jarjarbinks_45","buddy_46","goose_46","iris_46","lambchop_46","franc_47","buddy_48","franc_48","grogu_48","hera_48","iris_48","jarjarbinks_48","lambchop_48","franc_49","iris_49","jarjarbinks_49","padme_5","buddy_50","franc_50","grogu_50","jarjarbinks_50","lambchop_50","franc_51","lambchop_51","buddy_52","goose_52","grogu_52","jarjarbinks_52","franc_53","hera_53","iris_55","lambchop_55","buddy_56","franc_56","grogu_56","buddy_57","goose_58","goose_59","iris_59","padme_6","iris_60","hera_67","franc_68","jarjarbinks_68","hera_7","iris_7","padme_7","grogu_70","franc_9","grogu_9"
"hera_1",0,5.31938774257804,3.72572254036219,4.3473933358164,4.00670833371216,2.2738473695648,5.445158465415,2.83017668884361,2.66642620967578,2.25455481765154,3.05109992465263,3.18703264030916,7.7048663105732,10.2962453160632,3.27928005063718,0.702993780459632,3.72792964091267,1.95905223590421,5.9544926674002,3.72184739793191,2.37802747277159,3.61485737266766,1.46841026244394,1.35965083912485,1.4866467086656,2.39487835573823,1.0155979806296,2.38813570565699,1.55642872593914,4.87726909764704,2.35505549892732,1.99506222292991,2.22754258156473,2.91455233645692,2.89628781183317,0.787227978964451,3.59072665605055,0.925041200300732,4.79428112292588,2.19056723632371,1.52931666628313,2.45518261309656,2.23555818993907,2.26612997946947,3.19208382501981,8.00557175038279,2.34360261631058,2.55759986381196,1.48194281058323,1.7107773869497,1.26535363068926,1.61592315634661,5.03402866594696,1.87215721811662,3.07218678354394,2.50515388077741,1.27551953871255,1.50522064577055,2.46014602043504,1.59821712057832,2.08300146346073,7.4352903670759,1.5671869716404,1.48477103796781,3.70398994054919,1.13687371632275,1.55472882070049,1.56649464492936,1.71421773790242,2.18873040166394,2.34327972954296,2.80726293749259,5.92668189490772,0.924110984524886,1.69137709985695,2.12209887895245,3.03853562744569,7.25764183602724,5.5065570296384,2.36433733406509,2.18132120541921,2.34836952022617,1.03331833458652,2.24653822170448,1.22305162809912,1.47564351821836,1.05266069924929,1.97786191137258,2.19087676019091,2.55366775443691,1.39131425968562,2.15216474400398,1.6485448107953,5.97900418141306,1.39716360459951,2.10927278265119,1.22156609277149,3.56677425283076,1.68061673777155,2.87544635384577,7.17048577067581,4.22142471975515,1.05589373819258,3.39807320691687,3.19944664182476,0.349914653003069,2.01482641825257,7.50696835854001,4.49689400411614,8.02717257509691,1.73939971226315
"buddy_11",5.31938774257804,0,1.89143966375413,1.29986488358758,1.67620853663562,3.6606123747359,5.37996332629758,3.51859312974781,3.2632845687113,5.10037347486454,2.5361136406867,5.09703697677241,2.94764483097317,8.41949019201914,2.52338383826433,5.13167997156101,5.16816358153047,3.64298280460655,1.62958082729336,2.37458992168242,5.5118588772473,4.88179752543062,5.28910678294659,5.71272875126841,4.51231750523691,5.28618933340041,5.3658424345309,3.15368416408802,4.5964775603117,0.8449935827965,6.2877595799491,6.38816760033833,5.52976305925214,6.23515477581639,3.34417041605178,5.06579842388447,1.83924411151781,4.77527920316312,0.714788621262212,6.12660988039722,5.03968643071067,3.21029679589097,6.20845246107427,4.45122295434401,2.48982770540461,2.85368431714028,6.35390371621143,3.21658145717858,4.54997941623089,5.20036026939828,5.74948593345255,5.30858051876968,6.47797305428379,3.96564776509066,5.03746318656518,4.5143365844686,5.75097940505043,5.70802720157622,3.70523754678369,4.54777722602206,4.16296850682544,4.62655724115011,5.21460523398733,5.40325430016963,3.69629423211793,5.4776521756111,5.69891982944826,5.76380360474181,5.47806539417676,6.16234186259108,3.66827201572509,5.15760663109135,0.818525639236759,5.53877018120594,5.61584550018192,5.69667137297075,2.56470426325745,2.08130856493519,2.53045989027469,6.32156374513077,6.19520058051974,3.29242076070262,5.37633300371263,5.88343518757728,5.90734433422436,5.4469920902722,5.6504054107662,5.9317932909744,4.08925422469711,5.886086775726,4.45716597886148,5.53649770211782,4.86065726407269,2.37224470733778,4.96675014764487,5.93156733458326,5.49495325434136,2.14188144821427,4.12088747359429,5.55176948655175,1.97866692589195,5.15033612831182,5.44115112256741,2.13008370600828,2.42577328570023,5.48115638333758,5.66178936063634,2.37065471315109,2.1663417201167,2.81056554629994,3.78343288305982
"hera_11",3.72572254036219,1.89143966375413,0,1.13042532861669,0.881903259601622,2.24299166501583,4.72499409108515,2.06478466428219,1.58360225395505,3.97113931992165,1.60490210049052,3.76557211706657,4.32803397685598,8.58625497240299,1.8065754391718,3.56572448879338,3.99222290937804,2.26736156863706,2.72058537051752,1.41208568692,4.37097622585032,4.01353418051803,4.05110080283779,4.27963776776015,2.94472107291347,3.80513652917923,3.84987577040566,1.68502819276458,3.11222315618707,1.62372530494578,4.80980495033965,4.97638503132421,3.95013503383711,4.81482655715957,2.14910206870261,3.46657240469335,1.01699346533947,3.23126252876507,1.62919031676328,4.66276827463042,3.41562920779796,2.00828049470056,4.75425583494926,2.98578375505581,1.66767300064165,4.55000332209811,4.89596469105371,1.74121381851379,3.17812464149608,3.77287524371549,4.20671462138816,3.78566670856534,5.58499026765118,2.49501931557139,3.75918324274676,3.5610039075215,4.15655429698735,4.26065656525856,2.46254930491138,2.91994258478914,2.64853933464888,5.0279106400621,3.77001961651679,4.07752863039992,2.75259890383309,3.94750398685304,4.132703200013,4.32273088149694,3.9967113495972,4.70326048138452,2.17745588351654,3.79999419147389,2.62589048586916,4.01681855524366,4.14398795666496,4.2215717560953,1.41176444449137,3.76195199596467,3.02382806203563,4.87994951986227,4.7025990490003,1.98547664238342,3.80128380585253,4.4753103840678,4.30872126285277,3.90107182798107,4.16965906025275,4.45853912718425,2.67145825448138,4.46642058033261,2.9151362625372,4.06851112991839,3.26887709119225,3.2031424443221,3.42382371172917,4.44472842799897,4.0200549171606,1.50047555960692,2.76248963937805,4.27802853914624,3.64315748786204,4.19356210160811,3.68955170732106,1.20485236482246,1.70659066330857,3.94243191167141,4.22165133151424,4.01626264505877,2.26487973419541,4.51571464011734,2.18994117893834
"jarjarbinks_11",4.3473933358164,1.29986488358758,1.13042532861669,0,0.973288300569589,2.84190403240853,4.65557021143281,2.42239977714871,2.2348256034569,4.33415296619116,1.65629786517263,4.08071800204157,3.7102250831902,8.46151494237541,1.68054864947539,4.07115602655281,4.21917970006297,2.55505889448817,2.23229006619919,1.61338467375323,4.87155851199468,4.04040575727594,4.32388329772897,4.71697640229665,3.35313722932242,4.30029822691911,4.28529906209056,2.0293704509624,3.70148804106194,1.02756094047257,5.15786012639126,5.41828266535448,4.54055093798505,5.29005902687712,2.58754880535644,3.98508930358282,0.877857669499068,3.71392478890346,0.835757613635544,4.9878075840954,3.95649121593546,2.27717834379822,5.07969891002308,3.38181115269724,1.69851135653195,3.74689814482147,5.23704392352425,2.20346872785486,3.59182343967056,4.09423219344371,4.76941768740203,4.15967882118807,5.93784611435248,2.96298016956474,4.10545786628604,3.78303767388835,4.72184261881014,4.74115893834356,2.89351896607296,3.39777786239696,3.07746340903231,4.45864711828466,4.15255761817507,4.4574753741934,2.85509840306319,4.61093794027242,4.70850182852422,4.67537603688072,4.48167367760087,5.0300149710135,2.50897517653272,4.18262820538,1.81332944056002,4.51933685730339,4.62006880442109,4.72436935285357,1.54040216420081,3.00274510496762,2.52464250982286,5.40209614744718,5.06671890396637,2.27633144167868,4.4467459828188,4.94959826865969,4.9390270224139,4.35366831310962,4.65186059821334,4.78600156311374,2.94173386189367,4.90678665436847,3.34720596721768,4.54758796674297,4.06142158422577,2.67256299797489,3.91327787881024,4.76901637771735,4.40697380312762,1.50611553083072,3.12388296614032,4.59011364048331,2.91536565368731,4.29069832069478,4.40197701242775,1.4466471125363,1.76956830262653,4.5123180035043,4.66877231158489,3.28719965722328,2.50718471839759,3.75573101712597,2.7732245939797
"padme_11",4.00670833371216,1.67620853663562,0.881903259601622,0.973288300569589,0,2.51246699718875,4.66835914171761,2.34938882233444,2.00195159389386,4.15827367512829,1.61795198409354,3.79899250547789,4.00424543585909,8.53277797176677,1.70049431847478,3.80796434143867,3.98312960537528,2.41151830705053,2.45517225866326,1.27045996057891,4.59810656714294,4.02987533098999,4.15005534166127,4.37764531770389,3.15114286687019,3.91006727818547,4.03570114646152,1.89269661090292,3.261498767603,1.23273119303578,4.94095230540351,5.06253749565479,4.08627820997244,4.8292044508551,2.19191601552382,3.70910898177693,1.00920390254431,3.46263983128179,1.33554675713309,4.78609139033576,3.63365602045812,1.99719806037664,4.87138236648973,3.25358895304705,1.49756651552537,4.23942648758211,5.02021406801063,2.06231537683175,3.25508419093448,3.89198405743798,4.42376792144823,3.90706518037165,5.6176560411276,2.66280147214963,3.81084411049478,3.68626727692309,4.38543442264381,4.35302231202358,2.49090557184576,3.18850853829346,2.89772565229784,4.92898282624228,3.86699402488379,4.1668786544472,2.6369345210273,4.22262692442767,4.29170851583109,4.43982950804136,4.10930452864949,4.82449277223242,2.39533324682972,3.85262263316112,2.32234415648573,4.18122222646035,4.25291377860725,4.30137062126364,1.48884718591725,3.42448690391111,2.73730056027625,4.94945850461139,4.84391763302869,2.1644684986726,4.05353030624659,4.5322942725858,4.57752377846936,4.02416248718686,4.31280266648929,4.58734953556985,2.86277758196984,4.49606282257949,3.11162431001025,4.14837166944142,3.57514013666839,2.90246090595392,3.67553865515225,4.57815630446307,4.14755592037093,1.19486966739417,2.83488200558307,4.26009312113426,3.31564368864688,4.14106464200285,4.02904661363685,1.14029498050002,1.70193115360367,4.1917517578557,4.28538841110388,3.65700381573767,2.3547856308031,4.21457511391637,2.46016699019382
"hera_14",2.2738473695648,3.6606123747359,2.24299166501583,2.84190403240853,2.51246699718875,0,5.35743954777158,2.2436735792027,1.59067116501613,2.98067233760448,1.92578145342048,3.59099704792467,6.1572930741865,9.30165822729096,1.98681731371566,2.28830832071196,4.0094745820307,1.65599178427641,4.43163519281033,2.51782803289692,3.15305989843765,3.83705666118553,2.62524968423306,2.87314746686234,1.94707213914719,3.13715586619344,2.57325914791804,1.68928519580729,1.91914593233087,3.27418428179191,3.61112740641094,3.4448174236412,3.11547185755953,3.84776643389401,2.15810610964206,2.28951121543073,2.19165137592481,2.05585805496789,3.20452930138499,3.47302514519615,2.55515349566668,1.52726208030722,3.5325962280413,2.68278354594894,1.89129029201296,6.35190355005482,3.64188667312885,1.62621948742812,1.91580992925148,2.592361266679,2.73663138214733,2.81178057271795,4.88773414808646,1.51163836909396,3.47735493762369,2.75463957270542,2.73946517802959,2.91004828935749,1.93718034163016,2.2719088990505,2.2676301849488,6.2278492702363,2.73943140054187,2.76607622989285,2.90639825579266,2.42005825025003,2.86059655397751,2.97962596850538,2.88587765989246,3.48835420370018,2.04590179178652,3.36147109871196,4.32502241027501,2.5679403321307,2.9488976245724,3.1539804040122,2.00828020943544,5.60273103865359,3.48957830304556,3.56923532510334,3.48515967454559,1.84321837360895,2.28029335514019,3.33552360790813,2.77447690341748,2.75220463091951,2.69331426588666,3.28049658942929,2.3904781162568,3.51124869306301,1.88061957678015,3.12685920811396,2.10825306560048,3.94103019984213,2.47451204247993,3.34521639282988,2.72729664693958,2.1623390674462,1.68582706791781,3.58768931354808,5.51545390413068,4.3463442676433,2.51208650268902,1.91403784751787,1.98562219831533,2.4376703595972,3.11989464413293,5.87405160597811,2.98251159565417,6.35479973156494,1.37637013898494
"iris_14",5.445158465415,5.37996332629758,4.72499409108515,4.65557021143281,4.66835914171761,5.35743954777158,0,3.4547874998301,4.12573708535225,4.60659324023072,4.43107925007247,2.76597292266327,6.65998607124138,9.82107346736718,5.21899031457811,5.03230336812966,2.19898179977936,4.57988096376891,5.59740462043401,4.0472386351229,5.38034087965819,2.71638905204833,5.40995206404741,5.25446349227942,4.5920390906391,3.75153655005634,5.11633929798001,4.33774346939586,4.97234961525169,5.01567453031137,6.33223775780399,6.17612847553152,4.40439822707367,5.05101819366813,3.94669716331901,4.91597631145104,4.78979421973179,4.85118674479084,5.06372707294475,6.10342218540497,4.2486903487722,4.68345073899014,6.2059734787388,3.43431325988687,4.76870778741444,7.00186078192928,6.41348938151436,4.05364704570045,4.94532784030235,5.64568459157191,6.08939588808594,4.6413098566438,6.96866353815508,5.2187024366762,2.73134300675957,4.47629325879786,6.01826151028277,5.15695059046957,4.32222224354086,4.24630607888196,3.5726400954715,4.9563446245575,4.32053044105067,4.79411215317697,3.00650908076769,5.89180786951332,5.28033142340514,5.66854018504679,4.53796419441302,6.14804830923305,3.80869506522526,3.13526648738851,5.56631164736161,5.53396217382667,4.78077395397168,4.67574518819684,4.13231624608515,6.26517004604077,6.26084959681596,5.60500350189276,6.22248669081945,4.1047597840043,5.92219670601871,4.82592605553503,6.21095189493136,4.90174706803035,5.43245999047324,5.84019179510757,3.7160552227897,4.61765094228164,5.00247911779537,4.31017757173477,5.70952289208927,6.42637991756688,4.37528175879217,5.8191874846325,5.2051898066215,4.88089386842324,4.89547078391182,3.69643656600333,6.13714718096984,1.59017448676701,5.45169258069406,4.68110335609544,4.64110661709676,5.50212196679752,4.63063734857937,6.18598789108902,5.66829819802904,6.98216157149094,4.87438927053344
"jarjarbinks_14",2.83017668884361,3.51859312974781,2.06478466428219,2.42239977714871,2.34938882233444,2.2436735792027,3.4547874998301,0,0.875088959964958,2.73835427101489,1.83287796504304,2.43308316604373,5.63207891109868,8.96716613432563,2.53053400430902,2.47498671530779,2.65269149771174,1.69082649612215,4.02774913665673,2.14063191215037,3.4270931986258,2.46656536479251,3.08160777372138,3.30149832126419,1.86168895577277,2.62629263968303,2.76274551002988,1.32693252188181,2.6281774435375,3.18708060845258,4.05686869856957,4.20016829512692,2.98509351734262,3.99893999471458,1.98390846353749,2.3673515720518,2.16070878853552,2.21125698947591,3.06104333710618,3.84334300013894,2.17960788300794,2.07918062347968,3.95568503021128,1.19092769209342,2.3335798169905,5.97705515621714,4.1402256442188,0.853671611706104,2.57906355650484,3.1078189395453,3.52783691443491,2.62643879461251,5.16103955364311,2.37489023886355,2.38605502003256,2.49345106115674,3.46614816977168,3.32181786162814,2.21212153802087,1.63026753944557,0.975009453909593,4.89805915321556,2.52440325234363,2.95655760167559,2.06497390929374,3.29804315340598,3.29512779614281,3.41364006597688,2.89944880431903,3.88990740838369,0.925352726654387,2.49405831644444,4.04931873304745,3.17744523631073,3.09379459453623,3.25426409773576,1.55193959899122,5.22304693536092,4.14278278828747,4.08967134710469,3.92310415581314,1.2924474280057,3.21136420568983,3.50887739907129,3.63026950922128,2.88835508143426,3.25017549824669,3.57588872044937,1.18383008847228,3.49762593861713,2.2049850241696,2.99363072361027,2.92635571615098,4.48831170869571,2.08330562273083,3.56849126129914,2.98640474724468,2.43770535796399,2.30295553116706,3.09202808449234,5.10385544940817,2.83829731930008,2.85931724718632,2.22946087822768,2.12232439842661,2.99992217287919,3.18992800003261,5.41726692781659,3.45269965896592,5.97080931713861,1.885210390151
"jarjarbinks_15",2.66642620967578,3.2632845687113,1.58360225395505,2.2348256034569,2.00195159389386,1.59067116501613,4.12573708535225,0.875088959964958,0,2.96279167016274,1.70007768637544,2.79430019264011,5.54599738107613,8.88410549423033,2.2364770593394,2.45717255570327,3.10493531264498,1.60584636269445,3.88704675604326,1.90694011092129,3.44192419221495,3.12266376414281,3.12833454724493,3.27048501836294,1.846730952384,2.74988647366485,2.78745349933306,1.18327126115492,2.34261414999328,2.91580643603467,3.98185798285779,4.0782400501436,2.93656678136257,3.93632796937015,1.81581021552509,2.34662549450083,1.87328713781569,2.17915177350367,2.8513272528961,3.80513673371912,2.25552946161825,1.78164655182692,3.90515040184553,1.74973851443738,2.02093125144633,5.86676616518143,4.06544082186827,0.700134907297661,2.40090595104692,2.99937336597995,3.32046705464714,2.72860567308911,5.13239917507808,1.9873376404717,2.75599090309169,2.73285315749817,3.25268216377558,3.257975346038,1.99645570291748,1.77444072172728,1.38758692726163,5.18109750708051,2.66937991280553,3.03550463256366,2.19182367310599,3.04012536759398,3.15682226376162,3.39258306980947,2.93596315567245,3.84639371162135,1.18737017200651,2.77495478296724,3.91047172744176,3.04366633657749,3.10434706914895,3.22560135004185,1.45565887483997,5.08686059318968,3.75704916146574,3.96558139127065,3.84944815666077,1.35942478995018,2.91966641587036,3.50036188540223,3.38133597971569,2.86910771008825,3.15954447647394,3.56252321444988,1.63377557293169,3.52076180419486,2.05486978363738,3.04203687419773,2.52304260391557,4.10578493272902,2.2464320005244,3.56233610365127,3.00373978488251,2.11973155928674,2.10575466256888,3.31495707333613,4.96551774783301,3.3885403204497,2.64062420758791,1.82646385089756,1.93598368106002,2.88356681203186,3.21075271620426,5.30783271660824,3.06473217900705,5.84840679406209,1.51868291105692
"buddy_16",2.25455481765154,5.10037347486454,3.97113931992165,4.33415296619116,4.15827367512829,2.98067233760448,4.60659324023072,2.73835427101489,2.96279167016274,0,2.96169846346316,3.36237220999906,7.30871714337511,10.0982472321219,3.62976436942058,2.23811451821909,3.58580095057171,2.55733205090718,5.56414313937235,3.86430838399424,1.03518596438695,2.35544028373779,2.00996413338574,2.61969465988839,2.63429591425726,2.96085027974827,2.48993046891243,2.82696405709863,2.72547134912963,4.8120701410854,4.20292376534032,3.52763588014815,3.32348167357231,4.02091662665605,2.93876019614819,2.33265369566712,3.72423118561469,2.21674890580947,4.59766634967927,3.9499811081751,2.59959972614557,2.95224625454273,4.00417848643983,2.09623218832931,3.41871703229507,7.67609674488353,4.16892440649431,2.53572399918242,2.53894050957635,3.35926536657228,3.17068248368207,2.90638126774853,5.13601532363039,3.15166099015632,2.87921514506178,0.754153825817493,3.35575136390042,2.69693398417557,2.78077271947919,2.52810031024411,2.12271036513584,6.75150428768832,2.3154835249909,1.86693595535851,3.52340328735608,2.63240914779674,3.14041592769436,3.15798863649573,2.63261353766856,3.95271447086999,2.61211693712883,2.94023251836543,5.55709054432038,2.77122975835267,2.73593208275073,3.1498279125856,3.07649086823544,6.96031235592302,5.58530512202309,3.62874168277622,4.03488705400085,2.34625437231992,2.8900175789809,3.10684173367321,3.25504577337744,2.98303696566054,2.61525734662037,3.68254172889174,2.36381281066208,3.50078929645935,2.80712010016327,2.98588667353557,2.8805375523708,5.96296482230564,2.06589023737397,3.82308188237367,2.69968533014136,3.62321503882488,2.65393668688035,3.13502843962786,6.8616231677634,3.66005082601245,3.07921625413669,3.53753011313648,2.92682218664918,2.18699259406463,2.95984666319192,7.14859190751669,4.01306531875879,7.68881115099717,2.78219168032865
