"","buddy_11","joans_11","padme_11","ginger_14","buddy_16","buddy_17","ivy_17","padme_17","buddy_18","ginger_18","ivy_18","franc_19","ivy_19","ginger_2","ginger_20","buddy_21","joans_21","franc_22","grogu_22","henry_22","joans_22","marshmallow_22","franc_24","ginger_24","henry_24","ivy_24","marshmallow_24","henry_25","ginger_29","henry_29","joans_29","ginger_36","grogu_36","henry_36","franc_37","grogu_37","grogu_41","joans_41","marshmallow_41","ginger_42","grogu_42","henry_42","ivy_42","buddy_44","franc_44","ginger_44","ivy_44","joans_44","marshmallow_44","buddy_45","franc_45","grogu_45","henry_45","ivy_45","joans_45","marshmallow_45","buddy_46","charles_46","ivy_46","joans_46","marshmallow_46","franc_47","ginger_47","ivy_47","marshmallow_47","buddy_48","charles_48","franc_48","grogu_48","ivy_48","joans_48","marshmallow_48","charles_49","franc_49","ginger_49","henry_49","ivy_49","joans_49","marshmallow_49","padme_5","buddy_50","charles_50","franc_50","ginger_50","grogu_50","ivy_50","joans_50","charles_51","franc_51","joans_51","buddy_52","charles_52","ginger_52","grogu_52","marshmallow_52","franc_53","marshmallow_53","charles_55","ginger_55","ivy_55","buddy_56","franc_56","grogu_56","joans_56","buddy_57","joans_57","ginger_58","henry_59","padme_6","joans_60","marshmallow_60","joans_62","henry_66","ivy_67","franc_68","ginger_7","padme_7","grogu_70","charles_9","franc_9","grogu_9","henry_9","ivy_9"
"buddy_11",0,10.8366181152964,16.5114257635911,17.2252313075021,23.4681972460884,11.0232518052444,13.8885075370792,26.6855764134286,18.0252885571611,18.4113162869617,24.8468439742427,14.1973963568419,23.6134385189316,13.2414874853832,16.8329163669214,14.9915189263253,20.1613812345586,16.0464003081613,18.8608786086292,14.219583357506,15.950080944519,15.324219253741,15.5867299647542,16.9246484455552,13.9686550571575,24.4355016592934,19.261931547033,14.4996428253463,17.1990162675997,14.6312053618574,14.5694049164313,15.5157171643555,18.0847605920523,15.870858545126,16.4352639229655,18.5112186572607,17.0954897226874,16.0605310526919,23.2653026334438,14.09892839505,12.9987025292128,19.3353561676504,21.9430266774999,15.0592749181061,22.373808038192,18.5052992633903,18.2761215524965,17.9874231583307,14.5742794621253,16.7364216391368,15.8799457415254,15.6409401890254,17.7056284132512,20.1492436304371,17.2259363039826,16.0822020379674,17.7650891428182,15.6057160588749,18.8089659971307,16.6387849608613,14.6848237776514,16.2243393206169,15.7662347196708,19.4441405696677,11.6483966836819,15.5218782191788,20.6523407946926,19.092077902444,17.1509821405299,20.4859245262836,14.386707989383,12.8829212360183,20.7567120575456,19.1248131326595,17.9278952850562,15.9616642916,16.6834273007165,18.14558528595,12.3566226371703,13.5547482875222,14.7376503473243,17.6262018095272,18.7937583865085,16.8823608919495,16.2415829385333,18.1650362821296,17.4567799657013,18.3732859134752,18.6096818767797,20.1170960369603,15.2836202265433,17.623396267541,17.2513015209634,16.2933545616841,14.696210815362,17.8031900879936,17.5569215801315,16.3534478792342,21.079202152562,20.7658510100376,14.754125640041,21.8634861292736,17.3456944987651,17.0929103463664,14.5563660022858,14.5791430789117,18.462978529611,18.2132808760353,14.7129183617469,14.8960690013578,14.110871396087,15.9974180955971,19.8206558816292,17.9169004932175,13.9559124079133,16.2849864407468,14.516829540377,17.43665075237,14.3861430816386,13.6099985520218,13.109826149108,18.6420435927354,16.0191596125737
"joans_11",10.8366181152964,0,20.5508626410056,16.1809028315915,22.3579968752221,13.7504932441117,12.9377494889139,27.3688444343876,17.3865434576226,17.2835686918092,25.3636535634368,14.1664666293433,23.8272481570398,12.6699099337764,16.4067904880355,14.2894235317992,17.3873869904421,14.9493668878345,16.6650376460195,14.4039543291423,18.3263176318123,12.6820598457075,15.9406401476307,15.6707351497317,14.0423610921306,25.4088366527998,17.5385980770779,15.3119424087511,15.4115159302364,15.2641984994343,12.2803281718297,15.2551879035131,16.4648428523638,16.0661459825925,15.7965449335265,16.4848776188563,15.0667114572192,15.442745976288,22.6047710885783,14.7903269186246,10.6518381211356,18.8162222210663,23.2757309804331,13.6146542814596,23.0540251533614,17.4764341134843,16.419136713441,13.3702009329072,11.8247353431453,12.0189508239994,14.0111532564079,14.0495578768868,16.5284998951595,20.5474161986196,12.6932630420678,14.0338596691247,13.7098012502443,12.6239826767899,19.2441750707578,12.3825302811635,11.7041748230038,14.4877329321004,15.2225513811526,20.0289388230118,10.7557086658585,12.390708537295,23.2790329809754,16.8462230351769,14.9633172326793,21.304537466273,12.7478329960404,11.8734382575355,22.6648766692566,16.8553921419843,16.6407737160077,14.5250067883132,18.0559447740784,13.6842751482812,10.4486651071367,16.9803472172272,14.0376695465775,19.3779280975638,15.4749341628272,15.5668452867027,13.5589948260055,15.3303805971751,13.0005933440198,20.21291007888,16.6874368477215,15.5079155845421,12.4555203542185,19.8328798520539,15.7252786918574,14.5124761262532,14.3643097638966,15.3016120965878,15.6960997023486,18.1699647191967,19.9331428089534,21.2523078636377,12.88400448278,22.6361440348597,16.1111471855989,12.7095465284307,11.6146567500105,12.0594496972303,17.0285286336828,16.7237197482118,18.6198821909748,12.045618516159,13.4406531630611,12.4792449699758,19.736851161535,19.9345660293892,12.5523983263813,16.2936530582693,18.8198511520498,18.2770465231026,18.7253095237654,15.0517693405369,14.8970675538278,20.5905783470971,16.8120812443423
"padme_11",16.5114257635911,20.5508626410056,0,20.6287737273951,27.8273212173063,16.8694732154851,21.6586961548046,25.5544196584154,20.4808291804326,22.2627558712335,23.4344047410356,20.957573803245,23.4779927262303,19.5772266772801,20.3207502118038,19.3570688443838,22.4035005288958,22.5435192207982,22.6055711656832,19.5666840396491,19.2600930236054,22.7106054917832,21.129099838743,20.9963272626892,20.2881390277218,24.4006682301234,22.8979777118414,19.7769924528896,21.671787687417,19.5976780230358,20.5614150147268,20.7563379357767,21.9426223332024,18.9181931464251,21.5984919390673,22.5156579199576,21.7896337455134,24.5189534513192,25.6402970166896,20.0260804060904,21.5692657165211,22.9696326185162,20.4818846777671,20.9819034569916,21.9388435053472,23.5835524374101,26.1903043723545,24.8494511359349,22.6939729639709,23.8085485666575,23.311623506693,23.6775851774587,22.736409863794,22.4172317263765,24.3560017951702,22.3273689004268,23.5390748186799,21.6595364015971,22.3561451697003,23.7565977889103,23.0966059864571,23.0259455951066,22.0291105679228,20.2740276824133,20.6530093930257,21.2972170009721,16.2831007359732,25.5518375874392,22.232812680979,21.3121683697288,21.9617913180842,22.0165405508748,16.6923663023428,25.7155594120399,22.9627191288202,21.2523881753996,18.2196587102084,24.9671733970775,22.0489826328546,18.2570184867391,20.8190428990038,19.6182937839214,25.1005426355414,22.1106475967843,22.5290134368506,24.8176517445526,24.0507952626918,19.2448923873475,25.0484115576735,25.9114017415842,22.0742480513988,18.070168870889,22.5015614144005,21.9167134963062,22.5683310728743,24.4669054988097,21.7193440569321,19.8633872528476,25.7066385236347,23.6161307026216,22.154495521088,23.4726617377476,21.4063100899092,23.7053486974909,21.5040878552446,22.1662919812528,23.120252538822,22.4887097631619,17.6552487199363,22.4304768796012,21.859622680626,23.4836598271194,22.4485121246499,20.2145482489941,22.2548076208978,22.6527374282702,14.9349378613522,21.1585383154812,10.4589586549522,19.6968161647108,19.1103824292798,19.3624618791318,21.9263925476768
"ginger_14",17.2252313075021,16.1809028315915,20.6287737273951,0,22.4785562714665,17.2257628784638,15.8852852091309,28.8915560666832,21.5414326133702,14.0103676797832,21.252954951028,16.1379409067563,19.2898588093867,19.4555073196271,12.7493343501473,16.1903816264026,19.2502574455258,13.6669819548372,17.4607960024747,14.7950094796454,18.2708021634444,15.1331617890403,15.7891890797884,9.40572169507336,14.4482888434547,19.3345109126134,16.3580180003118,17.0073931746181,9.92935132848684,15.7876165667275,15.1852567436288,12.1000124767575,18.106489067484,12.7900320259377,14.8195958242129,18.4696104101162,16.8252919616051,17.9796945683749,22.604252620927,16.4734665872334,16.2067876955787,11.3138983908311,19.0669629853524,16.681989966365,17.3785477710276,11.7780973413322,16.405108719145,17.0485683732322,15.1829971317993,17.0358631791676,14.8797891661559,16.1415831861615,11.555936526149,15.3930874739531,17.573785449156,15.9436708987842,17.3434477183798,14.6126685279537,13.4951453300936,15.6462723886665,16.2202006588607,13.7161211709247,14.4439158960507,15.0071910876996,17.823770273812,15.1727451343697,21.9698059974093,15.4250062978218,17.3328171241479,15.8731815240991,16.4906207781888,16.2477427225631,21.9108926198335,15.6335729304473,11.3869324690057,12.0133145903505,14.4652927740982,17.6094737575816,16.2184030826287,21.2653154746256,17.9954997050854,17.8348432663436,15.4879876553154,10.6278565733134,15.3649410620012,14.2215666203425,16.8911327421203,18.7401848927482,15.931399610364,19.1301927032759,15.8767453182799,18.9121076046035,11.4578923729984,16.4175209499932,19.0571531021892,15.3521082227119,17.6445774806528,18.0256390512876,12.0187431719347,17.0046488011058,17.7323695630371,16.5064095337243,16.9722451027037,15.7590853398567,15.5892847145787,17.8361559327235,10.4611983868509,14.1866496261035,22.1209976815112,16.384200566391,19.1857326418725,15.950768554547,17.1413586570062,17.434554579073,15.7343227762518,18.2309027012577,22.1978582558105,20.866425378741,21.3083553494578,17.9234399904289,15.2640216330552,20.6252275432082,18.5766093437566
"buddy_16",23.4681972460884,22.3579968752221,27.8273212173063,22.4785562714665,0,23.9369104561561,23.3937396775975,30.384654620686,25.0186257810037,20.0118746360683,28.3911796603716,24.0558077169503,28.4490748543213,22.4854532490877,21.0451374435823,21.7138745688145,24.3992627569237,24.2382963149832,21.3911469438744,21.6543048169982,25.0934162141516,19.6310332275815,24.8905921439616,20.0941704904169,21.7139343565188,31.4362994292454,23.4282489022404,21.9588097392553,20.7510020917405,21.575974544413,21.4459564677233,22.9649958935415,20.302097186401,22.7975630696162,23.6896942899179,20.6474871889937,20.0303407471408,27.5557289674388,11.1101348187732,21.9325896929532,19.9269300963585,22.2618880289095,26.7089428225722,21.9499139380147,27.2154304265274,20.477596649342,26.4802627904868,21.1589403591874,20.7453766309139,20.3573138685016,23.6227308254934,21.4521982113926,20.2256979070845,25.103568045644,20.3561651079742,20.4491329941816,20.894427141922,20.7973095750245,25.0368725441626,20.6154880077203,20.0293609217585,22.59131344444,23.0781909484332,23.6119093125278,22.4983223647248,21.0729667323363,27.7556826502688,23.1518982849548,19.2017868755202,25.9988416628113,23.469483072843,23.762052797703,25.7968907181601,23.722818273477,21.7175469583226,20.282689126707,24.7631369394642,21.4245971669585,21.8043467434142,25.5832006140161,23.5242894038628,24.3101542620318,22.2475452924816,20.9971952895452,20.5747162466914,22.6506647763564,19.7152657691816,25.061418038894,23.426112534203,22.1864800988541,21.5703070122944,24.231233860746,20.2128368669309,19.4931148389388,22.939432139269,22.3625505839094,20.1445478747308,22.6829217898536,23.9312171274222,25.4580385752736,23.8507668610214,26.6515404971931,20.1412541702186,20.8627316350168,20.5402582627256,22.7044923525111,21.5417976175634,20.2805001212532,25.9745745844149,23.2849134464109,24.4574100960803,21.8381977604833,21.7129935223848,27.2892212898798,24.4379830921929,26.1558810035122,26.487573099439,15.3677789799353,27.2297717057818,24.7243091975506,23.9089155990027,27.2810812935771,25.3406815362413
"buddy_17",11.0232518052444,13.7504932441117,16.8694732154851,17.2257628784638,23.9369104561561,0,15.6427291440278,28.1503830763506,19.2202276264657,17.7577468056916,21.8473938840271,15.1208350655485,21.335454462267,15.4886080146969,17.3044632734135,11.9614005549127,20.5325526992445,17.0447521179206,18.6396028784446,15.9948576326638,16.7820415600089,16.6019797518317,16.3604547167434,16.3508657353431,16.4265284196358,23.0079269680351,19.2470733118877,17.2927357659891,16.9979862622975,16.6773997639797,13.1541738994924,16.477095018343,18.4291431011261,16.3166190867817,16.6329102798818,18.9777347552542,17.5418678520363,18.7339151409935,24.4224233215707,16.6415598620934,15.1255423939843,18.6392036566616,20.5851156400743,14.9307143028089,21.0171958420826,18.7124795026252,19.6270154108723,19.379782051895,16.1197558664997,18.1399480744472,17.2632157367155,17.473353063252,17.5955650545008,20.2364732442672,18.6210980277254,17.2645551157097,18.7080995086634,16.9747678317241,19.2214267581094,17.7352154819053,16.0770497957002,16.6694725962849,17.195625169581,17.9838998379361,15.0947335284794,15.7473953641312,21.1256984965556,19.5842790611929,17.52814988161,20.1600885169572,15.8988710682615,15.9885750334801,21.7073698517526,20.0732568518092,18.3324748659722,17.178475180089,16.6452685187709,18.9952632901825,15.5091913048486,17.2121626896775,15.5743737854627,18.7568725081879,18.8570580334083,17.164557573067,16.8266729681189,18.6378303080201,18.7518748710295,19.2541194293708,19.235042033427,21.4323630613069,15.7721829520518,18.0423135751274,17.1232101170181,16.8840011667135,17.369354807156,18.8485870410347,17.9972053208124,16.6632543752773,20.9100108004324,20.6355851073074,17.1684905139645,21.9630202363876,18.0584914452359,17.9400831422943,15.1570059414905,16.3585270936171,18.5478490966063,18.4770177963887,17.6478615017959,16.9347385025901,17.174744800196,16.7750223794069,18.8685172466064,17.8421835359124,15.3756388737358,18.5209359885171,16.1106080999193,19.674529206275,17.5510375873688,16.9823229322066,12.5162200164788,17.6435688180065,16.3888703842687
"ivy_17",13.8885075370792,12.9377494889139,21.6586961548046,15.8852852091309,23.3937396775975,15.6427291440278,0,28.2037799887883,20.9266348509269,18.9451035049217,24.683952514352,7.50620865734049,23.4107553176013,17.2986240545131,17.7977791200681,17.8935931005934,19.1862331720136,9.26396808295791,18.2917262716712,15.6885164143286,18.6650863894086,15.8911266622448,9.47391764707356,14.5826694684016,15.9170854814238,24.4102620142316,18.8417516427004,17.0313904936871,14.2873574057335,16.6196931850531,14.7191349867054,14.0409546551218,19.3307484773659,17.5175076823877,11.9267632645777,19.282792844282,17.802537381802,18.1263594067279,22.7764936738384,16.3913283953601,14.0078341151397,17.1074714977858,21.6677458555077,16.1103578416486,22.0503574920545,15.5136552778795,12.388691993814,15.8687848321595,14.9124439149863,15.6272871777718,9.35807072833473,16.1057556294812,14.8939592408804,18.0148132601029,15.4311925587456,16.4184095009791,16.6986317084735,14.8773985772868,18.0234812207659,14.8748674764348,15.6142630309356,11.4469264064011,14.5797576634962,18.7191808160294,14.6910225627115,16.3372183755085,24.0211453659838,12.6050993678206,17.5514492330564,19.5341870546166,16.9133307554511,14.9645153642416,23.4629582061657,13.4796928866364,15.5040780377164,15.4413410316324,15.8924328419812,15.8232697135435,14.0745695491425,19.0814409774396,16.408862641757,20.1682049699946,12.4048544486447,14.2230524639694,16.1233074640219,12.6686509234692,15.2741156758034,21.1720013912033,12.5763599187415,17.5034975056848,14.4518132815977,20.9123045648283,14.1053722523336,16.9297280680284,16.0928086100245,11.6741305260632,17.9246744450126,18.398525152538,17.72258029706,18.947087453367,15.7810418740236,20.0296608604714,17.9653588423637,15.4213419577116,15.1890298592722,14.9545691801917,15.5082149350568,18.3604566717968,19.5599449305614,13.8818362534723,16.5017036374809,14.3660290523836,20.2449305590956,17.8207308483272,10.3137958110202,16.7904342780548,20.1087245690896,18.8674191902753,20.3698660996521,15.6801058449833,12.3944694787019,21.301929174719,16.4800904364365
"padme_17",26.6855764134286,27.3688444343876,25.5544196584154,28.8915560666832,30.384654620686,28.1503830763506,28.2037799887883,0,21.9408894184187,29.754642928718,31.9654506298103,28.3890187347343,31.7044175067345,23.3097782387433,29.2456235900641,29.4781554356475,27.5439431665444,30.1419796618765,24.1913398761335,28.1488236679139,28.7751705767091,28.4889316880496,29.8595806793538,27.843032336532,28.4620475671592,35.9551438985003,26.8802085743927,28.3102802898719,28.2826975716648,28.3662410340736,27.9002381471163,28.6591783900263,23.9543060255515,29.9065468590021,30.5857795113552,23.8237076632439,23.9819702132126,32.4282631383924,28.5845091141715,28.3229059979919,25.8643644717261,30.8261533879867,30.6668492814704,29.5755768930704,31.3558719463995,29.3920445974835,33.4239910292923,30.0028124146799,28.0807560576867,29.2018091427836,30.1010496804169,29.5125382002818,28.5918293176652,29.7055620427607,29.5625922907484,26.4758757158885,30.5544032266702,28.4962671432639,30.814963726235,29.713229137625,27.2943293205908,30.0225816304536,27.2608284275276,30.2608397276257,26.5526276391176,27.561522858644,29.4515095436627,31.6489349073237,24.3575819895312,30.3462735844524,29.510792251559,27.5643655861658,24.9698179829688,31.8338108724156,28.4742095991324,28.9470513183039,28.5256545512965,29.8845368008758,27.3379000070204,25.6616816194893,28.1597279179232,29.2544765273123,30.2285845184063,28.3486208216104,26.1933235989112,30.3444088019208,29.7241269978042,30.4731347680712,31.6273947741376,30.8024710539286,29.5637111589118,29.8111742764906,28.70628800639,26.0108756815068,26.7945228350349,29.9213469356681,23.5232761244509,29.9588670729239,33.2141775622733,31.1721389832644,27.6895286801305,32.3723392068161,25.0986550584633,29.365251128181,28.9010161269949,27.1515090493659,29.4391506445743,28.6186573214334,25.3890981365005,28.3429531791188,25.2308991968918,28.2236152355189,31.3480045493578,30.1436764340386,29.1333978017938,27.7331075563291,25.0886266080758,25.1633128598381,24.5502675822301,23.8551825016914,28.9024488347458,29.2465554449674,28.9060551082473
"buddy_18",18.0252885571611,17.3865434576226,20.4808291804326,21.5414326133702,25.0186257810037,19.2202276264657,20.9266348509269,21.9408894184187,0,22.4136024819634,25.5610395298067,21.7262886043296,25.2670038134767,13.7139591385624,22.7106340847192,20.3417653952419,16.5765887512481,22.7964662157832,15.7056942330608,21.5019618939076,22.4238817451635,19.5037904846267,22.8174704701133,21.1715646495929,21.6161540295281,28.8195676734238,18.6851201268248,21.4405077914065,21.5029070149744,21.4280520972944,18.4220846838039,21.6299901499465,15.4222539851249,23.0663987856383,22.790015913508,15.6148950351222,15.0772051414355,23.3365087506181,24.4989016255327,21.5796473646818,16.6212788912556,24.3397848638869,24.4715359146461,20.8120687495414,24.2823281870838,23.373697993137,24.7569913839835,21.0387021014918,19.0147385430137,19.9986675160284,22.006299982034,21.0553001092192,22.5235257115129,23.3190163982807,20.606262649445,18.2543934153502,21.7500671155981,19.7127756882921,23.714554817115,20.4384800950894,18.0054339750557,22.4710652428509,20.6099032363195,22.786127466459,16.8554780019537,17.4322839259842,23.3564041575448,24.0834233003657,16.061458867767,23.432475406906,20.3142650095891,18.4427948734575,20.5089659453677,24.2909338259066,22.6387883037496,22.1135348448355,20.7703838515865,21.6117945675135,17.6354878477003,20.7377350403389,18.6443867737396,23.1342103088916,22.2746707098963,21.5092041207708,17.4885515586528,22.3522690659269,20.9735862267452,24.1485087327817,24.1000629186887,23.0684490511708,20.2871092228811,22.8303953914294,21.8050029625674,17.2241848934008,20.3859038390665,23.0213239805444,15.4704811713367,24.0826107613533,26.2979345177752,24.2375979850515,17.9427776868634,25.6152102496537,16.5448931868356,20.7917533005303,19.0486341321402,17.4282116375547,23.0460905299736,23.4656742102553,21.4923185570587,19.5878513169104,18.3040555175141,20.4849170393633,25.0864888879284,22.8586091882483,19.8645810414255,20.8809579817996,20.5561692265019,18.7539971821381,18.119688862284,17.8287593811766,21.1094153035875,22.554079243029,20.2905394859902
"ginger_18",18.4113162869617,17.2835686918092,22.2627558712335,14.0103676797832,20.0118746360683,17.7577468056916,18.9451035049217,29.754642928718,22.4136024819634,0,20.4396199176352,19.0598413894842,19.2411274402369,19.8502496434548,10.885745828486,15.7078433455028,21.5066211380205,18.9611908520142,18.742704079099,14.8532296162935,19.4743114953391,15.0601942903016,19.6452575720007,12.3369751142246,13.8312327496078,23.2277404633827,19.7206010840242,16.205177833561,12.8174367169541,14.633238322413,16.5141795350746,15.0309375780477,18.6201722296217,15.0161318782625,18.1788807374988,19.3738195670563,17.9342419009455,22.4871968589542,20.6959152803798,16.0375348987168,17.1486647614052,14.9023116611398,20.9724965236177,16.9422268036223,20.7481212244198,13.7771421221445,21.5759225160793,17.7352299203122,16.713995424094,16.5240059537907,18.9677714150398,16.8228856435666,13.5915286937486,19.4695108828667,17.2401266293608,17.0380842052701,17.2867525391411,16.2806397164994,17.1120143137438,16.4470615947863,15.4542050170226,16.9387345474816,17.1275268069117,16.8555529773793,19.3247436627956,16.0972995054933,22.74516711392,19.0918883288832,17.704661622854,19.4397755941586,17.0034603647802,19.1193841360625,22.3244878984026,19.5923122385791,14.7657670795282,13.036462070017,18.1338769840675,17.5525016022365,16.9203322169212,21.3726102857031,18.6395967862393,17.3743069000478,17.8799875144576,13.4935087642406,17.1279069303355,17.2612651504322,16.2556811631485,17.6085437013477,18.2399253149271,19.2497044512181,16.4114745989902,18.1763819640981,13.7306110783763,16.9961580970913,18.6962980859217,17.3505829321159,18.170699773858,15.9190000665014,16.5227447156006,19.315963523104,19.5117400885194,21.1764664144355,17.5399891495748,16.0394418262218,14.5302705706027,18.9382785106357,14.7314382605702,12.1121888544681,22.476832969466,18.0789070029347,21.094361313398,16.1378285322354,13.0019251860846,19.6750109718787,19.1082233231448,20.8633734532584,22.6372974428419,20.7787341955365,22.206097024589,20.747735224442,18.0481442131991,21.2843845046092,21.5758481477098
