"","jarjarbinks_15","kubo_15","iris_17","kubo_17","lambchop_17","wolverine_17","hamlet_18","hera_18","iris_18","jarjarbinks_18","kubo_18","lambchop_18","wolverine_18","ophelia_19","wolverine_19","goose_20","hamlet_20","hera_20","iris_20","korra_20","ophelia_20","hamlet_21","jarjarbinks_21","korra_21","kubo_21","goose_22","hamlet_22","hera_22","iris_22","korra_22","kubo_22","hamlet_23","iris_23","korra_23","goose_24","hera_24","kubo_24","ophelia_24","wolverine_24","kubo_25","lambchop_25","buddy_44","franc_44","ginger_44","ivy_44","joans_44","marshmallow_44","buddy_45","franc_45","grogu_45","henry_45","ivy_45","joans_45","marshmallow_45","buddy_46","charles_46","ivy_46","joans_46","marshmallow_46","franc_47","ginger_47","ivy_47","marshmallow_47","buddy_48","charles_48","franc_48","grogu_48","henry_48","ivy_48","joans_48","marshmallow_48","charles_49","franc_49","ginger_49","henry_49","ivy_49","joans_49","marshmallow_49","buddy_50","charles_50","franc_50","ginger_50","grogu_50","ivy_50","joans_50","charles_51","franc_51","joans_51","buddy_52","charles_52","ginger_52","grogu_52","marshmallow_52","franc_53","marshmallow_53","charles_55","ginger_55","ivy_55","buddy_56","franc_56","grogu_56","joans_56"
"jarjarbinks_15",0,14.1049539702857,18.6359753505665,15.7698709366897,25.769861884378,15.3858039447306,12.2268030871239,14.0276507264057,19.5995683994193,18.2749907637661,16.5979758715103,27.077355246041,14.3365272717223,12.2237719449904,18.9185287076647,20.6366729583777,13.0076722615935,12.9574173160883,18.0740967308028,20.3038731746948,11.2592588207885,12.7053937336551,19.4539741483328,19.5109834207426,16.8792687981076,20.5090525495424,16.4450066561676,22.8278518552448,19.6547468750999,19.3772049789815,17.6272152984104,15.9107881744795,20.6179509762712,19.9574057656507,18.4966973406566,13.9795410208457,18.6281169129637,10.3957657770134,15.4115839143915,18.2051676660974,23.9277377534632,17.9553395551891,20.6756806210212,20.6182439016195,23.083889190016,22.9889371479855,20.957338023224,21.9011287868543,21.2520934702335,21.175398206151,20.6049420735251,18.4249028586957,22.3403380214621,19.2641484450885,21.3976383677889,19.7368829549415,18.9671523621589,21.4117795820609,20.7631106779446,20.2133098043298,22.4407305333012,18.0014086785747,21.5000113336894,20.9970341283894,21.1657843122168,21.2728181228842,20.1802286156808,19.0790298838064,17.9924966038257,21.3274423279469,21.4622876257992,22.4989082842658,22.0133650997248,21.1550283357594,19.1624409649713,16.5323910353142,22.9321372408779,20.4352480158536,19.409862562503,21.3701570301701,21.064246515966,19.9617896917247,19.6821554097172,20.7441096465515,21.6604427494898,21.2189302422899,21.1836822829268,23.683322561851,19.0662155217997,19.4705226527871,19.9827138861613,18.8527826835615,21.8756307210559,20.5985620578378,20.2660960381151,18.5782929056444,22.22123734173,17.2223777332242,20.2163960783683,16.5982800451483,18.3283932590525,21.0009148940557
"kubo_15",14.1049539702857,0,20.0330959674649,10.5612316230912,22.2035281275173,16.2778254476694,15.3342246169725,16.8687835521621,20.8337233242659,15.3077845058982,14.0013915449504,23.7267305323691,15.7092454604201,16.0131265084999,20.0599480558142,19.245684886542,14.7854748229812,16.5813245449666,18.85775691568,16.2733705238906,14.9674853806769,14.8669015416948,16.2167455450303,14.9319785335893,11.0747514578152,16.3742768974007,15.9674784854859,21.1406073469304,19.8778260410974,14.6955599429449,11.9336492015224,14.9460721541952,20.6828589741013,15.3860479739741,16.2262816038998,16.7370233939508,14.6963864303476,16.563127991295,16.2983663768036,15.233533947269,20.6656173578729,16.1654127229931,20.4269240419046,20.0035391293648,20.2605787596001,20.9872649237387,17.4293323938383,19.8205125574072,18.5379389929036,18.1473700966152,19.7337247068513,18.2674520557235,20.2996987292512,17.8933454701277,19.7153271512868,17.7696827669393,18.2594041602629,19.4062090341559,17.7658815049776,18.3761375388579,19.1087419501189,17.3547743091376,16.20672860358,18.0744415318772,20.2716901978334,20.4868676079169,18.9266120302287,18.3455599372098,18.3971403482885,18.087687805611,17.037280827891,21.5091464251674,20.8515630880868,20.037551647313,17.5990529693846,15.0367264553387,21.3518079222262,16.2133579702731,16.3406344786788,19.8591031899016,19.9761588754745,18.7522782462222,17.9322978220904,19.8596951634392,20.1881616817332,20.0414518151904,20.5722353738292,22.4015198931291,17.1479496402472,18.1846804346675,18.9786081639993,17.7957247157624,17.8814790470724,19.8297536571637,18.8776863949947,17.5141485023599,21.9662229551725,18.399305640606,17.2709316207292,18.2698068937315,17.6503645019733,19.4883025206589
"iris_17",18.6359753505665,20.0330959674649,0,20.221441287579,25.5168390586688,14.6644872645298,16.7198897789712,17.4949653240822,9.10877846269022,20.1009734644613,18.9958312566159,26.2733898283819,13.2733365000541,18.2237060486861,8.81281473372193,17.9548196576713,19.0795265456617,16.6466460553184,9.10943538393994,22.1104218832924,20.2656764895736,19.4217310403539,20.2468256820447,21.4361487862731,20.2128265183845,19.6305784451158,22.2828489016941,20.2094280058839,10.2160943463504,21.0760398457346,19.7792716536459,19.3258320761557,10.9389080039433,21.5636393250123,18.1260088601188,17.8167356388443,21.1745908996754,18.5898563983991,13.3431730931257,19.5555629453539,23.5113710429104,16.7206712135996,21.04598996321,19.1234432200414,20.0950402570473,19.5517253855081,20.7103864106222,19.7497516417011,18.2952400136205,21.5709600560497,18.1638874781522,19.0828180317732,19.0054287774882,19.2428882520777,19.2181387112019,17.9222584754171,18.6684995492804,18.4813011585651,20.830968747364,15.6867060406581,21.1919282743146,17.675850944518,21.9014001343126,19.3484703844655,19.6991275915959,16.899357736821,19.7698214069845,19.8658426070003,16.7840798046246,20.4714086077885,21.9714243113845,21.9373705677739,17.1809125744027,18.9226879809329,18.5070654973548,16.9784545191974,18.7189094209884,21.1760017871457,21.9992741463837,19.9015112066004,16.3316760350603,18.0113810691451,18.7012711878694,15.9101701211818,18.6286651568386,20.6850756570777,16.3309790566537,19.8885919085585,17.2029139300724,18.3034995862333,17.9327774038736,19.0294931119735,22.6810867147446,15.5655213322754,19.756035639525,18.5702739696263,20.9629506599581,16.8224902533425,21.533133926736,17.3991725900029,19.0588469675377,18.3407010402311
"kubo_17",15.7698709366897,10.5612316230912,20.221441287579,0,22.3213833602893,14.2710415700408,14.636587367114,14.4963443195161,20.5343685477665,11.6963824288496,10.0268426283899,23.0680098243729,14.4831143897389,14.1735606657638,20.6467002333291,16.0346502906931,15.2883319345664,14.5718325673082,19.4104291115215,13.3009040131617,15.0213458396172,14.1732320599038,12.1356847258946,11.8476886566121,8.56796860036462,14.303473314791,15.9823104048261,19.7450754978383,19.2250477878571,12.1149179696922,9.08458729220197,16.5976606891555,19.8995839420437,12.2328959906369,13.4385493844491,15.70265435161,11.0687042114249,15.775052601539,14.91795971898,13.6729338381765,20.1238331744564,15.2944116582481,21.6167252929061,17.1198096414569,16.3599166423444,17.9161928617241,13.7829917574109,16.9796946173025,15.0609050716451,14.1553645389963,16.9009599711466,17.0508343701788,17.4765572349273,15.4309467180937,16.9870573577851,14.7949239559105,16.8206873844327,16.0932714395198,14.8400791099083,15.33893735104,16.7023582775659,17.9632784756536,13.6570489711881,16.3522784805726,22.1082867667783,16.6848923538046,17.1795120051223,15.5517091737641,18.6217906079039,16.4359358215804,13.9340708344696,22.7772051036419,16.680580865807,17.2020102361777,14.8208663329315,15.9097236841801,18.4151513085639,12.947633566601,15.7424392147128,19.1763537741225,17.1632919402787,16.0555680823652,15.5306721033538,16.5802106617962,17.1315128562832,19.9316943097976,17.41456601424,19.5181110198806,14.7762251688149,19.0959351838844,16.1170482572849,16.0246165717664,15.5646724303104,16.7313211113686,17.8972177684507,17.1339926131058,18.4708841301763,17.340135060722,15.8428406201754,16.9627534487817,16.6342795107053,16.9296787649688
"lambchop_17",25.769861884378,22.2035281275173,25.5168390586688,22.3213833602893,0,21.7339093603066,23.1650619199607,23.7693814875855,26.4245338495734,21.2874797558566,23.0951261101152,9.30487141306486,22.7871582550197,23.4129867087413,26.0216320007412,22.822807010706,22.2921632479992,24.4071359655164,24.2702286771544,21.681581287186,22.7797422561299,22.6851590664857,20.6253235939891,19.9649233934881,22.5210701688353,20.7902103834972,19.5792019762375,23.1245396394002,23.0093672844046,19.8600138097224,21.1339567405384,22.0400685185452,23.8116845150091,19.2449763014625,22.1104073263475,23.6790015418824,20.5198785749867,26.3158967696203,21.4450697251787,22.7261044921172,13.6961664820571,24.1266497371039,26.5691826742126,21.3148340766337,25.5291764530915,23.6027926491137,20.7900187750428,22.3734862823382,22.4664530701569,21.4916400892924,20.2990651293517,23.67501848725,23.1346070500494,20.9333167106708,25.0891319804827,22.2098091692716,23.3254167074575,23.0542127750549,19.5559936076234,22.2161175359269,18.0104057064958,23.2244300571176,19.8110558532806,20.8906414964732,25.7897942985129,25.2400497057782,19.7384465972387,23.0870835140492,24.648336350196,22.9014369932379,19.7259181239293,22.1041405761482,25.3919127116048,20.0859946505318,21.3583703402185,20.7255422915466,23.0427251863478,19.5937963455185,21.2906766839389,22.6964757574902,22.8998201251039,20.0087679577016,19.9644813731303,22.4254323040148,23.5209183150318,24.9343668997122,24.7911540830489,25.0859136448899,22.7954386496039,25.1177138339956,20.8276806548355,20.7681419847495,22.5524529226572,22.5713097363135,18.7837412607373,23.8478170559875,25.8712050939345,25.1590081490989,20.1103267400723,26.5183532625349,20.7877911993657,22.1696324764381
"wolverine_17",15.3858039447306,16.2778254476694,14.6644872645298,14.2710415700408,21.7339093603066,0,12.2548154025253,11.6299792318237,15.4308262468879,15.0052493197358,12.7557836164097,22.6087399602529,6.72303574194459,12.7220826868165,15.5383172141821,15.4264630148846,14.8852389580076,12.3244389646924,14.1718345602796,17.1108380296501,16.0268944834344,13.8176620288038,14.9770652305545,15.7656694076908,14.6878602709686,17.4336087933012,16.9261166421159,18.3147262920756,13.2467140663129,15.9621044547965,14.9008219646547,15.7388711960109,15.4343918816626,16.0266601134012,15.6087321510635,12.7369683582822,15.5008751302451,14.5135945886872,7.00075528653271,14.8487934584931,18.9556169479152,15.2216916970259,17.256692497916,12.3001390776235,18.6394586422508,17.6698972784845,15.3962771671148,16.9222592019062,16.012977654297,15.8476045191135,12.0855331283218,13.4154899140558,16.9850225652574,15.0914578827471,17.2952467210344,15.5954756133733,13.5995708962927,15.6041719379256,15.700157605881,13.4961977264396,15.4610192247439,12.7662798240615,17.6761823221159,16.2177812183917,20.3971133791285,15.2546226095807,15.7196556612279,14.254057823411,13.4645631610152,18.6712250105544,17.5333657346574,20.4739990778413,15.6818715946182,13.0830418437745,12.7757809119598,12.4810782856109,17.3974209279313,15.8804067093283,18.7237757116817,18.2622027056755,14.1576695822321,11.6678726506519,14.0894378644853,13.6759638112719,16.2994698050166,19.1829412101928,15.2416690089257,18.3871013402103,14.8054819992471,18.2844905325148,11.6795489015907,14.9131054922718,18.4742648200644,13.6677153903283,15.8920184103786,15.7944091180335,14.8555925494273,12.2806579394942,18.3906248965325,12.7724627111564,14.8861214528405,15.7708341336349
"hamlet_18",12.2268030871239,15.3342246169725,16.7198897789712,14.636587367114,23.1650619199607,12.2548154025253,0,7.40527510686004,17.9748034306783,14.0942927727498,13.1606187065921,23.8164388432023,11.6107502171482,9.17528822379732,18.2543044173846,15.7761664225357,10.5693645159385,8.12257566455351,16.4817517107868,17.5071563048689,13.1676568543961,9.45296688305769,14.7408644202741,16.5767168300893,15.0905000647076,17.7009252833196,14.8897386104591,20.0589596930358,17.0004640218483,16.9145274308273,14.7773595508749,10.7111980479171,17.5983242707097,16.9736385781318,15.8742049966744,9.15033923649367,16.4351220835104,11.9626164262526,13.3823564724509,14.5685861774631,20.5301860987319,14.938696645982,19.4038966388194,16.670358560437,20.3009664912414,18.1788259167536,16.2450371293165,17.2261450866007,18.4329857771928,16.8440792058708,15.9787680972606,15.7269863379676,17.6409774672475,14.2333570721044,18.0347456090362,16.3803182194523,15.5541561052271,16.7138401455544,16.2885212394762,16.1868655630495,18.7988678002373,15.4393077479581,17.8231290869361,17.3130361451295,19.5790247458831,18.1242988051289,15.5062761264468,15.7247525346521,15.057238161842,17.7630925543873,17.7942443390822,20.4593894714728,18.3393793102887,16.8487625542227,14.2055446022079,14.1720628588247,18.2102823976392,16.6605912761488,18.0879021166915,17.5810865402123,17.5456966611033,15.6776168746088,14.6404555602831,16.8502083462847,17.1542987938196,18.2736624698103,18.744992164786,19.2998593041683,15.5257033408292,17.0698674590727,15.6647626435344,13.882900245536,18.43613394571,17.0066169939644,15.8210651353815,15.5323571657804,18.6144588199881,14.3315225615346,18.5446729200206,14.7159199106288,14.0090416252109,16.3167161385551
"hera_18",14.0276507264057,16.8687835521621,17.4949653240822,14.4963443195161,23.7693814875855,11.6299792318237,7.40527510686004,0,17.8842126462785,14.1072474836592,12.7143394953102,23.831713543554,12.0585093547491,9.29275480113044,18.6859123977002,15.6956729792968,12.4432207995555,6.8005860329969,16.854891926739,16.9161444593114,13.9600206705086,9.80503002600006,14.4612410419807,16.0675148695425,15.7505977263,18.2961532171022,15.3297947269965,20.3917882301675,16.9954842353311,16.7370112711474,15.2913210154251,12.4106126341516,17.9538606010774,16.5626317776688,16.279810562143,8.12443517918482,15.7583486145184,12.0446898819693,13.7621567861744,15.0259078588695,20.6722501461443,15.4525668227111,18.8947499110222,15.0300559807365,19.2721417582908,17.7995036267313,16.0424629967344,17.2339253167095,17.3830060184551,16.1255727934636,14.7558766879852,14.3908476291746,17.3854135645467,15.0730272531676,17.4144340698039,16.3457521296259,14.0031080128964,16.3176267326706,16.3533967606773,15.6525927497627,17.7186163398801,14.9027372905092,17.881521681631,17.4885417502391,21.1211964198481,16.6136297111114,16.3605118952076,14.4575829163266,14.6954583610625,17.6732995756867,17.9082238954374,21.8493554237303,17.0136226473842,15.5262528706125,13.2913666361963,14.2274429619081,18.0776740843533,16.5247842686905,19.0108321796149,17.9207034009084,16.8220289811639,14.7012161521332,15.4341850803288,15.9009380928994,16.7147774638,19.0255158076351,17.4590600388683,18.6928728683105,15.9484668740378,18.2544898557896,14.562748036391,14.8516398519028,18.2713872731753,16.4439609460578,17.1378991766355,16.0543870953845,16.5807217929034,13.6681374228706,18.9234657988793,13.8615216672733,15.3523110281666,16.2985638293769
"iris_18",19.5995683994193,20.8337233242659,9.10877846269022,20.5343685477665,26.4245338495734,15.4308262468879,17.9748034306783,17.8842126462785,0,20.8360169329818,18.3133660055984,27.0300096527306,14.3901695434945,18.7540860368991,8.15423504856038,18.456411449136,20.3826969785387,17.7349898568253,10.3757213596148,22.9894632895077,21.489088288143,19.6236989642609,21.1338140060142,21.7922978227578,20.7131557353907,21.2235267294421,22.395824879105,20.8130406035503,11.0127232461743,21.808405883959,20.7461009290488,20.0983391262323,12.3367156388239,22.1258429227127,19.4751128996917,17.5776716301113,22.0097857500571,18.9353457542994,13.7460808436449,19.7895252787739,23.7460649353448,16.4306232328833,20.5950625696329,18.4168318249996,20.5583343254337,19.9053275943871,21.2452969607336,20.2555619959249,18.5236373678687,20.8073923338299,18.4416577496205,19.4467827119189,19.3194574363874,20.2236576747931,18.3799613076879,18.3851568720763,18.4641521944706,18.6843938511107,21.4070965933268,16.0294611970227,21.715361615896,16.512461863597,22.5992570890622,19.9122194429857,20.3377867847722,16.9142173098978,21.0646749804581,19.2577528997683,17.3205172074609,21.3733451665187,23.070180382199,22.6487704457354,17.3559388425151,19.4128141987072,19.0861762988107,17.2023188155343,19.2300493025433,21.6448646856251,21.732415452793,20.6737255704426,17.1854405512653,18.5140966865464,20.359824590736,16.9088001909576,18.5512596815759,20.260895789636,15.1196665401112,20.0340072567209,16.8585740895787,19.3424174490145,18.398940317009,20.3138410825271,22.8730066466345,15.8719627586058,21.1477341195951,17.5265233927513,20.6011996905921,17.3875944320431,22.15034565885,18.0257907817665,19.8805359089131,19.2162736037596
"jarjarbinks_18",18.2749907637661,15.3077845058982,20.1009734644613,11.6963824288496,21.2874797558566,15.0052493197358,14.0942927727498,14.1072474836592,20.8360169329818,0,11.0001959751834,22.0440209927164,15.2145247047953,14.0646363918131,20.8091694101316,12.4757576612017,15.563691193976,14.4275716592129,19.4491346118938,13.4803135929175,15.8638200479533,15.0472176727395,7.21995269548126,12.2322258822924,11.8558494162499,12.198148457308,16.1672169789487,16.2319760587264,18.705743912984,12.3760952619208,9.85768193239823,15.8712398680215,19.4564992434267,12.5596124391692,11.2692086213806,14.9402903171264,12.9160523356942,17.2458510650782,15.8688252631807,11.4793902962612,17.6123683416759,13.2811869832655,21.6488352317526,15.1027618256341,16.7107431487997,13.9761418278373,10.0341650753333,12.386117713602,14.4210813624337,12.6785592377679,14.4103377767476,18.0028819908533,12.923023246838,11.225494129787,13.6548986687589,12.2227331237581,18.0604264405381,12.1280798086595,10.6059804627838,13.5912547081663,15.1961320550946,17.744752378393,10.4938200692653,12.1897451376175,22.2850675670878,15.5089820351469,12.3710342049243,14.8763946335841,18.2823251469669,13.5655557724845,11.4524778876903,22.254012865783,15.201531640902,15.1698264913545,12.4246623465703,16.7425637756495,14.3594974662856,10.3410046077726,13.7830179832509,18.4956768432223,14.6375246469837,14.0060543081061,11.5161504908764,14.230749733541,13.0954004310968,19.5099203068014,16.2956327046463,15.5409667930933,12.664611122762,18.2171347198992,13.4555066699921,11.257490929816,13.2538954596087,14.8795885113391,13.7286218322937,16.5243127738843,17.3076005764051,17.581446754378,13.2847762643764,18.9780773276032,13.2705227471862,13.4409741954368
